"lo_custkey","lo_orderdate","lo_partkey","lo_revenue","lo_suppkey","lo_supplycost"
13615,19920615,192544,7776838,1900,98192
17449,19920126,103826,6038406,264,109789
20381,19920927,168740,7799286,930,108524
12713,19920701,194514,1433182,1404,96510
12713,19920701,184243,3185376,595,79634
12049,19920614,34623,2313065,1741,93457
899,19921009,41691,320007,1606,97961
899,19921009,91713,2171800,1909,102282
14734,19920107,67051,2341515,720,61083
14734,19920107,7856,691429,1628,105831
13076,19920118,59696,4917399,572,99341
13076,19920118,101217,1326630,1849,73092
13076,19920118,70864,2517427,1054,110091
9214,19920320,91709,6833412,587,102042
19921,19920628,112294,1280164,1956,78377
19921,19920628,89514,4811232,107,90210
19921,19920628,57475,3545363,266,85948
17413,19920129,54173,563585,340,67630
17413,19920129,53668,3853064,1202,97299
17413,19920129,103658,6744637,1676,99699
2251,19920514,95699,1660796,1318,101681
3784,19921129,93878,748748,175,112312
18991,19920813,136262,2077216,1134,77895
18991,19920813,10804,4705411,1773,102888
8107,19920126,166386,2904760,1601,87142
16328,19920218,81979,5294619,1011,117658
1045,19920308,67588,4878298,1901,93334
24457,19920502,47518,146551,239,87930
25531,19920904,65717,1649055,885,100962
25531,19920904,91499,4869430,1025,89429
24598,19920101,55602,4626072,1541,93456
20512,19920903,118409,419655,1956,85644
26524,19920704,73665,2271182,36,98319
6082,19920725,160550,5366352,417,96633
6082,19920725,159246,2558270,181,78314
9253,19920316,94403,1956360,1968,83844
9253,19920316,104122,2118231,1033,67567
28462,19920206,127425,4127777,1065,87145
6013,19921229,165970,3829659,699,122158
11650,19920307,22135,5023481,1623,63427
25330,19920207,133435,4604996,646,88105
25330,19920207,26461,5272348,1840,83247
25330,19920207,101144,906950,771,68708
24820,19921105,19779,5436064,1619,101926
12025,19920523,88199,4653784,770,71231
12025,19920523,185079,5121908,1510,69844
3017,19920328,161168,1946989,822,73749
3017,19920328,135943,4266594,576,118736
22238,19920122,46443,4724096,663,83366
22238,19920122,150886,189814,357,116212
7717,19920413,16524,988196,593,86431
19516,19920322,76077,3199226,800,63184
19516,19920322,13254,5252625,1158,70035
19516,19920322,152673,3969041,1707,103540
5329,19921223,50346,898363,1349,77780
2770,19920623,83009,2553408,547,59520
2770,19920623,155555,644220,1486,96633
10294,19920721,187981,7241430,1896,124138
10294,19920721,195562,2599054,1200,99453
22945,19920627,114147,5689586,1619,69668
15361,19920129,155739,8618293,1004,107683
27517,19920124,55407,6812000,910,81744
943,19921212,109059,4379005,1717,64083
22919,19920810,130527,3358013,1698,93451
22919,19920810,156755,8344920,138,108705
22919,19920810,177417,3287702,779,89664
20174,19920703,59084,2478358,426,62584
20174,19920703,85751,3820850,1145,104205
20174,19920703,4253,2268210,1059,69435
28442,19920720,131308,787508,781,80358
14773,19920225,58208,3314340,353,69972
14773,19920225,86478,3914528,1573,87868
7355,19920128,192765,5333628,445,111465
7355,19920128,196242,4372030,707,80294
7252,19920816,29190,2548395,1447,67151
7252,19920816,195612,3756742,519,102456
23246,19920421,8557,5744956,1181,87933
385,19920211,51628,1548027,88,94777
15223,19920517,119276,1165743,973,77716
4067,19921024,187954,1200666,780,122517
23050,19921201,179440,7069954,420,91166
23050,19921201,47747,6711170,1247,101684
23050,19921201,74725,2549580,1346,101983
23050,19921201,96975,3123600,1676,118318
23050,19921201,44916,9118459,103,111654
17488,19920114,15811,7770645,1119,103608
17488,19920114,169919,3544237,1524,119334
17140,19920416,76939,6947162,706,114955
17140,19920416,110172,2574766,297,70930
79,19920705,96912,3436038,35,114534
29326,19921212,98796,5508210,172,107687
18178,19920315,142497,1371685,263,92369
18178,19920315,12359,127135,1173,76281
25802,19920902,131348,3823530,1860,82760
26647,19920224,152747,5167053,1204,107984
26647,19920224,11995,953495,663,114419
4921,19921220,123120,2263377,960,68587
24587,19921204,18871,6840883,533,107392
5455,19920922,15738,661492,810,99223
5455,19920922,127617,1289374,1783,98676
16015,19920806,149439,294709,15,89305
29212,19920517,130142,5274630,455,70328
29212,19920517,152317,410793,594,82158
20767,19920303,80415,414436,1635,83724
12121,19920430,172098,3011811,1247,70205
3287,19921103,2971,1652841,904,112438
14840,19920118,173157,602773,222,73809
19268,19921206,102148,2530308,1849,69008
16963,19920902,186767,6858912,1705,111225
16963,19920902,186143,368742,1805,73748
16963,19920902,70036,98590,532,60361
5800,19920505,73265,1961403,379,74295
5800,19920505,158244,5870497,1516,78134
5800,19920505,76044,1399494,1450,61202
24850,19920309,55998,4787275,403,117239
16702,19921004,65108,736146,623,64386
26956,19920622,183383,2903432,656,87982
20395,19920205,99450,4304866,1063,86967
14020,19920425,51852,8131755,377,108231
12877,19920412,185028,3708582,748,66781
12877,19920412,128245,891268,842,76394
16663,19920119,174881,7432344,1717,117352
16663,19920119,13947,7659629,1191,111656
16663,19920119,42745,7277534,277,101264
7040,19920914,46695,656676,1295,98501
7040,19920914,119295,2833609,403,78857
29302,19921218,116211,3436188,1906,73632
16222,19920716,87408,1381446,1597,83724
11900,19920820,119103,1429555,1970,67326
6919,19921214,26397,4539227,1274,79403
6919,19921214,54057,4404133,323,60663
24590,19920319,67182,919344,431,68950
20818,19921105,15402,5293313,655,79044
10850,19920314,182163,2241288,1118,74709
10850,19920314,162001,833392,1317,63780
19915,19920418,122984,4327048,1119,120418
19915,19920418,180338,1684976,793,85099
19624,19920707,169287,4746980,790,81376
16775,19920219,193706,3174670,954,107982
14731,19921221,38554,2686590,137,89553
14731,19921221,170505,7562400,828,94530
14731,19921221,67881,366078,628,110932
16199,19920716,178326,2808640,553,84259
16199,19920716,124146,1949453,1025,70208
23776,19920303,67977,6931873,1485,116698
23776,19920303,87460,7021628,520,86847
17557,19920826,19531,4882483,1200,87031
17557,19920826,93004,1954120,1753,59820
17557,19920826,151602,7039375,1172,99216
1769,19920108,30617,5763299,1106,92856
1769,19920108,185596,7062678,1412,100895
2803,19920429,50512,5791539,1098,87750
28888,19920522,79883,1490304,1010,111772
28888,19920522,46602,1238880,1092,92916
25744,19920722,82781,3527560,1968,105826
25744,19920722,90411,4669498,1763,84084
25744,19920722,137037,1063289,548,64441
19825,19920909,107820,179126,966,109669
13265,19920817,39778,7142487,411,103066
3443,19920919,118282,4969670,737,78016
5099,19920212,75059,4136200,1746,62043
27589,19921118,195945,1818477,815,122456
27589,19921118,117889,9156837,1717,114412
17150,19921016,104593,4383786,1732,95855
17150,19921016,79695,3181911,1588,100481
428,19920709,185848,2488852,1758,116030
428,19920709,66127,3060736,821,65587
428,19920709,181507,3774276,1834,95310
18740,19920707,179255,130756,1892,80055
19609,19920714,136331,3519507,270,82039
19609,19920714,98951,9363659,1931,116997
20995,19920122,41112,4334600,1403,63186
20995,19920122,165845,6554181,1596,114650
8663,19920324,152851,6282705,434,114231
8663,19920324,168665,6178764,1233,104019
8663,19920324,147794,6630444,1621,110507
26161,19921003,80566,309312,1390,92793
27391,19920509,138871,5672313,1864,114592
27391,19920509,142969,199184,1235,120717
27391,19920509,69240,2873154,113,72554
8740,19920330,184847,7920544,954,115910
16288,19920913,155947,2181201,580,120176
22121,19921026,179370,4927858,436,86962
28135,19920215,48582,6364151,1744,91834
28135,19920215,106890,3035024,27,113813
19718,19921123,139567,3148857,1987,96393
19718,19921123,90210,2040357,235,72012
3367,19920124,59296,5397747,1660,75317
3367,19920124,2135,1970547,1438,62227
3367,19920124,100716,8157805,1746,103002
3367,19920124,120779,7305266,881,107986
6260,19920407,173775,7949711,1494,110926
6260,19920407,27211,4796416,1025,68292
18272,19921107,54080,4446544,1739,62044
18272,19921107,197473,1539060,1743,94228
18272,19921107,112370,2600237,1505,82942
23744,19921023,4798,6068743,1332,102167
23744,19921023,38359,2854170,1255,77841
10804,19920516,109110,553959,1449,67146
10804,19920516,24434,1210361,1317,81505
23368,19920725,141696,8340912,1230,104261
29870,19921022,90414,3791907,1120,84264
16232,19921108,150126,922078,586,70567
16232,19921108,116824,4149208,325,110449
12719,19920923,147440,2231160,602,89246
12719,19920923,8612,2889159,1870,91236
12719,19920923,126323,2404488,96,80959
27424,19920110,16043,4511324,1592,57542
14656,19920812,145214,2344649,1304,75552
6812,19920506,109534,6723616,230,92611
4948,19920720,159667,1709393,1398,103599
4948,19920720,174194,5326398,283,76091
13196,19921217,91427,2808471,1347,85105
14506,19920930,25971,8075401,319,113818
17266,19920903,68556,6339078,1623,91473
17266,19920903,182441,6121181,776,91406
20665,19920605,90305,2692928,996,77718
20665,19920605,141483,2591616,1459,91468
20665,19920605,107551,3512971,313,93513
5309,19920315,87979,2920950,104,118018
26602,19920422,64525,5013724,466,89371
26602,19920422,55092,3628166,147,62825
6403,19920201,176315,2454270,271,83478
3094,19920128,2587,4571521,1273,89374
6707,19920824,164928,9374695,1711,119575
7786,19921020,23179,4691937,1868,66130
17167,19921201,27158,4449115,488,65109
28402,19921214,168974,2022540,1324,122578
12181,19920107,27122,719696,254,62947
24052,19920627,190572,5702615,1016,99754
24052,19920627,47985,8037330,1651,115978
12691,19921217,29153,848405,358,64929
11275,19920325,24065,4070970,1303,59343
11275,19920325,69050,3159055,515,61143
11275,19920325,123200,2397472,1387,73392
13123,19920819,33514,7165174,1188,86850
13123,19920819,60728,1489451,1831,101323
13123,19920819,3679,4543845,1805,94960
26348,19921109,184131,4691616,1198,72907
24412,19921126,38221,3294503,184,69553
29392,19920126,119319,5754733,534,80298
25937,19921110,29798,2394716,166,103667
25937,19921110,9172,3351627,1988,64870
25937,19921110,183799,9041157,454,112967
20737,19921018,15364,5885056,1926,76761
20737,19921018,6041,4072272,1383,56822
14635,19920511,68214,3628202,1600,70932
15566,19921108,61661,1947192,213,97359
6055,19920128,47268,1336786,303,72915
6055,19920128,17956,6864278,1026,112437
21995,19920417,181626,5071631,1918,102457
21995,19920417,187155,5902696,723,74529
21995,19920417,107906,2488070,915,114834
269,19920817,5695,7448010,1331,96041
269,19920817,100016,796551,1255,60960
269,19920817,156717,2837936,567,106422
23957,19921220,189938,596211,780,121675
23957,19921220,193985,5704721,1080,124738
9758,19920710,72312,3687254,76,77058
4990,19920905,145162,5432220,949,72429
8362,19920313,108882,5241519,1863,113452
8362,19920313,102208,3202189,316,72612
16744,19920122,65698,3161011,340,99821
16744,19920122,54025,881118,1869,58741
1102,19920714,186969,8840628,1685,123357
1102,19920714,178930,7284380,199,120535
15203,19920723,135353,5275730,189,83301
4930,19920217,22560,1779072,1982,88953
4930,19920217,2755,324919,1492,99465
28313,19921108,122471,2538899,709,89608
16237,19920719,69449,139007,337,85106
18103,19920823,167785,363144,109,111166
14476,19920902,143662,8016602,409,102339
12527,19920429,168530,3006834,1648,95911
20450,19920826,34822,5446142,268,105409
20450,19920826,128758,7504350,315,107205
5668,19920527,190425,3300584,565,90925
5668,19920527,71729,7166834,340,102043
5668,19920527,198229,130067,422,79633
27589,19920312,31607,6769840,1877,92316
18742,19920321,177870,5978013,159,116872
18742,19920321,50116,4643975,723,63966
5234,19921231,117000,4285638,1027,61020
14299,19920410,108575,3879746,801,95014
23410,19920215,125289,5651404,421,78856
4825,19920620,121103,2697840,1375,67446
4562,19920718,82405,543860,1392,83244
4562,19920718,167196,4627064,931,75791
4562,19920718,33671,1765137,248,96280
2779,19920817,36872,6625890,1443,108532
2779,19920817,100499,4601934,1013,89969
2779,19920817,83207,1399675,842,71412
2779,19920817,109704,5259345,1722,102822
2779,19920817,184295,4325453,101,82757
8446,19920610,4568,5539770,1296,88353
8446,19920610,143920,6928709,942,117835
8446,19920610,112832,5903456,118,110689
7757,19920630,149226,4544884,66,76513
7757,19920630,37520,5194601,428,87451
14923,19920826,103132,1223670,783,68107
14923,19920826,104571,6459837,38,94534
17125,19921225,164393,6348390,233,87443
17125,19921225,168090,5503243,542,69485
2920,19920516,133473,6348264,1919,90388
6538,19920601,21468,5227148,1141,83367
6538,19920601,134627,4722324,482,99697
7336,19920814,169706,1420560,381,106542
7336,19920814,106913,1900710,60,115194
20497,19920303,86314,4505574,1320,78018
23251,19920421,35620,6314261,131,93337
24994,19920114,80017,2467599,1868,59820
25880,19920321,1753,7371911,589,99285
12167,19920124,138882,7226350,999,115252
12167,19920124,95586,1581580,958,94894
28819,19921025,77024,1288312,1203,60061
20458,19920104,72141,2424418,552,66788
14132,19920925,185812,7625400,1367,113868
22144,19920522,55881,1636660,1263,110212
22144,19920522,180639,4256084,795,103177
22144,19920522,191314,3934868,1248,84318
22730,19920330,90217,4661037,347,72432
23026,19920125,167840,572352,999,114470
14956,19920220,126541,310372,1055,94052
8069,19920216,154972,9632161,1110,121618
13159,19921013,31999,8689455,1996,115859
14914,19920705,176694,3010173,406,106241
19723,19920210,13455,1072864,366,82107
29071,19920624,14356,2738874,1853,76221
29071,19920624,70378,5393480,1893,80902
23431,19921211,2230,452892,1665,67933
17114,19920829,115636,5665090,1926,99097
19343,19921003,195884,4116170,192,118792
19343,19921003,124410,6674309,891,86064
8651,19921215,154712,8126866,1181,106002
29854,19920306,94655,5496633,865,98979
29854,19920306,55636,6844009,1979,95497
29854,19920306,93344,3177519,1329,80240
29491,19921104,120746,5367356,849,106004
29491,19921104,146192,4086027,27,74291
27592,19920611,157558,5169760,388,96933
27592,19920611,81517,2847169,1164,89910
27592,19920611,49801,2573676,162,105048
27592,19920611,4842,698736,629,104810
21929,19920419,5685,1870639,116,95440
9100,19920408,58614,4469357,1648,94356
9100,19920408,116330,4749852,613,80779
27397,19920310,131246,4425636,996,76634
27397,19920310,9397,4914639,1597,78383
1688,19920423,144695,6372484,1353,104381
7586,19920621,61207,1168200,16,70092
7586,19920621,173940,7975202,1213,120836
21076,19920604,47998,8173158,1549,116759
23066,19921028,151273,2855126,664,79456
23066,19921028,42448,2340110,794,83426
22903,19920422,178268,3465273,1166,80775
13054,19920826,19333,2454566,1521,75139
13054,19920826,126003,3498600,119,61740
13054,19920826,131227,2740403,1919,75493
8210,19920722,30686,1293344,571,97000
21058,19920907,6503,1550450,771,84570
21058,19920907,111125,1022508,1906,68167
