"s_nation","lo_custkey","lo_orderdate","lo_partkey","lo_revenue","lo_supplycost"
"IRAN",23230,19920420,81394,3774070,82523
"EGYPT",4507,19921024,153926,1746289,118795
"IRAN",16604,19920707,16802,171880,103128
"SAUDI ARABIA",17029,19920617,190062,4628977,69123
"EGYPT",17029,19920617,164527,2836088,95491
"EGYPT",17782,19920528,62758,7925774,103245
"EGYPT",12247,19920207,87146,226628,67988
"SAUDI ARABIA",3047,19920722,180128,4832480,72487
"SAUDI ARABIA",24857,19920102,22164,3193310,65169
"EGYPT",4940,19920527,183021,4526482,66241
"JORDAN",1504,19921224,51142,2999576,65588
"EGYPT",9802,19920306,185285,5505785,82216
"SAUDI ARABIA",27778,19920808,183461,5146140,92667
"IRAQ",10163,19920130,41379,3697036,79222
"IRAN",26179,19921205,161340,6797900,84080
"EGYPT",18811,19920617,84832,8720784,109009
"SAUDI ARABIA",11776,19921031,49334,2892625,76999
"JORDAN",11776,19921031,115255,4527171,76215
"SAUDI ARABIA",23948,19920511,25361,2773392,77181
"JORDAN",27071,19920221,148836,8127386,113089
"EGYPT",4924,19920715,47160,3432196,66429
"IRAQ",19636,19920714,28406,1200960,80064
"IRAQ",9269,19920611,609,4632962,90576
"IRAN",9269,19920611,26972,7595880,113938
"EGYPT",2668,19920220,105660,3754397,99939
"SAUDI ARABIA",5615,19921202,37908,6213299,110754
"EGYPT",2296,19920801,53087,4576352,62404
"IRAQ",13928,19920521,13753,2833475,100005
"EGYPT",23425,19920527,32074,704249,60364
"JORDAN",27229,19920914,132155,3606561,71229
"IRAN",20381,19920927,168740,7799286,108524
"SAUDI ARABIA",13076,19920118,70864,2517427,110091
"EGYPT",19921,19920628,112294,1280164,78377
"EGYPT",18991,19920813,136262,2077216,77895
"SAUDI ARABIA",8107,19920126,166386,2904760,87142
"EGYPT",20512,19920903,118409,419655,85644
"JORDAN",26524,19920704,73665,2271182,98319
"EGYPT",6013,19921229,165970,3829659,122158
"SAUDI ARABIA",22238,19920122,150886,189814,116212
"SAUDI ARABIA",10294,19920721,187981,7241430,124138
"IRAN",15361,19920129,155739,8618293,107683
"IRAN",20174,19920703,4253,2268210,69435
"SAUDI ARABIA",7355,19920128,192765,5333628,111465
"IRAQ",385,19920211,51628,1548027,94777
"IRAQ",17488,19920114,15811,7770645,103608
"IRAQ",17140,19920416,76939,6947162,114955
"IRAQ",20767,19920303,80415,414436,83724
"SAUDI ARABIA",5800,19920505,73265,1961403,74295
"EGYPT",12877,19920412,128245,891268,76394
"EGYPT",7040,19920914,46695,656676,98501
"SAUDI ARABIA",6919,19921214,26397,4539227,79403
"EGYPT",20818,19921105,15402,5293313,79044
"IRAQ",19915,19920418,122984,4327048,120418
"EGYPT",23776,19920303,67977,6931873,116698
"EGYPT",19825,19920909,107820,179126,109669
"SAUDI ARABIA",428,19920709,66127,3060736,65587
"EGYPT",18740,19920707,179255,130756,80055
"IRAN",8663,19920324,168665,6178764,104019
"SAUDI ARABIA",26161,19921003,80566,309312,92793
"JORDAN",27391,19920509,142969,199184,120717
"IRAQ",27391,19920509,69240,2873154,72554
"SAUDI ARABIA",22121,19921026,179370,4927858,86962
"JORDAN",3367,19920124,120779,7305266,107986
"EGYPT",18272,19921107,54080,4446544,62044
"IRAQ",10804,19920516,109110,553959,67146
"SAUDI ARABIA",29870,19921022,90414,3791907,84264
"SAUDI ARABIA",12719,19920923,147440,2231160,89246
"SAUDI ARABIA",13196,19921217,91427,2808471,85105
"IRAN",3094,19920128,2587,4571521,89374
"JORDAN",6707,19920824,164928,9374695,119575
"JORDAN",17167,19921201,27158,4449115,65109
"JORDAN",11275,19920325,123200,2397472,73392
"JORDAN",25937,19921110,29798,2394716,103667
"SAUDI ARABIA",28313,19921108,122471,2538899,89608
"IRAQ",12527,19920429,168530,3006834,95911
"SAUDI ARABIA",5668,19920527,190425,3300584,90925
"IRAN",5668,19920527,198229,130067,79633
"EGYPT",18742,19920321,177870,5978013,116872
"IRAN",4562,19920718,82405,543860,83244
"EGYPT",2779,19920817,83207,1399675,71412
"IRAQ",2779,19920817,184295,4325453,82757
"EGYPT",14923,19920826,104571,6459837,94534
"EGYPT",2920,19920516,133473,6348264,90388
"EGYPT",22144,19920522,191314,3934868,84318
"IRAN",13159,19921013,31999,8689455,115859
"SAUDI ARABIA",23431,19921211,2230,452892,67933
"JORDAN",21929,19920419,5685,1870639,95440
"IRAQ",9100,19920408,58614,4469357,94356
"IRAQ",9100,19920408,116330,4749852,80779
"SAUDI ARABIA",1688,19920423,144695,6372484,104381
"EGYPT",23066,19921028,151273,2855126,79456
"EGYPT",23066,19921028,42448,2340110,83426
"EGYPT",13054,19920826,131227,2740403,75493
"IRAN",25867,19920316,32184,1326021,66970
"IRAN",6785,19920501,90325,263064,78919
"IRAQ",11398,19921008,58405,2004198,81804
"IRAN",23596,19920202,131502,5827300,92010
"IRAQ",21733,19920915,183710,7712953,107622
"JORDAN",21733,19920915,107838,3691660,110749
"IRAQ",18428,19920309,50978,189039,115738
"IRAQ",1177,19920806,183195,1022552,76691
"SAUDI ARABIA",18511,19921227,2305,2897520,72438
"IRAQ",13891,19920722,186332,1263732,85099
"IRAN",18760,19920815,89289,4985292,76696
"SAUDI ARABIA",8627,19920406,142478,6233927,91228
"IRAQ",18302,19921204,137946,6481531,119036
"IRAQ",3689,19921012,144876,1505962,115252
"IRAN",21908,19920503,136331,5820723,82039
"EGYPT",10378,19921003,78322,3568078,78019
"JORDAN",25412,19920722,10739,5552991,98983
"EGYPT",18406,19920722,184705,4735546,107382
"IRAQ",7793,19921005,103401,4404198,84264
"IRAQ",7793,19921005,96888,2401337,113092
"SAUDI ARABIA",25924,19920401,155511,5012832,93990
"IRAQ",21301,19920308,174919,7501089,119634
"EGYPT",12896,19920809,35265,3646389,72015
"IRAQ",13415,19920530,32943,2389947,112556
"SAUDI ARABIA",10417,19920206,152443,740242,89726
"IRAN",29029,19921202,16549,3016081,87932
"IRAN",29029,19921202,98178,352851,70570
"EGYPT",5872,19920405,182243,4155952,79514
"JORDAN",14554,19921105,82554,152118,92193
"IRAQ",20285,19920429,180137,2409917,73027
"SAUDI ARABIA",19238,19920827,149820,6963209,112189
"SAUDI ARABIA",22406,19920104,121473,439374,89668
"EGYPT",18880,19920728,62616,4177002,94716
"SAUDI ARABIA",8275,19920327,26440,2946044,81986
"IRAQ",10789,19920504,6245,4851325,69074
"JORDAN",3260,19920724,184467,7679727,93087
"EGYPT",3260,19920724,124030,4487005,63241
"JORDAN",8092,19920311,87777,8474425,105886
"SAUDI ARABIA",22174,19920409,97358,2951952,81321
"IRAN",7852,19920826,198129,3487475,73627
"IRAQ",14356,19920502,31129,1889133,63607
"IRAN",7913,19920328,149762,2840839,108705
"IRAN",4936,19920120,95456,3840536,87087
"IRAN",24934,19920501,38634,7784518,94357
"SAUDI ARABIA",13042,19921205,110808,2495393,109128
"IRAN",21946,19920527,143200,2680339,74592
"IRAN",3305,19920701,47542,893724,89372
"IRAQ",29572,19920725,126605,323056,97896
"JORDAN",6196,19920522,119642,4984920,99698
"IRAQ",6913,19921020,160295,2922005,81317
"IRAQ",331,19921022,140150,3689465,71409
"JORDAN",25522,19920411,28638,7676487,93997
"JORDAN",18386,19921221,196398,1046073,89663
"JORDAN",27241,19920911,17374,3744973,77482
"SAUDI ARABIA",28732,19920410,172787,2761773,111586
"IRAN",2978,19920210,193370,3441846,87802
"EGYPT",2978,19920210,181846,6747440,115670
"IRAQ",8723,19920310,127347,1088477,82460
"EGYPT",12818,19921221,189594,3333508,101015
"EGYPT",17155,19920705,92461,3133659,87207
"IRAQ",145,19920224,58392,3208526,81023
"IRAQ",9073,19920125,168534,4868486,96151
"SAUDI ARABIA",9073,19920125,148757,5485868,108345
"IRAN",25091,19920904,160679,6436779,104380
"IRAN",5464,19921128,182129,3323313,72667
"IRAN",28492,19921024,166395,3215058,87683
"IRAN",28492,19921024,19946,9143106,111956
"IRAQ",25190,19921111,40418,1331241,81504
"SAUDI ARABIA",25190,19921111,56841,3056328,107870
"EGYPT",16234,19920428,49882,1465504,109912
"IRAN",16234,19920428,2270,4710180,70336
"IRAQ",11003,19920601,997,8920553,113879
"EGYPT",22474,19920331,28020,2654456,56881
"SAUDI ARABIA",21799,19920630,123437,584172,87625
"IRAN",5791,19920204,20994,5254732,114899
"IRAN",21298,19920816,70834,8489920,108289
"SAUDI ARABIA",9767,19920917,60477,4696214,86248
"IRAQ",9229,19920403,89112,5395439,66066
"IRAN",9229,19920403,182910,4340557,119574
"JORDAN",8788,19921111,158815,6492751,112428
"EGYPT",21910,19920830,94486,2072672,88828
"SAUDI ARABIA",8680,19920120,75276,867130,75076
"SAUDI ARABIA",28102,19920127,166733,6878568,107983
"IRAQ",19120,19921228,34462,5200417,83787
"SAUDI ARABIA",5569,19920311,140153,4252386,71589
"IRAN",26374,19921205,105883,1480881,113332
"SAUDI ARABIA",23215,19920621,173082,5093902,69304
"EGYPT",14849,19920809,96664,6509787,99639
"IRAN",14849,19920809,26446,3496977,82346
"EGYPT",988,19921208,44654,5222789,95919
"JORDAN",25267,19920211,105064,3810129,64143
"IRAQ",29369,19920812,128833,8750601,111709
"EGYPT",9148,19920807,122056,215610,64683
"JORDAN",13615,19920205,36394,921960,79823
"IRAQ",5891,19921019,173509,6736702,94950
"SAUDI ARABIA",10826,19920328,43916,2025441,111594
"EGYPT",17483,19920719,20205,2977279,67512
"IRAN",19291,19920508,132699,4582051,103901
"EGYPT",8353,19920908,198634,2079156,103957
"SAUDI ARABIA",19690,19920401,52827,6976894,106789
"SAUDI ARABIA",16531,19921223,76144,5212011,67208
"JORDAN",4547,19920320,191110,4564218,72066
"EGYPT",26014,19920315,132348,683268,82820
"EGYPT",19936,19921110,22034,3728517,57361
"IRAN",22220,19920116,127253,6017175,76815
"IRAQ",17021,19920403,111947,6787727,117536
"EGYPT",15034,19920417,40781,1534105,103306
"IRAN",28634,19920117,91608,4546063,95976
"EGYPT",27268,19921202,194318,968844,84738
"IRAN",3874,19920511,88922,3821840,114655
"SAUDI ARABIA",5485,19920731,28666,5581310,95679
"IRAQ",10585,19920509,110402,4194828,84744
"JORDAN",25403,19920425,107667,502398,100479
"SAUDI ARABIA",16201,19921014,173591,6198933,99875
"EGYPT",8546,19920713,159143,3726634,72128
"IRAQ",8546,19920713,107988,5588744,119758
"IRAN",2713,19920325,96963,5762282,117597
"IRAN",4645,19920723,195871,7474106,118012
"SAUDI ARABIA",7895,19920316,156224,5449896,76813
"SAUDI ARABIA",20482,19920815,119711,8310869,103842
"IRAQ",25324,19920714,78751,6272073,103785
"SAUDI ARABIA",26663,19920912,186489,3781152,94528
"JORDAN",28954,19920801,3669,4717980,94359
"IRAQ",9433,19920610,41427,5766521,82105
"EGYPT",16919,19920515,174561,2752647,98133
"IRAQ",25561,19920215,131825,8639783,111409
"IRAQ",26383,19920105,90438,979902,85705
"IRAQ",24544,19921016,116625,3775726,98497
"JORDAN",25840,19920217,21109,4997015,61806
"EGYPT",25840,19920217,154719,6030614,106422
"EGYPT",27811,19921207,181158,4832685,74349
"EGYPT",29929,19920826,176922,4551540,119935
"EGYPT",683,19920608,172712,892355,107082
"JORDAN",12319,19920219,113613,6376311,97596
"EGYPT",13075,19921119,169407,3069435,88584
"IRAN",20242,19920402,71545,4203848,90992
"IRAQ",17308,19920126,57030,2566278,59221
"SAUDI ARABIA",5593,19920101,14170,3219984,65050
"SAUDI ARABIA",6670,19921105,34963,2254776,113877
"EGYPT",28268,19920124,164648,2397696,102758
"IRAQ",28268,19920124,3476,4866770,82768
"EGYPT",12502,19920412,80186,2565596,69970
"EGYPT",29305,19921003,22431,2652722,81205
"JORDAN",18869,19921119,113172,3555510,71110
"EGYPT",697,19920310,194343,4930076,86240
"JORDAN",15988,19920122,117039,1254563,63361
"IRAN",6991,19920405,161301,6069046,81738
"SAUDI ARABIA",10990,19921205,119942,6021193,117716
"IRAQ",13174,19920828,185311,1642060,83778
"IRAN",13174,19920828,114888,570864,114172
"SAUDI ARABIA",12413,19920414,58708,1333360,100002
"IRAN",12413,19920414,18229,3485254,68833
"SAUDI ARABIA",23549,19920103,167542,3701942,96572
"SAUDI ARABIA",23549,19920103,159375,4118076,86062
"EGYPT",2813,19921122,61161,5388612,67329
"JORDAN",25237,19920713,181416,1037705,89844
"IRAN",19304,19920622,56952,1889860,114537
"SAUDI ARABIA",7190,19920328,65743,4905792,102524
"SAUDI ARABIA",7537,19920107,126422,1013894,86905
"IRAN",23299,19920102,92201,4560410,71592
"IRAQ",26575,19920217,8386,5510175,77662
"IRAN",3593,19921010,188233,261603,79273
"EGYPT",22661,19920528,73982,968210,117358
"IRAN",4214,19921119,163250,1820164,78795
"EGYPT",7096,19921219,89152,5422744,68469
"EGYPT",14554,19921115,132683,7377424,102940
"IRAQ",11830,19920821,51104,2193552,63306
"IRAQ",22970,19921110,65877,7555767,110572
"IRAN",22156,19920806,194124,2558052,73087
"SAUDI ARABIA",12046,19920425,126155,1653610,70869
"EGYPT",12046,19920425,72551,4777852,91413
"SAUDI ARABIA",22652,19920606,160529,4720874,95371
"SAUDI ARABIA",22652,19920606,9127,1827715,62167
"JORDAN",16960,19920522,194250,1712574,80655
"EGYPT",24280,19920601,19373,2713977,77542
"JORDAN",16915,19920202,77405,4606156,82944
"IRAQ",29204,19920517,96721,5723443,103063
"IRAN",14854,19921120,105486,5816772,89488
"JORDAN",11980,19920528,94096,1744144,65405
"IRAQ",11980,19920528,55785,4700106,104446
"IRAQ",14066,19921020,12068,1274078,58803
"SAUDI ARABIA",18091,19920927,186021,542439,66421
"SAUDI ARABIA",16168,19921005,187156,1230718,74589
"IRAQ",15241,19920810,38361,2186822,77961
"SAUDI ARABIA",6970,19920222,117575,3121437,95554
"JORDAN",2284,19920917,156530,1710279,95191
"IRAQ",2203,19920919,171408,887640,88764
"EGYPT",19355,19920417,165306,2150198,82278
"EGYPT",17738,19921004,64383,6402749,80842
"IRAN",25259,19920902,135678,2570505,102820
"IRAQ",14455,19920914,57072,4527908,61744
"SAUDI ARABIA",21985,19920725,146137,1391360,70987
"IRAN",2399,19920914,111244,2112568,75314
"EGYPT",6334,19920613,170111,5787439,70866
"JORDAN",27496,19920428,139624,1646983,99817
"IRAN",24358,19920221,140779,5171786,109186
"JORDAN",16567,19920910,113758,347263,106305
"EGYPT",19801,19920703,143466,3254395,90567
"IRAN",19801,19920703,26990,6951005,115019
"IRAQ",19801,19920703,171761,1632989,109965
"EGYPT",27466,19921214,130707,6193162,104262
"IRAN",28646,19921107,157056,5017629,66783
"IRAQ",12220,19921111,48927,6434405,112555
"JORDAN",12220,19921111,49415,6003404,81864
"IRAN",12220,19921111,101713,1188294,102882
"SAUDI ARABIA",19609,19921015,177103,4484380,70806
"IRAQ",18689,19920815,186915,6540239,120114
"EGYPT",3145,19920511,54834,1788830,107329
"IRAN",22627,19921103,193806,6702494,113988
"EGYPT",26381,19920110,176584,7323157,99634
"IRAN",185,19920707,51919,370440,112254
"SAUDI ARABIA",8201,19920614,187118,3306821,72306
"EGYPT",8201,19920614,78076,2995666,63244
"IRAQ",12299,19921028,146355,5605400,84081
"IRAQ",4672,19920114,11877,6552630,107332
"SAUDI ARABIA",16591,19920426,194917,6438112,120714
"SAUDI ARABIA",14422,19920315,165716,8381163,106902
"EGYPT",12721,19921212,113137,575065,69007
"EGYPT",4687,19920304,76389,3211373,81922
"JORDAN",12263,19921114,34440,3710988,82466
"SAUDI ARABIA",26815,19920730,34214,5396587,68892
"IRAN",4048,19920705,188687,4394808,106540
"IRAN",13939,19920911,119955,5225717,118497
"JORDAN",15749,19920622,125886,4496741,114712
"EGYPT",21733,19920612,141013,1982592,63240
"IRAQ",9224,19920227,29363,1292360,77541
"IRAQ",17935,19921106,103173,1863053,70570
"IRAQ",23359,19920619,85420,3513550,84325
"EGYPT",28535,19920517,138207,5976960,74712
"JORDAN",11590,19921005,89975,4279704,117898
"IRAN",5903,19920515,182036,1643504,67081
"SAUDI ARABIA",22520,19920307,88236,2759414,73453
"JORDAN",18286,19920630,48012,2728348,57600
"IRAQ",26311,19920809,75844,5528673,109190
"EGYPT",11077,19920104,15261,5881300,70575
"IRAN",6532,19920706,36733,4745372,100183
"SAUDI ARABIA",857,19920503,99702,3835631,102102
"SAUDI ARABIA",15923,19921024,7572,1923441,88774
"IRAQ",7141,19921219,163941,7939562,120296
"IRAQ",17812,19920709,16050,3786916,57963
"EGYPT",12182,19921103,4756,664300,99645
"JORDAN",11600,19920901,45834,872116,106789
"IRAN",23452,19920416,110169,3235615,70749
"JORDAN",19688,19920410,182235,2839947,79033
"JORDAN",14569,19920331,165323,1224498,83299
"EGYPT",9325,19920615,192336,2939503,85699
"EGYPT",28033,19920331,91022,4312426,60781
"IRAN",16163,19920216,121997,7716579,121139
"EGYPT",131,19920918,181003,4399956,65040
"EGYPT",20404,19920824,174520,5261916,95671
"SAUDI ARABIA",247,19921226,56374,931259,79822
"EGYPT",7418,19921010,135583,5988746,97114
"SAUDI ARABIA",24716,19920201,25691,1616690,97001
"IRAQ",18049,19920218,105556,6647518,93693
"EGYPT",29332,19920108,89070,2541768,63544
"EGYPT",29350,19920213,90964,1532688,117297
"JORDAN",4916,19920317,126420,5641038,86785
"IRAN",18607,19921012,124234,747388,75493
"IRAQ",580,19920826,40242,354672,70934
"SAUDI ARABIA",25258,19920614,54575,7647850,91774
"SAUDI ARABIA",6968,19920801,88886,6982053,112492
"IRAQ",5182,19920323,133651,1981148,101079
"IRAN",3050,19920209,136559,315918,95733
"EGYPT",13996,19921110,133231,4955781,75853
"JORDAN",3043,19920830,177846,9049743,115430
"IRAN",20347,19921210,97005,2876742,60120
"IRAQ",5474,19920906,192638,4918450,103837
"JORDAN",26410,19920610,178313,2921751,83478
"IRAN",26282,19920201,163513,1261208,94590
"EGYPT",20458,19920106,191218,3499518,78552
"JORDAN",16817,19921026,135870,6910684,114352
"SAUDI ARABIA",16817,19921026,161519,1877645,94830
"SAUDI ARABIA",26515,19920923,169906,1355467,118554
"SAUDI ARABIA",2092,19920810,164835,4325912,113989
"SAUDI ARABIA",28051,19920608,193002,2956500,65700
"EGYPT",10846,19920204,136890,7742244,115613
"IRAQ",10846,19920204,97411,2788651,84504
"EGYPT",20474,19920328,162972,8461405,122098
"SAUDI ARABIA",29230,19920206,170105,2559367,70506
"IRAQ",5770,19920118,189353,5568913,86541
"SAUDI ARABIA",15919,19921110,176128,3732772,72247
"SAUDI ARABIA",14522,19921217,2805,5188296,102468
"SAUDI ARABIA",2101,19920805,76145,112114,67268
"IRAQ",18481,19920308,61379,5971348,80422
"SAUDI ARABIA",18481,19920308,57139,4123641,65767
"SAUDI ARABIA",21580,19920723,127007,506660,62040
"EGYPT",12700,19921217,74765,7828920,104385
"IRAN",14908,19921021,95297,2942544,77537
"IRAN",5305,19921126,3158,2016185,63669
"EGYPT",16967,19921020,141749,4387313,107444
"IRAQ",9364,19920312,167902,5460562,118194
"IRAQ",9364,19920312,127294,5308943,79277
"IRAN",17303,19920604,28058,2733330,59163
"EGYPT",25372,19920508,174405,443820,88764
"IRAN",29833,19920719,4202,4203560,66372
"EGYPT",4961,19920422,191876,7281119,118072
"IRAN",19357,19921001,129634,4238929,99817
"EGYPT",27760,19920510,152148,4586935,72008
"SAUDI ARABIA",23047,19920321,115329,1463964,80659
"IRAQ",11104,19920321,33681,161468,96880
"IRAQ",12520,19920818,171897,7796804,118133
"EGYPT",5678,19921115,3308,2422600,72678
"EGYPT",11452,19921205,199818,5178087,115068
"SAUDI ARABIA",7786,19921008,76616,1404682,95556
"SAUDI ARABIA",5339,19920226,163366,1540850,85761
"SAUDI ARABIA",5339,19920226,62285,1111326,74836
"JORDAN",8963,19920109,66263,5421036,73755
"SAUDI ARABIA",9592,19921228,81743,1034844,103484
"SAUDI ARABIA",9592,19921228,5159,2423069,63849
"SAUDI ARABIA",25759,19920204,13545,2599118,87512
"JORDAN",20674,19920601,130090,4435556,67205
"SAUDI ARABIA",26347,19921101,3609,4342674,90756
"IRAN",6692,19920707,152657,5529008,102579
"IRAN",22790,19920508,153120,2932800,70387
"JORDAN",22790,19920508,158223,3074928,76873
"JORDAN",5840,19920627,144560,4492768,96273
"IRAQ",541,19920612,21768,2843866,101385
"IRAQ",5851,19920124,48635,783896,95017
"EGYPT",23323,19920804,137125,911102,69727
"EGYPT",20038,19920320,150166,1824240,72969
"EGYPT",10468,19920512,124722,6162428,104803
"EGYPT",22351,19921230,69638,6843680,96457
"SAUDI ARABIA",5050,19920516,28272,950613,72016
"IRAN",14378,19920711,193806,1899800,113988
"SAUDI ARABIA",6089,19920818,121040,3951312,63662
"SAUDI ARABIA",1900,19920714,158405,4589222,87804
"SAUDI ARABIA",26134,19920611,26224,2619050,69013
"IRAN",3962,19920311,25831,2986611,105409
"IRAQ",18817,19921219,40457,5478004,83847
"IRAN",12314,19920920,20639,6725124,93577
"SAUDI ARABIA",12314,19920920,121463,6383178,89067
"IRAQ",24532,19920319,99013,4308126,60720
"IRAQ",25391,19921023,136349,1221869,83120
"IRAN",4118,19920922,11652,7202171,93819
"EGYPT",10600,19920703,1970,7675077,112318
"IRAN",27460,19921218,162226,5554804,77293
"SAUDI ARABIA",15019,19921219,27788,3736968,102946
"IRAN",24490,19920708,11585,5481972,89794
"IRAN",22940,19920921,194513,1286008,96450
"SAUDI ARABIA",1433,19920420,192112,4484105,72246
"IRAN",9889,19920524,32862,6332266,107691
"SAUDI ARABIA",9358,19920405,7876,2140644,107032
"IRAQ",13555,19920409,45927,7525392,112375
"IRAN",22462,19920714,18869,176998,107271
"JORDAN",18883,19920604,96575,2310207,94294
"IRAN",17923,19921209,141943,7002868,119096
"JORDAN",23569,19921001,48039,1741120,59221
"EGYPT",23857,19921125,195330,997731,85519
"EGYPT",16072,19920816,26780,6144408,102406
"JORDAN",14344,19920608,74596,785295,94235
"JORDAN",25435,19920604,189248,661933,80234
"IRAQ",18502,19920115,190149,2850022,74348
"IRAN",18502,19921010,77688,4497336,99940
"EGYPT",2443,19920730,100325,3542580,79519
"EGYPT",24445,19920516,15840,8603616,105350
"IRAN",5696,19921019,21686,3151052,96460
"JORDAN",24481,19920618,122357,5189114,82761
"IRAN",25609,19920516,60548,2808901,90512
"SAUDI ARABIA",7852,19920316,80242,3872056,73334
"IRAN",21289,19920919,134491,6796057,91529
"JORDAN",7375,19921118,89442,283425,85886
"IRAQ",19091,19920430,54067,800511,61263
"JORDAN",29989,19920216,162044,2276230,66362
"JORDAN",6956,19921011,187487,2931681,94468
"IRAN",25088,19920823,189349,3242018,86300
"IRAN",10288,19920214,33373,3621257,78382
"SAUDI ARABIA",14323,19920324,164347,4516288,84680
"IRAN",24994,19920913,15513,428553,85710
"IRAN",12914,19920927,163172,2445636,74110
"SAUDI ARABIA",18589,19920106,192227,4485348,79153
"JORDAN",18589,19920106,78190,3855027,70091
"SAUDI ARABIA",18589,19920106,11668,6192267,94779
"EGYPT",7216,19920728,100309,1036965,78558
"SAUDI ARABIA",17492,19920804,80372,6158692,81142
"IRAN",21292,19920617,133239,997428,76333
"JORDAN",21292,19920617,176571,6425523,98854
"SAUDI ARABIA",18460,19920720,141082,1650927,67384
"SAUDI ARABIA",18068,19920219,35275,5930323,72616
"IRAQ",404,19920810,110654,5932812,99879
"IRAN",27880,19920825,147527,4166179,94471
"SAUDI ARABIA",24686,19920224,121672,5081010,101620
"SAUDI ARABIA",27316,19920109,129945,6843167,118496
"EGYPT",23659,19920928,80799,6051286,106787
"IRAQ",29318,19920827,107803,4840268,108648
"IRAQ",1954,19920802,104214,2653261,73092
"IRAN",6427,19921203,76964,5380341,116457
"JORDAN",27853,19920319,1666,5223443,94059
"SAUDI ARABIA",29836,19920913,100592,3662957,95555
"SAUDI ARABIA",25876,19920922,18040,2910525,57482
"EGYPT",23392,19920105,165201,5444660,75972
"SAUDI ARABIA",10570,19920913,44275,3621231,73156
"JORDAN",839,19920405,144812,909836,111408
"IRAQ",839,19920405,13453,5329155,81987
"EGYPT",25046,19920129,198691,4474225,107381
"EGYPT",17572,19920116,6180,212891,65170
"IRAN",6958,19921014,175045,4032144,67202
"JORDAN",20786,19920713,181590,5078290,100295
"SAUDI ARABIA",20786,19920713,20677,7117619,95860
"IRAN",12865,19920216,47390,3442441,80243
"JORDAN",12865,19920216,178845,1523681,115430
"IRAQ",22582,19921008,160112,5860550,70326
"SAUDI ARABIA",10459,19920821,167020,1704447,65221
"SAUDI ARABIA",25895,19920927,124879,8481740,114232
"IRAQ",7576,19921022,91606,6168333,95856
"SAUDI ARABIA",7576,19921022,6504,5585580,84630
"SAUDI ARABIA",5603,19921007,81328,3273300,78559
"EGYPT",1280,19921031,185612,5092830,101856
"IRAN",24991,19920811,22376,5853051,77902
"IRAQ",11608,19921223,29682,6541809,96700
"IRAQ",8711,19920506,109612,5675635,97296
"IRAN",17341,19921024,4300,5665027,72258
"EGYPT",20306,19920508,72294,5766684,75977
"IRAN",4882,19921223,68722,5188819,101443
"JORDAN",4882,19921223,84379,3817436,81802
"JORDAN",6275,19920601,145278,1720251,79396
"IRAQ",18157,19920906,158906,2750860,117894
"EGYPT",24413,19920218,75928,6408594,114235
"IRAQ",28952,19921005,52497,6170478,86969
"IRAQ",17645,19920701,55332,5149320,77239
"IRAQ",9859,19920410,31221,1026628,69133
"JORDAN",15316,19920830,22692,5594900,96881
"IRAQ",19450,19920727,179971,3617911,123058
"IRAQ",19450,19920727,74170,792909,68650
"EGYPT",21266,19920526,90041,4227264,61862
"IRAQ",16423,19920505,31179,1428788,66610
"EGYPT",28852,19920229,138490,305698,91709
"IRAN",23311,19921009,175899,5134714,118493
"EGYPT",11113,19920415,105795,705909,108047
"IRAN",3370,19920930,111062,4837354,64383
