"d_yearmonthnum","s_nation","lo_partkey","lo_revenue","lo_supplycost"
199209,"IRAQ",155504,3430900,93570
199210,"EGYPT",15416,4481526,79884
199212,"EGYPT",80102,4761240,64926
199202,"SAUDI ARABIA",123522,1530064,92731
199202,"EGYPT",29671,316932,96040
199209,"JORDAN",56784,5342453,104446
199210,"IRAN",30415,2797107,80724
199212,"IRAQ",155712,1925036,106062
199211,"EGYPT",114162,2705168,70569
199211,"SAUDI ARABIA",106167,1994372,70389
199201,"EGYPT",52943,9104303,113756
199201,"IRAN",63592,2333385,93335
199201,"EGYPT",50609,5807950,93576
199202,"IRAQ",194191,4834884,77111
199212,"IRAN",156915,4880477,118314
199212,"IRAQ",24026,3103715,57001
199205,"SAUDI ARABIA",198948,6282058,122816
199204,"EGYPT",112196,4664821,72491
199211,"JORDAN",50927,7177410,112675
199206,"IRAQ",135773,177259,108526
199206,"SAUDI ARABIA",121487,7018957,90508
199207,"JORDAN",44343,2960882,77240
199203,"IRAQ",123888,8993483,114712
199202,"SAUDI ARABIA",57651,3378165,96519
199202,"IRAN",127869,8262722,113811
199210,"SAUDI ARABIA",78523,1501520,90091
199206,"IRAN",144562,5944272,96393
199208,"SAUDI ARABIA",10493,3508725,84209
199206,"IRAQ",42892,4770714,110093
199211,"IRAN",81966,2314176,116877
199208,"JORDAN",58213,3099021,70272
199208,"JORDAN",165857,7804848,115371
199201,"IRAN",13435,667472,80905
199201,"IRAQ",6739,1140490,98743
199201,"IRAN",130762,1613484,107565
199205,"JORDAN",1397,2596780,77903
199208,"SAUDI ARABIA",75977,1933440,117178
199211,"EGYPT",99622,3692428,97297
199211,"IRAQ",132192,3672570,73451
199206,"IRAQ",70108,3842348,64686
199211,"SAUDI ARABIA",190243,5199636,79994
199211,"IRAQ",1559,3435213,87633
199201,"JORDAN",25331,2216166,75379
199211,"IRAQ",171736,3720308,108463
199203,"SAUDI ARABIA",84271,2510540,75316
199207,"IRAN",251,5756250,69075
199208,"EGYPT",149706,1216700,105342
199212,"JORDAN",123241,1896360,75854
199212,"SAUDI ARABIA",60404,2005668,81864
199212,"SAUDI ARABIA",138922,1153020,117655
199207,"JORDAN",166860,7930955,115611
199205,"SAUDI ARABIA",189783,5932967,112366
199201,"JORDAN",84600,2039380,95076
199201,"JORDAN",61952,2842215,114837
199204,"EGYPT",164827,378364,113509
199211,"EGYPT",129261,5935196,77415
199208,"IRAN",184637,168719,103297
199205,"SAUDI ARABIA",31310,1703077,74478
199204,"IRAN",135829,738468,111889
199202,"IRAN",15738,5510228,99223
199201,"JORDAN",178924,1374003,120175
199203,"EGYPT",136572,6273423,96514
199212,"IRAQ",154657,1677417,102699
199212,"EGYPT",134774,8953411,108526
199209,"JORDAN",84166,1380192,69009
199206,"EGYPT",182534,2400547,96991
199211,"JORDAN",67479,5244900,86788
199201,"IRAQ",51155,4756445,66369
199201,"SAUDI ARABIA",131772,3607540,108226
199207,"IRAQ",116653,7690407,100179
199203,"IRAN",27474,6166468,84088
199212,"IRAQ",105027,1226039,61921
199208,"JORDAN",49563,2816386,90753
199208,"JORDAN",148609,1989120,99456
199201,"IRAN",179529,8042600,96511
199208,"EGYPT",44389,3466788,80002
199204,"SAUDI ARABIA",158171,2089589,73750
199207,"EGYPT",183558,482615,98493
199208,"IRAQ",134452,4661507,89187
199211,"IRAN",126698,5691477,103481
199202,"IRAQ",79931,1685440,114655
199203,"IRAN",183002,3437280,65100
199202,"IRAQ",175459,151910,92067
199206,"IRAQ",136911,6556665,116874
199203,"SAUDI ARABIA",163306,5203340,82158
199203,"SAUDI ARABIA",43790,173379,104027
199204,"IRAN",12016,2134423,55680
199204,"IRAN",120075,867295,65704
199203,"SAUDI ARABIA",189457,1224788,92787
199203,"JORDAN",62447,3209294,84566
199206,"SAUDI ARABIA",144095,1014929,68345
199204,"SAUDI ARABIA",28517,6360244,86730
199212,"IRAQ",15168,4776735,64989
199202,"IRAN",66341,1811973,78440
199202,"EGYPT",144087,997612,67864
199201,"IRAN",61257,1218250,73095
199211,"SAUDI ARABIA",10615,3289215,91536
199210,"EGYPT",86691,3690918,100661
199210,"IRAQ",66665,5756496,97899
199207,"EGYPT",142547,467324,95372
199207,"IRAN",8149,2959992,63428
199207,"JORDAN",166917,8554619,119034
199207,"IRAQ",175267,1594604,80535
199206,"SAUDI ARABIA",38208,3971583,68772
199207,"IRAQ",124876,3231479,114052
199205,"SAUDI ARABIA",121572,5896209,95614
199208,"JORDAN",162135,3555476,71827
199208,"SAUDI ARABIA",149960,2586818,120597
199211,"SAUDI ARABIA",3574,6796822,88654
199207,"IRAN",32836,875570,106129
199206,"EGYPT",132023,1055020,63301
199201,"IRAQ",127511,2153914,92310
199210,"IRAN",113789,3064726,108166
199208,"JORDAN",154150,4366247,72249
199207,"IRAQ",31173,2055964,66250
199207,"IRAQ",40915,9003019,111354
199211,"IRAQ",178667,8211584,104739
199203,"IRAQ",56894,7958827,111053
199209,"SAUDI ARABIA",181374,2709898,87322
199205,"IRAQ",84123,3037937,66427
199205,"IRAN",40768,6698339,102525
199207,"IRAN",191809,6147187,114048
199209,"EGYPT",90449,6270200,86366
199201,"SAUDI ARABIA",19326,4109556,74719
199210,"EGYPT",95919,8808586,114894
199206,"EGYPT",150222,5470546,76333
199211,"JORDAN",184194,1022552,76691
199207,"SAUDI ARABIA",145143,2445192,71288
199207,"IRAN",140284,529712,79456
199207,"EGYPT",139620,4764769,99577
199202,"EGYPT",17948,3325105,111956
199212,"IRAQ",3113,4526770,60966
199207,"IRAQ",199628,1368275,103657
199208,"IRAQ",141141,2837136,70928
199210,"IRAQ",162320,5825096,82939
199207,"JORDAN",107931,6718392,116335
199205,"IRAN",3251,565582,69255
199207,"EGYPT",77170,786958,68830
199204,"JORDAN",25688,3674349,96820
199201,"IRAN",198075,5513429,70384
199207,"EGYPT",187909,3360782,119814
199207,"JORDAN",113489,2355888,90148
199208,"IRAQ",83426,837195,84565
199206,"SAUDI ARABIA",7717,4825388,97482
199203,"IRAN",62820,8211668,106969
199202,"IRAN",68683,3561022,99100
199202,"EGYPT",149738,4111779,107263
199212,"IRAN",111583,6314536,95674
199210,"SAUDI ARABIA",79311,2402557,77418
199206,"IRAN",138948,3540727,119216
199212,"IRAN",162293,3622690,81317
199201,"IRAQ",103451,712680,87267
199210,"IRAN",168359,6641459,85641
199212,"EGYPT",154239,1939845,77593
199208,"SAUDI ARABIA",193938,8761682,121915
199205,"EGYPT",56704,6021698,99642
199201,"EGYPT",124339,6407651,81799
199203,"JORDAN",164564,3224548,97713
199203,"EGYPT",130852,9037680,112971
199207,"SAUDI ARABIA",158690,1049214,104921
199207,"JORDAN",171167,3187023,74289
199210,"EGYPT",134221,3514616,75313
199210,"EGYPT",113821,4135684,110089
199208,"JORDAN",35597,600775,91955
199205,"IRAQ",118334,3786524,81139
199206,"SAUDI ARABIA",72971,971985,116638
199201,"IRAN",96463,7005408,87567
199201,"IRAN",62441,6189170,84206
199210,"EGYPT",27288,2024656,72916
199203,"SAUDI ARABIA",174322,276471,83779
199209,"EGYPT",90032,3844876,61321
199204,"IRAN",113447,4235276,87626
199210,"EGYPT",1810,2567715,102708
199206,"SAUDI ARABIA",124649,5188284,100418
199208,"IRAQ",27333,5614770,75619
199209,"EGYPT",161963,1603768,121497
199209,"SAUDI ARABIA",187689,696458,106600
199207,"JORDAN",189140,1927291,73748
199207,"JORDAN",93352,266379,80721
199207,"IRAQ",103221,5938691,73453
199211,"EGYPT",168985,5837411,123238
199203,"IRAN",133828,2764802,111709
199211,"SAUDI ARABIA",140165,1299162,72309
199212,"SAUDI ARABIA",48327,5624161,76519
199209,"IRAN",27580,3316676,90454
199212,"SAUDI ARABIA",180150,6089242,73809
199206,"SAUDI ARABIA",150655,6310905,102339
199206,"IRAN",76061,3318592,62223
199204,"JORDAN",33564,4989869,89853
199205,"IRAN",60082,2579148,62524
199211,"IRAQ",71170,114117,68470
199207,"EGYPT",191748,3065006,110384
199210,"SAUDI ARABIA",84588,4006933,94354
199201,"EGYPT",138787,7514910,109546
199201,"EGYPT",87459,7016728,86787
199210,"IRAN",93249,2111808,74534
199201,"IRAQ",176829,2428014,114349
199201,"IRAN",158210,4268794,76092
199201,"IRAN",28601,2848115,91776
199201,"IRAQ",185122,5205101,72427
199204,"IRAQ",173987,201976,123658
199208,"IRAN",82615,3757578,95856
199209,"SAUDI ARABIA",58605,1702760,93816
199207,"JORDAN",41759,3741650,102045
199202,"EGYPT",101659,3092130,99639
199210,"EGYPT",36728,8075556,99883
199206,"SAUDI ARABIA",3590,6870514,89615
199201,"SAUDI ARABIA",57875,3810536,109972
199208,"EGYPT",42516,1312659,87510
199209,"SAUDI ARABIA",197454,1382341,93087
199209,"EGYPT",30743,2510610,100424
199203,"JORDAN",101463,3731444,87867
199212,"IRAQ",158697,3476266,105341
199206,"IRAQ",43708,1942399,99102
199206,"EGYPT",39563,5301031,90153
199208,"SAUDI ARABIA",38912,3331638,111054
199201,"SAUDI ARABIA",79764,5405656,104625
199202,"JORDAN",56666,7473971,97359
199205,"SAUDI ARABIA",196699,7721467,107741
199209,"JORDAN",15650,3874983,93939
199209,"SAUDI ARABIA",129367,1797115,83781
199211,"IRAN",86815,7769404,108108
199207,"IRAQ",2290,4721468,71537
199211,"IRAN",80630,3382323,96637
199209,"JORDAN",176779,371154,111346
199211,"SAUDI ARABIA",33304,5456493,74238
199203,"IRAN",135249,3339024,77054
199201,"JORDAN",1350,1103690,75081
199210,"IRAN",118063,5405300,64863
199201,"IRAN",17385,773613,78142
199212,"SAUDI ARABIA",106629,3400453,98137
199210,"EGYPT",160413,4714912,88404
199209,"EGYPT",185323,6348706,84499
199206,"JORDAN",82357,3543920,80361
199206,"IRAN",177179,3693139,75370
199203,"IRAN",173017,3597033,65400
199203,"EGYPT",149396,1274833,86723
199207,"SAUDI ARABIA",91089,4384044,64804
199212,"JORDAN",102491,2780878,89609
199205,"JORDAN",32102,101341,62046
199210,"JORDAN",17774,6936257,101506
199209,"SAUDI ARABIA",56035,3433918,59461
199201,"IRAN",59395,663651,81263
199210,"IRAN",59034,1278029,59581
199204,"SAUDI ARABIA",23366,893526,77361
199203,"SAUDI ARABIA",147059,3360179,66363
199201,"IRAQ",67950,6265942,115077
199205,"IRAQ",149095,3737742,68645
199208,"IRAN",127920,4242569,116875
199204,"IRAQ",80393,6180255,82403
199204,"JORDAN",159856,2682190,114951
199202,"IRAQ",166390,3172017,87383
199210,"SAUDI ARABIA",95985,8320116,118858
199210,"IRAQ",72146,3099484,67088
199210,"IRAN",72947,5375832,115196
199202,"EGYPT",159012,104958,64260
199209,"IRAN",100071,4029365,64264
199208,"SAUDI ARABIA",199022,3954958,67261
199203,"IRAQ",180827,2617529,114469
199203,"JORDAN",143322,1911448,81919
199203,"JORDAN",128667,7722035,101739
199203,"IRAN",103961,9726552,117897
199208,"JORDAN",47309,3517640,75378
199212,"IRAQ",122802,722620,109488
199203,"JORDAN",95764,4138955,105585
199203,"EGYPT",1059,846764,57603
199212,"IRAQ",89017,2070368,60360
199209,"SAUDI ARABIA",157991,4917576,122939
199210,"IRAN",9539,3974766,86911
199208,"JORDAN",184519,5657183,96210
199201,"JORDAN",95153,1951855,68889
199201,"SAUDI ARABIA",97542,4224497,92372
199207,"JORDAN",21765,4554252,101205
199207,"IRAQ",104557,1836382,93693
199207,"IRAN",80314,126842,77658
199201,"IRAQ",154164,4220924,73089
199201,"SAUDI ARABIA",12924,2387996,110215
199204,"IRAN",158900,8638749,117534
199206,"JORDAN",4367,1121339,76281
199204,"JORDAN",177126,471623,72187
199207,"EGYPT",16976,5434716,113578
199201,"EGYPT",36623,6176095,93577
199207,"EGYPT",195207,515671,78132
199210,"IRAN",85840,1084548,109550
199205,"SAUDI ARABIA",124042,4010442,63962
199205,"SAUDI ARABIA",129357,2218160,83181
199209,"IRAQ",117926,3079169,116635
199205,"SAUDI ARABIA",75947,9328181,115376
199202,"SAUDI ARABIA",187793,7557014,112847
199202,"SAUDI ARABIA",177220,4929436,77833
199203,"IRAN",80215,5388006,71712
199204,"SAUDI ARABIA",97140,4207418,68228
199208,"IRAQ",2277,4319666,70756
199208,"EGYPT",94787,7333806,106906
199201,"IRAN",180444,2867471,91466
199201,"EGYPT",8762,6181812,100245
199202,"SAUDI ARABIA",171525,7024688,95791
199203,"IRAQ",96165,1365524,69669
199202,"SAUDI ARABIA",63045,4690410,60482
199202,"JORDAN",24503,5567250,85650
199201,"EGYPT",149630,5431923,100777
199210,"IRAQ",17935,4817618,111175
199203,"IRAN",141376,280639,85042
199208,"EGYPT",38152,2243528,65409
199204,"SAUDI ARABIA",123315,132492,80298
199209,"IRAQ",37581,6915613,91114
199203,"IRAN",151486,7610526,92248
199203,"EGYPT",93653,2608293,98799
199206,"IRAQ",94224,6091100,73093
199201,"EGYPT",195622,7141863,103057
199205,"IRAN",7608,303120,90936
199212,"EGYPT",23747,4009776,100244
199201,"IRAQ",21345,2233823,75980
199203,"EGYPT",56033,4846247,59341
199203,"IRAQ",37837,3727143,106489
199203,"EGYPT",21317,619155,74298
199210,"IRAN",132065,5321838,65823
199209,"IRAQ",181647,4494464,103718
199204,"IRAQ",63832,703965,107749
199211,"EGYPT",184376,1574278,87622
199205,"JORDAN",128089,223416,67024
199207,"IRAN",137494,7354214,91889
199207,"EGYPT",59874,7335480,110032
199208,"IRAN",31511,285616,86550
199209,"JORDAN",929,2173944,109795
199211,"IRAQ",19565,4073632,89073
199205,"JORDAN",50183,222103,67990
199211,"JORDAN",10353,2001146,75801
199205,"EGYPT",147903,9656955,117054
199212,"JORDAN",9303,4920725,72738
199207,"IRAQ",120696,7570602,103001
199210,"EGYPT",154181,5991858,74110
199209,"IRAQ",98395,6345498,83603
199206,"EGYPT",97551,459919,92913
199208,"EGYPT",169228,2825345,77833
199206,"EGYPT",59949,2672516,114536
199203,"EGYPT",147105,3225880,69126
199211,"SAUDI ARABIA",173806,1488801,112788
199202,"EGYPT",175808,1507040,113028
199202,"EGYPT",193483,2162930,94588
199208,"IRAN",69539,301706,90511
199203,"IRAN",100675,7553920,100540
199203,"IRAN",195334,6792176,85759
199206,"SAUDI ARABIA",178134,4969733,72727
199210,"SAUDI ARABIA",120834,8346735,111289
199210,"SAUDI ARABIA",156731,2831764,107263
199203,"EGYPT",144350,5935747,83661
199202,"SAUDI ARABIA",15974,6236901,113398
199208,"IRAQ",165832,5072899,113869
199206,"IRAQ",35988,4336650,115438
199206,"EGYPT",47699,1467200,98801
199210,"EGYPT",169786,4409333,111346
199208,"JORDAN",185060,3514189,68703
199212,"IRAN",110708,6905736,103122
199210,"EGYPT",108849,2574966,111470
199210,"JORDAN",57193,690114,69011
199212,"EGYPT",122376,4933449,83902
199203,"JORDAN",18772,2651127,101446
199209,"IRAQ",49862,3766856,108711
199202,"IRAQ",189009,1829268,65880
199202,"IRAQ",60725,2528580,101143
199210,"SAUDI ARABIA",2395,1027532,77843
199211,"IRAN",99468,1869544,88047
199208,"SAUDI ARABIA",16542,433186,87512
199203,"EGYPT",80171,4259329,69070
199211,"IRAN",90810,2823670,108048
199211,"EGYPT",129532,4059978,93691
199201,"JORDAN",45211,1373577,69372
199209,"SAUDI ARABIA",92987,6731932,118798
199201,"SAUDI ARABIA",174137,2757743,72667
199205,"JORDAN",35993,7561640,115739
199205,"EGYPT",75812,5080956,107268
199211,"IRAN",142088,2685070,67804
199208,"SAUDI ARABIA",166170,856665,74170
199210,"IRAQ",62715,3523191,100662
199204,"IRAQ",155182,734884,74230
199210,"SAUDI ARABIA",188742,3624865,109844
199210,"IRAN",154952,3736940,120417
199209,"EGYPT",150141,1650920,71468
199207,"SAUDI ARABIA",161331,137840,83539
199211,"JORDAN",90066,2006514,63363
199210,"IRAQ",82123,656441,66307
199210,"IRAN",26545,1019777,88292
199212,"SAUDI ARABIA",49786,1360851,104146
199207,"SAUDI ARABIA",89906,3715964,113754
199210,"SAUDI ARABIA",116464,7328277,88827
199203,"IRAQ",76962,1357272,116337
199203,"IRAQ",82478,6726924,87628
199207,"SAUDI ARABIA",30359,2274413,77361
199207,"EGYPT",52321,6302934,76399
199206,"IRAQ",185687,1216058,106360
199205,"IRAQ",116401,6528544,85044
199208,"SAUDI ARABIA",182469,2280646,93087
199206,"JORDAN",105139,5720650,68647
199202,"SAUDI ARABIA",124511,1520154,92130
199207,"JORDAN",91039,1236036,61801
199204,"IRAN",184864,6559862,116931
199211,"IRAN",78967,3051265,116757
199204,"IRAQ",154763,1799582,109065
199204,"EGYPT",105925,772368,115855
199206,"IRAN",39566,4769614,90333
199212,"IRAN",45909,2726703,111294
199204,"EGYPT",162258,3696700,79215
199202,"JORDAN",184130,4735107,72847
199208,"IRAQ",20622,7558838,92557
199207,"SAUDI ARABIA",10343,1842409,75200
199201,"SAUDI ARABIA",14310,6121550,73458
199205,"SAUDI ARABIA",141021,1366819,63721
199204,"SAUDI ARABIA",20957,6197235,112677
199210,"SAUDI ARABIA",32530,4299838,87751
199202,"EGYPT",64881,180896,110752
199202,"SAUDI ARABIA",97788,4375161,107146
199203,"EGYPT",32075,805656,60424
199205,"EGYPT",18245,1861184,69794
199201,"EGYPT",43883,8951712,109612
199211,"IRAN",77464,3603650,86487
199205,"IRAQ",183595,6314855,100715
199201,"SAUDI ARABIA",157472,1529470,91768
199212,"IRAN",57453,691120,84627
199208,"JORDAN",101821,4192486,109369
199201,"JORDAN",113777,4476925,107446
199209,"EGYPT",1285,3138896,71176
199201,"SAUDI ARABIA",177220,2440070,77833
199203,"JORDAN",171218,2400509,77352
199208,"IRAN",125208,5005558,73992
199202,"IRAQ",192907,1175941,119994
199211,"JORDAN",186063,4616923,68943
199207,"IRAQ",26060,2169332,59163
199201,"JORDAN",30287,3615321,73036
199210,"EGYPT",78788,6406344,106006
199212,"IRAN",76434,705215,84625
199212,"EGYPT",25959,1662525,113097
199205,"IRAQ",86827,533263,108829
199205,"IRAQ",124710,3642891,104082
199204,"EGYPT",23236,5738188,69553
199203,"IRAN",141969,2189935,120657
199212,"IRAQ",91873,369244,111892
199211,"IRAQ",29580,1056706,90574
199203,"IRAN",153683,7294056,104200
199211,"EGYPT",190278,4741055,82096
199209,"SAUDI ARABIA",1221,2356662,67333
199201,"EGYPT",125309,3269035,80058
199211,"EGYPT",55174,4359725,67750
199208,"SAUDI ARABIA",97521,902000,91111
199202,"JORDAN",115950,3660598,117957
199202,"IRAN",115193,5920131,72491
199206,"EGYPT",71585,2593262,93394
199208,"SAUDI ARABIA",117456,3465554,88407
199208,"JORDAN",102399,412008,84083
199207,"SAUDI ARABIA",18788,1013827,102406
199212,"IRAQ",59368,1327360,79641
199211,"SAUDI ARABIA",129085,4344912,66844
199211,"IRAQ",46765,5703584,102705
199207,"SAUDI ARABIA",197377,7371850,88462
199205,"IRAN",39918,4966193,111474
199210,"EGYPT",8860,3466965,106131
199209,"JORDAN",148158,5427675,72369
199206,"IRAQ",7756,7986000,99825
199210,"IRAN",77546,1194455,91412
199208,"IRAQ",145618,2162693,99816
199207,"EGYPT",147214,4666477,75672
199207,"EGYPT",19290,5746546,72557
199208,"IRAQ",68098,2638572,63965
199208,"EGYPT",138757,4047620,107745
199212,"EGYPT",115353,4789225,82101
199207,"EGYPT",197036,5329773,67981
199212,"IRAQ",21174,216843,65710
199211,"SAUDI ARABIA",12463,4221286,82527
