"d_yearmonthnum","s_nation","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
199207,"IRAN",20174,4253,2268210,69435
199201,"SAUDI ARABIA",7355,192765,5333628,111465
199202,"IRAQ",385,51628,1548027,94777
199201,"IRAQ",17488,15811,7770645,103608
199204,"IRAQ",17140,76939,6947162,114955
199203,"IRAQ",20767,80415,414436,83724
199205,"SAUDI ARABIA",5800,73265,1961403,74295
199204,"EGYPT",12877,128245,891268,76394
199209,"EGYPT",7040,46695,656676,98501
199212,"SAUDI ARABIA",6919,26397,4539227,79403
199211,"EGYPT",20818,15402,5293313,79044
199204,"IRAQ",19915,122984,4327048,120418
199203,"EGYPT",23776,67977,6931873,116698
199209,"EGYPT",19825,107820,179126,109669
199207,"SAUDI ARABIA",428,66127,3060736,65587
199207,"EGYPT",18740,179255,130756,80055
199203,"IRAN",8663,168665,6178764,104019
199210,"SAUDI ARABIA",26161,80566,309312,92793
199205,"JORDAN",27391,142969,199184,120717
199205,"IRAQ",27391,69240,2873154,72554
199210,"SAUDI ARABIA",22121,179370,4927858,86962
199201,"JORDAN",3367,120779,7305266,107986
199211,"EGYPT",18272,54080,4446544,62044
199205,"IRAQ",10804,109110,553959,67146
199210,"SAUDI ARABIA",29870,90414,3791907,84264
199209,"SAUDI ARABIA",12719,147440,2231160,89246
199212,"SAUDI ARABIA",13196,91427,2808471,85105
199201,"IRAN",3094,2587,4571521,89374
199208,"JORDAN",6707,164928,9374695,119575
199212,"JORDAN",17167,27158,4449115,65109
199203,"JORDAN",11275,123200,2397472,73392
199211,"JORDAN",25937,29798,2394716,103667
199211,"SAUDI ARABIA",28313,122471,2538899,89608
199204,"IRAQ",12527,168530,3006834,95911
199205,"SAUDI ARABIA",5668,190425,3300584,90925
199205,"IRAN",5668,198229,130067,79633
199203,"EGYPT",18742,177870,5978013,116872
199207,"IRAN",4562,82405,543860,83244
199208,"EGYPT",2779,83207,1399675,71412
199208,"IRAQ",2779,184295,4325453,82757
199208,"EGYPT",14923,104571,6459837,94534
199205,"EGYPT",2920,133473,6348264,90388
199205,"EGYPT",22144,191314,3934868,84318
199210,"IRAN",13159,31999,8689455,115859
199212,"SAUDI ARABIA",23431,2230,452892,67933
199204,"JORDAN",21929,5685,1870639,95440
199204,"IRAQ",9100,58614,4469357,94356
199204,"IRAQ",9100,116330,4749852,80779
199204,"SAUDI ARABIA",1688,144695,6372484,104381
199210,"EGYPT",23066,151273,2855126,79456
199210,"EGYPT",23066,42448,2340110,83426
199208,"EGYPT",13054,131227,2740403,75493
199203,"IRAN",25867,32184,1326021,66970
199205,"IRAN",6785,90325,263064,78919
199210,"IRAQ",11398,58405,2004198,81804
199202,"IRAN",23596,131502,5827300,92010
199209,"IRAQ",21733,183710,7712953,107622
199209,"JORDAN",21733,107838,3691660,110749
199203,"IRAQ",18428,50978,189039,115738
199208,"IRAQ",1177,183195,1022552,76691
199212,"SAUDI ARABIA",18511,2305,2897520,72438
199207,"IRAQ",13891,186332,1263732,85099
199208,"IRAN",18760,89289,4985292,76696
199204,"SAUDI ARABIA",8627,142478,6233927,91228
199212,"IRAQ",18302,137946,6481531,119036
199210,"IRAQ",3689,144876,1505962,115252
199205,"IRAN",21908,136331,5820723,82039
199210,"EGYPT",10378,78322,3568078,78019
199207,"JORDAN",25412,10739,5552991,98983
199207,"EGYPT",18406,184705,4735546,107382
199210,"IRAQ",7793,103401,4404198,84264
199210,"IRAQ",7793,96888,2401337,113092
199204,"SAUDI ARABIA",25924,155511,5012832,93990
199203,"IRAQ",21301,174919,7501089,119634
199208,"EGYPT",12896,35265,3646389,72015
199205,"IRAQ",13415,32943,2389947,112556
199202,"SAUDI ARABIA",10417,152443,740242,89726
199212,"IRAN",29029,16549,3016081,87932
199212,"IRAN",29029,98178,352851,70570
199204,"EGYPT",5872,182243,4155952,79514
199211,"JORDAN",14554,82554,152118,92193
199204,"IRAQ",20285,180137,2409917,73027
199208,"SAUDI ARABIA",19238,149820,6963209,112189
199201,"SAUDI ARABIA",22406,121473,439374,89668
199207,"EGYPT",18880,62616,4177002,94716
199203,"SAUDI ARABIA",8275,26440,2946044,81986
199205,"IRAQ",10789,6245,4851325,69074
199207,"JORDAN",3260,184467,7679727,93087
199207,"EGYPT",3260,124030,4487005,63241
199203,"JORDAN",8092,87777,8474425,105886
199204,"SAUDI ARABIA",22174,97358,2951952,81321
199208,"IRAN",7852,198129,3487475,73627
199205,"IRAQ",14356,31129,1889133,63607
199203,"IRAN",7913,149762,2840839,108705
199201,"IRAN",4936,95456,3840536,87087
199205,"IRAN",24934,38634,7784518,94357
199212,"SAUDI ARABIA",13042,110808,2495393,109128
199205,"IRAN",21946,143200,2680339,74592
199207,"IRAN",3305,47542,893724,89372
199207,"IRAQ",29572,126605,323056,97896
199205,"JORDAN",6196,119642,4984920,99698
199210,"IRAQ",6913,160295,2922005,81317
199210,"IRAQ",331,140150,3689465,71409
199204,"JORDAN",25522,28638,7676487,93997
199212,"JORDAN",18386,196398,1046073,89663
199209,"JORDAN",27241,17374,3744973,77482
199204,"SAUDI ARABIA",28732,172787,2761773,111586
199202,"IRAN",2978,193370,3441846,87802
199202,"EGYPT",2978,181846,6747440,115670
199203,"IRAQ",8723,127347,1088477,82460
199212,"EGYPT",12818,189594,3333508,101015
199207,"EGYPT",17155,92461,3133659,87207
199202,"IRAQ",145,58392,3208526,81023
199201,"IRAQ",9073,168534,4868486,96151
199201,"SAUDI ARABIA",9073,148757,5485868,108345
199209,"IRAN",25091,160679,6436779,104380
199211,"IRAN",5464,182129,3323313,72667
199210,"IRAN",28492,166395,3215058,87683
199210,"IRAN",28492,19946,9143106,111956
199211,"IRAQ",25190,40418,1331241,81504
199211,"SAUDI ARABIA",25190,56841,3056328,107870
199204,"EGYPT",16234,49882,1465504,109912
199204,"IRAN",16234,2270,4710180,70336
199206,"IRAQ",11003,997,8920553,113879
199203,"EGYPT",22474,28020,2654456,56881
199206,"SAUDI ARABIA",21799,123437,584172,87625
199202,"IRAN",5791,20994,5254732,114899
199208,"IRAN",21298,70834,8489920,108289
199209,"SAUDI ARABIA",9767,60477,4696214,86248
199204,"IRAQ",9229,89112,5395439,66066
199204,"IRAN",9229,182910,4340557,119574
199211,"JORDAN",8788,158815,6492751,112428
199208,"EGYPT",21910,94486,2072672,88828
199201,"SAUDI ARABIA",8680,75276,867130,75076
199201,"SAUDI ARABIA",28102,166733,6878568,107983
199212,"IRAQ",19120,34462,5200417,83787
199203,"SAUDI ARABIA",5569,140153,4252386,71589
199212,"IRAN",26374,105883,1480881,113332
199206,"SAUDI ARABIA",23215,173082,5093902,69304
199208,"EGYPT",14849,96664,6509787,99639
199208,"IRAN",14849,26446,3496977,82346
199212,"EGYPT",988,44654,5222789,95919
199202,"JORDAN",25267,105064,3810129,64143
199208,"IRAQ",29369,128833,8750601,111709
199208,"EGYPT",9148,122056,215610,64683
199202,"JORDAN",13615,36394,921960,79823
199210,"IRAQ",5891,173509,6736702,94950
199203,"SAUDI ARABIA",10826,43916,2025441,111594
199207,"EGYPT",17483,20205,2977279,67512
199205,"IRAN",19291,132699,4582051,103901
199209,"EGYPT",8353,198634,2079156,103957
199204,"SAUDI ARABIA",19690,52827,6976894,106789
199212,"SAUDI ARABIA",16531,76144,5212011,67208
199203,"JORDAN",4547,191110,4564218,72066
199203,"EGYPT",26014,132348,683268,82820
199211,"EGYPT",19936,22034,3728517,57361
199201,"IRAN",22220,127253,6017175,76815
199204,"IRAQ",17021,111947,6787727,117536
199204,"EGYPT",15034,40781,1534105,103306
199201,"IRAN",28634,91608,4546063,95976
199212,"EGYPT",27268,194318,968844,84738
199205,"IRAN",3874,88922,3821840,114655
199207,"SAUDI ARABIA",5485,28666,5581310,95679
199205,"IRAQ",10585,110402,4194828,84744
199204,"JORDAN",25403,107667,502398,100479
199210,"SAUDI ARABIA",16201,173591,6198933,99875
199207,"EGYPT",8546,159143,3726634,72128
199207,"IRAQ",8546,107988,5588744,119758
199203,"IRAN",2713,96963,5762282,117597
199207,"IRAN",4645,195871,7474106,118012
199203,"SAUDI ARABIA",7895,156224,5449896,76813
199208,"SAUDI ARABIA",20482,119711,8310869,103842
199207,"IRAQ",25324,78751,6272073,103785
199209,"SAUDI ARABIA",26663,186489,3781152,94528
199208,"JORDAN",28954,3669,4717980,94359
199206,"IRAQ",9433,41427,5766521,82105
199205,"EGYPT",16919,174561,2752647,98133
199202,"IRAQ",25561,131825,8639783,111409
199201,"IRAQ",26383,90438,979902,85705
199210,"IRAQ",24544,116625,3775726,98497
199202,"JORDAN",25840,21109,4997015,61806
199202,"EGYPT",25840,154719,6030614,106422
199212,"EGYPT",27811,181158,4832685,74349
199208,"EGYPT",29929,176922,4551540,119935
199206,"EGYPT",683,172712,892355,107082
199202,"JORDAN",12319,113613,6376311,97596
199211,"EGYPT",13075,169407,3069435,88584
199204,"IRAN",20242,71545,4203848,90992
199201,"IRAQ",17308,57030,2566278,59221
199201,"SAUDI ARABIA",5593,14170,3219984,65050
199211,"SAUDI ARABIA",6670,34963,2254776,113877
199201,"EGYPT",28268,164648,2397696,102758
199201,"IRAQ",28268,3476,4866770,82768
199204,"EGYPT",12502,80186,2565596,69970
199210,"EGYPT",29305,22431,2652722,81205
199211,"JORDAN",18869,113172,3555510,71110
199203,"EGYPT",697,194343,4930076,86240
199201,"JORDAN",15988,117039,1254563,63361
199204,"IRAN",6991,161301,6069046,81738
199212,"SAUDI ARABIA",10990,119942,6021193,117716
199208,"IRAQ",13174,185311,1642060,83778
199208,"IRAN",13174,114888,570864,114172
199204,"SAUDI ARABIA",12413,58708,1333360,100002
199204,"IRAN",12413,18229,3485254,68833
199201,"SAUDI ARABIA",23549,167542,3701942,96572
199201,"SAUDI ARABIA",23549,159375,4118076,86062
199211,"EGYPT",2813,61161,5388612,67329
199207,"JORDAN",25237,181416,1037705,89844
199206,"IRAN",19304,56952,1889860,114537
199203,"SAUDI ARABIA",7190,65743,4905792,102524
199201,"SAUDI ARABIA",7537,126422,1013894,86905
199201,"IRAN",23299,92201,4560410,71592
199202,"IRAQ",26575,8386,5510175,77662
199210,"IRAN",3593,188233,261603,79273
199205,"EGYPT",22661,73982,968210,117358
199211,"IRAN",4214,163250,1820164,78795
199212,"EGYPT",7096,89152,5422744,68469
199211,"EGYPT",14554,132683,7377424,102940
199208,"IRAQ",11830,51104,2193552,63306
199211,"IRAQ",22970,65877,7555767,110572
199208,"IRAN",22156,194124,2558052,73087
199204,"SAUDI ARABIA",12046,126155,1653610,70869
199204,"EGYPT",12046,72551,4777852,91413
199206,"SAUDI ARABIA",22652,160529,4720874,95371
199206,"SAUDI ARABIA",22652,9127,1827715,62167
199205,"JORDAN",16960,194250,1712574,80655
199206,"EGYPT",24280,19373,2713977,77542
199202,"JORDAN",16915,77405,4606156,82944
199205,"IRAQ",29204,96721,5723443,103063
199211,"IRAN",14854,105486,5816772,89488
199205,"JORDAN",11980,94096,1744144,65405
199205,"IRAQ",11980,55785,4700106,104446
199210,"IRAQ",14066,12068,1274078,58803
199209,"SAUDI ARABIA",18091,186021,542439,66421
199210,"SAUDI ARABIA",16168,187156,1230718,74589
199208,"IRAQ",15241,38361,2186822,77961
199202,"SAUDI ARABIA",6970,117575,3121437,95554
199209,"JORDAN",2284,156530,1710279,95191
199209,"IRAQ",2203,171408,887640,88764
199204,"EGYPT",19355,165306,2150198,82278
199210,"EGYPT",17738,64383,6402749,80842
199209,"IRAN",25259,135678,2570505,102820
199209,"IRAQ",14455,57072,4527908,61744
199207,"SAUDI ARABIA",21985,146137,1391360,70987
199209,"IRAN",2399,111244,2112568,75314
199206,"EGYPT",6334,170111,5787439,70866
199204,"JORDAN",27496,139624,1646983,99817
199202,"IRAN",24358,140779,5171786,109186
199209,"JORDAN",16567,113758,347263,106305
199207,"EGYPT",19801,143466,3254395,90567
199207,"IRAN",19801,26990,6951005,115019
199207,"IRAQ",19801,171761,1632989,109965
199212,"EGYPT",27466,130707,6193162,104262
199211,"IRAN",28646,157056,5017629,66783
199211,"IRAQ",12220,48927,6434405,112555
199211,"JORDAN",12220,49415,6003404,81864
199211,"IRAN",12220,101713,1188294,102882
199210,"SAUDI ARABIA",19609,177103,4484380,70806
199208,"IRAQ",18689,186915,6540239,120114
199205,"EGYPT",3145,54834,1788830,107329
199211,"IRAN",22627,193806,6702494,113988
199201,"EGYPT",26381,176584,7323157,99634
199207,"IRAN",185,51919,370440,112254
199206,"SAUDI ARABIA",8201,187118,3306821,72306
199206,"EGYPT",8201,78076,2995666,63244
199210,"IRAQ",12299,146355,5605400,84081
199201,"IRAQ",4672,11877,6552630,107332
199204,"SAUDI ARABIA",16591,194917,6438112,120714
199203,"SAUDI ARABIA",14422,165716,8381163,106902
199212,"EGYPT",12721,113137,575065,69007
199203,"EGYPT",4687,76389,3211373,81922
199211,"JORDAN",12263,34440,3710988,82466
199207,"SAUDI ARABIA",26815,34214,5396587,68892
199207,"IRAN",4048,188687,4394808,106540
199209,"IRAN",13939,119955,5225717,118497
199206,"JORDAN",15749,125886,4496741,114712
199206,"EGYPT",21733,141013,1982592,63240
199202,"IRAQ",9224,29363,1292360,77541
199211,"IRAQ",17935,103173,1863053,70570
199206,"IRAQ",23359,85420,3513550,84325
199205,"EGYPT",28535,138207,5976960,74712
199210,"JORDAN",11590,89975,4279704,117898
199205,"IRAN",5903,182036,1643504,67081
199203,"SAUDI ARABIA",22520,88236,2759414,73453
199206,"JORDAN",18286,48012,2728348,57600
199208,"IRAQ",26311,75844,5528673,109190
199201,"EGYPT",11077,15261,5881300,70575
199207,"IRAN",6532,36733,4745372,100183
199205,"SAUDI ARABIA",857,99702,3835631,102102
199210,"SAUDI ARABIA",15923,7572,1923441,88774
199212,"IRAQ",7141,163941,7939562,120296
199207,"IRAQ",17812,16050,3786916,57963
199211,"EGYPT",12182,4756,664300,99645
199209,"JORDAN",11600,45834,872116,106789
199204,"IRAN",23452,110169,3235615,70749
199204,"JORDAN",19688,182235,2839947,79033
199203,"JORDAN",14569,165323,1224498,83299
199206,"EGYPT",9325,192336,2939503,85699
199203,"EGYPT",28033,91022,4312426,60781
199202,"IRAN",16163,121997,7716579,121139
199209,"EGYPT",131,181003,4399956,65040
199208,"EGYPT",20404,174520,5261916,95671
199212,"SAUDI ARABIA",247,56374,931259,79822
199210,"EGYPT",7418,135583,5988746,97114
199202,"SAUDI ARABIA",24716,25691,1616690,97001
199202,"IRAQ",18049,105556,6647518,93693
199201,"EGYPT",29332,89070,2541768,63544
199202,"EGYPT",29350,90964,1532688,117297
199203,"JORDAN",4916,126420,5641038,86785
199210,"IRAN",18607,124234,747388,75493
199208,"IRAQ",580,40242,354672,70934
199206,"SAUDI ARABIA",25258,54575,7647850,91774
199208,"SAUDI ARABIA",6968,88886,6982053,112492
199203,"IRAQ",5182,133651,1981148,101079
199202,"IRAN",3050,136559,315918,95733
199211,"EGYPT",13996,133231,4955781,75853
199208,"JORDAN",3043,177846,9049743,115430
199212,"IRAN",20347,97005,2876742,60120
199209,"IRAQ",5474,192638,4918450,103837
199206,"JORDAN",26410,178313,2921751,83478
199202,"IRAN",26282,163513,1261208,94590
199201,"EGYPT",20458,191218,3499518,78552
199210,"JORDAN",16817,135870,6910684,114352
199210,"SAUDI ARABIA",16817,161519,1877645,94830
199209,"SAUDI ARABIA",26515,169906,1355467,118554
199208,"SAUDI ARABIA",2092,164835,4325912,113989
199206,"SAUDI ARABIA",28051,193002,2956500,65700
199202,"EGYPT",10846,136890,7742244,115613
199202,"IRAQ",10846,97411,2788651,84504
199203,"EGYPT",20474,162972,8461405,122098
199202,"SAUDI ARABIA",29230,170105,2559367,70506
199201,"IRAQ",5770,189353,5568913,86541
199211,"SAUDI ARABIA",15919,176128,3732772,72247
199212,"SAUDI ARABIA",14522,2805,5188296,102468
199208,"SAUDI ARABIA",2101,76145,112114,67268
199203,"IRAQ",18481,61379,5971348,80422
199203,"SAUDI ARABIA",18481,57139,4123641,65767
199207,"SAUDI ARABIA",21580,127007,506660,62040
199212,"EGYPT",12700,74765,7828920,104385
199210,"IRAN",14908,95297,2942544,77537
199211,"IRAN",5305,3158,2016185,63669
199210,"EGYPT",16967,141749,4387313,107444
199203,"IRAQ",9364,167902,5460562,118194
199203,"IRAQ",9364,127294,5308943,79277
199206,"IRAN",17303,28058,2733330,59163
199205,"EGYPT",25372,174405,443820,88764
199207,"IRAN",29833,4202,4203560,66372
199204,"EGYPT",4961,191876,7281119,118072
199210,"IRAN",19357,129634,4238929,99817
199205,"EGYPT",27760,152148,4586935,72008
199203,"SAUDI ARABIA",23047,115329,1463964,80659
199203,"IRAQ",11104,33681,161468,96880
199208,"IRAQ",12520,171897,7796804,118133
199211,"EGYPT",5678,3308,2422600,72678
199212,"EGYPT",11452,199818,5178087,115068
199210,"SAUDI ARABIA",7786,76616,1404682,95556
199202,"SAUDI ARABIA",5339,163366,1540850,85761
199202,"SAUDI ARABIA",5339,62285,1111326,74836
199201,"JORDAN",8963,66263,5421036,73755
199212,"SAUDI ARABIA",9592,81743,1034844,103484
199212,"SAUDI ARABIA",9592,5159,2423069,63849
199202,"SAUDI ARABIA",25759,13545,2599118,87512
199206,"JORDAN",20674,130090,4435556,67205
199211,"SAUDI ARABIA",26347,3609,4342674,90756
199207,"IRAN",6692,152657,5529008,102579
199205,"IRAN",22790,153120,2932800,70387
199205,"JORDAN",22790,158223,3074928,76873
199206,"JORDAN",5840,144560,4492768,96273
199206,"IRAQ",541,21768,2843866,101385
199201,"IRAQ",5851,48635,783896,95017
199208,"EGYPT",23323,137125,911102,69727
199203,"EGYPT",20038,150166,1824240,72969
199205,"EGYPT",10468,124722,6162428,104803
199212,"EGYPT",22351,69638,6843680,96457
199205,"SAUDI ARABIA",5050,28272,950613,72016
199207,"IRAN",14378,193806,1899800,113988
199208,"SAUDI ARABIA",6089,121040,3951312,63662
199207,"SAUDI ARABIA",1900,158405,4589222,87804
199206,"SAUDI ARABIA",26134,26224,2619050,69013
199203,"IRAN",3962,25831,2986611,105409
199212,"IRAQ",18817,40457,5478004,83847
199209,"IRAN",12314,20639,6725124,93577
199209,"SAUDI ARABIA",12314,121463,6383178,89067
199203,"IRAQ",24532,99013,4308126,60720
199210,"IRAQ",25391,136349,1221869,83120
199209,"IRAN",4118,11652,7202171,93819
199207,"EGYPT",10600,1970,7675077,112318
199212,"IRAN",27460,162226,5554804,77293
199212,"SAUDI ARABIA",15019,27788,3736968,102946
199207,"IRAN",24490,11585,5481972,89794
199209,"IRAN",22940,194513,1286008,96450
199204,"SAUDI ARABIA",1433,192112,4484105,72246
199205,"IRAN",9889,32862,6332266,107691
199204,"SAUDI ARABIA",9358,7876,2140644,107032
199204,"IRAQ",13555,45927,7525392,112375
199207,"IRAN",22462,18869,176998,107271
199206,"JORDAN",18883,96575,2310207,94294
199212,"IRAN",17923,141943,7002868,119096
199210,"JORDAN",23569,48039,1741120,59221
199211,"EGYPT",23857,195330,997731,85519
199208,"EGYPT",16072,26780,6144408,102406
199206,"JORDAN",14344,74596,785295,94235
199206,"JORDAN",25435,189248,661933,80234
199201,"IRAQ",18502,190149,2850022,74348
199210,"IRAN",18502,77688,4497336,99940
199207,"EGYPT",2443,100325,3542580,79519
199205,"EGYPT",24445,15840,8603616,105350
199210,"IRAN",5696,21686,3151052,96460
199206,"JORDAN",24481,122357,5189114,82761
199205,"IRAN",25609,60548,2808901,90512
199203,"SAUDI ARABIA",7852,80242,3872056,73334
199209,"IRAN",21289,134491,6796057,91529
199211,"JORDAN",7375,89442,283425,85886
199204,"IRAQ",19091,54067,800511,61263
199202,"JORDAN",29989,162044,2276230,66362
199210,"JORDAN",6956,187487,2931681,94468
199208,"IRAN",25088,189349,3242018,86300
199202,"IRAN",10288,33373,3621257,78382
199203,"SAUDI ARABIA",14323,164347,4516288,84680
199209,"IRAN",24994,15513,428553,85710
199209,"IRAN",12914,163172,2445636,74110
199201,"SAUDI ARABIA",18589,192227,4485348,79153
199201,"JORDAN",18589,78190,3855027,70091
199201,"SAUDI ARABIA",18589,11668,6192267,94779
199207,"EGYPT",7216,100309,1036965,78558
199208,"SAUDI ARABIA",17492,80372,6158692,81142
199206,"IRAN",21292,133239,997428,76333
199206,"JORDAN",21292,176571,6425523,98854
199207,"SAUDI ARABIA",18460,141082,1650927,67384
199202,"SAUDI ARABIA",18068,35275,5930323,72616
199208,"IRAQ",404,110654,5932812,99879
199208,"IRAN",27880,147527,4166179,94471
199202,"SAUDI ARABIA",24686,121672,5081010,101620
199201,"SAUDI ARABIA",27316,129945,6843167,118496
199209,"EGYPT",23659,80799,6051286,106787
199208,"IRAQ",29318,107803,4840268,108648
199208,"IRAQ",1954,104214,2653261,73092
199212,"IRAN",6427,76964,5380341,116457
199203,"JORDAN",27853,1666,5223443,94059
199209,"SAUDI ARABIA",29836,100592,3662957,95555
199209,"SAUDI ARABIA",25876,18040,2910525,57482
199201,"EGYPT",23392,165201,5444660,75972
199209,"SAUDI ARABIA",10570,44275,3621231,73156
199204,"JORDAN",839,144812,909836,111408
199204,"IRAQ",839,13453,5329155,81987
199201,"EGYPT",25046,198691,4474225,107381
199201,"EGYPT",17572,6180,212891,65170
199210,"IRAN",6958,175045,4032144,67202
199207,"JORDAN",20786,181590,5078290,100295
199207,"SAUDI ARABIA",20786,20677,7117619,95860
199202,"IRAN",12865,47390,3442441,80243
199202,"JORDAN",12865,178845,1523681,115430
199210,"IRAQ",22582,160112,5860550,70326
199208,"SAUDI ARABIA",10459,167020,1704447,65221
199209,"SAUDI ARABIA",25895,124879,8481740,114232
199210,"IRAQ",7576,91606,6168333,95856
199210,"SAUDI ARABIA",7576,6504,5585580,84630
199210,"SAUDI ARABIA",5603,81328,3273300,78559
199210,"EGYPT",1280,185612,5092830,101856
199208,"IRAN",24991,22376,5853051,77902
199212,"IRAQ",11608,29682,6541809,96700
199205,"IRAQ",8711,109612,5675635,97296
199210,"IRAN",17341,4300,5665027,72258
199205,"EGYPT",20306,72294,5766684,75977
199212,"IRAN",4882,68722,5188819,101443
199212,"JORDAN",4882,84379,3817436,81802
199206,"JORDAN",6275,145278,1720251,79396
199209,"IRAQ",18157,158906,2750860,117894
199202,"EGYPT",24413,75928,6408594,114235
199210,"IRAQ",28952,52497,6170478,86969
199207,"IRAQ",17645,55332,5149320,77239
199204,"IRAQ",9859,31221,1026628,69133
199208,"JORDAN",15316,22692,5594900,96881
199207,"IRAQ",19450,179971,3617911,123058
199207,"IRAQ",19450,74170,792909,68650
199205,"EGYPT",21266,90041,4227264,61862
199205,"IRAQ",16423,31179,1428788,66610
199202,"EGYPT",28852,138490,305698,91709
199210,"IRAN",23311,175899,5134714,118493
199204,"EGYPT",11113,105795,705909,108047
199209,"IRAN",3370,111062,4837354,64383
199206,"SAUDI ARABIA",2884,152783,5757006,110146
199204,"IRAQ",14713,20824,3315158,104689
199205,"SAUDI ARABIA",10123,139999,3396957,122339
199205,"IRAN",10123,155535,5566855,95431
199205,"IRAN",10123,188861,7721445,116991
199201,"SAUDI ARABIA",5779,192226,5296607,79093
199201,"IRAQ",5779,6880,1250816,107212
199205,"SAUDI ARABIA",22867,84273,3609622,75436
199205,"SAUDI ARABIA",22867,17528,5492976,86731
199208,"SAUDI ARABIA",10672,34080,4770232,60844
199204,"SAUDI ARABIA",9643,161056,2322346,67023
199204,"EGYPT",9643,66392,1748247,81503
199205,"JORDAN",25534,45828,7301043,106429
199207,"JORDAN",1267,45544,5456185,89372
199206,"JORDAN",28807,41024,3377570,57901
199206,"JORDAN",14053,111092,4216009,66185
199202,"IRAQ",26252,34640,4629441,94478
199208,"SAUDI ARABIA",20446,130075,765813,66304
199201,"IRAN",12895,64779,7768495,104626
199201,"JORDAN",7951,41897,2730751,110333
199210,"IRAN",6065,179185,3504306,75850
199208,"IRAN",23194,151293,5511589,80657
199208,"SAUDI ARABIA",18857,130502,1072750,91950
