"c_nation","d_year","lo_partkey","lo_revenue","lo_supplycost"
"UNITED STATES",1992,283897,6517249,112852
"UNITED STATES",1992,248476,6089566,85467
"CANADA",1993,545642,6905741,101257
"PERU",1992,140092,4381188,67925
"PERU",1992,759454,6474410,90805
"PERU",1992,129485,6169991,90868
"PERU",1996,37750,4256505,101265
"BRAZIL",1994,333936,1648823,118195
"ARGENTINA",1992,234214,3857952,68892
"CANADA",1992,528947,6382221,118555
"PERU",1998,455443,6852258,83905
"PERU",1998,41635,5221798,94597
"UNITED STATES",1997,583953,6251338,122215
"BRAZIL",1992,743871,6366843,114890
"BRAZIL",1992,631157,391723,65287
"PERU",1996,12251,4373820,69795
"PERU",1996,485898,9325156,113032
"PERU",1994,501305,1698164,78376
"PERU",1994,632252,660794,71053
"PERU",1994,710742,4337957,105162
"UNITED STATES",1993,307219,588576,73572
"PERU",1997,679645,308675,97476
"UNITED STATES",1997,69259,4433982,73695
"BRAZIL",1992,132145,423770,70628
"UNITED STATES",1993,564026,1002800,65400
"PERU",1996,155152,1459444,72429
"BRAZIL",1994,503758,1944949,105703
"BRAZIL",1994,462627,3616340,95376
"BRAZIL",1994,164805,8040140,112188
"BRAZIL",1994,272607,6830147,94775
"CANADA",1994,252193,1791061,68710
"UNITED STATES",1993,185329,5682737,84859
"PERU",1994,492615,3623507,96455
"PERU",1994,171334,681585,84319
"PERU",1994,395568,1264298,99813
"PERU",1997,437849,3452136,107209
"BRAZIL",1994,528864,8267925,113570
"CANADA",1992,779507,1427823,95188
"CANADA",1992,362366,6284740,85701
"BRAZIL",1995,791144,1704451,74106
"PERU",1994,83673,2438618,99400
"UNITED STATES",1993,759550,1966833,96571
"CANADA",1997,663461,5469811,85465
"CANADA",1997,465041,573431,60361
"CANADA",1997,731325,5393965,81377
"BRAZIL",1996,621216,1114436,68230
"BRAZIL",1996,465409,3655850,82462
"PERU",1993,551901,9280085,117172
"CANADA",1992,64678,3121073,98560
"PERU",1997,237761,6492622,101925
"UNITED STATES",1992,474741,1852977,102943
"PERU",1996,691618,2163275,96574
"PERU",1993,791145,3137247,74166
"BRAZIL",1995,407346,2824983,75199
"UNITED STATES",1994,670035,4727520,60300
"BRAZIL",1996,208947,2965776,111355
"PERU",1996,372399,4661331,88282
"ARGENTINA",1995,158769,7544993,109665
"UNITED STATES",1993,205342,1908414,74839
"UNITED STATES",1996,696817,5981846,108826
"UNITED STATES",1996,349032,2075558,64861
"ARGENTINA",1994,225772,6587308,101865
"UNITED STATES",1992,665868,7316981,110029
"BRAZIL",1996,615920,2871331,110153
"CANADA",1996,186577,3633236,99814
"CANADA",1996,594477,597151,94287
"UNITED STATES",1993,334305,3816976,80357
"UNITED STATES",1993,194721,7117622,108943
"UNITED STATES",1993,396779,5582261,112545
"PERU",1996,787399,1536896,89181
"PERU",1996,214986,5834076,114058
"ARGENTINA",1997,690441,6656056,85884
"ARGENTINA",1997,233242,3878259,70513
"ARGENTINA",1997,82604,5386507,95196
"UNITED STATES",1996,562512,1511510,94469
"UNITED STATES",1996,66306,5416181,76338
"UNITED STATES",1996,795968,1114522,123835
"BRAZIL",1997,387396,4552493,89002
"PERU",1992,329849,1803676,112729
"PERU",1992,558908,3310259,118012
"UNITED STATES",1995,346668,4235185,102879
"BRAZIL",1992,532910,8043564,116573
"PERU",1992,395201,3017530,77771
"PERU",1993,143545,5760046,95312
"BRAZIL",1996,450959,5989540,114595
"ARGENTINA",1996,140353,1922823,83601
"BRAZIL",1992,773193,1413034,75969
"BRAZIL",1994,675722,2994725,101861
"CANADA",1994,555470,1195952,91527
"UNITED STATES",1993,204060,2834307,57843
"UNITED STATES",1993,57334,2151355,77479
"CANADA",1992,519480,4966211,89967
"PERU",1997,444420,3536524,81864
"PERU",1992,507828,2937280,110148
"ARGENTINA",1996,422770,4932673,101565
"ARGENTINA",1996,686463,953724,86965
"ARGENTINA",1996,582180,2398104,75729
"CANADA",1993,747648,2960535,101736
"PERU",1993,125066,962314,65463
"BRAZIL",1993,177707,6906789,107082
"PERU",1994,795595,2982147,101433
"BRAZIL",1994,438436,3501996,82464
"UNITED STATES",1992,364561,7965195,97533
"BRAZIL",1994,255589,7417025,92674
"PERU",1993,392909,1165099,120113
"PERU",1993,394026,1108809,67200
"UNITED STATES",1996,296123,4496583,67146
"CANADA",1997,774703,2758943,106660
"BRAZIL",1995,96598,4152312,95675
"BRAZIL",1995,89111,1567656,66006
"PERU",1997,771796,5442652,112065
"PERU",1997,784147,5610168,73866
"UNITED STATES",1994,22821,6089419,104629
"CANADA",1998,73689,2164809,99760
"ARGENTINA",1998,395448,993968,92605
"BRAZIL",1995,689247,5229168,74172
"CANADA",1995,50309,3400110,75558
"BRAZIL",1993,776889,3774432,117951
"CANADA",1997,404492,5011930,83788
"PERU",1997,665193,5559168,69489
"PERU",1997,683093,2741800,64563
"PERU",1995,492430,2048270,85344
"PERU",1995,730512,3970343,92548
"CANADA",1997,279104,1971223,64985
"ARGENTINA",1998,447915,2503724,111773
"ARGENTINA",1998,215689,4910290,96280
"ARGENTINA",1995,696409,3964548,84322
"CANADA",1996,122509,6003480,91890
"ARGENTINA",1995,662799,5857852,105705
"ARGENTINA",1995,3765,310389,100125
"PERU",1995,109512,2775234,91290
"BRAZIL",1995,484147,4784637,67867
"BRAZIL",1995,257493,5346469,87028
"BRAZIL",1995,472515,5732786,89249
"BRAZIL",1995,173497,4287437,94229
"CANADA",1992,627602,5894962,91774
"ARGENTINA",1994,212877,7087845,107391
"UNITED STATES",1995,735269,2378915,78253
"BRAZIL",1992,722520,5364780,92549
"BRAZIL",1992,178747,3680691,109544
"BRAZIL",1992,631330,4540680,75678
"UNITED STATES",1997,398428,4487645,91584
"UNITED STATES",1997,52979,9466653,115918
"UNITED STATES",1992,252153,4641588,66308
"BRAZIL",1993,41933,1799932,112495
"BRAZIL",1993,164610,2260723,100476
"UNITED STATES",1993,483820,2543358,108228
"UNITED STATES",1996,378788,3110038,112006
"UNITED STATES",1996,682925,5609196,114473
"UNITED STATES",1996,318159,4249475,70628
"ARGENTINA",1993,506510,3184629,90989
"PERU",1997,731217,2158103,74890
"UNITED STATES",1992,787004,811681,65458
"UNITED STATES",1992,762434,1212084,89784
"UNITED STATES",1992,679089,2085901,64083
"UNITED STATES",1995,175942,8790146,121076
"UNITED STATES",1995,753942,5227288,119754
"UNITED STATES",1997,645708,6613026,99220
"UNITED STATES",1995,449705,7078721,99280
"PERU",1994,400289,5244636,71355
"PERU",1994,654788,7418886,104565
"PERU",1994,116256,1656469,76335
"UNITED STATES",1996,316224,3730551,74412
"UNITED STATES",1996,368736,4114761,108283
"ARGENTINA",1997,532488,5719970,91227
"CANADA",1997,155840,1395338,113750
"CANADA",1997,250314,2326312,75858
"ARGENTINA",1993,213754,7754991,100064
"CANADA",1997,443132,2077112,64506
"BRAZIL",1996,598747,7054341,110743
"UNITED STATES",1995,558488,3699132,92787
"BRAZIL",1993,213172,3793719,65109
"PERU",1997,444076,4079179,61203
"BRAZIL",1993,503156,3361477,69547
"BRAZIL",1993,370930,4141904,120055
"PERU",1996,248862,5557498,108651
"PERU",1996,349839,3399876,113329
"UNITED STATES",1995,186349,269843,86120
"UNITED STATES",1995,767545,1393208,96750
"ARGENTINA",1995,705903,8887698,114532
"ARGENTINA",1995,105785,4423226,107446
"UNITED STATES",1992,183953,8799624,122217
"UNITED STATES",1992,484371,4427928,81321
"CANADA",1993,426528,837792,87270
"CANADA",1995,575864,8030937,116390
"CANADA",1995,39628,4966220,94057
"PERU",1994,441801,3276426,104566
"PERU",1994,83110,3286981,65586
"PERU",1994,337876,7199941,114831
"UNITED STATES",1995,672537,1527614,90570
"UNITED STATES",1995,729851,5896370,112849
"UNITED STATES",1995,199296,3147774,83717
"CANADA",1996,387013,2871000,66000
"ARGENTINA",1996,667750,8330942,103063
"ARGENTINA",1997,635857,8347369,107569
"CANADA",1997,483674,4502177,99459
"CANADA",1997,454461,3329114,84926
"CANADA",1994,336466,2569189,90147
"CANADA",1994,577939,2964857,121014
"CANADA",1994,618618,4411521,92194
"CANADA",1996,13137,2740839,63007
"BRAZIL",1992,487907,704895,113692
"BRAZIL",1992,723006,3323573,61738
"CANADA",1994,575459,4423761,92065
"BRAZIL",1994,46762,6322412,102525
"BRAZIL",1994,316801,5635149,109067
"ARGENTINA",1993,554397,6008671,87082
"UNITED STATES",1994,540674,6856885,102879
"BRAZIL",1996,631431,2907361,81744
"BRAZIL",1994,365442,1034096,90445
"BRAZIL",1994,151542,145012,95612
"ARGENTINA",1998,376112,2851440,71286
"PERU",1992,765665,6074511,103837
"PERU",1992,524761,2628609,107144
"BRAZIL",1992,643267,3354757,72613
"BRAZIL",1996,238549,294530,89251
"UNITED STATES",1995,654346,478514,78018
"UNITED STATES",1995,783517,620986,96028
"BRAZIL",1993,478763,7663656,104504
"ARGENTINA",1993,200987,3687205,113278
"ARGENTINA",1996,27507,2295200,86070
"CANADA",1992,616675,149614,95498
"ARGENTINA",1993,704807,4616389,108706
"ARGENTINA",1993,84484,2055872,88108
"BRAZIL",1992,118661,6517080,100779
"BRAZIL",1993,251095,1724985,62764
"BRAZIL",1993,140756,3715679,107805
"BRAZIL",1993,76114,981099,65406
"UNITED STATES",1993,402792,3940340,101686
"UNITED STATES",1993,604158,630899,63727
"ARGENTINA",1993,31737,3948215,100123
"CANADA",1996,560709,5733763,106180
"CANADA",1996,681745,3892004,103602
"CANADA",1996,320512,1534032,91950
"BRAZIL",1995,69548,3171658,91052
"BRAZIL",1995,263443,1961969,84385
"BRAZIL",1996,300174,739720,70449
"CANADA",1994,38372,3431859,78622
"CANADA",1994,112343,6109872,81320
"BRAZIL",1996,139996,191383,122159
"ARGENTINA",1994,179665,5233980,104679
"BRAZIL",1997,207754,3024366,99704
"PERU",1992,361496,3083810,93448
"PERU",1996,64248,1036465,72734
"PERU",1996,587296,5671407,82996
"CANADA",1997,185728,5005867,108823
"ARGENTINA",1993,441959,8934371,114055
"BRAZIL",1994,667234,331531,72072
"BRAZIL",1994,356035,1780544,65461
"BRAZIL",1992,340622,7739449,99756
"BRAZIL",1997,638432,6714960,82224
"BRAZIL",1997,389403,402945,89543
"BRAZIL",1996,575031,5198247,66360
"PERU",1993,734050,1595677,65041
"PERU",1993,368478,2987760,92787
"PERU",1993,104384,3905512,83302
"PERU",1993,776772,4159665,110924
"CANADA",1994,442624,2976540,93996
"PERU",1998,387436,1960641,91405
"PERU",1995,83099,199104,64925
"PERU",1995,763219,4459422,76930
"BRAZIL",1994,421189,219811,66609
"PERU",1995,443233,338748,70572
"BRAZIL",1996,582944,2780934,121615
"BRAZIL",1996,739559,3323323,95911
"ARGENTINA",1994,557665,5968947,103358
"ARGENTINA",1997,218539,969250,87451
"PERU",1996,547116,3191518,69785
"PERU",1996,166167,3631656,73989
"BRAZIL",1995,381785,5790720,112006
"CANADA",1997,98815,7741341,108828
"PERU",1997,6754,3475949,99645
"PERU",1997,97862,3935463,111591
"ARGENTINA",1993,378587,2273503,99934
"PERU",1995,263799,6866028,105766
"BRAZIL",1997,327422,2374133,86964
"PERU",1997,560524,4563360,95070
"PERU",1993,662622,570452,95075
"UNITED STATES",1997,319203,3675125,73331
"UNITED STATES",1997,289277,1728444,75975
"ARGENTINA",1998,292600,7094988,95555
"ARGENTINA",1996,277428,6183804,84324
"ARGENTINA",1996,323985,9253315,120538
"ARGENTINA",1996,174553,7812240,97653
"ARGENTINA",1996,399516,6093666,96930
"CANADA",1996,250489,4174463,86368
"ARGENTINA",1992,385977,6003213,123777
"UNITED STATES",1993,178656,673044,104079
"UNITED STATES",1993,255896,688899,111112
"UNITED STATES",1995,550716,6406017,106001
"CANADA",1996,124353,3271206,82641
"CANADA",1996,395935,4435529,121855
"ARGENTINA",1997,669074,99088,62582
"ARGENTINA",1997,404563,3131730,88052
"BRAZIL",1996,188635,4915792,103417
"CANADA",1994,680905,1680310,113152
"PERU",1996,264831,5392847,107749
"ARGENTINA",1993,1243,1867399,68654
"ARGENTINA",1998,134757,8337012,107505
"ARGENTINA",1998,799985,817300,125097
"ARGENTINA",1994,750843,7143451,113628
"ARGENTINA",1994,614512,5534742,85588
"CANADA",1996,597955,8622306,123175
"BRAZIL",1994,422318,4861936,74417
"BRAZIL",1994,695654,5278784,98977
"BRAZIL",1995,321475,426491,89787
"ARGENTINA",1992,50870,4260835,109252
"ARGENTINA",1992,571393,666288,87862
"CANADA",1998,365530,2613461,95731
"PERU",1996,113046,1556788,63542
"PERU",1996,747697,1025860,104679
"ARGENTINA",1996,203724,5781625,97662
"PERU",1993,575031,4931698,66360
"PERU",1993,545903,6275393,116932
"PERU",1993,298825,5766887,109428
"UNITED STATES",1992,299874,7757780,112431
"UNITED STATES",1992,765168,4713022,73987
"BRAZIL",1992,142422,3199757,87865
"ARGENTINA",1993,395667,2538216,105759
"ARGENTINA",1993,142077,3760075,67144
"PERU",1992,504361,401409,81920
"UNITED STATES",1997,767702,651238,106180
"CANADA",1994,249268,817992,73035
"CANADA",1994,790059,4191624,68941
"PERU",1994,592017,2990946,66539
"PERU",1994,708742,2801136,105042
"PERU",1995,559499,6171541,93508
"PERU",1995,603940,2079930,110634
"CANADA",1997,487725,5651910,102762
"UNITED STATES",1997,524538,4453153,93750
"UNITED STATES",1997,706751,5220428,105463
"PERU",1998,690694,1485870,101079
"PERU",1998,479617,1743476,95795
"PERU",1998,580270,3375625,81015
"ARGENTINA",1995,357801,5353315,111527
"BRAZIL",1995,338853,2582361,113510
"BRAZIL",1995,492601,927463,95614
"PERU",1993,697571,6349449,94112
"PERU",1996,750978,8582416,121736
"PERU",1997,769100,3261705,70144
"UNITED STATES",1997,460325,2827660,77118
"ARGENTINA",1997,79138,4718757,67027
"ARGENTINA",1997,158495,7079253,93209
"BRAZIL",1997,143023,103403,63961
"BRAZIL",1997,7261,3329541,70095
"CANADA",1993,570869,6246284,116390
"CANADA",1993,186896,4560647,118973
"CANADA",1993,772976,7007374,122936
"UNITED STATES",1992,198296,3206867,83657
"UNITED STATES",1992,746794,2024836,110445
"ARGENTINA",1994,514384,1073940,83901
"ARGENTINA",1994,517562,4700711,94772
"ARGENTINA",1994,325580,7237909,96334
"ARGENTINA",1994,6642,7133035,92918
"CANADA",1992,632348,1581182,76818
"CANADA",1992,257363,660175,79221
"CANADA",1992,88742,2713800,103844
"ARGENTINA",1992,172159,453063,73869
"ARGENTINA",1996,752134,1226427,71166
"ARGENTINA",1996,53185,4921490,68290
"PERU",1996,27003,4192440,55800
"ARGENTINA",1994,353248,631096,78073
"CANADA",1993,780570,5174442,99032
"CANADA",1998,236953,1795443,113396
"UNITED STATES",1992,782137,2246801,73146
"UNITED STATES",1998,93699,3182257,101561
"UNITED STATES",1997,644012,1826877,57358
"UNITED STATES",1997,320694,2229084,102880
"PERU",1996,220305,1654141,73517
"ARGENTINA",1993,24627,1053549,93097
"BRAZIL",1997,689520,2717082,90569
"BRAZIL",1997,661999,4104289,117657
"BRAZIL",1992,565090,5263653,69304
"UNITED STATES",1993,553972,7998450,121557
"CANADA",1997,339135,3644468,70447
"CANADA",1997,631287,2379242,73095
"ARGENTINA",1993,47979,5098762,115618
"ARGENTINA",1993,768043,2333121,66660
"UNITED STATES",1995,469231,480084,72012
"PERU",1996,461019,2096198,58799
"BRAZIL",1997,281952,187592,116036
"BRAZIL",1997,360242,5860035,78133
"BRAZIL",1992,652378,2527646,79820
"BRAZIL",1992,35788,5709159,103426
"BRAZIL",1992,675086,4089286,63663
"CANADA",1993,466676,821325,98559
"CANADA",1993,360082,3837355,68524
"ARGENTINA",1994,617594,5577656,90693
"CANADA",1996,120704,7943968,103482
"UNITED STATES",1994,426058,2121568,59041
"UNITED STATES",1994,428433,3468872,81684
"PERU",1998,704587,7028284,95493
"PERU",1998,161393,916265,87263
"ARGENTINA",1997,279888,169976,112072
"ARGENTINA",1997,66235,4752065,72073
"UNITED STATES",1997,336167,1583345,72189
"UNITED STATES",1997,195950,7801207,122757
"ARGENTINA",1993,149005,4848400,63240
"BRAZIL",1996,501312,4609647,78797
"BRAZIL",1993,282526,6592188,90510
"PERU",1998,757334,6143980,83478
"BRAZIL",1996,286745,5830734,103903
"CANADA",1992,557000,4363213,63418
"CANADA",1992,63083,564883,62764
"CANADA",1992,232002,2869217,56039
"PERU",1993,14221,3115043,68113
"PERU",1998,34143,613969,64628
"ARGENTINA",1996,148220,5535780,76093
"UNITED STATES",1996,490006,4015791,59758
"UNITED STATES",1995,657406,507173,81802
"UNITED STATES",1995,216262,808279,70695
"UNITED STATES",1997,374601,1402468,100535
"UNITED STATES",1997,716152,584060,70087
"UNITED STATES",1997,359108,5083844,70025
"CANADA",1998,491629,2515171,97236
"ARGENTINA",1996,525284,4619069,78555
"CANADA",1997,192217,2158887,78552
"CANADA",1997,177369,6508620,86781
"CANADA",1997,228376,5634835,78261
"CANADA",1997,701879,4596772,112850
"ARGENTINA",1996,794042,2072082,68160
"ARGENTINA",1996,293401,6274755,83663
"ARGENTINA",1997,276734,3934656,102643
"ARGENTINA",1997,81040,3879952,61262
"CANADA",1996,595469,5267469,93866
"CANADA",1996,36641,1224248,94658
"PERU",1996,516455,3443146,88285
"PERU",1992,458163,1668256,67268
"BRAZIL",1994,272094,3889059,63964
"BRAZIL",1994,276475,5631664,87087
"ARGENTINA",1998,722131,3424707,69186
"PERU",1992,545208,2965023,75190
"PERU",1995,403516,1067456,85169
"BRAZIL",1992,716748,6744721,105882
"PERU",1997,332504,4455821,92189
"PERU",1997,435614,3314573,92975
"PERU",1998,262273,5931718,74115
"PERU",1998,308167,846108,70509
"PERU",1998,97045,4595396,62522
"ARGENTINA",1992,337603,3501019,98435
"ARGENTINA",1992,646387,2069359,80001
"ARGENTINA",1992,622120,1415158,62525
"ARGENTINA",1998,94924,8274383,115135
"ARGENTINA",1998,187449,4411119,92186
"CANADA",1992,425368,4741384,77600
"CANADA",1992,309941,8346078,117055
"ARGENTINA",1995,260663,4932648,97419
"PERU",1997,753333,5977725,83178
"PERU",1997,461653,4504817,96877
"PERU",1997,503576,4113148,94773
"ARGENTINA",1996,579171,450054,75009
"ARGENTINA",1995,396209,3798102,78311
"ARGENTINA",1995,485651,1134184,98197
"ARGENTINA",1995,410799,6659554,102586
"ARGENTINA",1997,187979,3497313,124018
"PERU",1996,464578,4026055,92553
"PERU",1992,584182,5891442,75969
"PERU",1993,281100,4873553,64865
"BRAZIL",1995,228792,6107048,103246
"BRAZIL",1995,500287,1936039,77235
"BRAZIL",1993,319914,6892419,116034
"BRAZIL",1993,437147,531218,65047
"BRAZIL",1993,110194,2287961,72251
"BRAZIL",1996,596986,4490861,124977
"BRAZIL",1996,732729,5073667,105701
"UNITED STATES",1993,48737,3202887,101143
"UNITED STATES",1993,718708,3076925,103600
"BRAZIL",1997,250164,4662717,66849
"PERU",1992,755387,432705,86541
"PERU",1992,572529,2085153,96090
"PERU",1996,771110,1629890,70864
"PERU",1994,519532,1706661,93090
"BRAZIL",1998,38741,6651770,100784
"BRAZIL",1993,602754,2286273,99403
"BRAZIL",1993,541375,2383717,84981
"ARGENTINA",1998,237071,4889091,60483
"BRAZIL",1992,480640,3656118,97237
"BRAZIL",1992,515084,3560954,65943
"BRAZIL",1992,200644,281122,92677
"BRAZIL",1993,592121,3610185,72786
"PERU",1994,423521,140116,86670
"PERU",1998,400102,1094271,60124
"PERU",1998,491330,2114096,79278
"PERU",1997,746384,5133526,85821
"BRAZIL",1995,189220,1310529,78553
"BRAZIL",1995,262600,1060998,93755
"BRAZIL",1996,596692,804901,107320
"BRAZIL",1996,523596,320674,97174
"BRAZIL",1996,628496,2841797,85467
"UNITED STATES",1994,423605,4432882,91714
"UNITED STATES",1998,474651,157686,97537
"CANADA",1997,169245,4250252,78854
"UNITED STATES",1996,115075,3806524,65404
"BRAZIL",1997,206158,3859635,63848
"UNITED STATES",1994,22755,7717650,100665
"UNITED STATES",1992,331456,5482703,89246
"UNITED STATES",1992,365674,1471752,104379
"UNITED STATES",1995,319497,5554866,90988
"ARGENTINA",1995,547139,3083886,71166
"ARGENTINA",1994,77958,6899725,116157
"ARGENTINA",1994,629477,1919790,84386
"UNITED STATES",1995,124834,2565185,111529
"ARGENTINA",1995,776703,1986111,106780
"ARGENTINA",1995,445457,6803187,84145
"PERU",1993,430581,2345941,90693
"ARGENTINA",1995,308378,2238971,83181
"ARGENTINA",1993,402979,7877842,112917
"BRAZIL",1997,165376,4021422,86482
"UNITED STATES",1994,760186,3110390,74769
"PERU",1992,127204,827366,73872
"PERU",1992,309105,1310169,66845
"BRAZIL",1997,111337,5231520,80899
"BRAZIL",1997,139257,246287,77775
"BRAZIL",1997,437208,2260585,68710
"ARGENTINA",1994,445402,619794,80842
"ARGENTINA",1996,484375,6660815,81561
"PERU",1997,317332,2968504,80959
"BRAZIL",1996,203501,4314593,84269
"UNITED STATES",1995,719204,5342806,73390
"UNITED STATES",1995,459700,4832988,99580
"UNITED STATES",1995,563389,5176211,87141
"UNITED STATES",1995,77681,5141908,99520
"CANADA",1994,131528,3025468,93571
"PERU",1992,300939,2735287,116395
"CANADA",1992,83062,2351385,62703
"CANADA",1994,93521,4648061,90871
"UNITED STATES",1995,241686,3515767,97660
"UNITED STATES",1995,412189,5125899,66069
"BRAZIL",1995,482492,4851006,88468
"BRAZIL",1994,195335,1766457,85819
"BRAZIL",1994,470570,6276200,92433
"BRAZIL",1997,747314,4862492,81676
"BRAZIL",1997,98580,1578580,94714
"UNITED STATES",1994,359083,2626761,68524
"UNITED STATES",1994,699260,6170227,75553
"UNITED STATES",1994,504625,2903947,97776
"PERU",1997,59998,7048764,117479
"PERU",1997,778096,4015285,70443
"ARGENTINA",1997,647760,1588188,102463
"ARGENTINA",1997,501164,2306977,69908
"CANADA",1996,242277,5257449,73155
"ARGENTINA",1994,733557,1736847,95431
"ARGENTINA",1994,89012,728735,60060
"BRAZIL",1997,530389,4439758,85161
"CANADA",1997,659066,4821741,61501
"UNITED STATES",1997,136383,681302,85162
"CANADA",1998,574797,8153430,112306
"BRAZIL",1995,275317,705595,77538
"BRAZIL",1995,39383,6545781,79342
"CANADA",1992,651778,4649541,103784
"CANADA",1993,188586,4923265,100474
"CANADA",1997,342678,6366442,103239
"BRAZIL",1997,788288,4684755,82575
"PERU",1993,453611,3942766,93875
"PERU",1993,620204,1690751,67450
"UNITED STATES",1994,797379,1402523,88580
"UNITED STATES",1994,744097,2896010,68463
"UNITED STATES",1994,393841,9196246,116089
"ARGENTINA",1992,696812,1447024,108526
"PERU",1994,624759,7357856,101023
"ARGENTINA",1996,342936,6073305,118735
"ARGENTINA",1996,517570,5580238,95253
"UNITED STATES",1997,719766,5598263,107143
"UNITED STATES",1997,297869,868085,112011
"UNITED STATES",1998,40627,728943,94057
"UNITED STATES",1998,701130,4234838,67866
"UNITED STATES",1998,678413,1808794,83482
"BRAZIL",1995,735841,8468166,112608
"UNITED STATES",1993,772344,912103,84978
"BRAZIL",1994,183394,5159045,88643
"BRAZIL",1992,424555,6814715,88771
"UNITED STATES",1995,162575,157206,98254
"UNITED STATES",1995,705013,1526970,61078
"PERU",1994,139838,3312492,112669
"PERU",1998,613465,744352,82705
"PERU",1998,102822,5372270,109489
"CANADA",1997,48186,3190448,68050
"CANADA",1998,181893,6795596,118493
"CANADA",1998,263920,866598,113034
"UNITED STATES",1997,635649,3137527,95076
"BRAZIL",1992,413420,1066720,80004
"BRAZIL",1992,492818,5332776,108647
"UNITED STATES",1993,544241,4238655,77113
"UNITED STATES",1996,773310,3660158,82996
"UNITED STATES",1996,77379,4386500,81382
"UNITED STATES",1992,141597,6390501,98315
"ARGENTINA",1996,73498,1412630,88289
"BRAZIL",1998,91141,3250373,67928
"PERU",1995,534458,5910022,89545
"CANADA",1995,596824,3180844,115248
"CANADA",1995,409766,1005444,100544
"CANADA",1995,42201,2743680,68592
"CANADA",1998,107813,6005031,109248
"BRAZIL",1996,647261,1076532,72493
"UNITED STATES",1998,571537,4786925,96510
"BRAZIL",1995,157223,2212220,76813
"BRAZIL",1995,244262,3377500,72375
"ARGENTINA",1993,444709,6598183,99220
"ARGENTINA",1994,727333,5381346,81618
"ARGENTINA",1996,129448,2792361,88646
"ARGENTINA",1996,342270,5905170,78735
"CANADA",1997,691709,1130945,102040
"UNITED STATES",1995,523472,1345905,89727
"CANADA",1996,108684,6567598,101560
