"s_city","d_yearmonthnum","lo_custkey","lo_revenue"
"RUSSIA   4",199212,54772,2250986
"RUSSIA   5",199205,265204,2535518
"RUSSIA   6",199209,33112,3523425
"RUSSIA   5",199202,502927,2446467
"RUSSIA   5",199209,786418,2929789
"RUSSIA   2",199210,46771,3533474
"RUSSIA   7",199208,471658,2701657
"RUSSIA   7",199207,116815,2356039
"RUSSIA   5",199204,820661,2140488
"RUSSIA   7",199208,127615,3094374
"RUSSIA   3",199206,620374,4122847
"RUSSIA   8",199201,264031,1839313
"RUSSIA   4",199205,487064,3548446
"RUSSIA   2",199212,874154,2946940
"RUSSIA   8",199212,874154,3949620
"RUSSIA   7",199205,651239,1947384
"RUSSIA   8",199207,679043,3978480
"RUSSIA   8",199209,351604,2787976
"RUSSIA   3",199207,484942,2904715
"RUSSIA   1",199212,86990,3238330
"RUSSIA   3",199211,240985,4079575
"RUSSIA   1",199211,240985,3348683
"RUSSIA   2",199201,198929,2657755
"RUSSIA   5",199208,623192,4569500
"RUSSIA   8",199211,416254,2917480
"RUSSIA   4",199201,227242,2624165
"RUSSIA   4",199210,668461,1783082
"RUSSIA   1",199209,203363,1410767
"RUSSIA   5",199207,748694,4929550
"RUSSIA   6",199203,163804,3997741
"RUSSIA   0",199207,764909,1950418
"RUSSIA   0",199212,301754,3745764
"RUSSIA   3",199206,379285,3961674
"RUSSIA   2",199205,392036,2315635
"RUSSIA   8",199211,205370,2765952
"RUSSIA   2",199208,649130,3178137
"RUSSIA   0",199207,120956,3675164
"RUSSIA   1",199204,222995,2783391
"RUSSIA   4",199205,710941,3799756
"RUSSIA   3",199207,47272,3695822
"RUSSIA   3",199204,167542,3152309
"RUSSIA   7",199208,870523,2368244
"RUSSIA   3",199203,41105,2899290
"RUSSIA   6",199202,128347,1939756
"RUSSIA   2",199209,268711,3682552
"RUSSIA   7",199206,791294,3235852
"RUSSIA   1",199209,340951,2873361
"RUSSIA   0",199206,125515,3095726
"RUSSIA   6",199207,34588,4467143
"RUSSIA   0",199203,393080,2352985
"RUSSIA   1",199211,555955,4042687
"RUSSIA   1",199208,138337,2177536
"RUSSIA   1",199204,115672,2104382
"RUSSIA   3",199201,281053,3954479
"RUSSIA   2",199204,742291,2726241
"RUSSIA   5",199201,224692,2974337
"RUSSIA   5",199207,277210,2933662
"RUSSIA   6",199209,651421,3543070
"RUSSIA   2",199207,192217,3454187
"RUSSIA   5",199201,889279,4456565
"RUSSIA   7",199204,478882,2832740
"RUSSIA   8",199204,799924,3705050
"RUSSIA   0",199210,641977,3027650
"RUSSIA   5",199206,853244,3278913
"RUSSIA   4",199211,801988,2646453
"RUSSIA   0",199206,760492,3081890
"RUSSIA   4",199207,720472,3667439
"RUSSIA   9",199204,56233,2909920
"RUSSIA   8",199202,434743,3035928
"RUSSIA   2",199210,353735,3160913
"RUSSIA   9",199207,219847,2475983
"RUSSIA   6",199209,561920,2944580
"RUSSIA   5",199209,827837,2288851
"RUSSIA   2",199209,827837,4526842
"RUSSIA   8",199205,168482,4801277
"RUSSIA   7",199210,220540,2644173
"RUSSIA   3",199208,319163,2952790
"RUSSIA   0",199212,669104,2840112
"RUSSIA   9",199208,519197,2274408
"RUSSIA   5",199204,122146,2252954
"RUSSIA   3",199210,220069,3267831
"RUSSIA   9",199202,71329,2719544
"RUSSIA   6",199204,842404,2053447
"RUSSIA   7",199210,11860,1801062
"RUSSIA   3",199212,297397,2449708
"RUSSIA   3",199207,397453,2779852
"RUSSIA   4",199203,547592,2652413
"RUSSIA   9",199202,660238,3153468
"RUSSIA   1",199205,543079,2374342
"RUSSIA   2",199202,216568,4039277
"RUSSIA   8",199202,668683,2849939
"RUSSIA   6",199209,398984,4064480
"RUSSIA   8",199210,603131,3583270
"RUSSIA   2",199205,219430,2272702
"RUSSIA   1",199201,863431,1768883
"RUSSIA   7",199205,420097,3779076
"RUSSIA   3",199210,156956,3152790
"RUSSIA   9",199203,474304,3975590
"RUSSIA   3",199205,955,2349533
"RUSSIA   9",199207,218821,2552140
"RUSSIA   4",199207,183556,2966891
"RUSSIA   0",199205,101558,2292058
"RUSSIA   7",199201,80984,3224348
"RUSSIA   9",199206,83347,2892977
"RUSSIA   2",199211,28384,3923690
"RUSSIA   4",199212,651376,3243366
"RUSSIA   7",199212,651376,2168673
"RUSSIA   6",199210,576007,2210659
"RUSSIA   7",199208,397894,2573604
"RUSSIA   3",199206,712441,3600090
"RUSSIA   3",199204,130003,1915042
"RUSSIA   9",199207,651292,2551299
"RUSSIA   8",199210,103246,3352349
"RUSSIA   9",199209,427957,3832255
"RUSSIA   3",199208,335365,4579891
"RUSSIA   2",199212,693547,2542795
"RUSSIA   6",199205,205415,2825179
"RUSSIA   2",199205,249659,3322378
"RUSSIA   0",199208,435805,2960722
"RUSSIA   1",199203,733864,3029890
"RUSSIA   7",199202,547357,3920250
"RUSSIA   9",199211,219103,2621646
"RUSSIA   2",199205,317749,1591305
"RUSSIA   5",199209,776611,4351432
"RUSSIA   6",199203,568364,3660163
"RUSSIA   9",199204,718912,2604495
"RUSSIA   6",199203,115861,4682021
"RUSSIA   3",199204,191038,2586008
"RUSSIA   3",199205,435865,1812078
"RUSSIA   2",199207,769208,3295602
"RUSSIA   3",199206,84014,2545957
"RUSSIA   2",199212,846418,3145585
"RUSSIA   9",199209,796411,3292795
"RUSSIA   7",199210,722128,3367598
"RUSSIA   7",199202,48868,3092829
"RUSSIA   5",199202,369181,1613379
"RUSSIA   3",199208,366734,4567876
"RUSSIA   2",199206,543392,4396602
"RUSSIA   2",199207,220534,2317002
"RUSSIA   7",199205,333904,2864190
"RUSSIA   4",199206,623783,3360004
"RUSSIA   0",199206,485758,2709052
"RUSSIA   5",199203,188632,2889862
"RUSSIA   5",199212,161836,2106560
"RUSSIA   2",199210,433516,2532416
"RUSSIA   0",199207,266921,3578527
"RUSSIA   7",199211,752002,4515086
"RUSSIA   7",199205,691660,3142363
"RUSSIA   8",199201,682975,4330251
"RUSSIA   4",199202,515410,2750916
"RUSSIA   9",199207,250375,2024422
"RUSSIA   8",199204,793730,1915960
"RUSSIA   8",199207,397994,3711877
"RUSSIA   6",199201,358772,2404857
"RUSSIA   1",199209,479261,3729400
"RUSSIA   9",199202,626755,1969627
"RUSSIA   1",199207,187808,3173541
"RUSSIA   1",199207,187808,2836178
"RUSSIA   2",199208,173038,3426876
"RUSSIA   0",199211,845956,3221487
"RUSSIA   2",199204,392458,2715667
"RUSSIA   4",199211,445372,2927683
"RUSSIA   4",199203,387818,4648070
"RUSSIA   4",199207,453610,2675363
"RUSSIA   3",199204,613309,3993963
"RUSSIA   7",199205,567901,2405932
"RUSSIA   0",199205,696136,3738673
"RUSSIA   2",199212,454936,2285129
"RUSSIA   0",199212,695654,4511165
"RUSSIA   2",199202,741758,2891471
"RUSSIA   6",199211,360238,2684431
"RUSSIA   2",199202,154576,2578218
"RUSSIA   3",199202,576646,3308004
"RUSSIA   4",199210,471965,3037475
"RUSSIA   6",199212,611950,3326485
"RUSSIA   5",199204,290761,2300538
"RUSSIA   1",199212,244624,3000890
"RUSSIA   2",199207,733447,2898748
"RUSSIA   6",199201,497377,3389828
"RUSSIA   5",199202,357625,3120427
"RUSSIA   7",199205,497099,2453797
"RUSSIA   4",199210,807001,2112936
"RUSSIA   7",199205,662965,4019943
"RUSSIA   8",199212,532949,2340360
"RUSSIA   4",199209,51367,1754946
"RUSSIA   9",199206,741871,3875229
"RUSSIA   1",199203,850054,2950691
"RUSSIA   9",199201,294562,2986914
"RUSSIA   0",199211,380672,2518046
"RUSSIA   6",199204,792598,2668174
"RUSSIA   2",199211,724838,2938598
"RUSSIA   2",199201,486976,2506156
"RUSSIA   6",199209,622507,3051108
"RUSSIA   6",199208,161764,3238335
"RUSSIA   7",199209,509317,2934183
"RUSSIA   1",199210,479693,4226906
"RUSSIA   8",199212,59246,2253806
"RUSSIA   2",199202,39524,3647770
"RUSSIA   8",199209,71420,4483367
"RUSSIA   5",199210,315541,3868882
"RUSSIA   1",199204,44740,2457650
"RUSSIA   8",199207,665342,2610899
"RUSSIA   8",199205,882031,3836836
"RUSSIA   2",199209,792727,2851011
"RUSSIA   0",199203,599038,2853483
"RUSSIA   3",199209,468469,4532025
"RUSSIA   6",199205,424567,2788378
"RUSSIA   4",199201,649913,2104914
"RUSSIA   9",199211,261814,2891725
"RUSSIA   1",199201,700501,3069028
"RUSSIA   9",199209,882122,2628466
"RUSSIA   1",199203,80029,1969385
"RUSSIA   5",199208,336065,1788409
"RUSSIA   8",199208,336065,3899979
"RUSSIA   8",199207,493795,1806003
"RUSSIA   6",199204,763877,1640016
"RUSSIA   5",199202,390734,2839824
"RUSSIA   3",199201,388700,2902823
"RUSSIA   2",199204,276524,2042784
"RUSSIA   2",199209,394747,2582498
"RUSSIA   6",199209,495626,3487446
"RUSSIA   5",199208,241648,4456859
"RUSSIA   6",199204,609340,2207328
"RUSSIA   0",199203,283558,2603604
"RUSSIA   7",199210,101122,2958312
"RUSSIA   1",199212,115247,2761036
"RUSSIA   3",199205,107924,3950879
"RUSSIA   9",199204,281891,2400076
"RUSSIA   1",199206,308516,2471789
"RUSSIA   9",199201,187148,2808208
"RUSSIA   5",199210,297095,2126181
"RUSSIA   5",199202,691147,3708075
"RUSSIA   9",199206,178046,3366206
"RUSSIA   8",199212,490802,2147537
"RUSSIA   9",199201,271850,1968959
"RUSSIA   2",199205,381866,3500229
"RUSSIA   2",199210,485830,3171187
"RUSSIA   8",199205,373696,2859102
"RUSSIA   8",199210,504178,3474508
"RUSSIA   0",199208,444853,3523387
"RUSSIA   4",199211,879619,4634725
"RUSSIA   3",199210,702326,2503608
"RUSSIA   5",199202,319189,2425744
"RUSSIA   0",199207,875804,2678338
"RUSSIA   6",199204,882082,3396441
"RUSSIA   1",199206,78350,2286615
"RUSSIA   7",199209,161846,2834382
"RUSSIA   1",199207,286276,4310920
"RUSSIA   3",199201,243410,3611611
"RUSSIA   0",199204,544120,2377280
"RUSSIA   5",199206,272635,3683385
"RUSSIA   8",199211,94778,2728980
"RUSSIA   1",199204,404264,2520028
"RUSSIA   3",199201,168875,2646560
"RUSSIA   5",199203,764575,1491136
"RUSSIA   1",199205,213580,3085100
"RUSSIA   0",199211,215509,3954899
"RUSSIA   5",199211,820403,3567225
"RUSSIA   3",199203,869729,2944284
"RUSSIA   6",199209,32324,2709822
"RUSSIA   0",199208,412288,2748999
"RUSSIA   6",199206,302449,1837287
"RUSSIA   4",199205,309313,3502260
"RUSSIA   4",199211,789745,2845546
"RUSSIA   0",199206,601768,2917526
"RUSSIA   4",199201,660271,2033621
"RUSSIA   4",199208,201059,2080927
"RUSSIA   9",199207,606541,2173706
"RUSSIA   0",199202,875536,3254367
"RUSSIA   1",199212,175391,3109747
"RUSSIA   7",199206,72082,3569364
"RUSSIA   7",199203,445364,3399516
"RUSSIA   0",199203,440246,3019042
"RUSSIA   1",199212,180455,3209430
"RUSSIA   0",199205,885307,2502525
"RUSSIA   9",199203,185017,3740411
"RUSSIA   0",199201,871234,3759083
"RUSSIA   9",199206,119563,2659756
"RUSSIA   2",199209,479308,3833539
"RUSSIA   0",199207,666163,2759872
"RUSSIA   9",199210,735028,2750402
"RUSSIA   3",199208,560537,3256113
"RUSSIA   9",199206,632152,2921292
"RUSSIA   5",199211,58363,2682833
"RUSSIA   2",199206,408073,1951015
"RUSSIA   0",199201,210247,3012576
"RUSSIA   7",199207,481477,2552160
"RUSSIA   7",199202,358148,2616193
"RUSSIA   0",199208,190955,3111748
"RUSSIA   6",199202,169772,2672294
"RUSSIA   0",199202,107074,3557522
"RUSSIA   5",199210,469667,2339261
"RUSSIA   0",199210,626884,2393110
"RUSSIA   4",199207,145642,3986677
"RUSSIA   6",199206,499723,3766125
"RUSSIA   1",199211,861149,1980730
"RUSSIA   6",199208,167122,2871456
"RUSSIA   1",199202,878086,2799403
"RUSSIA   9",199203,597694,3507314
"RUSSIA   6",199206,564470,4174075
"RUSSIA   3",199211,417908,2960573
"RUSSIA   2",199212,754828,3258379
"RUSSIA   0",199204,93598,2252754
"RUSSIA   2",199211,834526,4117809
"RUSSIA   5",199206,379969,2561377
"RUSSIA   2",199208,96331,3919512
"RUSSIA   0",199208,96331,3183966
"RUSSIA   8",199204,824893,3153125
"RUSSIA   6",199212,537091,3129202
"RUSSIA   3",199202,13627,2864487
"RUSSIA   0",199209,583426,3141732
"RUSSIA   3",199206,10231,3110286
"RUSSIA   1",199212,895268,2096068
"RUSSIA   8",199206,44897,2468899
"RUSSIA   7",199204,300689,3432807
"RUSSIA   8",199203,149891,4162840
"RUSSIA   7",199209,107056,1735925
"RUSSIA   3",199203,751858,2192430
"RUSSIA   5",199201,630835,4299064
"RUSSIA   7",199202,617212,3207564
"RUSSIA   5",199209,395323,2574814
"RUSSIA   9",199212,60982,2895355
"RUSSIA   3",199207,442048,2575877
"RUSSIA   7",199207,666739,4218374
"RUSSIA   6",199203,164243,2456926
"RUSSIA   6",199212,52117,3452834
"RUSSIA   8",199212,279844,2336808
"RUSSIA   7",199207,5495,2985038
"RUSSIA   7",199207,841985,2632919
"RUSSIA   2",199211,232471,2334719
"RUSSIA   4",199208,58504,4167440
"RUSSIA   7",199212,16969,2789671
"RUSSIA   3",199207,119977,2186497
"RUSSIA   0",199211,179800,3809581
"RUSSIA   4",199206,99485,2296496
"RUSSIA   9",199205,132412,4286002
"RUSSIA   0",199211,492746,3351474
"RUSSIA   9",199204,328913,2718473
"RUSSIA   9",199203,728224,2940576
"RUSSIA   6",199211,814823,2850312
"RUSSIA   0",199208,478930,3171493
"RUSSIA   6",199212,476933,2852933
"RUSSIA   9",199202,529390,1597217
"RUSSIA   1",199207,867305,3796729
"RUSSIA   2",199203,745420,2630189
"RUSSIA   6",199209,822208,3471344
"RUSSIA   8",199209,822208,3102067
"RUSSIA   1",199211,321889,2532176
"RUSSIA   0",199204,402529,2061594
"RUSSIA   2",199203,441986,3732037
"RUSSIA   5",199206,104362,1496763
"RUSSIA   6",199211,28534,2504380
"RUSSIA   7",199205,602747,3641585
"RUSSIA   0",199202,198487,3370560
"RUSSIA   5",199201,701972,3256026
"RUSSIA   2",199209,882872,1989940
"RUSSIA   1",199208,775750,2086524
"RUSSIA   6",199206,857362,2485745
"RUSSIA   8",199201,776608,2308417
"RUSSIA   4",199201,795284,2286778
"RUSSIA   6",199207,882124,2377392
"RUSSIA   0",199210,362368,2253045
"RUSSIA   2",199203,725845,2411872
"RUSSIA   3",199208,701098,2439188
"RUSSIA   7",199207,66874,3085960
"RUSSIA   6",199202,645005,3179607
"RUSSIA   3",199203,639620,2606128
"RUSSIA   1",199203,546961,4703513
"RUSSIA   3",199202,595691,2404792
"RUSSIA   7",199208,281153,4347135
"RUSSIA   7",199212,318824,2778105
"RUSSIA   2",199208,296966,2453422
"RUSSIA   8",199208,296966,3524977
"RUSSIA   8",199209,779443,3415089
"RUSSIA   4",199205,474436,3976204
"RUSSIA   6",199209,471799,3082564
"RUSSIA   5",199207,588563,3073350
"RUSSIA   7",199201,551224,2992414
"RUSSIA   7",199201,26318,3095151
"RUSSIA   4",199210,343051,2639632
"RUSSIA   1",199208,168430,5075437
"RUSSIA   9",199210,35434,2327737
"RUSSIA   1",199201,685729,3315384
"RUSSIA   3",199201,685729,2361577
"RUSSIA   3",199212,540989,3349110
"RUSSIA   7",199202,466186,4175484
"RUSSIA   2",199210,78425,2579701
"RUSSIA   9",199210,293861,2020528
"RUSSIA   2",199205,803855,2409250
"RUSSIA   9",199201,78385,2937198
"RUSSIA   4",199209,32593,3885900
"RUSSIA   0",199201,160012,2495779
"RUSSIA   0",199206,563785,2307461
"RUSSIA   9",199209,618878,2897538
"RUSSIA   7",199208,640969,2223116
"RUSSIA   3",199204,839482,2716762
"RUSSIA   1",199204,839482,3051533
"RUSSIA   1",199205,430016,3411705
"RUSSIA   3",199206,245650,4585442
"RUSSIA   7",199208,35764,2676787
"RUSSIA   3",199201,606988,4207056
"RUSSIA   4",199210,279550,4197231
"RUSSIA   5",199203,412463,2761214
"RUSSIA   6",199206,217250,2866041
"RUSSIA   1",199206,224935,3310528
"RUSSIA   7",199210,690271,3147396
"RUSSIA   0",199207,599722,2019468
"RUSSIA   4",199209,103157,3073910
"RUSSIA   3",199206,10990,2420300
"RUSSIA   1",199203,647377,2720978
"RUSSIA   5",199210,627029,3769736
"RUSSIA   2",199206,160828,3234004
"RUSSIA   7",199201,279394,1819842
"RUSSIA   1",199211,89201,3442010
"RUSSIA   4",199204,342190,2908440
"RUSSIA   8",199211,180016,3204287
"RUSSIA   6",199203,680047,2330400
"RUSSIA   6",199211,658708,3914314
"RUSSIA   7",199204,647882,2216038
"RUSSIA   3",199210,422476,4029627
"RUSSIA   8",199207,562888,3153024
"RUSSIA   1",199209,278767,2705554
"RUSSIA   8",199202,373399,3914996
"RUSSIA   1",199211,155068,2739795
"RUSSIA   2",199211,7279,2758821
"RUSSIA   6",199211,617462,3024126
"RUSSIA   3",199203,181987,3224726
"RUSSIA   6",199205,248326,2674744
"RUSSIA   5",199202,13825,2514174
"RUSSIA   2",199203,179677,3776240
"RUSSIA   3",199208,333481,3058440
"RUSSIA   9",199210,850300,3098258
"RUSSIA   2",199212,41041,3986120
"RUSSIA   4",199210,63043,3196432
"RUSSIA   2",199212,336010,2118639
"RUSSIA   9",199208,807478,3739580
"RUSSIA   0",199207,821824,2827192
"RUSSIA   6",199209,877189,3170760
"RUSSIA   2",199209,757568,2571041
"RUSSIA   3",199210,888728,3420247
"RUSSIA   2",199203,176417,1803666
"RUSSIA   4",199212,628130,3025761
"RUSSIA   5",199210,336586,2188502
"RUSSIA   1",199202,720791,2786642
"RUSSIA   2",199205,35419,4378643
"RUSSIA   8",199210,144703,3031005
"RUSSIA   3",199208,200630,2928888
"RUSSIA   7",199210,476854,2220631
"RUSSIA   3",199210,608846,2821286
"RUSSIA   9",199205,193945,2906896
"RUSSIA   7",199205,473492,3053737
"RUSSIA   2",199208,137953,3291111
"RUSSIA   1",199209,606583,2888805
"RUSSIA   0",199211,248452,3368957
"RUSSIA   0",199210,867971,4337432
"RUSSIA   0",199205,253003,2320136
"RUSSIA   8",199201,374578,2191500
"RUSSIA   6",199204,828865,1944888
"RUSSIA   9",199209,248224,1955600
"RUSSIA   1",199208,807610,4098209
"RUSSIA   1",199201,595369,2869010
"RUSSIA   6",199210,437465,2296330
"RUSSIA   1",199202,744098,2963021
"RUSSIA   8",199206,214757,3211490
"RUSSIA   2",199201,527953,2935438
"RUSSIA   2",199205,721315,2502183
"RUSSIA   3",199209,322403,1819983
"RUSSIA   0",199203,522661,2773568
"RUSSIA   0",199203,522661,2562928
"RUSSIA   2",199207,376318,2406962
"RUSSIA   5",199203,70682,2129174
"RUSSIA   5",199204,118018,1965138
"RUSSIA   1",199204,546337,2592633
"RUSSIA   2",199209,814838,2779737
"RUSSIA   2",199205,228020,2753795
"RUSSIA   1",199202,842660,3284653
"RUSSIA   1",199202,716944,2956861
"RUSSIA   2",199208,390544,2376238
"RUSSIA   6",199208,843020,2559813
"RUSSIA   5",199203,719183,2050617
"RUSSIA   9",199208,302422,3452989
"RUSSIA   4",199211,694108,3590145
"RUSSIA   5",199205,408571,3534294
"RUSSIA   9",199212,698002,4478805
"RUSSIA   5",199203,700988,2802060
"RUSSIA   0",199209,653836,3691548
"RUSSIA   9",199202,869050,2922446
"RUSSIA   4",199210,424783,1982834
"RUSSIA   5",199204,863911,3652216
"RUSSIA   5",199212,627622,3036025
"RUSSIA   2",199211,317506,2205806
"RUSSIA   6",199212,74057,3075846
"RUSSIA   7",199210,312838,1652896
"RUSSIA   0",199205,785897,3028350
"RUSSIA   6",199202,629789,3058600
"RUSSIA   3",199210,256075,2751008
"RUSSIA   7",199210,45394,3735451
"RUSSIA   2",199202,649417,4079428
"RUSSIA   0",199208,389779,3182454
"RUSSIA   1",199211,752032,4220106
"RUSSIA   9",199205,630337,3447774
"RUSSIA   8",199202,148837,1852308
"RUSSIA   1",199205,768980,2824396
"RUSSIA   2",199203,41284,3499672
"RUSSIA   1",199208,713716,2261866
"RUSSIA   8",199209,75569,3588144
"RUSSIA   1",199209,110716,3533519
"RUSSIA   0",199211,179224,2935852
"RUSSIA   4",199205,352541,2435937
"RUSSIA   6",199212,160597,3375435
"RUSSIA   8",199205,527903,3124036
"RUSSIA   7",199210,841984,2840130
"RUSSIA   5",199208,761875,3398803
"RUSSIA   5",199207,175342,2882139
"RUSSIA   5",199211,688846,2690091
"RUSSIA   0",199201,88355,3787048
"RUSSIA   3",199211,106711,3154174
"RUSSIA   8",199212,891217,3150826
"RUSSIA   0",199202,67933,3973697
"RUSSIA   5",199210,39838,2343126
"RUSSIA   6",199208,601918,3692852
"RUSSIA   7",199206,159275,4288362
"RUSSIA   2",199208,395612,3522519
"RUSSIA   7",199207,823493,3231828
"RUSSIA   2",199207,646100,3682160
"RUSSIA   7",199206,257209,2614918
"RUSSIA   8",199206,128077,1917849
"RUSSIA   0",199212,226232,2893506
"RUSSIA   4",199201,820529,2329027
"RUSSIA   0",199211,335227,3556927
"RUSSIA   9",199212,7976,1829622
"RUSSIA   2",199201,487996,2005197
"RUSSIA   4",199205,303452,2371789
"RUSSIA   8",199208,70313,2972914
"RUSSIA   8",199206,703826,2459319
"RUSSIA   8",199204,137929,4086405
"RUSSIA   3",199208,851798,3139517
"RUSSIA   7",199211,488191,2908523
"RUSSIA   4",199210,411182,2693772
"RUSSIA   7",199204,868942,2640183
"RUSSIA   1",199202,446737,3613187
"RUSSIA   2",199210,538186,2747399
"RUSSIA   0",199207,232957,2888865
"RUSSIA   8",199210,668362,3917490
"RUSSIA   8",199212,272275,3256361
"RUSSIA   6",199208,615328,1543360
