"d_year","s_city","lo_custkey","lo_revenue"
1997,"UNITED ST9",2875,1621374
1992,"UNITED ST9",14810,5131615
1996,"UNITED ST9",6181,999600
1997,"UNITED ST9",8104,4839984
1994,"UNITED ST0",25826,3306435
1997,"UNITED ST0",18163,2313985
1995,"UNITED ST0",5296,6446376
1997,"UNITED ST0",20452,2617617
1993,"UNITED ST0",8495,5424445
1993,"UNITED ST0",25924,299266
1993,"UNITED ST9",28750,3803969
1997,"UNITED ST0",17164,3508302
1995,"UNITED ST0",23408,1020357
1996,"UNITED ST9",21682,931133
1995,"UNITED ST9",16472,4504048
1996,"UNITED ST0",1981,4874546
1995,"UNITED ST0",17734,2210945
1992,"UNITED ST0",11266,1670080
1995,"UNITED ST0",29257,7870305
1994,"UNITED ST9",3413,674128
1996,"UNITED ST9",16489,6394904
1992,"UNITED ST9",4615,1555062
1992,"UNITED ST0",24997,598388
1994,"UNITED ST9",21535,2520136
1994,"UNITED ST0",21535,2960710
1994,"UNITED ST9",12664,7714426
1996,"UNITED ST9",22936,5336280
1995,"UNITED ST9",29194,132794
1997,"UNITED ST9",91,1152459
1993,"UNITED ST0",7613,4022272
1995,"UNITED ST9",7438,6085923
1992,"UNITED ST9",28603,2548483
1997,"UNITED ST0",9058,7525832
1992,"UNITED ST9",27445,2710006
1992,"UNITED ST9",2488,3827716
1994,"UNITED ST0",2332,136401
1994,"UNITED ST0",20003,1700776
1997,"UNITED ST9",13711,6621088
1996,"UNITED ST0",25528,1050741
1997,"UNITED ST9",23497,830318
1995,"UNITED ST0",27727,3421516
1993,"UNITED ST9",12766,4066076
1996,"UNITED ST9",1906,2158447
1992,"UNITED ST9",21439,2018540
1994,"UNITED ST0",29258,8244264
1996,"UNITED ST0",7078,1556200
1996,"UNITED ST9",4864,4523520
1995,"UNITED ST0",26254,5122367
1992,"UNITED ST9",2449,7431849
1993,"UNITED ST9",904,139089
1995,"UNITED ST0",15107,2141559
1993,"UNITED ST9",23992,5232605
1997,"UNITED ST9",14719,4932240
1995,"UNITED ST9",11057,3027373
1997,"UNITED ST0",19783,1639188
1996,"UNITED ST0",1913,2038004
1992,"UNITED ST9",28981,6609240
1997,"UNITED ST9",22870,7316363
1996,"UNITED ST0",3122,6412373
1997,"UNITED ST0",14129,3257641
1994,"UNITED ST0",8974,5145504
1994,"UNITED ST0",24829,6129180
1995,"UNITED ST9",24737,3484849
1996,"UNITED ST0",10034,3129290
1995,"UNITED ST0",28634,3189186
1992,"UNITED ST9",5699,7281721
1997,"UNITED ST9",29102,2821888
1997,"UNITED ST9",23557,5982397
1997,"UNITED ST0",14330,1320064
1996,"UNITED ST0",8263,5447906
1997,"UNITED ST9",17842,4505599
1994,"UNITED ST9",2113,2691273
1996,"UNITED ST0",1276,2543359
1992,"UNITED ST0",25579,222325
1993,"UNITED ST0",28807,513477
1996,"UNITED ST0",15349,7484686
1995,"UNITED ST9",11612,1974138
1996,"UNITED ST9",26114,1905209
1992,"UNITED ST9",20437,5882499
1992,"UNITED ST9",1592,3701734
1996,"UNITED ST9",12013,4464487
1993,"UNITED ST9",19757,2098529
1993,"UNITED ST9",28109,2182875
1996,"UNITED ST0",15529,1934042
1993,"UNITED ST9",22249,4997892
1996,"UNITED ST0",24848,3546511
1993,"UNITED ST0",5518,5651056
1992,"UNITED ST9",7165,2179683
1997,"UNITED ST9",20720,6310027
1993,"UNITED ST0",20545,5033105
1995,"UNITED ST0",26819,1391049
1995,"UNITED ST0",17068,788457
1995,"UNITED ST9",16934,2745044
1993,"UNITED ST9",17185,4794909
1997,"UNITED ST9",21463,1472509
1993,"UNITED ST9",4748,2843053
1994,"UNITED ST9",13687,2819676
1992,"UNITED ST9",15202,2599010
1992,"UNITED ST0",4609,1098776
1995,"UNITED ST9",8698,4909910
1993,"UNITED ST9",9220,5142937
1993,"UNITED ST9",19417,4690897
1993,"UNITED ST0",19417,4044469
1995,"UNITED ST9",16570,5366490
1996,"UNITED ST9",8419,4302997
1995,"UNITED ST9",23525,3934241
1996,"UNITED ST9",18166,3015098
1992,"UNITED ST0",12079,5544247
1994,"UNITED ST9",18686,565519
1994,"UNITED ST9",28978,4496263
1995,"UNITED ST0",2336,4038036
1996,"UNITED ST0",3254,4018253
1996,"UNITED ST9",15620,718284
1995,"UNITED ST0",1165,292882
1997,"UNITED ST9",20635,925186
1994,"UNITED ST0",19807,1766944
1992,"UNITED ST0",11543,7005318
1992,"UNITED ST9",12331,5240112
1997,"UNITED ST0",12641,3691296
1992,"UNITED ST9",6529,1792097
1992,"UNITED ST0",6529,1153713
1995,"UNITED ST9",28339,1148169
1994,"UNITED ST9",5437,5547416
1997,"UNITED ST9",8185,2196082
1997,"UNITED ST0",8185,204979
1996,"UNITED ST0",18658,1036951
1996,"UNITED ST0",11920,174218
1995,"UNITED ST9",9908,2448620
1994,"UNITED ST9",18385,4198578
1996,"UNITED ST0",29881,3652074
1992,"UNITED ST0",13664,3977895
1995,"UNITED ST0",14645,3122514
1995,"UNITED ST0",14645,3458733
1997,"UNITED ST0",18364,5153874
1992,"UNITED ST0",29458,3364396
1996,"UNITED ST0",20600,962618
1995,"UNITED ST0",16030,2306788
1994,"UNITED ST0",25363,9112228
1993,"UNITED ST0",8546,5988864
1992,"UNITED ST0",28021,4086548
1996,"UNITED ST9",4441,7342651
1997,"UNITED ST0",9358,4812837
1993,"UNITED ST0",1906,1557933
1995,"UNITED ST9",27062,1082847
1997,"UNITED ST0",23299,1789550
1992,"UNITED ST0",2479,723592
1993,"UNITED ST9",8801,5594316
1997,"UNITED ST0",17474,3312960
1992,"UNITED ST0",27074,578208
1995,"UNITED ST0",26003,1521480
1993,"UNITED ST0",15229,4210162
1993,"UNITED ST0",25466,2892275
1996,"UNITED ST0",22937,3909712
1994,"UNITED ST0",21719,2782637
1995,"UNITED ST9",17983,1998209
1993,"UNITED ST0",2308,328306
1993,"UNITED ST0",2308,7218936
1992,"UNITED ST0",27907,7428351
1997,"UNITED ST0",4189,869998
1993,"UNITED ST0",15928,5918842
1992,"UNITED ST0",19783,4295160
1994,"UNITED ST9",19522,393218
1994,"UNITED ST9",13739,5858353
1993,"UNITED ST0",14273,4521797
1995,"UNITED ST0",601,5483900
1995,"UNITED ST0",14074,3722221
1994,"UNITED ST9",11080,3755112
1997,"UNITED ST0",20248,9397417
1997,"UNITED ST9",24239,1433110
1992,"UNITED ST0",21835,8011823
1992,"UNITED ST9",19421,4086031
1993,"UNITED ST0",9508,5165720
1996,"UNITED ST0",19408,4432526
1996,"UNITED ST9",5308,4455750
1996,"UNITED ST9",21286,5543144
1994,"UNITED ST0",400,1655675
1992,"UNITED ST0",3758,4956437
1996,"UNITED ST0",14953,1744958
1994,"UNITED ST9",21265,1147449
1996,"UNITED ST0",10853,4477161
1996,"UNITED ST9",8807,3185721
1996,"UNITED ST9",15305,178113
1995,"UNITED ST9",13318,4557368
1996,"UNITED ST0",13721,304902
1994,"UNITED ST0",22123,996671
1992,"UNITED ST0",10373,4583867
1995,"UNITED ST0",26155,2551806
1995,"UNITED ST0",17459,1946250
1997,"UNITED ST9",9271,5648352
1993,"UNITED ST9",10510,7356076
1995,"UNITED ST0",28156,573159
1995,"UNITED ST9",18991,6522926
1995,"UNITED ST9",862,4455264
1996,"UNITED ST9",20528,683211
1992,"UNITED ST0",9715,6554271
1995,"UNITED ST0",13213,572836
1994,"UNITED ST9",2731,4022936
1993,"UNITED ST0",26950,6319172
1992,"UNITED ST0",8183,5319601
1994,"UNITED ST9",998,2348475
1995,"UNITED ST9",29567,6570622
1995,"UNITED ST9",13051,6164550
1996,"UNITED ST0",28186,533659
1994,"UNITED ST0",19300,7009165
1997,"UNITED ST9",28402,4291450
1997,"UNITED ST9",28402,2352264
1996,"UNITED ST0",9382,3760247
1992,"UNITED ST0",24469,1353317
1996,"UNITED ST9",11872,5694595
1992,"UNITED ST0",17306,6988987
1994,"UNITED ST9",19946,2475118
1996,"UNITED ST9",2041,5464576
1992,"UNITED ST0",11560,2989612
1992,"UNITED ST0",11560,2711830
1995,"UNITED ST0",12406,4352417
1997,"UNITED ST9",2627,2514763
1992,"UNITED ST9",2515,7027922
1993,"UNITED ST9",10550,2663474
1996,"UNITED ST9",10240,5383528
1992,"UNITED ST9",6388,7617254
1995,"UNITED ST0",6569,6528935
1997,"UNITED ST9",11008,1952771
1997,"UNITED ST0",16256,3512770
1995,"UNITED ST9",10180,632139
1995,"UNITED ST9",10180,5133727
1994,"UNITED ST9",25742,3921261
1995,"UNITED ST0",5914,5526522
1996,"UNITED ST0",24958,348658
1992,"UNITED ST0",16019,360220
1994,"UNITED ST9",16120,879781
1997,"UNITED ST0",9577,219723
1993,"UNITED ST0",20395,7808101
1994,"UNITED ST0",14972,4677768
1997,"UNITED ST0",18391,4833508
1995,"UNITED ST9",25895,665023
1996,"UNITED ST9",6976,8764777
1993,"UNITED ST9",26080,174185
1992,"UNITED ST0",8537,909028
1993,"UNITED ST0",14785,3152932
1993,"UNITED ST9",12592,1346542
1997,"UNITED ST9",12127,3758587
1993,"UNITED ST9",24331,1073413
1997,"UNITED ST9",22606,4391049
1995,"UNITED ST9",14734,124765
1993,"UNITED ST9",12437,3031061
1995,"UNITED ST0",20212,2260021
1992,"UNITED ST0",7669,1709678
1992,"UNITED ST9",15724,3947731
1994,"UNITED ST9",22189,1859323
1994,"UNITED ST9",22081,1546592
1992,"UNITED ST0",13801,1079202
1994,"UNITED ST0",12949,3706908
1996,"UNITED ST0",7046,4519433
1993,"UNITED ST9",3242,2695562
1993,"UNITED ST9",3826,5008521
1997,"UNITED ST0",17095,772612
1996,"UNITED ST0",17407,3365565
1996,"UNITED ST0",5377,4930152
1993,"UNITED ST0",19753,1734908
1994,"UNITED ST9",12761,3371187
1996,"UNITED ST9",8315,4574810
1993,"UNITED ST0",14527,3355495
1993,"UNITED ST9",8908,7439892
1992,"UNITED ST9",8612,7049843
1996,"UNITED ST0",13219,4530183
1997,"UNITED ST9",2869,5487852
1992,"UNITED ST9",9760,3716195
1996,"UNITED ST9",15826,1428830
1995,"UNITED ST0",22795,1069220
1992,"UNITED ST0",21595,2661799
1993,"UNITED ST0",16126,4888704
1992,"UNITED ST0",3208,5139728
1996,"UNITED ST0",16900,3118440
1992,"UNITED ST9",4276,4826398
1995,"UNITED ST0",17182,5426437
1997,"UNITED ST0",3382,694379
1996,"UNITED ST9",20389,4151227
1992,"UNITED ST0",29788,8147174
1995,"UNITED ST0",22843,3794422
1993,"UNITED ST9",9302,4771795
1995,"UNITED ST9",20284,3971890
1997,"UNITED ST9",27427,3044426
1995,"UNITED ST0",14944,2517060
1994,"UNITED ST9",13789,8267428
1993,"UNITED ST0",29371,1863072
1993,"UNITED ST0",10208,1681903
1994,"UNITED ST9",27179,1201651
1997,"UNITED ST0",24722,2597911
1993,"UNITED ST0",12457,8348391
1993,"UNITED ST0",2810,1364004
1996,"UNITED ST9",25265,4135266
1992,"UNITED ST0",26239,3687872
1995,"UNITED ST9",27356,5249691
1992,"UNITED ST0",15049,1662319
1992,"UNITED ST9",22105,4844610
1997,"UNITED ST0",12796,619377
1994,"UNITED ST0",4556,7738867
1995,"UNITED ST9",13040,146555
1994,"UNITED ST9",2320,2735664
1996,"UNITED ST0",1009,513746
1995,"UNITED ST0",27625,6937179
1992,"UNITED ST0",12434,4322401
1995,"UNITED ST0",6791,2794104
1993,"UNITED ST9",20632,4561817
1995,"UNITED ST9",29954,1331477
1996,"UNITED ST0",9038,969466
1995,"UNITED ST9",28510,3893859
1994,"UNITED ST9",23569,4100143
1992,"UNITED ST9",2683,1404529
1994,"UNITED ST0",18826,1973463
1993,"UNITED ST9",23135,3731301
1996,"UNITED ST9",8638,1600364
1994,"UNITED ST9",685,7587831
1995,"UNITED ST9",27130,6003686
1994,"UNITED ST0",5491,4302508
1997,"UNITED ST9",5855,9343908
1994,"UNITED ST9",2183,886524
1993,"UNITED ST9",11237,2793047
1992,"UNITED ST0",15418,8843378
1992,"UNITED ST9",15418,5577984
1993,"UNITED ST9",15307,3929276
1992,"UNITED ST9",29686,3792054
1993,"UNITED ST9",5401,7507698
1995,"UNITED ST9",24547,4044988
1995,"UNITED ST9",24916,1212377
1995,"UNITED ST0",22396,4848258
1993,"UNITED ST0",104,5907489
1995,"UNITED ST9",20954,3362353
1992,"UNITED ST0",26723,3465792
1995,"UNITED ST0",1009,1924941
1993,"UNITED ST9",10342,1017243
1995,"UNITED ST9",16774,2505447
1992,"UNITED ST9",17927,6527154
1993,"UNITED ST0",7459,4214089
1996,"UNITED ST0",5141,526586
1992,"UNITED ST9",10364,2413432
1992,"UNITED ST9",10364,4295686
1994,"UNITED ST9",12407,3414917
1992,"UNITED ST0",6754,3231068
1994,"UNITED ST9",19681,1685791
1994,"UNITED ST0",26392,5330128
1995,"UNITED ST9",13559,2643754
1997,"UNITED ST0",11569,4242334
1995,"UNITED ST9",8248,2658917
1994,"UNITED ST0",1684,8681364
1992,"UNITED ST9",8884,6668173
1997,"UNITED ST9",11363,379420
1994,"UNITED ST0",29839,2380197
1997,"UNITED ST0",18877,1764887
1992,"UNITED ST9",26371,4229272
1993,"UNITED ST0",14570,5731142
1994,"UNITED ST9",10648,1166591
1994,"UNITED ST0",10648,6322268
1994,"UNITED ST0",24394,6728085
1996,"UNITED ST9",10285,6304702
1993,"UNITED ST0",21877,4413339
1995,"UNITED ST9",1630,2821033
1992,"UNITED ST9",8608,7926987
1993,"UNITED ST0",27910,7020619
1996,"UNITED ST9",2714,1824848
1996,"UNITED ST9",9031,4879813
1993,"UNITED ST9",4588,110749
1992,"UNITED ST9",26926,4053670
1994,"UNITED ST0",4060,169232
1992,"UNITED ST9",19543,2998915
1994,"UNITED ST9",15652,4611196
1996,"UNITED ST0",5657,2562230
1996,"UNITED ST0",25376,8402754
1993,"UNITED ST9",27427,6272262
1993,"UNITED ST9",8044,1782831
1996,"UNITED ST0",25010,306653
1996,"UNITED ST9",21199,7724149
1996,"UNITED ST9",23984,1016800
1996,"UNITED ST0",883,5692659
1993,"UNITED ST9",21758,1193400
1995,"UNITED ST0",15893,3106303
1995,"UNITED ST0",10885,178745
1994,"UNITED ST0",16615,7775665
1994,"UNITED ST9",15515,361522
1992,"UNITED ST0",23845,5210659
1996,"UNITED ST0",7882,5776851
1997,"UNITED ST0",29135,6213430
1993,"UNITED ST0",26731,7124884
1997,"UNITED ST0",985,1755164
1993,"UNITED ST9",23257,2751547
1994,"UNITED ST9",1900,164190
1996,"UNITED ST9",14293,2934336
1996,"UNITED ST0",19546,2889346
1996,"UNITED ST9",22006,4480117
1997,"UNITED ST9",21424,3542222
1995,"UNITED ST9",15719,1742549
1997,"UNITED ST9",22342,6157851
1992,"UNITED ST0",199,2070750
1994,"UNITED ST0",7564,5026774
1992,"UNITED ST9",13327,345891
1994,"UNITED ST9",4424,4464944
1996,"UNITED ST0",25873,5791285
1994,"UNITED ST9",24031,494463
1992,"UNITED ST0",2212,661892
1997,"UNITED ST0",12472,4196768
1992,"UNITED ST0",28867,1488574
1992,"UNITED ST9",6797,4356222
1996,"UNITED ST0",9845,3568540
1995,"UNITED ST9",1448,3898891
1996,"UNITED ST9",21320,3387841
1997,"UNITED ST0",13160,5934232
1995,"UNITED ST0",397,7588574
1995,"UNITED ST9",20417,5308406
1992,"UNITED ST9",1528,848675
1993,"UNITED ST0",26987,3890284
1996,"UNITED ST0",176,2915067
1996,"UNITED ST0",22414,5679681
1994,"UNITED ST0",5665,2523202
1993,"UNITED ST0",1958,6065463
1994,"UNITED ST9",22201,1588530
1992,"UNITED ST0",6997,1326579
1994,"UNITED ST0",29201,6162290
1996,"UNITED ST9",17680,6180609
1992,"UNITED ST0",29830,670795
1993,"UNITED ST9",6250,3000361
1997,"UNITED ST9",8332,2843212
1997,"UNITED ST0",8332,6365307
1992,"UNITED ST9",19828,865664
1996,"UNITED ST9",18310,2158432
1995,"UNITED ST9",26419,1578067
1997,"UNITED ST9",5326,3515868
1992,"UNITED ST9",14386,5769524
1992,"UNITED ST9",14386,419187
1992,"UNITED ST0",12088,1133865
1993,"UNITED ST0",2924,5351175
1993,"UNITED ST9",28471,6803776
1997,"UNITED ST9",3043,3253814
1995,"UNITED ST0",28772,4124220
1997,"UNITED ST9",5686,3983189
1996,"UNITED ST9",2189,4192532
1994,"UNITED ST9",6484,4798339
1994,"UNITED ST0",12613,6576810
1997,"UNITED ST9",20131,2837780
1993,"UNITED ST9",14803,3299596
1993,"UNITED ST0",28252,4229056
1992,"UNITED ST0",18796,7485601
1994,"UNITED ST0",24152,3960795
1994,"UNITED ST0",17117,1821170
1993,"UNITED ST0",24475,1655495
1993,"UNITED ST0",21023,2098745
1993,"UNITED ST0",26833,3338058
1992,"UNITED ST0",16031,1516719
1996,"UNITED ST9",22981,5185263
1997,"UNITED ST9",23506,4129773
1996,"UNITED ST9",22507,4126755
1996,"UNITED ST9",21628,2444352
1997,"UNITED ST0",1735,2305162
1995,"UNITED ST9",23323,3971908
1997,"UNITED ST0",12863,7445770
1992,"UNITED ST9",6922,4383519
1993,"UNITED ST9",27794,892854
1994,"UNITED ST0",22513,5505768
1997,"UNITED ST0",12308,368539
1994,"UNITED ST9",1282,7985730
1994,"UNITED ST0",1282,3274247
1994,"UNITED ST9",10411,7720362
1996,"UNITED ST9",5537,5733826
1992,"UNITED ST9",29534,2550297
1992,"UNITED ST9",21118,1924455
1994,"UNITED ST0",829,868763
1993,"UNITED ST9",8467,1055100
1997,"UNITED ST0",21254,8350760
1993,"UNITED ST9",18133,439833
1993,"UNITED ST9",23546,2931674
1997,"UNITED ST9",27356,3749724
1995,"UNITED ST0",25009,2272149
1996,"UNITED ST0",24493,301484
1996,"UNITED ST0",29749,6147532
1996,"UNITED ST9",9163,3014642
1995,"UNITED ST9",3232,1369914
1995,"UNITED ST9",8839,627161
1997,"UNITED ST9",8147,5963448
1994,"UNITED ST0",15820,4796291
1992,"UNITED ST0",25757,538328
1993,"UNITED ST0",12016,5766968
1992,"UNITED ST0",15617,3272962
1994,"UNITED ST0",6869,3044096
1993,"UNITED ST9",4192,8466085
1995,"UNITED ST0",22636,4901987
1994,"UNITED ST9",19937,3414388
1995,"UNITED ST9",28159,3739181
1995,"UNITED ST9",6061,3301196
1997,"UNITED ST9",27973,5034808
1997,"UNITED ST9",28673,164151
1996,"UNITED ST9",5434,6309330
1996,"UNITED ST0",5471,3871839
1993,"UNITED ST0",21442,8068079
1993,"UNITED ST0",13504,1455264
1992,"UNITED ST0",17203,1912871
1997,"UNITED ST0",26768,3200778
1997,"UNITED ST9",21451,4110841
1996,"UNITED ST0",20885,612897
1993,"UNITED ST9",8812,490006
1995,"UNITED ST9",8416,7627539
1995,"UNITED ST9",16528,4046082
1997,"UNITED ST0",10378,4071614
1992,"UNITED ST0",24295,5975196
1994,"UNITED ST0",416,3428170
1994,"UNITED ST9",16609,3247262
1996,"UNITED ST0",20101,6669816
1993,"UNITED ST0",8249,1964387
1994,"UNITED ST9",2840,971042
1997,"UNITED ST0",572,2281444
1992,"UNITED ST0",26485,737971
1996,"UNITED ST0",26641,5475448
1997,"UNITED ST9",16672,1098681
1995,"UNITED ST0",18233,416772
