"d_year","s_city","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
1992,"UNITED ST5",16693,118458,3800382,88587
1993,"UNITED ST1",2482,173145,2129308,73088
1993,"UNITED ST8",27617,161845,177336,114410
1993,"UNITED ST5",610,70482,3241935,87148
1992,"UNITED ST0",27220,154731,2014303,107143
1992,"UNITED ST6",22546,67493,2497437,87629
1992,"UNITED ST0",16316,127789,6852894,109006
1992,"UNITED ST5",20944,74254,456909,73695
1992,"UNITED ST7",2032,155592,2099029,98855
1992,"UNITED ST4",3047,40666,6908638,96399
1992,"UNITED ST4",3047,70922,6095202,113575
1992,"UNITED ST2",5054,113152,3921894,69909
1992,"UNITED ST7",5608,23117,4093872,62406
1992,"UNITED ST0",10864,113938,4099053,117115
1992,"UNITED ST1",1570,181116,4692671,71826
1993,"UNITED ST5",22966,103420,6765515,85405
1992,"UNITED ST1",27778,196585,1059395,100894
1993,"UNITED ST7",5992,28152,2752222,64809
1993,"UNITED ST9",364,171147,5065026,73088
1992,"UNITED ST0",6550,38472,2094547,84628
1992,"UNITED ST1",11776,145431,1771716,88585
1992,"UNITED ST9",19024,77878,2728128,111352
1992,"UNITED ST9",19024,89615,4980709,96276
1993,"UNITED ST3",27754,83920,2855880,114235
1993,"UNITED ST3",27754,146834,4655054,112849
1993,"UNITED ST8",13135,83714,5561697,101862
1992,"UNITED ST4",27073,167173,3690745,74410
1992,"UNITED ST7",10490,94891,5069272,113153
1993,"UNITED ST9",26548,36371,2008120,78442
1993,"UNITED ST0",13012,24337,4282215,75679
1992,"UNITED ST6",4730,33816,3324639,104988
1993,"UNITED ST2",12905,1738,5032331,98383
1993,"UNITED ST9",12905,9892,5474141,108113
1993,"UNITED ST0",12905,109952,8475624,117717
1992,"UNITED ST8",11627,75777,652030,105166
1992,"UNITED ST1",11627,167245,716483,78734
1993,"UNITED ST6",2797,36493,6655705,85769
1992,"UNITED ST7",8393,189580,7608276,100174
1993,"UNITED ST4",28159,38665,6786689,96219
1993,"UNITED ST3",17948,142893,1161534,116153
1992,"UNITED ST3",5305,34166,2327938,66009
1993,"UNITED ST1",23380,163128,2818189,71467
1992,"UNITED ST0",17284,47383,1390247,79822
1993,"UNITED ST2",5047,40801,2534319,104508
1992,"UNITED ST7",5615,120800,3605184,109248
1992,"UNITED ST7",5771,59850,1216219,108591
1993,"UNITED ST0",977,106517,5621751,91410
1992,"UNITED ST9",6734,198521,942560,97171
1993,"UNITED ST1",4714,199172,362283,76270
1993,"UNITED ST0",4714,153150,3279786,72189
1992,"UNITED ST1",25277,35467,2176617,84147
1992,"UNITED ST3",2210,166829,1620926,113749
1992,"UNITED ST1",3541,43495,6266062,86309
1992,"UNITED ST3",3541,62829,7579398,107509
1992,"UNITED ST1",9743,106600,433782,96396
1993,"UNITED ST0",26468,160753,7741085,108825
1993,"UNITED ST9",16265,29860,2835138,107391
1993,"UNITED ST0",16265,38598,2286445,92195
1993,"UNITED ST1",16879,157663,6813813,103239
1992,"UNITED ST5",20381,1211,2046466,66732
1992,"UNITED ST8",12713,184243,3185376,79634
1992,"UNITED ST7",16510,140959,2819929,119997
1992,"UNITED ST9",899,41691,320007,97961
1992,"UNITED ST8",17413,171333,272440,84259
1993,"UNITED ST3",25280,136171,794317,72430
1993,"UNITED ST7",25924,73123,4189370,65767
1993,"UNITED ST2",10393,39208,1573958,68832
1993,"UNITED ST4",10393,15953,4373343,112137
1992,"UNITED ST7",1045,67588,4878298,93334
1992,"UNITED ST3",1045,45528,6439282,88411
1992,"UNITED ST8",12577,23884,2549110,108472
1993,"UNITED ST3",3154,135937,9280662,118375
1993,"UNITED ST0",21836,127407,1101619,86064
1993,"UNITED ST7",27847,58057,4618477,60903
1992,"UNITED ST0",943,48427,5757508,82525
1992,"UNITED ST3",29560,54665,6996931,97179
1993,"UNITED ST7",7288,184895,768197,118793
1993,"UNITED ST1",6424,136813,1581587,110988
1993,"UNITED ST8",3520,27347,4432154,76460
1993,"UNITED ST4",13771,148317,6224448,81918
1992,"UNITED ST1",15223,38751,6840108,101385
1992,"UNITED ST2",17488,29284,4747564,72796
1993,"UNITED ST2",14384,129496,5894493,91529
1993,"UNITED ST0",16285,19245,3318084,69854
1992,"UNITED ST1",12170,9651,5134538,93639
1993,"UNITED ST0",23830,88003,1553888,59460
1993,"UNITED ST6",24796,182667,5542922,104979
1993,"UNITED ST4",25907,114030,991828,62641
1993,"UNITED ST7",20626,42589,4548792,91894
1993,"UNITED ST6",5621,97047,4658506,62642
1993,"UNITED ST9",4162,153029,1017098,64921
1992,"UNITED ST0",16702,88830,523823,109129
1993,"UNITED ST9",13505,169231,3829177,78013
1993,"UNITED ST8",5197,60600,2698277,93636
1992,"UNITED ST3",20395,42850,7752283,107571
1993,"UNITED ST3",13627,176727,8484698,108223
1992,"UNITED ST0",9002,88411,2546926,83964
1993,"UNITED ST4",6871,133018,617993,63060
1993,"UNITED ST9",9368,57157,4144638,66849
1993,"UNITED ST9",14200,143203,5159268,74772
1993,"UNITED ST9",14200,130894,1131835,115493
1992,"UNITED ST1",28888,175585,7555639,99634
1992,"UNITED ST1",27589,102481,3337830,89008
1992,"UNITED ST1",17150,21701,7091199,97362
1992,"UNITED ST9",18740,91723,3744948,102883
1993,"UNITED ST0",10295,186429,6137451,90925
1993,"UNITED ST0",6373,10875,1785870,107152
1993,"UNITED ST4",9547,131866,1821945,113871
1993,"UNITED ST4",28399,52015,967010,58020
1993,"UNITED ST4",18074,33983,7326697,115018
1992,"UNITED ST0",23368,75991,5177117,118019
1992,"UNITED ST4",16232,159703,1015315,105762
1992,"UNITED ST9",4948,110728,4624995,104323
1993,"UNITED ST4",839,192795,5855924,113267
1992,"UNITED ST4",20665,141483,2591616,91468
1992,"UNITED ST0",17167,41601,6597700,92556
1993,"UNITED ST1",12841,77388,133807,81922
1992,"UNITED ST5",24412,36909,1329048,110754
1992,"UNITED ST7",24412,114526,443669,92431
1993,"UNITED ST0",25111,103717,4955644,103242
1993,"UNITED ST2",25111,9190,511123,65951
1993,"UNITED ST4",292,85282,691934,76036
1992,"UNITED ST3",14635,168934,4556665,120175
1992,"UNITED ST0",14635,141625,4959861,99997
1993,"UNITED ST3",24439,118971,6447502,119398
1993,"UNITED ST9",24439,137660,5466465,101859
1993,"UNITED ST6",11401,199102,2282090,72066
1992,"UNITED ST6",8362,175109,1148577,71046
1992,"UNITED ST4",4930,2755,324919,99465
1993,"UNITED ST7",26837,178456,1141630,92067
1992,"UNITED ST7",18742,59800,1425438,105588
1992,"UNITED ST5",4825,184392,6451824,88583
1993,"UNITED ST5",23707,162286,5517161,80896
1992,"UNITED ST7",2909,194292,127538,83177
1992,"UNITED ST5",8446,143920,6928709,117835
1992,"UNITED ST9",17125,138635,4669427,100417
1993,"UNITED ST0",21400,153640,6401959,101618
1993,"UNITED ST7",10151,73595,614887,94115
1992,"UNITED ST6",7336,77857,6209132,110091
1993,"UNITED ST6",28313,185128,4924054,72787
1992,"UNITED ST6",20497,72758,6277430,103845
1993,"UNITED ST6",7651,179952,5120514,121917
1992,"UNITED ST0",20458,10560,5219017,88233
1993,"UNITED ST4",18568,183981,10017217,123898
1993,"UNITED ST9",3842,58170,4355864,67690
1993,"UNITED ST6",24052,122530,4191831,93151
1992,"UNITED ST9",14956,42293,5929392,74117
1993,"UNITED ST4",451,90112,4169282,66126
1992,"UNITED ST6",8069,634,6776926,92077
1992,"UNITED ST1",8069,41649,1495201,95438
1992,"UNITED ST0",14914,21820,1295914,104509
1992,"UNITED ST9",14914,86548,3351435,92072
1993,"UNITED ST8",8216,139034,4485265,64381
1993,"UNITED ST4",19753,50499,2226416,86969
1992,"UNITED ST8",29854,71837,2062066,108529
1992,"UNITED ST1",29854,93344,3177519,80240
1992,"UNITED ST8",21929,198518,735512,96990
1993,"UNITED ST0",6530,84641,6276596,97538
1992,"UNITED ST8",14087,41374,3409439,78922
1992,"UNITED ST0",8879,29939,4616257,112135
1992,"UNITED ST1",15151,156513,2360543,94170
1993,"UNITED ST0",29431,109575,5545995,95074
1992,"UNITED ST4",23449,197295,2116280,83537
1993,"UNITED ST0",22375,60313,3781730,76398
1992,"UNITED ST5",7091,133308,4286794,80478
1993,"UNITED ST9",3523,67621,7472868,95317
1992,"UNITED ST1",5246,158664,5788137,103359
1993,"UNITED ST5",3659,32536,1518460,88111
1992,"UNITED ST0",19432,8698,3464023,96401
1993,"UNITED ST1",29236,25615,147898,92436
1993,"UNITED ST4",6553,130791,706854,109307
1993,"UNITED ST1",26171,48632,5897330,94837
1993,"UNITED ST6",26171,45135,3849583,64807
1993,"UNITED ST6",26906,184142,5527439,73568
1992,"UNITED ST4",3562,28569,5606864,89853
1992,"UNITED ST9",21497,80261,1072448,74475
1992,"UNITED ST1",21497,133423,6095117,87385
1993,"UNITED ST6",28624,83045,1730191,61682
1992,"UNITED ST7",3689,22159,3794836,64869
1992,"UNITED ST3",19258,15537,2157007,87151
1992,"UNITED ST0",20941,83567,6977520,93033
1992,"UNITED ST7",20356,3697,6365944,96041
1992,"UNITED ST0",2248,26180,2206829,66370
1992,"UNITED ST0",10378,39727,4620147,100003
1992,"UNITED ST7",10378,106591,5981376,95855
1992,"UNITED ST6",26234,48795,3967122,104627
1992,"UNITED ST0",24796,29004,1959300,55980
1992,"UNITED ST7",2624,87269,817825,75375
1992,"UNITED ST9",26488,63863,1929164,109611
1992,"UNITED ST7",21301,59808,2100146,106068
1992,"UNITED ST9",8677,26530,2905777,87391
1992,"UNITED ST7",6475,20656,2364975,94599
1992,"UNITED ST0",23881,34249,4820519,70994
1992,"UNITED ST5",10417,32770,2022890,102166
1992,"UNITED ST9",7603,126019,855863,62700
1992,"UNITED ST1",29029,132713,8553979,104742
1992,"UNITED ST0",25351,151624,6772856,100537
1992,"UNITED ST9",21544,153207,226836,75612
1993,"UNITED ST0",4909,63505,734250,88110
1992,"UNITED ST4",14554,66680,5756793,98800
1992,"UNITED ST1",10280,51432,650212,83005
1992,"UNITED ST0",440,56170,2229816,67570
1993,"UNITED ST7",3022,114927,2708978,116515
1992,"UNITED ST4",17507,195416,5088917,90684
1993,"UNITED ST5",11554,132683,2712490,102940
1992,"UNITED ST7",3260,23140,692104,63788
1993,"UNITED ST4",19936,6370,3101579,76582
1993,"UNITED ST9",24409,44381,5455264,79522
1993,"UNITED ST4",20275,76217,4080778,71592
1993,"UNITED ST0",20275,197761,2198913,111525
1993,"UNITED ST1",23752,172591,151386,99815
1992,"UNITED ST4",26683,107992,2759986,119999
1992,"UNITED ST1",8531,69736,4707814,102343
1992,"UNITED ST5",7913,91337,4521635,79699
1993,"UNITED ST7",6148,160204,3155443,75852
1992,"UNITED ST7",3676,172444,4829861,90986
1992,"UNITED ST1",3676,59761,5950388,103245
1993,"UNITED ST7",14332,56359,1641556,78921
1992,"UNITED ST9",16666,19719,7787149,98322
1993,"UNITED ST0",15532,152562,4475560,96873
1993,"UNITED ST3",27494,137246,2386826,76994
1992,"UNITED ST0",23269,72041,4761288,60782
1992,"UNITED ST4",6196,28988,7514561,115018
1992,"UNITED ST3",3938,78224,1399384,72133
1992,"UNITED ST3",6913,68291,5271387,75557
1993,"UNITED ST3",26456,127978,5253635,120358
1992,"UNITED ST5",10324,103116,3706492,67146
1993,"UNITED ST9",6781,53142,2575769,65708
1992,"UNITED ST2",17285,152569,4926299,97293
1993,"UNITED ST4",811,143872,1247231,114952
1993,"UNITED ST0",21998,88091,2767865,64745
1993,"UNITED ST5",16775,91513,5574209,90270
1993,"UNITED ST7",23330,67794,3347401,105707
1992,"UNITED ST8",21973,196553,2144415,98973
1993,"UNITED ST3",23732,187726,7820760,108823
1993,"UNITED ST9",25369,84527,6677895,90691
1993,"UNITED ST1",14674,191729,5360199,109243
1992,"UNITED ST1",23596,160603,5662894,99816
1993,"UNITED ST9",1298,66858,531031,109491
1992,"UNITED ST3",7699,84354,6156410,80301
1992,"UNITED ST9",28882,138811,8701506,110988
1992,"UNITED ST7",13387,39506,4755695,86730
1993,"UNITED ST3",500,53461,6082178,84867
1993,"UNITED ST6",22958,85667,2951650,99159
1993,"UNITED ST9",23810,179090,5155686,70145
1992,"UNITED ST7",22286,65017,271034,58920
1993,"UNITED ST8",22057,149251,1146820,78015
1992,"UNITED ST8",13493,65401,2945958,81984
1993,"UNITED ST7",3574,137577,3187161,96874
1993,"UNITED ST7",11303,17561,6209952,88713
1993,"UNITED ST9",11303,135985,2772784,121258
1993,"UNITED ST1",4063,97118,780577,66906
1992,"UNITED ST7",29392,40141,2675821,64868
1993,"UNITED ST8",4048,95997,6931619,119579
1992,"UNITED ST1",27649,131406,2161849,86244
1993,"UNITED ST2",23053,79653,4754276,97959
1992,"UNITED ST4",22084,48346,1747359,77660
1993,"UNITED ST4",16957,1978,3970496,112798
1993,"UNITED ST4",20972,20502,3476590,85350
1993,"UNITED ST4",19843,14293,4288294,72437
1993,"UNITED ST4",28388,144182,5407453,73570
1993,"UNITED ST4",5393,96690,7370835,101201
1992,"UNITED ST0",20557,86113,1239796,65946
1992,"UNITED ST3",23452,178616,8049397,101676
1992,"UNITED ST6",25229,127602,909316,97776
1992,"UNITED ST5",25229,63261,4297152,73455
1992,"UNITED ST9",5569,109719,2395992,103722
1992,"UNITED ST1",11386,92199,3919015,71471
1992,"UNITED ST0",25267,180970,3740969,123058
1993,"UNITED ST5",21350,74536,2009004,90631
1993,"UNITED ST1",17473,184787,4043044,112306
1993,"UNITED ST9",929,147414,6181764,87684
1993,"UNITED ST6",20374,40635,4638654,94537
1993,"UNITED ST7",25867,104947,741737,117116
1992,"UNITED ST1",3965,166513,5642009,94770
1992,"UNITED ST3",22708,136926,2137619,117775
1992,"UNITED ST1",27341,124568,6529496,95553
1992,"UNITED ST8",2618,169335,5055588,84259
1993,"UNITED ST3",9128,18754,1906935,100365
1992,"UNITED ST0",3422,38545,6315429,89012
1992,"UNITED ST4",19853,95802,1488578,107868
1992,"UNITED ST6",9676,122272,2355571,77656
1993,"UNITED ST5",2761,108875,5489597,113032
1992,"UNITED ST1",29635,109898,4531238,114473
1992,"UNITED ST7",17419,161441,2654811,90146
1992,"UNITED ST0",23287,197335,1694446,85939
1992,"UNITED ST7",14585,39237,4075636,70573
1992,"UNITED ST9",5485,13788,505428,102106
1992,"UNITED ST7",25403,145333,1364546,82699
1992,"UNITED ST3",2713,19276,2342729,71716
1993,"UNITED ST8",24551,87905,5224404,113574
1993,"UNITED ST0",24551,15042,2961081,57422
1992,"UNITED ST5",4645,188937,2826172,121555
1992,"UNITED ST9",7895,180625,1876182,102337
1993,"UNITED ST9",18052,17913,4818955,109854
1993,"UNITED ST8",18052,31319,2990741,75018
1992,"UNITED ST8",6772,39836,7025183,106549
1992,"UNITED ST8",6772,113604,621158,97056
1993,"UNITED ST1",7040,96141,1419150,68228
1993,"UNITED ST4",23420,17797,3192938,102887
1993,"UNITED ST9",12583,158093,757417,69065
1992,"UNITED ST7",7601,55928,6375185,113035
1992,"UNITED ST5",28954,81581,3234540,93754
1992,"UNITED ST9",2710,78713,5579259,101502
1992,"UNITED ST9",14248,171762,5446267,110025
1993,"UNITED ST0",13328,141770,2282830,108706
1992,"UNITED ST1",4726,22918,5051457,110454
1992,"UNITED ST4",16919,85987,1499464,118378
1992,"UNITED ST0",17909,162874,5702145,116212
1992,"UNITED ST1",22691,172534,5706394,96391
1992,"UNITED ST9",27892,34625,5393165,93577
1993,"UNITED ST0",3344,69208,1059480,70632
1993,"UNITED ST7",23263,60913,871368,112434
1992,"UNITED ST8",1288,19264,4246720,70995
1993,"UNITED ST3",8707,57328,2956236,77119
1992,"UNITED ST7",14908,76675,490545,99100
1992,"UNITED ST3",27103,70826,2695230,107809
1992,"UNITED ST3",26872,15198,100187,66791
1992,"UNITED ST0",1943,157988,5192697,122758
1993,"UNITED ST9",14113,175099,4966400,70445
1992,"UNITED ST0",19684,94079,4944706,64384
1992,"UNITED ST6",19684,19697,6297007,97001
1992,"UNITED ST9",22543,152164,3132828,72969
1993,"UNITED ST0",6460,8038,1078474,56761
1992,"UNITED ST1",22708,106372,5383913,82702
1992,"UNITED ST7",2938,65467,1806332,85947
1992,"UNITED ST3",9214,28283,3415809,72676
1993,"UNITED ST4",4046,106634,4410013,98437
1992,"UNITED ST9",5593,172854,8285455,115611
1993,"UNITED ST6",18068,26433,3501891,81565
1992,"UNITED ST4",3437,20077,4343236,59824
1993,"UNITED ST4",16556,32843,8353551,106550
1993,"UNITED ST4",16556,192234,5531705,79573
1992,"UNITED ST7",7456,170159,2035472,73749
1992,"UNITED ST4",26167,129673,950089,102160
1993,"UNITED ST9",20842,40316,1257566,75378
1992,"UNITED ST3",226,21260,3241377,70875
1993,"UNITED ST1",26576,11136,4823080,62827
1992,"UNITED ST8",12664,110366,3530363,82581
1993,"UNITED ST9",22405,147204,125120,75072
1993,"UNITED ST4",29704,131748,1601766,106784
1993,"UNITED ST0",25859,183354,7043015,86241
1992,"UNITED ST3",1112,111327,3881128,80299
1992,"UNITED ST7",12413,35082,4540245,61024
1992,"UNITED ST6",23549,67586,2951802,93214
1992,"UNITED ST9",3086,244,2108834,68654
1993,"UNITED ST0",4010,117274,1150521,77476
1993,"UNITED ST8",10630,16545,7161546,87692
1993,"UNITED ST9",22735,4416,4354712,79224
1992,"UNITED ST5",22685,122803,520353,109548
1993,"UNITED ST5",10216,148302,3591798,81018
1992,"UNITED ST9",9478,29351,4622063,76821
1992,"UNITED ST4",23023,140631,5188739,100297
1993,"UNITED ST1",15683,61376,3645670,80242
1993,"UNITED ST4",14023,57647,4775408,96278
1992,"UNITED ST1",10747,143995,6194451,122339
1992,"UNITED ST0",23299,20716,7217891,98202
1992,"UNITED ST3",29659,185742,2017824,109664
1993,"UNITED ST9",2128,186935,7824869,121315
1993,"UNITED ST4",1576,178587,5696283,99934
1993,"UNITED ST3",23062,160964,2049259,121497
1993,"UNITED ST1",13135,131834,3683148,111949
1992,"UNITED ST9",24835,21764,7282483,101145
1992,"UNITED ST1",16960,97019,4011207,60960
1993,"UNITED ST1",10972,95727,4210327,103363
1992,"UNITED ST7",2980,5463,2463228,82107
1992,"UNITED ST3",24280,22421,4920947,80605
1993,"UNITED ST3",25303,124100,2616904,67446
1992,"UNITED ST3",17354,153730,7491666,107023
1993,"UNITED ST1",21788,36294,1119563,73817
1992,"UNITED ST9",25990,30627,7165052,93457
1993,"UNITED ST0",24119,62947,3265997,114596
1992,"UNITED ST0",9206,96233,1966768,73753
1992,"UNITED ST0",9206,155330,131606,83119
1992,"UNITED ST9",13639,138354,3842886,83541
1993,"UNITED ST8",2383,78515,6451963,89610
1992,"UNITED ST0",2284,189058,1780221,68823
1992,"UNITED ST5",19355,93895,1309000,113333
1992,"UNITED ST4",25886,59295,3888299,75257
1992,"UNITED ST0",7033,171202,2249744,76392
1993,"UNITED ST9",1739,124240,3311044,75854
1993,"UNITED ST6",9127,172057,1734220,67743
1993,"UNITED ST2",9127,155854,6350251,114591
1992,"UNITED ST9",26504,164695,2692325,105581
1992,"UNITED ST5",2399,84866,1721299,111051
1993,"UNITED ST3",5005,76088,2398436,63844
1993,"UNITED ST7",5005,46031,4169964,58621
1993,"UNITED ST9",12883,183762,3433113,110745
1992,"UNITED ST4",24358,187697,5139907,107081
1993,"UNITED ST1",53,160807,366088,112068
1992,"UNITED ST0",1514,195116,1983798,72666
1993,"UNITED ST3",20782,13876,1594774,107392
1992,"UNITED ST9",3910,104476,2559732,88828
1993,"UNITED ST4",15526,55498,5581401,87209
1993,"UNITED ST2",15526,145020,1101230,63901
1992,"UNITED ST7",7408,74051,1968096,61503
1992,"UNITED ST7",19609,167395,2917468,87743
1993,"UNITED ST7",18622,56525,2088943,88891
1993,"UNITED ST1",8131,118674,1929643,101560
1992,"UNITED ST9",11044,150108,1580806,69486
1992,"UNITED ST6",28441,22189,5333664,66670
1993,"UNITED ST9",2230,176235,3902220,78673
1993,"UNITED ST7",10468,857,8174002,105471
1993,"UNITED ST1",27832,42969,1720764,114717
1993,"UNITED ST4",18155,96679,670268,100540
1993,"UNITED ST3",28834,149459,3869174,90507
1993,"UNITED ST4",19201,25749,1959445,100484
1992,"UNITED ST7",4588,8443,2408266,81086
1992,"UNITED ST1",28867,33636,5424641,94177
1992,"UNITED ST3",14422,98964,2649996,117777
1993,"UNITED ST7",19712,133421,2280530,87265
1992,"UNITED ST5",8545,110818,5552267,109728
1992,"UNITED ST4",8545,102327,4474491,79759
1992,"UNITED ST3",20402,179443,5115398,91346
1992,"UNITED ST5",19520,38287,5636288,73516
1993,"UNITED ST6",5923,40092,1614188,61925
1993,"UNITED ST0",22150,48159,1612010,66429
1992,"UNITED ST6",18569,127350,5330344,82641
1992,"UNITED ST2",18569,189875,3018040,117892
1993,"UNITED ST4",23173,131215,3489388,74772
1992,"UNITED ST0",15383,127740,4320356,106064
1992,"UNITED ST2",14111,56970,2981022,115618
1992,"UNITED ST2",23359,99543,4039912,92552
1993,"UNITED ST3",12697,48387,1802763,80122
1993,"UNITED ST6",19205,163602,154900,99936
1993,"UNITED ST7",29200,11178,1102240,65350
1992,"UNITED ST9",12862,185681,3858429,106000
1993,"UNITED ST0",23173,116936,4546421,117175
1993,"UNITED ST5",7031,1690,5959287,95501
1992,"UNITED ST8",18770,45659,1492324,96279
1992,"UNITED ST0",20545,110375,1329955,83122
1993,"UNITED ST0",17621,46869,5160674,108951
1993,"UNITED ST1",23332,171375,1579436,86782
1992,"UNITED ST8",22282,93225,2923728,73093
1992,"UNITED ST2",27539,151899,5148398,117053
1992,"UNITED ST7",19688,128700,8038455,103722
1992,"UNITED ST0",27278,42691,6884369,98021
1993,"UNITED ST3",24961,140010,1351362,63000
1993,"UNITED ST0",4421,135868,3042368,114231
1992,"UNITED ST1",19312,54989,5725021,116638
1993,"UNITED ST0",5537,177726,649339,108223
1992,"UNITED ST1",4874,167795,8671287,111767
1993,"UNITED ST9",10897,35023,2534920,57481
1992,"UNITED ST0",24716,181336,5159081,85039
1992,"UNITED ST7",1966,115289,3432864,78256
1993,"UNITED ST8",2938,19669,6538924,95319
1993,"UNITED ST9",29911,195015,2997027,66600
1993,"UNITED ST1",29911,6474,5140870,82828
1993,"UNITED ST9",2686,178318,5571276,83778
1993,"UNITED ST4",15358,182635,798697,103057
1992,"UNITED ST7",14222,138248,3951329,77174
1993,"UNITED ST1",13373,190807,7572222,113868
1992,"UNITED ST1",26989,127141,5256630,70088
1993,"UNITED ST3",8282,125260,347020,77115
1992,"UNITED ST3",18607,65479,1222021,86668
1993,"UNITED ST0",29945,162635,998206,101857
1992,"UNITED ST7",24139,65879,7185768,110692
1993,"UNITED ST7",8384,107344,1337826,81080
1992,"UNITED ST2",5182,5105,2658583,60606
1993,"UNITED ST9",9031,181999,374578,124859
1992,"UNITED ST0",3578,7569,841639,88593
1992,"UNITED ST1",7873,81610,5557902,95496
1992,"UNITED ST0",15379,190417,6943130,90444
1992,"UNITED ST0",19123,186215,1915381,78072
1992,"UNITED ST6",19123,112114,3040497,67566
1992,"UNITED ST1",19756,112951,5004144,117837
1993,"UNITED ST1",4786,168431,4702212,89965
1992,"UNITED ST8",16933,160352,3304899,84741
1993,"UNITED ST0",28837,135370,834789,84322
1993,"UNITED ST3",25325,76312,1896392,77298
1992,"UNITED ST5",15919,197609,5935554,102396
1993,"UNITED ST1",24838,114510,896411,91470
1993,"UNITED ST9",9016,12841,3989986,105230
1992,"UNITED ST6",2101,103821,5133218,109489
1993,"UNITED ST5",27964,1004,4168430,54300
1992,"UNITED ST9",24682,196371,2270021,88042
1992,"UNITED ST3",12700,170550,3079045,97233
1992,"UNITED ST0",19580,74766,8181572,104445
1993,"UNITED ST3",12124,16832,2448362,104929
1992,"UNITED ST7",21589,54592,4950634,92795
1992,"UNITED ST5",26074,106595,2162146,96095
1992,"UNITED ST0",2984,161995,4118093,123419
1993,"UNITED ST4",14011,116210,841180,73572
1993,"UNITED ST6",302,61716,7160466,100662
1993,"UNITED ST3",8660,182915,5793939,119874
1993,"UNITED ST1",1093,107007,4056000,60840
1993,"UNITED ST8",4427,108610,3997966,97116
1993,"UNITED ST3",28763,148910,6856185,117534
1992,"UNITED ST3",2507,173432,885192,90325
1993,"UNITED ST1",20659,49664,4382700,96819
1992,"UNITED ST4",15745,31463,2228347,83667
1993,"UNITED ST4",10519,167913,6309198,118854
1992,"UNITED ST5",22993,73857,5507196,109851
1992,"UNITED ST0",27760,139223,1346788,75733
1992,"UNITED ST0",16799,90990,4754376,118859
1992,"UNITED ST3",14380,61725,4554144,101203
1992,"UNITED ST4",23047,113008,1654020,61260
1993,"UNITED ST9",4438,147201,5327317,74892
1993,"UNITED ST4",4438,170590,7804773,99635
1993,"UNITED ST0",9371,187293,1855109,82817
1992,"UNITED ST8",542,56809,2383830,105948
1992,"UNITED ST7",25648,97574,2024182,94294
1993,"UNITED ST3",796,183328,1155871,84679
1993,"UNITED ST9",18062,92939,7920913,115915
1992,"UNITED ST7",28243,6011,1089407,55020
1992,"UNITED ST0",28243,21217,112682,68292
1992,"UNITED ST8",28243,193333,6846384,85579
1993,"UNITED ST6",19213,159013,3666274,64320
1993,"UNITED ST0",1630,149555,5853398,96273
1992,"UNITED ST1",10211,57394,3108197,81083
1992,"UNITED ST6",541,36058,457263,59643
1992,"UNITED ST3",10468,718,2330942,97122
1992,"UNITED ST0",22351,134687,950367,103300
1993,"UNITED ST8",4061,100085,2666041,65104
