"s_city","lo_custkey","lo_orderdate","lo_partkey","lo_revenue","lo_supplycost"
"UNITED ST9",23852,19950530,4548,3587773,87152
"UNITED ST4",4517,19930213,136946,9133421,118976
"UNITED ST8",12496,19930614,45057,951947,60123
"UNITED ST3",16972,19930610,129308,5347862,80238
"UNITED ST0",6209,19950614,120537,7401382,93451
"UNITED ST9",27664,19931025,102144,2090559,68768
"UNITED ST9",15919,19940405,50061,3991664,60663
"UNITED ST1",15919,19940405,166884,5148372,117052
"UNITED ST5",26465,19980410,83470,135172,87208
"UNITED ST6",16022,19970729,183159,4086673,74529
"UNITED ST8",2107,19920404,97168,3539756,69909
"UNITED ST0",1340,19960223,100945,6551979,116756
"UNITED ST5",16693,19920214,118458,3800382,88587
"UNITED ST1",2482,19930905,173145,2129308,73088
"UNITED ST8",27617,19930826,161845,177336,114410
"UNITED ST9",919,19940919,199579,1963926,100714
"UNITED ST0",28303,19960910,52723,1233329,100543
"UNITED ST5",610,19930412,70482,3241935,87148
"UNITED ST9",17065,19940108,14033,1619421,56821
"UNITED ST8",29825,19951231,102911,3563700,114834
"UNITED ST9",27415,19950620,93439,5285666,85945
"UNITED ST0",27220,19921103,154731,2014303,107143
"UNITED ST0",17761,19980207,145549,2296137,95672
"UNITED ST2",25564,19960904,65232,568684,71833
"UNITED ST9",7792,19960225,91135,4707223,67567
"UNITED ST6",17428,19950216,193757,5567056,111045
"UNITED ST0",13388,19971027,26544,5620403,88232
"UNITED ST2",14201,19960924,168869,3100576,116271
"UNITED ST0",27406,19980602,143690,4680963,104021
"UNITED ST4",27406,19980602,70144,3676662,66848
"UNITED ST4",29050,19940808,63459,3925962,85347
"UNITED ST6",22546,19921215,67493,2497437,87629
"UNITED ST4",25937,19980327,82721,166964,102223
"UNITED ST0",16316,19920112,127789,6852894,109006
"UNITED ST0",24298,19970221,127624,4598110,99097
"UNITED ST0",23263,19940104,86627,6825612,96817
"UNITED ST0",24482,19940905,167,4661354,64029
"UNITED ST7",16723,19960423,197989,4132220,125218
"UNITED ST4",8257,19950225,34379,2470448,78802
"UNITED ST1",16898,19980429,24085,2042377,60544
"UNITED ST5",20944,19920927,74254,456909,73695
"UNITED ST7",29002,19950402,162487,4295158,92968
"UNITED ST7",2032,19920308,155592,2099029,98855
"UNITED ST4",22379,19960831,186066,2736142,69123
"UNITED ST4",3047,19920722,40666,6908638,96399
"UNITED ST4",3047,19920722,70922,6095202,113575
"UNITED ST7",27766,19960305,115431,4391361,86785
"UNITED ST2",5054,19920829,113152,3921894,69909
"UNITED ST9",8668,19950825,133450,6414437,89007
"UNITED ST4",29450,19950810,9432,6116920,80485
"UNITED ST1",6301,19940824,79624,4603993,96217
"UNITED ST1",28514,19980503,18255,872898,70395
"UNITED ST7",5608,19920910,23117,4093872,62406
"UNITED ST6",25226,19970507,55105,3188780,63606
"UNITED ST4",27772,19980615,182609,7876089,101496
"UNITED ST2",1412,19950710,121834,872240,111349
"UNITED ST4",2234,19950723,122144,3582382,69968
"UNITED ST3",18332,19970630,112658,2646309,100239
"UNITED ST3",20482,19971130,89844,3449453,110030
"UNITED ST7",23374,19951013,93390,5218147,83003
"UNITED ST4",8417,19960815,130098,1868117,67685
"UNITED ST0",10864,19921231,113938,4099053,117115
"UNITED ST6",18461,19970730,136988,8942311,121498
"UNITED ST5",18461,19970730,38435,5081691,82405
"UNITED ST1",1570,19921002,181116,4692671,71826
"UNITED ST5",22966,19931004,103420,6765515,85405
"UNITED ST0",27607,19950513,14169,4432290,64989
"UNITED ST2",646,19960716,28088,3957631,60964
"UNITED ST7",19150,19971113,173637,6849362,102637
"UNITED ST1",27778,19920808,196585,1059395,100894
"UNITED ST7",5992,19930322,28152,2752222,64809
"UNITED ST3",10246,19940301,28667,6567736,95739
"UNITED ST5",25123,19950407,22707,7186977,97782
"UNITED ST9",364,19931220,171147,5065026,73088
"UNITED ST0",22691,19980727,86523,2105780,90571
"UNITED ST6",23392,19950206,9715,6916390,97482
"UNITED ST0",6550,19920329,38472,2094547,84628
"UNITED ST6",25912,19960729,14591,1287279,90335
"UNITED ST8",14359,19950302,143024,1920636,64021
"UNITED ST0",14441,19980215,56201,3367452,69432
"UNITED ST0",28741,19950602,29909,6178704,110334
"UNITED ST7",28741,19950602,73440,6106060,84806
"UNITED ST0",3998,19940628,52941,3712122,113636
"UNITED ST4",21709,19940412,137631,6247350,100117
"UNITED ST1",27652,19980415,17704,4574815,97302
"UNITED ST1",11776,19921031,145431,1771716,88585
"UNITED ST3",16625,19960429,151331,2889069,82939
"UNITED ST9",19024,19920504,77878,2728128,111352
"UNITED ST9",19024,19920504,89615,4980709,96276
"UNITED ST6",14098,19970830,196739,8275470,110143
"UNITED ST3",27754,19930713,83920,2855880,114235
"UNITED ST3",27754,19930713,146834,4655054,112849
"UNITED ST0",14908,19970720,8636,1563165,92677
"UNITED ST9",28199,19980413,68676,3707086,98680
"UNITED ST8",13135,19930412,83714,5561697,101862
"UNITED ST5",9298,19960417,93426,4803317,85165
"UNITED ST4",27073,19920626,167173,3690745,74410
"UNITED ST7",10490,19920201,94891,5069272,113153
"UNITED ST1",3277,19941205,34443,6336224,82646
"UNITED ST9",26548,19931230,36371,2008120,78442
"UNITED ST0",29002,19970721,20992,7215798,114779
"UNITED ST0",13012,19930103,24337,4282215,75679
"UNITED ST6",29290,19980129,198656,958038,105279
"UNITED ST2",2764,19950404,130161,1791504,71469
"UNITED ST7",22930,19950709,11324,5225403,74119
"UNITED ST6",27329,19940702,165714,3797901,106782
"UNITED ST4",13991,19940821,163281,3145615,80656
"UNITED ST6",4730,19920415,33816,3324639,104988
"UNITED ST4",27335,19950202,55335,727746,77419
"UNITED ST2",27335,19950202,31512,6033871,86610
"UNITED ST1",9110,19971221,17885,874396,108172
"UNITED ST3",4535,19940311,42449,4054656,83486
"UNITED ST3",23900,19961129,161665,2671143,103599
"UNITED ST2",18689,19980406,70805,1335401,106548
"UNITED ST2",12905,19931128,1738,5032331,98383
"UNITED ST9",12905,19931128,9892,5474141,108113
"UNITED ST0",12905,19931128,109952,8475624,117717
"UNITED ST5",6322,19980421,20305,5072742,73518
"UNITED ST0",6322,19980421,62690,148742,99161
"UNITED ST5",22108,19980801,155440,1112607,89726
"UNITED ST6",5285,19960501,30072,1603312,60124
"UNITED ST0",8389,19970525,150815,4162622,111948
"UNITED ST8",11627,19921201,75777,652030,105166
"UNITED ST1",11627,19921201,167245,716483,78734
"UNITED ST6",2797,19930403,36493,6655705,85769
"UNITED ST7",8393,19920722,189580,7608276,100174
"UNITED ST4",28159,19931215,38665,6786689,96219
"UNITED ST3",5671,19950808,140528,3174684,94111
"UNITED ST7",29986,19941101,47049,1945266,59762
"UNITED ST4",25744,19950518,3829,1188714,103969
"UNITED ST3",16603,19940214,198867,7898825,117951
"UNITED ST1",3611,19951116,94219,3497684,72792
"UNITED ST3",17948,19931024,142893,1161534,116153
"UNITED ST5",12238,19980622,197640,6811548,104258
"UNITED ST3",5305,19920125,34166,2327938,66009
"UNITED ST5",22609,19950227,76558,3936120,92073
"UNITED ST1",23380,19931231,163128,2818189,71467
"UNITED ST0",7400,19970502,29597,4188962,91595
"UNITED ST5",13942,19950830,74458,6589270,85947
"UNITED ST9",13942,19950830,129184,3002620,72790
"UNITED ST3",20072,19940805,35004,1220700,56340
"UNITED ST5",7330,19970322,178795,3310986,112427
"UNITED ST0",17284,19921206,47383,1390247,79822
"UNITED ST0",632,19960605,169404,6440231,88404
"UNITED ST3",29365,19950409,12072,3967770,59044
"UNITED ST2",5047,19930105,40801,2534319,104508
"UNITED ST3",14794,19960430,130823,522777,111229
"UNITED ST7",5615,19921202,120800,3605184,109248
"UNITED ST7",5771,19921220,59850,1216219,108591
"UNITED ST3",13744,19941024,36228,4247074,69853
"UNITED ST6",25399,19940205,19940,6606506,111596
"UNITED ST5",17435,19960402,3606,3441888,90576
"UNITED ST8",18406,19940728,34868,7054591,108171
"UNITED ST9",7262,19941002,144881,7318344,115552
"UNITED ST0",977,19930909,106517,5621751,91410
"UNITED ST9",6734,19920301,198521,942560,97171
"UNITED ST7",15296,19940629,120970,374302,119458
"UNITED ST5",6691,19961016,146650,4625067,101799
"UNITED ST1",4714,19931018,199172,362283,76270
"UNITED ST0",4714,19931018,153150,3279786,72189
"UNITED ST1",2443,19961105,189645,6869174,104078
"UNITED ST0",25708,19960829,3409,4134060,78744
"UNITED ST1",25277,19921118,35467,2176617,84147
"UNITED ST1",18688,19950510,109967,3637606,118617
"UNITED ST2",20459,19961114,96762,7851104,105525
"UNITED ST9",4243,19970805,169332,3909710,84079
"UNITED ST3",2210,19920821,166829,1620926,113749
"UNITED ST5",15211,19961212,172509,767027,94890
"UNITED ST7",15211,19961212,148784,7250477,109966
"UNITED ST3",12569,19971219,3173,2876602,64570
"UNITED ST3",26066,19960421,52778,7788465,103846
"UNITED ST6",4090,19950124,120859,3357412,112791
"UNITED ST1",3541,19920131,43495,6266062,86309
"UNITED ST3",3541,19920131,62829,7579398,107509
"UNITED ST1",11102,19951004,124302,740075,79578
"UNITED ST6",16621,19960426,107671,1222071,100720
"UNITED ST0",28051,19950527,167219,5041943,77172
"UNITED ST7",28051,19950527,36299,4558220,74117
"UNITED ST7",5675,19940908,177194,1086867,76271
"UNITED ST1",9743,19920701,106600,433782,96396
"UNITED ST3",24025,19960510,9835,8040176,104689
"UNITED ST8",25672,19960220,98022,4353445,61201
"UNITED ST1",10931,19970426,189956,6946000,122757
"UNITED ST0",26468,19931112,160753,7741085,108825
"UNITED ST9",16265,19930421,29860,2835138,107391
"UNITED ST0",16265,19930421,38598,2286445,92195
"UNITED ST1",6524,19960814,145317,3171457,81738
"UNITED ST4",6524,19960814,163506,3856261,94170
"UNITED ST3",27214,19970217,96222,467796,73093
"UNITED ST1",16879,19931128,157663,6813813,103239
"UNITED ST5",4661,19950829,37075,1505960,60724
"UNITED ST3",4661,19950829,111910,9229011,115314
"UNITED ST5",20381,19920927,1211,2046466,66732
"UNITED ST3",25069,19960409,144026,4237279,64201
"UNITED ST0",21385,19941110,190128,3223145,73087
"UNITED ST7",28570,19950724,184502,7456550,95190
"UNITED ST8",12713,19920701,184243,3185376,79634
"UNITED ST5",23801,19960812,183692,3467922,106541
"UNITED ST7",16510,19921216,140959,2819929,119997
"UNITED ST9",899,19921009,41691,320007,97961
"UNITED ST1",5869,19960129,137849,8690785,113210
"UNITED ST0",18439,19960911,181358,5429228,86361
"UNITED ST6",11327,19980606,36054,450472,59403
"UNITED ST8",17413,19920129,171333,272440,84259
"UNITED ST8",15472,19980712,127557,4259270,95073
"UNITED ST0",3688,19970527,160898,4685664,117533
"UNITED ST3",25280,19930820,136171,794317,72430
"UNITED ST3",20623,19940804,79232,5287018,72673
"UNITED ST3",17170,19961211,160672,3188112,103960
"UNITED ST6",12712,19960211,5121,675186,61567
"UNITED ST5",12712,19960211,43736,2494399,100783
"UNITED ST7",24964,19960803,126717,1339169,104622
"UNITED ST7",25924,19931020,73123,4189370,65767
"UNITED ST7",20507,19941114,156110,1205757,69966
"UNITED ST2",10393,19930323,39208,1573958,68832
"UNITED ST4",10393,19930323,15953,4373343,112137
"UNITED ST1",28663,19950112,89924,3188590,114835
"UNITED ST9",11314,19980517,182870,726467,117172
"UNITED ST7",1045,19920308,67588,4878298,93334
"UNITED ST3",1045,19920308,45528,6439282,88411
"UNITED ST9",29578,19970423,76182,4475207,69490
"UNITED ST8",12577,19920121,23884,2549110,108472
"UNITED ST6",11323,19960402,197623,160017,103237
"UNITED ST9",15515,19950414,8466,1583377,82467
"UNITED ST2",26224,19951230,102334,3300735,80179
"UNITED ST4",6935,19940131,4672,4252278,94600
"UNITED ST9",12176,19941203,143720,6490489,105823
"UNITED ST4",14755,19960829,145091,2385789,68165
"UNITED ST2",5446,19980320,64727,1691720,101503
"UNITED ST1",29647,19970819,183570,7222793,99214
"UNITED ST3",4177,19960212,66200,3289850,69972
"UNITED ST4",4177,19960212,116031,3310708,62821
"UNITED ST3",3154,19930930,135937,9280662,118375
"UNITED ST9",19522,19970702,63390,4279419,81203
"UNITED ST0",5803,19970316,86156,4183695,68529
"UNITED ST2",5803,19970316,108469,3087891,88647
"UNITED ST0",25345,19940116,19457,784576,82587
"UNITED ST0",6001,19940518,125209,4807209,74052
"UNITED ST7",18341,19980310,22668,2204654,95439
"UNITED ST5",38,19980122,65600,3131200,93936
"UNITED ST7",25889,19950625,188996,8121036,125099
"UNITED ST6",9788,19950518,33319,4568426,75138
"UNITED ST7",13771,19980108,8578,2527169,89194
"UNITED ST0",21836,19930811,127407,1101619,86064
"UNITED ST7",27847,19930106,58057,4618477,60903
"UNITED ST9",1466,19980402,173176,1454033,74950
"UNITED ST6",1466,19980402,166625,3085514,101497
"UNITED ST1",23944,19980120,46014,729607,57600
"UNITED ST3",15922,19940905,180807,3407479,113268
"UNITED ST1",12725,19950611,13396,4766179,78563
"UNITED ST9",7574,19970927,8157,3451086,63909
"UNITED ST7",26644,19970310,29570,3898882,89974
"UNITED ST3",2096,19970328,91484,4866133,88528
"UNITED ST7",2096,19970328,89544,3488803,92012
"UNITED ST0",2311,19950216,24439,1363430,81805
"UNITED ST0",9511,19970709,5345,5336451,75020
"UNITED ST8",19907,19951112,33969,7646093,114177
"UNITED ST7",28897,19940511,162031,1731359,65581
"UNITED ST1",28801,19941003,88375,6816850,81802
"UNITED ST0",943,19921212,48427,5757508,82525
"UNITED ST3",29560,19920426,54665,6996931,97179
"UNITED ST9",13763,19940326,1559,277504,87633
"UNITED ST7",7288,19931105,184895,768197,118793
"UNITED ST1",6424,19930825,136813,1581587,110988
"UNITED ST1",21046,19970613,98269,5657048,76035
"UNITED ST4",15629,19940201,33805,869400,104328
"UNITED ST4",18628,19940411,2801,1901440,102228
"UNITED ST4",21746,19940823,157195,2141244,75131
"UNITED ST8",3520,19930615,27347,4432154,76460
"UNITED ST4",13771,19930807,148317,6224448,81918
"UNITED ST5",13463,19960512,110583,2438177,95614
"UNITED ST0",5843,19980304,24713,3013386,98262
"UNITED ST5",27923,19960831,152968,396108,121257
"UNITED ST8",18059,19940227,4782,1762685,101206
"UNITED ST1",15223,19920517,38751,6840108,101385
"UNITED ST4",3601,19951001,103714,1738322,103062
"UNITED ST3",13274,19970909,56474,2660674,85828
"UNITED ST2",17488,19920114,29284,4747564,72796
"UNITED ST4",28103,19980306,102145,5334201,68828
"UNITED ST4",22901,19950215,65510,4854427,88530
"UNITED ST2",14384,19930704,129496,5894493,91529
"UNITED ST1",2782,19970723,42734,6993640,100603
"UNITED ST0",16285,19930203,19245,3318084,69854
"UNITED ST1",12170,19920521,9651,5134538,93639
"UNITED ST0",23830,19930421,88003,1553888,59460
"UNITED ST6",17690,19951209,41784,4348965,103546
"UNITED ST4",11752,19971222,103380,2351746,83002
"UNITED ST0",10885,19980406,141172,3883357,72790
"UNITED ST4",10885,19980406,113109,969494,67326
"UNITED ST6",24796,19930418,182667,5542922,104979
"UNITED ST8",27904,19970930,115378,6417862,83602
"UNITED ST7",13268,19950220,47385,3554789,79942
"UNITED ST7",13268,19950220,192819,7654887,114708
"UNITED ST4",15283,19940906,156386,1918365,86542
"UNITED ST2",10963,19951006,59389,4012778,80902
"UNITED ST1",29629,19980530,104696,7823174,102041
"UNITED ST5",25462,19950515,18760,7574565,100725
"UNITED ST4",25907,19930328,114030,991828,62641
"UNITED ST7",20626,19930606,42589,4548792,91894
"UNITED ST6",5621,19931015,97047,4658506,62642
"UNITED ST9",4162,19930404,153029,1017098,64921
"UNITED ST0",20252,19970510,175509,3992940,95070
"UNITED ST1",12385,19950308,122783,7638449,108346
"UNITED ST1",15368,19940711,39002,1072740,56460
"UNITED ST0",16702,19921004,88830,523823,109129
"UNITED ST3",14044,19970623,78882,5895267,111652
"UNITED ST1",14044,19970623,168857,1970144,115551
"UNITED ST9",13505,19930126,169231,3829177,78013
"UNITED ST8",26597,19980607,145932,7120548,118675
"UNITED ST5",5119,19950621,11338,5809384,74959
"UNITED ST1",5119,19950621,138234,1571204,76333
"UNITED ST8",5197,19930506,60600,2698277,93636
"UNITED ST9",2771,19961026,19963,2398891,112977
"UNITED ST0",27058,19950627,175006,3418122,64860
"UNITED ST7",12310,19960228,33167,2935226,66009
"UNITED ST0",18859,19960409,52736,5873402,101323
"UNITED ST1",1892,19980131,198799,1262030,113867
"UNITED ST3",20395,19920205,42850,7752283,107571
"UNITED ST3",13627,19931114,176727,8484698,108223
"UNITED ST0",19177,19940105,12822,3702105,104089
"UNITED ST1",3035,19940517,153746,539922,107984
"UNITED ST8",23987,19960805,171559,3756787,97833
"UNITED ST6",17056,19960727,188474,1701529,93748
"UNITED ST0",9002,19920106,88411,2546926,83964
"UNITED ST7",12427,19940821,59804,8032345,105828
"UNITED ST9",27797,19950716,35074,593333,60544
"UNITED ST2",10267,19971002,40528,2255646,88111
"UNITED ST7",10267,19971002,141450,3825569,89487
"UNITED ST4",28384,19940807,166599,1978720,99935
"UNITED ST1",18289,19940912,109592,6025181,96095
"UNITED ST0",17881,19980330,6464,4386842,82227
"UNITED ST4",6871,19930329,133018,617993,63060
"UNITED ST4",590,19980516,42597,6272289,92375
"UNITED ST4",8525,19950308,98807,5601591,108348
"UNITED ST7",22882,19950430,17751,4806000,100125
"UNITED ST0",19502,19970702,87734,7444760,103303
"UNITED ST4",19144,19960329,87443,532123,85826
"UNITED ST1",19144,19960329,171639,3233090,102637
"UNITED ST7",15110,19951108,193773,7786297,112006
"UNITED ST4",12232,19940425,178156,1347691,74049
"UNITED ST9",9368,19931220,57157,4144638,66849
"UNITED ST9",14200,19930129,143203,5159268,74772
"UNITED ST9",14200,19930129,130894,1131835,115493
"UNITED ST1",28888,19920522,175585,7555639,99634
"UNITED ST3",18139,19941223,181505,1959327,95190
"UNITED ST3",598,19940909,62820,5362722,106969
"UNITED ST0",28100,19970619,14071,4255502,59104
"UNITED ST1",9277,19980424,131023,775758,63241
"UNITED ST1",4985,19950108,120484,857553,90268
"UNITED ST6",18485,19950926,101202,1204403,72192
"UNITED ST3",18016,19971226,52002,2472768,57240
"UNITED ST1",27589,19921118,102481,3337830,89008
"UNITED ST1",17150,19921016,21701,7091199,97362
"UNITED ST4",7928,19950414,53339,1629628,77539
"UNITED ST5",10378,19970408,97495,1943221,89549
"UNITED ST1",13372,19971116,67075,2086224,62524
"UNITED ST9",13372,19971116,124379,3929436,84202
"UNITED ST3",9910,19950405,145947,7005184,119576
"UNITED ST9",18740,19920707,91723,3744948,102883
"UNITED ST6",1969,19970413,48904,4313551,111174
"UNITED ST0",28321,19960908,52737,3193589,101383
"UNITED ST0",10295,19930711,186429,6137451,90925
"UNITED ST0",22001,19970423,3299,2618587,72137
"UNITED ST7",2293,19940221,114034,2801384,62881
"UNITED ST0",6373,19930502,10875,1785870,107152
"UNITED ST7",14956,19971224,10767,6328510,100665
"UNITED ST5",9256,19950603,148173,3480334,73270
"UNITED ST4",9547,19931116,131866,1821945,113871
"UNITED ST4",3122,19980523,198246,4125472,80654
"UNITED ST4",28399,19930406,52015,967010,58020
"UNITED ST4",18074,19930818,33983,7326697,115018
"UNITED ST6",2059,19970207,187860,4861858,116871
"UNITED ST6",2059,19970207,160005,1066065,63900
"UNITED ST0",21214,19940413,134505,849804,92370
"UNITED ST1",22022,19940427,80708,5126893,101322
"UNITED ST3",24280,19970105,155569,4633245,97473
"UNITED ST0",23368,19920725,75991,5177117,118019
"UNITED ST0",26992,19950306,144842,4905784,113210
"UNITED ST4",16232,19921108,159703,1015315,105762
"UNITED ST3",5212,19941217,36498,4035220,86069
"UNITED ST8",15173,19970129,196914,5670766,120654
"UNITED ST0",9392,19960202,125813,2471360,110328
"UNITED ST9",4948,19920720,110728,4624995,104323
"UNITED ST9",1072,19960617,47072,2343861,61144
"UNITED ST7",21244,19950719,173505,1632169,94710
"UNITED ST9",29158,19970719,42711,4795759,99222
"UNITED ST4",839,19930225,192795,5855924,113267
"UNITED ST4",20665,19920605,141483,2591616,91468
"UNITED ST5",4960,19941004,132439,6118205,88285
"UNITED ST7",4960,19941004,96789,5893074,107146
"UNITED ST9",2836,19940714,62720,4900080,100963
"UNITED ST0",23080,19970607,120656,2263477,100599
"UNITED ST7",3025,19960518,89302,2107401,77478
"UNITED ST3",7819,19940507,181010,4691343,65460
"UNITED ST3",18163,19960825,145806,7388682,111108
"UNITED ST7",20966,19941101,180625,2667589,102337
"UNITED ST0",4403,19960205,48123,2091897,64267
"UNITED ST5",15463,19960924,37247,1641356,71054
"UNITED ST0",17167,19921201,41601,6597700,92556
"UNITED ST4",28807,19950109,23516,6359755,86370
"UNITED ST1",28705,19980421,121765,1463356,107205
"UNITED ST9",28705,19980421,103757,7173295,105645
"UNITED ST9",7156,19960806,19694,4905617,96821
