"d_year","s_city","lo_partkey","lo_revenue","lo_supplycost"
1992,"UNITED ST7",9300,2725762,72558
1993,"UNITED ST1",68827,5689157,107749
1993,"UNITED ST3",162052,2138976,66843
1993,"UNITED ST8",166085,2071944,69064
1993,"UNITED ST6",67292,3513419,75557
1993,"UNITED ST1",51440,388211,83486
1992,"UNITED ST0",127545,5617112,94352
1993,"UNITED ST9",131328,4576830,81559
1993,"UNITED ST7",29632,1666259,93697
1992,"UNITED ST4",101481,4364421,88948
1992,"UNITED ST4",153023,3884432,64561
1993,"UNITED ST9",2739,4728182,98503
1993,"UNITED ST1",107759,5526394,106005
1993,"UNITED ST3",105697,6967407,102161
1993,"UNITED ST4",187306,5701383,83598
1993,"UNITED ST6",30883,4997239,108832
1993,"UNITED ST5",70799,7358786,106187
1992,"UNITED ST9",23270,113360,71596
1992,"UNITED ST4",54152,4413538,66369
1992,"UNITED ST9",32875,6996456,108472
1992,"UNITED ST3",143748,510645,107504
1992,"UNITED ST9",171976,6666142,122878
1993,"UNITED ST4",33046,3070269,58742
1993,"UNITED ST3",136916,7235531,117174
1993,"UNITED ST0",179418,2418317,89844
1993,"UNITED ST7",65783,6715315,104926
1992,"UNITED ST4",60496,5112279,87389
1993,"UNITED ST0",101639,5466579,98437
1992,"UNITED ST1",43312,3012744,75318
1992,"UNITED ST4",143852,1260740,113751
1993,"UNITED ST3",174485,3118960,93568
1993,"UNITED ST1",51843,4128132,107690
1993,"UNITED ST9",181002,3153696,64980
1993,"UNITED ST0",185591,6052489,100595
1993,"UNITED ST8",90473,5962176,87808
1992,"UNITED ST8",32967,4742300,113997
1993,"UNITED ST5",153974,4623771,121678
1992,"UNITED ST1",6438,395262,80665
1993,"UNITED ST3",52609,2818688,93696
1992,"UNITED ST9",67358,3612904,79521
1993,"UNITED ST1",96157,4497285,69189
1993,"UNITED ST0",75740,1290236,102944
1992,"UNITED ST7",158390,4562428,86903
1993,"UNITED ST5",91246,5753166,74234
1993,"UNITED ST1",101436,5304116,86245
1993,"UNITED ST0",165028,4699986,65581
1993,"UNITED ST6",75033,3830514,60481
1993,"UNITED ST7",108168,952689,70569
1992,"UNITED ST3",86734,3957679,103243
1992,"UNITED ST6",90725,8238887,102943
1993,"UNITED ST6",138538,4682294,94591
1992,"UNITED ST0",171886,6715528,117472
1993,"UNITED ST5",34995,5789970,115799
1993,"UNITED ST0",66222,4448695,71293
1992,"UNITED ST4",150312,4781708,81738
1993,"UNITED ST1",9392,3534575,78083
1992,"UNITED ST9",40249,4745067,71354
1992,"UNITED ST1",144984,1988400,121738
1992,"UNITED ST1",184806,3851559,113448
1992,"UNITED ST6",193199,2734274,77531
1992,"UNITED ST9",6568,1386086,88473
1992,"UNITED ST1",31090,4903274,61265
1993,"UNITED ST9",138255,2118343,77595
1992,"UNITED ST4",19828,5364059,104869
1993,"UNITED ST9",13932,7540624,110755
1992,"UNITED ST1",134744,2963380,106724
1993,"UNITED ST8",184922,4523597,120415
1993,"UNITED ST0",72,1885815,58324
1993,"UNITED ST8",1334,6114883,74119
1992,"UNITED ST7",41493,3012429,86069
1993,"UNITED ST8",43529,706809,88351
1992,"UNITED ST8",132843,6066466,112550
1993,"UNITED ST3",115967,392626,118977
1992,"UNITED ST0",9316,2401607,73518
1992,"UNITED ST4",28221,5405930,68953
1993,"UNITED ST9",27844,5386393,106310
1993,"UNITED ST0",70715,505713,101142
1992,"UNITED ST4",76036,101203,60721
1992,"UNITED ST3",167077,5148315,68644
1992,"UNITED ST9",138507,2998270,92730
1992,"UNITED ST7",5865,5780087,106251
1993,"UNITED ST3",174499,6292386,94409
1993,"UNITED ST9",116551,921719,94053
1993,"UNITED ST7",49552,5135301,90093
1992,"UNITED ST9",199366,1239694,87921
1993,"UNITED ST9",76714,7946337,101442
1993,"UNITED ST6",1157,1540666,63489
1993,"UNITED ST3",46172,4036593,67090
1993,"UNITED ST5",134911,1120844,116754
1993,"UNITED ST9",11730,6192605,98503
1993,"UNITED ST1",66036,3887876,60121
1992,"UNITED ST0",101007,3556224,60480
1992,"UNITED ST6",148255,5562271,78195
1993,"UNITED ST4",147555,437496,96153
1993,"UNITED ST0",120998,7615630,121139
1993,"UNITED ST8",124379,4214320,84202
1993,"UNITED ST7",35722,162456,99463
1993,"UNITED ST4",16609,739916,91536
1993,"UNITED ST0",128989,8306005,121078
1993,"UNITED ST7",153237,4046161,77413
1993,"UNITED ST7",98523,3184541,91291
1992,"UNITED ST1",32201,4553197,67992
1992,"UNITED ST6",19913,7064035,109974
1992,"UNITED ST1",113943,6199585,117416
1992,"UNITED ST9",181975,6849710,123418
1992,"UNITED ST4",130379,2693306,84562
1993,"UNITED ST6",77950,4337887,115677
1993,"UNITED ST1",96475,5335550,88288
1993,"UNITED ST1",53750,5956310,102225
1992,"UNITED ST8",157241,5852465,77894
1992,"UNITED ST3",125907,1148142,115974
1992,"UNITED ST0",67500,6543582,88050
1993,"UNITED ST7",176484,1596371,93628
1992,"UNITED ST7",145421,1791965,87985
1993,"UNITED ST9",16116,2879586,61926
1992,"UNITED ST0",128189,4394019,73030
1993,"UNITED ST1",5423,5047996,79705
1993,"UNITED ST3",194992,3547883,125219
1993,"UNITED ST1",84210,591133,71652
1992,"UNITED ST7",12680,1172212,95560
1993,"UNITED ST0",73146,4733962,67148
1993,"UNITED ST6",30233,670020,69793
1993,"UNITED ST0",121405,4564480,85584
1992,"UNITED ST9",86880,5880672,112012
1993,"UNITED ST9",83641,6461193,97478
1992,"UNITED ST9",99266,1784016,75915
1993,"UNITED ST0",186961,405496,122877
1993,"UNITED ST7",36667,7376836,96219
1992,"UNITED ST4",27839,7558498,106009
1992,"UNITED ST1",90491,3851874,88889
1992,"UNITED ST0",157503,1835148,93630
1992,"UNITED ST1",69437,646957,84385
1993,"UNITED ST9",46072,1511833,61084
1992,"UNITED ST9",12660,1258128,94359
1992,"UNITED ST7",149579,6449137,97714
1992,"UNITED ST9",169489,1963684,93508
1992,"UNITED ST1",56960,3837753,115017
1993,"UNITED ST6",83193,2100675,70571
1992,"UNITED ST8",135001,703444,62160
1992,"UNITED ST3",189524,5343978,96811
1993,"UNITED ST0",97891,1870001,113333
1992,"UNITED ST5",77231,5195389,72493
1993,"UNITED ST0",104142,2001160,68768
1993,"UNITED ST5",30670,6497119,96040
1993,"UNITED ST9",111856,1849171,112071
1992,"UNITED ST3",189057,3032448,68763
1992,"UNITED ST0",69172,2818689,68470
1993,"UNITED ST9",84984,8187018,118138
1993,"UNITED ST9",123503,6670805,91590
1992,"UNITED ST3",23352,2203804,76521
1992,"UNITED ST0",156280,3479673,80176
1992,"UNITED ST4",12552,3031618,87873
1993,"UNITED ST3",86361,3884438,80841
1993,"UNITED ST3",102005,4304925,60420
1992,"UNITED ST2",40266,4846752,72375
1992,"UNITED ST9",92790,4323265,106967
1993,"UNITED ST4",6536,6576494,86551
1992,"UNITED ST3",177727,7579824,108283
1992,"UNITED ST7",25209,1669542,68052
1992,"UNITED ST9",112486,3762683,89908
1992,"UNITED ST1",71215,5295241,71172
1992,"UNITED ST4",97103,1584144,66006
1992,"UNITED ST8",196297,3003933,83597
1992,"UNITED ST5",139557,6753406,95793
1993,"UNITED ST7",181148,4585921,73748
1992,"UNITED ST9",139381,6468410,85222
1992,"UNITED ST0",116315,1420507,79878
1992,"UNITED ST3",154383,3277226,86242
1993,"UNITED ST6",121379,2195780,84022
1993,"UNITED ST0",100051,3329726,63063
1992,"UNITED ST3",155018,3849959,64380
1992,"UNITED ST0",30174,3679094,66250
1992,"UNITED ST7",165217,4900606,76932
1992,"UNITED ST1",37257,1110652,71655
1993,"UNITED ST1",95118,5179300,66786
1992,"UNITED ST6",98006,3417616,60240
1993,"UNITED ST6",177764,364668,110505
1992,"UNITED ST1",114230,4693235,74653
1992,"UNITED ST8",190593,5437995,101015
1993,"UNITED ST6",81040,3099877,61262
1992,"UNITED ST7",93446,4786138,86366
1993,"UNITED ST4",147023,3761120,64201
1993,"UNITED ST1",158946,5593782,120296
1992,"UNITED ST7",84464,3948501,86907
1993,"UNITED ST2",127012,1159535,62340
1993,"UNITED ST0",124682,6621918,102400
1992,"UNITED ST5",187509,3716652,95790
1992,"UNITED ST6",116029,4345193,62701
1992,"UNITED ST3",89285,3833034,76456
1992,"UNITED ST4",113277,593524,77416
1993,"UNITED ST9",45195,2937129,68411
1993,"UNITED ST6",15328,3046134,74599
1992,"UNITED ST7",134186,2855221,73210
1992,"UNITED ST4",160791,7666410,111107
1993,"UNITED ST1",20606,3077625,91596
1992,"UNITED ST4",14316,1945120,73818
1993,"UNITED ST3",189370,1001127,87562
1993,"UNITED ST1",195911,5201910,120414
1992,"UNITED ST4",104521,6407184,91531
1992,"UNITED ST4",38173,2555691,66670
1992,"UNITED ST6",149298,2845476,80837
1993,"UNITED ST3",35810,4175977,104748
1993,"UNITED ST7",32919,5511284,111114
1993,"UNITED ST2",126609,6921859,98136
1992,"UNITED ST1",21214,1761845,68112
1993,"UNITED ST4",128132,1350391,69607
1993,"UNITED ST9",89583,3255240,94354
1993,"UNITED ST3",9816,8197597,103548
1993,"UNITED ST8",61850,1793731,108711
1993,"UNITED ST2",72280,3493861,75136
1992,"UNITED ST4",150691,6081981,104501
1992,"UNITED ST3",180814,6984269,113688
1993,"UNITED ST6",64357,2008452,79281
1993,"UNITED ST0",79668,3914840,98859
1993,"UNITED ST8",11348,5327008,75560
1993,"UNITED ST6",171659,2350222,103839
1993,"UNITED ST9",12640,1856957,93158
1993,"UNITED ST4",30212,325529,68532
1993,"UNITED ST4",138276,2677167,78856
1993,"UNITED ST6",138488,5075546,91588
1992,"UNITED ST6",193806,6007167,113988
1993,"UNITED ST9",6136,1600711,62527
1992,"UNITED ST0",21202,2614809,67392
1992,"UNITED ST1",5949,6232598,111296
1992,"UNITED ST4",38178,2120723,66970
1993,"UNITED ST9",154530,6179667,95071
1993,"UNITED ST5",86004,2445300,59400
1992,"UNITED ST2",126608,3261027,98076
1993,"UNITED ST6",77909,8868430,113214
1993,"UNITED ST0",50203,3009852,69192
1992,"UNITED ST1",56806,8292211,105768
1993,"UNITED ST9",146589,2104991,98134
1993,"UNITED ST0",60359,1139918,79161
1993,"UNITED ST1",173445,5308466,91106
1992,"UNITED ST1",64448,1762725,84746
1993,"UNITED ST1",160524,5323987,95071
1992,"UNITED ST9",119653,471687,100359
1993,"UNITED ST5",143798,1786536,110507
1992,"UNITED ST4",57626,4225098,95017
1992,"UNITED ST5",133721,6316992,105283
1992,"UNITED ST1",11923,6679108,110095
1993,"UNITED ST7",85921,6607477,114415
1993,"UNITED ST4",68157,5072176,67509
1993,"UNITED ST0",101944,7260302,116756
1992,"UNITED ST1",199032,1791551,67861
1992,"UNITED ST1",5739,5319056,98683
1993,"UNITED ST7",102400,2347617,84144
1992,"UNITED ST4",135127,1057529,69727
1992,"UNITED ST3",183488,2090068,94288
1993,"UNITED ST6",22175,1579924,65830
1993,"UNITED ST6",89109,108711,65886
1993,"UNITED ST4",103303,2407510,78378
1992,"UNITED ST4",85692,5148830,100661
1992,"UNITED ST5",186711,2365786,107862
1992,"UNITED ST6",88689,3452665,100660
1992,"UNITED ST9",167723,5440207,107443
1992,"UNITED ST0",171341,7061700,84740
1992,"UNITED ST4",85714,464020,101982
1993,"UNITED ST7",123787,1318247,108646
1992,"UNITED ST7",69707,2300432,100602
1992,"UNITED ST5",46096,3301341,62525
1992,"UNITED ST0",14344,3397518,75500
1993,"UNITED ST0",22541,6375180,87812
1992,"UNITED ST1",87801,7083648,107328
1993,"UNITED ST3",93958,749548,117117
1992,"UNITED ST4",85667,1457646,99159
1993,"UNITED ST3",102981,8481514,119038
1993,"UNITED ST7",176747,1276618,109424
1992,"UNITED ST9",109445,1570795,87266
1993,"UNITED ST9",148881,4438724,115792
1993,"UNITED ST4",134438,3183393,88345
1993,"UNITED ST9",110066,4504387,64563
1993,"UNITED ST4",132356,3132117,83301
1992,"UNITED ST4",39458,1635016,83847
1992,"UNITED ST1",79285,1643564,75856
1992,"UNITED ST3",176777,2930810,111226
1993,"UNITED ST1",52303,2623577,75318
1992,"UNITED ST5",173077,3606619,69004
1992,"UNITED ST3",65658,2264991,97419
1992,"UNITED ST5",13442,3949752,81326
1992,"UNITED ST7",96210,5731909,72372
1992,"UNITED ST1",186964,812180,123057
1993,"UNITED ST6",60838,1780841,107929
1992,"UNITED ST2",163300,6208468,81798
1992,"UNITED ST4",155935,4013714,119455
1993,"UNITED ST9",52571,4628605,91414
1993,"UNITED ST0",32225,1041498,69433
1992,"UNITED ST3",30644,755827,94478
1992,"UNITED ST8",45786,6776455,103906
1992,"UNITED ST5",54772,6989964,103606
1993,"UNITED ST1",115514,1927182,91770
1992,"UNITED ST0",184891,2726728,118553
1993,"UNITED ST1",19601,2098428,91236
1992,"UNITED ST0",87550,4921697,92253
1992,"UNITED ST4",36378,4156037,78862
1992,"UNITED ST0",113840,8527664,111230
1992,"UNITED ST0",118231,363525,74953
1993,"UNITED ST0",134837,7597757,112309
1992,"UNITED ST9",116741,7593436,105464
1992,"UNITED ST0",6043,1209076,56942
1992,"UNITED ST4",128454,1294178,88947
1992,"UNITED ST9",65276,993016,74476
1993,"UNITED ST0",65915,1459586,112854
1993,"UNITED ST0",114248,4364825,75734
1993,"UNITED ST8",174973,6881179,122878
1992,"UNITED ST3",188044,3694978,67922
1993,"UNITED ST0",123204,1129024,73632
1993,"UNITED ST3",177620,6128408,101857
1993,"UNITED ST4",30125,3372163,63307
1992,"UNITED ST7",62165,1820363,67629
1993,"UNITED ST9",140057,1110214,65823
1993,"UNITED ST0",122148,2134335,70208
1992,"UNITED ST9",4108,1035378,60726
1993,"UNITED ST3",132543,4688807,94532
1993,"UNITED ST8",88000,3872960,59280
1993,"UNITED ST4",171922,937142,119635
1992,"UNITED ST9",131742,7024010,106424
1992,"UNITED ST7",143568,1334371,96693
1993,"UNITED ST7",40146,3193251,65168
1993,"UNITED ST3",132614,4238374,98796
1992,"UNITED ST3",63797,5229546,105647
1992,"UNITED ST0",79503,3196270,88950
1992,"UNITED ST9",143130,2668870,70387
1993,"UNITED ST6",187396,2483194,89003
1993,"UNITED ST8",79183,3660867,69730
1993,"UNITED ST4",82489,3249027,88288
1992,"UNITED ST4",185770,352596,111346
1992,"UNITED ST0",54645,1396485,95978
1993,"UNITED ST9",81228,703766,72553
1993,"UNITED ST3",32235,686331,70033
1992,"UNITED ST3",18734,1229631,99163
1993,"UNITED ST7",172002,1530450,64440
1992,"UNITED ST7",172241,5373778,78794
1992,"UNITED ST5",137564,2559292,96093
1993,"UNITED ST4",165210,1836302,76512
1993,"UNITED ST0",71731,7602689,102163
1992,"UNITED ST7",168265,130659,79995
1992,"UNITED ST1",29719,4228941,98922
1993,"UNITED ST1",159199,747364,75491
1993,"UNITED ST0",88195,326560,70991
1993,"UNITED ST0",65314,2730047,76758
1993,"UNITED ST0",154677,5766461,103900
1993,"UNITED ST1",80923,8232550,114235
1993,"UNITED ST4",100455,4322686,87327
1993,"UNITED ST0",15435,4746761,81025
1993,"UNITED ST6",179349,2939523,85700
1992,"UNITED ST1",52705,6100336,99462
1993,"UNITED ST1",182759,2652120,110505
1993,"UNITED ST3",170768,6987288,110325
1992,"UNITED ST4",26997,4292421,115439
1993,"UNITED ST4",154461,1533645,90927
1992,"UNITED ST1",27903,7431623,109854
1992,"UNITED ST9",16965,2830467,112917
1993,"UNITED ST7",94699,328575,101621
1992,"UNITED ST6",31159,4663661,65409
1993,"UNITED ST0",94638,1632630,97957
1993,"UNITED ST0",182033,757105,66901
1993,"UNITED ST1",93090,503636,64985
1993,"UNITED ST6",179369,3371782,86901
1993,"UNITED ST9",179121,2933093,72007
1993,"UNITED ST4",127856,5312457,113031
1992,"UNITED ST1",188682,3984030,106240
1993,"UNITED ST0",66056,2604183,61323
1992,"UNITED ST1",141617,328404,99516
1992,"UNITED ST7",64767,623433,103905
1992,"UNITED ST1",121776,4359592,107866
1992,"UNITED ST3",112767,6887671,106785
1993,"UNITED ST1",132850,9131822,112971
1993,"UNITED ST3",96517,145296,90810
1993,"UNITED ST8",6967,3170740,112437
1993,"UNITED ST1",75739,168043,102883
1992,"UNITED ST6",44543,5200439,89252
1992,"UNITED ST6",5665,5780028,94239
1993,"UNITED ST4",169978,6690717,122878
1992,"UNITED ST0",198608,5713696,102396
1992,"UNITED ST4",62409,863982,82284
1992,"UNITED ST7",107712,6698270,103182
1992,"UNITED ST1",168910,6190030,118734
1993,"UNITED ST4",130704,6472165,104082
1992,"UNITED ST0",188397,1485390,89123
1993,"UNITED ST6",30828,165329,105529
1993,"UNITED ST8",24792,2935710,103007
1992,"UNITED ST0",97748,8211960,104744
1993,"UNITED ST9",120169,342478,71349
1992,"UNITED ST8",73048,2973268,61262
1993,"UNITED ST9",63094,993664,63425
1993,"UNITED ST4",4514,1466739,85110
1992,"UNITED ST1",20654,4723950,94479
1993,"UNITED ST3",2159,1296725,63669
1992,"UNITED ST7",83299,3893032,76937
1992,"UNITED ST4",162454,2593129,90987
1993,"UNITED ST0",105944,1949940,116996
1992,"UNITED ST1",154708,7621914,105762
1992,"UNITED ST9",46263,1591386,72555
1993,"UNITED ST6",32626,305489,93517
1992,"UNITED ST8",96320,5528544,78979
1992,"UNITED ST6",40047,1243670,59222
1993,"UNITED ST9",169481,1311706,93028
1993,"UNITED ST0",84847,2461992,109910
1993,"UNITED ST7",117422,5037970,86365
1992,"UNITED ST3",164072,3885359,68164
1993,"UNITED ST1",56998,8453376,117299
1993,"UNITED ST7",104881,6534574,113152
1992,"UNITED ST9",96211,1908599,72432
1993,"UNITED ST3",190587,4781103,100654
1992,"UNITED ST3",177914,7489581,119514
1992,"UNITED ST0",151319,6314388,82218
1993,"UNITED ST9",121831,4091048,111169
1993,"UNITED ST0",125763,1699322,107325
1993,"UNITED ST8",85854,3850806,110391
1993,"UNITED ST0",164849,5458271,114830
1993,"UNITED ST9",127352,5735337,82761
1992,"UNITED ST0",75782,4350505,105466
1992,"UNITED ST0",101727,1768480,103723
1993,"UNITED ST1",192020,880719,66721
1993,"UNITED ST1",157537,6362174,95671
1992,"UNITED ST3",31343,1387756,76460
1992,"UNITED ST2",24467,3818166,83487
1993,"UNITED ST7",56029,2778741,59101
1993,"UNITED ST7",125770,4843191,107746
1992,"UNITED ST2",123422,1358694,86725
1992,"UNITED ST3",186846,2041079,115970
1992,"UNITED ST4",23560,1534001,89013
1992,"UNITED ST9",5510,5629483,84930
1993,"UNITED ST0",118289,501995,78436
1992,"UNITED ST7",134944,4353668,118736
1992,"UNITED ST6",172641,1343493,102818
1992,"UNITED ST7",167929,5633311,119815
1993,"UNITED ST3",161211,5735122,76332
1992,"UNITED ST0",77332,2309658,78559
1992,"UNITED ST8",55937,3520849,113575
1993,"UNITED ST8",96633,7414816,97777
1993,"UNITED ST5",35314,454748,74958
1992,"UNITED ST9",138528,1914287,93991
1992,"UNITED ST7",19222,1643356,68473
1992,"UNITED ST5",121854,5867658,112551
1992,"UNITED ST0",51398,3890291,80963
1993,"UNITED ST5",112681,6686648,101620
1992,"UNITED ST4",34905,356940,110394
1993,"UNITED ST0",97007,2192736,60240
1992,"UNITED ST4",123331,5667871,81259
1992,"UNITED ST3",138096,1032021,68045
1992,"UNITED ST1",5954,7253805,111597
1992,"UNITED ST3",135002,2706570,62220
1992,"UNITED ST0",93598,1289187,95495
1992,"UNITED ST7",178346,3247495,85460
1993,"UNITED ST4",167361,5719153,85701
1993,"UNITED ST5",36386,601682,79342
1992,"UNITED ST6",155513,3425625,94110
1993,"UNITED ST9",125375,5989382,84022
1992,"UNITED ST0",12040,4204208,57122
1992,"UNITED ST1",132253,2105239,77115
1992,"UNITED ST4",148703,6694997,105102
1992,"UNITED ST1",102820,7108998,109369
1992,"UNITED ST3",191409,7131401,90024
1993,"UNITED ST9",103846,2830255,110990
1993,"UNITED ST1",101082,4007396,64984
1992,"UNITED ST4",108781,6393094,107386
1993,"UNITED ST0",160151,239807,72669
1993,"UNITED ST6",149297,5409393,80777
1993,"UNITED ST4",168225,2824392,77593
1992,"UNITED ST1",64382,4954678,80782
1992,"UNITED ST7",181446,2810489,91646
1993,"UNITED ST7",75900,5698984,112554
1992,"UNITED ST4",176239,121001,78913
1993,"UNITED ST0",34623,7021750,93457
1992,"UNITED ST0",29998,555261,115679
1992,"UNITED ST4",155514,5964138,94170
1992,"UNITED ST8",134356,973245,83421
1992,"UNITED ST7",67054,1631637,61263
1992,"UNITED ST5",93815,5842456,108528
1992,"UNITED ST0",35609,3475350,92676
1993,"UNITED ST4",156566,4984504,97353
1992,"UNITED ST8",88907,1035161,113754
1992,"UNITED ST3",145811,4612316,111408
1992,"UNITED ST9",11176,1369834,65230
1992,"UNITED ST1",23427,3705552,81025
1993,"UNITED ST7",83877,6317653,111652
1993,"UNITED ST3",90840,2197008,109850
1993,"UNITED ST3",35582,5053541,91054
1993,"UNITED ST0",111766,8444360,106665
1993,"UNITED ST5",116175,1083964,71470
1993,"UNITED ST9",7294,3094523,72077
1992,"UNITED ST6",30087,187142,61024
1993,"UNITED ST9",28981,5040437,114598
1993,"UNITED ST7",149614,5869216,99816
1993,"UNITED ST9",68666,7145098,98079
1992,"UNITED ST0",29251,332830,70815
1993,"UNITED ST8",120334,609448,81259
1992,"UNITED ST0",88977,7392047,117958
1993,"UNITED ST5",55328,746892,76999
