"s_city","lo_custkey","lo_orderdate","lo_revenue"
"RUSSIA   4",21734,19920130,3310873
"RUSSIA   6",12058,19921228,2545442
"RUSSIA   4",27599,19920326,2742755
"RUSSIA   4",29780,19920512,2433526
"RUSSIA   4",15217,19920823,1645802
"RUSSIA   4",1543,19921001,2568384
"RUSSIA   3",8434,19921016,2649284
"RUSSIA   9",24742,19920606,2349296
"RUSSIA   2",23650,19921126,2897594
"RUSSIA   2",3385,19920130,2132341
"RUSSIA   4",11419,19921029,2997310
"RUSSIA   2",21838,19920811,3885017
"RUSSIA   4",11581,19921004,3789294
"RUSSIA   3",25870,19920928,2991035
"RUSSIA   4",10976,19920316,2125882
"RUSSIA   4",4751,19921220,2428063
"RUSSIA   0",17263,19920926,3217950
"RUSSIA   4",15799,19921020,4065063
"RUSSIA   7",27374,19921206,2508654
"RUSSIA   5",27082,19921204,2028357
"RUSSIA   6",17179,19920303,1623851
"RUSSIA   2",3775,19920804,1853543
"RUSSIA   5",9395,19920724,1997844
"RUSSIA   8",12190,19920604,2524522
"RUSSIA   9",10192,19920319,4113961
"RUSSIA   5",18259,19920201,4395907
"RUSSIA   8",79,19920919,2513777
"RUSSIA   7",2536,19920521,1961281
"RUSSIA   6",16544,19921108,2916112
"RUSSIA   7",20458,19920611,2396714
"RUSSIA   7",12944,19920213,2612314
"RUSSIA   3",6589,19920302,2185928
"RUSSIA   9",24628,19920907,2387923
"RUSSIA   6",8467,19921019,3349646
"RUSSIA   0",16636,19920229,2452763
"RUSSIA   4",1232,19920517,2393582
"RUSSIA   3",15970,19920923,3347153
"RUSSIA   8",3073,19920113,3124019
"RUSSIA   0",29707,19921114,2688539
"RUSSIA   3",29707,19921114,2695055
"RUSSIA   4",430,19920112,2101564
"RUSSIA   2",19544,19920723,3277921
"RUSSIA   4",23008,19920802,2368715
"RUSSIA   1",28906,19921210,3968898
"RUSSIA   2",12634,19920428,4161794
"RUSSIA   4",26713,19920814,2284537
"RUSSIA   0",12028,19921106,4046316
"RUSSIA   1",16438,19920321,3724547
"RUSSIA   2",24916,19920330,3963544
"RUSSIA   6",15277,19921217,2610333
"RUSSIA   3",19699,19920529,3545501
"RUSSIA   4",18007,19920305,2592619
"RUSSIA   4",17818,19920923,3339342
"RUSSIA   3",27673,19920720,3299905
"RUSSIA   6",27613,19921110,3672110
"RUSSIA   9",6131,19921030,4416160
"RUSSIA   4",19333,19921108,1720485
"RUSSIA   8",18713,19920301,3000282
"RUSSIA   6",6802,19920614,1912798
"RUSSIA   4",5006,19920815,3157030
"RUSSIA   3",3890,19920329,3153285
"RUSSIA   2",28609,19920906,4146182
"RUSSIA   9",25291,19920724,1959978
"RUSSIA   3",7771,19921016,4346190
"RUSSIA   3",12727,19920104,4069474
"RUSSIA   6",7672,19921025,3578382
"RUSSIA   0",19990,19920216,2917369
"RUSSIA   2",14419,19920829,3040257
"RUSSIA   4",9860,19920424,3010546
"RUSSIA   2",10993,19920223,1955064
"RUSSIA   2",7480,19920930,1749950
"RUSSIA   4",5512,19921118,3735484
"RUSSIA   9",9404,19920424,3009872
"RUSSIA   3",4120,19920529,4039359
"RUSSIA   5",17962,19920204,2994537
"RUSSIA   9",1232,19920907,2371455
"RUSSIA   5",12673,19921222,2897044
"RUSSIA   8",5599,19921226,2295532
"RUSSIA   3",28048,19921226,1702753
"RUSSIA   9",24124,19920428,2692425
"RUSSIA   7",26368,19921015,3596942
"RUSSIA   7",17284,19920513,2471548
"RUSSIA   5",5467,19920408,3091992
"RUSSIA   8",574,19920112,2066627
"RUSSIA   7",29813,19920425,2302138
"RUSSIA   5",7969,19920813,3918216
"RUSSIA   3",15668,19921108,3685417
"RUSSIA   1",17059,19920512,2569234
"RUSSIA   2",19163,19920104,2275387
"RUSSIA   2",5866,19920528,2228326
"RUSSIA   4",28348,19920603,2288304
"RUSSIA   4",6568,19921214,3479472
"RUSSIA   8",2740,19920503,3477456
"RUSSIA   4",1253,19920926,2798600
"RUSSIA   5",13841,19920519,2859372
"RUSSIA   0",8344,19920809,2562504
"RUSSIA   8",10745,19920630,2855289
"RUSSIA   5",9844,19921224,1909346
"RUSSIA   1",4076,19921219,2653942
"RUSSIA   6",10882,19920108,2596192
"RUSSIA   8",3805,19920421,1655949
"RUSSIA   7",27904,19920720,3362844
"RUSSIA   0",21602,19920513,4427978
"RUSSIA   4",13588,19920204,2834575
"RUSSIA   2",27325,19920126,3103367
"RUSSIA   5",98,19920303,2571114
"RUSSIA   5",21878,19920719,2199900
"RUSSIA   2",8275,19920818,3458251
"RUSSIA   2",17018,19920826,1886904
"RUSSIA   7",9283,19921124,3103140
"RUSSIA   2",14284,19921217,1970080
"RUSSIA   4",3493,19920726,2925037
"RUSSIA   6",10016,19920916,2619118
"RUSSIA   8",25760,19920822,2379336
"RUSSIA   6",14561,19921111,3646891
"RUSSIA   9",24829,19921021,2014478
"RUSSIA   2",9026,19920326,1626732
"RUSSIA   1",9026,19920326,3940964
"RUSSIA   6",25609,19920920,2190886
"RUSSIA   3",17962,19920819,1863369
"RUSSIA   2",3215,19920613,2821727
"RUSSIA   3",9221,19920811,3079027
"RUSSIA   2",14005,19920924,2974431
"RUSSIA   2",9484,19920327,4398660
"RUSSIA   1",15451,19920225,4495503
"RUSSIA   4",22747,19921019,3077793
"RUSSIA   4",24584,19920222,2826370
"RUSSIA   4",3142,19920821,2718608
"RUSSIA   5",19879,19920106,2619036
"RUSSIA   3",3953,19921222,3738420
"RUSSIA   4",11158,19921110,2954723
"RUSSIA   1",16798,19920226,2280226
"RUSSIA   3",25711,19921120,3397322
"RUSSIA   8",9673,19920716,1702621
"RUSSIA   4",9866,19920323,2304874
"RUSSIA   6",26761,19920829,2154798
"RUSSIA   7",24674,19921215,4025051
"RUSSIA   8",2353,19920326,2349700
"RUSSIA   4",25510,19921031,3048627
"RUSSIA   2",8530,19920318,2137780
"RUSSIA   8",24421,19920109,2307295
"RUSSIA   2",17101,19920519,3234748
"RUSSIA   7",10978,19920217,3029797
"RUSSIA   3",4409,19921021,2103319
"RUSSIA   7",20428,19920829,3930578
"RUSSIA   9",13202,19920907,4107113
"RUSSIA   3",24206,19920901,3157660
"RUSSIA   4",8825,19921021,4349403
"RUSSIA   6",10267,19920926,2763764
"RUSSIA   3",8075,19921222,3369994
"RUSSIA   2",5923,19921203,3415864
"RUSSIA   2",8578,19920610,3786189
"RUSSIA   2",6886,19920913,3178229
"RUSSIA   7",4342,19920320,3604862
"RUSSIA   3",27337,19920417,4973729
"RUSSIA   3",22735,19920205,2276999
"RUSSIA   5",28085,19921213,2833065
"RUSSIA   3",21676,19920414,1939423
"RUSSIA   2",9229,19920917,2168797
"RUSSIA   3",15235,19921217,2772456
"RUSSIA   7",11207,19921024,3041356
"RUSSIA   9",16718,19920530,3417280
"RUSSIA   3",16718,19920530,3837947
"RUSSIA   3",24703,19920501,3509049
"RUSSIA   4",5503,19920629,2652976
"RUSSIA   8",23587,19920428,4157855
"RUSSIA   7",18574,19920501,1881194
"RUSSIA   7",23471,19920514,3752101
"RUSSIA   5",19534,19921105,3660227
"RUSSIA   6",29812,19920901,3707195
"RUSSIA   4",20596,19920311,2690503
"RUSSIA   9",14462,19921207,1953856
"RUSSIA   7",29071,19920416,3580599
"RUSSIA   3",23434,19920914,2573120
"RUSSIA   4",17563,19920814,3630481
"RUSSIA   9",20020,19920928,2994003
"RUSSIA   1",20020,19920928,3584864
"RUSSIA   3",29786,19920719,2701635
"RUSSIA   5",2276,19921117,3283777
"RUSSIA   9",10063,19921120,3949847
"RUSSIA   3",19387,19920622,1645248
"RUSSIA   7",2647,19921116,2655858
"RUSSIA   2",21895,19920827,2046123
"RUSSIA   4",13792,19920919,2517835
"RUSSIA   5",10870,19920804,2463118
"RUSSIA   7",17987,19920803,2851183
"RUSSIA   9",13345,19920919,4763309
"RUSSIA   2",10468,19920104,4780195
"RUSSIA   1",22082,19921205,3745962
"RUSSIA   3",18271,19920724,4137416
"RUSSIA   4",3068,19920722,2687003
"RUSSIA   4",5443,19920817,2729001
"RUSSIA   6",980,19921125,3000016
"RUSSIA   4",1661,19920704,4601280
"RUSSIA   5",23576,19920214,2703784
"RUSSIA   1",29752,19920318,1951154
"RUSSIA   9",26365,19920828,2841078
"RUSSIA   3",19354,19920928,4021116
"RUSSIA   5",24343,19920210,2745858
"RUSSIA   5",17527,19921224,3357446
"RUSSIA   2",3361,19920105,3469482
"RUSSIA   2",7448,19920311,2712456
"RUSSIA   0",27979,19920613,3182522
"RUSSIA   1",11579,19920311,2959740
"RUSSIA   2",6890,19920820,3672789
"RUSSIA   9",1444,19920706,2495376
"RUSSIA   5",29671,19920521,2397939
"RUSSIA   5",18439,19920919,4329543
"RUSSIA   4",23512,19920619,2528447
"RUSSIA   0",736,19920428,2314854
"RUSSIA   0",5597,19920706,2198464
"RUSSIA   2",11249,19920108,2257836
"RUSSIA   4",23347,19920219,3665043
"RUSSIA   7",17242,19921111,4272104
"RUSSIA   8",25741,19921202,3261424
"RUSSIA   0",8990,19920330,2828610
"RUSSIA   3",25489,19921225,2219526
"RUSSIA   3",22771,19920301,2639418
"RUSSIA   4",10468,19920725,2458209
"RUSSIA   8",26879,19920314,2936857
"RUSSIA   5",5168,19920326,3198234
"RUSSIA   3",9181,19920227,4015871
"RUSSIA   6",27394,19920324,3872384
"RUSSIA   3",28625,19920916,3338452
"RUSSIA   5",29638,19920813,3324532
"RUSSIA   6",14176,19920227,3355672
"RUSSIA   6",10600,19920630,3120212
"RUSSIA   1",121,19920608,4113736
"RUSSIA   2",7637,19921228,1925214
"RUSSIA   7",11998,19920911,4450178
"RUSSIA   3",4603,19920628,1898265
"RUSSIA   3",11830,19920117,3563032
"RUSSIA   5",22595,19920513,2014544
"RUSSIA   9",796,19920416,2263526
"RUSSIA   0",22885,19920430,2480227
"RUSSIA   2",11791,19920516,4148232
"RUSSIA   7",18355,19920216,3221410
"RUSSIA   2",1759,19920619,3357076
"RUSSIA   5",25906,19920117,2134526
"RUSSIA   8",8938,19921123,4100367
"RUSSIA   6",178,19920420,2875597
"RUSSIA   3",15151,19920322,2871709
"RUSSIA   5",1928,19920518,2865826
"RUSSIA   3",16921,19920915,2998200
"RUSSIA   6",16441,19920717,2852298
"RUSSIA   6",16825,19920426,2521925
"RUSSIA   5",9613,19920121,2384690
"RUSSIA   8",3848,19920731,1793679
"RUSSIA   0",25018,19920629,2549346
"RUSSIA   4",22037,19920521,2212344
"RUSSIA   4",25160,19920808,2683827
"RUSSIA   3",20711,19920308,3575990
"RUSSIA   7",10733,19920328,2816120
"RUSSIA   4",22594,19921024,1903264
"RUSSIA   3",2753,19920702,2925662
"RUSSIA   8",10654,19920318,4150598
"RUSSIA   7",19489,19920301,3539933
"RUSSIA   8",29237,19920316,3496958
"RUSSIA   2",23162,19921006,3598020
"RUSSIA   3",27181,19920831,4615744
"RUSSIA   5",12529,19920907,3872603
"RUSSIA   8",28484,19920602,4774646
"RUSSIA   7",3716,19921114,2732068
"RUSSIA   2",11260,19920313,3196941
"RUSSIA   2",1180,19921114,3949317
"RUSSIA   3",17431,19920615,3960704
"RUSSIA   2",27835,19921004,2888810
"RUSSIA   2",16171,19920726,3317246
"RUSSIA   0",28466,19921217,3653328
"RUSSIA   5",4204,19921019,2310612
"RUSSIA   4",9586,19920915,3358318
"RUSSIA   7",14341,19920110,2165488
"RUSSIA   8",29087,19920516,2388274
"RUSSIA   4",25676,19920515,2078023
"RUSSIA   2",3010,19921125,2065143
"RUSSIA   2",7300,19920902,2357897
"RUSSIA   5",20660,19920327,2797988
"RUSSIA   9",22145,19920605,2822583
"RUSSIA   2",8389,19921030,2483102
"RUSSIA   5",26582,19920426,3333736
"RUSSIA   4",21500,19921016,2824978
"RUSSIA   9",16594,19921001,2045401
"RUSSIA   3",23212,19920422,1769549
"RUSSIA   7",5428,19920401,4143843
"RUSSIA   3",14809,19920223,2546597
"RUSSIA   3",17050,19921211,3178917
"RUSSIA   9",23387,19920216,1675674
"RUSSIA   5",6970,19921031,3175060
"RUSSIA   8",14053,19920319,3979408
"RUSSIA   3",24658,19920211,2393046
"RUSSIA   1",5294,19920315,3595014
"RUSSIA   0",3232,19920426,3823040
"RUSSIA   9",4526,19920827,3596734
"RUSSIA   1",5284,19921027,3495499
"RUSSIA   5",25570,19920629,1701286
"RUSSIA   7",17266,19920713,3284528
"RUSSIA   3",18047,19920321,2816999
"RUSSIA   2",12067,19920210,2583544
"RUSSIA   4",1429,19921008,2513062
"RUSSIA   2",13690,19921206,2315689
"RUSSIA   3",15595,19920922,2420774
"RUSSIA   0",18619,19921128,1866586
"RUSSIA   2",12019,19921101,4112572
"RUSSIA   3",24385,19921230,2186866
"RUSSIA   9",15499,19921021,2247024
"RUSSIA   2",16196,19920907,1894319
"RUSSIA   7",5579,19920225,3011637
"RUSSIA   7",25175,19920615,2744959
"RUSSIA   9",18005,19920403,3018168
"RUSSIA   5",7240,19920106,3901841
"RUSSIA   7",25480,19920125,2819895
"RUSSIA   2",3874,19920420,2093756
"RUSSIA   7",6928,19921206,2613295
"RUSSIA   9",23257,19920315,2248742
"RUSSIA   4",6113,19920823,3559015
"RUSSIA   7",15535,19921012,4248174
"RUSSIA   5",15535,19921012,2705813
"RUSSIA   1",14224,19920718,3412803
"RUSSIA   6",13330,19920529,3994410
"RUSSIA   5",17249,19921028,2030286
"RUSSIA   0",15772,19920126,3099853
"RUSSIA   4",27916,19920809,2905267
"RUSSIA   4",19595,19920303,2242612
"RUSSIA   4",12872,19920130,2155681
"RUSSIA   1",19390,19921014,3152282
"RUSSIA   3",1729,19920224,3734392
"RUSSIA   5",23635,19920831,3581469
"RUSSIA   9",29116,19920506,2612380
"RUSSIA   5",21589,19920808,3179020
"RUSSIA   5",11056,19920819,1464192
"RUSSIA   5",21710,19921212,4503797
"RUSSIA   5",1295,19920428,3587190
"RUSSIA   7",29933,19920204,2249498
"RUSSIA   5",28876,19920305,2051766
"RUSSIA   0",14866,19920330,2750003
"RUSSIA   2",9205,19920112,3440064
"RUSSIA   2",7297,19920428,4190301
"RUSSIA   7",5069,19920123,3118736
"RUSSIA   4",15976,19920212,2259695
"RUSSIA   6",10312,19920309,1772690
"RUSSIA   2",25127,19920711,1776697
"RUSSIA   7",18445,19921006,2552256
"RUSSIA   0",8126,19920310,4193224
"RUSSIA   3",9586,19921015,4078780
"RUSSIA   8",4846,19920519,2998208
"RUSSIA   4",29020,19920118,2154393
"RUSSIA   0",20144,19921213,2957829
"RUSSIA   6",14884,19921221,2761657
"RUSSIA   9",20977,19920627,3246375
"RUSSIA   2",6409,19920513,3685842
"RUSSIA   4",8495,19921010,3612635
"RUSSIA   3",4073,19921001,3458244
"RUSSIA   3",10468,19920415,2906190
"RUSSIA   1",25295,19920113,3246467
"RUSSIA   3",22873,19921029,2688266
"RUSSIA   5",26825,19920404,2282480
"RUSSIA   3",22864,19921230,3668121
"RUSSIA   4",16945,19920816,2238696
"RUSSIA   2",13921,19920617,3321980
"RUSSIA   6",17465,19921005,2538494
"RUSSIA   2",24590,19920512,3974843
"RUSSIA   5",403,19920211,2203110
"RUSSIA   2",2498,19920415,3673340
"RUSSIA   3",24841,19920504,4274406
"RUSSIA   4",24515,19920815,3401195
"RUSSIA   4",6665,19921118,3796404
"RUSSIA   9",178,19920325,2612904
"RUSSIA   4",14560,19920423,5165889
"RUSSIA   0",15889,19920224,3710658
"RUSSIA   9",4921,19921211,4216545
"RUSSIA   2",25336,19920403,2896278
"RUSSIA   5",10640,19921228,2748312
"RUSSIA   1",15718,19920327,2952467
"RUSSIA   3",27979,19920222,3757977
"RUSSIA   5",9811,19920420,2558688
"RUSSIA   0",55,19920217,3795304
"RUSSIA   3",578,19920814,2442740
"RUSSIA   3",22888,19921008,2232669
"RUSSIA   5",860,19920704,4489554
"RUSSIA   9",25510,19921218,3866860
"RUSSIA   7",29246,19920502,2260159
"RUSSIA   3",22265,19920628,2439964
"RUSSIA   2",24970,19920929,4768584
"RUSSIA   6",17302,19920912,3328403
"RUSSIA   0",3628,19921113,5046376
"RUSSIA   7",11602,19920512,3140876
"RUSSIA   8",13465,19920124,2523905
"RUSSIA   4",25369,19921031,4755363
"RUSSIA   3",2380,19920818,2567463
"RUSSIA   7",20155,19920802,2345546
