"d_yearmonthnum","s_city","lo_custkey","lo_revenue"
199211,"RUSSIA   2",23650,2897594
199201,"RUSSIA   2",3385,2132341
199210,"RUSSIA   4",11419,2997310
199208,"RUSSIA   2",21838,3885017
199210,"RUSSIA   4",11581,3789294
199209,"RUSSIA   3",25870,2991035
199203,"RUSSIA   4",10976,2125882
199212,"RUSSIA   4",4751,2428063
199209,"RUSSIA   0",17263,3217950
199210,"RUSSIA   4",15799,4065063
199212,"RUSSIA   7",27374,2508654
199212,"RUSSIA   5",27082,2028357
199203,"RUSSIA   6",17179,1623851
199208,"RUSSIA   2",3775,1853543
199207,"RUSSIA   5",9395,1997844
199206,"RUSSIA   8",12190,2524522
199203,"RUSSIA   9",10192,4113961
199202,"RUSSIA   5",18259,4395907
199209,"RUSSIA   8",79,2513777
199205,"RUSSIA   7",2536,1961281
199211,"RUSSIA   6",16544,2916112
199206,"RUSSIA   7",20458,2396714
199202,"RUSSIA   7",12944,2612314
199203,"RUSSIA   3",6589,2185928
199209,"RUSSIA   9",24628,2387923
199210,"RUSSIA   6",8467,3349646
199202,"RUSSIA   0",16636,2452763
199205,"RUSSIA   4",1232,2393582
199209,"RUSSIA   3",15970,3347153
199201,"RUSSIA   8",3073,3124019
199211,"RUSSIA   0",29707,2688539
199211,"RUSSIA   3",29707,2695055
199201,"RUSSIA   4",430,2101564
199207,"RUSSIA   2",19544,3277921
199208,"RUSSIA   4",23008,2368715
199212,"RUSSIA   1",28906,3968898
199204,"RUSSIA   2",12634,4161794
199208,"RUSSIA   4",26713,2284537
199211,"RUSSIA   0",12028,4046316
199203,"RUSSIA   1",16438,3724547
199203,"RUSSIA   2",24916,3963544
199212,"RUSSIA   6",15277,2610333
199205,"RUSSIA   3",19699,3545501
199203,"RUSSIA   4",18007,2592619
199209,"RUSSIA   4",17818,3339342
199207,"RUSSIA   3",27673,3299905
199211,"RUSSIA   6",27613,3672110
199210,"RUSSIA   9",6131,4416160
199211,"RUSSIA   4",19333,1720485
199203,"RUSSIA   8",18713,3000282
199206,"RUSSIA   6",6802,1912798
199208,"RUSSIA   4",5006,3157030
199203,"RUSSIA   3",3890,3153285
199209,"RUSSIA   2",28609,4146182
199207,"RUSSIA   9",25291,1959978
199210,"RUSSIA   3",7771,4346190
199201,"RUSSIA   3",12727,4069474
199210,"RUSSIA   6",7672,3578382
199202,"RUSSIA   0",19990,2917369
199208,"RUSSIA   2",14419,3040257
199204,"RUSSIA   4",9860,3010546
199202,"RUSSIA   2",10993,1955064
199209,"RUSSIA   2",7480,1749950
199211,"RUSSIA   4",5512,3735484
199204,"RUSSIA   9",9404,3009872
199205,"RUSSIA   3",4120,4039359
199202,"RUSSIA   5",17962,2994537
199209,"RUSSIA   9",1232,2371455
199212,"RUSSIA   5",12673,2897044
199212,"RUSSIA   8",5599,2295532
199212,"RUSSIA   3",28048,1702753
199204,"RUSSIA   9",24124,2692425
199210,"RUSSIA   7",26368,3596942
199205,"RUSSIA   7",17284,2471548
199204,"RUSSIA   5",5467,3091992
199201,"RUSSIA   8",574,2066627
199204,"RUSSIA   7",29813,2302138
199208,"RUSSIA   5",7969,3918216
199211,"RUSSIA   3",15668,3685417
199205,"RUSSIA   1",17059,2569234
199201,"RUSSIA   2",19163,2275387
199205,"RUSSIA   2",5866,2228326
199206,"RUSSIA   4",28348,2288304
199212,"RUSSIA   4",6568,3479472
199205,"RUSSIA   8",2740,3477456
199209,"RUSSIA   4",1253,2798600
199205,"RUSSIA   5",13841,2859372
199208,"RUSSIA   0",8344,2562504
199206,"RUSSIA   8",10745,2855289
199212,"RUSSIA   5",9844,1909346
199212,"RUSSIA   1",4076,2653942
199201,"RUSSIA   6",10882,2596192
199204,"RUSSIA   8",3805,1655949
199207,"RUSSIA   7",27904,3362844
199205,"RUSSIA   0",21602,4427978
199202,"RUSSIA   4",13588,2834575
199201,"RUSSIA   2",27325,3103367
199203,"RUSSIA   5",98,2571114
199207,"RUSSIA   5",21878,2199900
199208,"RUSSIA   2",8275,3458251
199208,"RUSSIA   2",17018,1886904
199211,"RUSSIA   7",9283,3103140
199212,"RUSSIA   2",14284,1970080
199207,"RUSSIA   4",3493,2925037
199209,"RUSSIA   6",10016,2619118
199208,"RUSSIA   8",25760,2379336
199211,"RUSSIA   6",14561,3646891
199210,"RUSSIA   9",24829,2014478
199203,"RUSSIA   2",9026,1626732
199203,"RUSSIA   1",9026,3940964
199209,"RUSSIA   6",25609,2190886
199208,"RUSSIA   3",17962,1863369
199206,"RUSSIA   2",3215,2821727
199208,"RUSSIA   3",9221,3079027
199209,"RUSSIA   2",14005,2974431
199203,"RUSSIA   2",9484,4398660
199202,"RUSSIA   1",15451,4495503
199210,"RUSSIA   4",22747,3077793
199202,"RUSSIA   4",24584,2826370
199208,"RUSSIA   4",3142,2718608
199201,"RUSSIA   5",19879,2619036
199212,"RUSSIA   3",3953,3738420
199211,"RUSSIA   4",11158,2954723
199202,"RUSSIA   1",16798,2280226
199211,"RUSSIA   3",25711,3397322
199207,"RUSSIA   8",9673,1702621
199203,"RUSSIA   4",9866,2304874
199208,"RUSSIA   6",26761,2154798
199212,"RUSSIA   7",24674,4025051
199203,"RUSSIA   8",2353,2349700
199210,"RUSSIA   4",25510,3048627
199203,"RUSSIA   2",8530,2137780
199201,"RUSSIA   8",24421,2307295
199205,"RUSSIA   2",17101,3234748
199202,"RUSSIA   7",10978,3029797
199210,"RUSSIA   3",4409,2103319
199208,"RUSSIA   7",20428,3930578
199209,"RUSSIA   9",13202,4107113
199209,"RUSSIA   3",24206,3157660
199210,"RUSSIA   4",8825,4349403
199209,"RUSSIA   6",10267,2763764
199212,"RUSSIA   3",8075,3369994
199212,"RUSSIA   2",5923,3415864
199206,"RUSSIA   2",8578,3786189
199209,"RUSSIA   2",6886,3178229
199203,"RUSSIA   7",4342,3604862
199204,"RUSSIA   3",27337,4973729
199202,"RUSSIA   3",22735,2276999
199212,"RUSSIA   5",28085,2833065
199204,"RUSSIA   3",21676,1939423
199209,"RUSSIA   2",9229,2168797
199212,"RUSSIA   3",15235,2772456
199210,"RUSSIA   7",11207,3041356
199205,"RUSSIA   9",16718,3417280
199205,"RUSSIA   3",16718,3837947
199205,"RUSSIA   3",24703,3509049
199206,"RUSSIA   4",5503,2652976
199204,"RUSSIA   8",23587,4157855
199205,"RUSSIA   7",18574,1881194
199205,"RUSSIA   7",23471,3752101
199211,"RUSSIA   5",19534,3660227
199209,"RUSSIA   6",29812,3707195
199203,"RUSSIA   4",20596,2690503
199212,"RUSSIA   9",14462,1953856
199204,"RUSSIA   7",29071,3580599
199209,"RUSSIA   3",23434,2573120
199208,"RUSSIA   4",17563,3630481
199209,"RUSSIA   9",20020,2994003
199209,"RUSSIA   1",20020,3584864
199207,"RUSSIA   3",29786,2701635
199211,"RUSSIA   5",2276,3283777
199211,"RUSSIA   9",10063,3949847
199206,"RUSSIA   3",19387,1645248
199211,"RUSSIA   7",2647,2655858
199208,"RUSSIA   2",21895,2046123
199209,"RUSSIA   4",13792,2517835
199208,"RUSSIA   5",10870,2463118
199208,"RUSSIA   7",17987,2851183
199209,"RUSSIA   9",13345,4763309
199201,"RUSSIA   2",10468,4780195
199212,"RUSSIA   1",22082,3745962
199207,"RUSSIA   3",18271,4137416
199207,"RUSSIA   4",3068,2687003
199208,"RUSSIA   4",5443,2729001
199211,"RUSSIA   6",980,3000016
199207,"RUSSIA   4",1661,4601280
199202,"RUSSIA   5",23576,2703784
199203,"RUSSIA   1",29752,1951154
199208,"RUSSIA   9",26365,2841078
199209,"RUSSIA   3",19354,4021116
199202,"RUSSIA   5",24343,2745858
199212,"RUSSIA   5",17527,3357446
199201,"RUSSIA   2",3361,3469482
199203,"RUSSIA   2",7448,2712456
199206,"RUSSIA   0",27979,3182522
199203,"RUSSIA   1",11579,2959740
199208,"RUSSIA   2",6890,3672789
199207,"RUSSIA   9",1444,2495376
199205,"RUSSIA   5",29671,2397939
199209,"RUSSIA   5",18439,4329543
199206,"RUSSIA   4",23512,2528447
199204,"RUSSIA   0",736,2314854
199207,"RUSSIA   0",5597,2198464
199201,"RUSSIA   2",11249,2257836
199202,"RUSSIA   4",23347,3665043
199211,"RUSSIA   7",17242,4272104
199212,"RUSSIA   8",25741,3261424
199203,"RUSSIA   0",8990,2828610
199212,"RUSSIA   3",25489,2219526
199203,"RUSSIA   3",22771,2639418
199207,"RUSSIA   4",10468,2458209
199203,"RUSSIA   8",26879,2936857
199203,"RUSSIA   5",5168,3198234
199202,"RUSSIA   3",9181,4015871
199203,"RUSSIA   6",27394,3872384
199209,"RUSSIA   3",28625,3338452
199208,"RUSSIA   5",29638,3324532
199202,"RUSSIA   6",14176,3355672
199206,"RUSSIA   6",10600,3120212
199206,"RUSSIA   1",121,4113736
199212,"RUSSIA   2",7637,1925214
199209,"RUSSIA   7",11998,4450178
199206,"RUSSIA   3",4603,1898265
199201,"RUSSIA   3",11830,3563032
199205,"RUSSIA   5",22595,2014544
199204,"RUSSIA   9",796,2263526
199204,"RUSSIA   0",22885,2480227
199205,"RUSSIA   2",11791,4148232
199202,"RUSSIA   7",18355,3221410
199206,"RUSSIA   2",1759,3357076
199201,"RUSSIA   5",25906,2134526
199211,"RUSSIA   8",8938,4100367
199204,"RUSSIA   6",178,2875597
199203,"RUSSIA   3",15151,2871709
199205,"RUSSIA   5",1928,2865826
199209,"RUSSIA   3",16921,2998200
199207,"RUSSIA   6",16441,2852298
199204,"RUSSIA   6",16825,2521925
199201,"RUSSIA   5",9613,2384690
199207,"RUSSIA   8",3848,1793679
199206,"RUSSIA   0",25018,2549346
199205,"RUSSIA   4",22037,2212344
199208,"RUSSIA   4",25160,2683827
199203,"RUSSIA   3",20711,3575990
199203,"RUSSIA   7",10733,2816120
199210,"RUSSIA   4",22594,1903264
199207,"RUSSIA   3",2753,2925662
199203,"RUSSIA   8",10654,4150598
199203,"RUSSIA   7",19489,3539933
199203,"RUSSIA   8",29237,3496958
199210,"RUSSIA   2",23162,3598020
199208,"RUSSIA   3",27181,4615744
199209,"RUSSIA   5",12529,3872603
199206,"RUSSIA   8",28484,4774646
199211,"RUSSIA   7",3716,2732068
199203,"RUSSIA   2",11260,3196941
199211,"RUSSIA   2",1180,3949317
199206,"RUSSIA   3",17431,3960704
199210,"RUSSIA   2",27835,2888810
199207,"RUSSIA   2",16171,3317246
199212,"RUSSIA   0",28466,3653328
199210,"RUSSIA   5",4204,2310612
199209,"RUSSIA   4",9586,3358318
199201,"RUSSIA   7",14341,2165488
199205,"RUSSIA   8",29087,2388274
199205,"RUSSIA   4",25676,2078023
199211,"RUSSIA   2",3010,2065143
199209,"RUSSIA   2",7300,2357897
199203,"RUSSIA   5",20660,2797988
199206,"RUSSIA   9",22145,2822583
199210,"RUSSIA   2",8389,2483102
199204,"RUSSIA   5",26582,3333736
199210,"RUSSIA   4",21500,2824978
199210,"RUSSIA   9",16594,2045401
199204,"RUSSIA   3",23212,1769549
199204,"RUSSIA   7",5428,4143843
199202,"RUSSIA   3",14809,2546597
199212,"RUSSIA   3",17050,3178917
199202,"RUSSIA   9",23387,1675674
199210,"RUSSIA   5",6970,3175060
199203,"RUSSIA   8",14053,3979408
199202,"RUSSIA   3",24658,2393046
199203,"RUSSIA   1",5294,3595014
199204,"RUSSIA   0",3232,3823040
199208,"RUSSIA   9",4526,3596734
199210,"RUSSIA   1",5284,3495499
199206,"RUSSIA   5",25570,1701286
199207,"RUSSIA   7",17266,3284528
199203,"RUSSIA   3",18047,2816999
199202,"RUSSIA   2",12067,2583544
199210,"RUSSIA   4",1429,2513062
199212,"RUSSIA   2",13690,2315689
199209,"RUSSIA   3",15595,2420774
199211,"RUSSIA   0",18619,1866586
199211,"RUSSIA   2",12019,4112572
199212,"RUSSIA   3",24385,2186866
199210,"RUSSIA   9",15499,2247024
199209,"RUSSIA   2",16196,1894319
199202,"RUSSIA   7",5579,3011637
199206,"RUSSIA   7",25175,2744959
199204,"RUSSIA   9",18005,3018168
199201,"RUSSIA   5",7240,3901841
199201,"RUSSIA   7",25480,2819895
199204,"RUSSIA   2",3874,2093756
199212,"RUSSIA   7",6928,2613295
199203,"RUSSIA   9",23257,2248742
199208,"RUSSIA   4",6113,3559015
199210,"RUSSIA   7",15535,4248174
199210,"RUSSIA   5",15535,2705813
199207,"RUSSIA   1",14224,3412803
199205,"RUSSIA   6",13330,3994410
199210,"RUSSIA   5",17249,2030286
199201,"RUSSIA   0",15772,3099853
199208,"RUSSIA   4",27916,2905267
199203,"RUSSIA   4",19595,2242612
199201,"RUSSIA   4",12872,2155681
199210,"RUSSIA   1",19390,3152282
199202,"RUSSIA   3",1729,3734392
199208,"RUSSIA   5",23635,3581469
199205,"RUSSIA   9",29116,2612380
199208,"RUSSIA   5",21589,3179020
199208,"RUSSIA   5",11056,1464192
199212,"RUSSIA   5",21710,4503797
199204,"RUSSIA   5",1295,3587190
199202,"RUSSIA   7",29933,2249498
199203,"RUSSIA   5",28876,2051766
199203,"RUSSIA   0",14866,2750003
199201,"RUSSIA   2",9205,3440064
199204,"RUSSIA   2",7297,4190301
199201,"RUSSIA   7",5069,3118736
199202,"RUSSIA   4",15976,2259695
199203,"RUSSIA   6",10312,1772690
199207,"RUSSIA   2",25127,1776697
199210,"RUSSIA   7",18445,2552256
199203,"RUSSIA   0",8126,4193224
199210,"RUSSIA   3",9586,4078780
199205,"RUSSIA   8",4846,2998208
199201,"RUSSIA   4",29020,2154393
199212,"RUSSIA   0",20144,2957829
199212,"RUSSIA   6",14884,2761657
199206,"RUSSIA   9",20977,3246375
199205,"RUSSIA   2",6409,3685842
199210,"RUSSIA   4",8495,3612635
199210,"RUSSIA   3",4073,3458244
199204,"RUSSIA   3",10468,2906190
199201,"RUSSIA   1",25295,3246467
199210,"RUSSIA   3",22873,2688266
199204,"RUSSIA   5",26825,2282480
199212,"RUSSIA   3",22864,3668121
199208,"RUSSIA   4",16945,2238696
199206,"RUSSIA   2",13921,3321980
199210,"RUSSIA   6",17465,2538494
199205,"RUSSIA   2",24590,3974843
199202,"RUSSIA   5",403,2203110
199204,"RUSSIA   2",2498,3673340
199205,"RUSSIA   3",24841,4274406
199208,"RUSSIA   4",24515,3401195
199211,"RUSSIA   4",6665,3796404
199203,"RUSSIA   9",178,2612904
199204,"RUSSIA   4",14560,5165889
199202,"RUSSIA   0",15889,3710658
199212,"RUSSIA   9",4921,4216545
199204,"RUSSIA   2",25336,2896278
199212,"RUSSIA   5",10640,2748312
199203,"RUSSIA   1",15718,2952467
199202,"RUSSIA   3",27979,3757977
199204,"RUSSIA   5",9811,2558688
199202,"RUSSIA   0",55,3795304
199208,"RUSSIA   3",578,2442740
199210,"RUSSIA   3",22888,2232669
199207,"RUSSIA   5",860,4489554
199212,"RUSSIA   9",25510,3866860
199205,"RUSSIA   7",29246,2260159
199206,"RUSSIA   3",22265,2439964
199209,"RUSSIA   2",24970,4768584
199209,"RUSSIA   6",17302,3328403
199211,"RUSSIA   0",3628,5046376
199205,"RUSSIA   7",11602,3140876
199201,"RUSSIA   8",13465,2523905
199210,"RUSSIA   4",25369,4755363
199208,"RUSSIA   3",2380,2567463
199208,"RUSSIA   7",20155,2345546
