"s_nation","d_year","lo_custkey","lo_revenue"
"INDIA",1992,251545,3898440
"CHINA",1992,251545,2125084
"INDONESIA",1993,85372,6475354
"INDONESIA",1993,85372,3386773
"CHINA",1993,219205,130894
"JAPAN",1994,153347,1537310
"INDONESIA",1997,240346,3405827
"INDIA",1992,274295,3372355
"INDIA",1997,274387,1909555
"CHINA",1992,15668,372576
"INDONESIA",1992,15668,3762977
"VIETNAM",1992,231055,455009
"INDIA",1994,100357,5107482
"VIETNAM",1994,100357,1485611
"CHINA",1994,100357,117207
"CHINA",1995,192581,6098780
"JAPAN",1993,295849,5456525
"JAPAN",1997,177827,3415106
"JAPAN",1994,129410,148019
"VIETNAM",1996,291268,6834171
"INDIA",1996,291268,862272
"INDONESIA",1996,229111,4856388
"INDONESIA",1996,229111,3151610
"INDIA",1992,164132,747518
"VIETNAM",1994,53887,3605892
"JAPAN",1996,9793,4708836
"INDIA",1996,9793,6609387
"INDONESIA",1992,181838,888370
"INDONESIA",1992,181838,7620016
"VIETNAM",1993,96440,5147365
"INDONESIA",1993,96440,6614415
"VIETNAM",1992,67979,399085
"INDIA",1992,67979,4573801
"JAPAN",1994,118562,2053945
"CHINA",1994,118562,5788603
"INDIA",1994,118562,997885
"INDONESIA",1997,289982,4876677
"VIETNAM",1997,289982,179613
"CHINA",1994,52637,905377
"INDIA",1997,263020,1541529
"VIETNAM",1995,105008,3074639
"INDIA",1995,257906,2871782
"JAPAN",1995,257906,200538
"VIETNAM",1993,8050,4742831
"INDIA",1993,8050,3519238
"INDIA",1996,157754,458185
"VIETNAM",1996,261982,1412948
"JAPAN",1996,261982,123032
"VIETNAM",1996,29524,5881495
"JAPAN",1996,29524,7794626
"VIETNAM",1993,3203,2060024
"JAPAN",1993,3203,2747238
"INDONESIA",1995,121528,4111274
"INDONESIA",1997,110713,3891397
"JAPAN",1992,129214,2225601
"CHINA",1993,241438,3696028
"INDONESIA",1994,145960,4419128
"CHINA",1993,99638,560401
"INDONESIA",1994,13586,5012905
"INDIA",1994,13586,2708013
"INDONESIA",1994,13586,5704669
"INDONESIA",1994,27148,4325990
"CHINA",1995,275233,1303380
"INDIA",1993,208426,4783500
"INDIA",1993,210497,1785874
"JAPAN",1993,210497,4501668
"CHINA",1992,47554,3819448
"VIETNAM",1994,31462,7996813
"CHINA",1997,16063,4540738
"VIETNAM",1996,254153,2403419
"CHINA",1995,143800,215808
"CHINA",1995,143800,1177992
"CHINA",1996,28928,3900618
"JAPAN",1993,11417,6588135
"INDONESIA",1997,25015,5424895
"INDIA",1994,98641,2166514
"INDIA",1996,53666,6135376
"VIETNAM",1994,149896,7645852
"CHINA",1993,209506,5826074
"JAPAN",1993,97774,913554
"INDONESIA",1993,242908,2110553
"JAPAN",1995,122206,5029854
"JAPAN",1996,115081,1147509
"JAPAN",1992,50500,769892
"JAPAN",1994,75928,7662495
"VIETNAM",1995,209027,5559705
"JAPAN",1995,209027,890219
"INDIA",1997,106207,463963
"JAPAN",1997,106207,3688210
"JAPAN",1997,106207,7832156
"INDONESIA",1997,106207,3827330
"JAPAN",1996,296611,8523965
"JAPAN",1996,296611,1386504
"CHINA",1996,296611,2210343
"INDIA",1994,176692,1708702
"INDONESIA",1992,259849,3300400
"INDONESIA",1997,157894,1422089
"INDIA",1997,222127,4875618
"VIETNAM",1994,97129,1344288
"INDONESIA",1993,230827,3246966
"CHINA",1996,182954,2134123
"INDIA",1995,202801,1279998
"CHINA",1993,6551,4705298
"INDONESIA",1996,296944,1329337
"VIETNAM",1992,287012,2926245
"INDIA",1992,287012,6204423
"INDIA",1995,107827,4839151
"VIETNAM",1995,107827,3429641
"INDONESIA",1992,192022,4092630
"CHINA",1997,198140,1069287
"VIETNAM",1995,36454,1604284
"JAPAN",1995,36454,4191162
"CHINA",1993,296938,3339530
"VIETNAM",1993,296938,8502250
"INDIA",1993,296938,134933
"JAPAN",1993,296938,7695363
"CHINA",1997,116600,4466007
"VIETNAM",1996,85232,2309765
"INDIA",1996,293584,1262777
"JAPAN",1996,293584,6279799
"CHINA",1994,120319,4443126
"CHINA",1994,120319,1781793
"INDIA",1994,275629,580648
"VIETNAM",1994,275629,157845
"INDIA",1996,39331,3313545
"CHINA",1996,39331,5259831
"INDONESIA",1993,122044,1111178
"INDIA",1992,883,3346362
"VIETNAM",1994,113021,4115495
"INDIA",1997,239768,912854
"VIETNAM",1994,180314,3676066
"INDONESIA",1995,231784,1349273
"VIETNAM",1996,97094,5009342
"JAPAN",1996,97094,5910183
"CHINA",1993,155605,3079909
"VIETNAM",1997,130124,1037767
"INDIA",1997,130124,3360070
"JAPAN",1997,290684,3418360
"JAPAN",1995,13180,466088
"VIETNAM",1994,95563,931716
"INDIA",1994,59264,1812938
"JAPAN",1992,45385,535134
"VIETNAM",1997,158368,1691480
"CHINA",1997,158368,5894461
"VIETNAM",1997,158368,6312380
"CHINA",1992,28309,913239
"INDONESIA",1993,265964,1998234
"JAPAN",1994,213298,5031949
"INDIA",1994,213298,1291575
"INDONESIA",1994,286144,7597625
"JAPAN",1994,286144,6211979
"VIETNAM",1997,192856,2707676
"VIETNAM",1997,119071,2018590
"JAPAN",1997,119071,1582505
"INDIA",1997,200449,4454222
"INDONESIA",1992,229234,6868928
"JAPAN",1992,229234,596728
"INDONESIA",1992,229234,301268
"CHINA",1992,229234,3122121
"INDONESIA",1997,111550,6497236
"VIETNAM",1997,111550,3021250
"VIETNAM",1996,250384,4200105
"JAPAN",1992,99740,4450247
"INDONESIA",1995,221323,856829
"VIETNAM",1994,53981,714147
"JAPAN",1996,47792,3256828
"INDIA",1997,64655,8129923
"VIETNAM",1997,39937,479764
"INDONESIA",1995,274756,6657362
"VIETNAM",1995,274756,5070895
"INDONESIA",1995,274756,4411154
"INDIA",1997,202474,5951985
"INDIA",1997,202474,6196652
"JAPAN",1993,253355,4910088
"VIETNAM",1996,237256,2175615
"INDIA",1996,237256,5853565
"JAPAN",1997,231914,3764943
"CHINA",1993,248977,3932199
"VIETNAM",1995,151144,1399004
"INDIA",1995,151144,2346685
"INDONESIA",1994,161399,4016462
"VIETNAM",1994,161399,4559827
"INDIA",1993,103636,4194449
"JAPAN",1993,103636,1505995
"VIETNAM",1993,103636,5506939
"INDONESIA",1992,288379,1291553
"VIETNAM",1992,288379,737498
"VIETNAM",1995,278228,2781953
"CHINA",1996,286528,2204815
"INDIA",1996,286528,4181746
"INDIA",1996,286528,2648183
"INDONESIA",1997,70033,8781709
"CHINA",1997,128992,3257232
"CHINA",1992,167786,7869125
"INDIA",1995,273809,3390376
"VIETNAM",1997,76706,4195021
"VIETNAM",1993,82033,3397259
"JAPAN",1992,197317,5569053
"INDONESIA",1992,197317,4484269
"INDIA",1992,197317,7992173
"VIETNAM",1993,223990,6464923
"INDONESIA",1993,193360,4856740
"INDIA",1995,23842,5585484
"INDIA",1994,179002,4413615
"VIETNAM",1997,82300,4880058
"CHINA",1997,82300,6507304
"INDONESIA",1995,178672,3416846
"INDONESIA",1992,291614,4855586
"CHINA",1992,291614,5041554
"CHINA",1992,51130,3418014
"INDIA",1997,122195,5329357
"CHINA",1993,215176,6807441
"INDIA",1992,233392,5567204
"VIETNAM",1996,115379,2446472
"CHINA",1996,115379,8011292
"INDONESIA",1992,241705,5677157
"JAPAN",1992,241705,3956909
"INDIA",1995,15758,5615769
"JAPAN",1994,109846,360038
"INDIA",1997,132067,5330698
"JAPAN",1997,132067,1475591
"CHINA",1997,296305,2991132
"INDIA",1995,272966,2372226
"CHINA",1993,199570,1432622
"CHINA",1993,32995,3300299
"JAPAN",1993,128227,6073663
"INDIA",1995,80537,6216362
"CHINA",1995,276575,5290986
"JAPAN",1995,276575,7133943
"INDIA",1995,276575,1002428
"JAPAN",1996,178519,7538448
"VIETNAM",1995,75673,2774699
"JAPAN",1995,75673,2602606
"INDIA",1997,204562,1099427
"JAPAN",1994,97111,8040853
"INDONESIA",1994,97111,7480340
"CHINA",1996,60928,4165000
"INDONESIA",1997,91520,5063076
"JAPAN",1993,67106,2409089
"INDONESIA",1993,67106,4028388
"CHINA",1996,139487,3643110
"INDIA",1994,147065,4132015
"INDONESIA",1993,18887,3251900
"VIETNAM",1993,18887,629537
"INDIA",1993,18887,5567437
"CHINA",1996,17425,1198194
"INDONESIA",1997,61279,6176470
"INDIA",1996,38405,880211
"CHINA",1996,38405,1087769
"JAPAN",1994,223573,4015358
"INDIA",1994,223573,2508221
"JAPAN",1994,223573,5682489
"VIETNAM",1994,223573,794043
"INDIA",1996,59585,1436831
"CHINA",1996,59585,3958961
"CHINA",1992,218119,5898135
"INDIA",1992,218119,374151
"VIETNAM",1996,198487,5669751
"INDIA",1996,198487,3386888
"INDIA",1995,249926,7997468
"INDIA",1997,282571,1416182
"INDONESIA",1997,168553,3913072
"INDIA",1992,282097,2392473
"INDONESIA",1992,282097,820575
"INDIA",1992,282097,5590923
"CHINA",1992,290458,2723115
"VIETNAM",1993,69893,6641229
"CHINA",1995,178729,725182
"CHINA",1994,293122,3305738
"JAPAN",1993,171316,4271406
"VIETNAM",1994,155557,1746540
"JAPAN",1994,215521,4838814
"CHINA",1993,58928,3180417
"VIETNAM",1995,86524,942536
"CHINA",1995,86524,3662022
"VIETNAM",1997,89389,4822841
"JAPAN",1997,89389,154413
"JAPAN",1997,89389,4720680
"INDONESIA",1994,51121,4887802
"VIETNAM",1995,262760,2699775
"INDIA",1994,119572,647673
"JAPAN",1997,224216,5270691
"INDIA",1996,141883,961928
"JAPAN",1996,141883,1107910
"VIETNAM",1996,141883,3742187
"CHINA",1992,52378,4073959
"VIETNAM",1992,52378,8296538
"INDONESIA",1997,113501,6243142
"JAPAN",1995,197275,5763749
"JAPAN",1997,287108,2030341
"JAPAN",1997,202606,830058
"INDIA",1997,19694,5277608
"INDIA",1993,247642,5334538
"INDIA",1996,187885,6846108
"CHINA",1996,242686,6272664
"INDIA",1996,290548,175437
"JAPAN",1997,121621,2355772
"JAPAN",1994,50944,1973537
"VIETNAM",1992,255268,2517580
"INDONESIA",1994,96970,3056268
"CHINA",1995,173573,3637496
"JAPAN",1992,270376,1804126
"INDIA",1994,123910,1822345
"CHINA",1996,129034,7163964
"INDIA",1996,129034,3982721
"CHINA",1996,129034,1149033
"CHINA",1996,265048,6904236
"CHINA",1992,183455,6328951
"JAPAN",1994,252179,1114592
"CHINA",1994,252179,1681681
"CHINA",1994,252179,8053345
"CHINA",1994,252179,3811715
"INDIA",1992,88358,4673736
"VIETNAM",1992,88358,6906835
"CHINA",1993,22138,5826811
"VIETNAM",1997,226655,5502136
"CHINA",1992,285275,3191184
"VIETNAM",1992,109456,699455
"CHINA",1993,40834,1079491
"VIETNAM",1992,34186,337011
"VIETNAM",1992,34186,911546
"INDIA",1997,37906,5469772
"JAPAN",1993,158465,5527618
"JAPAN",1993,210172,5989022
"INDONESIA",1995,169681,1521892
"INDONESIA",1995,137003,1154280
"CHINA",1996,108640,7243953
"JAPAN",1995,88439,945854
"INDONESIA",1997,192257,3275965
"INDIA",1997,192257,7224247
"INDONESIA",1997,192257,3907191
"INDONESIA",1993,219022,343953
"INDIA",1993,219022,3689026
"VIETNAM",1997,97153,425403
"JAPAN",1997,97153,2658385
"VIETNAM",1994,183691,928085
"VIETNAM",1993,287527,7389279
"INDONESIA",1993,287527,3722748
"VIETNAM",1993,287527,5039020
"VIETNAM",1995,91195,3102507
"INDONESIA",1994,297541,5498958
"VIETNAM",1994,297541,1970491
"INDONESIA",1994,297541,1062367
"CHINA",1993,41023,112027
"VIETNAM",1997,144820,4084530
"JAPAN",1995,134417,2358262
"INDONESIA",1992,87061,2404924
"JAPAN",1992,87061,3549360
"CHINA",1992,87061,6706671
"VIETNAM",1993,65377,5065807
"CHINA",1993,65377,3309308
"CHINA",1993,65377,7122143
"INDONESIA",1996,137929,5846759
"INDIA",1992,64909,3583555
"JAPAN",1993,213031,5219616
"INDIA",1997,263930,7659986
"INDONESIA",1996,62429,2495251
"JAPAN",1995,260017,2606751
"JAPAN",1992,93965,8237001
"JAPAN",1992,93965,5635550
"CHINA",1996,62936,2147064
"INDONESIA",1996,62936,1347238
"INDONESIA",1995,251527,3587043
"INDONESIA",1995,251527,1049250
"CHINA",1996,82256,109841
"INDIA",1996,82256,1259412
"JAPAN",1997,60670,3396032
"VIETNAM",1992,259219,4382769
"JAPAN",1995,195104,9153900
"JAPAN",1996,195593,6624124
"JAPAN",1996,195593,5357048
"INDIA",1994,215728,3926559
"INDONESIA",1997,295900,4974542
"INDONESIA",1992,90899,1098728
"INDONESIA",1993,138145,5484024
"JAPAN",1996,77968,5555766
"JAPAN",1996,77968,2377970
"CHINA",1994,297620,6431877
"VIETNAM",1997,58691,6720592
"INDONESIA",1996,10217,660441
"INDIA",1995,103594,3517041
"CHINA",1992,242554,5851757
"INDIA",1992,242554,6447829
"INDIA",1997,98071,3617883
"INDIA",1993,191996,5095702
"VIETNAM",1993,64708,3574773
"INDONESIA",1993,64708,4070911
"INDIA",1995,106984,2467729
"INDONESIA",1995,106984,2831901
"INDIA",1992,111853,9233716
"VIETNAM",1997,109639,2286535
"INDIA",1997,73942,1779261
"JAPAN",1997,73942,3600296
"VIETNAM",1993,71023,4105021
"INDONESIA",1992,135557,2363277
"INDONESIA",1992,135557,4894819
"JAPAN",1992,135557,1714587
"JAPAN",1997,92377,3073288
"VIETNAM",1997,50816,1371065
"INDONESIA",1993,83584,4748188
"JAPAN",1995,125105,9109203
"INDONESIA",1995,238111,3559500
"VIETNAM",1997,175225,8827514
"JAPAN",1997,175225,449234
"JAPAN",1992,220546,1250282
"VIETNAM",1993,28951,2367587
"VIETNAM",1996,271394,4797116
"VIETNAM",1996,271394,5739338
"VIETNAM",1996,290237,1637003
"VIETNAM",1992,11903,3096766
"CHINA",1992,11903,1193667
"CHINA",1996,49840,5097438
"INDONESIA",1992,57956,8168045
"VIETNAM",1992,57956,449004
"JAPAN",1992,57956,3955019
"INDIA",1996,93940,4757753
"INDONESIA",1996,232540,4329416
"INDIA",1996,78772,7512354
"INDONESIA",1992,90532,2597517
"INDONESIA",1992,90532,1496942
"CHINA",1996,252025,5897493
"CHINA",1996,294842,7310630
"INDONESIA",1994,91654,5980809
"INDIA",1995,19019,1063216
"INDONESIA",1997,135733,1572110
"INDONESIA",1997,31951,3653834
"INDONESIA",1993,205099,262403
"JAPAN",1992,89963,5684104
"INDONESIA",1992,89963,2842722
"CHINA",1992,89963,197535
"VIETNAM",1992,264425,8898575
"CHINA",1992,284980,6628754
"INDONESIA",1997,168194,2105885
"INDIA",1997,168194,5020704
"INDONESIA",1997,168194,1816272
"INDIA",1996,231383,2930678
"VIETNAM",1996,231383,3160862
"JAPAN",1994,278593,3850126
"INDONESIA",1994,278593,2211964
"JAPAN",1993,197534,4698195
"VIETNAM",1996,179909,7002344
"VIETNAM",1992,23825,5483114
"CHINA",1992,146374,4325958
"INDONESIA",1992,146374,2535657
"JAPAN",1992,202417,2366397
"CHINA",1992,202417,3744595
"JAPAN",1993,110522,1974885
"INDONESIA",1995,266387,2754370
"CHINA",1995,266387,6781734
"INDONESIA",1995,266387,6956904
"INDONESIA",1992,260567,2907042
"VIETNAM",1992,260567,6693159
"INDIA",1997,236435,730998
"JAPAN",1997,236435,2131129
"INDONESIA",1994,205489,3666146
"CHINA",1992,47840,4205673
"VIETNAM",1995,125944,2114625
"INDONESIA",1993,161161,5146150
"CHINA",1993,161161,7557888
"JAPAN",1993,204244,2350778
"JAPAN",1993,204244,2364137
"INDIA",1992,44399,4372340
"CHINA",1993,110879,3109682
"JAPAN",1993,203164,4695459
"VIETNAM",1992,254863,6836112
"INDIA",1993,132220,6336789
"CHINA",1997,87253,3429012
"INDONESIA",1993,59536,4529248
"INDONESIA",1993,59536,317806
"INDONESIA",1995,83339,2958574
"INDONESIA",1995,83339,525610
"INDIA",1995,83339,4346298
"VIETNAM",1996,264025,3087110
"INDONESIA",1993,140122,1338931
"INDIA",1992,20132,4842838
"CHINA",1995,257171,1405387
"JAPAN",1992,273934,6088262
"JAPAN",1992,273934,3118242
"INDONESIA",1992,182669,372450
"CHINA",1997,108121,2347974
"JAPAN",1992,66568,2145599
"JAPAN",1995,34489,3779958
"VIETNAM",1994,151762,8214634
"CHINA",1994,151762,868059
"JAPAN",1994,151762,740267
"JAPAN",1994,151762,4169621
"JAPAN",1997,209005,7043991
"CHINA",1994,32435,543546
"VIETNAM",1994,32435,4644729
"CHINA",1993,294481,8526584
"INDIA",1996,226970,5197564
"CHINA",1996,226970,5151862
"VIETNAM",1993,206269,2829755
"INDONESIA",1993,206269,7518357
"INDONESIA",1992,241160,1740582
"INDIA",1992,241160,753350
"INDONESIA",1992,161407,667128
"JAPAN",1992,161407,2004097
"INDIA",1997,143261,6583321
"INDONESIA",1997,283165,1680170
"VIETNAM",1994,250342,4736950
"JAPAN",1995,297514,7272025
"JAPAN",1995,297514,6936192
"INDIA",1993,61963,1531169
"CHINA",1993,61963,3082150
"INDIA",1994,97786,776232
"CHINA",1992,224110,2781872
"VIETNAM",1992,224110,2458899
"VIETNAM",1994,111215,6826350
"CHINA",1993,184033,3952894
"JAPAN",1993,184033,1333024
"INDONESIA",1993,184033,5856382
"CHINA",1995,9332,107665
"INDIA",1995,231139,5930389
"VIETNAM",1993,39127,880005
"CHINA",1992,291709,1083145
"VIETNAM",1994,58679,3212176
"INDIA",1994,58679,7133508
"JAPAN",1994,217942,1336272
"INDIA",1997,250682,4615047
"JAPAN",1995,2560,1509523
"JAPAN",1992,121793,6620533
"INDIA",1992,228751,4963210
"INDONESIA",1996,101608,3663943
"CHINA",1995,191189,1872129
"INDONESIA",1995,191189,791393
"VIETNAM",1997,4306,634252
"CHINA",1997,57659,3501897
"VIETNAM",1992,65215,1125791
"CHINA",1992,137528,4438644
"INDIA",1995,231826,1990453
"JAPAN",1993,254459,2352925
"INDONESIA",1996,235675,2155216
"JAPAN",1993,66707,1611800
"VIETNAM",1994,138382,5076351
"VIETNAM",1995,160163,3205425
"VIETNAM",1995,246265,362679
"INDONESIA",1995,246265,5053752
"INDONESIA",1995,168964,5135454
"JAPAN",1995,168964,1951397
"VIETNAM",1995,168964,585489
"CHINA",1992,237013,4549239
"INDIA",1992,237013,3831018
"INDONESIA",1992,76462,7753565
"INDONESIA",1992,76462,3418314
"VIETNAM",1992,76462,8729777
"CHINA",1996,177391,3899560
"CHINA",1996,294334,8093512
"INDIA",1996,294334,4781886
"JAPAN",1996,294334,1698932
"CHINA",1992,143084,462735
"INDIA",1992,143084,4574063
"JAPAN",1996,299851,414465
"INDONESIA",1997,189725,1172127
"JAPAN",1994,90889,2081267
"INDIA",1996,38719,3453248
"CHINA",1996,38719,6633804
