"s_city","d_yearmonthnum","lo_custkey","lo_revenue"
"RUSSIA   2",199211,71276,4009370
"RUSSIA   2",199211,159134,2558058
"RUSSIA   7",199208,196810,2568222
"RUSSIA   5",199212,92420,3791915
"RUSSIA   8",199206,85159,2172795
"RUSSIA   5",199202,290833,2449083
"RUSSIA   1",199212,153245,3579296
"RUSSIA   7",199201,151663,3572010
"RUSSIA   8",199201,293747,3107079
"RUSSIA   2",199207,67997,4388377
"RUSSIA   9",199201,23348,3800207
"RUSSIA   5",199202,217873,3771172
"RUSSIA   8",199208,50020,3416209
"RUSSIA   3",199202,143542,4238188
"RUSSIA   9",199201,214798,3918735
"RUSSIA   3",199204,39004,3258143
"RUSSIA   0",199205,55804,4158380
"RUSSIA   7",199201,121976,2162244
"RUSSIA   8",199208,13033,3899813
"RUSSIA   9",199203,83953,2643721
"RUSSIA   9",199209,90458,4280862
"RUSSIA   3",199202,224470,1686059
"RUSSIA   4",199204,168509,3406512
"RUSSIA   6",199204,168509,2731815
"RUSSIA   1",199206,26290,2521646
"RUSSIA   0",199209,264610,2423446
"RUSSIA   6",199202,171763,3150239
"RUSSIA   4",199209,105892,2911735
"RUSSIA   7",199208,158455,2368726
"RUSSIA   6",199208,49511,4377831
"RUSSIA   5",199212,83207,3269080
"RUSSIA   1",199204,210274,2736911
"RUSSIA   2",199207,256795,1940169
"RUSSIA   2",199205,72418,3262104
"RUSSIA   3",199205,88432,1862275
"RUSSIA   6",199203,232358,3062307
"RUSSIA   7",199205,82786,2833040
"RUSSIA   2",199205,38872,2664673
"RUSSIA   8",199202,145720,3999282
"RUSSIA   5",199209,110141,3493602
"RUSSIA   7",199203,197150,3029979
"RUSSIA   9",199203,197150,2290902
"RUSSIA   0",199202,67540,3497970
"RUSSIA   7",199204,15172,2996139
"RUSSIA   0",199211,102301,3162854
"RUSSIA   5",199212,213767,2262444
"RUSSIA   3",199212,105907,2097172
"RUSSIA   5",199204,223912,3520789
"RUSSIA   5",199202,274823,2973182
"RUSSIA   4",199201,72781,2019783
"RUSSIA   3",199210,97690,3443132
"RUSSIA   6",199201,13063,2850761
"RUSSIA   2",199204,168335,3006744
"RUSSIA   1",199211,91439,2409039
"RUSSIA   3",199206,74759,3645964
"RUSSIA   0",199205,20686,2709511
"RUSSIA   7",199206,224404,3348076
"RUSSIA   7",199203,154151,2852162
"RUSSIA   6",199211,27664,1876474
"RUSSIA   6",199208,168565,3737194
"RUSSIA   0",199203,126778,2911733
"RUSSIA   1",199212,137779,2761881
"RUSSIA   6",199203,147295,4952177
"RUSSIA   9",199212,56848,1850509
"RUSSIA   5",199205,54083,3056512
"RUSSIA   9",199201,278851,3162446
"RUSSIA   3",199210,147776,2726284
"RUSSIA   8",199210,209497,3082668
"RUSSIA   6",199205,80662,4182438
"RUSSIA   2",199211,121934,2221649
"RUSSIA   6",199202,140569,2020215
"RUSSIA   8",199204,228859,2077510
"RUSSIA   2",199209,35741,2312448
"RUSSIA   0",199204,245942,4365821
"RUSSIA   7",199209,141305,2148166
"RUSSIA   2",199205,211675,2276841
"RUSSIA   7",199201,207226,3249228
"RUSSIA   5",199201,2026,1887304
"RUSSIA   2",199206,298868,3630072
"RUSSIA   8",199205,271189,2804206
"RUSSIA   4",199201,185611,2068108
"RUSSIA   6",199209,185104,3653834
"RUSSIA   3",199204,39010,2507330
"RUSSIA   5",199201,106882,2310407
"RUSSIA   6",199201,242041,2693483
"RUSSIA   1",199205,239756,2195103
"RUSSIA   8",199206,90880,3785345
"RUSSIA   2",199203,217676,2254698
"RUSSIA   8",199202,164525,2534573
"RUSSIA   3",199203,127108,2922504
"RUSSIA   9",199209,94933,3296921
"RUSSIA   8",199208,238747,3465182
"RUSSIA   4",199209,129709,3257015
"RUSSIA   7",199212,174913,2127445
"RUSSIA   7",199207,212420,4762008
"RUSSIA   5",199211,42934,2911020
"RUSSIA   9",199207,213016,3739110
"RUSSIA   5",199204,195304,3342405
"RUSSIA   7",199201,121525,2066931
"RUSSIA   2",199202,7993,2772925
"RUSSIA   6",199206,155998,2477613
"RUSSIA   5",199201,209602,2432730
"RUSSIA   0",199201,148919,2817401
"RUSSIA   0",199211,143027,2462887
"RUSSIA   5",199207,74539,4385452
"RUSSIA   2",199212,74491,2820015
"RUSSIA   3",199205,164600,3498040
"RUSSIA   8",199205,174184,2107125
"RUSSIA   0",199212,98348,2044570
"RUSSIA   4",199204,189169,3073534
"RUSSIA   6",199202,12577,2794579
"RUSSIA   9",199205,118573,2631408
"RUSSIA   3",199206,70513,2729959
"RUSSIA   4",199208,126503,3097086
"RUSSIA   4",199201,262801,2515018
"RUSSIA   5",199212,58376,1868140
"RUSSIA   1",199211,201482,5154925
"RUSSIA   0",199210,265931,2849817
"RUSSIA   0",199207,240673,4081680
"RUSSIA   8",199201,220144,2734467
"RUSSIA   7",199209,185651,2402757
"RUSSIA   2",199212,213086,3941566
"RUSSIA   0",199203,124073,3947336
"RUSSIA   1",199201,25687,2422932
"RUSSIA   8",199202,284329,1956325
"RUSSIA   9",199205,290761,4497456
"RUSSIA   3",199202,209827,2871618
"RUSSIA   2",199203,222731,2636495
"RUSSIA   8",199206,214682,3680073
"RUSSIA   7",199203,140479,2518200
"RUSSIA   8",199208,276107,3962830
"RUSSIA   2",199202,195313,3817762
"RUSSIA   1",199205,152914,4193096
"RUSSIA   3",199211,191063,2821256
"RUSSIA   6",199211,262243,4290485
"RUSSIA   3",199207,116560,1653376
"RUSSIA   5",199211,11452,4018566
"RUSSIA   0",199202,160298,3353385
"RUSSIA   7",199206,67582,3136692
"RUSSIA   0",199206,67582,1947043
"RUSSIA   5",199211,286222,2674051
"RUSSIA   8",199207,44824,2281824
"RUSSIA   8",199205,254282,2909184
"RUSSIA   7",199205,275314,3394353
"RUSSIA   9",199204,233320,3326994
"RUSSIA   9",199211,58006,2643973
"RUSSIA   4",199211,272746,3047295
"RUSSIA   2",199202,56225,2371074
"RUSSIA   9",199212,285592,3038223
"RUSSIA   1",199209,263584,2532947
"RUSSIA   3",199205,113176,2462208
"RUSSIA   8",199205,132392,2871559
"RUSSIA   7",199202,124643,2850130
"RUSSIA   2",199209,160967,3483794
"RUSSIA   5",199207,263224,3723335
"RUSSIA   1",199204,217526,2312899
"RUSSIA   5",199212,289021,1960162
"RUSSIA   2",199207,154522,2885012
"RUSSIA   4",199204,194944,3407913
"RUSSIA   4",199204,102553,3227994
"RUSSIA   9",199202,141259,2518225
"RUSSIA   7",199205,220007,2214897
"RUSSIA   1",199203,90142,3042329
"RUSSIA   8",199206,217867,3991821
"RUSSIA   8",199206,30821,4774518
"RUSSIA   6",199206,44752,3856252
"RUSSIA   5",199206,44752,2927192
"RUSSIA   4",199212,19900,3493679
"RUSSIA   5",199206,284810,2849347
"RUSSIA   3",199209,159791,3384178
"RUSSIA   2",199203,65476,2040233
"RUSSIA   4",199210,106330,2150547
"RUSSIA   4",199201,194974,4069547
"RUSSIA   2",199201,99353,2800072
"RUSSIA   9",199210,107423,4388837
"RUSSIA   7",199205,145276,4797287
"RUSSIA   2",199206,162301,2432440
"RUSSIA   2",199205,145018,2934067
"RUSSIA   4",199205,274885,1713310
"RUSSIA   5",199203,46016,2992248
"RUSSIA   0",199206,216325,2331191
"RUSSIA   8",199202,196090,2398055
"RUSSIA   1",199206,111491,3053832
"RUSSIA   0",199206,290452,2489236
"RUSSIA   7",199204,128431,2281638
"RUSSIA   2",199206,18595,3500320
"RUSSIA   8",199201,25612,2674487
"RUSSIA   9",199208,156460,2895351
"RUSSIA   9",199210,139190,3021768
"RUSSIA   5",199202,181864,3658527
"RUSSIA   3",199210,116740,1636487
"RUSSIA   1",199204,102238,2481816
"RUSSIA   5",199203,2251,1804000
"RUSSIA   2",199209,60242,3115330
"RUSSIA   0",199212,139723,2702068
"RUSSIA   9",199203,178777,3363896
"RUSSIA   3",199211,97912,2673130
"RUSSIA   9",199211,15289,3548448
"RUSSIA   5",199210,142247,4367712
"RUSSIA   8",199204,247877,3521796
"RUSSIA   6",199208,293092,4141610
"RUSSIA   1",199201,14401,2640290
"RUSSIA   0",199204,7393,4201728
"RUSSIA   8",199208,28498,3533390
"RUSSIA   7",199203,283871,2783420
"RUSSIA   3",199201,77968,2411094
"RUSSIA   0",199201,5023,3591815
"RUSSIA   7",199204,67507,2837174
"RUSSIA   3",199203,79906,3167685
"RUSSIA   9",199207,176294,3129954
"RUSSIA   5",199203,175426,2147593
"RUSSIA   8",199205,148157,3053330
"RUSSIA   2",199204,128977,2116559
"RUSSIA   0",199205,118217,3709091
"RUSSIA   5",199201,50803,3135824
"RUSSIA   9",199210,57359,1841575
"RUSSIA   7",199202,287143,3162269
"RUSSIA   7",199206,190712,3718830
"RUSSIA   5",199210,111256,2026330
"RUSSIA   8",199203,78772,2982726
"RUSSIA   4",199211,165403,3970369
"RUSSIA   5",199202,82724,3284442
"RUSSIA   3",199201,69544,2899845
"RUSSIA   2",199208,297578,2700894
"RUSSIA   0",199201,142504,2824133
"RUSSIA   9",199206,4396,3728594
"RUSSIA   2",199203,210346,2700846
"RUSSIA   5",199206,115490,3040002
"RUSSIA   1",199205,222914,3631472
"RUSSIA   1",199203,75502,3154201
"RUSSIA   9",199208,19453,1588404
"RUSSIA   8",199204,122509,2725703
"RUSSIA   5",199212,151996,3657742
"RUSSIA   8",199201,199442,2773031
"RUSSIA   5",199204,25079,3673480
"RUSSIA   4",199206,221120,3209057
"RUSSIA   8",199201,142189,2607465
"RUSSIA   4",199201,232114,2505952
"RUSSIA   2",199204,186605,1908159
"RUSSIA   1",199211,290665,2665037
"RUSSIA   2",199210,98564,3719189
"RUSSIA   5",199212,22600,3276274
"RUSSIA   9",199208,76418,2048760
"RUSSIA   7",199203,209383,3067731
"RUSSIA   3",199207,35953,2298906
"RUSSIA   2",199209,101950,2589575
"RUSSIA   5",199201,293423,1795537
"RUSSIA   5",199204,275819,3884470
"RUSSIA   0",199210,232861,3302722
"RUSSIA   4",199209,298967,3074044
"RUSSIA   9",199203,283912,3465710
"RUSSIA   2",199201,289289,3409534
"RUSSIA   1",199212,82072,3038175
"RUSSIA   3",199208,228934,3263813
"RUSSIA   0",199203,32924,4913328
"RUSSIA   4",199206,2581,2360925
"RUSSIA   1",199204,40922,3472294
"RUSSIA   3",199209,116134,2723719
"RUSSIA   7",199208,117955,2951446
"RUSSIA   0",199207,11551,4651827
"RUSSIA   3",199207,245851,2619712
"RUSSIA   2",199204,222632,3471953
"RUSSIA   1",199208,250084,1974072
"RUSSIA   1",199201,202858,2425991
"RUSSIA   9",199206,19411,2794423
"RUSSIA   8",199201,143929,1799261
"RUSSIA   0",199211,79525,3779610
"RUSSIA   2",199202,29603,3133160
"RUSSIA   7",199207,213514,2261713
"RUSSIA   3",199207,56776,2951939
"RUSSIA   3",199207,134146,2946893
"RUSSIA   9",199212,212402,2215318
"RUSSIA   9",199203,19165,2456148
"RUSSIA   2",199212,234437,3118093
"RUSSIA   5",199212,257050,3877860
"RUSSIA   2",199210,186425,1749347
"RUSSIA   3",199204,181324,2716540
"RUSSIA   5",199207,150616,2257902
"RUSSIA   3",199202,199867,3621382
"RUSSIA   7",199209,1219,2495150
"RUSSIA   8",199201,43154,3740211
"RUSSIA   4",199201,43154,2179635
"RUSSIA   7",199202,40123,3840922
"RUSSIA   8",199210,14507,3261420
"RUSSIA   4",199209,212395,1702355
"RUSSIA   9",199209,157244,2661600
"RUSSIA   5",199211,64342,3519584
"RUSSIA   0",199202,206953,2480124
"RUSSIA   7",199210,79130,2289648
"RUSSIA   1",199211,121354,2873851
"RUSSIA   3",199212,239041,2718416
"RUSSIA   4",199201,275935,4053422
"RUSSIA   9",199204,73037,2625354
"RUSSIA   1",199204,219739,1720277
"RUSSIA   9",199206,135485,3068777
"RUSSIA   4",199208,84317,3320252
"RUSSIA   9",199209,47596,1958397
"RUSSIA   0",199211,166141,3042369
"RUSSIA   0",199202,191758,1746354
"RUSSIA   5",199203,208736,2794705
"RUSSIA   7",199201,79033,3907427
"RUSSIA   6",199210,116294,2444743
"RUSSIA   3",199212,48595,2616248
"RUSSIA   6",199207,110794,2790509
"RUSSIA   9",199206,85277,1836915
"RUSSIA   9",199209,158062,2860477
"RUSSIA   8",199204,113836,2255489
"RUSSIA   0",199205,86966,3133723
"RUSSIA   3",199204,157106,3304810
"RUSSIA   5",199207,260612,3679874
"RUSSIA   6",199204,236977,2251627
"RUSSIA   9",199210,18031,2263861
"RUSSIA   5",199204,183391,2519399
"RUSSIA   5",199202,98719,1848009
"RUSSIA   3",199206,172885,3877169
"RUSSIA   8",199207,66842,3708001
"RUSSIA   5",199208,10087,3089885
"RUSSIA   4",199208,48439,3785185
"RUSSIA   7",199209,157249,3688920
"RUSSIA   0",199201,218413,3121953
"RUSSIA   2",199212,208562,4111445
"RUSSIA   4",199205,1600,4696380
"RUSSIA   6",199209,55340,2830641
"RUSSIA   0",199201,220226,2960820
"RUSSIA   8",199210,4240,3412844
"RUSSIA   6",199206,33877,2559538
"RUSSIA   8",199204,234608,3045569
"RUSSIA   1",199202,95689,2454055
"RUSSIA   5",199202,43672,1727208
"RUSSIA   8",199212,209239,3102058
"RUSSIA   9",199210,159551,4215006
"RUSSIA   0",199203,164227,2606176
"RUSSIA   7",199202,222905,2917497
"RUSSIA   2",199205,266422,2187237
"RUSSIA   2",199211,294244,2925315
"RUSSIA   0",199211,166183,3407807
"RUSSIA   8",199203,285785,3558690
"RUSSIA   2",199210,46960,2928032
"RUSSIA   7",199203,169900,4305312
"RUSSIA   1",199208,16331,2153991
"RUSSIA   2",199210,111913,4289914
"RUSSIA   0",199206,20299,3412690
"RUSSIA   1",199211,2653,2065859
"RUSSIA   6",199201,190223,4188294
"RUSSIA   1",199205,157633,2432268
"RUSSIA   2",199212,129644,1710050
"RUSSIA   1",199211,251861,2224440
"RUSSIA   8",199203,168343,2508709
"RUSSIA   5",199205,154367,3016782
"RUSSIA   0",199204,248354,3937314
"RUSSIA   7",199201,6955,2682357
"RUSSIA   2",199211,270577,3638257
"RUSSIA   8",199201,248026,3539332
"RUSSIA   7",199206,213983,3136798
"RUSSIA   9",199204,130994,3402694
"RUSSIA   5",199204,192103,2635368
"RUSSIA   9",199205,297091,3673329
"RUSSIA   5",199207,172948,1994528
"RUSSIA   9",199204,133706,4316224
"RUSSIA   4",199208,299176,4211137
"RUSSIA   3",199208,37306,1940772
"RUSSIA   7",199204,186854,4123625
"RUSSIA   7",199209,238157,1725013
"RUSSIA   2",199207,160238,1993559
"RUSSIA   2",199211,246767,2173008
"RUSSIA   6",199206,147893,3018166
"RUSSIA   3",199210,223148,3490860
"RUSSIA   4",199201,119656,2826356
"RUSSIA   7",199201,26090,3891686
"RUSSIA   0",199201,279179,2703523
"RUSSIA   3",199203,15188,2510864
"RUSSIA   9",199208,69004,2776872
"RUSSIA   7",199201,40151,2539341
"RUSSIA   3",199205,163828,2530600
"RUSSIA   1",199210,215569,3614869
"RUSSIA   3",199209,30338,4466437
"RUSSIA   7",199212,282223,2326014
"RUSSIA   8",199209,19015,3223945
"RUSSIA   5",199202,249706,2680044
"RUSSIA   6",199204,104333,2453918
"RUSSIA   0",199202,293911,2568103
"RUSSIA   2",199206,77221,2820945
"RUSSIA   6",199211,249788,1795705
"RUSSIA   6",199201,277276,2934740
"RUSSIA   3",199204,91640,3771885
"RUSSIA   3",199209,64340,3350479
"RUSSIA   9",199210,297412,5069900
"RUSSIA   8",199210,102446,3467957
"RUSSIA   1",199201,94588,4636385
"RUSSIA   0",199209,38203,2731152
"RUSSIA   1",199207,117994,3360583
"RUSSIA   3",199202,40627,2390289
"RUSSIA   0",199207,86231,3941383
"RUSSIA   5",199203,111154,2585292
"RUSSIA   5",199204,266665,3693209
"RUSSIA   4",199204,69628,2676888
"RUSSIA   2",199204,84211,2765322
"RUSSIA   1",199212,105152,1633762
"RUSSIA   5",199209,114310,1655225
"RUSSIA   2",199202,217561,3998858
"RUSSIA   5",199210,99607,2551460
"RUSSIA   7",199210,295663,2667444
"RUSSIA   0",199210,81628,2902100
"RUSSIA   4",199212,295301,3778840
"RUSSIA   2",199204,46141,3572659
"RUSSIA   4",199202,165904,3443812
"RUSSIA   9",199210,76882,2396811
"RUSSIA   7",199207,280054,3202152
"RUSSIA   2",199208,38785,3407216
"RUSSIA   7",199207,210142,3600137
"RUSSIA   4",199203,27343,3701445
"RUSSIA   4",199212,140735,4851188
"RUSSIA   0",199211,251206,4133106
"RUSSIA   2",199208,135649,1730571
"RUSSIA   6",199204,138754,3142098
"RUSSIA   9",199206,51328,2700500
"RUSSIA   3",199206,13984,2140081
"RUSSIA   9",199211,30614,3770499
"RUSSIA   9",199208,76904,2979120
"RUSSIA   5",199211,178036,3014692
"RUSSIA   1",199207,293038,2020181
"RUSSIA   4",199201,218471,3166020
"RUSSIA   4",199202,299975,4838244
"RUSSIA   4",199207,125470,2793764
"RUSSIA   3",199208,164342,2923125
"RUSSIA   9",199210,25454,2826088
"RUSSIA   5",199208,122539,2000273
"RUSSIA   3",199202,210517,3030919
"RUSSIA   1",199210,80299,5191552
"RUSSIA   0",199203,295654,3379992
"RUSSIA   4",199212,199763,3364418
"RUSSIA   1",199206,10237,4392542
"RUSSIA   0",199204,279370,3361808
"RUSSIA   0",199209,245980,3608613
"RUSSIA   9",199202,284617,2669415
"RUSSIA   8",199207,193855,2217004
"RUSSIA   2",199202,205543,3160244
"RUSSIA   7",199208,17809,2742192
"RUSSIA   4",199201,183301,3565846
"RUSSIA   4",199211,154388,3120233
"RUSSIA   2",199209,289087,3368370
"RUSSIA   9",199210,76313,2743967
"RUSSIA   1",199208,177659,4612697
"RUSSIA   9",199203,86393,4181654
"RUSSIA   8",199211,62858,3315146
"RUSSIA   1",199208,226966,2401806
"RUSSIA   8",199210,107155,3340204
"RUSSIA   5",199206,220603,3945838
"RUSSIA   9",199202,186517,3295535
"RUSSIA   7",199201,8905,2737218
"RUSSIA   1",199202,137056,2134734
"RUSSIA   9",199205,299419,3930030
"RUSSIA   8",199203,79771,2254608
"RUSSIA   1",199208,38360,2010744
"RUSSIA   5",199206,276145,3751615
"RUSSIA   1",199211,279376,2951301
"RUSSIA   9",199201,191956,3469563
"RUSSIA   6",199211,275251,2382675
"RUSSIA   5",199209,174376,2467238
"RUSSIA   1",199204,79397,2617285
"RUSSIA   8",199202,216677,2107215
"RUSSIA   3",199204,66947,1997896
"RUSSIA   1",199206,10957,2620520
"RUSSIA   8",199211,195196,1886608
"RUSSIA   8",199208,285394,3500933
"RUSSIA   3",199202,298838,4867008
"RUSSIA   0",199210,106537,2928722
"RUSSIA   5",199209,184948,3055136
"RUSSIA   1",199203,207062,3163116
"RUSSIA   4",199203,296623,2225363
"RUSSIA   9",199205,82366,3151986
"RUSSIA   3",199211,62579,3023437
"RUSSIA   6",199208,22300,2115200
"RUSSIA   5",199211,2333,3955542
"RUSSIA   7",199204,203101,2480159
"RUSSIA   4",199209,14410,3349160
"RUSSIA   9",199206,37375,4715057
"RUSSIA   1",199201,164491,4716458
"RUSSIA   3",199208,246784,2436599
"RUSSIA   0",199211,10213,3401117
"RUSSIA   2",199203,257794,2119776
"RUSSIA   3",199207,146336,3653378
"RUSSIA   5",199211,152536,3398920
"RUSSIA   4",199207,193208,3706193
"RUSSIA   8",199202,167696,4009950
"RUSSIA   9",199207,256667,3230993
"RUSSIA   0",199209,111739,1562651
"RUSSIA   8",199210,231685,3544899
"RUSSIA   3",199209,264698,2637796
"RUSSIA   8",199211,119858,4457675
"RUSSIA   8",199209,75143,2368715
"RUSSIA   9",199202,52567,2359875
"RUSSIA   2",199204,81889,1911421
"RUSSIA   5",199208,101392,1995072
"RUSSIA   4",199202,227150,2050751
"RUSSIA   6",199205,32518,2036876
"RUSSIA   2",199206,210701,1855877
"RUSSIA   9",199208,175660,3790461
"RUSSIA   0",199201,355,3107828
"RUSSIA   7",199204,127045,1541287
"RUSSIA   3",199202,299773,4329521
"RUSSIA   9",199207,191989,3942416
"RUSSIA   1",199204,173171,3010399
"RUSSIA   3",199210,276616,2563080
"RUSSIA   3",199210,293944,3065685
"RUSSIA   2",199211,165965,2687489
"RUSSIA   8",199207,44485,3396462
"RUSSIA   1",199203,259867,2315551
"RUSSIA   1",199203,205432,4325997
"RUSSIA   6",199203,155483,3710064
"RUSSIA   9",199208,214030,3264497
"RUSSIA   3",199210,131659,3544875
"RUSSIA   5",199203,157817,2422352
"RUSSIA   3",199211,276019,3088545
"RUSSIA   6",199212,226024,2919762
"RUSSIA   6",199205,55969,2481093
"RUSSIA   0",199208,50435,4180015
"RUSSIA   4",199207,174464,2440663
"RUSSIA   5",199203,184831,4427819
"RUSSIA   0",199212,279901,2247336
"RUSSIA   2",199208,167765,2786826
"RUSSIA   5",199209,56810,2757828
"RUSSIA   9",199212,23350,3930276
"RUSSIA   3",199212,264520,3289689
"RUSSIA   3",199208,296110,2864534
"RUSSIA   4",199207,234107,2045919
"RUSSIA   9",199207,60661,2443600
"RUSSIA   7",199208,224339,3366209
"RUSSIA   5",199209,45724,3147544
"RUSSIA   0",199205,112201,3774626
"RUSSIA   6",199205,149812,3593826
"RUSSIA   4",199207,133043,2055005
"RUSSIA   7",199212,3151,2368313
"RUSSIA   6",199206,85387,1840470
"RUSSIA   9",199211,174571,3441660
"RUSSIA   3",199206,275734,1865915
"RUSSIA   9",199205,42526,4619161
"RUSSIA   1",199210,191375,2766911
"RUSSIA   7",199212,134806,2773334
"RUSSIA   3",199205,28907,2558162
"RUSSIA   4",199210,184429,3702161
"RUSSIA   2",199209,244081,3222860
"RUSSIA   3",199207,218620,2507745
"RUSSIA   4",199209,206419,3537243
"RUSSIA   1",199207,50672,2192102
"RUSSIA   7",199210,10054,3632280
"RUSSIA   2",199212,223325,1752064
"RUSSIA   7",199211,85811,3611743
"RUSSIA   7",199207,165106,3112208
"RUSSIA   6",199207,204703,4842175
"RUSSIA   3",199203,446,3276088
"RUSSIA   0",199207,241735,2500891
"RUSSIA   2",199210,150817,3330359
"RUSSIA   7",199202,164324,2204592
"RUSSIA   1",199208,256859,2833249
"RUSSIA   4",199209,81395,1800591
"RUSSIA   6",199205,234646,3284387
"RUSSIA   3",199201,140201,2001925
