"d_yearmonthnum","lo_custkey","lo_revenue","lo_suppkey"
199202,18400,2431031,4235
199208,90524,4165211,3626
199208,90524,2283760,1039
199208,90524,2599960,12044
199208,90524,3792648,4107
199206,214165,3392657,16002
199208,70810,2759042,10547
199201,57244,1846686,9026
199201,63235,3238120,4620
199208,138922,3705050,19386
199210,255871,2706208,6555
199205,181292,2373120,16566
199205,181292,2915202,11872
199205,181292,3677644,19543
199211,186329,2918324,16186
199202,178912,4289229,3825
199203,38644,2309083,18966
199203,38644,2384624,8209
199205,92039,3902960,17478
199204,121286,1444912,12998
199204,121286,2651206,5226
199202,228713,3888438,16872
199202,228713,3828288,18024
199210,297640,2696697,4327
199205,126908,2188887,2515
199205,126908,3962852,5853
199202,256781,2262625,15974
199210,273049,2562716,12524
199212,230459,2608223,5266
199210,177874,2397174,17217
199210,177874,2536759,12511
199201,286445,2223329,12342
199201,286445,1710512,15857
199201,286445,3684384,997
199201,286445,2715289,14100
199201,286445,3235005,9970
199204,127924,4629002,7470
199212,149128,2106520,16921
199208,98830,2293632,12047
199208,98830,2128040,1905
199208,98830,4077969,10650
199207,136531,2333649,1035
199203,159068,3019512,2573
199201,155800,4235640,192
199204,255574,2258601,16800
199204,255574,3050688,8037
199207,241180,3012365,7489
199205,133984,3067306,15025
199205,133984,2973526,10809
199205,133984,2458600,18072
199205,132214,3574028,4340
199211,181252,3387001,1618
199211,181252,2274652,17415
199211,181252,2580091,12236
199208,162716,2507956,7827
199208,162716,2651288,17674
199208,162716,2125431,19609
199203,191785,2050493,13521
199203,191785,2324048,5749
199211,150544,3945039,11811
199211,150544,2665699,11239
199211,150544,3055364,2915
199211,198595,2272400,10681
199207,79184,2149529,2158
199207,79184,3264969,18434
199205,194050,2848776,7286
199211,196226,2896440,1285
199210,273169,4261802,4336
199207,262316,2570986,12294
199210,74500,2944347,9388
199210,74500,2720044,19349
199208,275045,3002178,11023
199201,139837,2875500,12884
199203,29893,2450866,11367
199206,241663,3289539,2451
199206,127690,3554442,141
199210,43019,3143725,8112
199210,43019,2452361,14318
199204,245876,2605973,17319
199203,77863,3197205,720
199207,199655,2176196,10732
199210,140317,2820961,13511
199206,213905,3723800,19709
199211,30947,4468578,17876
199211,30947,3804892,11587
199208,289084,2535650,14738
199205,285166,3147893,7847
199210,112937,4098455,18868
199201,46174,2008815,3306
199201,46174,2022990,9446
199201,46174,4350737,7609
199207,285509,2015323,13232
199205,255413,2992896,2561
199205,255413,3952668,9009
199205,195661,1593269,15540
199203,162745,4336267,14896
199209,217942,2877990,16072
199209,256243,2491970,12681
199209,256243,3033973,8405
199210,13792,2405130,767
199210,13792,3654649,4044
199210,13792,3671185,15855
199210,13792,4388380,6076
199210,13792,3248762,12489
199210,184124,2786505,10544
199210,184124,2748708,12671
199210,184124,4296216,4898
199210,182260,2201398,289
199212,16646,3299361,16934
199205,122089,2964026,16116
199201,250268,3554870,19614
199202,246992,3248917,17963
199204,203756,2632944,11452
199210,295756,1613364,11231
199210,295756,3978833,6958
199210,295756,3539747,18994
199208,242447,4684524,11810
199208,242447,2801018,19618
199210,1921,2968950,14265
199202,106895,3413817,2616
199210,85423,3533926,15828
199210,85423,3093284,5998
199210,85423,2035638,16798
199207,255773,4454467,6777
199203,247636,3132583,13523
199211,157174,2923780,3913
199202,126307,3698693,13024
199209,173096,4723008,19717
199204,112885,3496026,9744
199204,112885,4231234,9744
199204,107092,2562662,8387
199204,107092,3940605,2025
199204,107092,1612704,5974
199210,110302,3144158,16337
199203,44194,3031949,13411
199203,60421,3155268,5392
199205,133091,1832352,9042
199207,117074,3791507,2451
199207,117074,3343597,16654
199203,253646,2428355,15748
199203,253646,2286761,16223
199211,24286,3149118,16465
199211,24286,3518112,6737
199206,270622,4161982,9630
199206,270622,3349973,1899
199207,200065,4155200,11393
199211,248396,2700661,17729
199211,248396,2106216,10292
199211,248396,2623344,1327
199207,289634,4060755,19016
199204,166906,2966032,7792
199210,241321,2527627,9515
199210,241321,2666652,8316
199207,267631,1973649,19799
199207,267631,3488849,15852
199211,283963,1833242,11702
199203,284827,2244677,4579
199203,284827,1950674,19290
199201,12692,2736194,6745
199201,12692,1793568,6445
199211,162835,3541985,1511
199207,156656,1872076,17306
199207,39061,3296201,18738
199205,112723,3281572,11130
199210,154561,2765660,9756
199210,239933,2363104,11397
199201,140533,4017548,5062
199201,140533,2456833,9064
199209,30392,2097761,5950
199210,257980,3415519,7155
199210,257980,3862672,19461
199210,131501,2823045,7522
199205,202715,3802396,6171
199205,202715,2304082,6826
199210,241111,2475943,5922
199205,211213,3337320,17278
199208,210166,2609582,3489
199208,210166,2007817,16895
199201,49697,2400622,7075
199201,22424,3590896,7505
199201,22424,2678477,7940
199205,71740,2841720,16102
199210,74971,3392712,2869
199210,74971,4498455,4720
199210,74971,4005381,1267
199201,5428,2417903,17682
199209,803,4453401,16761
199204,295702,3427956,4773
199204,295702,2471696,9527
199210,24770,3016776,17724
199206,178711,3096518,19752
199201,108610,2365542,9908
199202,107260,2841408,13665
199209,135991,4467390,17741
199209,135991,3339422,17934
199205,176377,4247386,18368
199202,264557,2628862,6743
199202,124519,2445112,2761
199212,73475,2262280,2193
199212,73475,1683034,14962
199205,280294,2709888,19772
199208,56863,2872825,63
199208,56863,4336248,11191
199208,56863,3320889,3846
199208,56863,2535321,8071
199208,186112,1926324,3868
199204,208114,4598965,5820
199208,228683,3375036,3200
199208,228683,1894678,1289
199208,228683,3575705,5638
199208,228683,2839288,17102
199208,228683,4298943,12909
199208,286955,3238876,19920
199204,296381,2449433,14021
199204,296381,3053553,2878
199209,273749,3725991,15515
199206,280882,3232800,8978
199212,238409,2769799,6967
199210,57811,2633610,17235
199205,196328,2757597,9348
199203,146167,4703510,19605
199212,32077,2484288,12363
199206,38485,3377400,10906
199204,264590,2347275,5800
199204,264590,2479105,17101
199204,159571,2471838,12581
199204,159571,3402165,14562
199201,107746,3002220,16454
199204,231382,2685384,3069
199208,137041,3245953,12238
199203,37999,2771193,3861
199207,238042,3496561,1487
199207,238042,2875501,8280
199207,79045,2099369,17054
199204,108316,2551731,8745
199207,243190,2746280,19223
199207,243190,1916659,3695
199208,197488,4003541,16504
199208,197488,4712859,4887
199207,263006,3967801,10465
199207,263006,2468495,18825
199207,263006,4143823,9077
199205,238288,3126195,13070
199204,24986,2141926,10451
199204,24986,2232667,19309
199206,253027,2875150,10794
199202,236939,3412456,15967
199201,17890,3151302,19215
199210,140825,2708711,3259
199204,205480,3020653,7085
199211,22196,2188325,4268
199211,22196,2416845,10966
199211,22196,2657462,18348
199205,20740,2980044,17851
199203,274570,2672392,9823
199208,91307,2754553,2557
199208,91307,2211262,5051
199208,171358,2259853,5705
199208,51326,3678924,16745
199204,159728,2947077,17823
199211,244928,4347272,7240
199211,244928,3244082,9256
199206,199240,2234139,1788
199205,299060,3234991,4257
199211,54047,4859775,1186
199211,54047,2444419,19918
199210,209335,3149616,9125
199210,209335,3130384,11882
199201,31667,2174796,8624
199206,279964,1857789,16666
199206,279964,2776483,4678
199208,35347,3610656,4367
199203,104200,2747442,14448
199203,104200,2576090,14295
199208,168491,3012082,8524
199208,168491,4137974,6702
199210,218275,3474540,754
199208,277177,2905955,12941
199210,193516,2085850,1786
199209,19852,2547384,15292
199206,238144,3623330,13594
199210,148642,3380115,19985
199210,148642,2837899,13078
199209,140543,3060105,3839
199209,140543,1749463,522
199205,72125,4321336,10287
199209,194443,2648007,16148
199203,149789,1994039,7336
199203,149789,2404125,3485
199205,164992,2013778,4331
199209,93817,1817329,8839
199207,151966,2857559,19634
199207,151966,2602254,7216
199204,31517,2873925,4354
199204,31517,2545136,8890
199211,231740,3003598,5477
199211,231740,3163435,10631
199207,239542,3869867,1771
199202,280798,2996425,11612
199202,280798,2717341,5840
199204,249173,1953631,7344
199204,249173,4054752,14739
199204,249173,4021782,10747
199201,129916,3259193,867
199201,129916,2405803,1733
199206,201266,3492596,9108
199206,201266,2546640,4237
199206,201266,3308964,11999
199210,59053,3031198,10346
199204,25063,2345557,4185
199201,59002,1633315,284
199207,17536,2685152,6919
199207,17536,3860550,17624
199207,17536,2690065,10241
199210,97228,3595003,9327
199204,272345,2051728,1014
199204,44470,2762615,9097
199205,137789,3247263,6927
199205,137789,4019206,16364
199201,44986,2555916,17094
199203,42652,2838250,17475
199204,92977,3702034,1544
199204,92977,2759883,8357
199204,92977,2109499,7326
199211,108028,2583740,12728
199212,191755,2798841,16904
199212,191755,2327711,9457
199202,82436,2640827,19582
199201,93320,1927152,185
199206,75121,2316609,7525
199209,154411,2663923,2458
199211,157000,4058741,2064
199211,157000,2109074,9564
199211,157000,3439136,12354
199202,191363,2724216,196
199209,142991,2571328,16270
199209,259793,4154525,10811
199202,130057,1867767,19977
199207,59053,3664051,3147
199207,59053,2094079,6206
199207,59053,3227581,8511
199210,277553,2325981,123
199210,131881,4019385,17601
199202,223709,2431238,640
199202,23309,3842056,13817
199202,23309,2770457,18870
199205,11323,2645825,16251
199211,203011,3098857,9763
199206,124363,1947792,16242
199206,131698,4602231,6086
199208,270214,2677623,9228
199208,123793,3018470,112
199211,244369,4000070,14691
199211,244369,2524502,8399
199211,244369,2661749,14279
199205,67810,2823681,7746
199212,221063,1757869,10238
199205,167863,2565543,8529
199209,106138,3846766,8985
199209,185125,2160397,8943
199209,185125,2552659,856
199209,185125,4213627,13490
199209,185125,3196281,18048
199201,135134,1815730,19927
199204,221431,3496346,1062
199209,262126,4724625,4907
199208,254210,1928619,711
199210,232703,2291295,8132
199205,272233,3766350,12880
199203,125002,1805590,12939
199212,13405,1883053,4823
199209,234571,2677862,713
199209,234571,3533129,10891
199209,234571,3294802,9314
199205,270553,2094859,17961
199204,259723,4638870,10860
199212,33637,3010126,9778
199205,170236,3192414,7091
199205,170236,2594853,5022
199201,212572,3073513,1679
199204,82021,3988080,7164
199201,55057,4190364,12773
199212,57088,3992664,6814
199212,57088,3895280,4483
199212,63998,3347309,9991
199212,63998,3206795,11125
199212,63998,3158901,5770
199207,168626,2280787,19523
199204,278269,3641456,17246
199204,278269,2297043,7372
199202,150661,1865798,18347
199202,150661,2382084,13695
199208,70909,2945834,17154
199208,70909,4896797,4499
199208,70909,3966948,8127
199208,70909,2038419,6645
199208,70909,3049170,14741
199207,154696,3115302,14615
199203,13519,2706091,19336
199203,13519,3847313,13194
199203,88540,3045855,9243
199210,220000,2529443,8788
199208,287755,2038226,16725
199210,87023,2198570,5960
199204,139882,3425633,15116
199209,91978,1729638,2253
199209,91978,3479557,9665
199208,244123,1710443,15221
199208,297637,1820291,1171
199205,18739,2035080,15445
199205,18739,2774699,14825
199204,297196,3288752,7671
199211,27980,2928814,12645
199202,20974,3375318,11251
199202,20974,2587244,7245
199202,20974,2995902,18584
199208,195361,2131353,18325
199203,18436,3185062,13841
199203,18436,2417778,9717
199203,18436,2009516,16937
199204,248206,3004672,1479
199205,66068,3642024,15075
199205,66068,2725252,14240
199201,26968,2938551,5986
199201,26968,2110442,8251
199204,84127,2207529,14419
199204,84127,3360082,5874
199212,235891,4568215,18597
199202,145669,2701795,4138
199210,287167,3372749,1959
199207,121921,1758199,13084
199202,121307,2899267,1386
199206,292678,2825797,11452
199203,174451,4082878,12847
199209,238070,3969432,11174
199208,23813,1649822,8358
199208,23813,3512064,3716
199208,23813,2280011,13996
199202,115186,2736950,13735
199201,221185,2960004,9225
199207,47006,2642907,12914
199202,106417,2982963,17972
199211,224638,2583676,13128
199210,151595,3534157,17204
199209,182614,1971242,9389
199209,182614,3352991,19369
199209,182614,2762487,10909
199208,17296,2426340,736
199208,17296,3668768,4501
199204,219754,2857618,16223
199204,219754,1992912,11000
199204,219754,2014971,13065
199205,250886,4476680,11103
199207,101593,3403345,14721
199207,101593,3476450,2387
199202,151801,2049596,2080
199203,220759,2362595,17389
199203,220759,2404007,8963
199201,30709,2861389,11649
199212,235021,2451412,1378
199204,188830,2518544,14100
199204,188830,1656018,5613
199207,155569,3539172,3021
199207,155569,3389873,5374
199204,28166,4132707,15635
199208,71470,2143848,7777
199205,2389,3240010,7599
199211,33574,3450656,19121
199204,149195,3759046,19142
199204,149195,3045852,13618
199204,149195,3651660,10855
199205,115292,2378719,3628
199212,227389,3447240,1826
199210,95971,2900600,13982
199210,95971,2616223,15926
199212,182185,3902619,11066
199211,222947,2480388,18200
199211,222947,1809919,19116
199211,222947,3407064,4986
199208,61114,3521905,5232
199201,262571,2100589,6115
199207,22219,2313425,9458
199207,22219,2282536,2431
199205,283165,2414534,10320
199205,283165,3559675,2467
199205,283165,4303047,2536
199205,283165,3379764,8752
199207,270847,2990167,14682
199207,270847,2371291,12601
199210,218149,2690189,1108
199203,200330,3729138,190
199205,44608,2198322,18828
199204,210694,3858968,11733
199206,294976,4885202,2922
199206,294976,3776215,14263
199201,158377,3267563,13060
199201,158377,3042068,13898
199211,60292,4411661,14253
199211,60292,1895759,2677
199212,23395,2598611,9756
199212,23395,2819573,12414
199210,146362,2458318,18532
199210,146362,3756867,19530
199209,144275,4134925,12926
199209,144275,3249005,11612
199205,194644,2911128,19119
199205,194644,4476804,316
199210,71525,3250590,14082
199209,14885,2623714,14974
199209,120193,2972550,15162
199205,166096,2848269,2466
199208,68803,4492248,7644
199210,60958,3256484,16905
199210,60958,3506782,18679
199210,60958,2380477,12692
199208,226870,2746965,158
199208,226870,3375250,4592
199208,226870,3339324,7658
199211,260455,2675800,9160
199211,260455,2353543,4886
199212,21284,1889276,6269
199203,248054,3926560,11842
199211,143995,2077380,15854
199211,143995,2433295,14288
199211,92095,2573989,10875
199211,92095,3315240,6757
199211,92095,3107710,7750
199209,282742,2728872,12598
199209,282742,4574403,8933
199201,65096,2564071,15636
199207,241163,3678620,2851
199207,241163,3111004,14509
199208,281503,4381445,19481
199208,281503,2221533,11954
199207,287944,3254308,16316
199211,74974,2733912,7159
199211,74974,4341486,4791
199211,74974,3240279,15073
199211,74974,2997049,2105
199212,66473,2746514,17744
199212,66473,2960469,10787
199212,66473,2733807,17674
199202,131593,3980518,25
199206,78739,3647904,3984
199210,176149,2727638,10999
199203,156745,2625484,7635
199210,148006,2466030,5092
199210,148006,3556113,7261
199204,154045,2286455,3496
199204,154045,2528935,19501
199210,197615,2924707,13111
199210,197615,4750036,7033
199202,102292,3318920,8574
199212,184253,3830895,2011
199211,202924,3439793,1709
199211,202924,3297949,17047
199212,2000,2444151,5610
199202,37339,3193183,6471
199209,11900,3663915,12603
199208,135028,3027144,12180
199212,199802,2175933,2029
199212,199802,1488766,6175
199204,245089,1634000,2940
199204,245089,2330653,954
199212,201751,3582631,14484
199212,201751,3392137,12938
199210,18352,2509754,16030
199202,145387,2953859,7424
199202,145387,2392896,5020
199205,298111,3453967,4218
199205,298111,1954366,3695
199209,238784,2243518,7339
199207,91325,1788031,11600
199207,91325,2360484,9593
199204,17023,2865198,4026
199204,17023,3492237,1749
199207,74446,2432948,9026
199207,74446,3287992,11459
199210,139027,2940026,4274
199210,139027,3023723,12812
199207,183316,1709291,11801
199204,39610,3351727,17451
199204,39610,3119523,1513
199211,16339,2628672,7165
199210,239465,2893028,5180
199210,239465,2848722,7768
199210,239465,2465636,5065
199210,239465,1330560,17154
199206,10280,3483578,5648
199206,10280,2325408,14022
199202,65714,3177017,4032
199211,249946,3587247,11138
199203,229637,2042395,10843
199207,67861,2047047,13040
199209,244672,3545990,16753
199209,92696,3099578,18350
199209,92696,4433980,505
199212,118471,3962918,13384
199212,20360,2787486,9732
199210,68305,4241622,18537
199212,8665,3367676,10225
199211,124780,2565721,15460
199209,118249,3096363,11863
199201,226457,3719423,8678
199209,257912,3006367,6773
199209,257912,3033180,13001
199206,223942,1922844,19880
199205,145577,4037081,11810
199205,145577,2706743,14828
199208,12379,3213156,19042
199210,104534,2497542,15705
199201,238496,3483288,16777
199201,238496,3075357,4206
199201,238496,2103667,3898
199201,238496,3821769,7596
199201,246127,2671792,2181
199211,66679,2791035,1754
199211,66679,2558424,12593
199203,141314,2596918,9119
199212,249949,2780341,18637
199212,99994,3407058,695
199210,203515,3324351,2992
199209,163775,1709791,15037
199209,163775,1785696,18292
199209,163775,2988560,10066
199212,54659,2679009,1272
199203,281150,2697885,621
199203,281150,2141598,11722
199203,281150,3543627,16516
199204,129865,3293934,16813
199204,129865,2539366,5370
199202,283985,2205782,4422
199205,148201,2280608,2465
199205,148201,3337456,7266
199205,148201,3165498,16274
199206,198802,2099763,9105
199212,135073,2762312,13402
199212,136496,1308931,15199
199210,37097,2999027,16394
199210,37097,2241268,10265
199201,108571,2954277,11803
199205,33971,3355762,7258
199204,30940,2820235,14513
199210,31021,2242728,14511
199210,31021,3083531,3669
199210,31021,2518703,10168
199211,56764,3109788,7323
199211,56764,1776826,18570
199203,22906,3764520,14850
199211,282316,2529110,13181
199211,282316,4098211,7911
199205,134048,2058315,11671
199205,134048,2338963,19484
199212,279727,3478821,2274
199212,258172,3012201,16863
199212,258172,3175627,12539
199203,116782,2714582,399
199203,116782,2800428,15768
199204,67474,3320666,4067
199206,109967,2668398,6635
199206,109967,4055742,12553
199201,12331,4096456,13796
199209,96422,2067022,19355
199203,215281,2408316,15654
199203,215281,2453825,14305
199203,215281,1961990,7459
199203,215281,2622705,2759
199205,171110,3770512,10653
199208,10615,1837453,9171
199211,91291,3324650,9164
199202,276805,1578376,17081
199209,11141,3335789,9301
199211,132374,1821071,9450
199211,132374,3232265,2556
199208,254203,2999020,16990
199211,67336,3348587,14151
199211,67336,3718962,7266
199211,67336,2173676,10901
199203,59263,3501125,19063
199206,64078,1929636,620
199209,238642,1935556,8020
199209,238642,2396715,14674
199203,238211,2512648,2569
199203,238211,2589218,18750
199211,226870,2271509,18227
199207,141736,2988891,1052
199207,141736,2112649,13674
199202,207613,2248691,774
199201,4117,2436594,3405
199210,108097,3507995,19339
199210,275929,2807511,10398
199203,107468,4197058,5147
199203,16969,2718304,333
199203,16969,3417769,9221
199203,131041,2993472,8152
199211,16063,2866138,13912
199204,202409,3248004,8813
199204,202409,3743860,17205
199201,140138,1939778,9082
199201,56107,3734943,19827
199205,164155,1994255,13292
199205,164155,1922961,3358
199205,151106,2519504,7424
199209,272227,3046659,5659
199207,101321,2716500,19939
199206,91312,2864269,9378
199211,148354,1742372,19632
199202,99095,3133880,10322
199202,99095,3719963,18108
199206,148114,2157701,11821
199212,128098,3819104,3544
199208,9737,2825186,14576
199208,9737,3363090,8279
199208,9737,2175709,1415
199208,9737,2965186,11723
199205,20398,3989726,2189
199204,293281,2314485,8523
199204,293281,2665965,9088
199204,293281,3315702,8373
199207,273722,4162004,5556
199209,160534,2399411,5745
199209,160534,2339999,10677
199203,96586,2706865,16905
199209,261541,2911063,12531
199203,145153,2474154,3100
199204,234850,2866163,17087
199204,234850,3888948,14297
199204,234850,4104517,16708
199202,48313,3238227,5713
199209,191389,3095392,3856
199206,26180,1989868,2241
199208,292252,3490468,11095
199209,212789,2381356,5610
199209,212789,2951998,7008
199208,138160,2057285,13408
199203,47260,3104871,1113
199211,146782,1904819,17832
199206,146047,2641709,6032
199206,146047,1996513,2675
199211,35461,2924582,13888
199210,101707,2664864,10406
199204,258398,2184014,11617
199206,45796,3496773,18813
199206,45796,4082282,4592
199205,124027,3554928,14563
199205,124027,2600323,9526
199210,272695,3606059,16109
199210,272695,3324910,8202
199207,108556,3088679,13248
199207,108556,2420512,14052
199209,60817,3055633,6189
199203,29611,2215384,7850
199203,29611,3526560,3827
199209,70237,3030822,4058
199209,70237,3098075,19437
199203,68764,2675976,3243
199204,87134,3531758,3356
199204,87134,2465692,9526
199203,150310,2916535,13381
199210,223022,3200312,4956
199210,223022,3921477,19891
199210,223022,2805446,4706
199204,4189,4023482,16455
199206,118579,3937096,6549
199207,159592,4253886,3076
199207,159592,4747050,14226
199207,159592,2497338,9950
199207,108784,2715720,11327
199207,108784,3405125,10092
199207,76580,2307458,13261
199204,64298,3052675,6354
199203,246902,2327600,4894
199208,73409,4338785,4140
199208,73409,2398934,4917
199203,204781,4091448,17662
199211,291191,1927421,15225
199211,291191,1972105,18318
199211,291191,2618105,19948
199211,143659,3262297,2369
199211,173867,2225264,11215
199211,173867,4156768,17251
199211,173867,3025350,4992
199211,173867,2739618,14687
199204,62146,2441986,17021
199204,167723,4095685,13304
199204,167723,2284560,3717
199202,47296,2437617,1467
199212,72118,3638530,17621
199205,51028,2667315,13088
199208,250978,2848463,12984
199207,195049,3284847,5164
199201,47746,2936703,9044
199209,246178,1526970,14880
199212,229942,2975370,8921
199210,198419,4220795,4848
199201,28642,2767680,8309
199201,28642,3260520,4535
199203,153745,3560287,2112
199203,107677,1494129,11873
199203,127057,2949150,5174
199209,21803,3039145,9849
199211,298561,3914532,1815
199211,298561,3620010,1805
199210,136529,2544183,3966
199210,136529,3181448,13155
199206,231023,3875247,12854
199206,231023,2573151,1962
199206,231023,3145717,12440
199206,231023,3072733,16468
199206,247076,2859707,18731
199206,247076,3670254,10886
199201,293678,3930352,14419
199201,293678,1908861,15064
199208,9430,4016922,5491
199208,57818,3757416,9820
199208,88100,2966402,6101
199201,77446,2241475,18030
199209,141212,4325024,11846
199204,142046,4203612,9383
199210,82210,2030520,16821
199210,82210,3175589,5207
199210,82210,3064770,16358
199210,1726,2334097,9807
199207,26431,2932199,16208
199212,251800,2162220,2812
199212,251800,1924218,7331
199207,286808,2160900,4513
199203,212567,2708880,13952
199205,197083,3123462,83
199210,20338,2759258,13471
199207,124999,2119369,9042
199208,91190,3269121,10236
199207,220576,3012629,1838
199210,103891,2738292,949
199210,103891,2516183,16140
199209,227588,2906183,1490
199211,109408,4670223,13529
199201,24055,2747027,11850
199201,14257,3965303,11491
199201,243610,4831348,9741
199210,231187,2493408,12618
199201,172607,2902074,17224
199201,172607,4524814,11280
199201,172607,3323355,6571
199204,136663,4667375,4778
199204,136663,4281578,3564
199210,244622,3357070,10311
199210,244622,4741050,10584
199210,244622,2836581,7049
199210,244622,2786041,12885
199211,25648,3627615,18467
199211,25648,2909542,10455
199201,228655,4169602,19189
199206,82486,2667083,12549
199206,82486,3620058,10545
199201,48451,2684470,12552
199201,177913,3668568,13640
199206,166882,1678227,7625
199203,291766,2287663,6598
199203,291766,2086928,9923
199209,198625,2534532,17019
199203,244322,2019680,14797
199203,244322,3323523,9150
199205,112072,4047108,952
199204,34462,2880468,9575
199211,97723,2244393,5326
199205,222490,3176664,19829
199205,222490,3179311,9321
199202,224813,3922611,10561
199202,5320,2219639,19420
199205,90118,2782073,18271
199205,90118,2182919,2464
199205,90118,2724190,17901
199204,190948,2664541,13217
199209,96682,1930810,5685
199203,199196,2808995,15315
199210,181468,3994791,1370
199210,181468,4170082,14235
199210,181468,3367449,14976
199207,46210,2108116,1938
199207,46210,4290398,8899
199208,39854,2492304,6469
199208,39854,2629703,11892
199202,279079,4801104,8419
199202,279079,1910965,6048
199202,279079,2480159,11670
199209,187627,2241140,4790
199209,187627,2484517,13781
199209,187627,1578340,11163
199206,239716,2997440,15598
199206,239716,3285925,16775
199206,239716,2565356,17779
199203,63632,3299723,6312
199208,175651,1739016,2167
199212,226997,3873943,5610
199211,7312,2266474,5671
199211,7312,3221676,10528
199211,7312,4245040,19260
199208,150496,3937459,3724
199207,113765,2845962,13923
199211,214994,2479014,10582
199205,88244,2637726,7797
199202,200410,3288519,11287
199202,200410,2952731,17315
199202,200410,2122255,16436
199202,200410,2570279,6594
199202,218558,2691284,3330
199202,218558,2552635,19233
199203,103781,4162275,16624
199209,263600,2748674,7286
199209,263600,2070927,8968
199211,197797,4432608,4892
199206,141593,3237259,16555
199211,148058,3041317,2169
199208,282044,1952639,6447
199208,282044,2778652,14438
199201,201095,2880202,16825
