"d_year","s_city","lo_custkey","lo_revenue"
1995,"UNITED ST0",2936,6458746
1995,"UNITED ST0",4303,591489
1992,"UNITED ST0",27620,3202012
1993,"UNITED ST9",19691,188110
1994,"UNITED ST3",2527,1979965
1994,"UNITED ST9",24494,5680395
1992,"UNITED ST3",15838,4504248
1993,"UNITED ST1",14986,4880991
1996,"UNITED ST0",643,5391612
1993,"UNITED ST5",25504,6297848
1993,"UNITED ST3",25504,1513072
1997,"UNITED ST0",27310,4090102
1995,"UNITED ST0",16783,6363564
1995,"UNITED ST3",24926,1340848
1997,"UNITED ST3",15673,4904115
1992,"UNITED ST0",15823,1611135
1997,"UNITED ST9",12356,1176432
1993,"UNITED ST1",8317,1043235
1993,"UNITED ST1",8317,9196719
1997,"UNITED ST9",20170,4843753
1993,"UNITED ST2",27992,8261325
1997,"UNITED ST1",13232,3033594
1996,"UNITED ST4",13051,5213052
1992,"UNITED ST5",21853,2461630
1997,"UNITED ST9",17108,2215951
1994,"UNITED ST2",25918,6636449
1995,"UNITED ST1",25810,5496824
1994,"UNITED ST7",2683,2408076
1995,"UNITED ST9",8776,5714975
1992,"UNITED ST8",2236,4585758
1996,"UNITED ST3",22600,3288294
1996,"UNITED ST3",29585,641749
1995,"UNITED ST1",12997,5160390
1992,"UNITED ST0",3670,2055742
1992,"UNITED ST1",23965,4168714
1993,"UNITED ST7",10739,4490069
1994,"UNITED ST0",16622,2995945
1993,"UNITED ST7",21832,1631339
1997,"UNITED ST4",21343,5244820
1993,"UNITED ST2",14815,2011757
1992,"UNITED ST7",23560,5824634
1992,"UNITED ST1",27365,5016200
1995,"UNITED ST1",13271,1792687
1994,"UNITED ST8",7093,6882491
1993,"UNITED ST3",18481,2169538
1995,"UNITED ST0",3551,2241479
1997,"UNITED ST9",9553,2582746
1995,"UNITED ST1",1465,1499899
1997,"UNITED ST7",7480,2546448
1997,"UNITED ST1",17353,3494156
1994,"UNITED ST0",9965,2461525
1996,"UNITED ST4",19517,1168228
1995,"UNITED ST4",29311,3910140
1993,"UNITED ST0",16009,4036193
1992,"UNITED ST6",17614,2464289
1993,"UNITED ST7",28727,4181598
1996,"UNITED ST2",8164,565614
1995,"UNITED ST6",11551,3629894
1996,"UNITED ST9",16219,453489
1996,"UNITED ST7",25583,4101500
1994,"UNITED ST6",11060,5430100
1996,"UNITED ST0",27331,1878812
1993,"UNITED ST9",22339,4674265
1992,"UNITED ST1",19204,4199989
1997,"UNITED ST7",7522,5692877
1995,"UNITED ST4",21253,4533657
1996,"UNITED ST0",10637,5921698
1996,"UNITED ST8",10637,1740524
1995,"UNITED ST9",4781,2617750
1992,"UNITED ST3",12647,397094
1995,"UNITED ST4",18557,970894
1997,"UNITED ST9",10201,3445478
1992,"UNITED ST7",6785,2940916
1994,"UNITED ST0",24467,2124293
1996,"UNITED ST7",29161,877866
1992,"UNITED ST4",27394,6293791
1995,"UNITED ST4",29797,5477856
1994,"UNITED ST8",21127,4719053
1992,"UNITED ST3",28135,2599147
1995,"UNITED ST3",19000,5045288
1996,"UNITED ST0",9166,6270521
1995,"UNITED ST5",18262,8047420
1994,"UNITED ST2",27416,1863940
1997,"UNITED ST3",151,5585104
1993,"UNITED ST8",20515,2376042
1994,"UNITED ST8",15194,914244
1994,"UNITED ST3",15194,6381381
1993,"UNITED ST5",10600,2061035
1996,"UNITED ST7",4793,5002001
1994,"UNITED ST8",17791,628526
1992,"UNITED ST1",2786,979133
1992,"UNITED ST8",15436,377986
1992,"UNITED ST9",21329,552976
1995,"UNITED ST9",22181,2077580
1993,"UNITED ST0",5123,4765514
1995,"UNITED ST7",22741,914627
1993,"UNITED ST1",14402,4939641
1993,"UNITED ST9",14776,541124
1992,"UNITED ST9",20990,8143555
1992,"UNITED ST2",9832,1672102
1997,"UNITED ST7",2771,5219509
1996,"UNITED ST4",19177,993798
1997,"UNITED ST9",7249,1356859
1995,"UNITED ST9",19339,4202604
1996,"UNITED ST8",25837,4527759
1994,"UNITED ST5",26341,6042114
1992,"UNITED ST9",2146,4088847
1992,"UNITED ST4",2146,3586301
1995,"UNITED ST9",22538,3732767
1996,"UNITED ST4",17620,189332
1995,"UNITED ST9",28117,5367582
1997,"UNITED ST0",24652,6863957
1992,"UNITED ST8",20878,3865540
1992,"UNITED ST1",14518,6314676
1994,"UNITED ST6",20041,5599334
1996,"UNITED ST9",21701,2128810
1997,"UNITED ST4",17819,5552870
1997,"UNITED ST1",17819,2133164
1996,"UNITED ST6",12979,1412805
1993,"UNITED ST4",16975,507564
1993,"UNITED ST1",11794,686917
1997,"UNITED ST7",27206,6361771
1994,"UNITED ST3",5045,3408305
1996,"UNITED ST5",3335,1911600
1997,"UNITED ST3",14713,130413
1992,"UNITED ST1",7438,4192611
1997,"UNITED ST3",16393,5097058
1996,"UNITED ST1",16030,7198400
1993,"UNITED ST1",26731,7394553
1996,"UNITED ST8",118,5867359
1995,"UNITED ST3",20485,7747500
1993,"UNITED ST8",7465,5979561
1997,"UNITED ST0",9268,1673446
1995,"UNITED ST0",21976,4776632
1992,"UNITED ST9",9646,3842483
1994,"UNITED ST5",25759,997794
1994,"UNITED ST2",5554,1507898
1994,"UNITED ST4",3652,5588696
1997,"UNITED ST9",5638,5340692
1997,"UNITED ST6",5638,8219274
1994,"UNITED ST9",21728,803998
1992,"UNITED ST6",22393,6305984
1994,"UNITED ST1",26902,2607755
1997,"UNITED ST6",29224,1922652
1995,"UNITED ST4",21167,4253629
1995,"UNITED ST6",27526,173964
1997,"UNITED ST1",4441,6050116
1994,"UNITED ST8",20419,5654767
1995,"UNITED ST8",16928,3202131
1994,"UNITED ST1",8786,3633622
1993,"UNITED ST9",18358,2885192
1995,"UNITED ST3",29446,2619700
1995,"UNITED ST4",14239,3686462
1997,"UNITED ST3",5620,4616780
1993,"UNITED ST0",23551,6681593
1996,"UNITED ST4",10169,3785334
1996,"UNITED ST4",9101,1461900
1992,"UNITED ST0",1600,6829298
1996,"UNITED ST8",20518,5858553
1992,"UNITED ST3",5278,2016117
1993,"UNITED ST6",22252,1679117
1997,"UNITED ST4",6172,5121578
1994,"UNITED ST5",22694,3395639
1992,"UNITED ST1",25018,2047231
1994,"UNITED ST4",7930,5483213
1993,"UNITED ST0",17906,583468
1993,"UNITED ST5",28003,2289958
1995,"UNITED ST3",17119,5166582
1995,"UNITED ST3",26410,3183921
1994,"UNITED ST6",22654,3868484
1994,"UNITED ST9",22654,3548405
1996,"UNITED ST9",12238,5972967
1992,"UNITED ST3",11756,4308630
1993,"UNITED ST0",8560,2081701
1994,"UNITED ST9",22771,4864740
1996,"UNITED ST9",29681,4359486
1995,"UNITED ST7",2072,3240291
1997,"UNITED ST0",2123,2940319
1995,"UNITED ST5",2477,2058888
1993,"UNITED ST8",7714,3951424
1994,"UNITED ST9",22804,5641296
1994,"UNITED ST0",10048,4038163
1995,"UNITED ST1",23009,5011608
1996,"UNITED ST6",8437,1045322
1996,"UNITED ST5",8437,2735589
1992,"UNITED ST4",7066,5547250
1993,"UNITED ST8",10282,1650349
1997,"UNITED ST8",29348,1655747
1993,"UNITED ST3",853,305885
1995,"UNITED ST5",15448,4424025
1992,"UNITED ST5",20030,4519348
1997,"UNITED ST6",3266,5856513
1994,"UNITED ST2",24094,4304067
1996,"UNITED ST7",22682,1939037
1994,"UNITED ST9",19738,8922423
1992,"UNITED ST6",23029,8486530
1993,"UNITED ST0",15154,6941082
1997,"UNITED ST6",16541,596113
1995,"UNITED ST3",8182,233145
1994,"UNITED ST0",17542,5896685
1996,"UNITED ST4",3277,2204441
1995,"UNITED ST9",10753,6197185
1992,"UNITED ST0",9725,5511174
1993,"UNITED ST5",17650,2343786
1993,"UNITED ST0",14297,2131087
1993,"UNITED ST9",14297,6735860
1996,"UNITED ST8",7610,287827
1992,"UNITED ST7",13756,3536981
1993,"UNITED ST3",28534,1239048
1997,"UNITED ST6",4973,1252099
1992,"UNITED ST1",27439,2869259
1996,"UNITED ST0",5524,3071008
1993,"UNITED ST1",11533,1421090
1992,"UNITED ST1",11299,5133205
1995,"UNITED ST0",29788,1837726
1996,"UNITED ST3",14914,1968038
1995,"UNITED ST1",24250,3553486
1996,"UNITED ST8",4129,1434520
1992,"UNITED ST5",26210,5107568
1992,"UNITED ST1",26210,4736862
1997,"UNITED ST9",10156,1169506
1996,"UNITED ST6",8767,3158633
1994,"UNITED ST3",18658,953504
1992,"UNITED ST3",2414,5830157
1997,"UNITED ST6",22048,4865174
1996,"UNITED ST8",27211,4306096
1992,"UNITED ST4",29251,4737875
1993,"UNITED ST0",1898,5146478
1992,"UNITED ST4",11254,8726904
1995,"UNITED ST9",11041,3662308
1993,"UNITED ST6",3038,1513568
1995,"UNITED ST1",11537,5291946
1996,"UNITED ST4",7426,5781332
1992,"UNITED ST7",16382,6897409
1992,"UNITED ST2",7438,3729867
1994,"UNITED ST7",26294,1682092
1992,"UNITED ST3",2441,8323872
1992,"UNITED ST1",2441,975689
1993,"UNITED ST2",17845,4699204
1994,"UNITED ST3",11857,4912107
1994,"UNITED ST9",23699,6618536
1996,"UNITED ST4",16063,5981188
1996,"UNITED ST9",17353,4180185
1996,"UNITED ST7",9565,2533386
1995,"UNITED ST7",6172,737823
1996,"UNITED ST9",11788,5404394
1997,"UNITED ST3",8435,109254
1997,"UNITED ST1",7585,630431
1992,"UNITED ST3",21101,400047
1995,"UNITED ST1",13798,5196450
1992,"UNITED ST4",19882,5324016
1992,"UNITED ST8",6493,5800195
1995,"UNITED ST9",1807,2528236
1995,"UNITED ST3",1807,112916
1996,"UNITED ST6",25663,680748
1995,"UNITED ST9",19189,1460806
1997,"UNITED ST3",6475,3586229
1996,"UNITED ST1",29444,5548260
1997,"UNITED ST7",11837,2070751
1996,"UNITED ST4",22382,3448382
1993,"UNITED ST3",22126,4584169
1995,"UNITED ST4",4453,3888521
1996,"UNITED ST0",2183,2346240
1996,"UNITED ST0",2183,580389
1997,"UNITED ST9",5224,2162021
1994,"UNITED ST8",22420,3468998
1992,"UNITED ST0",20623,3562470
1993,"UNITED ST1",8590,6082812
1997,"UNITED ST9",12842,172568
1994,"UNITED ST7",24920,1019673
1995,"UNITED ST8",1996,5534928
1993,"UNITED ST3",23284,1130259
1994,"UNITED ST7",5111,2123380
1994,"UNITED ST0",13463,5376412
1994,"UNITED ST0",10553,5851936
1995,"UNITED ST1",18064,3517110
1994,"UNITED ST9",7298,8844981
1994,"UNITED ST7",24589,2662122
1996,"UNITED ST5",8465,5232873
1994,"UNITED ST3",9814,3334274
1996,"UNITED ST0",5272,1574691
1995,"UNITED ST1",19687,2246132
1997,"UNITED ST4",7984,2899573
1994,"UNITED ST1",15133,402702
1996,"UNITED ST8",22588,1913231
1992,"UNITED ST6",12574,266522
1996,"UNITED ST8",16462,2188074
1992,"UNITED ST9",7220,3190551
1994,"UNITED ST1",6775,3622569
1994,"UNITED ST0",24125,5848355
1996,"UNITED ST9",17002,1281396
1994,"UNITED ST7",13858,2741698
1996,"UNITED ST7",7076,4351174
1996,"UNITED ST3",24694,3379985
1996,"UNITED ST8",24694,5493203
1992,"UNITED ST4",20462,4218528
1992,"UNITED ST3",20462,3325583
1993,"UNITED ST8",20770,6574315
1994,"UNITED ST3",24130,698962
1993,"UNITED ST3",20933,5619172
1993,"UNITED ST8",931,1771544
1997,"UNITED ST4",20666,4569191
1997,"UNITED ST1",5476,2259594
1993,"UNITED ST6",17810,6451963
1996,"UNITED ST4",14824,5329120
1995,"UNITED ST9",11938,5915672
1997,"UNITED ST7",9154,5056986
1994,"UNITED ST1",4307,4009565
1994,"UNITED ST3",10547,4809907
1995,"UNITED ST9",24337,6594169
1993,"UNITED ST4",24523,7815822
1992,"UNITED ST9",20089,4640803
1997,"UNITED ST0",12395,3895057
1994,"UNITED ST9",15436,7955737
1993,"UNITED ST2",20428,7020090
1997,"UNITED ST3",14492,1559051
1993,"UNITED ST3",8005,7325908
1997,"UNITED ST3",20920,3651008
1993,"UNITED ST1",6793,8594515
1995,"UNITED ST0",17254,1777689
1993,"UNITED ST1",24103,5796403
1994,"UNITED ST1",8423,1187776
1994,"UNITED ST6",8423,2506219
1996,"UNITED ST3",14885,4471413
1995,"UNITED ST2",18010,1065737
1995,"UNITED ST4",24412,1118646
1994,"UNITED ST5",29140,1172136
1997,"UNITED ST9",18073,318431
1992,"UNITED ST1",23932,4444800
1994,"UNITED ST1",4186,2753376
1994,"UNITED ST0",1393,3812805
1997,"UNITED ST5",22667,8192895
1997,"UNITED ST3",22667,3403874
1993,"UNITED ST1",19669,6619022
1996,"UNITED ST3",1133,3985242
1996,"UNITED ST9",12368,8573712
1997,"UNITED ST3",20482,2176163
1993,"UNITED ST3",21808,2400722
1996,"UNITED ST1",22688,1038735
1995,"UNITED ST0",27758,3222486
1994,"UNITED ST0",26072,3436255
1992,"UNITED ST4",10862,3364880
1994,"UNITED ST6",6161,6291713
1992,"UNITED ST0",5308,2100174
1997,"UNITED ST7",2200,6491642
1996,"UNITED ST6",29654,4258053
1997,"UNITED ST5",24352,8596667
1996,"UNITED ST5",4405,170468
1994,"UNITED ST7",12370,7991723
1994,"UNITED ST5",6310,4464829
1995,"UNITED ST7",9427,2763787
1994,"UNITED ST7",27763,4260522
1995,"UNITED ST3",22297,797952
1996,"UNITED ST4",337,5237806
1995,"UNITED ST4",4561,5470254
1997,"UNITED ST4",24782,7245693
1996,"UNITED ST1",14651,5281171
1996,"UNITED ST0",13753,4064067
1996,"UNITED ST5",6446,2638233
1997,"UNITED ST3",20800,993037
1997,"UNITED ST0",20861,724423
1997,"UNITED ST0",6764,4613836
1993,"UNITED ST0",11251,3571704
1993,"UNITED ST7",11251,2931719
1996,"UNITED ST1",10049,6169541
1992,"UNITED ST5",19777,2667618
1995,"UNITED ST0",21631,3244532
1994,"UNITED ST4",20531,5403840
1993,"UNITED ST1",24478,3779758
1997,"UNITED ST3",13075,3718242
1996,"UNITED ST9",4084,785260
1995,"UNITED ST1",16297,4832368
1995,"UNITED ST9",10571,7222581
1997,"UNITED ST3",22795,9339155
1996,"UNITED ST1",15748,558288
1993,"UNITED ST5",21683,2206084
1992,"UNITED ST6",28814,7224438
1994,"UNITED ST4",25370,4334856
1994,"UNITED ST0",29008,4012161
1993,"UNITED ST0",1994,448301
1995,"UNITED ST3",22675,8489449
1997,"UNITED ST5",18914,5618282
1992,"UNITED ST1",18104,376574
1992,"UNITED ST8",9163,3763640
1995,"UNITED ST0",11342,7467652
1992,"UNITED ST5",19384,1934986
1992,"UNITED ST7",19384,5067270
1995,"UNITED ST5",13886,132245
1996,"UNITED ST2",29540,7686245
1996,"UNITED ST6",29540,1701718
1996,"UNITED ST5",988,2467065
1997,"UNITED ST1",27460,903383
1993,"UNITED ST1",22999,1219734
1996,"UNITED ST9",15709,7214375
1993,"UNITED ST1",10898,4548406
1993,"UNITED ST4",19810,5730109
1993,"UNITED ST3",21907,1768900
1996,"UNITED ST7",26408,8666924
1992,"UNITED ST0",20035,7777207
1997,"UNITED ST4",5134,891912
1993,"UNITED ST1",11161,1538146
1994,"UNITED ST4",5468,2335153
1994,"UNITED ST6",21535,1807975
1994,"UNITED ST5",21535,2945208
1993,"UNITED ST9",4046,1383713
1992,"UNITED ST8",8657,1390483
1996,"UNITED ST1",27877,877464
1996,"UNITED ST6",27877,1855441
1992,"UNITED ST1",19265,2416511
1992,"UNITED ST8",26734,3819622
1993,"UNITED ST5",8839,1881785
1995,"UNITED ST3",5818,3056389
1996,"UNITED ST0",27232,3474361
1997,"UNITED ST1",26843,2846496
1995,"UNITED ST0",27217,8414972
1996,"UNITED ST5",28592,7141425
1995,"UNITED ST3",20791,7789122
1997,"UNITED ST3",27784,4464227
1994,"UNITED ST6",25487,1890284
1994,"UNITED ST2",20698,523527
1995,"UNITED ST1",18775,3154828
1995,"UNITED ST4",2311,4443765
1997,"UNITED ST8",6043,1545683
1994,"UNITED ST9",8185,4652784
1992,"UNITED ST3",24124,6217935
1994,"UNITED ST8",25130,2348420
1994,"UNITED ST3",25130,5708088
1997,"UNITED ST0",17159,1197384
1997,"UNITED ST1",17159,3776605
1996,"UNITED ST5",13282,1115291
1992,"UNITED ST9",9631,1581594
1994,"UNITED ST7",20456,6176315
1994,"UNITED ST1",8861,3325806
1992,"UNITED ST7",2062,3983554
1993,"UNITED ST4",3245,1123971
1997,"UNITED ST5",4030,4450020
1994,"UNITED ST4",4774,1631744
1997,"UNITED ST6",21130,1946034
1994,"UNITED ST5",17935,6833267
1996,"UNITED ST7",7834,5819320
1997,"UNITED ST3",10390,5629772
1997,"UNITED ST1",10390,3795801
1996,"UNITED ST0",3080,5186341
1994,"UNITED ST3",15713,1484035
1992,"UNITED ST3",304,2456649
1996,"UNITED ST3",1444,6954721
1993,"UNITED ST5",13942,1588744
1994,"UNITED ST1",22340,4180376
1996,"UNITED ST1",1123,3656890
1996,"UNITED ST9",1123,2204818
1993,"UNITED ST4",11009,4789036
1996,"UNITED ST7",14572,3148806
1996,"UNITED ST9",24680,198179
1992,"UNITED ST7",4798,2277113
1996,"UNITED ST2",27835,4095446
1996,"UNITED ST0",27835,3930586
1996,"UNITED ST2",11794,752614
1993,"UNITED ST2",14776,3427033
1994,"UNITED ST7",8266,1160653
1993,"UNITED ST3",18829,3017016
1992,"UNITED ST4",1471,6272680
1992,"UNITED ST4",1471,5784572
1992,"UNITED ST7",493,4374202
1995,"UNITED ST0",10609,897123
1993,"UNITED ST8",2872,2451616
1993,"UNITED ST3",24842,3595836
1996,"UNITED ST9",27805,4109505
1995,"UNITED ST1",1912,7966664
1993,"UNITED ST7",16084,1046912
1993,"UNITED ST3",20797,3466018
1997,"UNITED ST8",10348,1451821
1993,"UNITED ST9",19202,2070972
1997,"UNITED ST9",3289,2940364
1997,"UNITED ST0",21103,1351312
1995,"UNITED ST9",24971,6531358
1995,"UNITED ST6",25637,6793786
1993,"UNITED ST5",23326,2330594
1993,"UNITED ST7",23326,816992
1996,"UNITED ST9",4070,4197298
1995,"UNITED ST4",5005,1689252
1995,"UNITED ST9",5005,951735
1994,"UNITED ST0",14948,2553291
1997,"UNITED ST9",14746,2336595
1993,"UNITED ST4",21619,1139693
1992,"UNITED ST9",10993,3552213
1992,"UNITED ST4",2284,4847530
1995,"UNITED ST9",26338,6868366
1995,"UNITED ST3",29267,5651683
1992,"UNITED ST3",15454,2276066
1997,"UNITED ST0",551,1797257
1996,"UNITED ST2",28952,8225341
1996,"UNITED ST3",27409,5388758
1994,"UNITED ST0",25807,6573563
1994,"UNITED ST0",25807,4654621
1992,"UNITED ST3",6400,292725
1997,"UNITED ST0",19114,447857
1997,"UNITED ST6",6697,1980344
1994,"UNITED ST5",17065,1387160
1995,"UNITED ST4",23287,4235628
1995,"UNITED ST5",2929,189738
1994,"UNITED ST9",20870,6998784
1993,"UNITED ST6",578,2161385
1994,"UNITED ST3",2246,5410997
1994,"UNITED ST6",24689,2612684
1993,"UNITED ST1",6007,4719611
1994,"UNITED ST1",2485,330979
1995,"UNITED ST1",10663,8366014
1992,"UNITED ST7",19940,6871202
1997,"UNITED ST5",21472,3458942
1995,"UNITED ST0",26444,1802185
1995,"UNITED ST6",19007,4367164
1995,"UNITED ST3",4258,5092199
1995,"UNITED ST6",17119,983467
1992,"UNITED ST1",18880,1429648
1994,"UNITED ST5",14648,427725
1992,"UNITED ST5",23788,5178795
1993,"UNITED ST7",5831,5390084
1996,"UNITED ST5",5158,7401850
1997,"UNITED ST1",15649,142628
1994,"UNITED ST8",16516,1817883
1994,"UNITED ST3",21304,3493324
1996,"UNITED ST5",5911,1476254
1996,"UNITED ST6",1120,1886900
1997,"UNITED ST0",23342,3669704
