"s_city","lo_custkey","lo_orderdate","lo_revenue"
"UNITED ST1",772,19920926,2844589
"UNITED ST3",11650,19951202,4620161
"UNITED ST8",2692,19940524,2918192
"UNITED ST4",22589,19971025,2091469
"UNITED ST1",23689,19940518,7745701
"UNITED ST6",23689,19940518,539424
"UNITED ST1",4265,19971230,225644
"UNITED ST1",2719,19961011,5648491
"UNITED ST4",17813,19921203,8026357
"UNITED ST0",28807,19961125,7303182
"UNITED ST7",28807,19961125,3982101
"UNITED ST3",10378,19920704,6156564
"UNITED ST5",23699,19940903,757831
"UNITED ST6",2192,19980209,1077615
"UNITED ST4",11641,19960811,2402392
"UNITED ST7",5617,19980728,2164346
"UNITED ST3",12280,19940222,2851153
"UNITED ST0",13835,19940618,4848144
"UNITED ST6",5149,19970316,1563694
"UNITED ST1",10004,19931113,3311428
"UNITED ST1",21647,19980223,1051569
"UNITED ST4",7976,19940413,1928125
"UNITED ST6",12664,19920831,2189484
"UNITED ST7",24383,19930104,5427996
"UNITED ST0",1892,19980117,3761212
"UNITED ST2",1114,19980328,5089890
"UNITED ST7",11017,19970909,5000293
"UNITED ST5",2722,19971208,530125
"UNITED ST5",24080,19930227,520959
"UNITED ST0",28714,19930506,417773
"UNITED ST1",25438,19931231,1753012
"UNITED ST8",17309,19951205,6882829
"UNITED ST1",14198,19920502,677500
"UNITED ST6",14198,19920502,256894
"UNITED ST4",2644,19920711,6562328
"UNITED ST4",19843,19951124,1065130
"UNITED ST0",16688,19960415,2672800
"UNITED ST1",3046,19970707,3892510
"UNITED ST0",5428,19950320,3551256
"UNITED ST6",22076,19950812,1861217
"UNITED ST4",19480,19920421,206107
"UNITED ST0",19738,19980315,798256
"UNITED ST1",5633,19920629,8501125
"UNITED ST0",8405,19971214,4084318
"UNITED ST0",13579,19940419,807360
"UNITED ST7",13846,19940722,3855316
"UNITED ST7",23099,19930807,4896336
"UNITED ST9",13768,19960103,6803454
"UNITED ST3",13768,19960103,1009465
"UNITED ST1",23272,19971231,2720802
"UNITED ST2",23527,19971212,1184598
"UNITED ST4",1130,19980309,680142
"UNITED ST0",4180,19930430,3971860
"UNITED ST5",4180,19930430,3295108
"UNITED ST4",12904,19930308,8048112
"UNITED ST7",21455,19920502,4569079
"UNITED ST6",21455,19920502,3534498
"UNITED ST8",2191,19931120,4151150
"UNITED ST1",20612,19980220,4573239
"UNITED ST1",6791,19970805,709203
"UNITED ST1",541,19920502,4722235
"UNITED ST0",16312,19970115,273876
"UNITED ST0",16312,19970115,6836751
"UNITED ST1",13261,19940609,5385500
"UNITED ST4",10417,19921117,6645237
"UNITED ST8",1834,19970812,2587840
"UNITED ST7",14081,19980516,4400675
"UNITED ST9",14081,19980516,456548
"UNITED ST5",28130,19980723,6392208
"UNITED ST7",1159,19970201,1603294
"UNITED ST6",23243,19960522,2043797
"UNITED ST9",20908,19980114,1616943
"UNITED ST2",3811,19980104,1097814
"UNITED ST9",12383,19940722,1168528
"UNITED ST7",26857,19970808,5215162
"UNITED ST9",26857,19970808,415952
"UNITED ST0",23999,19950730,5708102
"UNITED ST3",12865,19980617,542386
"UNITED ST0",2936,19950515,6458746
"UNITED ST0",4303,19950322,591489
"UNITED ST0",27620,19921019,3202012
"UNITED ST9",19691,19930403,188110
"UNITED ST3",2527,19940514,1979965
"UNITED ST9",24494,19941201,5680395
"UNITED ST3",15838,19920204,4504248
"UNITED ST1",14986,19930904,4880991
"UNITED ST0",643,19960514,5391612
"UNITED ST5",25504,19930601,6297848
"UNITED ST3",25504,19930601,1513072
"UNITED ST0",27310,19970510,4090102
"UNITED ST0",16783,19950107,6363564
"UNITED ST3",24926,19950129,1340848
"UNITED ST3",15673,19970312,4904115
"UNITED ST0",15823,19920825,1611135
"UNITED ST9",12356,19970426,1176432
"UNITED ST1",8317,19931004,1043235
"UNITED ST1",8317,19931004,9196719
"UNITED ST9",20170,19970204,4843753
"UNITED ST2",27992,19930531,8261325
"UNITED ST1",13232,19971027,3033594
"UNITED ST4",13051,19960622,5213052
"UNITED ST5",21853,19920721,2461630
"UNITED ST9",17108,19970517,2215951
"UNITED ST2",25918,19940915,6636449
"UNITED ST1",25810,19950214,5496824
"UNITED ST7",2683,19940303,2408076
"UNITED ST9",8776,19950604,5714975
"UNITED ST8",2236,19921111,4585758
"UNITED ST3",22600,19961109,3288294
"UNITED ST3",29585,19960427,641749
"UNITED ST1",12997,19950402,5160390
"UNITED ST0",3670,19921206,2055742
"UNITED ST1",23965,19920701,4168714
"UNITED ST7",10739,19930510,4490069
"UNITED ST0",16622,19941229,2995945
"UNITED ST7",21832,19930416,1631339
"UNITED ST4",21343,19970815,5244820
"UNITED ST2",14815,19930926,2011757
"UNITED ST7",23560,19920223,5824634
"UNITED ST1",27365,19920819,5016200
"UNITED ST1",13271,19950128,1792687
"UNITED ST8",7093,19941228,6882491
"UNITED ST3",18481,19930903,2169538
"UNITED ST0",3551,19951129,2241479
"UNITED ST9",9553,19970509,2582746
"UNITED ST1",1465,19950110,1499899
"UNITED ST7",7480,19970609,2546448
"UNITED ST1",17353,19970306,3494156
"UNITED ST0",9965,19940105,2461525
"UNITED ST4",19517,19960702,1168228
"UNITED ST4",29311,19950911,3910140
"UNITED ST7",19822,19980619,5878530
"UNITED ST0",16009,19930727,4036193
"UNITED ST6",17614,19920314,2464289
"UNITED ST7",28727,19930920,4181598
"UNITED ST2",8164,19960311,565614
"UNITED ST6",11551,19950602,3629894
"UNITED ST9",16219,19960924,453489
"UNITED ST1",11479,19980504,4371392
"UNITED ST7",25583,19961027,4101500
"UNITED ST6",11060,19940613,5430100
"UNITED ST0",27331,19960609,1878812
"UNITED ST9",22339,19930127,4674265
"UNITED ST1",19204,19921111,4199989
"UNITED ST7",7522,19970404,5692877
"UNITED ST4",21253,19950114,4533657
"UNITED ST0",10637,19960110,5921698
"UNITED ST8",10637,19960110,1740524
"UNITED ST9",4781,19950920,2617750
"UNITED ST3",12647,19920921,397094
"UNITED ST4",18557,19950917,970894
"UNITED ST9",10201,19970430,3445478
"UNITED ST7",6785,19920714,2940916
"UNITED ST0",24467,19940310,2124293
"UNITED ST7",29161,19960314,877866
"UNITED ST4",27394,19921106,6293791
"UNITED ST4",29797,19950901,5477856
"UNITED ST8",21127,19941105,4719053
"UNITED ST3",28135,19921117,2599147
"UNITED ST3",19000,19951116,5045288
"UNITED ST0",9166,19960908,6270521
"UNITED ST5",18262,19950809,8047420
"UNITED ST8",14179,19980503,217233
"UNITED ST2",27416,19940511,1863940
"UNITED ST3",151,19971119,5585104
"UNITED ST8",20515,19930221,2376042
"UNITED ST8",15194,19941101,914244
"UNITED ST3",15194,19941101,6381381
"UNITED ST5",10600,19930424,2061035
"UNITED ST7",4793,19960718,5002001
"UNITED ST8",17791,19940213,628526
"UNITED ST1",2786,19920729,979133
"UNITED ST8",15436,19920806,377986
"UNITED ST9",21329,19921130,552976
"UNITED ST9",22181,19950116,2077580
"UNITED ST0",5123,19930306,4765514
"UNITED ST7",22741,19951001,914627
"UNITED ST1",14402,19930718,4939641
"UNITED ST9",14776,19931113,541124
"UNITED ST9",20990,19920521,8143555
"UNITED ST2",9832,19920128,1672102
"UNITED ST7",2771,19970926,5219509
"UNITED ST4",19177,19961215,993798
"UNITED ST9",7249,19970822,1356859
"UNITED ST5",6805,19980516,170411
"UNITED ST9",19339,19950912,4202604
"UNITED ST8",25837,19960525,4527759
"UNITED ST5",26341,19941114,6042114
"UNITED ST9",2146,19920108,4088847
"UNITED ST4",2146,19920108,3586301
"UNITED ST9",22538,19950322,3732767
"UNITED ST2",11338,19980123,2645118
"UNITED ST4",17620,19960421,189332
"UNITED ST9",28117,19950226,5367582
"UNITED ST6",14684,19980314,4983290
"UNITED ST0",24652,19970914,6863957
"UNITED ST8",20878,19920402,3865540
"UNITED ST1",14518,19920206,6314676
"UNITED ST6",20041,19941006,5599334
"UNITED ST1",679,19980629,4052223
"UNITED ST9",21701,19960704,2128810
"UNITED ST1",24155,19980411,3977265
"UNITED ST4",17819,19970901,5552870
"UNITED ST1",17819,19970901,2133164
"UNITED ST6",12979,19960105,1412805
"UNITED ST4",16975,19930421,507564
"UNITED ST1",11794,19930420,686917
"UNITED ST7",27206,19970613,6361771
"UNITED ST3",5045,19940222,3408305
"UNITED ST5",3335,19960502,1911600
"UNITED ST3",14713,19970909,130413
"UNITED ST1",7438,19920505,4192611
"UNITED ST3",16393,19970828,5097058
"UNITED ST1",16030,19961225,7198400
"UNITED ST1",26731,19930417,7394553
"UNITED ST8",118,19960501,5867359
"UNITED ST3",20485,19951010,7747500
"UNITED ST8",7465,19930821,5979561
"UNITED ST0",9268,19970617,1673446
"UNITED ST0",21976,19950724,4776632
"UNITED ST9",9646,19920728,3842483
"UNITED ST5",25759,19940706,997794
"UNITED ST2",5554,19940623,1507898
"UNITED ST4",3652,19940315,5588696
"UNITED ST9",5638,19970717,5340692
"UNITED ST6",5638,19970717,8219274
"UNITED ST9",21728,19941027,803998
"UNITED ST6",22393,19920609,6305984
"UNITED ST1",26902,19940630,2607755
"UNITED ST6",29224,19970304,1922652
"UNITED ST4",21167,19950124,4253629
"UNITED ST6",27526,19950612,173964
"UNITED ST1",4441,19971226,6050116
"UNITED ST8",20419,19940924,5654767
"UNITED ST8",16928,19950624,3202131
"UNITED ST1",8786,19940914,3633622
"UNITED ST9",18358,19930602,2885192
"UNITED ST3",29446,19950228,2619700
"UNITED ST4",14239,19950227,3686462
"UNITED ST3",5620,19970825,4616780
"UNITED ST0",23551,19931109,6681593
"UNITED ST4",10169,19960222,3785334
"UNITED ST4",9101,19961017,1461900
"UNITED ST0",1600,19920730,6829298
"UNITED ST8",20518,19960201,5858553
"UNITED ST3",5278,19920829,2016117
"UNITED ST6",22252,19930820,1679117
"UNITED ST4",6172,19971012,5121578
"UNITED ST0",8858,19980531,8382619
"UNITED ST5",22694,19940408,3395639
"UNITED ST1",25018,19920701,2047231
"UNITED ST4",7930,19940519,5483213
"UNITED ST0",17906,19930724,583468
"UNITED ST5",28003,19931101,2289958
"UNITED ST3",17119,19950608,5166582
"UNITED ST3",26410,19950708,3183921
"UNITED ST6",22654,19940326,3868484
"UNITED ST9",22654,19940326,3548405
"UNITED ST9",12238,19960829,5972967
"UNITED ST3",11756,19920112,4308630
"UNITED ST0",8560,19931110,2081701
"UNITED ST9",22771,19941216,4864740
"UNITED ST9",29681,19960331,4359486
"UNITED ST7",2072,19951025,3240291
"UNITED ST0",2123,19970826,2940319
"UNITED ST3",1471,19980120,608265
"UNITED ST5",2477,19950412,2058888
"UNITED ST8",7714,19930918,3951424
"UNITED ST9",22804,19940917,5641296
"UNITED ST0",29740,19980203,5443203
"UNITED ST0",10048,19941022,4038163
"UNITED ST1",23009,19950917,5011608
"UNITED ST6",8437,19960911,1045322
"UNITED ST5",8437,19960911,2735589
"UNITED ST3",11362,19980227,1447816
"UNITED ST4",7066,19920318,5547250
"UNITED ST8",10282,19930225,1650349
"UNITED ST8",29348,19970307,1655747
"UNITED ST3",853,19931106,305885
"UNITED ST5",15448,19950124,4424025
"UNITED ST5",20030,19920206,4519348
"UNITED ST3",20848,19980713,1646150
"UNITED ST6",3266,19970610,5856513
"UNITED ST2",24094,19940807,4304067
"UNITED ST7",22682,19960421,1939037
"UNITED ST9",19738,19940311,8922423
"UNITED ST6",23029,19920707,8486530
"UNITED ST0",15154,19930805,6941082
"UNITED ST6",16541,19970626,596113
"UNITED ST3",8182,19950912,233145
"UNITED ST0",17542,19941225,5896685
"UNITED ST4",3277,19960516,2204441
"UNITED ST9",10753,19950104,6197185
"UNITED ST0",9725,19920315,5511174
"UNITED ST7",1786,19980607,2860602
"UNITED ST3",2030,19980621,9035573
"UNITED ST1",1204,19980128,1585499
"UNITED ST5",17650,19931016,2343786
"UNITED ST0",14297,19930120,2131087
"UNITED ST9",14297,19930120,6735860
"UNITED ST8",7610,19961009,287827
"UNITED ST7",13756,19920531,3536981
"UNITED ST3",28534,19930612,1239048
"UNITED ST6",4973,19970917,1252099
"UNITED ST1",27439,19920624,2869259
"UNITED ST0",5524,19960404,3071008
"UNITED ST1",11533,19930215,1421090
"UNITED ST1",11299,19920614,5133205
"UNITED ST0",29788,19950410,1837726
"UNITED ST3",14914,19960111,1968038
"UNITED ST1",24250,19951027,3553486
"UNITED ST8",4129,19960314,1434520
"UNITED ST5",26210,19920107,5107568
"UNITED ST1",26210,19920107,4736862
"UNITED ST9",10156,19970518,1169506
"UNITED ST6",8767,19960701,3158633
"UNITED ST7",24790,19980429,3349953
"UNITED ST3",18658,19940714,953504
"UNITED ST3",2414,19920611,5830157
"UNITED ST5",20050,19980425,435323
"UNITED ST6",22048,19970512,4865174
"UNITED ST8",27211,19961022,4306096
"UNITED ST4",29251,19920610,4737875
"UNITED ST0",1898,19930714,5146478
"UNITED ST4",11254,19920907,8726904
"UNITED ST9",11041,19951011,3662308
"UNITED ST6",3038,19930721,1513568
"UNITED ST1",11537,19950920,5291946
"UNITED ST4",7426,19960515,5781332
"UNITED ST7",16382,19920228,6897409
"UNITED ST2",7438,19920107,3729867
"UNITED ST7",26294,19940206,1682092
"UNITED ST3",2441,19920118,8323872
"UNITED ST1",2441,19920118,975689
"UNITED ST2",17845,19930320,4699204
"UNITED ST3",11857,19940719,4912107
"UNITED ST9",23699,19940906,6618536
"UNITED ST8",23563,19980712,5183607
"UNITED ST4",16063,19961214,5981188
"UNITED ST9",17353,19961017,4180185
"UNITED ST7",9565,19961020,2533386
"UNITED ST9",28723,19980526,1274512
"UNITED ST7",6172,19951112,737823
"UNITED ST9",11788,19960331,5404394
"UNITED ST3",8435,19971014,109254
"UNITED ST1",7585,19970327,630431
"UNITED ST3",21101,19920518,400047
"UNITED ST1",13798,19950923,5196450
"UNITED ST4",19882,19921011,5324016
"UNITED ST7",12382,19980705,5584540
"UNITED ST1",17600,19980320,2612398
"UNITED ST8",6493,19920608,5800195
"UNITED ST9",1807,19950606,2528236
"UNITED ST3",1807,19950606,112916
"UNITED ST7",8599,19980606,7234485
"UNITED ST6",25663,19960901,680748
"UNITED ST9",19189,19950830,1460806
"UNITED ST3",6475,19970919,3586229
"UNITED ST1",29444,19960324,5548260
"UNITED ST7",11837,19971228,2070751
"UNITED ST4",22382,19960328,3448382
"UNITED ST3",22126,19931108,4584169
"UNITED ST4",4453,19950105,3888521
"UNITED ST1",24004,19980709,5827287
"UNITED ST0",2183,19961114,2346240
"UNITED ST0",2183,19961114,580389
"UNITED ST9",5224,19971111,2162021
"UNITED ST8",22420,19940714,3468998
"UNITED ST0",20623,19921224,3562470
"UNITED ST8",13075,19980621,1196440
"UNITED ST1",8590,19930409,6082812
"UNITED ST9",12842,19970908,172568
"UNITED ST7",24920,19940516,1019673
"UNITED ST8",1996,19950702,5534928
"UNITED ST3",23284,19930722,1130259
"UNITED ST7",5111,19940517,2123380
"UNITED ST0",13463,19940919,5376412
"UNITED ST0",10553,19940224,5851936
"UNITED ST1",18064,19950327,3517110
"UNITED ST9",7298,19940207,8844981
"UNITED ST7",24589,19940728,2662122
"UNITED ST5",8465,19960119,5232873
"UNITED ST3",9814,19940624,3334274
"UNITED ST0",5272,19960826,1574691
"UNITED ST1",19687,19951104,2246132
"UNITED ST4",7984,19970427,2899573
"UNITED ST1",15133,19940721,402702
"UNITED ST8",22588,19961231,1913231
"UNITED ST6",12574,19920130,266522
"UNITED ST8",16462,19960707,2188074
"UNITED ST9",7220,19921030,3190551
"UNITED ST1",6775,19940416,3622569
"UNITED ST0",24125,19941111,5848355
"UNITED ST9",17002,19960520,1281396
"UNITED ST7",2596,19980713,3099932
"UNITED ST3",2596,19980713,5690750
"UNITED ST7",13858,19940301,2741698
"UNITED ST7",7076,19960311,4351174
"UNITED ST3",24694,19961117,3379985
"UNITED ST8",24694,19961117,5493203
"UNITED ST4",20462,19920717,4218528
"UNITED ST3",20462,19920717,3325583
"UNITED ST8",20770,19931016,6574315
"UNITED ST3",24130,19941016,698962
"UNITED ST3",20933,19930703,5619172
"UNITED ST8",931,19930502,1771544
"UNITED ST4",20666,19971012,4569191
"UNITED ST1",5476,19970401,2259594
"UNITED ST0",9394,19980722,7558290
"UNITED ST6",17810,19930113,6451963
"UNITED ST7",24416,19980530,2103548
"UNITED ST1",24416,19980530,4363932
"UNITED ST4",14824,19960227,5329120
"UNITED ST9",11938,19950225,5915672
"UNITED ST7",9154,19970927,5056986
"UNITED ST0",6407,19980505,3277886
"UNITED ST1",4307,19940420,4009565
"UNITED ST3",10547,19941009,4809907
"UNITED ST9",24337,19950820,6594169
"UNITED ST4",24523,19930213,7815822
"UNITED ST9",20089,19920413,4640803
"UNITED ST0",12395,19970117,3895057
"UNITED ST9",15436,19941109,7955737
"UNITED ST2",20428,19931030,7020090
"UNITED ST3",14492,19971003,1559051
"UNITED ST3",8005,19930526,7325908
"UNITED ST3",20920,19970609,3651008
"UNITED ST1",6793,19930316,8594515
"UNITED ST7",28912,19980105,6830386
"UNITED ST0",17254,19950528,1777689
"UNITED ST1",24103,19930707,5796403
"UNITED ST1",8423,19940628,1187776
"UNITED ST6",8423,19940628,2506219
"UNITED ST3",14885,19960520,4471413
"UNITED ST2",18010,19950102,1065737
"UNITED ST4",24412,19950627,1118646
"UNITED ST5",29140,19941205,1172136
"UNITED ST9",18073,19970816,318431
"UNITED ST1",23932,19920213,4444800
"UNITED ST1",4186,19940328,2753376
"UNITED ST0",1393,19941014,3812805
"UNITED ST5",22667,19971116,8192895
"UNITED ST3",22667,19971116,3403874
"UNITED ST1",19669,19931015,6619022
"UNITED ST3",1133,19960626,3985242
"UNITED ST9",12368,19960817,8573712
"UNITED ST3",20482,19971216,2176163
"UNITED ST3",21808,19930712,2400722
"UNITED ST9",15094,19980216,2195471
"UNITED ST1",22688,19961206,1038735
"UNITED ST0",27758,19950227,3222486
"UNITED ST0",26072,19940516,3436255
"UNITED ST5",9128,19980725,5256172
"UNITED ST4",10862,19920623,3364880
"UNITED ST6",6161,19940825,6291713
"UNITED ST0",5308,19920706,2100174
"UNITED ST7",2200,19970330,6491642
"UNITED ST6",29654,19961213,4258053
"UNITED ST5",24352,19970811,8596667
"UNITED ST5",4405,19960719,170468
"UNITED ST7",12370,19940727,7991723
"UNITED ST5",6310,19941002,4464829
"UNITED ST7",9427,19950903,2763787
"UNITED ST7",27763,19940503,4260522
"UNITED ST3",22297,19950425,797952
"UNITED ST1",19805,19980331,5724616
"UNITED ST4",337,19960901,5237806
"UNITED ST5",2803,19980113,770841
"UNITED ST4",4561,19951009,5470254
"UNITED ST4",24782,19970221,7245693
"UNITED ST1",14651,19961224,5281171
"UNITED ST0",13753,19961019,4064067
"UNITED ST5",6446,19960531,2638233
"UNITED ST3",20800,19970922,993037
"UNITED ST0",20861,19970815,724423
"UNITED ST0",6764,19970105,4613836
"UNITED ST0",11251,19930128,3571704
"UNITED ST7",11251,19930128,2931719
"UNITED ST1",10049,19960121,6169541
"UNITED ST5",19777,19920510,2667618
"UNITED ST0",21631,19950226,3244532
"UNITED ST4",20531,19941025,5403840
"UNITED ST1",24478,19930614,3779758
"UNITED ST6",9553,19980422,475878
"UNITED ST3",13075,19970601,3718242
"UNITED ST9",4084,19960902,785260
"UNITED ST1",16297,19950815,4832368
"UNITED ST9",10571,19951107,7222581
"UNITED ST3",22795,19970913,9339155
"UNITED ST1",15748,19960112,558288
"UNITED ST5",21683,19930512,2206084
"UNITED ST6",28814,19920805,7224438
"UNITED ST4",25370,19941201,4334856
"UNITED ST0",29008,19941018,4012161
"UNITED ST9",2458,19980104,3552884
"UNITED ST0",1994,19930228,448301
"UNITED ST1",8149,19980206,8466144
"UNITED ST3",22675,19950109,8489449
"UNITED ST5",18914,19970410,5618282
"UNITED ST1",18104,19920815,376574
"UNITED ST8",9163,19920407,3763640
"UNITED ST0",11342,19950502,7467652
"UNITED ST5",19384,19920212,1934986
"UNITED ST7",19384,19920212,5067270
"UNITED ST5",13886,19950306,132245
"UNITED ST2",29540,19961221,7686245
"UNITED ST6",29540,19961221,1701718
"UNITED ST5",988,19961123,2467065
"UNITED ST1",27460,19970831,903383
"UNITED ST1",22999,19931106,1219734
"UNITED ST9",15709,19960909,7214375
"UNITED ST1",10898,19931005,4548406
"UNITED ST4",19810,19930718,5730109
"UNITED ST3",21907,19931121,1768900
"UNITED ST7",26408,19960508,8666924
"UNITED ST0",20035,19921218,7777207
"UNITED ST4",5134,19970313,891912
"UNITED ST1",11161,19931212,1538146
"UNITED ST4",5468,19941117,2335153
"UNITED ST6",21535,19940504,1807975
"UNITED ST5",21535,19940504,2945208
"UNITED ST4",26671,19980329,5772258
"UNITED ST9",4046,19930228,1383713
"UNITED ST8",8657,19920201,1390483
"UNITED ST1",27877,19961030,877464
"UNITED ST6",27877,19961030,1855441
"UNITED ST1",19265,19920614,2416511
"UNITED ST8",26734,19920523,3819622
"UNITED ST5",8839,19930423,1881785
"UNITED ST3",5818,19950920,3056389
"UNITED ST0",27232,19960619,3474361
"UNITED ST1",26843,19970216,2846496
"UNITED ST0",27217,19951019,8414972
"UNITED ST5",28592,19960128,7141425
"UNITED ST3",20791,19951109,7789122
"UNITED ST3",27784,19970709,4464227
"UNITED ST0",26255,19980331,5301144
"UNITED ST6",25487,19940224,1890284
"UNITED ST2",20698,19940518,523527
"UNITED ST1",18775,19950815,3154828
"UNITED ST5",21451,19980312,8436537
"UNITED ST4",2311,19950319,4443765
"UNITED ST8",6043,19970418,1545683
