"s_nation","d_year","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
"PERU",1993,284386,474405,1655256,82762
"ARGENTINA",1993,284386,508792,1147090,108046
"PERU",1993,205655,543525,5772080,94110
"ARGENTINA",1992,148040,333567,3889336,96033
"PERU",1992,148040,457249,3900915,72373
"PERU",1992,148040,372536,7103224,96511
"PERU",1992,193309,193886,3783550,118792
"PERU",1992,193309,30244,2876888,70454
"PERU",1992,56959,300688,1337426,101320
"CANADA",1992,277624,358959,4826912,121076
"BRAZIL",1993,274315,364942,9735617,120415
"BRAZIL",1993,297712,467355,5236426,79339
"PERU",1992,52885,187871,6205700,117532
"CANADA",1992,237755,469242,605610,72673
"ARGENTINA",1992,291490,484476,5949873,87627
"UNITED STATES",1992,132763,575105,429549,70804
"ARGENTINA",1992,296749,411763,1125425,100484
"ARGENTINA",1992,296749,570216,956925,77171
"CANADA",1992,177991,274570,6292537,92673
"CANADA",1993,165604,566304,2704932,82216
"BRAZIL",1993,165604,519723,7699248,104562
"CANADA",1993,119641,119950,4349649,118197
"PERU",1993,119641,365472,2629056,92247
"CANADA",1993,122909,423852,5119717,106549
"BRAZIL",1993,121102,28452,414135,82827
"UNITED STATES",1993,121102,303471,6714690,88467
"UNITED STATES",1993,121102,130098,1929033,67685
"PERU",1992,285961,359137,947327,71767
"PERU",1993,81727,359636,7650637,101737
"ARGENTINA",1993,184144,186283,1430897,82156
"ARGENTINA",1992,70141,426985,5334368,114717
"UNITED STATES",1993,96313,310906,6774289,115013
"PERU",1993,218056,411733,5047614,98682
"CANADA",1993,146765,543456,278893,89965
"PERU",1992,93895,539331,5908776,82218
"PERU",1992,195451,84323,6086881,78439
"CANADA",1992,195451,295830,1734529,109549
"ARGENTINA",1992,195451,404390,3074128,77662
"PERU",1993,225047,413141,1136341,63247
"BRAZIL",1992,47389,590152,1017304,74527
"CANADA",1992,47389,82227,586471,72553
"CANADA",1992,47389,181148,4636316,73748
"ARGENTINA",1992,47389,152093,5331539,68705
"PERU",1992,125710,153047,4635568,66002
"PERU",1992,186818,357495,903543,93148
"PERU",1992,186818,465585,4850151,93033
"ARGENTINA",1992,50291,559454,7188792,90805
"UNITED STATES",1992,50291,486425,1106537,84684
"PERU",1993,135643,466921,9156315,113274
"UNITED STATES",1993,135643,361350,3772511,84680
"UNITED STATES",1992,46978,575540,5145431,96931
"UNITED STATES",1992,2387,104665,5807077,100179
"UNITED STATES",1992,248908,35061,4057948,59763
"CANADA",1992,182494,107578,1243086,95134
"PERU",1992,297121,145871,523305,115012
"UNITED STATES",1992,297121,51234,2755659,71113
"ARGENTINA",1992,118405,550742,6095248,107563
"ARGENTINA",1992,297586,396169,2043217,75909
"BRAZIL",1993,159319,185536,1219390,97291
"UNITED STATES",1993,58942,134849,2228582,113030
"CANADA",1993,208433,53107,887303,63606
"ARGENTINA",1993,94214,209321,996551,73818
"CANADA",1993,94214,251099,3780288,63004
"CANADA",1993,5605,113475,559664,89308
"UNITED STATES",1993,136520,496894,8508915,113452
"UNITED STATES",1993,136520,334883,8101082,115072
"BRAZIL",1993,89119,282481,5070923,87808
"PERU",1993,297146,242015,2438436,57420
"PERU",1993,112303,411011,2572352,55319
"UNITED STATES",1993,112303,161166,5475587,73629
"ARGENTINA",1993,152344,345072,2597164,67023
"CANADA",1993,152344,66987,2250984,117238
"PERU",1992,262352,510673,2000176,101019
"UNITED STATES",1992,50761,592232,3773998,79452
"UNITED STATES",1992,50761,233814,2226697,104868
"CANADA",1992,50761,369931,8373850,120055
"ARGENTINA",1993,255616,95993,779684,119339
"BRAZIL",1992,185902,82372,763864,81262
"ARGENTINA",1993,169444,200011,3006300,54660
"UNITED STATES",1993,169444,479050,2998593,61741
"UNITED STATES",1993,169444,587889,3159022,118611
"BRAZIL",1992,228346,300723,4729860,103422
"PERU",1992,228346,441003,186908,56638
"CANADA",1992,185734,542385,796466,85641
"UNITED STATES",1992,74212,85704,4129626,101382
"BRAZIL",1992,162472,103514,4507004,91050
"PERU",1993,67678,556564,4010836,97232
"UNITED STATES",1992,139075,1625,4396665,91597
"BRAZIL",1992,125561,187089,5475828,70564
"CANADA",1993,87811,125980,7702963,120358
"PERU",1993,283771,170867,5348493,116271
"ARGENTINA",1992,276181,75441,403685,84986
"UNITED STATES",1993,168391,415537,267261,87150
"PERU",1993,173803,329168,5573930,71829
"PERU",1993,173803,597176,5614591,76389
"ARGENTINA",1993,298484,180836,4813160,115009
"PERU",1993,298484,295665,2779928,99639
"BRAZIL",1993,298484,425230,2772504,69312
"UNITED STATES",1993,298484,228181,658846,66550
"CANADA",1993,148120,182522,3048588,96271
"ARGENTINA",1992,50156,296305,1893376,78077
"BRAZIL",1992,81277,532952,5895242,119095
"CANADA",1993,103081,230291,989236,73276
"CANADA",1992,260414,430509,3667795,86368
"ARGENTINA",1992,260414,82133,4014468,66907
"PERU",1992,63362,470582,7005150,93153
"PERU",1993,23026,368624,3574792,101556
"UNITED STATES",1993,297440,377675,7140336,105159
"ARGENTINA",1993,262978,502984,5150200,119217
"CANADA",1993,287315,349,2102639,74960
"CANADA",1993,213385,463619,3307613,94955
"PERU",1993,5896,269984,5142849,117238
"CANADA",1993,5896,192661,2891785,105219
"BRAZIL",1993,5896,60153,3633321,66789
"BRAZIL",1993,57680,493833,4685767,109608
"UNITED STATES",1993,57680,37003,3250520,56400
"BRAZIL",1992,119275,406737,6573196,98622
"UNITED STATES",1993,12505,8761,7690914,100185
"ARGENTINA",1993,73984,401393,1060089,77662
"ARGENTINA",1992,254512,343637,468892,100837
"ARGENTINA",1992,31004,163809,8809651,112368
"PERU",1992,31004,229894,3574804,109432
"CANADA",1993,192383,397212,4665988,78552
"UNITED STATES",1992,272152,525476,4053915,90087
"ARGENTINA",1992,127367,500796,3201844,107806
"BRAZIL",1992,83815,561463,7244138,91466
"ARGENTINA",1993,93833,162046,1612198,66482
"BRAZIL",1993,93833,542306,2114103,80896
"PERU",1992,236452,325698,784274,103420
"UNITED STATES",1992,236452,474123,1917730,65826
"UNITED STATES",1992,23755,521134,3215826,69306
"UNITED STATES",1992,23755,151851,8494322,114171
"CANADA",1993,28780,296584,1251811,94834
"UNITED STATES",1992,145144,257171,1745263,67689
"UNITED STATES",1992,172321,98144,2850781,68528
"UNITED STATES",1992,60505,441349,1935480,77419
"PERU",1992,60505,541100,4199174,68464
"CANADA",1992,83710,439205,2780357,68650
"CANADA",1993,202094,576482,1171961,93507
"UNITED STATES",1993,202094,280137,4423795,67027
"PERU",1992,77399,212978,8987732,113457
"UNITED STATES",1992,180823,479588,5451973,94053
"BRAZIL",1993,147244,17789,4331807,102406
"BRAZIL",1993,116827,244307,5943627,75077
"ARGENTINA",1992,253120,138856,4358155,113691
"ARGENTINA",1993,115309,496987,6900212,119037
"BRAZIL",1993,292084,426599,6952022,91534
"ARGENTINA",1993,134191,126899,7896149,115553
"PERU",1993,78931,522225,2963347,74832
"CANADA",1993,78931,220961,3218134,112917
"BRAZIL",1992,22204,92298,3592167,77417
"CANADA",1992,22204,238854,8164593,107570
"UNITED STATES",1993,255188,470253,2025668,73393
"CANADA",1993,255188,502908,4729428,114652
"BRAZIL",1992,137374,238044,2032802,58921
"BRAZIL",1992,137374,127453,1450841,88827
"PERU",1992,87274,41083,2635981,61444
"ARGENTINA",1992,87274,505640,7347693,98737
"PERU",1993,145477,410149,3507805,63547
"CANADA",1993,125209,387822,4348637,114588
"CANADA",1993,137533,543090,1237312,67984
"UNITED STATES",1993,137533,555291,1305881,80776
"PERU",1992,268540,497327,2641978,79458
"UNITED STATES",1992,268540,110907,4637482,115074
"UNITED STATES",1992,268540,516773,8680287,107385
"CANADA",1992,160288,348012,2385000,63600
"BRAZIL",1992,160288,222334,3855646,75379
"BRAZIL",1993,198602,597485,3560535,94947
"CANADA",1993,198602,329215,121931,74652
"UNITED STATES",1992,119360,134935,9166084,118195
"BRAZIL",1992,271294,195552,7743485,98853
"UNITED STATES",1992,271294,514461,5326338,88526
"CANADA",1992,271294,228000,4142547,55679
"UNITED STATES",1992,66583,494172,4099017,69969
"CANADA",1993,149185,224911,3073296,110154
"BRAZIL",1993,149185,73809,7220340,106968
"ARGENTINA",1993,81503,385312,6438758,83838
"UNITED STATES",1993,81503,137080,2904408,67024
"CANADA",1993,81503,162329,784704,83479
"CANADA",1993,81503,549116,2767088,69905
"ARGENTINA",1992,264970,165450,5940564,90927
"CANADA",1992,264970,310319,1020902,79758
"BRAZIL",1992,155512,540674,5421723,102879
"PERU",1993,148015,535132,3928492,70026
"UNITED STATES",1992,83426,567358,141107,85519
"ARGENTINA",1992,234748,216161,2046585,64629
"PERU",1992,234748,12333,5735989,74719
"CANADA",1992,230522,179445,280496,91466
"PERU",1992,230522,340701,2316447,104501
"PERU",1992,75415,48323,4678457,76279
"BRAZIL",1993,60664,52601,848265,93216
"PERU",1993,45313,13735,2146646,98923
"CANADA",1993,138746,61107,2973590,64086
"PERU",1992,78523,481365,1332876,80780
"UNITED STATES",1993,158702,71359,3631855,79821
"ARGENTINA",1993,158702,19749,901119,100124
"BRAZIL",1993,111418,67411,3342644,82704
"UNITED STATES",1992,22637,557870,6523844,115671
"UNITED STATES",1992,83744,386735,8197740,109303
"UNITED STATES",1992,83744,500133,1937618,67986
"BRAZIL",1992,83744,332536,7378318,94111
"CANADA",1993,192848,89675,6392332,99880
"ARGENTINA",1992,244951,536998,8093075,122098
"ARGENTINA",1993,190013,422279,4120287,72075
"CANADA",1992,295057,78665,3057207,98619
"ARGENTINA",1993,247390,359105,2935834,69845
"CANADA",1993,164143,453044,2999036,59821
"PERU",1993,164143,309792,7135048,108106
"UNITED STATES",1992,131236,143708,4682294,105102
"ARGENTINA",1992,175840,290857,8248757,110870
"UNITED STATES",1992,13961,74665,2466048,98379
"ARGENTINA",1992,13961,443318,1929773,75677
"BRAZIL",1993,35710,554908,2190574,117772
"BRAZIL",1992,281150,31206,441233,68232
"ARGENTINA",1992,281150,75130,513885,66307
"UNITED STATES",1993,79804,131725,1405376,105403
"CANADA",1992,131860,480246,2523560,73573
"UNITED STATES",1992,131860,381074,2822966,69303
"PERU",1992,131860,296104,3168259,66005
"UNITED STATES",1992,93490,44049,2064530,59582
"CANADA",1993,167777,487932,8639595,115194
"PERU",1993,167777,465844,5270195,108589
"PERU",1993,116596,83158,2038093,68469
"ARGENTINA",1993,150451,116070,4040180,65164
"BRAZIL",1992,155012,448695,3905359,98620
"UNITED STATES",1992,141257,219208,3007342,67631
"CANADA",1992,141257,432365,6164959,77840
"BRAZIL",1992,141257,142427,4988680,88165
"ARGENTINA",1993,39817,43525,6681766,88111
"BRAZIL",1993,39817,109917,2948172,115614
"CANADA",1993,39817,21534,916983,87331
"UNITED STATES",1992,13765,487563,2930520,93032
"CANADA",1992,173734,425418,1042470,80603
"BRAZIL",1993,56548,289530,5926128,91171
"BRAZIL",1992,3790,178274,6036533,81136
"CANADA",1993,46924,334017,1412544,63060
"ARGENTINA",1993,231884,88756,3800065,104685
"PERU",1993,231884,281249,2983307,73813
"ARGENTINA",1992,262885,558446,1107253,90265
"BRAZIL",1993,191597,226917,2400757,110634
"PERU",1993,191597,81791,4839716,106367
"UNITED STATES",1992,162244,313104,2181676,67025
"PERU",1992,274201,472108,3528621,64804
"PERU",1992,274201,494664,4478328,99518
"CANADA",1992,294664,299009,4334357,60479
"ARGENTINA",1992,294664,437260,1321752,71834
"ARGENTINA",1993,127297,64188,1732878,69130
"PERU",1992,168563,88870,7182673,111532
"BRAZIL",1992,168563,232331,960123,75799
"PERU",1992,168563,130837,7452641,112069
"PERU",1992,168563,408629,279843,92256
"UNITED STATES",1992,90581,226102,832752,61685
"BRAZIL",1992,90581,295463,5250420,87507
"PERU",1992,90581,430350,4212285,76819
"PERU",1993,138226,189064,766784,69183
"PERU",1993,138226,593639,4350583,103956
"PERU",1992,195970,237376,2836857,78801
"ARGENTINA",1992,195970,97018,689191,60900
"CANADA",1992,200485,438505,402730,86608
"PERU",1992,8671,151143,5731872,71648
"BRAZIL",1992,8671,534361,3181375,83720
"UNITED STATES",1992,207691,459536,1884342,89730
"ARGENTINA",1992,158270,134748,7412632,106964
"UNITED STATES",1993,59938,103262,850254,75915
"UNITED STATES",1992,137366,69148,1952760,67028
"PERU",1992,76165,310703,7634488,102821
"PERU",1992,290003,35559,6874930,89673
"CANADA",1992,290003,206226,4993046,67932
"BRAZIL",1992,290003,435671,7022667,96399
"BRAZIL",1992,6914,232984,9017426,115018
"PERU",1992,6914,150003,1682694,63180
"BRAZIL",1992,6914,490700,4427890,101440
"PERU",1992,122983,314017,890784,61860
"UNITED STATES",1992,131479,430735,7595637,99942
"UNITED STATES",1992,254357,118730,7218757,104923
"ARGENTINA",1992,233569,560655,1008790,102937
"ARGENTINA",1993,226256,390634,165563,103477
"ARGENTINA",1993,230608,443023,3450552,57960
"ARGENTINA",1993,230608,98537,1570847,92131
"PERU",1992,278854,492938,8349254,115854
"BRAZIL",1992,219991,517821,1522526,110328
"UNITED STATES",1992,219991,12911,6319848,109434
"UNITED STATES",1993,171022,225080,1097536,60304
"CANADA",1992,226657,539744,6469552,107023
"CANADA",1992,1267,560539,6695548,95970
"UNITED STATES",1993,278147,272682,6830477,99280
"UNITED STATES",1993,278147,156569,4063900,97533
"UNITED STATES",1993,278147,339537,2979622,94591
"BRAZIL",1992,9538,525060,691170,65102
"UNITED STATES",1993,73000,375134,3471383,72547
"CANADA",1993,73000,74964,581688,116337
"PERU",1993,55462,476176,2935678,69129
"CANADA",1993,263723,57261,4305330,73095
"CANADA",1993,263723,557908,389244,117952
"ARGENTINA",1992,299563,466439,5666613,84324
"PERU",1992,299563,158769,6969248,109665
"ARGENTINA",1993,90694,107901,4127041,114534
"UNITED STATES",1993,90694,454659,6131794,96817
"UNITED STATES",1992,291517,288311,2719434,77958
"PERU",1993,215767,81690,4513563,100301
"BRAZIL",1993,154054,594453,5091044,92845
"BRAZIL",1993,247063,136337,5009907,82399
"BRAZIL",1993,247063,13832,5845038,104749
"CANADA",1993,247063,243402,3341948,80723
"ARGENTINA",1993,247063,48337,4542356,77119
"UNITED STATES",1993,15740,149927,2941656,118615
"CANADA",1993,15740,412047,95902,57541
"PERU",1993,67600,450045,4531321,59701
"PERU",1993,67600,507208,799588,72910
"ARGENTINA",1992,50125,162755,4537104,109065
"UNITED STATES",1992,65827,324969,7178220,119637
"CANADA",1993,153958,64520,6335931,89071
"PERU",1993,189197,501447,993616,86905
"BRAZIL",1992,166645,333152,4953885,71108
"ARGENTINA",1993,171379,141532,3436589,94411
"BRAZIL",1993,171379,16933,4084645,110995
"UNITED STATES",1993,171379,130659,2595302,101379
"CANADA",1993,141397,324359,6241630,83000
"UNITED STATES",1992,263642,364693,5452323,105460
"ARGENTINA",1993,116372,83271,4402487,75256
"PERU",1993,163826,259453,1652554,84746
"CANADA",1993,74882,248169,3722343,67029
"BRAZIL",1993,74882,465052,3966417,61021
"UNITED STATES",1993,74882,524172,449752,71769
"BRAZIL",1993,38824,12588,3488848,90034
"BRAZIL",1993,38824,360746,4634262,108403
"CANADA",1993,38824,45230,3224831,70513
"BRAZIL",1992,61883,321005,4822153,61559
"ARGENTINA",1992,61883,261328,4332081,77358
"CANADA",1992,262190,540587,748677,97653
"BRAZIL",1992,262190,556422,5112307,88704
"ARGENTINA",1992,213895,373340,4341749,84799
"CANADA",1993,10324,571454,4301712,91525
"ARGENTINA",1993,10324,221211,4270658,67932
"UNITED STATES",1992,260756,13230,452719,68593
"BRAZIL",1992,260756,348231,1665544,76753
"PERU",1992,274780,63839,2249931,108169
"BRAZIL",1992,274780,135378,5721321,84802
"BRAZIL",1993,252064,88873,4598818,111712
"BRAZIL",1993,281476,477918,1486377,113753
"ARGENTINA",1992,165547,96402,1577395,83904
"ARGENTINA",1992,165547,508837,548205,110748
"CANADA",1992,165547,221014,4254250,56100
"BRAZIL",1992,128159,330755,8839413,107144
"ARGENTINA",1993,131866,304085,5176349,65344
"UNITED STATES",1992,70175,44452,4423953,83787
"CANADA",1992,30490,291347,622323,80299
"ARGENTINA",1993,47065,480360,747909,80420
"ARGENTINA",1993,47065,211454,2360845,81926
"CANADA",1993,47065,90623,1739482,96817
"BRAZIL",1993,47065,293751,1765676,104684
"PERU",1993,67789,458948,3943510,114415
"CANADA",1993,202607,342976,605688,121137
"UNITED STATES",1993,202607,11014,499505,55500
"CANADA",1993,209374,133855,5048896,113331
"CANADA",1992,152359,299331,2868169,79819
"PERU",1992,174602,363716,3724912,106782
"PERU",1992,174602,161837,2295685,113929
"ARGENTINA",1992,174602,393723,8447701,109002
"CANADA",1992,174602,481239,113479,73212
"BRAZIL",1993,21137,401186,722961,65229
"ARGENTINA",1993,21137,524335,129134,81558
"ARGENTINA",1993,299732,11973,1628614,113098
"PERU",1993,278986,86194,1109378,70811
"CANADA",1992,173006,264635,6897561,95977
"BRAZIL",1992,173006,572337,5834543,84558
"ARGENTINA",1992,222517,123317,4691085,80418
"CANADA",1992,222517,180499,3778140,94769
"ARGENTINA",1992,193738,384923,2240827,120474
"CANADA",1992,10895,142029,944639,64261
"BRAZIL",1993,163648,128625,5893501,99217
"ARGENTINA",1993,283309,11801,4699923,102768
"ARGENTINA",1993,255979,370581,7521249,99094
"BRAZIL",1992,213184,110739,3149514,104983
"BRAZIL",1992,260677,45797,5932457,104567
"CANADA",1992,260677,500945,1109174,116755
"CANADA",1992,260677,392760,8011291,111165
"ARGENTINA",1992,166609,312045,4101276,63421
"PERU",1992,166609,529150,583669,70747
"UNITED STATES",1992,166609,218699,3452129,97060
"BRAZIL",1992,117977,371859,8495696,115850
"CANADA",1992,12598,134901,6260700,116154
"PERU",1992,136720,517061,1090976,64682
"UNITED STATES",1992,136720,482025,3190176,60420
"BRAZIL",1992,52622,128338,270533,81979
"CANADA",1992,52622,347568,2907990,96933
"CANADA",1992,107677,544512,3362018,93389
"ARGENTINA",1992,121336,511898,3953430,114592
"CANADA",1993,66692,81741,661532,103364
"BRAZIL",1992,299815,527024,1270659,63060
"UNITED STATES",1993,54053,324543,1191322,94051
"BRAZIL",1992,209026,456939,170631,113754
"ARGENTINA",1992,130633,535307,2061742,80536
"BRAZIL",1992,130633,192201,823768,77592
"ARGENTINA",1992,271346,413294,2269667,72436
"BRAZIL",1992,271346,23289,3410143,72736
"UNITED STATES",1993,188014,380599,4104893,100774
"ARGENTINA",1993,16741,490996,2950650,119218
"UNITED STATES",1992,142558,313084,1474462,65824
"BRAZIL",1992,283082,464515,2840620,88769
"CANADA",1992,283082,489094,212281,64984
"ARGENTINA",1993,52169,40314,2967697,75258
"UNITED STATES",1993,52169,390921,8045628,120714
"BRAZIL",1993,196787,221806,3649092,103667
"CANADA",1993,196787,5349,860477,75260
"ARGENTINA",1992,165079,568273,3278015,80475
"UNITED STATES",1992,269914,592080,4020165,70323
"PERU",1992,144661,586024,4428900,66600
"CANADA",1992,144661,299989,8783291,119338
"PERU",1992,94111,508962,3317092,118256
"ARGENTINA",1993,110494,208895,2741897,108232
"CANADA",1992,271321,559347,1215060,84379
"ARGENTINA",1992,299503,459413,499549,82343
"CANADA",1993,117577,260490,3031503,87028
"CANADA",1992,281587,345482,6415374,91648
"PERU",1993,284425,589962,1407630,123116
"PERU",1992,130993,294141,5448624,68107
"CANADA",1993,226771,354584,4129196,98314
"UNITED STATES",1993,226771,585548,1760934,98011
"CANADA",1993,127633,413322,232236,74118
"CANADA",1993,34021,37151,5114305,65289
"CANADA",1993,34021,64357,2674412,79281
"ARGENTINA",1992,28399,444122,2937105,63966
"UNITED STATES",1993,277513,309385,3371586,83662
"ARGENTINA",1993,235853,96243,3060922,74354
"CANADA",1992,280252,580147,4294920,73627
"PERU",1993,178805,582645,4768231,103657
"CANADA",1993,178805,27221,522440,68893
"ARGENTINA",1992,222253,462850,2411063,108769
"ARGENTINA",1993,57563,481403,5606739,83062
"PERU",1993,57563,539192,5670769,73870
"BRAZIL",1993,171232,335875,1089190,114651
"ARGENTINA",1992,298042,24310,5376654,74058
"UNITED STATES",1992,81166,385211,1154914,77772
"BRAZIL",1993,28111,416172,5277527,65289
"BRAZIL",1993,28111,22707,2012679,97782
"ARGENTINA",1993,163561,245743,7535113,101323
"CANADA",1992,145610,378737,8170740,108943
"PERU",1992,249949,151140,5262456,71468
"BRAZIL",1992,249949,406714,1917276,97241
"CANADA",1992,249949,428991,7320845,115198
"CANADA",1992,210616,277224,4516549,72072
"PERU",1993,119476,94091,2339454,65105
"BRAZIL",1992,55529,585317,1904309,84137
"UNITED STATES",1992,160519,24753,3785004,100665
"BRAZIL",1992,160519,232675,2025651,96459
"CANADA",1992,53425,302943,5604278,116755
"CANADA",1992,53425,557011,3915251,64079
"PERU",1992,53425,69275,5731107,74656
"PERU",1992,130732,300766,5305550,106005
"ARGENTINA",1992,235306,429380,4749048,78561
"PERU",1992,260308,114524,4029383,92311
"UNITED STATES",1993,226378,580918,8827098,119933
"CANADA",1993,236207,64520,445356,89071
"UNITED STATES",1993,119929,240898,7237831,110332
"CANADA",1993,119929,567277,1209825,80655
"PERU",1993,119929,215340,3776032,75319
"BRAZIL",1993,216751,580542,3543583,97351
"PERU",1993,138487,178261,1258904,80355
"UNITED STATES",1992,53471,94596,7326257,95435
"PERU",1992,53471,458317,1836417,76517
"UNITED STATES",1992,14074,533248,3529761,76873
"UNITED STATES",1992,58756,175690,7959730,105941
"BRAZIL",1992,255694,341784,1643193,109546
"BRAZIL",1992,255694,265100,600710,63905
"ARGENTINA",1993,218099,467495,2237579,87748
"PERU",1992,286945,403993,3141382,113818
"UNITED STATES",1992,286945,294534,296532,91711
"ARGENTINA",1992,4189,537148,1401996,71107
"BRAZIL",1993,150085,547126,3859499,70386
"CANADA",1993,150085,534972,8850649,120417
"PERU",1993,286244,599087,3943649,71163
"CANADA",1992,101527,53389,4296958,80542
"PERU",1993,271477,563520,6427426,95010
"UNITED STATES",1993,271477,77150,5025961,67629
"BRAZIL",1992,121888,110997,6349264,120479
"BRAZIL",1993,39811,73475,4797332,86908
"CANADA",1993,90484,407218,4607653,67511
"PERU",1993,49603,243574,2185286,91053
"PERU",1993,246814,323282,4127263,78316
"PERU",1993,246814,387143,3155283,73807
"CANADA",1992,85255,494706,6139454,102040
"PERU",1992,85255,315545,6671265,93631
"PERU",1992,85255,549542,143236,95491
"CANADA",1992,74387,159555,1951990,96873
"ARGENTINA",1992,74387,546652,468821,101917
"UNITED STATES",1992,121214,471900,4133111,112312
"UNITED STATES",1992,282146,36432,1654431,82105
"CANADA",1993,103681,3104,906390,60426
"UNITED STATES",1993,103681,565018,2759458,64979
"BRAZIL",1992,156220,128749,4927895,106664
"ARGENTINA",1992,188809,544602,7985913,98794
"ARGENTINA",1992,188809,125627,7362422,99157
"CANADA",1992,72511,301477,4949884,88707
"PERU",1993,67244,46340,2512222,77180
"UNITED STATES",1993,56155,7717,7005749,97482
"UNITED STATES",1993,56155,294065,1991014,63543
"PERU",1993,56155,286509,5922140,89729
"BRAZIL",1992,163538,41556,4793657,89853
"PERU",1992,163538,67453,6333786,85227
"BRAZIL",1993,279811,214182,2900465,65770
"PERU",1993,279811,342982,6220707,121498
"PERU",1993,189760,433411,4597813,80663
"UNITED STATES",1993,263416,142978,1400532,121258
"UNITED STATES",1993,263416,21644,2301490,93938
"PERU",1992,114235,171081,4377904,69124
"ARGENTINA",1993,214351,107287,4180524,77656
"BRAZIL",1992,255631,182581,7985184,99814
"ARGENTINA",1992,255631,579541,3176219,97231
"CANADA",1992,79726,206443,4675774,80965
"BRAZIL",1992,79726,420449,3382467,82165
"ARGENTINA",1992,79726,281138,1074355,67147
"ARGENTINA",1992,79726,81347,6248511,79700
"BRAZIL",1992,213346,26626,1032492,93157
"ARGENTINA",1992,213346,499971,9561078,118257
"PERU",1992,213346,598736,6825121,110082
"UNITED STATES",1992,213346,414764,2568472,100724
"CANADA",1993,246005,452284,118680,74175
"CANADA",1993,246005,74386,4799420,81622
"BRAZIL",1992,215615,539202,4579954,74470
"ARGENTINA",1993,135040,288277,5708853,75915
"ARGENTINA",1993,135040,546282,3406986,79695
"ARGENTINA",1993,218816,325072,625324,65823
"UNITED STATES",1993,287068,111685,7336444,101800
"UNITED STATES",1992,34205,524014,1195764,62279
"CANADA",1992,34205,223353,255268,76580
"BRAZIL",1992,224827,481145,922292,67567
"BRAZIL",1992,224827,539117,1248577,69365
"UNITED STATES",1992,224827,198487,3262917,95128
"ARGENTINA",1993,19360,527295,5024626,79336
"PERU",1992,275800,299109,3117057,66485
