"s_nation","d_year","lo_partkey","lo_revenue","lo_supplycost"
"ARGENTINA",1992,579541,3176219,97231
"CANADA",1992,206443,4675774,80965
"BRAZIL",1992,420449,3382467,82165
"ARGENTINA",1992,281138,1074355,67147
"ARGENTINA",1992,81347,6248511,79700
"PERU",1992,54368,476049,79341
"BRAZIL",1992,559471,3085387,91827
"ARGENTINA",1992,331513,6442109,92670
"BRAZIL",1992,123586,4215490,96574
"CANADA",1992,123450,3321156,88407
"UNITED STATES",1993,37144,4540788,64868
"PERU",1992,226159,2395989,65108
"CANADA",1992,154367,4349361,85281
"UNITED STATES",1992,37588,573618,91534
"PERU",1992,526404,3823405,85822
"PERU",1992,435335,2217961,76218
"ARGENTINA",1993,451291,869589,74536
"PERU",1993,26303,5664614,73758
"CANADA",1993,23787,5886793,102646
"UNITED STATES",1993,230356,120915,77180
"BRAZIL",1993,565175,4906033,74409
"UNITED STATES",1992,228860,4980158,107331
"UNITED STATES",1993,16752,465581,100125
"UNITED STATES",1993,501807,5788096,108526
"PERU",1992,589031,3183068,67200
"ARGENTINA",1992,583392,1460616,88522
"BRAZIL",1993,295244,1214445,74353
"ARGENTINA",1992,234379,3020728,78801
"PERU",1992,367159,1875994,73568
"BRAZIL",1992,248041,3240062,59341
"UNITED STATES",1992,126851,5355628,112671
"BRAZIL",1992,187120,5276321,72427
"UNITED STATES",1992,318488,1247357,90388
"ARGENTINA",1993,555103,5385072,69484
"ARGENTINA",1992,245429,5296976,82464
"PERU",1992,102085,4794022,65224
"UNITED STATES",1992,422799,2754832,103306
"BRAZIL",1992,304313,3793824,79038
"ARGENTINA",1992,182418,2079568,90024
"PERU",1993,59838,5350342,107869
"CANADA",1993,410331,808092,74478
"UNITED STATES",1992,163664,1112613,103659
"BRAZIL",1992,111588,921358,95974
"BRAZIL",1992,130788,5529091,109126
"BRAZIL",1993,117691,314398,102521
"BRAZIL",1993,417162,1480580,64748
"PERU",1993,83737,3720218,103243
"PERU",1993,440464,3303242,84266
"ARGENTINA",1992,191891,4616167,118973
"ARGENTINA",1992,41291,5271736,73937
"CANADA",1993,588717,2325728,108341
"ARGENTINA",1992,89832,346147,109309
"UNITED STATES",1993,69610,7430485,94776
"PERU",1992,77916,5492339,113634
"UNITED STATES",1992,239809,6405817,104927
"CANADA",1992,255832,884970,107269
"PERU",1992,428689,4563418,97059
"CANADA",1992,314081,2184664,65704
"ARGENTINA",1992,549635,4248586,101076
"UNITED STATES",1993,197816,5012268,114828
"UNITED STATES",1993,380147,5291384,73627
"PERU",1993,341589,319591,97834
"UNITED STATES",1992,349249,4673628,77893
"PERU",1992,470684,5675483,99279
"PERU",1992,473002,926231,58498
"UNITED STATES",1992,287400,2530599,83243
"BRAZIL",1992,331101,4931384,67925
"BRAZIL",1992,268527,6070275,89730
"CANADA",1993,507738,6036665,104742
"PERU",1993,20846,8051489,106010
"ARGENTINA",1993,69872,5002518,110512
"BRAZIL",1993,446883,7729328,109791
"ARGENTINA",1993,547298,3486939,80716
"ARGENTINA",1993,522511,966098,92009
"CANADA",1993,14230,1561873,68653
"UNITED STATES",1993,357122,5044232,70746
"UNITED STATES",1993,375757,1180284,109964
"CANADA",1993,514151,3131869,69907
"BRAZIL",1993,156228,5848337,77053
"BRAZIL",1993,142219,2516113,75672
"BRAZIL",1993,462539,3678699,90090
"UNITED STATES",1992,107671,7327394,100720
"UNITED STATES",1993,370539,630931,96571
"ARGENTINA",1992,516895,7307167,114712
"BRAZIL",1992,220851,701648,106310
"PERU",1992,236783,3678588,103186
"ARGENTINA",1992,21888,1737484,108592
"UNITED STATES",1992,358621,2494220,100776
"CANADA",1992,324815,827910,110388
"PERU",1992,61871,172289,109972
"ARGENTINA",1992,289280,4772455,76156
"PERU",1992,127463,4712834,89427
"PERU",1992,291439,543559,85825
"CANADA",1993,334572,3740071,96393
"UNITED STATES",1992,136539,4340585,94531
"BRAZIL",1993,445849,3962962,107689
"ARGENTINA",1993,294009,1003992,60179
"CANADA",1992,153249,5508475,78134
"PERU",1993,189753,8487706,110565
"UNITED STATES",1992,147342,6603533,83360
"PERU",1992,99398,2389536,83843
"BRAZIL",1993,433957,2666211,113455
"BRAZIL",1993,514695,1990055,102580
"CANADA",1992,59397,1627668,81383
"BRAZIL",1992,255090,884137,62704
"UNITED STATES",1992,299910,8434118,114594
"UNITED STATES",1992,159295,650059,81257
"PERU",1992,81780,7596795,105706
"UNITED STATES",1992,368512,1869731,94830
"CANADA",1992,207889,1584839,107812
"ARGENTINA",1992,8531,2072923,86371
"PERU",1992,223571,277988,89673
"CANADA",1992,108036,187925,62641
"UNITED STATES",1993,585046,5211740,67861
"PERU",1993,65689,4654614,99280
"CANADA",1992,474234,1275869,72492
"ARGENTINA",1993,86458,6511580,86667
"CANADA",1992,37519,5281305,87390
"BRAZIL",1992,235738,8284914,100423
"CANADA",1993,223136,4778749,63547
"ARGENTINA",1993,216556,4930063,88352
"CANADA",1993,40574,3819745,90874
"UNITED STATES",1993,486854,169356,110449
"UNITED STATES",1993,183021,4570642,66241
"PERU",1993,425578,3978393,90213
"BRAZIL",1993,382643,7541003,103537
"UNITED STATES",1993,271182,2594632,69190
"PERU",1993,256281,113828,74236
"PERU",1993,506810,7357999,109007
"CANADA",1993,349659,4640666,102518
"PERU",1993,137580,1520525,97054
"CANADA",1993,200974,5737377,112497
"UNITED STATES",1993,12992,7107517,114299
"BRAZIL",1993,573165,5581535,74288
"PERU",1993,181324,1808646,84319
"CANADA",1992,70189,4903331,69550
"CANADA",1993,10453,613552,81807
"BRAZIL",1993,514795,3912722,108586
"BRAZIL",1992,167895,1713602,117773
"ARGENTINA",1993,395257,6360936,81134
"BRAZIL",1993,213273,3233744,71175
"PERU",1993,66066,3038384,61923
"CANADA",1993,2357,4634408,75561
"PERU",1992,186749,5911082,110144
"CANADA",1993,449409,6520224,81502
"PERU",1993,302709,6641357,102701
"UNITED STATES",1993,226092,3752642,61084
"BRAZIL",1993,525066,3142195,65462
"BRAZIL",1992,367253,4389798,79214
"UNITED STATES",1992,500631,4731669,97896
"ARGENTINA",1993,11890,5194848,108113
"CANADA",1992,576876,1353325,117171
"CANADA",1993,239871,3513068,108651
"CANADA",1993,110123,4895078,67987
"BRAZIL",1992,262807,1698998,106187
"CANADA",1992,165562,449206,97653
"BRAZIL",1992,586877,6940245,117831
"ARGENTINA",1992,487850,4142468,110269
"CANADA",1992,266391,2418851,81442
"PERU",1992,21834,6622990,105349
"PERU",1992,350524,3936275,94470
"UNITED STATES",1992,379006,488245,65099
"BRAZIL",1992,523668,4059936,101498
"CANADA",1992,417797,6931100,102886
"BRAZIL",1992,19474,4096801,83608
"PERU",1993,335939,1078306,118495
"BRAZIL",1993,532899,6491083,115912
"UNITED STATES",1993,572007,941949,64738
"BRAZIL",1993,515857,8528867,112369
"CANADA",1993,447200,5219669,68830
"CANADA",1992,345812,8469710,111468
"CANADA",1993,96463,577946,87567
"CANADA",1993,354670,2380030,103479
"UNITED STATES",1993,22663,4566700,95139
"BRAZIL",1992,293290,4250223,76996
"PERU",1993,327724,3363283,105102
"ARGENTINA",1993,54617,6129279,94296
"PERU",1992,411327,3411516,74298
"UNITED STATES",1992,521137,1572713,69486
"PERU",1992,308255,5521622,75794
"BRAZIL",1993,549476,2359871,91527
"PERU",1993,499493,5874361,89548
"BRAZIL",1993,328945,5438177,118435
"UNITED STATES",1992,509743,5100415,105163
"ARGENTINA",1992,555856,1548582,114709
"BRAZIL",1992,275816,4816358,107508
"BRAZIL",1992,360250,995782,78614
"ARGENTINA",1993,581579,3786054,99633
"ARGENTINA",1993,596639,5054096,104136
"PERU",1993,294713,6755661,102462
"CANADA",1992,40274,111712,72856
"ARGENTINA",1992,74634,1923921,96517
"PERU",1992,213875,3699362,107331
"PERU",1993,447195,5204868,68530
"ARGENTINA",1992,21013,3976080,56040
"UNITED STATES",1993,595358,5611307,87199
"PERU",1993,504535,1699619,92370
"CANADA",1993,279884,6709932,111832
"BRAZIL",1993,592123,4695146,72906
"CANADA",1993,202298,2640616,72016
"BRAZIL",1993,370698,5412160,106120
"BRAZIL",1993,560256,5933564,78973
"ARGENTINA",1993,484581,1252448,93933
"BRAZIL",1993,346942,6424243,119335
"ARGENTINA",1992,334844,751532,112729
"UNITED STATES",1992,302653,7311306,99338
"ARGENTINA",1992,475526,3513510,90090
"PERU",1992,151640,1339778,101498
"PERU",1992,490281,1156846,76275
"UNITED STATES",1992,347579,2093382,97593
"ARGENTINA",1992,421001,1659564,55318
"PERU",1992,359375,4217018,86061
"PERU",1993,174848,6091557,115370
"ARGENTINA",1992,44973,3141634,115078
"ARGENTINA",1992,76533,4685581,90571
"BRAZIL",1993,219013,4473600,55920
"UNITED STATES",1992,554451,4666833,90325
"BRAZIL",1992,431856,3947528,107269
"UNITED STATES",1992,551486,7006205,92247
"CANADA",1992,464123,2685137,65226
"PERU",1993,360051,399974,66662
"ARGENTINA",1993,568915,2190214,119033
"PERU",1993,329637,6719811,99997
"ARGENTINA",1992,502264,3969662,75974
"PERU",1992,355512,3569197,94050
"CANADA",1992,310843,4182240,111229
"ARGENTINA",1992,585556,7642963,98491
"BRAZIL",1993,149367,395164,84981
"ARGENTINA",1992,560844,746689,114289
"UNITED STATES",1993,210262,1920145,70335
"UNITED STATES",1993,232106,2055418,62285
"UNITED STATES",1992,409753,1421634,99763
"PERU",1993,526312,880594,80297
"CANADA",1993,594850,8588369,116689
"ARGENTINA",1992,261966,7193181,115677
"ARGENTINA",1992,179523,6339569,96151
"ARGENTINA",1993,332375,256139,84441
"ARGENTINA",1992,167011,793415,64680
"UNITED STATES",1992,230202,2163615,67931
"UNITED STATES",1993,394003,2813779,65819
"CANADA",1993,70642,3870336,96758
"ARGENTINA",1993,477806,6710580,107026
"PERU",1993,79344,4902974,79400
"CANADA",1992,36405,1743820,80484
"PERU",1992,443582,3228084,91533
"PERU",1993,228,1166579,67693
"UNITED STATES",1993,435301,1912525,74176
"ARGENTINA",1992,225960,7208100,113157
"CANADA",1992,385449,2452019,92065
"UNITED STATES",1992,520607,7265517,97654
"ARGENTINA",1993,41149,709681,65408
"UNITED STATES",1993,374730,2829800,108283
"PERU",1992,515758,6669224,106423
"UNITED STATES",1993,6411,4805911,79044
"CANADA",1993,94588,3223715,94954
"CANADA",1993,215811,2538396,103608
"BRAZIL",1993,445567,995251,90752
"ARGENTINA",1993,30650,6164535,94839
"UNITED STATES",1993,325591,2887211,96994
"BRAZIL",1993,272904,2787181,112613
"UNITED STATES",1992,496118,1403753,66845
"BRAZIL",1992,550241,1226659,77473
"ARGENTINA",1992,515991,6954151,120418
"UNITED STATES",1993,493265,2199403,75494
"BRAZIL",1993,72223,2611555,71713
"ARGENTINA",1993,185362,2527090,86841
"UNITED STATES",1993,118320,871246,80299
"BRAZIL",1993,441418,6525072,81563
"ARGENTINA",1993,535700,1154227,104140
"PERU",1993,133286,949881,79156
"CANADA",1992,535519,3691913,93269
"PERU",1992,451860,4745208,108710
"BRAZIL",1993,432807,3799679,104386
"CANADA",1993,285148,3846976,67987
"PERU",1993,82800,1604520,106968
"UNITED STATES",1992,559580,5702389,98373
"PERU",1992,459995,4085887,117298
"BRAZIL",1992,121518,1066880,92370
"CANADA",1993,164412,5610358,88584
"BRAZIL",1993,186444,974890,91826
"PERU",1992,178228,496363,78373
"BRAZIL",1993,178792,935395,112247
"PERU",1993,143800,4554186,110628
"CANADA",1992,489063,2935191,63122
"ARGENTINA",1992,268237,1410107,72313
"UNITED STATES",1993,112595,2893662,96455
"BRAZIL",1993,554992,5162458,122818
"BRAZIL",1993,411484,1946666,83727
"UNITED STATES",1992,415293,3078671,72496
"BRAZIL",1992,338144,5503997,70927
"PERU",1992,598723,7498117,109302
"BRAZIL",1992,581007,430840,65278
"CANADA",1992,582057,5357997,68341
"BRAZIL",1992,390705,1817238,107741
"CANADA",1992,570193,2501076,75790
"UNITED STATES",1993,388058,3481669,68762
"UNITED STATES",1993,390092,4564010,70924
"UNITED STATES",1993,551213,2020175,75851
"ARGENTINA",1993,490181,2726460,70269
"UNITED STATES",1993,592683,6861150,106539
"BRAZIL",1993,123207,4254031,73812
"BRAZIL",1993,312059,848263,64262
"PERU",1992,190146,367133,74168
"BRAZIL",1993,563621,5424412,101076
"ARGENTINA",1993,569599,2823220,100114
"CANADA",1992,61877,4275372,110332
"UNITED STATES",1992,162638,833308,102037
"ARGENTINA",1992,453229,3227406,70932
"ARGENTINA",1993,387970,6256198,123477
"CANADA",1993,407022,769212,55740
"BRAZIL",1992,531053,4886807,65041
"PERU",1993,205617,3501980,91356
"PERU",1993,483309,2326104,77536
"BRAZIL",1993,165188,4643031,75190
"PERU",1992,242692,3596296,98080
"ARGENTINA",1992,442967,4583856,114596
"BRAZIL",1993,166166,4757369,73929
"PERU",1993,567906,6253251,118432
"PERU",1993,6223,4564307,67753
"CANADA",1993,57340,1341449,77840
"BRAZIL",1993,110620,6437687,97837
"CANADA",1993,506806,2842439,108766
"ARGENTINA",1992,87926,3272803,114835
"UNITED STATES",1992,445006,760784,57058
"CANADA",1993,297130,4263894,67627
"UNITED STATES",1993,55963,6908256,115137
"PERU",1993,335045,2462468,64801
"ARGENTINA",1993,271274,1133186,74715
"UNITED STATES",1993,306822,2922438,109728
"PERU",1992,206663,6278600,94179
"ARGENTINA",1992,580650,5754344,103837
"ARGENTINA",1992,38587,6877314,91534
"BRAZIL",1993,248579,1512284,91653
"CANADA",1993,512085,2270914,65823
"BRAZIL",1992,146486,4088656,91948
"ARGENTINA",1992,534178,1280030,72729
"ARGENTINA",1992,119153,2320857,70329
"UNITED STATES",1992,82066,3389426,62883
"PERU",1993,147708,4550774,105342
"UNITED STATES",1992,588165,4849651,75188
"BRAZIL",1993,1631,1692023,91957
"PERU",1993,298107,201126,66305
"ARGENTINA",1993,405472,272735,82647
"ARGENTINA",1993,237222,2559535,69552
"BRAZIL",1993,350800,1269641,111047
"UNITED STATES",1993,291052,3963552,62582
"UNITED STATES",1993,200446,5041033,80785
"UNITED STATES",1993,510801,4438861,108706
"BRAZIL",1993,423669,5942139,95558
"CANADA",1993,59088,1828201,62824
"CANADA",1993,251752,327118,102224
"ARGENTINA",1993,198586,8085984,101074
"UNITED STATES",1993,267320,1776487,77238
"UNITED STATES",1993,45984,3300265,115798
"ARGENTINA",1992,298613,1856563,96696
"CANADA",1992,363035,899278,65881
"ARGENTINA",1992,57970,187013,115678
"BRAZIL",1993,366416,862756,88944
"BRAZIL",1992,108037,409651,62701
"UNITED STATES",1992,337106,3827065,68585
"UNITED STATES",1993,371168,5358084,74349
"ARGENTINA",1993,400192,688067,65530
"PERU",1992,309262,1988235,76275
"CANADA",1992,562703,7389370,105940
"BRAZIL",1992,430460,4004467,83426
"CANADA",1993,306766,5000927,106365
"CANADA",1993,440760,7673738,102044
"BRAZIL",1993,515909,8146092,115492
"ARGENTINA",1993,82916,1921696,113934
"ARGENTINA",1992,316624,6121115,98436
"ARGENTINA",1993,532275,3932208,78435
"BRAZIL",1993,559358,1262841,85039
"ARGENTINA",1992,563607,1283005,100234
"BRAZIL",1992,581852,177912,116029
"PERU",1993,464220,1044464,71052
"PERU",1993,336282,5315264,79096
"ARGENTINA",1993,489979,5209841,118137
"ARGENTINA",1993,293204,2581141,71831
"CANADA",1992,174059,4506139,67983
"PERU",1993,510834,2350287,110688
"ARGENTINA",1993,162328,4175130,83419
"PERU",1993,250324,5030975,76458
"UNITED STATES",1993,148059,1534371,66423
"ARGENTINA",1992,21152,107315,64389
"PERU",1993,572269,262883,80474
"UNITED STATES",1993,116420,6751174,86185
"CANADA",1993,59617,2522576,94596
"PERU",1993,581847,4484506,115729
"CANADA",1992,195380,2891744,88522
"PERU",1993,196923,3159154,121195
"UNITED STATES",1992,335168,1943087,72189
"BRAZIL",1993,570944,8897886,120895
"ARGENTINA",1993,53638,1432467,95497
"CANADA",1993,372271,5256176,80595
"BRAZIL",1993,547353,1316310,84019
"BRAZIL",1993,69948,5953285,115076
"PERU",1992,307278,2416288,77115
"PERU",1992,234447,5470462,82885
"CANADA",1992,530540,6145444,94231
"PERU",1992,168518,5667013,95190
"PERU",1993,499946,1698788,116755
"PERU",1992,154789,5310086,110626
"CANADA",1993,27371,1121791,77902
"BRAZIL",1992,178414,7239680,89544
"ARGENTINA",1992,388480,1341041,94108
"UNITED STATES",1992,578821,8005757,113988
"ARGENTINA",1993,153029,839647,64921
"ARGENTINA",1992,229914,2013538,110634
"PERU",1993,256380,1015641,80182
"ARGENTINA",1992,452852,3600635,108289
"CANADA",1992,419370,2126138,77361
"UNITED STATES",1993,373131,5057304,72247
"PERU",1992,78692,601448,100241
"PERU",1992,165369,1451572,86061
"CANADA",1992,182908,7804328,119454
"ARGENTINA",1992,470577,1685281,92853
"BRAZIL",1992,370595,6282567,99934
"UNITED STATES",1993,264088,1988412,63124
"ARGENTINA",1992,590253,4466239,80593
"CANADA",1993,553812,2981532,111947
"BRAZIL",1993,137302,2094665,80358
"BRAZIL",1993,171790,2396123,111707
"ARGENTINA",1992,350808,7992797,111527
"BRAZIL",1993,398562,1952806,99633
"PERU",1993,224105,1592002,61745
"UNITED STATES",1993,321062,5090335,64983
"UNITED STATES",1993,67455,3271635,85347
"PERU",1992,169778,3229901,110866
"PERU",1992,361514,3442467,94530
"UNITED STATES",1993,586186,493598,76329
"CANADA",1992,439571,6114706,90633
"CANADA",1993,148090,2765558,68285
"ARGENTINA",1993,233213,4181337,68772
"UNITED STATES",1992,77351,132835,79701
"ARGENTINA",1992,15157,101854,64329
"UNITED STATES",1992,240357,259468,77840
"BRAZIL",1993,539006,802544,62698
"UNITED STATES",1993,7077,1446582,59044
"CANADA",1993,551570,3697134,97293
"ARGENTINA",1992,315719,1318372,104082
"PERU",1993,274012,936700,59160
"CANADA",1992,210666,1873060,94599
"PERU",1992,46796,2537502,104567
"ARGENTINA",1993,482072,1802425,63243
"CANADA",1993,232138,1819204,64207
"ARGENTINA",1993,154488,5090184,92548
"ARGENTINA",1993,469185,1791256,69249
"PERU",1993,366389,6985776,87322
"CANADA",1993,310360,4248085,82221
"PERU",1993,594159,2394731,75187
"CANADA",1992,237967,3897527,114297
"BRAZIL",1992,577086,2842518,69783
"CANADA",1992,516693,1354058,102580
"UNITED STATES",1993,582512,5041777,95669
"UNITED STATES",1992,264083,4527530,62824
"CANADA",1993,121700,1377360,103302
"UNITED STATES",1993,159367,4558646,85581
"ARGENTINA",1993,284436,801116,85225
"UNITED STATES",1992,583983,3885884,124017
"CANADA",1992,72350,4760460,79341
"PERU",1992,78460,517845,86307
"ARGENTINA",1992,368330,1220733,83899
"ARGENTINA",1992,171166,2474320,74229
"UNITED STATES",1993,30941,748776,112316
"PERU",1992,147426,3430121,88405
"UNITED STATES",1993,273278,840846,75075
"PERU",1992,588541,3285112,97771
"PERU",1992,2875,8277762,106672
"UNITED STATES",1993,1242,1792600,68594
"UNITED STATES",1993,343240,2243086,76993
"PERU",1993,421703,6357372,97480
"BRAZIL",1992,404921,8052219,109554
"ARGENTINA",1992,322286,1059698,78496
"UNITED STATES",1993,376771,6701825,110865
"ARGENTINA",1993,326241,4935860,76033
"UNITED STATES",1993,125965,5495049,119457
"PERU",1993,277663,2136126,98439
"CANADA",1992,155930,4128748,119155
"ARGENTINA",1993,470620,1417224,95436
"CANADA",1993,588497,5179730,95128
"ARGENTINA",1993,462034,2460144,59760
"CANADA",1993,599337,3547685,86178
"ARGENTINA",1992,561296,532049,81436
"CANADA",1993,67827,807669,107689
"ARGENTINA",1993,556153,2113559,72547
"BRAZIL",1993,451294,5125531,74716
"UNITED STATES",1992,78635,1452267,96817
"PERU",1992,426351,1213463,76639
"CANADA",1993,408446,1619886,81265
"BRAZIL",1993,143145,4355721,71288
"BRAZIL",1993,244403,1482129,80843
"BRAZIL",1992,448912,7581265,111653
"PERU",1992,455853,5730373,108529
"ARGENTINA",1992,194625,5117589,103177
"UNITED STATES",1993,245900,8683066,110753
"ARGENTINA",1993,320809,7904692,109787
"ARGENTINA",1992,588050,3311667,68281
"PERU",1992,272224,1741681,71772
"BRAZIL",1992,253952,3156236,114356
"UNITED STATES",1992,327921,2198370,116934
"PERU",1992,365473,3879996,92307
"UNITED STATES",1993,270742,3654965,102763
"BRAZIL",1993,49546,435202,89732
"CANADA",1993,506308,128799,78856
"UNITED STATES",1993,500532,3861925,91950
"PERU",1992,483321,5047641,78258
"BRAZIL",1993,324311,3738840,80118
"ARGENTINA",1992,459264,1781037,73394
"BRAZIL",1992,274954,2777673,115736
"PERU",1993,303728,1870246,103902
"ARGENTINA",1993,260433,1775217,83605
"BRAZIL",1993,91828,3144648,109189
"ARGENTINA",1993,136611,154875,98856
"ARGENTINA",1992,28686,3713764,96880
"PERU",1992,315144,2399399,69547
"UNITED STATES",1993,504176,1233256,70809
"ARGENTINA",1992,237831,8136572,106129
"CANADA",1992,9063,3429427,58323
"PERU",1992,407959,1512213,112015
"PERU",1993,179869,567118,116931
"CANADA",1993,248221,3297172,70152
"UNITED STATES",1993,412091,802456,60184
"CANADA",1992,41173,4189279,66850
"PERU",1993,432279,2289262,72675
"PERU",1992,55110,835046,63906
"BRAZIL",1992,81003,3276720,59040
"UNITED STATES",1993,95341,6220662,80180
"PERU",1992,85665,3803120,99039
"ARGENTINA",1992,181104,1509817,71106
"UNITED STATES",1993,551074,3527031,67503
"ARGENTINA",1993,244343,4429702,77239
"PERU",1993,533976,3215920,120597
"PERU",1992,137092,1842674,67745
"ARGENTINA",1992,90292,3300614,76937
"CANADA",1993,562133,3465819,71706
"UNITED STATES",1993,57876,5061481,110032
"CANADA",1993,380801,2920538,112907
"UNITED STATES",1993,34043,1485100,58622
"PERU",1992,157871,2748639,115732
"ARGENTINA",1992,298470,997084,88107
"ARGENTINA",1992,47798,2681533,104747
"PERU",1993,270770,4344936,104445
"ARGENTINA",1992,422539,4033767,87690
"ARGENTINA",1993,473236,5562366,72552
"PERU",1993,277601,5889719,94715
"CANADA",1992,30644,4246804,94478
"ARGENTINA",1992,12140,2165304,63128
"CANADA",1992,192687,6762784,106780
"ARGENTINA",1993,373866,9117295,116391
"ARGENTINA",1993,275247,2361348,73333
"CANADA",1992,11950,1072483,111717
"PERU",1992,440998,7410743,116338
"CANADA",1992,239122,3729801,63666
"CANADA",1992,70485,5619608,87328
"PERU",1992,270777,4561653,104865
"UNITED STATES",1992,260341,1561596,78079
"PERU",1992,323096,1712192,67144
"PERU",1992,264835,1133886,107989
"CANADA",1992,367660,2111188,103659
"CANADA",1992,461582,1966495,92613
"CANADA",1993,905,2465053,108354
"BRAZIL",1992,337577,3526199,96873
"BRAZIL",1992,15193,3117338,66491
