"d_year","s_nation","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
1992,"UNITED STATES",20306,17510,2353963,85650
1993,"CANADA",22135,17878,1652200,107752
1993,"ARGENTINA",16867,108989,6948974,119878
1993,"BRAZIL",16867,165850,4582713,114951
1992,"ARGENTINA",28976,88674,1546283,99760
1993,"UNITED STATES",21350,182257,5196290,80355
1992,"PERU",27148,59901,7875328,111654
1993,"CANADA",3604,191052,1357943,68583
1993,"CANADA",3604,199869,3179708,118131
1992,"PERU",17644,95767,662797,105765
1992,"BRAZIL",17644,131989,2548455,121258
1993,"UNITED STATES",19031,118958,9884750,118617
1992,"UNITED STATES",17336,182676,4801169,105520
1992,"CANADA",29243,69090,1849171,63545
1992,"UNITED STATES",3631,10711,1748203,97302
1993,"PERU",12175,172398,3784783,88223
1992,"UNITED STATES",10439,190046,2894629,68162
1992,"CANADA",6613,94870,2480277,111892
1992,"ARGENTINA",6613,63369,3593374,79941
1992,"BRAZIL",27683,133262,1165734,77715
1993,"UNITED STATES",17827,182485,6081822,94048
1993,"BRAZIL",18112,2546,3427245,86912
1992,"BRAZIL",18230,149926,5014884,118555
1993,"PERU",21409,185663,3023433,104919
1992,"BRAZIL",2953,141443,6345981,89066
1992,"UNITED STATES",23821,174245,5354795,79154
1992,"UNITED STATES",23821,128842,6714444,112250
1993,"BRAZIL",23984,98598,1162317,95795
1993,"ARGENTINA",28126,92329,1563121,79279
1992,"CANADA",8869,135535,4240431,94231
1992,"CANADA",8869,1634,147420,92137
1992,"BRAZIL",1108,92688,4532793,100840
1992,"BRAZIL",9730,96652,148378,98919
1992,"PERU",25339,4228,4642102,67933
1992,"PERU",25339,55001,2870868,57360
1993,"ARGENTINA",4547,45384,749770,79762
1993,"ARGENTINA",4547,162500,2850000,93750
1992,"ARGENTINA",19903,183458,7175449,92487
1992,"CANADA",19903,168724,3194627,107563
1992,"BRAZIL",5368,87373,1897716,81622
1992,"BRAZIL",5368,67312,1513423,76758
1993,"CANADA",23719,169193,2412045,75731
1993,"BRAZIL",23719,18904,8224924,109374
1993,"UNITED STATES",3266,147844,6401986,113510
1992,"CANADA",8855,58264,4048125,73335
1992,"PERU",13190,111784,6920936,107746
1993,"UNITED STATES",5924,158367,5900990,85521
1993,"UNITED STATES",15076,182281,777069,81796
1993,"ARGENTINA",15076,155497,3725976,93149
1992,"CANADA",15004,21600,4914768,91296
1992,"PERU",15004,8771,7186056,100786
1993,"PERU",22010,51112,1837054,63786
1993,"ARGENTINA",13652,63505,6418813,88110
1993,"UNITED STATES",13652,113136,4033446,68947
1993,"BRAZIL",1591,101478,673158,88768
1993,"CANADA",1591,137992,2892735,121799
1993,"CANADA",16600,37321,3978807,75499
1993,"CANADA",18466,189949,9493304,122336
1993,"CANADA",18466,56730,7372696,101203
1993,"ARGENTINA",18466,53884,7112595,110272
1992,"ARGENTINA",23263,135094,420021,67745
1992,"ARGENTINA",23263,117010,99619,61620
1992,"UNITED STATES",23263,181284,1774864,81916
1992,"PERU",2878,95501,1723968,89790
1992,"CANADA",14503,183483,7832400,93988
1992,"UNITED STATES",27521,127636,3260714,99817
1992,"ARGENTINA",3205,138940,1315995,118736
1992,"BRAZIL",3205,162936,9594864,119935
1993,"ARGENTINA",28336,114376,2905873,83422
1993,"ARGENTINA",8251,140721,1409376,105703
1993,"PERU",8251,76379,623470,81322
1992,"UNITED STATES",802,69662,2349590,97899
1992,"BRAZIL",27902,74334,3626690,78499
1993,"ARGENTINA",17605,7976,4286031,113038
1992,"BRAZIL",4870,43509,2939860,87150
1992,"UNITED STATES",9725,26561,2356295,89253
1992,"CANADA",9725,118956,6941949,118497
1993,"BRAZIL",2819,173759,7288846,109965
1992,"UNITED STATES",7565,186943,8495298,121796
1992,"ARGENTINA",27934,38003,1326810,56460
1993,"CANADA",11705,86195,956763,70871
1993,"UNITED STATES",21638,187798,2545816,113147
1992,"BRAZIL",17842,138667,1086505,102339
1993,"CANADA",16072,91060,2289208,63063
1993,"ARGENTINA",16072,31880,1721286,108712
1993,"ARGENTINA",16072,177771,859678,110926
1992,"PERU",15551,164947,7369736,120716
1993,"PERU",5143,146158,3212672,72249
1993,"ARGENTINA",5708,70451,6686500,85287
1993,"PERU",12074,136371,5179121,84442
1993,"CANADA",26671,35287,1815085,73336
1992,"ARGENTINA",19567,183715,3888811,107922
1993,"UNITED STATES",19330,59402,2483193,81684
1993,"UNITED STATES",19330,158379,426898,86242
1993,"PERU",10126,83182,4718979,69910
1993,"ARGENTINA",10126,38828,692593,106009
1992,"UNITED STATES",7034,96498,1594620,89669
1992,"CANADA",7129,127009,4284896,62160
1992,"PERU",8704,147002,203506,62940
1992,"UNITED STATES",27214,76356,4132949,79941
1992,"CANADA",27214,104891,7356053,113753
1993,"PERU",24370,50248,1495403,71894
1993,"CANADA",7972,39163,4037212,66129
1993,"BRAZIL",7972,187915,6489428,120174
1992,"UNITED STATES",2077,153597,2749882,99035
1993,"UNITED STATES",8251,76305,5650533,76878
1993,"PERU",20102,164896,3423713,117653
1992,"ARGENTINA",11930,158504,7109375,93750
1993,"UNITED STATES",15520,167649,6523232,102998
1993,"CANADA",15520,150780,5675418,109846
1993,"UNITED STATES",15520,114865,5301205,112791
1993,"BRAZIL",20989,78510,2844542,89310
1992,"BRAZIL",19028,96768,2620668,105885
1992,"CANADA",19028,168890,7443782,117533
1992,"ARGENTINA",26551,79,187981,58744
1992,"UNITED STATES",11587,55509,5730588,87870
1992,"UNITED STATES",16022,124729,5440039,105223
1992,"CANADA",1882,82721,4140039,102223
1993,"ARGENTINA",11791,60046,1177066,60362
1993,"PERU",11791,141228,3895236,76153
1993,"ARGENTINA",7307,120595,3837026,96935
1993,"BRAZIL",7307,79234,4725530,72793
1993,"ARGENTINA",14894,121045,1984966,63962
1993,"ARGENTINA",14894,53095,1131937,62885
1992,"ARGENTINA",6871,179706,1049991,107142
1992,"CANADA",6871,104356,6203196,81621
1992,"CANADA",4442,182529,1250539,96691
1992,"CANADA",2524,140347,2193384,83240
1992,"ARGENTINA",2524,63902,2533892,111954
1993,"BRAZIL",19885,132077,1563788,66544
1993,"ARGENTINA",19885,8372,2408375,76822
1993,"CANADA",22987,130119,1254828,68946
1992,"BRAZIL",10729,89506,6672921,89730
1993,"UNITED STATES",13939,103906,3447369,114594
1993,"UNITED STATES",18116,139309,269660,80898
1993,"BRAZIL",21760,54713,7844907,100062
1992,"BRAZIL",5330,32304,2466418,74178
1992,"CANADA",14044,97812,8777578,108588
1992,"ARGENTINA",13714,7781,6552466,101326
1992,"PERU",13714,136198,3830925,74051
1993,"BRAZIL",19864,4924,2509278,109735
1993,"ARGENTINA",1250,89569,3787300,93513
1993,"UNITED STATES",1250,6482,3032440,83308
1992,"CANADA",10808,54193,2477930,68831
1992,"UNITED STATES",10808,55460,5766584,84927
1993,"CANADA",26119,199143,2235852,74528
1993,"CANADA",9502,187050,102334,68223
1992,"CANADA",23480,68555,2125352,91413
1993,"ARGENTINA",5086,156410,6202914,87984
1993,"PERU",1586,157144,4742100,72068
1993,"ARGENTINA",16706,159261,3445878,79215
1992,"CANADA",2510,50168,1073433,67089
1993,"PERU",12802,160562,6790413,97353
1992,"UNITED STATES",9022,84905,4157780,113394
1992,"PERU",1129,161015,500344,64560
1992,"BRAZIL",5323,192029,4197098,67261
1993,"ARGENTINA",17630,14617,5270270,91896
1993,"PERU",17630,5079,3631218,59044
1992,"ARGENTINA",4591,146297,2078069,80597
1992,"CANADA",4591,39979,6816181,115138
1992,"PERU",4591,42154,5048866,65769
1992,"PERU",22901,29636,145603,93937
1992,"UNITED STATES",16655,115389,261214,84262
1993,"BRAZIL",26839,88158,2425253,68769
1993,"ARGENTINA",28787,149786,4141519,110146
1992,"BRAZIL",3335,15771,6659367,101206
1992,"UNITED STATES",3335,18206,310279,67452
1992,"ARGENTINA",21835,182256,3131505,80295
1992,"PERU",17716,129982,3585348,120718
1992,"BRAZIL",17716,13488,892742,84088
1992,"BRAZIL",29278,153250,1212022,78195
1992,"PERU",29278,4984,527025,113338
1992,"PERU",6752,156859,4483089,114951
1992,"PERU",6752,161814,3492758,112548
1993,"ARGENTINA",17923,136646,2611457,100958
1992,"CANADA",6727,163436,5583877,89965
1992,"BRAZIL",6727,63962,1402098,115557
1993,"PERU",25999,175685,2641020,105640
1993,"PERU",25999,121647,2703196,100118
1993,"CANADA",12404,94177,2670267,70270
1992,"BRAZIL",29588,130371,420411,84082
1992,"CANADA",29588,185025,4095973,66601
1993,"CANADA",16750,94648,4786652,98558
1993,"UNITED STATES",16750,151456,3566626,90447
1993,"UNITED STATES",21649,87415,2967499,84144
1993,"BRAZIL",21649,173232,4491296,78313
1992,"BRAZIL",15439,63896,5535032,111593
1992,"BRAZIL",10796,102206,1076506,72492
1993,"CANADA",11860,78686,2786674,99880
1992,"BRAZIL",4841,166592,7131937,99515
1992,"UNITED STATES",21097,171239,1650889,78613
1992,"PERU",9239,111455,1173160,87987
1992,"PERU",9239,20096,2828794,60965
1992,"ARGENTINA",1435,13613,2543332,91596
1992,"BRAZIL",3394,80624,7086001,96277
1993,"ARGENTINA",20390,69751,1669127,103245
1993,"ARGENTINA",20390,146230,4674830,76573
1993,"BRAZIL",2389,150385,5310906,86122
1993,"ARGENTINA",2389,113063,1829302,64563
1992,"PERU",19025,144084,5527592,67684
1993,"BRAZIL",14578,48666,6510309,96879
1993,"PERU",14578,117744,6881356,105704
1993,"UNITED STATES",14578,107767,6197461,106485
1992,"BRAZIL",20111,131946,557779,118676
1992,"PERU",6997,93188,4174290,70870
1993,"UNITED STATES",17314,6752,935535,99525
1993,"UNITED STATES",17314,73019,3124831,59520
1993,"PERU",18790,40049,2616999,59342
1993,"BRAZIL",38,74725,5440803,101983
1993,"ARGENTINA",17339,57317,5095965,76458
1992,"PERU",7169,157416,4795949,88404
1993,"BRAZIL",22487,72618,6799857,95436
1993,"UNITED STATES",9742,90884,3877251,112492
1993,"ARGENTINA",1300,119412,815903,85884
1992,"BRAZIL",22915,52643,5571974,95738
1992,"CANADA",22915,32410,5493141,80544
1992,"UNITED STATES",22915,160627,7184198,101257
1992,"UNITED STATES",18148,36949,3802055,113156
1992,"UNITED STATES",18148,62733,2767431,101743
1992,"UNITED STATES",18148,194197,5567611,77471
1992,"PERU",25747,62873,367174,110152
1993,"PERU",13796,118262,1843574,76815
1993,"UNITED STATES",13796,13360,3024230,76401
1993,"PERU",13796,78542,4056800,91232
1993,"ARGENTINA",13796,137419,4139117,87384
1993,"PERU",24814,129352,2262651,82881
1992,"BRAZIL",1451,120018,2877363,62280
1992,"BRAZIL",20417,173621,3690882,101677
1992,"ARGENTINA",12079,87483,267627,88228
1992,"PERU",12079,38289,3367656,73636
1993,"CANADA",10345,98095,4820526,65585
1993,"BRAZIL",1486,3290,4209927,71597
1993,"BRAZIL",19825,55926,7226572,112915
1993,"UNITED STATES",2309,148786,7296920,110086
1993,"BRAZIL",2309,103332,916036,80119
1993,"CANADA",6739,97460,1154308,87447
1993,"ARGENTINA",15788,45399,1209951,80663
1992,"ARGENTINA",26084,87168,4126231,69309
1993,"BRAZIL",10955,38379,4260374,79042
1992,"CANADA",14347,183370,4415338,87202
1992,"UNITED STATES",26129,70317,4696106,77238
1992,"UNITED STATES",29749,9481,6273845,83428
1992,"CANADA",29749,117702,1423911,103182
1992,"BRAZIL",17336,190502,879060,95550
1992,"UNITED STATES",17336,183073,2152602,69364
1992,"BRAZIL",17336,95761,4363791,105405
1992,"ARGENTINA",17336,46810,4695953,105408
1992,"ARGENTINA",27167,105500,2770120,90330
1993,"ARGENTINA",7465,75933,4258822,114535
1993,"BRAZIL",7465,641,3255943,92498
1993,"UNITED STATES",3044,196689,6824868,107140
1992,"CANADA",4690,134488,283181,91348
1992,"CANADA",2791,173326,3988062,83959
1992,"ARGENTINA",14746,54032,1256202,59161
1992,"ARGENTINA",14746,19195,3704681,66851
1992,"BRAZIL",20104,60210,5336157,70212
1992,"BRAZIL",20104,68223,895797,71473
1992,"UNITED STATES",4723,54192,4848383,68771
1992,"BRAZIL",22790,91580,7468148,94294
1992,"BRAZIL",20024,67827,6342893,107689
1993,"UNITED STATES",1592,104138,2055834,68527
1993,"ARGENTINA",1592,143527,2000842,94231
1993,"ARGENTINA",1592,157465,5115465,91347
1992,"PERU",16064,23932,720100,111355
1992,"ARGENTINA",18049,119152,5504405,70269
1992,"CANADA",18049,174450,5503264,91467
1992,"BRAZIL",27980,167150,4233247,73029
1993,"BRAZIL",100,28017,2173523,56700
1992,"UNITED STATES",18826,75760,6706976,104145
1992,"BRAZIL",151,37194,1007890,67871
1992,"PERU",151,110219,826029,73752
1993,"PERU",6721,3541,130008,86672
1992,"CANADA",7474,85619,2987783,96276
1993,"UNITED STATES",8992,122365,2451465,83241
1993,"PERU",8992,33688,2896320,97300
1993,"CANADA",28816,63555,3416737,91113
1992,"UNITED STATES",17540,63019,369235,58920
1993,"PERU",2155,140335,6139473,82519
1992,"ARGENTINA",27832,20737,1961094,99463
1992,"CANADA",6766,181057,5241858,68283
1993,"BRAZIL",20201,21742,5160921,99824
1993,"CANADA",28807,39613,1397349,93156
1992,"BRAZIL",2173,55815,329370,106248
1993,"ARGENTINA",1765,833,2118740,104029
1993,"BRAZIL",865,59300,3298106,75558
1993,"PERU",865,41521,1088114,87751
1993,"ARGENTINA",865,130646,5145608,100598
1993,"UNITED STATES",13264,133635,1294856,100117
1993,"ARGENTINA",13264,9056,1598122,57903
1993,"UNITED STATES",13264,188808,7329235,113808
1993,"CANADA",24233,55835,6518621,107449
1993,"CANADA",24328,172541,626053,96812
1993,"BRAZIL",3247,42201,1040312,68592
1992,"ARGENTINA",5936,49147,644530,65768
1992,"ARGENTINA",5936,104881,7287040,113152
1993,"BRAZIL",6647,132164,322963,71769
1993,"CANADA",6647,190322,899647,84739
1993,"BRAZIL",6647,126247,4278086,76394
1993,"BRAZIL",6647,19059,3227565,58683
1993,"ARGENTINA",6647,116762,3763856,106725
1992,"UNITED STATES",4739,163053,4812407,66963
1992,"PERU",17572,20471,2816335,83488
1993,"PERU",29395,104611,2879017,96936
1992,"UNITED STATES",10190,52969,8744918,115317
1993,"UNITED STATES",5278,64435,3347436,83965
1993,"UNITED STATES",10382,51461,5034007,84747
1993,"UNITED STATES",10382,94891,7883020,113153
1993,"UNITED STATES",3571,36079,858749,60904
1993,"ARGENTINA",3571,163590,1800759,99215
1993,"BRAZIL",3571,43663,438618,96399
1993,"CANADA",17344,47973,6008794,115258
1993,"UNITED STATES",1585,3110,1167102,60786
1992,"BRAZIL",29368,189463,1788433,93147
1992,"PERU",29368,119442,6050361,87686
1992,"CANADA",24226,76225,4660733,72073
1993,"BRAZIL",27577,104337,2563281,80479
1993,"ARGENTINA",27577,159991,4774704,123059
1993,"BRAZIL",7370,76004,744800,58800
1993,"BRAZIL",13579,194311,2276602,84318
1992,"UNITED STATES",7099,35698,2264294,98021
1993,"UNITED STATES",26957,25832,5758651,105469
1993,"UNITED STATES",26957,151415,2155622,87984
1993,"PERU",26957,188804,2640456,113568
1992,"UNITED STATES",26899,85178,1253897,69790
1992,"ARGENTINA",16342,111547,6651848,93512
1992,"PERU",16342,154658,4052129,102759
1992,"UNITED STATES",16342,160065,4347231,67503
1993,"UNITED STATES",25499,59159,1735368,67089
1993,"CANADA",25499,77847,509130,109490
1992,"PERU",18047,135164,1091235,71949
1992,"CANADA",18397,44079,911555,61384
1992,"UNITED STATES",18397,24092,1834042,60965
1992,"PERU",18397,99355,6503588,81261
1992,"BRAZIL",29260,83046,4256109,61742
1992,"UNITED STATES",13424,104454,6373426,87507
1992,"BRAZIL",6991,121797,5581866,109127
1992,"ARGENTINA",6991,38591,3062239,91775
1993,"BRAZIL",26644,166411,403332,88644
1993,"ARGENTINA",26644,54999,4724747,117239
1992,"ARGENTINA",14689,94552,1548096,92793
1992,"PERU",6286,31216,1493667,68832
1992,"PERU",6286,48756,7449757,102285
1992,"UNITED STATES",721,70870,1607079,110452
1992,"ARGENTINA",16964,188109,3854662,71826
1992,"UNITED STATES",18281,117151,210267,70089
1992,"BRAZIL",29615,3426,3062983,79765
1992,"UNITED STATES",28564,27554,1240057,88893
1993,"UNITED STATES",6166,35214,114921,68952
1993,"ARGENTINA",5660,123746,1302528,106184
1992,"ARGENTINA",8627,79926,4785765,114355
1992,"BRAZIL",25118,135481,3173992,90988
1992,"CANADA",25118,18928,923460,110815
1992,"BRAZIL",23932,141637,332368,100717
1992,"BRAZIL",23932,84752,632177,104205
1993,"BRAZIL",21040,182132,4370868,72847
1993,"CANADA",21040,158237,4697799,77713
1993,"PERU",844,41400,482904,80484
1992,"CANADA",13954,108587,7738563,95734
1992,"ARGENTINA",26098,71566,5996484,92253
1992,"BRAZIL",26098,6370,2169829,76582
1992,"UNITED STATES",26098,139798,7384240,110267
1993,"CANADA",3431,108800,1020163,108528
1992,"PERU",29515,134874,175616,114532
1992,"PERU",29515,191342,1826075,86000
1992,"PERU",1018,158985,7521846,122638
1992,"CANADA",1018,41690,7283864,97901
1992,"BRAZIL",10420,99735,3790385,104083
1992,"UNITED STATES",10420,42894,2479801,110213
1993,"BRAZIL",15272,178719,6052889,107862
1993,"PERU",6137,155140,3764691,71708
1992,"BRAZIL",28801,134417,3448550,87084
1993,"BRAZIL",2164,40848,5495316,107330
1993,"UNITED STATES",23314,194511,6357819,96330
1992,"BRAZIL",26488,53849,7694521,108170
1993,"BRAZIL",24166,59630,7471261,95377
1993,"ARGENTINA",29392,128144,2453289,70328
1993,"PERU",2020,163966,6028981,121797
1992,"PERU",1021,96413,384768,84564
1992,"BRAZIL",25505,96568,5837373,93873
1992,"PERU",1816,79215,2966417,71652
1992,"CANADA",24592,129153,2919910,70929
1992,"BRAZIL",24592,64660,2748924,97479
1993,"ARGENTINA",23878,66083,2035215,62944
1992,"CANADA",14264,197774,7835229,112306
1992,"UNITED STATES",14264,170937,6622153,120475
1992,"CANADA",18763,16078,2926542,59644
1992,"BRAZIL",18763,159732,5912709,107503
1992,"PERU",3655,98456,5963245,87267
1992,"UNITED STATES",5233,82438,4524069,85225
1993,"PERU",29233,177508,7848225,95130
1993,"PERU",29233,166630,7410879,101797
1992,"UNITED STATES",1091,70447,3129707,85046
1992,"PERU",1091,78835,362766,108829
1992,"CANADA",1091,165961,405392,121617
1992,"CANADA",1091,92246,2971776,74294
1993,"CANADA",28,136884,6050772,115252
1993,"CANADA",28,110741,7493943,105104
1992,"CANADA",6523,166044,979055,66602
1992,"BRAZIL",22453,140212,4147319,75132
1992,"CANADA",22453,128732,6275241,105643
1992,"ARGENTINA",22453,120929,887213,116995
1993,"CANADA",24826,154005,3507408,63540
1993,"CANADA",24826,89379,5498110,82102
1993,"PERU",14662,106396,2720636,84143
1993,"ARGENTINA",3278,172108,2822799,70806
1993,"UNITED STATES",3278,171613,800189,101076
1992,"BRAZIL",9898,182390,5203426,88343
1993,"UNITED STATES",28687,82566,854805,92913
1993,"BRAZIL",27905,158100,3482406,69486
1993,"CANADA",27905,90236,2096853,73573
1993,"UNITED STATES",27535,17566,4913550,89013
