"d_year","s_nation","lo_partkey","lo_revenue","lo_supplycost"
1992,"BRAZIL",141637,332368,100717
1992,"BRAZIL",84752,632177,104205
1993,"BRAZIL",178719,6052889,107862
1993,"BRAZIL",40848,5495316,107330
1992,"BRAZIL",53849,7694521,108170
1993,"PERU",163966,6028981,121797
1993,"ARGENTINA",66083,2035215,62944
1992,"UNITED STATES",82438,4524069,85225
1992,"UNITED STATES",70447,3129707,85046
1992,"PERU",78835,362766,108829
1992,"CANADA",165961,405392,121617
1992,"CANADA",92246,2971776,74294
1992,"BRAZIL",140212,4147319,75132
1992,"CANADA",128732,6275241,105643
1992,"ARGENTINA",120929,887213,116995
1993,"UNITED STATES",17566,4913550,89013
1993,"UNITED STATES",75990,1376193,117959
1992,"BRAZIL",100859,929925,111591
1992,"CANADA",134456,6444705,89427
1992,"UNITED STATES",191187,2231702,76690
1993,"PERU",125940,6349986,117956
1992,"PERU",144655,5221324,101979
1993,"BRAZIL",163242,383740,78314
1992,"BRAZIL",137065,2838906,66123
1992,"PERU",85088,2095725,64384
1992,"UNITED STATES",68516,6546689,89070
1993,"UNITED STATES",74512,6567401,89190
1993,"CANADA",31634,1913199,93937
1992,"CANADA",171639,1327448,102637
1992,"BRAZIL",124774,6619473,107926
1993,"ARGENTINA",42573,4801325,90934
1993,"BRAZIL",184762,997250,110805
1992,"PERU",136196,3924525,73931
1992,"CANADA",128290,2084216,79097
1992,"PERU",49149,4735179,65888
1992,"CANADA",45226,948688,70273
1992,"CANADA",34175,1398663,66550
1992,"PERU",163319,3234605,82938
1992,"BRAZIL",67318,4678528,77118
1992,"UNITED STATES",196280,1189105,82576
1992,"UNITED STATES",120203,333933,73392
1992,"UNITED STATES",115320,3425095,80119
1992,"UNITED STATES",129830,6890670,111589
1993,"BRAZIL",184243,2731459,79634
1993,"UNITED STATES",49828,4224100,106669
1993,"CANADA",152105,5102811,69426
1993,"PERU",168146,1826066,72848
1993,"ARGENTINA",129881,181533,114652
1992,"ARGENTINA",165658,5119240,103419
1992,"BRAZIL",8957,4657411,111957
1992,"ARGENTINA",131355,3223263,83181
1993,"BRAZIL",118903,4660607,115314
1992,"ARGENTINA",22784,3548395,102406
1992,"UNITED STATES",2572,707793,88474
1993,"ARGENTINA",97534,6968461,91891
1993,"CANADA",31143,2513487,64448
1993,"CANADA",134829,7544743,111829
1992,"CANADA",182324,3240161,84379
1992,"ARGENTINA",109139,2507515,68887
1992,"ARGENTINA",72825,2480991,107869
1993,"PERU",3179,1731472,64930
1992,"BRAZIL",168661,7869953,103779
1993,"BRAZIL",154579,5276431,98014
1993,"UNITED STATES",18549,6040394,88052
1993,"UNITED STATES",158027,2320857,65101
1992,"ARGENTINA",155268,2695480,79395
1992,"UNITED STATES",30841,850483,106310
1993,"UNITED STATES",64682,6413818,98800
1993,"BRAZIL",126084,969099,66604
1993,"ARGENTINA",169158,5246066,73629
1993,"PERU",10920,2636524,109855
1993,"UNITED STATES",190825,1220377,114949
1993,"BRAZIL",185096,4370033,70865
1992,"UNITED STATES",97894,4820535,113513
1992,"UNITED STATES",96727,313717,103423
1993,"UNITED STATES",50347,3305622,77840
1993,"PERU",89114,741289,66186
1992,"BRAZIL",189259,2480780,80895
1993,"PERU",35275,1660490,72616
1993,"ARGENTINA",56870,1253232,109612
1992,"UNITED STATES",56887,4248299,110632
1993,"BRAZIL",8298,3980757,72377
1993,"CANADA",35709,6947212,98682
1993,"CANADA",172852,8684923,115491
1993,"CANADA",4876,4167235,106852
1993,"BRAZIL",68745,4411166,102824
1993,"PERU",92749,3805701,104504
1992,"BRAZIL",131148,554195,70748
1992,"PERU",80738,7431788,103123
1993,"CANADA",84793,1207119,106667
1992,"PERU",64455,3832515,85167
1992,"CANADA",89759,8311808,104925
1992,"ARGENTINA",166297,3967173,81797
1992,"UNITED STATES",133557,7237002,95433
1992,"BRAZIL",31764,1288777,101745
1992,"UNITED STATES",52682,5124721,98080
1993,"ARGENTINA",30288,2127116,73096
1993,"PERU",50133,2437042,64987
1992,"ARGENTINA",28318,5129811,74778
1993,"BRAZIL",125260,1773658,77115
1992,"BRAZIL",26416,5863646,80544
1992,"CANADA",157042,1774949,65942
1993,"CANADA",182793,4455001,112547
1992,"ARGENTINA",190182,1852294,76330
1992,"BRAZIL",123275,1752664,77896
1992,"ARGENTINA",176738,1393712,108883
1993,"ARGENTINA",38520,577573,87511
1993,"UNITED STATES",191698,7402157,107381
1992,"ARGENTINA",76581,5710088,93454
1993,"CANADA",97057,3921066,63243
1992,"UNITED STATES",191482,1288680,94408
1993,"BRAZIL",119002,185822,61260
1992,"CANADA",115067,209919,64923
1992,"CANADA",138992,812396,121859
1992,"CANADA",100103,1036914,66186
1992,"CANADA",132742,8522301,106484
1992,"PERU",8655,1599613,93819
1993,"CANADA",152531,1710212,95011
1993,"ARGENTINA",178882,541202,117652
1993,"BRAZIL",119443,5264784,87746
1993,"BRAZIL",1937,2247172,110335
1992,"ARGENTINA",124954,4274532,118737
1992,"BRAZIL",97215,1697094,72732
1992,"BRAZIL",89749,333838,104324
1993,"UNITED STATES",20433,2947770,81205
1993,"ARGENTINA",16475,6818203,83488
1992,"UNITED STATES",108779,4730439,107266
1993,"PERU",175719,8013380,107682
1993,"BRAZIL",170141,5450130,72668
1993,"ARGENTINA",26351,1138118,76641
1992,"CANADA",95716,3621978,102702
1992,"BRAZIL",51315,5892140,75978
1992,"BRAZIL",50531,400013,88891
1992,"PERU",3767,4972181,100245
1993,"BRAZIL",28872,8298408,108052
1992,"PERU",30071,1861990,60064
1992,"ARGENTINA",37630,2995740,94057
1993,"BRAZIL",10425,4016943,80125
1992,"BRAZIL",124339,5289720,81799
1992,"ARGENTINA",157713,6679118,106242
1992,"UNITED STATES",164753,5060616,109065
1993,"UNITED STATES",114656,3332946,100239
1993,"UNITED STATES",106193,3075922,71951
1993,"UNITED STATES",8291,971424,71957
1992,"UNITED STATES",195670,6515322,105940
1993,"ARGENTINA",109103,1000890,66726
1992,"PERU",131477,6172659,90508
1993,"ARGENTINA",139899,2495351,116333
1993,"BRAZIL",77047,3174524,61442
1992,"UNITED STATES",56839,668048,107749
1992,"BRAZIL",78246,3290757,73454
1992,"PERU",122025,2450026,62821
1993,"ARGENTINA",169956,9521965,121557
1992,"UNITED STATES",139164,4504631,72189
1992,"ARGENTINA",102840,2653689,110570
1992,"ARGENTINA",19278,1336153,71836
1993,"PERU",7139,4234734,62767
1992,"UNITED STATES",93569,7197151,93753
1992,"UNITED STATES",12526,3845163,86311
1992,"ARGENTINA",54286,3691073,74416
1992,"ARGENTINA",67223,1283057,71413
1992,"UNITED STATES",162437,2938882,89965
1993,"BRAZIL",133242,2999364,76514
1992,"UNITED STATES",17315,4732070,73938
1992,"ARGENTINA",8962,5687718,112257
1993,"BRAZIL",62014,956489,58560
1993,"UNITED STATES",69104,1180410,64386
1992,"ARGENTINA",14768,765655,100965
1992,"PERU",111053,2660125,63843
1992,"PERU",119907,4335525,115614
1992,"PERU",147336,6236051,82999
1993,"PERU",76145,1563990,67268
1993,"UNITED STATES",121125,1159873,68767
1992,"UNITED STATES",44558,2187712,90153
1992,"PERU",42564,1301667,90393
1992,"PERU",60550,5697794,90633
1992,"PERU",43005,1114848,56880
1992,"BRAZIL",83811,2728111,107688
1993,"BRAZIL",139761,2458037,108045
1993,"BRAZIL",122010,4367466,61920
1992,"PERU",68483,5660772,87088
1992,"ARGENTINA",38941,6141763,112796
1992,"CANADA",28142,2412095,64208
1992,"UNITED STATES",139558,2944284,95853
1992,"UNITED STATES",121534,5497243,93331
1992,"CANADA",18426,6654879,80665
1992,"CANADA",74424,3322645,83905
1992,"UNITED STATES",12718,6084179,97842
1993,"PERU",118093,2066627,66665
1992,"BRAZIL",123956,960275,118797
1993,"PERU",184928,6312517,120775
1992,"CANADA",110480,4235944,89428
1993,"PERU",137997,1098894,122099
1992,"UNITED STATES",138822,3005224,111649
1992,"ARGENTINA",174135,3250141,72547
1993,"UNITED STATES",57767,7699328,103485
1992,"ARGENTINA",3921,6761328,109495
1992,"CANADA",81721,6405632,102163
1993,"CANADA",155260,4598148,78915
1992,"ARGENTINA",2440,4993876,80546
1992,"UNITED STATES",148591,7089587,98375
1992,"CANADA",28236,3871064,69853
1993,"CANADA",188225,6048691,78793
1993,"PERU",35969,182876,114297
1993,"PERU",11217,1166569,67692
1993,"BRAZIL",130983,9177706,120838
1992,"CANADA",184150,1993152,74049
1992,"BRAZIL",35427,5891104,81745
1993,"UNITED STATES",153575,6967022,97714
1993,"BRAZIL",129834,3364213,111829
1993,"CANADA",9681,7558911,95440
1993,"ARGENTINA",109816,2402765,109548
1993,"CANADA",198217,6060487,78912
1993,"BRAZIL",34254,3564750,71295
1993,"ARGENTINA",90209,3838639,71952
1993,"PERU",140550,7396057,95433
1993,"BRAZIL",7077,1511531,59044
1993,"PERU",137024,3915163,63661
1993,"BRAZIL",159428,4956083,89245
1993,"ARGENTINA",193828,8098549,115309
1993,"UNITED STATES",25518,4474881,86610
1993,"BRAZIL",1482,1643574,83008
1992,"CANADA",162697,5067907,105581
1992,"CANADA",183240,6094843,79394
1992,"BRAZIL",94376,6783331,82222
1992,"UNITED STATES",169371,5821975,86422
1993,"ARGENTINA",173798,4035579,112307
1993,"ARGENTINA",44641,4852058,95138
1993,"UNITED STATES",129677,7265294,102400
1993,"BRAZIL",60261,3712630,73275
1992,"ARGENTINA",3001,1765512,54240
1992,"UNITED STATES",78716,3624984,101682
1992,"PERU",178335,4887295,84799
1992,"ARGENTINA",193714,8411274,108462
1992,"BRAZIL",23931,3058779,111295
1992,"ARGENTINA",23461,3184258,83067
1992,"UNITED STATES",196987,1175364,125038
1992,"UNITED STATES",178673,3909727,105100
1992,"ARGENTINA",14419,3800218,80004
1992,"ARGENTINA",139172,545026,72670
1992,"PERU",47672,147389,97180
1992,"UNITED STATES",12318,3089308,73818
1992,"CANADA",107360,3555136,82041
1993,"CANADA",184372,582548,87382
1992,"PERU",83174,1927845,69430
1992,"ARGENTINA",21392,4990882,78803
1992,"PERU",192484,293225,94588
1992,"ARGENTINA",68152,1630938,67209
1992,"UNITED STATES",186316,6665179,84138
1992,"ARGENTINA",67395,4046298,81743
1992,"CANADA",109720,636536,103783
1992,"UNITED STATES",108883,7628060,113512
1992,"UNITED STATES",187503,4881244,95430
1992,"BRAZIL",161412,3580386,88404
1993,"PERU",72322,5410257,77659
1993,"ARGENTINA",57135,4025591,65527
1993,"PERU",54508,3767400,87750
1992,"PERU",52510,4978384,87750
1992,"UNITED STATES",16224,1573503,68413
1992,"ARGENTINA",76408,6379315,83064
1993,"UNITED STATES",136709,1747445,104742
1993,"UNITED STATES",58654,4741191,96759
1993,"BRAZIL",185650,7498008,104139
1993,"UNITED STATES",124947,5164510,118316
1992,"BRAZIL",164455,3999192,91167
1993,"PERU",79619,1652962,95916
1993,"PERU",129387,832831,84982
1993,"UNITED STATES",47314,2815243,75678
1993,"CANADA",3176,647502,64750
1993,"PERU",52039,2499377,59461
1993,"PERU",191185,2700396,76570
1993,"UNITED STATES",93492,2881850,89129
1993,"ARGENTINA",69261,5907708,73815
1993,"ARGENTINA",161648,2769616,102578
1992,"UNITED STATES",23064,4308516,59223
1992,"ARGENTINA",31932,2169614,111835
1992,"PERU",73739,2493734,102763
1992,"ARGENTINA",129762,4434606,107505
1992,"ARGENTINA",7345,1765799,75140
1992,"BRAZIL",16379,4849865,77722
1993,"PERU",27178,3359716,66310
1993,"PERU",48492,917592,86429
1993,"ARGENTINA",139967,5057539,120417
1993,"CANADA",16479,4698547,83728
1992,"CANADA",41002,1306998,56580
1992,"CANADA",197264,5602946,81675
1992,"BRAZIL",113975,6961395,119338
1992,"UNITED STATES",61004,3725865,57900
1992,"PERU",170293,5889412,81797
1992,"ARGENTINA",154263,3651444,79035
1993,"BRAZIL",12753,7755732,99945
1993,"ARGENTINA",127288,2367504,78916
1993,"PERU",13615,287378,91716
1992,"PERU",14259,4697693,70395
1992,"ARGENTINA",30064,2727700,59643
1992,"ARGENTINA",97138,929671,68107
1992,"BRAZIL",113648,453627,99698
1992,"PERU",132827,1262817,111589
1992,"ARGENTINA",183255,6222862,80295
1992,"UNITED STATES",151044,4484188,65702
1992,"PERU",190561,2265940,99093
1993,"UNITED STATES",9106,91359,60906
1993,"PERU",43873,8539289,109012
1992,"CANADA",145272,2427728,79036
1992,"ARGENTINA",21436,2579117,81445
1992,"ARGENTINA",157718,7594711,106542
1993,"BRAZIL",33585,3316578,91114
1993,"UNITED STATES",71627,1764876,95917
1992,"UNITED STATES",80088,4517978,64084
1993,"BRAZIL",31286,3877036,73036
1993,"ARGENTINA",19938,1441753,111475
1993,"CANADA",114152,1865840,69969
1993,"PERU",132059,2029353,65463
1993,"PERU",162652,5157667,102879
1993,"UNITED STATES",134302,1459239,80178
1993,"PERU",79205,1400908,71052
1992,"UNITED STATES",67389,2197335,81382
1992,"ARGENTINA",5007,1400832,54720
1993,"CANADA",142453,4885635,89727
1993,"UNITED STATES",101107,2553062,66486
1993,"CANADA",180459,5695965,92367
1993,"BRAZIL",5614,2084904,91176
1993,"CANADA",103970,562581,118438
1992,"PERU",162016,2509607,64680
1992,"UNITED STATES",74482,3853846,87388
1993,"PERU",11178,3414547,65350
1992,"UNITED STATES",108477,2257914,89128
1993,"CANADA",192961,560731,123237
1993,"BRAZIL",31397,4766263,79703
1993,"PERU",53013,3252555,57960
1993,"CANADA",78934,1515040,114775
1993,"PERU",173894,9064101,118073
1992,"ARGENTINA",176281,249739,81436
1992,"ARGENTINA",124093,2080021,67025
1992,"UNITED STATES",199515,2397547,96870
1992,"PERU",134739,1216778,106423
1992,"BRAZIL",67179,880258,68770
1993,"ARGENTINA",69543,3743536,90752
1993,"BRAZIL",196626,1901772,103357
1992,"CANADA",8748,2180269,99404
1993,"ARGENTINA",19500,3616886,85170
1992,"CANADA",96450,390541,86787
1993,"PERU",104024,4397869,61681
1993,"UNITED STATES",128827,5756753,111349
1992,"BRAZIL",105464,3705978,88167
1992,"PERU",122237,5855419,75553
1993,"UNITED STATES",55308,5457456,75798
1993,"BRAZIL",154652,7295928,102399
1993,"ARGENTINA",35859,3711749,107691
1992,"BRAZIL",27350,3525486,76641
1992,"BRAZIL",192581,5234958,100414
1993,"ARGENTINA",57960,6457771,115077
1992,"CANADA",191243,3842611,80054
1992,"BRAZIL",2210,4604549,66732
1992,"ARGENTINA",20762,4122762,100965
1992,"ARGENTINA",138585,1246909,97414
1992,"ARGENTINA",165586,2378275,99094
1992,"BRAZIL",194397,814298,89483
1992,"ARGENTINA",154335,4729279,83359
1993,"CANADA",156386,4240597,86542
1993,"BRAZIL",148732,7427424,106843
1993,"BRAZIL",47668,1381389,96939
1992,"BRAZIL",183028,2419801,66661
1992,"CANADA",56692,1050215,98921
1992,"PERU",19072,2794817,59464
1993,"UNITED STATES",124718,8108829,104562
1993,"UNITED STATES",36022,2791670,57481
1992,"ARGENTINA",172174,448621,74770
1992,"CANADA",27830,639850,105469
1993,"BRAZIL",186441,2346147,91646
1993,"ARGENTINA",110730,5504188,104443
1993,"UNITED STATES",26091,100691,61025
1992,"BRAZIL",198861,8835048,117591
1992,"UNITED STATES",159562,3932283,97293
1993,"CANADA",120101,4080804,67266
1992,"PERU",155351,3583379,84381
1992,"PERU",66491,1154332,87449
1992,"UNITED STATES",108072,2030531,64804
1992,"BRAZIL",165158,1913006,73389
1992,"CANADA",39713,6964519,99162
1992,"BRAZIL",48416,1215689,81864
1993,"PERU",16933,4869015,110995
1993,"PERU",47525,4417560,88351
1992,"BRAZIL",149376,6699239,85522
1992,"UNITED STATES",158171,4343886,73750
1993,"UNITED STATES",150817,1774419,112068
1993,"ARGENTINA",8409,490072,79044
1992,"CANADA",64365,3832544,79761
1992,"PERU",67088,2104884,63304
1992,"ARGENTINA",105716,4218189,103302
1992,"PERU",83037,3682308,61201
1993,"BRAZIL",52467,1958854,85167
1993,"ARGENTINA",135943,4369499,118736
1993,"PERU",12253,4538648,69915
1993,"BRAZIL",63375,2007555,80302
1993,"PERU",137924,3806124,117715
1993,"PERU",148548,750373,95792
1993,"PERU",43108,3811288,63066
1993,"BRAZIL",162407,2298141,88164
1993,"BRAZIL",152447,727228,89966
1993,"UNITED STATES",195126,2307916,73267
1992,"CANADA",89641,2348121,97838
1993,"PERU",143475,1093298,91108
1992,"ARGENTINA",68194,4490702,69731
1992,"ARGENTINA",165336,1198137,84079
1992,"UNITED STATES",162088,113857,69004
1992,"PERU",23507,6115387,85830
1993,"UNITED STATES",8550,4798629,87513
1992,"UNITED STATES",66485,6827761,87088
1992,"ARGENTINA",11662,4198524,94419
1993,"BRAZIL",99405,5932185,84264
1993,"ARGENTINA",46847,8169147,107630
1993,"BRAZIL",147944,1147357,119516
1992,"BRAZIL",181985,1692856,124018
1993,"CANADA",37751,3455182,101325
1992,"BRAZIL",128659,5964155,101259
1992,"ARGENTINA",83024,2246661,60421
1992,"UNITED STATES",141665,1087142,102399
1993,"BRAZIL",27746,3618625,100424
1992,"CANADA",146600,1738809,98796
1992,"ARGENTINA",128647,8043072,100538
1992,"UNITED STATES",194556,1670356,99033
1992,"UNITED STATES",144402,6248448,86784
1993,"PERU",146427,5095086,88405
1993,"BRAZIL",41068,2131134,60543
1993,"ARGENTINA",25781,4608306,102406
1992,"UNITED STATES",61812,869166,106428
1992,"BRAZIL",64859,2527856,109431
1992,"ARGENTINA",195414,7027812,90564
1992,"ARGENTINA",125137,3302773,69727
1992,"PERU",41343,732073,77060
1992,"ARGENTINA",185325,6292847,84619
1993,"UNITED STATES",40779,2751632,103186
1993,"UNITED STATES",99979,1175508,118738
1993,"PERU",156194,2047811,75011
1992,"PERU",142191,1726466,73991
1992,"PERU",6031,3485751,56221
1993,"ARGENTINA",35861,1617174,107811
1992,"ARGENTINA",190431,1328208,91285
1993,"ARGENTINA",112356,4233674,82101
1993,"UNITED STATES",59364,5292116,79401
1993,"ARGENTINA",90251,115436,74475
1993,"CANADA",34595,4796794,91775
1992,"PERU",197830,2868611,115669
1992,"PERU",86895,6571559,112913
1992,"CANADA",172361,391307,86001
1992,"BRAZIL",64199,446664,69791
1993,"PERU",146142,1293884,71288
1992,"UNITED STATES",184838,7306754,115369
1992,"CANADA",15387,3646664,78142
1992,"PERU",5792,1303902,101867
1993,"UNITED STATES",117522,1961348,92371
1993,"BRAZIL",190521,6807060,96691
1993,"CANADA",42606,3794070,92916
1993,"ARGENTINA",149789,535084,110326
1993,"UNITED STATES",103543,3779743,92792
1992,"BRAZIL",107095,198376,66125
1992,"UNITED STATES",129352,1519485,82881
1992,"ARGENTINA",51788,1108239,104386
1993,"UNITED STATES",167523,3936537,95431
1993,"ARGENTINA",27679,2956272,96400
1992,"UNITED STATES",169025,5415399,65641
1992,"ARGENTINA",51684,1956273,98140
1992,"PERU",37808,1747545,104748
1993,"CANADA",70976,5975250,116818
1992,"BRAZIL",146951,8455324,119877
1993,"BRAZIL",36078,2383064,60844
1993,"PERU",82943,8033095,115556
1993,"UNITED STATES",7966,6362094,112437
1993,"CANADA",66617,148859,95016
1993,"PERU",138816,5193468,111288
1993,"UNITED STATES",166566,3394092,97953
1992,"ARGENTINA",73421,2621509,83665
1992,"CANADA",22035,1119725,57421
1992,"ARGENTINA",72343,5563888,78920
1993,"BRAZIL",155713,7301234,106122
1993,"BRAZIL",163372,1349247,86122
1992,"UNITED STATES",107503,5558640,90630
1992,"ARGENTINA",81386,3322733,82042
1992,"PERU",91514,7376999,90330
1993,"ARGENTINA",8944,2584851,111176
1992,"PERU",9250,3902035,69555
1993,"ARGENTINA",115161,677468,70569
1993,"UNITED STATES",117070,200020,65224
1993,"UNITED STATES",149670,1423886,103180
1992,"BRAZIL",14485,4156455,83968
1992,"UNITED STATES",62679,3821807,98500
1992,"BRAZIL",30530,6727201,87631
1993,"UNITED STATES",3572,3979612,88534
1992,"PERU",98594,7185766,95555
1992,"PERU",45345,4167798,77420
1992,"ARGENTINA",10296,1809435,72377
1992,"BRAZIL",38884,7379018,109372
1992,"BRAZIL",107107,4430775,66846
1993,"PERU",158468,3045287,91587
1993,"CANADA",133751,7881456,107085
1993,"CANADA",147982,9337908,121798
1992,"CANADA",143374,3968636,85042
1992,"PERU",164693,2671688,105461
1992,"PERU",185754,7870450,110385
1992,"PERU",52846,7051452,107930
1993,"BRAZIL",84837,865369,109309
1992,"CANADA",67719,2192723,101202
1992,"PERU",39648,1078007,95258
1993,"ARGENTINA",111064,1772773,64503
1992,"CANADA",166457,548442,91407
1992,"UNITED STATES",195829,2864132,115489
1992,"CANADA",144894,1289361,116333
1992,"ARGENTINA",22605,1026547,91656
1992,"PERU",118787,353932,108346
1992,"CANADA",42777,7112968,103186
1992,"BRAZIL",43097,1544533,62405
1992,"PERU",92557,2256144,92973
1992,"UNITED STATES",166772,4350529,110326
1992,"PERU",160105,3378790,69906
1992,"ARGENTINA",175703,6211220,106722
1992,"CANADA",32073,696513,60304
1992,"BRAZIL",45290,4157986,74117
1992,"CANADA",104488,3053614,89548
1993,"BRAZIL",113625,7547483,98317
1993,"CANADA",82867,177586,110991
1992,"CANADA",120861,2167902,112911
1993,"BRAZIL",76709,4342363,101142
1993,"PERU",42168,1371047,66609
1993,"ARGENTINA",103467,2626241,88227
1993,"BRAZIL",15995,7911498,114659
1993,"UNITED STATES",13591,6066506,90275
1993,"PERU",10034,815641,56641
1993,"BRAZIL",85877,2056608,111772
1993,"BRAZIL",67477,4853419,86668
1992,"CANADA",117505,4923765,91350
1992,"UNITED STATES",100877,5646755,112672
1993,"CANADA",29040,630845,58142
1993,"CANADA",14862,2263719,106611
1993,"ARGENTINA",131779,5093696,108646
1992,"PERU",16357,3983038,76401
1993,"CANADA",6749,324525,99344
1993,"CANADA",97646,7573893,98618
1993,"BRAZIL",37451,2313157,83307
1993,"PERU",45207,428618,69132
1993,"ARGENTINA",196507,7776975,96210
1993,"BRAZIL",77930,2869526,114475
1992,"ARGENTINA",186134,5051338,73207
1993,"PERU",159288,5690910,80836
1993,"ARGENTINA",83282,1943470,75916
1992,"ARGENTINA",59453,5952064,84747
1992,"UNITED STATES",122988,1646992,120658
1992,"CANADA",168377,3116217,86722
1993,"PERU",50802,7084817,105168
1993,"UNITED STATES",121575,742405,95794
1993,"CANADA",47383,3631937,79822
1993,"PERU",144138,3549936,70927
1992,"BRAZIL",99584,5743644,95014
1993,"BRAZIL",75728,2146687,102223
1993,"CANADA",152493,6528149,92729
1993,"BRAZIL",16882,6835744,107932
1993,"ARGENTINA",164430,5326148,89665
1992,"BRAZIL",63745,3759228,102524
1992,"PERU",51276,3436356,73636
1993,"PERU",49547,146660,89792
1993,"BRAZIL",36670,4781449,96400
1992,"BRAZIL",109706,7338048,102942
1993,"CANADA",79630,5464693,96577
1993,"PERU",134620,7296874,99277
1993,"UNITED STATES",153457,2726362,90627
1993,"BRAZIL",49174,2112682,67390
1992,"BRAZIL",193651,5083910,104679
