"s_nation","lo_custkey","lo_orderdate","lo_partkey","lo_revenue","lo_supplycost"
"BRAZIL",15199,19950604,34543,4397159,88652
"ARGENTINA",28921,19950417,41715,1356845,99402
"PERU",27655,19960314,106672,1104564,100720
"BRAZIL",14002,19940614,113959,5565691,118377
"PERU",661,19970126,152800,7237036,111168
"CANADA",8935,19921216,32590,6075134,91355
"UNITED STATES",8935,19921216,64486,5453804,87028
"CANADA",8026,19930927,93563,3891400,93393
"UNITED STATES",23254,19961001,8756,2472153,99885
"CANADA",18029,19951031,47557,6161132,90273
"BRAZIL",29929,19950821,172359,6254999,85881
"ARGENTINA",19753,19980525,86136,104358,67327
"UNITED STATES",8806,19970526,95748,7062147,104624
"ARGENTINA",2420,19961204,156485,5826794,92488
"ARGENTINA",25012,19960326,121382,133321,84202
"PERU",6964,19950711,32694,1301352,97601
"BRAZIL",6964,19950711,87745,1497087,103964
"CANADA",10849,19970103,30133,4688403,63787
"PERU",10174,19960311,135912,4861983,116874
"CANADA",12605,19950520,22847,6482923,106190
"ARGENTINA",12115,19950501,121628,7185744,98977
"PERU",14975,19960404,117452,4596439,88167
"UNITED STATES",14975,19960404,115362,5922648,82641
"BRAZIL",28366,19930829,130881,6056835,114712
"BRAZIL",28877,19980208,164711,4954230,106542
"ARGENTINA",12592,19971031,46267,3013737,72795
"BRAZIL",19642,19960622,136347,6573631,83000
"BRAZIL",24766,19940921,4641,927384,92738
"UNITED STATES",21985,19920713,188735,6445061,109423
"BRAZIL",17923,19950530,23786,1258398,102586
"ARGENTINA",13747,19970223,63384,5027074,80842
"BRAZIL",9872,19971021,50262,5643070,72735
"ARGENTINA",9872,19971021,140309,5270365,80958
"UNITED STATES",9425,19970319,141250,3835012,77475
"PERU",25025,19940601,65533,3115443,89911
"BRAZIL",16286,19921021,66130,5371037,65767
"CANADA",16286,19921021,38942,5003300,112856
"CANADA",13082,19920509,104545,5020509,92972
"UNITED STATES",26561,19930830,94311,4960178,78318
"UNITED STATES",11555,19950325,162447,3298126,90566
"ARGENTINA",1474,19920501,133143,5302039,70568
"ARGENTINA",1474,19920501,100047,4422696,62822
"BRAZIL",1474,19920501,84932,6325869,115015
"PERU",10084,19941122,89173,1896661,69730
"PERU",28586,19970807,16310,4625641,73578
"BRAZIL",28586,19970807,152882,2670134,116092
"UNITED STATES",21617,19940414,189656,1523952,104739
"UNITED STATES",7586,19961213,72825,4271620,107869
"ARGENTINA",7586,19961213,75930,5723507,114355
"UNITED STATES",26129,19930227,42888,1832710,109852
"PERU",9700,19951215,191759,1515764,111045
"CANADA",16871,19961121,3839,2269164,104569
"BRAZIL",8542,19970213,188322,6163098,84619
"UNITED STATES",6307,19980703,123805,521208,109728
"UNITED STATES",7207,19980421,168496,1548845,93869
"CANADA",26228,19930102,162111,5182799,70386
"CANADA",26228,19930102,138984,1359442,121378
"BRAZIL",26228,19930102,89308,3243250,77838
"ARGENTINA",26228,19930102,185454,1828866,92367
"ARGENTINA",12736,19930923,145767,326296,108765
"CANADA",12736,19930923,102501,4059450,90210
"PERU",9271,19980621,79423,3161054,84145
"CANADA",62,19980531,43470,6045411,84808
"PERU",8684,19950716,1206,2192256,66432
"CANADA",19411,19960820,24493,4720241,85049
"UNITED STATES",15998,19930602,175068,4032715,68583
"BRAZIL",6382,19980523,53281,2993129,74056
"ARGENTINA",8909,19950617,160505,5770433,93930
"PERU",8909,19950617,41262,791745,72195
"UNITED STATES",19300,19930417,179834,1760723,114829
"ARGENTINA",26368,19930926,133007,851760,62400
"UNITED STATES",15917,19951204,16038,257588,57241
"UNITED STATES",15917,19951204,147809,6186857,111408
"UNITED STATES",15917,19951204,14993,1526392,114479
"ARGENTINA",11188,19980714,84262,2512460,74775
"BRAZIL",23558,19920218,94616,3213166,96636
"CANADA",23558,19920218,73144,4976858,67028
"UNITED STATES",2873,19970429,53401,1007673,81264
"UNITED STATES",26149,19960620,104752,168648,105405
"UNITED STATES",28705,19931124,116568,7764344,95073
"BRAZIL",28705,19931124,154875,9361799,115792
"UNITED STATES",28705,19931124,180228,5839894,78493
"CANADA",28705,19931124,149,1833896,62948
"UNITED STATES",5785,19920419,102949,8695892,117116
"UNITED STATES",11048,19940213,53556,144916,90573
"PERU",13757,19961125,83534,2649607,91051
"PERU",23170,19940615,56565,5756061,91293
"CANADA",23170,19940615,87341,2932974,79700
"UNITED STATES",3268,19980129,28244,3006795,70334
"UNITED STATES",5578,19950808,188315,6067912,84198
"CANADA",508,19930504,197300,2079182,83838
"BRAZIL",7660,19921128,135703,799802,104322
"ARGENTINA",5026,19931116,138798,1234322,110207
"UNITED STATES",6437,19930620,49110,3660284,63546
"ARGENTINA",9161,19941001,198532,7102588,97831
"ARGENTINA",1703,19940727,117211,923613,73692
"UNITED STATES",2176,19950707,55408,1116624,81804
"PERU",20578,19921207,16788,1619541,102286
"CANADA",8065,19970516,43763,6927738,102405
"ARGENTINA",9835,19970924,64553,3420557,91053
"BRAZIL",9835,19970924,58299,124471,75437
"CANADA",7055,19940506,56598,5540558,93275
"UNITED STATES",21958,19920621,84402,549014,83184
"BRAZIL",10756,19971111,37967,6347326,114297
"CANADA",10756,19971111,47212,2288280,69552
"BRAZIL",10756,19971111,91050,663148,62463
"UNITED STATES",15829,19950910,136979,6773659,120958
"ARGENTINA",15829,19950910,4967,2555225,112317
"UNITED STATES",236,19940420,9177,1182839,65170
"ARGENTINA",6340,19941126,10143,575014,63188
"PERU",12034,19930905,198758,7003661,111405
"ARGENTINA",697,19971223,183259,1710026,80535
"UNITED STATES",20536,19950505,22445,3213484,82046
"UNITED STATES",13687,19940101,111876,6920931,113272
"UNITED STATES",25736,19940621,136137,5015130,70387
"PERU",5500,19950211,120970,7071925,119458
"UNITED STATES",15163,19920220,96404,921463,84024
"PERU",10591,19930426,88088,516518,64564
"BRAZIL",27928,19930221,52852,173265,108291
"CANADA",27928,19930221,120102,3675999,67326
"ARGENTINA",9602,19960504,49934,6395942,113035
"PERU",9602,19960504,140435,146067,88525
"BRAZIL",27805,19971107,45653,3200497,95919
"CANADA",23906,19970110,91176,840362,70030
"ARGENTINA",23906,19970110,150352,1998348,84141
"PERU",14276,19960803,100807,6663550,108468
"CANADA",15892,19980730,74888,5840128,111772
"BRAZIL",4825,19941027,132073,406665,66304
"CANADA",4825,19941027,97823,4963555,109249
"BRAZIL",28642,19980128,57176,745625,67990
"BRAZIL",11485,19950919,42596,5277363,92315
"CANADA",9791,19940814,99604,3848640,96216
"BRAZIL",23911,19960418,191834,943656,115549
"PERU",7024,19920215,195101,5621670,71766
"PERU",26332,19961019,86609,2225862,95736
"BRAZIL",28259,19960630,44218,569482,69732
"PERU",13666,19920918,95490,956655,89129
"CANADA",11765,19960815,2457,3501943,81567
"CANADA",11765,19960815,105917,4880345,115374
"PERU",26729,19921120,77243,4490483,73214
"BRAZIL",3943,19960411,114959,394790,118437
"ARGENTINA",8872,19940409,50676,3516860,97600
"ARGENTINA",22055,19951107,48288,3585212,74176
"PERU",24400,19921207,41738,3023514,100783
"UNITED STATES",1648,19940620,139055,1680460,65643
"UNITED STATES",1648,19940620,47852,7364986,107991
"BRAZIL",5402,19951005,131882,1056461,114832
"CANADA",9698,19960829,168916,4466047,119094
"CANADA",2665,19920419,169470,1847364,92368
"UNITED STATES",2665,19920419,84249,794206,73994
"BRAZIL",1942,19930205,158637,1871975,101737
"UNITED STATES",7165,19920929,1035,1263640,56161
"UNITED STATES",22885,19930126,69375,2809733,80662
"UNITED STATES",13960,19951222,199414,6757375,90804
"ARGENTINA",23183,19920229,29129,962889,63487
"ARGENTINA",23266,19960830,7533,4062294,86431
"CANADA",23266,19960830,196227,2667611,79393
"PERU",26795,19960107,5304,449859,72558
"CANADA",26795,19960107,132592,5829028,97475
"PERU",26795,19960107,33328,1078428,75679
"PERU",2069,19920601,21548,1763448,88172
"ARGENTINA",21712,19930514,145926,7761477,118315
"PERU",3454,19940705,173172,3965866,74710
"PERU",22201,19940519,135990,5332405,121559
"UNITED STATES",22201,19940519,172935,3505845,120475
"UNITED STATES",4286,19980322,95509,4021528,90270
"UNITED STATES",4286,19980322,15742,2362279,99464
"UNITED STATES",4286,19980322,160919,3686592,118794
"BRAZIL",4286,19980322,158532,4580726,95431
"UNITED STATES",3181,19931203,3390,860104,77603
"ARGENTINA",19817,19950519,149415,5166438,87864
"CANADA",3398,19920416,140001,1405350,62460
"UNITED STATES",18842,19921028,197110,5441651,72426
"PERU",18842,19921028,11261,3903625,70335
"ARGENTINA",18842,19921028,56666,4627826,97359
"UNITED STATES",14950,19920618,53819,2074187,106368
"BRAZIL",14950,19920618,123555,928187,94713
"ARGENTINA",8054,19970620,64173,1013218,68230
"BRAZIL",10141,19930824,53683,3299546,98200
"ARGENTINA",21190,19980420,107227,2900417,74053
"CANADA",3944,19980424,32294,2096955,73577
"BRAZIL",3907,19960309,193453,4260469,92787
"CANADA",27248,19960707,140792,7184536,109967
"BRAZIL",25268,19980525,143074,4830210,67024
"ARGENTINA",10780,19971226,169688,7062358,105460
"UNITED STATES",10780,19971226,133484,6054745,91048
"BRAZIL",28577,19921231,98868,4250840,112011
"UNITED STATES",18883,19941221,16321,1046772,74239
"UNITED STATES",18883,19941221,76148,3068902,67448
"CANADA",19556,19950810,113748,7941923,105704
"BRAZIL",24365,19970306,143130,563102,70387
"CANADA",26650,19941206,169552,6742404,97293
"CANADA",26650,19941206,118714,977248,103962
"CANADA",26650,19941206,32266,5032692,71895
"BRAZIL",18001,19921015,166076,2039737,68524
"ARGENTINA",18001,19921015,38700,1415836,98322
"ARGENTINA",18001,19921015,21725,1198812,98803
"CANADA",18001,19921015,129435,3300825,87865
"BRAZIL",946,19971112,31490,4644007,85289
"ARGENTINA",946,19971112,49379,1530282,79702
"PERU",15098,19970824,124479,5935699,90208
"PERU",15098,19970824,114850,7340049,111891
"PERU",353,19920828,102385,2930146,83242
"ARGENTINA",353,19920828,177148,1025442,73508
"CANADA",29204,19920921,113893,5320223,114413
"ARGENTINA",29204,19920921,194708,2568847,108162
"BRAZIL",12476,19930708,106243,1996285,74954
"CANADA",12476,19930708,19486,1499647,84328
"PERU",10441,19960917,181428,1195460,90565
"CANADA",15685,19961222,97166,3339432,69789
"UNITED STATES",21503,19920215,139612,455844,99096
"ARGENTINA",18785,19950518,25684,1158969,96580
"CANADA",28531,19930915,142665,3550225,102459
"CANADA",10055,19970220,66020,3892806,59161
"BRAZIL",20717,19980402,48818,6837554,106008
"BRAZIL",20717,19980402,69193,3416838,69731
"UNITED STATES",20527,19921205,51371,6215139,79342
"PERU",20527,19921205,58030,1689531,59281
"BRAZIL",20527,19921205,33276,2757135,72556
"CANADA",2080,19960224,92330,1269436,79339
"UNITED STATES",29596,19921228,193749,1844582,110564
"ARGENTINA",28924,19950913,82215,1089461,71832
"UNITED STATES",18514,19930303,171408,2899624,88764
"BRAZIL",22432,19930717,174239,1910749,78793
"UNITED STATES",22432,19930717,20091,2139466,60665
"BRAZIL",10585,19970417,70181,1450486,69070
"PERU",29857,19951216,118923,6825848,116515
"UNITED STATES",29857,19951216,75587,5047133,93754
"UNITED STATES",13772,19960910,18568,2934469,89193
"CANADA",746,19970213,89018,773383,60420
"CANADA",746,19970213,76063,4114677,62343
"UNITED STATES",15727,19970617,18378,2709413,77782
"PERU",15727,19970617,113018,692838,61860
"UNITED STATES",14542,19950208,21652,1542177,94419
"ARGENTINA",14542,19950208,4005,2158875,54540
"UNITED STATES",14542,19950208,108780,6661416,107326
"ARGENTINA",14542,19950208,51705,3235535,99402
"PERU",27773,19970813,30158,500549,65289
"BRAZIL",862,19950820,186473,3480737,93568
"ARGENTINA",862,19950820,170376,5692912,86782
"CANADA",12787,19960303,117307,6102374,79458
"PERU",12787,19960303,154273,4645445,79636
"ARGENTINA",12787,19960303,140115,4204600,69306
"ARGENTINA",914,19971010,194315,262131,84558
"PERU",914,19971010,39956,3278097,113757
"CANADA",368,19970609,78373,3113556,81082
"CANADA",4883,19970524,31411,5118609,80544
"ARGENTINA",4883,19970524,121378,1301414,83962
"UNITED STATES",6850,19960727,95111,420321,66366
"PERU",6850,19960727,196217,5557504,78792
"PERU",15142,19961007,123693,4356959,103001
"PERU",7900,19970423,96537,6410155,92011
"ARGENTINA",7900,19970423,20546,3129596,87992
"UNITED STATES",13063,19950507,66974,3614086,116458
"UNITED STATES",13063,19950507,88038,3453616,61561
"CANADA",13063,19950507,41506,3647700,86850
"CANADA",12598,19960522,164065,4570434,67743
"BRAZIL",12598,19960522,198088,3345931,71164
"UNITED STATES",25556,19960106,52355,4353475,78441
"ARGENTINA",29483,19960512,110444,5486147,87266
"CANADA",29483,19960512,119673,4417868,101560
"BRAZIL",29483,19960512,33586,3142491,91174
"PERU",29483,19960512,65422,1173757,83245
"CANADA",1273,19940611,154883,7143025,116272
"UNITED STATES",4109,19921227,138514,7379080,93150
"CANADA",20975,19931224,156877,6940659,116032
"PERU",15322,19940820,49506,5108805,87330
"ARGENTINA",24085,19961029,24137,1595939,63667
"PERU",24085,19961029,60187,4845688,68830
"BRAZIL",5629,19920325,120300,2402946,79218
"UNITED STATES",27689,19961012,86716,5012778,102162
"PERU",27689,19961012,33969,2169374,114177
"BRAZIL",9421,19931109,87191,964937,70691
"UNITED STATES",9421,19931109,8139,829326,62827
"UNITED STATES",3524,19920712,125194,453538,73151
"CANADA",18559,19940319,136200,5004137,74172
"ARGENTINA",9248,19921121,184834,1535064,115129
"UNITED STATES",29293,19931205,147333,5383287,82819
"UNITED STATES",29293,19931205,16370,864440,77182
"CANADA",16264,19920416,134617,7217535,99096
"BRAZIL",21014,19960622,89460,6812462,86967
"CANADA",21014,19960622,199818,7024938,115068
"UNITED STATES",21014,19960622,5933,6638537,110335
"ARGENTINA",6278,19940418,99555,4873514,93273
"CANADA",22259,19940508,4612,1601540,90996
"ARGENTINA",22259,19940508,165795,1094144,111647
"ARGENTINA",26284,19950223,24483,1203395,84448
"UNITED STATES",14110,19931202,94173,2523421,70030
"ARGENTINA",20866,19920320,96908,8326317,114294
"UNITED STATES",20866,19920320,149295,2720842,80657
"PERU",26401,19930113,118981,1583984,119998
"UNITED STATES",11959,19970411,104305,1445467,78558
"CANADA",1913,19960404,112942,1689068,117296
"PERU",13690,19940103,26765,4720010,101505
"CANADA",6484,19980224,29629,5751307,93517
"ARGENTINA",14617,19930923,156951,9252633,120477
"BRAZIL",23819,19931031,79623,7303139,96157
"UNITED STATES",23819,19931031,52536,6573348,89311
"BRAZIL",4855,19970316,151174,4520877,73510
"UNITED STATES",1886,19961218,140281,3332268,79276
"BRAZIL",1886,19961218,99403,5608197,84144
"ARGENTINA",12181,19941215,197159,1827698,75369
"CANADA",4670,19940326,112777,8419078,107386
"UNITED STATES",24880,19971030,100605,2687774,96336
"CANADA",15001,19920330,168292,5277925,81617
"UNITED STATES",1301,19940530,160192,4899819,75131
"CANADA",21914,19980624,17189,657070,66370
"UNITED STATES",26893,19970707,177330,3010278,84439
"ARGENTINA",26893,19970707,192622,7897539,102877
"PERU",26893,19970707,183057,2565112,68403
"UNITED STATES",14936,19960907,33179,3344295,66730
"CANADA",14936,19960907,39531,2810182,88231
"UNITED STATES",27968,19950930,67893,558267,111653
"ARGENTINA",27968,19950930,72462,1979554,86067
"CANADA",27968,19950930,64783,996234,104866
"CANADA",29882,19931130,13880,5901865,107632
"UNITED STATES",2413,19920420,157697,6618690,105281
"BRAZIL",25151,19920920,102954,3131120,117417
"CANADA",25151,19920920,138920,7028604,117535
"UNITED STATES",10432,19950922,16175,4417056,65470
"ARGENTINA",10135,19980401,52054,4391408,60363
"UNITED STATES",1162,19940902,133207,2306772,74412
"UNITED STATES",1162,19940902,123819,7352811,110568
"CANADA",29683,19940505,62714,2253498,100602
"CANADA",21479,19951006,71007,3203928,58680
"ARGENTINA",21479,19951006,198445,2697933,92606
"PERU",3706,19920907,109006,3720990,60900
"ARGENTINA",3706,19920907,137375,762679,84742
"CANADA",1504,19960816,146003,205604,62940
"UNITED STATES",1504,19960816,62672,2353924,98080
"BRAZIL",26806,19921023,51852,3117052,108231
"BRAZIL",14491,19930621,33521,6836244,87271
"PERU",14491,19930621,13808,4803822,103308
"PERU",12364,19920315,48896,7969924,110693
"UNITED STATES",12364,19920315,181336,2154341,85039
"PERU",23593,19920506,184818,1678278,114168
"PERU",5950,19951207,34609,4306644,92616
"PERU",5950,19951207,66556,2603560,91353
"BRAZIL",5950,19951207,125275,3744777,78016
"PERU",5452,19940602,112099,4099922,66665
"ARGENTINA",5452,19940602,47268,2734335,72915
"PERU",17869,19920413,95911,8245478,114414
"BRAZIL",19370,19930904,44447,2003673,83486
"PERU",19370,19930904,8279,1674050,71236
"PERU",23848,19970705,88449,3625223,86246
"BRAZIL",9715,19950110,104536,1700745,92431
"ARGENTINA",15994,19930317,135354,4780753,83361
"ARGENTINA",28066,19941019,199165,2503036,75849
"PERU",6374,19971108,122730,6730483,105163
"PERU",4442,19940826,183247,1419366,79814
"PERU",26926,19940329,91477,4845951,88108
"BRAZIL",26926,19940329,50884,8187234,110092
"BRAZIL",20129,19930313,48678,7645349,97600
"PERU",20129,19930313,128105,1917205,67986
"PERU",16336,19940603,106769,4943715,106545
"ARGENTINA",11581,19961111,166944,4347652,120656
"BRAZIL",11581,19961111,14480,4043992,83668
"PERU",20681,19921110,190213,4853154,78192
"ARGENTINA",26986,19970120,138448,3852852,89186
"PERU",26986,19970120,56437,5832897,83605
"UNITED STATES",1595,19961212,77639,451039,96997
"UNITED STATES",4505,19940405,189760,527181,110985
"BRAZIL",22403,19960622,51094,2455961,62705
"ARGENTINA",13519,19950501,29570,6254706,89974
"ARGENTINA",13519,19950501,6106,4554450,60726
"ARGENTINA",18394,19940630,139773,6598482,108766
"ARGENTINA",24244,19930115,117158,2326797,70509
"UNITED STATES",24244,19930115,59646,584452,96338
"UNITED STATES",7738,19960616,72044,3352932,60962
"UNITED STATES",7738,19960616,32526,4331804,87511
"UNITED STATES",7738,19960616,56652,4488133,96519
"ARGENTINA",20257,19930511,141592,1337910,98015
"BRAZIL",11293,19930428,75664,6998068,98379
"UNITED STATES",26851,19961214,94138,905704,67927
"UNITED STATES",26851,19961214,160895,3677073,117353
"CANADA",8278,19960429,118185,559478,72190
"PERU",17741,19950102,136849,6951206,113150
"BRAZIL",15880,19930223,40972,6687743,114778
"PERU",15880,19930223,51132,4458163,64987
"PERU",15880,19930223,118915,5879086,116034
"PERU",8986,19940107,47934,564579,112915
"BRAZIL",5342,19950726,118936,3859031,117295
"CANADA",5342,19950726,141746,7208167,107264
"BRAZIL",19901,19950904,168253,130803,79275
"UNITED STATES",19901,19950904,14764,830986,100725
"CANADA",19901,19950904,136205,1117080,74472
"PERU",19901,19950904,194880,3773995,118492
"ARGENTINA",19901,19950904,137744,8295781,106904
"PERU",6079,19960920,41031,4292484,58321
"CANADA",14321,19950502,11993,6035008,114299
"ARGENTINA",14206,19950821,65555,5162267,91233
"BRAZIL",2567,19930820,148805,6651434,111228
"ARGENTINA",3728,19980107,85027,3749534,60721
"UNITED STATES",5813,19971121,42661,6196542,96219
"ARGENTINA",5248,19940312,135214,344781,74952
"CANADA",773,19931029,159783,4113084,110566
"BRAZIL",773,19931029,309,2781390,72558
"PERU",7280,19980725,102546,7358662,92912
"BRAZIL",7280,19980725,89966,187772,117357
"UNITED STATES",29515,19970729,181615,6616779,101796
"PERU",15334,19970313,3058,1729890,57663
"CANADA",20383,19960713,161797,1382939,111527
"CANADA",20383,19960713,12405,1844360,79044
"ARGENTINA",5980,19940822,86794,6875630,106847
"UNITED STATES",4738,19970427,94433,141315,85645
"PERU",4738,19970427,126777,6401579,108226
"CANADA",14264,19930221,71676,459699,98860
"ARGENTINA",24995,19950911,154062,5142804,66963
"CANADA",16873,19930421,115739,2042505,105283
"PERU",16873,19930421,18571,1340613,89374
"BRAZIL",2509,19930715,160408,3925033,88104
"UNITED STATES",6472,19950624,67190,2968192,69431
"PERU",6472,19950624,31032,693381,57781
"UNITED STATES",3595,19940306,78716,4982447,101682
"CANADA",3595,19940306,172628,2908060,102037
"PERU",22168,19970609,20527,6224336,86851
"UNITED STATES",24580,19961126,113359,2042056,82341
"PERU",9382,19920827,70598,2831304,94115
"BRAZIL",24199,19950924,132086,3154103,67084
"ARGENTINA",8671,19960506,190889,6557362,118792
"BRAZIL",8671,19960506,55891,5016153,110813
"ARGENTINA",8671,19960506,144342,5739447,83180
"ARGENTINA",18709,19951011,52631,446583,95017
"ARGENTINA",18709,19951011,134223,125722,75433
"ARGENTINA",9910,19970324,197072,526081,70144
"PERU",9910,19970324,29341,2030003,76220
"ARGENTINA",9910,19970324,125554,5462083,94773
"UNITED STATES",9910,19970324,183334,2692927,85039
"BRAZIL",15044,19960717,115962,2326080,118677
"CANADA",24026,19930525,159290,2538014,80957
"CANADA",26155,19920905,107511,1914841,91110
"UNITED STATES",1631,19920801,52202,3102489,69252
"BRAZIL",15217,19940909,111220,482638,73873
"UNITED STATES",11062,19980228,188845,4776584,116030
"PERU",17096,19921010,180474,6006472,93268
"ARGENTINA",17096,19921010,41449,396275,83426
"PERU",13879,19980227,25711,6191673,98202
"BRAZIL",13879,19980227,111886,8920036,113872
"BRAZIL",13879,19980227,51679,949049,97840
"UNITED STATES",13879,19980227,80318,5554170,77898
"UNITED STATES",18251,19930904,104022,3492572,61561
"PERU",18251,19930904,89185,3024687,70450
"CANADA",18251,19930904,127040,614615,64022
"UNITED STATES",18251,19930904,3498,407833,84089
"ARGENTINA",15520,19921217,71490,961660,87689
"UNITED STATES",8467,19960817,138885,7693596,115432
"ARGENTINA",11047,19931022,105867,7663743,112371
"BRAZIL",27440,19980406,123076,3134547,65944
"PERU",4918,19951017,54839,1894284,107629
"PERU",2677,19950923,6721,7104997,97663
"BRAZIL",19469,19920124,17768,6979046,101145
"BRAZIL",18700,19960331,139065,4614970,66243
"ARGENTINA",1172,19920430,47716,332742,99822
"PERU",1172,19920430,165770,168890,110146
"UNITED STATES",3404,19960904,101842,7690656,110630
"CANADA",23818,19960314,152518,4617299,94230
"PERU",11255,19960820,57398,1995134,81323
"CANADA",11255,19960820,85282,4967737,76036
"ARGENTINA",11830,19951006,31913,1734215,110694
"PERU",27365,19940914,49839,3778008,107329
"UNITED STATES",27365,19940914,148071,3083037,67144
"PERU",17671,19940521,4819,6996944,103428
"UNITED STATES",17671,19940521,188318,1961802,84378
"ARGENTINA",11614,19931119,23153,3917186,64569
"PERU",3079,19931130,49203,1939152,69132
"PERU",28750,19940403,148092,433234,68405
"ARGENTINA",28750,19940403,176662,3270419,104319
"BRAZIL",23531,19920207,23483,1500714,84388
"UNITED STATES",23531,19920207,63720,3252947,101023
"CANADA",23311,19940418,117254,4315893,76275
"ARGENTINA",23144,19931125,58995,1758591,117239
"ARGENTINA",18839,19980107,53524,3296347,88651
"ARGENTINA",18839,19980107,174715,6657721,107382
"BRAZIL",18839,19980107,28004,268416,55920
"ARGENTINA",29203,19950721,99049,3278269,62882
"PERU",29203,19950721,64524,4519146,89311
"BRAZIL",15752,19920322,135566,2330269,96093
"ARGENTINA",15752,19920322,49478,5769833,85648
"BRAZIL",7204,19980314,162410,2285180,88344
"UNITED STATES",4972,19940819,116975,9959850,119518
"BRAZIL",24139,19941010,62804,636048,106008
"CANADA",11339,19940920,141342,525669,83000
"ARGENTINA",11339,19940920,120406,559148,85584
"ARGENTINA",9632,19941212,39711,4859690,99042
"PERU",20369,19940505,66461,1661563,85647
"ARGENTINA",20369,19940505,152830,941415,112969
"ARGENTINA",3613,19940520,125718,5293903,104622
"ARGENTINA",23306,19930809,71159,411374,67809
"BRAZIL",15604,19950909,138806,8058086,110688
"PERU",13771,19920310,137332,1018781,82159
"ARGENTINA",13771,19920310,194197,2161452,77471
"CANADA",9100,19960430,186843,6773738,115790
"ARGENTINA",28897,19970907,147452,1091599,89967
"UNITED STATES",17825,19930116,40065,2291536,60303
"UNITED STATES",17825,19930116,163403,3869829,87984
"PERU",18565,19940505,172674,6567479,104800
"ARGENTINA",18565,19940505,131257,2524970,77295
"BRAZIL",27659,19940627,169448,4849738,91046
"PERU",27659,19940627,17762,2096340,100785
"PERU",1574,19920315,34078,3683934,60724
"PERU",19708,19920510,179343,2230229,85340
"BRAZIL",19708,19920510,139814,1219806,111228
"BRAZIL",24019,19950822,196935,5303337,121915
"BRAZIL",18403,19920312,114577,2864826,95494
"CANADA",5632,19960103,71252,3486262,73395
"ARGENTINA",27248,19940412,69423,6613995,83545
