"s_city","d_year","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
"UNITED ST7",1992,757795,582339,264363,85278
"UNITED ST2",1992,757795,561466,4191295,91646
"UNITED ST5",1992,412345,771410,7036555,88882
"UNITED ST1",1993,495247,222256,3967134,70694
"UNITED ST8",1993,44414,252353,2937015,78320
"UNITED ST1",1992,316661,633489,5540442,85347
"UNITED ST4",1993,252218,568523,5094391,95490
"UNITED ST9",1992,242332,644893,5640392,110271
"UNITED ST6",1992,24196,130209,4126536,74352
"UNITED ST1",1992,231370,652458,5445631,84625
"UNITED ST9",1993,705070,534869,2855760,114230
"UNITED ST2",1992,687986,149096,999663,68705
"UNITED ST4",1993,459442,464351,5146886,78919
"UNITED ST2",1992,233281,711097,967336,66483
"UNITED ST0",1992,759737,521653,1969364,100477
"UNITED ST2",1993,889330,133804,5518913,110268
"UNITED ST0",1993,383717,286885,8071503,112312
"UNITED ST0",1993,243010,550622,6688727,100356
"UNITED ST9",1993,599719,603165,3212935,64087
"UNITED ST9",1992,182771,295076,3153200,64263
"UNITED ST6",1992,430864,532247,2824517,76753
"UNITED ST0",1992,716254,104150,420110,69249
"UNITED ST7",1993,405347,353032,1325894,65101
"UNITED ST1",1992,425059,274226,1544670,72012
"UNITED ST5",1992,617774,613320,3576541,73997
"UNITED ST7",1993,498578,535120,2304424,69306
"UNITED ST6",1993,498578,145465,5135564,90627
"UNITED ST2",1992,19481,635676,2575400,96698
"UNITED ST2",1992,611563,252250,678063,72134
"UNITED ST2",1993,855241,101386,3329712,83242
"UNITED ST9",1992,810118,252691,3440222,98620
"UNITED ST4",1993,242422,385618,6444718,102216
"UNITED ST5",1993,141817,508056,2545159,63841
"UNITED ST6",1992,39460,378240,1918024,79093
"UNITED ST0",1993,860092,358022,5184048,64800
"UNITED ST7",1993,97864,228376,2465240,78261
"UNITED ST1",1993,161207,37755,5467582,101565
"UNITED ST5",1993,841384,25882,504398,108472
"UNITED ST3",1992,635482,24667,6175640,95499
"UNITED ST0",1992,690545,756305,1452475,81676
"UNITED ST3",1993,890338,497738,173571,104142
"UNITED ST3",1993,136070,69111,4400368,64806
"UNITED ST2",1992,260113,106591,939382,95855
"UNITED ST0",1993,870790,504805,841547,108586
"UNITED ST4",1992,673393,462461,6761340,85406
"UNITED ST8",1993,683710,184874,7104821,117532
"UNITED ST8",1992,428068,209260,3617659,70155
"UNITED ST1",1993,92947,418203,3834435,67270
"UNITED ST2",1992,576736,686567,2686053,93211
"UNITED ST4",1992,889012,160897,1301996,117473
"UNITED ST4",1992,596357,798841,8108405,116388
"UNITED ST0",1993,350512,277092,1781087,64144
"UNITED ST6",1993,354533,217284,3351543,72076
"UNITED ST0",1993,659140,214635,4611669,92977
"UNITED ST0",1992,258346,794671,6610556,105938
"UNITED ST6",1992,66587,367802,3365622,112187
"UNITED ST3",1993,128639,568170,6006265,74289
"UNITED ST3",1992,698296,749161,3526318,72607
"UNITED ST4",1993,892639,714491,5365459,90327
"UNITED ST8",1992,538526,346294,6111676,80416
"UNITED ST3",1992,249151,462436,4708446,83904
"UNITED ST9",1992,245161,536937,4786731,118434
"UNITED ST2",1992,201011,526845,2066489,112309
"UNITED ST6",1993,815357,673006,3720086,58738
"UNITED ST6",1992,455236,123160,3557762,70989
"UNITED ST2",1992,226207,138466,6296165,90267
"UNITED ST3",1992,316313,432680,3962305,96759
"UNITED ST8",1992,521450,649532,4906728,88890
"UNITED ST4",1992,639829,131316,5868882,80838
"UNITED ST5",1992,298679,575928,2805460,120234
"UNITED ST6",1993,566836,372825,2442481,113868
"UNITED ST6",1992,35746,535775,860106,108645
"UNITED ST3",1993,458684,197943,2253197,122456
"UNITED ST7",1993,44258,255544,5717707,89971
"UNITED ST9",1993,44258,4086,4182097,59404
"UNITED ST1",1992,362731,394845,1117342,116389
"UNITED ST7",1992,675871,493827,1037856,109248
"UNITED ST4",1992,462341,237523,6246601,87630
"UNITED ST7",1993,213821,288534,3958552,91351
"UNITED ST9",1992,876040,711555,281973,93991
"UNITED ST5",1992,780457,478050,3526142,61681
"UNITED ST6",1993,126118,53892,886027,110753
"UNITED ST8",1993,856793,248620,2020369,94116
"UNITED ST9",1993,56761,7037,3647731,56641
"UNITED ST1",1992,392332,193671,3649337,105880
"UNITED ST5",1992,787705,526833,1590137,111588
"UNITED ST1",1993,717841,506391,3493425,83842
"UNITED ST8",1993,488192,722008,3431860,61798
"UNITED ST8",1993,461857,265371,486435,80181
"UNITED ST3",1993,646351,62584,3758189,92794
"UNITED ST3",1992,129119,769036,2088450,66300
"UNITED ST0",1992,394588,645132,4168377,64626
"UNITED ST9",1992,706459,233077,1454486,60603
"UNITED ST1",1993,327481,158944,1822675,120176
"UNITED ST4",1993,327481,165980,4081730,122758
"UNITED ST9",1992,459809,723321,1149367,80657
"UNITED ST7",1993,93808,544652,2341349,101797
"UNITED ST3",1993,798688,95066,945404,63663
"UNITED ST3",1993,798688,226915,902531,110514
"UNITED ST7",1992,58615,380661,3110586,104499
"UNITED ST4",1992,341207,207927,8807568,110094
"UNITED ST8",1992,341207,346405,7184380,87083
"UNITED ST8",1993,598720,18869,5041765,107271
"UNITED ST3",1993,179057,371499,2921092,94228
"UNITED ST5",1993,179057,573749,656179,109363
"UNITED ST8",1992,269444,783902,7435097,119152
"UNITED ST4",1993,872386,626177,1284054,66188
"UNITED ST6",1992,800953,351702,868076,105221
"UNITED ST2",1992,243364,32173,3739895,66310
"UNITED ST5",1992,528641,443501,2308279,86668
"UNITED ST1",1992,433786,297818,341370,108948
"UNITED ST5",1992,433786,611893,6241205,108291
"UNITED ST1",1993,478186,156002,3247002,63480
"UNITED ST2",1993,364858,85221,5970789,72373
"UNITED ST3",1993,104996,549868,5638449,115070
"UNITED ST3",1993,879911,236593,2643114,91774
"UNITED ST0",1993,879911,416222,320972,68292
"UNITED ST1",1993,289481,716994,6845307,120657
"UNITED ST5",1993,160318,617053,3593924,58201
"UNITED ST7",1993,65324,467642,5620793,96577
"UNITED ST1",1992,728744,173154,225795,73629
"UNITED ST5",1992,680252,187732,3530276,109183
"UNITED ST8",1992,784363,727523,4046778,93029
"UNITED ST7",1993,374038,510707,7506261,103060
"UNITED ST4",1993,134611,539136,1202137,70506
"UNITED ST3",1992,332488,737873,741405,114650
"UNITED ST0",1993,671431,420535,1816476,87330
"UNITED ST6",1993,605881,314735,6150265,104983
"UNITED ST3",1993,314545,744027,2416153,64259
"UNITED ST4",1993,115094,621827,6830773,104927
"UNITED ST1",1993,279499,409139,2515464,62886
"UNITED ST8",1993,279499,105420,795384,85525
"UNITED ST0",1992,345287,510198,1817087,72490
"UNITED ST0",1992,868081,554902,1761192,117412
"UNITED ST3",1993,49181,720688,3646259,102519
"UNITED ST0",1993,866098,428602,3857061,91834
"UNITED ST3",1993,866098,122241,2760179,75794
"UNITED ST6",1992,436313,667725,5037445,101561
"UNITED ST2",1993,888394,260584,4988961,92674
"UNITED ST4",1993,716180,338391,4103749,85762
"UNITED ST0",1993,178121,471918,916596,113393
"UNITED ST6",1992,847663,795940,2461415,122154
"UNITED ST5",1992,847663,623829,2019214,105167
"UNITED ST5",1992,60118,647475,3271612,85346
"UNITED ST1",1992,42758,565152,834951,73027
"UNITED ST3",1993,862609,59112,3154418,64266
"UNITED ST1",1993,463310,538773,3228538,108705
"UNITED ST0",1992,773485,133118,4242991,69066
"UNITED ST8",1993,493057,783621,2243240,102275
"UNITED ST2",1993,552541,373137,3630360,72607
"UNITED ST5",1992,617398,788371,5837360,87560
"UNITED ST4",1993,816763,210458,5145334,82106
"UNITED ST2",1992,531721,419468,3621218,83246
"UNITED ST5",1992,274072,56934,6194686,113455
"UNITED ST0",1993,10457,85716,2504917,102102
"UNITED ST3",1993,359959,585424,896583,90564
"UNITED ST5",1992,880502,588660,1769623,104918
"UNITED ST8",1993,816052,265628,1093216,95616
"UNITED ST6",1993,25673,775663,4789925,104317
"UNITED ST9",1993,355087,164138,3534262,72127
"UNITED ST1",1992,467329,629117,4619489,62764
"UNITED ST3",1993,560981,305194,4317048,71950
"UNITED ST7",1992,425404,721674,6926689,101738
"UNITED ST2",1993,485116,118460,4030281,88707
"UNITED ST1",1992,231319,736835,2214339,112308
"UNITED ST7",1992,411494,268265,3142321,73995
"UNITED ST7",1992,432277,582907,3939962,119392
"UNITED ST7",1993,630685,498289,1853654,77235
"UNITED ST1",1993,617363,88549,6780551,92252
"UNITED ST4",1993,897964,656412,3486632,82102
"UNITED ST1",1993,897964,48076,4000017,61444
"UNITED ST1",1993,783251,61293,6208735,75257
"UNITED ST1",1992,425383,268438,2247459,84385
"UNITED ST0",1992,138295,343900,8210991,116633
"UNITED ST7",1992,566623,131951,6337508,118977
"UNITED ST1",1993,689557,720057,1647840,64621
"UNITED ST9",1992,375098,611962,2241220,112435
"UNITED ST2",1992,569854,254475,6180985,85767
"UNITED ST4",1992,796189,106170,3172130,70570
"UNITED ST9",1993,625879,448141,435648,65347
"UNITED ST5",1993,35503,459096,892589,63304
"UNITED ST7",1992,832684,418756,1657982,100483
"UNITED ST5",1992,825587,61995,3131184,117419
"UNITED ST2",1992,825587,554470,5750225,91467
"UNITED ST7",1992,646529,344907,359147,117113
"UNITED ST0",1993,290854,435200,3933398,68110
"UNITED ST6",1992,813997,775251,716158,79573
"UNITED ST8",1992,414697,54725,4199300,100783
"UNITED ST3",1993,182203,186292,3101152,82697
"UNITED ST9",1992,295969,727147,1512253,70446
"UNITED ST8",1993,409906,511228,1980241,74352
"UNITED ST0",1992,317782,287691,4015402,100720
"UNITED ST5",1993,378691,387421,3469343,90504
"UNITED ST9",1993,378691,781387,1794323,88101
"UNITED ST6",1993,40117,496881,4687138,112671
"UNITED ST2",1993,40117,42793,5269858,104147
"UNITED ST9",1992,720361,30431,2106132,81685
"UNITED ST3",1992,301453,639004,3349429,56578
"UNITED ST5",1993,278392,526096,1669640,67324
"UNITED ST2",1993,319703,657742,1529739,101982
"UNITED ST5",1993,786934,193248,920090,80474
"UNITED ST2",1993,332797,673296,1073793,76155
"UNITED ST7",1992,557242,459831,1215959,107448
"UNITED ST9",1992,125794,574146,4243577,73207
"UNITED ST6",1992,696014,432679,6736697,96699
"UNITED ST0",1993,372050,156989,930920,122758
"UNITED ST9",1993,25489,592101,1395903,71584
"UNITED ST0",1992,432065,775469,3783853,92665
"UNITED ST3",1993,513634,18893,1319055,108713
"UNITED ST9",1993,513634,730033,2009070,63780
"UNITED ST5",1993,513634,314171,109034,71109
"UNITED ST1",1993,580030,178499,946494,94649
"UNITED ST8",1992,714874,214891,986010,108352
"UNITED ST7",1993,854195,649290,5301554,74355
"UNITED ST7",1993,854195,604543,4823103,86850
"UNITED ST2",1993,372796,579634,2686940,102816
"UNITED ST8",1993,222898,245732,7175608,100663
"UNITED ST8",1992,23944,600594,3975529,89673
"UNITED ST1",1992,215669,636009,1885215,56698
"UNITED ST5",1993,610492,402617,1935957,91175
"UNITED ST1",1993,489176,483857,2982144,110449
"UNITED ST2",1993,870124,633794,4927571,103665
"UNITED ST7",1993,451165,785088,4926810,70383
"UNITED ST8",1993,209899,538331,1370679,82158
"UNITED ST7",1992,828292,544488,743243,91947
"UNITED ST1",1992,691807,285827,6170805,108768
"UNITED ST6",1992,157327,178301,4489621,82758
"UNITED ST5",1993,810229,478281,4646669,75555
"UNITED ST9",1993,810229,58326,1952166,77059
"UNITED ST9",1993,15703,364343,2814660,84439
"UNITED ST9",1993,15703,300655,5851031,99338
"UNITED ST1",1992,690181,764058,2089201,67321
"UNITED ST0",1992,542302,677968,2352629,116755
"UNITED ST4",1993,15071,94349,3831205,80600
"UNITED ST3",1992,721216,182022,397447,66241
"UNITED ST4",1992,709958,631081,4512730,60723
"UNITED ST1",1992,6521,356527,7296814,95010
"UNITED ST7",1992,690875,351067,1900685,67083
"UNITED ST4",1993,729842,61242,3128424,72194
"UNITED ST0",1993,609017,733845,2620939,112728
"UNITED ST2",1993,342802,141728,3815516,106183
"UNITED ST4",1992,132250,22558,2753823,88833
"UNITED ST7",1992,132250,408507,1803321,84928
"UNITED ST9",1992,518878,473212,3235568,71111
"UNITED ST5",1992,131080,647915,1251855,111772
"UNITED ST7",1993,732808,579992,6153750,124318
"UNITED ST1",1993,423319,505573,2727734,94713
"UNITED ST5",1993,897841,730942,585954,118374
"UNITED ST8",1993,608819,95985,4278916,118858
"UNITED ST5",1993,775879,185366,1240912,87081
"UNITED ST4",1993,775879,258357,1854629,78920
"UNITED ST8",1992,656612,256189,412261,68710
"UNITED ST1",1992,656612,162600,987584,99756
"UNITED ST5",1993,157465,288588,2128369,94594
"UNITED ST0",1992,291094,414796,7955080,102646
"UNITED ST4",1993,727786,351755,7790662,108404
"UNITED ST0",1993,207985,532437,5056239,88164
"UNITED ST9",1993,602698,572431,811841,90204
"UNITED ST6",1992,517153,506265,1300478,76274
"UNITED ST7",1992,166117,793939,3943826,121974
"UNITED ST5",1993,106732,344565,3824290,96573
"UNITED ST1",1992,232672,222861,6948095,107031
"UNITED ST2",1992,666134,156635,3975330,101497
"UNITED ST1",1992,20684,69848,5700746,109070
"UNITED ST9",1992,20684,277931,3436056,114535
"UNITED ST6",1993,431050,771061,5051117,67921
"UNITED ST4",1992,497195,596911,2586162,120473
"UNITED ST9",1992,100159,514775,5788051,107385
"UNITED ST1",1992,82222,222769,6090300,101505
"UNITED ST7",1992,82985,572923,4107562,119754
"UNITED ST3",1993,101431,140494,5109851,92069
"UNITED ST1",1993,360727,765960,188411,121555
"UNITED ST2",1992,62914,749983,4732707,121977
"UNITED ST4",1993,385067,653115,2210925,64084
"UNITED ST0",1993,714472,799045,3978866,68640
"UNITED ST4",1992,616843,181439,5456823,91225
"UNITED ST1",1993,506725,14563,1786370,88653
"UNITED ST4",1992,94768,2487,3676564,83368
"UNITED ST2",1993,751231,307008,1887881,60899
"UNITED ST8",1993,356770,511717,7301986,103721
"UNITED ST7",1993,489308,19910,2012901,109794
"UNITED ST7",1993,402058,595123,4034347,73086
"UNITED ST3",1993,814651,712868,3317784,112849
"UNITED ST3",1993,438938,519377,2513430,83781
"UNITED ST3",1992,570802,174223,3069222,77833
"UNITED ST0",1993,809167,715365,1472812,82819
"UNITED ST5",1992,542734,783657,696248,104437
"UNITED ST5",1992,542734,522270,2496627,77535
"UNITED ST9",1993,42269,325414,388638,86364
"UNITED ST7",1993,246163,739676,1544076,102938
"UNITED ST2",1993,423142,683036,2999936,61140
"UNITED ST8",1992,509320,6003,1672560,54540
"UNITED ST2",1992,791221,790759,8083276,110983
"UNITED ST6",1992,724453,450674,1769243,97479
"UNITED ST9",1992,204839,413744,7549256,99463
"UNITED ST8",1993,116381,42495,3277477,86249
"UNITED ST4",1993,633983,260034,2033764,59641
"UNITED ST2",1992,372007,698204,3570444,72130
"UNITED ST6",1992,636277,588191,721451,76750
"UNITED ST3",1993,664478,595878,1284976,118431
"UNITED ST7",1993,355402,157478,3095507,92128
"UNITED ST7",1992,776911,506722,4200741,103722
"UNITED ST0",1993,605165,14213,2952162,67632
"UNITED ST7",1993,323462,543217,1474422,75611
"UNITED ST6",1992,53051,227753,4630438,100844
"UNITED ST8",1992,530366,283929,4166317,114774
"UNITED ST0",1992,124660,389569,1641964,99513
"UNITED ST7",1992,284455,526199,4487797,73510
"UNITED ST4",1992,370633,159959,3597768,121137
"UNITED ST6",1993,61744,534735,3504025,106182
"UNITED ST2",1993,94769,602389,1975765,77481
"UNITED ST3",1992,840092,314643,596746,99457
"UNITED ST7",1993,205201,129569,1670495,95913
"UNITED ST8",1992,806768,666461,2215371,85645
"UNITED ST6",1993,51628,436883,855334,109191
"UNITED ST4",1993,307777,597388,3475742,89121
"UNITED ST2",1992,154903,29225,3545763,69253
"UNITED ST8",1992,65507,195724,993567,109183
"UNITED ST1",1993,421382,411965,7357604,112616
"UNITED ST6",1992,287260,520533,3728424,93210
"UNITED ST1",1993,621811,619617,5872808,92194
"UNITED ST2",1993,466793,399194,5069265,77590
"UNITED ST0",1992,401776,598978,3402044,124617
"UNITED ST5",1992,800671,426400,3500316,79582
"UNITED ST3",1993,471854,695374,5921026,82160
"UNITED ST9",1993,592786,413910,6613425,109433
"UNITED ST5",1992,827281,682197,2451473,70749
"UNITED ST0",1992,441787,377901,7218990,118733
"UNITED ST8",1993,138592,564655,4814964,103177
"UNITED ST9",1993,866026,632333,961628,75918
"UNITED ST7",1992,540854,70678,4589897,98920
"UNITED ST9",1993,248581,734641,3853903,100536
"UNITED ST5",1993,98281,347001,1851798,62879
"UNITED ST4",1992,278054,58408,3416000,81984
"UNITED ST0",1992,325753,350509,2465553,93569
"UNITED ST9",1993,455753,778268,4092539,80773
"UNITED ST3",1993,455753,674729,2376647,102221
"UNITED ST7",1993,522127,454365,3509444,79160
"UNITED ST1",1993,857974,175243,1305057,79094
"UNITED ST5",1992,279892,235726,6314498,99702
"UNITED ST9",1992,28367,528423,545726,87084
"UNITED ST4",1992,620104,42347,4801502,77360
"UNITED ST6",1992,294329,606289,3872610,71715
"UNITED ST9",1993,198754,598044,4014200,68521
"UNITED ST3",1993,417304,180714,8076195,107682
"UNITED ST4",1992,288812,542876,706136,115131
"UNITED ST3",1992,709,552843,7325448,113749
"UNITED ST7",1992,8617,194370,4034339,87862
"UNITED ST1",1992,486233,372417,4760122,89364
"UNITED ST6",1992,764381,655897,833787,111171
"UNITED ST6",1992,349316,697031,1040336,61680
"UNITED ST7",1993,495547,379388,5212098,88042
"UNITED ST5",1992,10718,145130,4145858,70507
"UNITED ST3",1992,8165,44716,2524279,99642
"UNITED ST0",1993,689512,263996,3527964,117598
"UNITED ST3",1992,449425,328936,196492,117895
"UNITED ST2",1993,445210,180343,6558750,85400
"UNITED ST9",1992,207182,128453,4684344,88887
"UNITED ST7",1992,207182,504856,1038343,111649
"UNITED ST3",1992,881243,375366,5115351,86481
"UNITED ST1",1992,695464,531263,3893073,77654
"UNITED ST7",1992,882725,279381,3694764,81622
"UNITED ST2",1993,618829,271619,5245798,95436
"UNITED ST6",1993,809849,90765,2384322,105345
"UNITED ST3",1992,184253,784349,4221097,85998
"UNITED ST7",1992,725002,25058,452203,58983
"UNITED ST6",1993,334531,151112,540846,69786
"UNITED ST6",1992,133334,334879,5439190,114831
"UNITED ST9",1993,68191,43155,808238,65889
"UNITED ST0",1993,445162,650407,2965853,81442
"UNITED ST6",1993,863320,159396,1257456,87323
"UNITED ST6",1993,760640,488892,7480219,112852
"UNITED ST8",1993,65281,113433,5846470,86785
"UNITED ST5",1992,387334,676094,4727525,64203
"UNITED ST6",1993,750251,732198,4207147,73809
"UNITED ST3",1992,332959,713272,1927860,77114
"UNITED ST4",1992,184606,101257,2151607,75495
"UNITED ST5",1993,822142,658722,5490814,100841
"UNITED ST4",1993,822142,614290,2926351,72255
"UNITED ST3",1993,66371,172828,345949,114049
"UNITED ST9",1993,390661,779606,2669942,101134
"UNITED ST1",1993,497357,148064,1551323,66723
"UNITED ST6",1993,654229,467954,7303334,115315
"UNITED ST5",1993,766001,339493,5103158,91948
"UNITED ST5",1993,631621,468492,3721277,87628
"UNITED ST8",1993,631621,195552,2471325,98853
"UNITED ST5",1993,380248,281848,9057658,109789
"UNITED ST8",1992,548167,663921,1771796,113093
"UNITED ST5",1992,552988,784590,6840577,100473
"UNITED ST7",1993,838954,171144,2065738,72908
"UNITED ST4",1993,347824,207266,3368400,70395
"UNITED ST5",1992,638729,88224,4907066,72733
"UNITED ST5",1993,204454,404041,1738836,56701
"UNITED ST3",1992,35449,186460,7732300,92787
"UNITED ST5",1992,12695,40974,4504009,114898
"UNITED ST9",1993,55343,165744,2149971,108584
"UNITED ST2",1992,444205,266981,2563528,116878
"UNITED ST3",1992,685013,605763,5922322,100123
"UNITED ST7",1993,413419,608565,4709401,88411
"UNITED ST7",1993,740890,124706,5732078,103842
"UNITED ST7",1992,815083,285405,383747,83423
"UNITED ST7",1993,507686,551611,3870509,99755
"UNITED ST8",1993,883061,1951,170471,111177
"UNITED ST5",1993,724535,429430,2218557,81564
"UNITED ST3",1993,724535,628713,1344535,98500
"UNITED ST6",1992,751225,340535,6049996,94531
"UNITED ST9",1992,508706,465672,2567835,98259
"UNITED ST1",1993,160592,273188,341383,69670
"UNITED ST7",1992,581318,674782,5979977,105405
"UNITED ST4",1992,876079,737873,2751609,114650
"UNITED ST3",1992,678146,580726,4336080,108402
"UNITED ST4",1993,486304,588833,5765430,115308
"UNITED ST0",1993,476545,777863,1106273,116449
"UNITED ST1",1993,158680,723187,4828498,72609
"UNITED ST3",1992,300179,542677,6005017,103179
"UNITED ST5",1992,613042,603477,546654,82826
"UNITED ST7",1993,106153,746194,3844496,74409
"UNITED ST7",1993,494806,369414,2788792,89004
"UNITED ST7",1993,788129,726443,4099653,88164
"UNITED ST1",1992,614851,660593,3197226,93213
"UNITED ST4",1993,131083,401897,1798870,107932
"UNITED ST7",1992,271451,61294,4473853,75317
"UNITED ST0",1993,578719,594397,7158576,89482
"UNITED ST1",1993,8905,796916,4206919,120772
"UNITED ST1",1993,579817,9042,1937268,57062
"UNITED ST1",1993,579817,761138,327354,71946
"UNITED ST6",1992,517723,768193,5808902,75669
"UNITED ST8",1993,207086,681724,3377266,102341
"UNITED ST7",1993,438812,478268,1869360,74774
"UNITED ST8",1993,12604,234829,3608755,105828
"UNITED ST9",1992,605740,31057,4405714,59283
"UNITED ST4",1993,27503,274839,6819963,108829
"UNITED ST4",1992,830704,788360,417119,86899
"UNITED ST8",1993,714856,197342,130979,86360
"UNITED ST8",1992,670444,101155,693690,69369
"UNITED ST2",1993,184873,643289,1848375,73935
"UNITED ST1",1993,184873,551751,6136492,108163
"UNITED ST7",1992,137872,633424,2146033,81443
"UNITED ST6",1993,587089,765427,4632378,89543
"UNITED ST9",1992,680185,245938,5595242,113035
"UNITED ST2",1993,336538,755696,2574940,105099
"UNITED ST5",1992,270529,755299,6094170,81255
"UNITED ST3",1992,270529,707082,871240,65343
"UNITED ST9",1992,270529,265400,3761649,81923
"UNITED ST7",1993,742297,729287,2448225,78975
"UNITED ST1",1993,389351,499691,2799749,101440
"UNITED ST3",1992,198331,91551,1058189,92553
"UNITED ST8",1992,208852,205769,6454486,100485
"UNITED ST9",1993,214247,22954,5574541,112617
"UNITED ST0",1993,177349,681055,2239875,62161
"UNITED ST1",1993,516841,288203,2376424,71471
"UNITED ST9",1992,179507,34363,5299715,77841
"UNITED ST4",1993,552248,26143,5134010,64148
"UNITED ST1",1992,566686,135216,4291650,75072
"UNITED ST1",1992,801553,629910,7515909,110392
"UNITED ST3",1992,801553,99711,6305677,102642
"UNITED ST9",1992,644269,540479,5470020,91167
"UNITED ST2",1993,418117,500363,6020509,81800
"UNITED ST4",1992,152611,322017,604698,62340
"UNITED ST6",1992,152611,123072,1366647,65704
"UNITED ST6",1993,164338,437345,2123521,76939
"UNITED ST8",1992,570676,101574,7331127,94534
"UNITED ST0",1992,344548,527121,3380006,68886
"UNITED ST6",1993,672364,218894,4405298,108772
"UNITED ST1",1992,717223,144647,5359115,101498
"UNITED ST1",1993,843724,209388,4296889,77842
"UNITED ST0",1993,447715,740393,4715754,86001
"UNITED ST7",1993,196921,99751,7353150,105045
"UNITED ST6",1992,339400,713829,6435022,110567
"UNITED ST1",1992,46685,187104,117918,71466
"UNITED ST7",1992,424280,735285,712935,79215
"UNITED ST9",1992,801170,431594,5592739,91534
"UNITED ST9",1992,105697,368374,6996888,86541
"UNITED ST4",1992,105697,47680,1718830,97660
"UNITED ST8",1992,105697,541592,316912,98014
"UNITED ST8",1992,770797,214453,3856180,82046
"UNITED ST7",1993,545203,438018,3430092,57359
"UNITED ST9",1992,622460,287061,3942764,62883
"UNITED ST6",1993,8582,149828,6384588,112669
"UNITED ST2",1992,443570,53263,3035784,72975
"UNITED ST4",1992,100487,796872,4774437,118130
"UNITED ST7",1993,805015,58697,331138,99341
"UNITED ST2",1992,592156,315494,1883831,90568
"UNITED ST4",1993,229183,114607,1297280,97296
"UNITED ST4",1992,841546,43520,4264697,87811
"UNITED ST8",1993,158125,147673,2477764,103240
"UNITED ST5",1993,229660,227180,2648350,66430
"UNITED ST6",1993,23530,401757,6120713,99523
"UNITED ST7",1992,342628,97705,7682582,102162
"UNITED ST5",1993,528869,243058,4512688,60062
"UNITED ST1",1992,730025,472275,3580854,74835
"UNITED ST6",1992,589490,237325,242363,75738
"UNITED ST6",1992,121501,373914,8396889,119274
"UNITED ST1",1992,667057,280356,4062473,80180
"UNITED ST2",1992,765038,116871,8695529,113272
"UNITED ST6",1992,146362,502436,661668,86304
"UNITED ST4",1992,28555,188699,8234100,107261
"UNITED ST0",1992,362362,592756,4326028,110923
"UNITED ST9",1992,800098,441208,3232643,68950
"UNITED ST8",1993,193249,587202,5089682,77350
"UNITED ST8",1993,399877,121690,325221,102701
"UNITED ST4",1993,810724,333220,114042,75192
"UNITED ST1",1993,697013,44600,7041831,92676
"UNITED ST4",1993,513872,627812,6889528,104386
"UNITED ST1",1993,396448,691030,3838960,61260
"UNITED ST0",1992,581689,683307,2136687,77416
"UNITED ST4",1993,708746,262944,1887860,114415
"UNITED ST4",1992,8939,47603,4298263,93036
"UNITED ST6",1993,462706,37148,1777459,65108
"UNITED ST1",1993,831235,175940,556399,120956
"UNITED ST8",1993,596254,595566,4884927,99692
"UNITED ST8",1993,745996,765866,1311712,115909
"UNITED ST5",1992,125741,526088,1450506,66843
"UNITED ST0",1992,776741,553785,353041,110325
"UNITED ST6",1993,887183,672717,6765478,101380
"UNITED ST7",1992,371872,375518,4194092,95610
"UNITED ST3",1993,728357,537176,334829,72789
"UNITED ST6",1993,895930,322128,901686,69006
