"s_city","d_year","lo_partkey","lo_revenue","lo_supplycost"
"UNITED ST0",1992,553785,353041,110325
"UNITED ST6",1993,322128,901686,69006
"UNITED ST7",1993,360564,5555961,97473
"UNITED ST4",1993,675113,5118328,65284
"UNITED ST8",1993,23433,3190323,81385
"UNITED ST9",1993,645830,495448,106548
"UNITED ST9",1993,458615,144770,94415
"UNITED ST1",1993,739006,2534052,62698
"UNITED ST4",1993,90728,1118886,103123
"UNITED ST7",1992,22597,875283,91175
"UNITED ST4",1992,633984,3227909,115077
"UNITED ST5",1992,657236,2777769,71592
"UNITED ST6",1993,327671,7567530,101919
"UNITED ST4",1993,135279,1076387,78856
"UNITED ST2",1992,609133,1531887,62526
"UNITED ST2",1992,692467,1840341,87565
"UNITED ST2",1993,279241,1757131,73213
"UNITED ST8",1992,83032,2926331,60901
"UNITED ST7",1992,310787,8111538,107866
"UNITED ST1",1993,715104,611012,67144
"UNITED ST8",1992,375509,3094508,95069
"UNITED ST5",1993,264242,542803,72373
"UNITED ST2",1992,542107,330935,68944
"UNITED ST3",1993,236404,636685,80423
"UNITED ST4",1993,472468,3578052,86426
"UNITED ST8",1992,200698,2327678,95920
"UNITED ST5",1993,402475,371911,82647
"UNITED ST0",1993,268707,2312452,100541
"UNITED ST4",1992,338882,2297360,115252
"UNITED ST2",1993,765905,8585109,118252
"UNITED ST9",1992,21814,7408437,104148
"UNITED ST7",1992,26488,5509399,84868
"UNITED ST1",1993,739958,4315507,119875
"UNITED ST5",1993,446048,271367,59641
"UNITED ST1",1992,685099,1496002,65043
"UNITED ST5",1993,701311,1948735,78736
"UNITED ST0",1993,233388,5494256,79282
"UNITED ST4",1993,180282,396423,81736
"UNITED ST4",1993,629531,5783580,87630
"UNITED ST4",1993,171999,4141980,124259
"UNITED ST0",1992,102470,1177976,88348
"UNITED ST3",1993,686802,708352,107326
"UNITED ST8",1992,263892,545628,111352
"UNITED ST2",1993,656392,2454015,80901
"UNITED ST1",1992,206838,6564012,104689
"UNITED ST7",1992,266536,5192709,90151
"UNITED ST8",1993,609958,369848,112075
"UNITED ST0",1993,685671,2249717,99398
"UNITED ST6",1993,296531,2291280,91651
"UNITED ST9",1992,125224,4984387,74953
"UNITED ST1",1992,140788,2040918,109726
"UNITED ST6",1993,327265,2853288,77535
"UNITED ST5",1992,38422,1199890,81625
"UNITED ST4",1992,606854,6550250,105649
"UNITED ST9",1992,25224,2477718,68953
"UNITED ST0",1993,387136,112527,73387
"UNITED ST2",1993,52814,1971759,106008
"UNITED ST5",1992,408187,3434421,65709
"UNITED ST0",1993,484414,4337805,83903
"UNITED ST9",1992,562076,5462640,68283
"UNITED ST5",1992,328435,4536602,87805
"UNITED ST4",1993,351842,7423813,113629
"UNITED ST8",1993,88247,3367264,74114
"UNITED ST6",1993,332463,952601,89727
"UNITED ST7",1992,74238,3234229,72733
"UNITED ST3",1992,126022,3458466,62881
"UNITED ST2",1993,59483,5768477,86548
"UNITED ST9",1992,102360,1831011,81741
"UNITED ST2",1993,629157,3371316,65167
"UNITED ST2",1993,3324,3523635,73639
"UNITED ST9",1993,415702,1766506,97060
"UNITED ST9",1993,394538,1074198,97951
"UNITED ST7",1992,10768,4819719,100725
"UNITED ST8",1993,546724,7989398,106242
"UNITED ST8",1992,414033,928069,56820
"UNITED ST1",1993,53526,5228623,88771
"UNITED ST3",1992,323434,7068487,87445
"UNITED ST2",1992,180562,3843590,98553
"UNITED ST0",1993,183265,2426868,80895
"UNITED ST4",1993,496194,1142563,71410
"UNITED ST1",1992,19867,6046734,107211
"UNITED ST6",1992,51249,3456691,72014
"UNITED ST5",1993,310714,5463849,103482
"UNITED ST3",1993,632360,5515664,77539
"UNITED ST3",1992,392684,3139375,106600
"UNITED ST8",1992,789353,3077910,86539
"UNITED ST4",1993,448929,6591429,112674
"UNITED ST0",1993,683471,6617702,87266
"UNITED ST2",1993,139322,735112,81679
"UNITED ST4",1993,393751,3073336,110684
"UNITED ST5",1993,213678,3275636,95499
"UNITED ST0",1992,542232,5685525,76452
"UNITED ST9",1993,171322,5442307,83599
"UNITED ST6",1993,786959,2823369,122755
"UNITED ST9",1992,482472,5665082,87267
"UNITED ST5",1993,64733,977892,101863
"UNITED ST0",1992,190635,5409850,103537
"UNITED ST9",1992,796496,4369710,95547
"UNITED ST0",1992,18579,2560844,89854
"UNITED ST7",1993,142317,255550,81558
"UNITED ST2",1992,112830,4422792,110569
"UNITED ST2",1993,96170,4750976,69970
"UNITED ST4",1993,244420,3891297,81864
"UNITED ST0",1993,100231,5016031,73873
"UNITED ST6",1993,550971,5762557,121317
"UNITED ST3",1992,709346,402527,81318
"UNITED ST8",1992,464910,1724898,112493
"UNITED ST0",1993,393411,7371560,90264
"UNITED ST8",1993,563579,4231208,98553
"UNITED ST9",1992,318195,4494831,72790
"UNITED ST9",1993,497529,4590185,91590
"UNITED ST1",1993,138792,7356114,109847
"UNITED ST9",1992,361255,6317952,78974
"UNITED ST8",1993,278496,3603629,88468
"UNITED ST6",1993,552904,9013389,117412
"UNITED ST7",1993,273001,3401173,58439
"UNITED ST1",1993,495945,760840,116455
"UNITED ST7",1993,789374,3851510,87800
"UNITED ST6",1993,136739,2642286,106543
"UNITED ST5",1992,608,1902344,90516
"UNITED ST0",1992,33396,3461731,79763
"UNITED ST4",1992,591039,3468000,67800
"UNITED ST8",1993,424447,2246385,82285
"UNITED ST7",1993,756074,4508859,67802
"UNITED ST3",1993,539073,2934699,66723
"UNITED ST7",1992,310974,982555,119097
"UNITED ST3",1992,358600,4425118,99515
"UNITED ST1",1992,154984,3757840,122338
"UNITED ST8",1992,524200,4419289,73450
"UNITED ST5",1993,421598,3343054,91174
"UNITED ST3",1993,388671,1877557,105579
"UNITED ST9",1993,101550,4040236,93093
"UNITED ST3",1992,539617,6202272,99395
"UNITED ST5",1992,501404,421614,84322
"UNITED ST6",1993,242710,2429469,99162
"UNITED ST5",1993,356534,4251459,95431
"UNITED ST3",1993,412666,5746249,94718
"UNITED ST9",1992,330009,1932521,62339
"UNITED ST1",1992,478361,3897479,80360
"UNITED ST5",1992,799062,1358405,69661
"UNITED ST5",1992,23804,331737,103668
"UNITED ST7",1993,657951,7635680,114535
"UNITED ST1",1993,748691,7654504,104379
"UNITED ST9",1992,250279,4344204,73755
"UNITED ST3",1992,462608,471174,94234
"UNITED ST0",1992,436487,661908,85407
"UNITED ST8",1992,257364,3809452,79281
"UNITED ST5",1993,373066,4111970,68343
"UNITED ST1",1992,699479,4875895,88706
"UNITED ST7",1993,28604,2708104,91956
"UNITED ST9",1992,553869,4699420,115370
"UNITED ST5",1992,117434,844732,87085
"UNITED ST0",1992,33902,6418306,110154
"UNITED ST9",1992,571050,745484,67261
"UNITED ST4",1992,593512,1430491,96329
"UNITED ST9",1993,353895,1434375,116932
"UNITED ST7",1993,713787,334939,108045
"UNITED ST5",1993,335321,4917980,81378
"UNITED ST7",1993,400635,1956367,92136
"UNITED ST2",1993,69249,2631398,73094
"UNITED ST1",1993,377039,209811,66961
"UNITED ST1",1993,701198,1527729,71949
"UNITED ST5",1993,472800,5332522,106366
"UNITED ST1",1992,82636,6594298,97117
"UNITED ST4",1992,333810,3186086,110628
"UNITED ST9",1992,29003,2205112,55920
"UNITED ST1",1993,165997,4555081,123779
"UNITED ST5",1993,374226,5741727,78012
"UNITED ST7",1992,226611,968688,92256
"UNITED ST0",1993,428808,2969893,104206
"UNITED ST8",1993,230038,1157751,58081
"UNITED ST0",1992,237897,2113781,110092
"UNITED ST6",1992,790526,6828053,96989
"UNITED ST6",1992,69475,3718065,86668
"UNITED ST0",1993,799249,5205438,80892
"UNITED ST1",1992,142486,4279744,91708
"UNITED ST4",1992,224323,4490316,74838
"UNITED ST7",1992,141436,6448981,88645
"UNITED ST8",1993,275291,2621199,75976
"UNITED ST3",1993,489652,2275299,98497
"UNITED ST8",1992,420508,1611325,85708
"UNITED ST7",1992,244398,4651346,80542
"UNITED ST0",1993,654061,933827,60901
"UNITED ST7",1992,789622,778773,102695
"UNITED ST1",1993,58885,2181310,110632
"UNITED ST6",1993,332816,7949840,110928
"UNITED ST0",1993,758495,3917826,93207
"UNITED ST4",1992,621485,6329025,84387
"UNITED ST4",1992,351699,8235198,105040
"UNITED ST4",1992,751578,1906561,97772
"UNITED ST1",1993,186509,5600205,95730
"UNITED ST6",1993,205284,1027529,71356
"UNITED ST7",1992,512390,4086506,84142
"UNITED ST8",1992,717298,2249094,78915
"UNITED ST7",1992,712771,3979523,107024
"UNITED ST9",1993,516594,4000655,96634
"UNITED ST2",1992,483165,640662,68888
"UNITED ST9",1993,795539,7767144,98070
"UNITED ST8",1993,256657,1820185,96818
"UNITED ST5",1992,200854,521187,105290
"UNITED ST7",1992,511725,4633515,104202
"UNITED ST5",1993,729179,1289085,72488
"UNITED ST9",1993,743129,4313291,70325
"UNITED ST5",1993,187168,2409907,75309
"UNITED ST6",1992,553871,2925772,115491
"UNITED ST6",1993,509881,175849,113451
"UNITED ST1",1992,209134,3285828,62587
"UNITED ST9",1992,584029,2929416,66780
"UNITED ST9",1992,619289,111159,72495
"UNITED ST7",1992,181067,3444180,68883
"UNITED ST6",1992,655274,3042369,73754
"UNITED ST7",1993,662858,4963555,109249
"UNITED ST9",1992,350610,2266719,99636
"UNITED ST7",1992,651216,3436177,70030
"UNITED ST0",1992,435056,4378370,59461
"UNITED ST9",1993,383979,8532402,123777
"UNITED ST1",1992,124544,4611507,94112
"UNITED ST0",1992,402780,3321768,100965
"UNITED ST8",1993,592109,4221796,72064
"UNITED ST0",1992,238195,3966130,67990
"UNITED ST3",1993,419146,210893,63907
"UNITED ST0",1993,259453,1576283,84746
"UNITED ST7",1992,285180,5202484,69910
"UNITED ST7",1992,567035,3587042,66120
"UNITED ST9",1992,341575,1293248,96993
"UNITED ST0",1993,418439,2660523,81444
"UNITED ST9",1992,556153,4456853,72547
"UNITED ST1",1993,548170,462897,73089
"UNITED ST5",1992,383453,4867441,92186
"UNITED ST5",1992,35577,3304965,90754
"UNITED ST6",1992,640499,2901951,86367
"UNITED ST9",1993,275220,2089227,71712
"UNITED ST1",1992,605197,3751752,66129
"UNITED ST8",1993,583781,2401810,111885
"UNITED ST4",1993,292414,4863331,84384
"UNITED ST3",1992,545789,704547,110085
"UNITED ST6",1992,264007,4369455,58259
"UNITED ST0",1992,567669,4633355,104198
"UNITED ST0",1992,250979,6322548,115797
"UNITED ST5",1993,562938,7283312,120054
"UNITED ST6",1992,743411,397045,87262
"UNITED ST5",1993,427218,3435570,68711
"UNITED ST8",1993,6664,5908822,94239
"UNITED ST4",1992,73226,3173136,71953
"UNITED ST6",1992,406438,5346718,80664
"UNITED ST1",1992,558910,7883435,118133
"UNITED ST2",1993,55208,3916494,69792
"UNITED ST0",1992,85432,555632,85045
"UNITED ST1",1993,677691,7445560,100119
"UNITED ST5",1992,272431,383133,84205
"UNITED ST0",1993,250056,3647901,60362
"UNITED ST0",1993,277145,2374427,67327
"UNITED ST9",1992,30069,293723,59943
"UNITED ST1",1993,280367,933713,80841
"UNITED ST0",1993,205898,892920,108232
"UNITED ST3",1993,369249,3638314,79093
"UNITED ST3",1993,670079,2920527,62942
"UNITED ST1",1993,517174,1095858,71469
"UNITED ST6",1993,322690,7159002,102760
"UNITED ST9",1993,149489,1590788,92308
"UNITED ST6",1992,8292,2508606,72017
"UNITED ST4",1992,249766,2257927,102945
"UNITED ST8",1992,46014,1468815,57600
"UNITED ST8",1992,679139,1710693,67086
"UNITED ST0",1992,789447,3177295,92184
"UNITED ST0",1992,790241,1789146,79872
"UNITED ST6",1993,605938,2301187,110634
"UNITED ST7",1992,30601,4738770,91896
"UNITED ST2",1992,671646,145584,97056
"UNITED ST0",1993,230200,3051513,67811
"UNITED ST8",1992,74744,1979988,103124
"UNITED ST4",1992,736923,1861895,117593
"UNITED ST6",1993,422648,3467928,94237
"UNITED ST4",1993,537277,5435738,78855
"UNITED ST8",1992,747744,2580062,107502
"UNITED ST3",1993,274706,7825292,100841
"UNITED ST3",1993,101648,3429601,98978
"UNITED ST9",1992,223402,1781324,79523
"UNITED ST1",1992,708357,6356929,81919
"UNITED ST8",1993,648084,2963015,61923
"UNITED ST0",1993,655876,8078414,109910
"UNITED ST5",1993,23706,4537084,97782
"UNITED ST5",1992,94378,617566,82342
"UNITED ST0",1993,631260,325205,71473
"UNITED ST9",1992,745063,5155663,66481
"UNITED ST3",1992,271097,1522014,64084
"UNITED ST2",1992,372350,4187368,85340
"UNITED ST6",1993,76316,1201848,77538
"UNITED ST0",1992,686754,5605118,104443
"UNITED ST9",1992,763134,3871421,71826
"UNITED ST9",1993,275459,1847558,86066
"UNITED ST5",1992,139647,3673501,101198
"UNITED ST2",1992,496180,1658385,70569
"UNITED ST2",1992,787956,2943244,122635
"UNITED ST4",1992,241345,2176470,77179
"UNITED ST0",1993,308356,6275964,81860
"UNITED ST7",1992,619698,960890,97059
"UNITED ST0",1992,53659,6973098,96759
"UNITED ST4",1992,250453,5557622,84206
"UNITED ST8",1993,288918,4385870,114414
"UNITED ST9",1992,528473,1324278,90087
"UNITED ST4",1992,653678,4454377,97898
"UNITED ST8",1992,611508,2782161,85168
"UNITED ST4",1993,146463,6086142,90567
"UNITED ST7",1992,114170,1591524,71050
"UNITED ST1",1992,279730,324846,102583
"UNITED ST2",1992,80685,2348608,99940
"UNITED ST6",1992,135866,4421824,114111
"UNITED ST5",1993,52782,3424455,104086
"UNITED ST8",1993,691082,1875691,64383
"UNITED ST9",1993,212449,2912098,81685
"UNITED ST5",1993,411067,818619,58682
"UNITED ST5",1993,266462,831357,85707
"UNITED ST9",1993,295823,6351284,109128
"UNITED ST8",1993,698064,2666757,63721
"UNITED ST9",1993,398269,6103404,82035
"UNITED ST0",1992,85956,5719042,116517
"UNITED ST2",1992,118016,4140176,62040
"UNITED ST8",1992,106440,6725946,86786
"UNITED ST4",1992,15228,1646236,68593
"UNITED ST6",1992,706116,5217672,67324
"UNITED ST0",1993,366761,3739576,109665
"UNITED ST1",1992,545096,4066773,68464
"UNITED ST5",1993,751170,5111692,73268
"UNITED ST3",1993,404447,1905502,81085
"UNITED ST7",1992,369919,7016839,119334
"UNITED ST3",1993,478445,6285822,85405
"UNITED ST9",1992,64974,1710171,116338
"UNITED ST1",1992,283845,6989788,109729
"UNITED ST3",1992,535310,1565917,80717
"UNITED ST7",1993,661747,803093,102522
"UNITED ST1",1992,551705,8091268,105400
"UNITED ST7",1992,799639,7197804,104316
"UNITED ST4",1993,380520,4122913,96030
"UNITED ST3",1993,189381,1243941,88222
"UNITED ST3",1993,142429,4061119,88285
"UNITED ST7",1992,739174,3685519,72788
"UNITED ST5",1992,101485,4608088,89188
"UNITED ST5",1993,770049,2126119,67140
"UNITED ST6",1993,685713,4661177,101920
"UNITED ST6",1992,183658,6269940,104499
"UNITED ST9",1992,250295,3286293,74716
"UNITED ST2",1993,576782,1691471,111525
"UNITED ST8",1992,389206,3182281,77711
"UNITED ST7",1992,302056,4773876,63482
"UNITED ST0",1992,296339,667660,80119
"UNITED ST6",1992,239729,1652022,100122
"UNITED ST8",1993,574754,2797956,109723
"UNITED ST9",1992,765783,2928420,110925
"UNITED ST8",1992,214472,6250161,83187
"UNITED ST0",1993,319336,939236,81319
"UNITED ST0",1993,323016,2015660,62340
"UNITED ST4",1993,651786,6787651,104265
"UNITED ST5",1993,332800,5498370,109967
"UNITED ST9",1992,50725,4457415,100543
"UNITED ST5",1992,429155,3226370,65047
"UNITED ST7",1992,677832,4544407,108588
"UNITED ST6",1993,303095,699476,65884
"UNITED ST5",1992,75637,2741471,96757
"UNITED ST4",1992,172737,1791632,108583
"UNITED ST0",1992,338583,5545769,97294
"UNITED ST8",1992,160039,4176314,65941
"UNITED ST8",1993,495175,1969362,70209
"UNITED ST7",1992,139337,3435319,82579
"UNITED ST3",1992,38205,644764,68592
"UNITED ST2",1992,221994,5230625,114958
"UNITED ST8",1992,784284,3215387,82095
"UNITED ST8",1993,751268,5520977,79153
"UNITED ST0",1992,604612,3383489,90994
"UNITED ST7",1992,383509,6812672,95549
"UNITED ST1",1992,743744,7865924,107262
"UNITED ST6",1993,697143,5244506,68406
"UNITED ST1",1993,232525,714179,87450
"UNITED ST5",1992,489950,8293200,116395
"UNITED ST5",1992,436047,2565682,58981
"UNITED ST7",1993,632371,247634,78200
"UNITED ST6",1993,130879,9453856,114592
"UNITED ST0",1993,567776,2035500,110625
"UNITED ST7",1993,203137,1052601,62407
"UNITED ST1",1993,57924,2950850,112915
"UNITED ST8",1992,322477,5555499,89967
"UNITED ST0",1993,496699,7630515,101740
"UNITED ST6",1992,294616,4250373,96636
"UNITED ST8",1992,677765,3476746,104563
"UNITED ST9",1993,183835,1262590,115129
"UNITED ST8",1993,416726,468169,98562
"UNITED ST4",1992,688392,5935548,82821
"UNITED ST8",1992,293601,5486984,95675
"UNITED ST9",1993,560670,1138767,103839
"UNITED ST4",1992,411460,5616046,82286
"UNITED ST6",1992,758878,7385170,116210
"UNITED ST0",1993,419607,5196478,91594
"UNITED ST1",1992,103496,6135913,89969
"UNITED ST2",1992,431536,986166,88050
"UNITED ST8",1992,23437,2584817,81625
"UNITED ST1",1992,543952,6682373,119755
"UNITED ST7",1993,695102,108609,65824
"UNITED ST0",1992,53436,1752071,83365
"UNITED ST6",1993,317282,6239094,77956
"UNITED ST7",1993,770434,2491286,90264
"UNITED ST1",1992,574259,1594543,79993
"UNITED ST7",1992,77219,899549,71772
"UNITED ST7",1992,203294,980572,71836
"UNITED ST0",1992,752449,4235477,90084
"UNITED ST2",1993,439513,4183171,87149
"UNITED ST3",1993,542316,5433160,81497
"UNITED ST2",1993,21798,799702,103187
"UNITED ST6",1992,391619,6693577,102636
"UNITED ST5",1993,268202,1539970,70211
"UNITED ST8",1992,710414,4465431,85462
"UNITED ST5",1992,632035,758128,58020
"UNITED ST3",1992,609213,3849077,67330
"UNITED ST5",1992,626576,3732309,90152
"UNITED ST1",1992,67695,1966962,99761
"UNITED ST3",1992,734296,1694751,79815
"UNITED ST3",1993,466790,6608968,105406
"UNITED ST5",1992,349055,1406546,66242
"UNITED ST6",1992,214516,4345859,85830
"UNITED ST2",1992,129189,5431864,73090
"UNITED ST4",1993,486196,354651,70930
"UNITED ST6",1993,183812,8360522,113748
"UNITED ST8",1993,277392,5020147,82162
"UNITED ST7",1993,776124,720054,72005
"UNITED ST0",1993,152813,2455405,111948
"UNITED ST0",1993,295778,3785203,106425
"UNITED ST2",1993,456789,7468361,104745
"UNITED ST3",1992,160845,181054,114350
"UNITED ST9",1993,631718,7210751,98980
"UNITED ST1",1993,672742,8402079,102882
"UNITED ST0",1992,749930,364301,118794
"UNITED ST2",1993,596705,486453,108100
"UNITED ST2",1993,232792,4311950,103486
"UNITED ST3",1992,601624,1775786,91535
"UNITED ST7",1992,536250,2272768,77173
"UNITED ST7",1992,98404,4998153,84144
"UNITED ST0",1992,120301,3809307,79278
"UNITED ST6",1993,654665,5341539,97177
"UNITED ST3",1992,551242,2211406,77593
"UNITED ST5",1993,575109,3083344,71044
"UNITED ST2",1993,68116,897643,65046
"UNITED ST4",1993,724642,1704942,99996
"UNITED ST2",1993,707885,1483994,113571
"UNITED ST2",1993,160960,6931892,121257
"UNITED ST7",1992,691946,3424286,116274
"UNITED ST7",1993,473565,1023129,92312
"UNITED ST1",1993,365844,4973197,114589
"UNITED ST1",1992,361211,4579920,76332
"UNITED ST4",1993,234084,3191649,61084
"UNITED ST2",1993,572920,378651,119574
"UNITED ST4",1993,638615,5536959,93214
"UNITED ST0",1992,136572,1910981,96514
"UNITED ST3",1993,82447,3473539,85766
"UNITED ST3",1992,204492,1061324,83788
"UNITED ST0",1993,514848,4526652,111769
"UNITED ST0",1993,735585,2754935,97233
"UNITED ST4",1993,434094,4987167,61684
"UNITED ST8",1993,247062,2349068,60543
"UNITED ST8",1992,296745,1489179,104503
"UNITED ST1",1992,87912,3870116,113994
"UNITED ST0",1992,204581,2373940,89134
"UNITED ST5",1992,713681,5314422,101679
"UNITED ST2",1993,761732,5940734,107622
"UNITED ST0",1993,382848,8325738,115849
"UNITED ST9",1993,163913,4780168,118614
"UNITED ST4",1993,296607,3046821,96215
"UNITED ST1",1992,158513,5225270,94290
"UNITED ST1",1992,359363,5820256,85341
"UNITED ST2",1992,669643,2934950,96756
"UNITED ST3",1992,564244,4358989,78493
"UNITED ST6",1992,656014,4059366,58198
"UNITED ST9",1993,166533,1583534,95971
"UNITED ST5",1992,210257,4102848,70034
"UNITED ST5",1992,123814,2701580,110268
"UNITED ST4",1993,307099,1517541,66364
"UNITED ST2",1992,389258,3098652,80834
"UNITED ST3",1993,53137,1844499,65407
"UNITED ST8",1993,544677,654227,103299
"UNITED ST0",1992,138323,1407604,81679
"UNITED ST6",1992,133727,8451456,105643
"UNITED ST4",1992,161100,1901881,69666
"UNITED ST7",1993,737422,2189085,87563
"UNITED ST8",1993,257913,1088863,112254
"UNITED ST7",1993,529368,2924632,83840
"UNITED ST1",1992,103106,306111,66546
"UNITED ST1",1992,172277,3011570,80956
"UNITED ST0",1992,256845,5243325,108109
"UNITED ST5",1993,307168,2185779,70509
"UNITED ST1",1992,266797,846614,105826
"UNITED ST0",1992,368605,2153910,100415
"UNITED ST7",1992,729058,3587166,65221
"UNITED ST1",1992,399760,6399399,111585
"UNITED ST8",1993,373813,7464180,113208
"UNITED ST3",1992,793718,6982214,108700
"UNITED ST6",1993,630418,2946210,80902
"UNITED ST1",1992,724475,6207681,89966
"UNITED ST5",1993,7322,4863189,73759
"UNITED ST8",1993,659577,7068084,92192
"UNITED ST0",1993,491994,4575674,119158
"UNITED ST1",1992,382098,3972149,70804
"UNITED ST0",1992,49501,1392480,87030
"UNITED ST4",1992,762099,2675082,69663
"UNITED ST4",1993,645808,8077864,105226
"UNITED ST8",1993,417122,191194,62346
"UNITED ST8",1992,64055,2152233,61143
"UNITED ST6",1992,723895,2141447,115131
"UNITED ST6",1993,629353,4434262,76939
"UNITED ST2",1993,470088,209495,63483
"UNITED ST3",1992,681790,2142057,106305
"UNITED ST9",1993,489966,4882026,117356
"UNITED ST8",1992,692811,6340286,108226
"UNITED ST8",1993,420970,2223757,113457
"UNITED ST9",1993,243347,3504536,77419
"UNITED ST7",1993,329199,1337488,73690
"UNITED ST4",1992,592259,3769931,81073
"UNITED ST8",1992,335103,4757216,68285
"UNITED ST2",1992,676294,127026,76215
"UNITED ST2",1992,60371,5591754,79882
"UNITED ST8",1992,653961,6411185,114895
"UNITED ST6",1992,157069,3822973,67563
"UNITED ST9",1993,536714,4772380,105041
"UNITED ST4",1992,350363,2798433,84801
"UNITED ST1",1993,66782,4919318,104926
"UNITED ST7",1993,712200,3258312,72730
"UNITED ST0",1992,343767,1738320,108645
"UNITED ST3",1993,42978,3004397,115258
"UNITED ST5",1992,112835,8245017,110869
"UNITED ST6",1992,256843,4938733,107989
"UNITED ST2",1992,271463,688536,86067
"UNITED ST8",1992,608524,5873209,85949
"UNITED ST3",1992,80445,5530707,85526
"UNITED ST1",1992,85317,4770361,78138
"UNITED ST6",1992,595757,3877763,111163
"UNITED ST6",1992,733490,3542044,91407
"UNITED ST9",1992,108459,4827910,88047
"UNITED ST3",1992,694551,3616516,92731
