"s_nation","d_year","lo_partkey","lo_revenue","lo_supplycost"
"BRAZIL",1993,244955,7607359,113996
"UNITED STATES",1993,261344,5756505,78319
"PERU",1993,668808,4397505,106606
"PERU",1993,7786,5701263,101626
"UNITED STATES",1992,141658,4021371,101979
"BRAZIL",1992,166145,3796923,72668
"CANADA",1992,708480,3817874,89307
"PERU",1993,540652,4019996,101557
"UNITED STATES",1993,490182,5233694,70329
"CANADA",1993,189677,4284174,106000
"ARGENTINA",1993,720932,7956114,117174
"UNITED STATES",1992,227235,1163382,69733
"CANADA",1992,407962,5385427,112196
"BRAZIL",1992,693445,6202423,86304
"CANADA",1993,187273,5865484,81616
"BRAZIL",1993,772900,4734888,118372
"PERU",1993,402422,1456840,79464
"PERU",1993,642994,5640427,116217
"PERU",1992,78443,2160588,85286
"CANADA",1992,92640,4545269,97958
"CANADA",1992,307732,4749435,104383
"BRAZIL",1992,319830,8168805,110989
"PERU",1992,178424,4191751,90145
"UNITED STATES",1992,364858,8398965,115370
"ARGENTINA",1992,74571,4641346,92734
"CANADA",1993,170940,4940879,120656
"CANADA",1993,233602,5196436,92135
"BRAZIL",1993,198978,10177153,124618
"ARGENTINA",1993,60210,2001059,70212
"CANADA",1992,739982,4403807,121317
"BRAZIL",1992,541196,2093291,74230
"ARGENTINA",1993,619258,3425710,70633
"BRAZIL",1992,573130,1118892,72186
"BRAZIL",1992,592459,5915602,93085
"CANADA",1992,650534,440896,89070
"UNITED STATES",1993,356938,3128034,119695
"ARGENTINA",1993,307565,4929944,94353
"CANADA",1993,65335,3822970,78019
"CANADA",1993,481651,3755049,97957
"UNITED STATES",1993,561724,3392830,107142
"UNITED STATES",1992,293156,1226132,68948
"ARGENTINA",1992,183513,150071,95790
"PERU",1993,34462,2513628,83787
"UNITED STATES",1992,132837,7236242,112189
"CANADA",1992,215113,3425629,61686
"PERU",1992,151931,6246229,118975
"BRAZIL",1993,423202,3418296,67510
"UNITED STATES",1992,568393,1665961,87682
"BRAZIL",1992,689187,1176150,70569
"CANADA",1992,552196,5616765,74890
"ARGENTINA",1993,723939,7066440,117774
"PERU",1993,217290,2332464,72436
"ARGENTINA",1992,106207,798285,72792
"BRAZIL",1992,249708,2133447,99461
"CANADA",1992,450626,4572140,94596
"UNITED STATES",1992,270505,4576969,88529
"CANADA",1993,444889,7163057,110031
"BRAZIL",1993,447443,2157931,83425
"ARGENTINA",1992,438271,440167,72555
"ARGENTINA",1992,457189,1981710,68769
"BRAZIL",1992,761910,7228912,118312
"ARGENTINA",1993,585760,3580735,110744
"ARGENTINA",1993,593974,6658799,124077
"BRAZIL",1993,16051,765903,58023
"CANADA",1992,695433,519937,85704
"UNITED STATES",1992,371062,3022977,67983
"UNITED STATES",1992,168809,6256829,112668
"UNITED STATES",1992,767518,6340334,95128
"BRAZIL",1993,432710,3886604,98561
"ARGENTINA",1993,694907,2213776,114112
"ARGENTINA",1992,476316,2672455,77537
"PERU",1992,625128,1421671,63185
"PERU",1993,85121,4818258,66367
"CANADA",1992,262274,3004111,74175
"ARGENTINA",1992,242207,5228814,68951
"UNITED STATES",1992,455557,6540179,90751
"BRAZIL",1992,120790,8148555,108647
"BRAZIL",1992,172477,436950,92968
"CANADA",1992,668917,7541634,113152
"ARGENTINA",1993,733614,3036489,98854
"UNITED STATES",1992,252963,5640556,114957
"PERU",1992,49604,152252,93216
"UNITED STATES",1992,581512,1864383,95609
"CANADA",1993,339997,4544502,122218
"UNITED STATES",1993,434600,3853330,92074
"CANADA",1993,397117,1153395,72846
"ARGENTINA",1993,163653,686660,102999
"UNITED STATES",1992,525603,2996587,97714
"CANADA",1992,204042,4171992,56761
"BRAZIL",1993,229817,3615876,104808
"BRAZIL",1993,95972,8954263,118078
"BRAZIL",1992,668837,7394751,108348
"PERU",1992,224990,4272320,114898
"CANADA",1992,116847,1988717,111830
"PERU",1992,791508,6333901,95968
"CANADA",1992,335288,1720251,79396
"PERU",1992,782322,4222700,84257
"CANADA",1992,472023,2068605,59700
"PERU",1992,522675,5841613,101859
"UNITED STATES",1993,423445,2490524,82105
"ARGENTINA",1993,447440,6056088,83245
"BRAZIL",1993,686065,4447958,63061
"CANADA",1993,380841,5421482,115309
"ARGENTINA",1993,787446,1062653,92004
"BRAZIL",1993,559964,3173537,121436
"BRAZIL",1992,314803,1366978,109067
"CANADA",1993,324300,1108430,79457
"UNITED STATES",1993,183632,2470507,102937
"BRAZIL",1992,607931,1397564,110334
"CANADA",1992,685797,4278624,106965
"CANADA",1993,65540,1523606,90332
"PERU",1992,601714,4653158,96940
"ARGENTINA",1993,781592,6359528,100413
"PERU",1993,222719,6501132,98502
"BRAZIL",1992,520919,564507,116393
"BRAZIL",1992,750968,4197355,121135
"PERU",1992,408569,4583329,88652
"ARGENTINA",1993,199073,319975,70324
"PERU",1993,580755,2839874,110143
"UNITED STATES",1992,287748,1957903,104143
"ARGENTINA",1992,167422,2546908,89365
"UNITED STATES",1992,37302,3098250,74358
"ARGENTINA",1992,524699,7508306,103420
"ARGENTINA",1992,278515,4537253,89610
"UNITED STATES",1992,189374,1843846,87802
"UNITED STATES",1993,421574,3990127,89733
"ARGENTINA",1993,592492,2595361,95068
"CANADA",1992,220118,4008104,62286
"ARGENTINA",1992,621816,4865784,104266
"UNITED STATES",1993,152789,1624449,110506
"BRAZIL",1992,371743,3923446,108883
"UNITED STATES",1992,475226,4290686,72072
"CANADA",1992,47089,3468795,62164
"UNITED STATES",1992,533171,433494,72249
"UNITED STATES",1993,510464,4747696,88466
"BRAZIL",1992,639256,2952193,71713
"PERU",1993,88050,1084762,62283
"ARGENTINA",1992,101515,6756052,90990
"CANADA",1992,206826,2710114,103968
"PERU",1992,529979,554470,120537
"PERU",1992,154244,1233328,77894
"ARGENTINA",1993,705090,4284969,65703
"UNITED STATES",1993,300951,3086017,117116
"ARGENTINA",1992,655764,3439460,103183
"CANADA",1993,129327,3865512,81379
"PERU",1993,186859,8145328,116751
"CANADA",1993,517029,769856,62760
"CANADA",1993,736041,2646213,64620
"ARGENTINA",1993,781836,1898622,115068
"BRAZIL",1993,619922,2250789,110513
"UNITED STATES",1993,465348,4990616,78799
"UNITED STATES",1992,258395,270676,81202
"ARGENTINA",1992,485833,7486221,109128
"UNITED STATES",1993,433525,866349,87510
"BRAZIL",1993,567164,2404416,73868
"CANADA",1993,416010,4134545,55559
"CANADA",1992,356582,6744354,98314
"UNITED STATES",1992,120031,4691797,63061
"PERU",1992,658368,4788051,79579
"BRAZIL",1992,386612,6454680,101916
"CANADA",1992,253659,606352,96758
"PERU",1993,285423,4867464,84504
"BRAZIL",1993,244998,8043937,116578
"ARGENTINA",1992,531884,3348923,114951
"CANADA",1992,63050,2423215,60783
"CANADA",1993,35490,2143936,85529
"ARGENTINA",1993,431759,3773709,101443
"PERU",1992,757975,8001651,121976
"CANADA",1993,371584,1711859,99334
"CANADA",1992,324924,877009,116934
"CANADA",1992,696483,3334680,88767
"UNITED STATES",1993,690792,8735524,106965
"CANADA",1992,195455,4361415,93027
"UNITED STATES",1993,400982,2101383,112977
"CANADA",1993,260921,2122794,112914
"BRAZIL",1992,574713,8150078,107261
"ARGENTINA",1993,522361,6303880,83000
"PERU",1993,117009,1128600,61560
"PERU",1993,285241,4281995,73573
"UNITED STATES",1992,319610,1290643,97776
"UNITED STATES",1992,734532,3101670,93990
"ARGENTINA",1992,35022,3328515,57421
"ARGENTINA",1993,111723,3788628,104083
"UNITED STATES",1993,676383,2751324,81561
"BRAZIL",1992,394107,446805,72065
"UNITED STATES",1993,171949,9296324,121256
"CANADA",1993,8605,5146240,90816
"BRAZIL",1993,621343,1801641,75858
"CANADA",1993,503589,4887566,95553
"ARGENTINA",1993,619711,2641701,97840
"CANADA",1992,65506,5591700,88290
"CANADA",1992,460890,4475403,111052
"CANADA",1993,558011,4769833,64139
"UNITED STATES",1993,334635,6411340,100177
"CANADA",1993,258261,5501256,73155
"PERU",1993,450753,2555595,102223
"BRAZIL",1993,16244,1055818,69614
"ARGENTINA",1993,87871,7212415,111532
"ARGENTINA",1992,86350,3934214,80181
"ARGENTINA",1992,321706,507940,103661
"BRAZIL",1993,6705,644680,96702
"ARGENTINA",1993,679620,3493504,95975
"UNITED STATES",1993,161904,5587087,117954
"BRAZIL",1993,408245,5247151,69193
"UNITED STATES",1993,474245,2467701,73153
"ARGENTINA",1993,460742,2749892,102163
"BRAZIL",1992,436921,3353509,111474
"ARGENTINA",1992,546080,557399,67563
"UNITED STATES",1993,540302,5617441,80536
"ARGENTINA",1993,311869,846382,112851
"CANADA",1993,767546,2034636,96810
"UNITED STATES",1992,258641,1881164,95977
"BRAZIL",1993,286409,3722900,83723
"BRAZIL",1992,146150,3977198,71769
"ARGENTINA",1992,545904,6434604,116992
"UNITED STATES",1992,592556,783051,98911
"CANADA",1992,187556,162711,98613
"PERU",1992,554989,9510545,122637
"UNITED STATES",1993,624977,737952,114116
"UNITED STATES",1993,773776,8429265,110984
"PERU",1992,464469,4085304,86006
"ARGENTINA",1992,161144,4767533,72308
"ARGENTINA",1992,143542,2197558,95132
"ARGENTINA",1993,631797,7718913,103725
"CANADA",1992,769740,510338,108582
"CANADA",1992,653879,4602261,109970
"ARGENTINA",1992,486425,1592059,84684
"PERU",1993,45059,1847452,60243
"UNITED STATES",1993,158942,6146887,120056
"CANADA",1992,239810,4287010,104988
"PERU",1992,425401,5121153,79582
"BRAZIL",1993,297197,2751390,71650
"PERU",1993,375863,1841907,116331
"ARGENTINA",1993,597501,3676504,95908
"UNITED STATES",1992,227265,4757077,71535
"ARGENTINA",1993,376654,5039623,103838
"CANADA",1992,65589,2829335,93274
"UNITED STATES",1992,743309,1311701,81136
"ARGENTINA",1992,115645,6835194,99638
"ARGENTINA",1992,434139,2266408,64386
"UNITED STATES",1992,586081,1773931,70023
"PERU",1992,176965,2940422,122517
"ARGENTINA",1992,251320,4347880,76278
"PERU",1992,91950,1304990,116517
"UNITED STATES",1992,291513,3833466,90270
"UNITED STATES",1992,250248,4744990,71893
"ARGENTINA",1992,479003,3835613,58918
"PERU",1993,82748,3779936,103844
"UNITED STATES",1992,434286,5491170,73215
"PERU",1992,642981,2170215,115437
"UNITED STATES",1992,725186,3204702,72669
"BRAZIL",1992,399995,8710926,125698
"PERU",1992,315235,3000528,75013
"CANADA",1993,651972,9427306,115436
"UNITED STATES",1993,93108,2898095,66066
"UNITED STATES",1992,422207,1422766,67750
"UNITED STATES",1993,485009,4578271,59638
"UNITED STATES",1993,581298,1179275,82756
"CANADA",1993,115436,4499433,87085
"BRAZIL",1993,121865,7170068,113211
"ARGENTINA",1993,429384,4349848,78801
"PERU",1993,609550,1838995,87571
"CANADA",1992,155418,3287177,88404
"BRAZIL",1993,331091,722619,67324
"CANADA",1992,99996,598797,119759
"PERU",1993,619610,3940198,91774
"BRAZIL",1993,73268,2234268,74475
"BRAZIL",1993,292609,2668248,96095
"CANADA",1993,75485,6309273,87628
"PERU",1993,437104,3256498,62464
"BRAZIL",1992,160013,2694328,64380
"PERU",1992,243714,4933315,99462
"CANADA",1992,718504,6166003,91348
"PERU",1992,224542,681936,87991
"ARGENTINA",1992,510278,382610,77295
"BRAZIL",1992,250701,1063688,99101
"BRAZIL",1993,244829,6364430,106428
"ARGENTINA",1993,456076,396307,61923
"PERU",1992,370588,7463565,99514
"CANADA",1992,184648,6254830,103958
"CANADA",1992,601655,7017242,93397
"CANADA",1993,85137,4748854,67327
"CANADA",1992,344700,3314911,104681
"PERU",1992,172072,2915090,68644
"BRAZIL",1992,97557,2829281,93273
"ARGENTINA",1993,519820,3747672,110388
"PERU",1993,329620,3642338,98976
"UNITED STATES",1993,260290,5291184,75016
"BRAZIL",1993,282416,2441606,83904
"UNITED STATES",1992,147359,270019,84381
"PERU",1992,534492,6388276,91588
"UNITED STATES",1992,329364,4681656,83601
"BRAZIL",1992,788673,5989576,105698
"UNITED STATES",1993,653720,3464538,100421
"UNITED STATES",1993,241989,5926146,115858
"CANADA",1993,704106,4995315,66604
"CANADA",1993,564753,1323307,109063
"CANADA",1993,466630,5157050,95796
"ARGENTINA",1993,250299,1918894,74956
"ARGENTINA",1992,653845,3588625,107928
"PERU",1992,370039,1663530,66541
"ARGENTINA",1992,677736,3547359,102822
"UNITED STATES",1992,296790,7704595,107206
"ARGENTINA",1993,493236,1352131,73752
"UNITED STATES",1993,261488,2226385,86968
"BRAZIL",1993,421492,6106190,84808
"ARGENTINA",1993,6041,809719,56822
"ARGENTINA",1993,80710,2366994,101442
"BRAZIL",1993,589193,1119334,76930
"UNITED STATES",1993,152842,852678,113690
"UNITED STATES",1993,11566,2151327,88653
"ARGENTINA",1992,265667,1175508,97959
"BRAZIL",1992,420450,3220510,82225
"UNITED STATES",1993,262669,2945128,97899
"PERU",1993,172640,171264,102758
"PERU",1992,396918,386860,120894
"UNITED STATES",1993,481045,3786013,61561
"PERU",1993,562940,3370914,120175
"ARGENTINA",1992,443031,1336341,58440
"ARGENTINA",1992,405074,3780112,58743
"CANADA",1992,313867,1749190,112851
"UNITED STATES",1992,747866,6189326,114829
"BRAZIL",1992,714625,5918919,98375
"CANADA",1992,539330,1287151,82158
"ARGENTINA",1993,654865,7277500,109189
"BRAZIL",1993,90292,3696842,76937
"BRAZIL",1992,27611,5538996,92316
"CANADA",1992,378514,780325,95550
"BRAZIL",1993,709841,6785069,111048
"BRAZIL",1992,369364,272336,86001
"PERU",1992,312810,4597101,109368
"PERU",1992,40287,1354917,73636
"PERU",1992,569985,5086026,123297
"PERU",1992,405912,1521573,109073
"PERU",1992,553489,2105457,92547
"CANADA",1993,577398,3036311,88522
"UNITED STATES",1993,682519,7135032,90088
"ARGENTINA",1992,411790,1347801,102106
"ARGENTINA",1992,103530,3350763,92011
"PERU",1992,10057,2320920,58023
"UNITED STATES",1993,458590,4791275,92914
"CANADA",1992,245661,7324717,96399
"ARGENTINA",1992,326578,5968963,96273
"PERU",1992,676787,7950985,105825
"PERU",1993,598752,2813109,111043
"ARGENTINA",1992,279079,933208,63483
"BRAZIL",1992,68964,7499884,115977
"CANADA",1992,358339,2920398,83839
"ARGENTINA",1992,232657,7399774,95378
"CANADA",1992,142038,2540230,64801
"ARGENTINA",1993,697606,622185,96214
"CANADA",1993,432688,5788997,97239
"PERU",1993,761412,2357408,88402
"PERU",1993,32588,3322467,91234
"CANADA",1993,497573,6596310,94233
"UNITED STATES",1992,189186,2869155,76510
"BRAZIL",1992,137260,3523358,77835
"UNITED STATES",1993,478463,663062,86486
"CANADA",1993,524383,3743577,84441
"UNITED STATES",1992,89501,4382070,89430
"UNITED STATES",1992,756493,4183542,92967
"ARGENTINA",1992,526476,2826108,90147
"ARGENTINA",1993,425813,5918841,104327
"PERU",1993,644284,5834187,73695
"ARGENTINA",1993,471762,5894716,104024
"UNITED STATES",1992,338204,4844541,74531
"CANADA",1993,601280,3061800,70875
"ARGENTINA",1993,109579,876890,95314
"ARGENTINA",1993,294691,1705908,101140
"CANADA",1992,50762,4569643,102765
"UNITED STATES",1993,426299,5763670,73516
"BRAZIL",1993,596982,8981107,124737
"ARGENTINA",1992,148396,6584974,86663
"ARGENTINA",1993,631393,3133435,79461
"UNITED STATES",1993,518514,1728648,91949
"CANADA",1993,372069,3569204,68463
"ARGENTINA",1992,605689,4401234,95679
"PERU",1993,194546,1919431,98432
"BRAZIL",1992,160790,3808925,111047
"UNITED STATES",1992,410566,5872199,88592
"BRAZIL",1992,489851,4373812,110449
"BRAZIL",1992,115972,5510652,119278
"ARGENTINA",1992,309208,4278422,73031
"ARGENTINA",1992,707475,6066144,88946
"PERU",1992,22395,2711188,79043
"BRAZIL",1992,382764,5881898,110805
"PERU",1992,723573,4491067,95792
"CANADA",1993,529759,2522109,107323
"CANADA",1992,344875,8447384,115191
"PERU",1992,113048,5147105,63662
"UNITED STATES",1993,47841,3541903,107330
"UNITED STATES",1992,483629,6226248,96756
"UNITED STATES",1993,57848,2687089,108350
"ARGENTINA",1992,194966,4876231,123657
"UNITED STATES",1992,392896,914884,119332
"UNITED STATES",1992,222219,2729750,68472
"CANADA",1992,603141,601407,62646
"PERU",1992,317873,7487805,113451
"CANADA",1993,2901,4646846,108234
"UNITED STATES",1993,763350,5346589,84799
"UNITED STATES",1993,21889,2086133,108652
"BRAZIL",1992,280318,1133415,77898
"PERU",1992,441910,6233461,111113
"BRAZIL",1992,728222,1725262,75011
"BRAZIL",1992,453532,6617947,89130
"PERU",1992,798725,6255256,109421
"ARGENTINA",1993,470150,4816559,67207
"ARGENTINA",1993,283215,4416565,71892
"UNITED STATES",1993,779758,5276094,110263
"CANADA",1993,590841,7524438,115909
"CANADA",1993,648842,2686215,107448
"BRAZIL",1992,534174,4336050,72489
"PERU",1992,316342,3689224,81499
"PERU",1992,768344,838912,84738
"PERU",1992,158907,1096972,117954
"UNITED STATES",1992,68351,2481697,79161
"ARGENTINA",1992,82269,1486496,75075
"BRAZIL",1992,285810,1916118,107748
"BRAZIL",1993,191727,8555258,109123
"UNITED STATES",1993,301640,5770329,98497
"CANADA",1993,62046,3911195,60482
"CANADA",1992,320897,9589400,115072
"ARGENTINA",1992,507297,5008396,78256
"BRAZIL",1993,350646,6484519,101797
"CANADA",1992,643929,2180043,112373
"ARGENTINA",1992,376559,3423185,98132
"BRAZIL",1993,304294,1830574,77896
"BRAZIL",1993,659265,2326037,73453
"CANADA",1992,588714,5537863,108161
"PERU",1992,704792,4578144,107805
"BRAZIL",1992,715203,2689719,73090
"CANADA",1992,783527,5899224,96629
"ARGENTINA",1993,62621,4845877,95017
"ARGENTINA",1993,309970,6462589,118797
"ARGENTINA",1992,37204,1246190,68472
"UNITED STATES",1992,196864,9804300,117651
"UNITED STATES",1992,441567,5491085,90512
"PERU",1993,194947,2574886,122516
"ARGENTINA",1993,348907,2466377,117353
"PERU",1993,787365,5071536,87139
"UNITED STATES",1992,135386,6538348,85282
"ARGENTINA",1993,637593,2892758,91833
"PERU",1992,680048,555125,61680
"BRAZIL",1992,647669,4219404,96997
"CANADA",1992,659038,3454605,59820
"CANADA",1992,670125,823507,65705
"CANADA",1993,525950,7706127,118555
"CANADA",1993,427862,3645904,107390
"UNITED STATES",1993,336334,6577536,82219
"CANADA",1992,15646,4453797,93698
"BRAZIL",1992,562163,3969453,73508
"UNITED STATES",1992,410674,153711,95079
"ARGENTINA",1992,475468,1273114,86606
"PERU",1992,385029,1782416,66840
"PERU",1993,404997,353766,114118
"ARGENTINA",1992,685998,3690165,119037
"BRAZIL",1992,752849,5074029,114108
"PERU",1992,693721,4674244,102881
"CANADA",1993,731433,834708,87864
"PERU",1993,596095,216774,71464
"UNITED STATES",1993,637980,368246,115077
"CANADA",1993,727659,4371719,101197
"BRAZIL",1993,148085,309330,67984
"UNITED STATES",1993,523205,2100187,73690
"UNITED STATES",1993,257219,3016953,70572
"ARGENTINA",1992,208268,2568930,70575
"BRAZIL",1992,344747,2666094,107503
"CANADA",1993,142999,3193672,122519
"ARGENTINA",1992,168082,3459440,69004
"PERU",1992,140751,8084376,107505
"PERU",1992,193841,773936,116090
"CANADA",1993,735025,985790,63599
"BRAZIL",1993,704818,3067738,109366
"PERU",1992,263357,2307954,79220
"CANADA",1992,786148,5336291,74046
"UNITED STATES",1993,158120,3286954,70687
"PERU",1993,143177,5798247,73210
"PERU",1993,598345,3565000,86599
"ARGENTINA",1993,376649,7440916,103537
"ARGENTINA",1992,186314,5214754,84018
"ARGENTINA",1992,741478,5570267,91166
"BRAZIL",1992,327786,500600,108826
"PERU",1993,706982,7955800,119337
"BRAZIL",1993,218120,203469,62286
"PERU",1992,544100,4347504,68644
"CANADA",1992,586912,5145142,119933
"BRAZIL",1992,222272,2472118,71655
"CANADA",1993,736203,5179730,74350
"UNITED STATES",1993,558348,5765912,84379
"CANADA",1992,460000,267834,57598
"PERU",1993,29669,575517,95919
"BRAZIL",1992,72080,489217,63124
"UNITED STATES",1993,738535,6507996,94410
"CANADA",1993,98404,3828552,84144
"CANADA",1992,233737,2755017,100243
"CANADA",1992,515644,4729917,99577
"CANADA",1992,27086,393075,60784
"UNITED STATES",1992,356572,1465704,97713
"CANADA",1993,637299,494504,74175
"ARGENTINA",1992,314610,6433416,97476
"ARGENTINA",1992,71933,4457536,114295
"CANADA",1993,211087,826401,59884
"PERU",1993,220882,4478329,108172
"PERU",1992,294441,3954609,86125
"BRAZIL",1993,505263,2610037,76094
"UNITED STATES",1993,743186,3982446,73749
"CANADA",1992,281098,4715579,64744
"BRAZIL",1993,608768,5365536,100603
"BRAZIL",1993,271329,2444582,78018
"PERU",1993,69335,3795600,78259
"CANADA",1993,503125,4532705,67686
"CANADA",1993,603745,1971857,98922
"BRAZIL",1992,338529,4363947,94050
"PERU",1993,615894,4169917,108591
"PERU",1993,382036,2012436,67081
"BRAZIL",1993,471076,1690985,62823
"PERU",1993,561409,4422903,88222
"ARGENTINA",1993,390342,6875184,85939
"ARGENTINA",1993,469719,3968421,101321
"UNITED STATES",1992,472169,1255254,68468
"ARGENTINA",1993,482371,2365655,81201
"UNITED STATES",1993,763486,4121537,92967
"CANADA",1993,694372,4782190,81980
"BRAZIL",1993,684272,2514992,75374
"ARGENTINA",1993,169238,6211956,78433
"CANADA",1992,72954,9253213,115617
"ARGENTINA",1993,221782,5545771,102226
"CANADA",1993,732796,7234574,109725
"UNITED STATES",1993,359172,2152067,73869
"BRAZIL",1993,317577,1701395,95673
"ARGENTINA",1993,603517,6475968,85228
"PERU",1993,541026,533500,64020
"UNITED STATES",1993,318100,2230589,67085
"PERU",1992,342854,8365064,113810
"PERU",1993,351589,6109482,98434
"ARGENTINA",1993,401553,6254479,87271
"PERU",1993,461809,4809438,106246
"BRAZIL",1992,199276,2197681,82516
"CANADA",1993,476041,3404982,61021
"BRAZIL",1992,134078,3238347,66724
"BRAZIL",1992,260712,4924428,100362
"ARGENTINA",1992,173782,1800106,111346
"CANADA",1992,325031,709645,63361
"CANADA",1993,608822,7809324,103847
"ARGENTINA",1993,96016,2447040,60720
"CANADA",1992,657622,1336333,94775
"CANADA",1992,645237,4889579,70932
"PERU",1992,423754,328835,100663
"PERU",1992,530578,2268055,96513
"BRAZIL",1992,557431,2357641,89304
"ARGENTINA",1992,158753,2771977,108705
"CANADA",1993,113075,1601639,65284
"UNITED STATES",1993,126399,4241960,85523
"ARGENTINA",1992,159153,227884,72729
"UNITED STATES",1993,424690,7285391,96880
"CANADA",1993,431191,2132123,67330
"BRAZIL",1993,262376,722714,80301
"UNITED STATES",1993,515994,4622931,120598
"UNITED STATES",1992,271533,830495,90271
"CANADA",1993,573230,612508,78192
"CANADA",1992,926,7305853,109615
"PERU",1992,586320,3531219,84378
"BRAZIL",1993,504742,8209584,104803
"ARGENTINA",1993,587156,2243849,74587
"ARGENTINA",1993,323922,7024735,116754
"PERU",1993,149301,3759235,81018
"BRAZIL",1993,543424,5793295,88044
"ARGENTINA",1992,118598,2720720,96995
"BRAZIL",1992,159949,6227714,120536
"CANADA",1993,701216,5903323,73030
"ARGENTINA",1993,109994,8617157,120239
"UNITED STATES",1993,183412,2812866,89724
"ARGENTINA",1993,507918,3154607,115553
"BRAZIL",1993,796582,2840106,100713
"CANADA",1992,393868,8210342,117711
"PERU",1992,461327,624825,77298
"BRAZIL",1993,166330,1797076,83779
"PERU",1993,182947,566353,121796
"PERU",1993,250649,1052556,95977
"CANADA",1993,365297,2975219,81736
"ARGENTINA",1993,359890,4492523,116992
"BRAZIL",1992,379593,4636391,100354
"CANADA",1992,618869,4392698,107269
"CANADA",1993,324096,403228,67204
"PERU",1993,628636,3219946,93876
"BRAZIL",1993,671807,4731528,106726
"UNITED STATES",1992,20147,1374476,64028
"ARGENTINA",1993,59540,1851931,89972
"ARGENTINA",1992,97639,2085066,98197
"UNITED STATES",1992,508760,7471157,106124
"BRAZIL",1992,247379,630021,79581
"CANADA",1992,693852,5371336,110749
"BRAZIL",1992,756250,2089952,78373
"BRAZIL",1992,450092,1187959,62524
"ARGENTINA",1993,392257,944468,80954
"UNITED STATES",1993,764149,5884796,72786
"CANADA",1992,657784,7449464,104505
"BRAZIL",1993,243437,3826524,82825
"CANADA",1992,245243,4541415,71293
"BRAZIL",1992,354873,2280658,115671
"PERU",1993,740578,3534891,97112
"UNITED STATES",1993,244638,156679,94957
"BRAZIL",1992,507121,4072441,67686
"PERU",1992,573856,4261064,115789
"UNITED STATES",1992,286102,2506959,65285
"CANADA",1992,507480,5793656,89247
"UNITED STATES",1992,159496,1385941,93329
"ARGENTINA",1992,643940,4069245,113034
"CANADA",1993,15366,1324926,76881
"UNITED STATES",1993,44313,5016666,75438
"ARGENTINA",1993,103548,570966,93092
"ARGENTINA",1992,446428,549760,82464
"PERU",1992,155256,4956525,78675
"BRAZIL",1993,531271,5487681,78135
"ARGENTINA",1993,271204,5247223,70511
"ARGENTINA",1993,764772,5877568,110204
"BRAZIL",1992,148898,3843160,116813
"ARGENTINA",1992,324582,3399502,96394
"BRAZIL",1992,68784,4192649,105166
"UNITED STATES",1992,107007,3915054,60840
"CANADA",1993,357418,6344220,88524
"UNITED STATES",1992,641419,1616131,81622
"BRAZIL",1992,372519,5920380,95490
"CANADA",1992,612529,1060936,86489
"CANADA",1992,330676,7536610,102399
"UNITED STATES",1992,113293,6204877,78377
"CANADA",1993,2271,1707107,70396
"BRAZIL",1993,567081,112509,68883
"PERU",1993,313577,2005696,95433
"PERU",1993,134615,5272153,98976
"BRAZIL",1993,656980,8162307,116217
"CANADA",1992,299631,4896751,97837
"UNITED STATES",1992,433182,5464284,66909
"PERU",1992,745632,1342080,100656
"ARGENTINA",1992,623887,1872418,108651
"CANADA",1993,679184,1514421,69789
"PERU",1993,716219,5625009,74110
