"s_nation","d_year","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
"UNITED STATES",1992,149374,607328,611468,74117
"PERU",1992,822889,775423,2957821,89903
"BRAZIL",1992,885568,681602,4316811,95014
"PERU",1993,559631,758094,1241920,69123
"BRAZIL",1993,559631,483734,1360426,103062
"PERU",1993,559631,510645,7047974,99337
"PERU",1992,506846,195903,5564937,119934
"UNITED STATES",1993,341983,326151,791038,70628
"UNITED STATES",1992,65230,68476,4290075,86668
"ARGENTINA",1993,52729,364465,7269475,91767
"CANADA",1992,649109,543447,4814056,89425
"BRAZIL",1992,649109,381484,1239852,93928
"CANADA",1992,314791,86704,2066035,101442
"CANADA",1992,314791,424232,4347349,69372
"UNITED STATES",1992,314791,455885,7952515,110451
"ARGENTINA",1993,722389,101035,1243236,62161
"CANADA",1992,77792,130782,6003927,108766
"UNITED STATES",1992,701069,46312,236562,75498
"UNITED STATES",1992,690046,305983,8381519,119338
"UNITED STATES",1992,428596,305430,2669881,86125
"PERU",1992,239713,107846,6859208,111230
"BRAZIL",1992,239713,485588,2690787,94413
"BRAZIL",1992,760468,16972,170007,113338
"CANADA",1993,359281,178960,8477995,122337
"UNITED STATES",1993,359281,655746,4043262,102102
"ARGENTINA",1993,359281,314342,2563463,81379
"CANADA",1993,359281,730926,2493077,117413
"UNITED STATES",1992,119266,544423,5229813,88044
"CANADA",1992,119266,371669,4177560,104439
"PERU",1992,167680,284525,724564,90570
"CANADA",1992,654808,212087,3416819,59944
"CANADA",1992,654808,541725,7141001,106002
"PERU",1993,767833,216285,475702,72076
"CANADA",1992,313646,289126,3233819,66906
"PERU",1993,143789,576442,5261325,91105
"ARGENTINA",1992,154990,544274,2879058,79095
"UNITED STATES",1992,154990,460594,738420,93274
"CANADA",1992,648712,278394,4817053,82342
"BRAZIL",1993,836161,164688,3330092,105160
"UNITED STATES",1993,836161,694853,6426717,110869
"UNITED STATES",1993,836161,159445,7298038,90266
"PERU",1992,778156,499424,2912276,85404
"PERU",1993,549194,425329,1354644,75258
"BRAZIL",1993,549194,502762,7306023,105884
"UNITED STATES",1993,267250,93342,4086140,80120
"PERU",1993,664873,391238,5068315,79753
"BRAZIL",1993,102382,778728,4113833,108401
"ARGENTINA",1992,716791,462897,3682542,111592
"ARGENTINA",1992,716791,701726,4571467,103661
"BRAZIL",1993,593446,426458,5921207,83065
"PERU",1993,593446,70987,1959937,117478
"UNITED STATES",1993,593446,271171,1395719,68529
"UNITED STATES",1993,519421,605553,3938004,87511
"UNITED STATES",1992,693919,182664,7454744,104799
"PERU",1992,280288,416909,5543371,109552
"PERU",1993,136222,563669,2945488,103958
"CANADA",1993,233108,416621,5996640,92256
"PERU",1993,233108,536346,3486211,82939
"PERU",1993,233108,757692,2545755,104979
"CANADA",1993,133673,226402,4447449,79703
"UNITED STATES",1993,133673,335235,5144391,76213
"BRAZIL",1992,489086,475028,2306900,60180
"CANADA",1993,542084,207331,1126871,74299
"CANADA",1993,542084,488859,7561320,110869
"BRAZIL",1993,104473,64501,2453247,87930
"UNITED STATES",1993,104473,699870,5048568,112190
"ARGENTINA",1992,879055,709132,1807502,68466
"PERU",1992,879055,775633,7786090,102516
"CANADA",1992,810209,350355,2203573,84320
"UNITED STATES",1993,517598,652101,1259471,63184
"BRAZIL",1992,645730,396172,4385297,76089
"BRAZIL",1992,645730,57769,486946,103605
"PERU",1993,89684,535319,5146302,81257
"BRAZIL",1993,852877,77290,1049316,76037
"PERU",1992,874738,38504,999652,86550
"PERU",1992,874738,726636,7169131,99756
"ARGENTINA",1992,874738,24416,1273389,80424
"CANADA",1992,874738,13879,1032693,107572
"UNITED STATES",1992,216503,183760,6974944,110625
"ARGENTINA",1992,216503,566266,4006045,79934
"BRAZIL",1992,881959,417830,7235933,104868
"PERU",1993,149273,186351,1552338,86241
"UNITED STATES",1992,525658,268947,6504582,114955
"ARGENTINA",1992,269534,21012,4388879,55980
"ARGENTINA",1993,727384,221516,1719250,86250
"ARGENTINA",1993,453677,135380,2292915,84922
"BRAZIL",1993,453677,130745,8012138,106544
"UNITED STATES",1992,545410,206887,717548,107632
"CANADA",1992,545410,346481,6392461,91648
"UNITED STATES",1992,787441,470472,1050103,86547
"CANADA",1993,87661,353154,3063721,72428
"PERU",1993,87661,534402,4492996,86182
"BRAZIL",1992,899626,254703,152507,99461
"UNITED STATES",1992,803552,367667,2142292,104079
"BRAZIL",1992,803552,169311,5714483,82818
"UNITED STATES",1992,7121,640124,791682,63845
"UNITED STATES",1992,7121,287623,7569867,96636
"CANADA",1993,871378,71073,2649849,62644
"PERU",1992,438496,254782,3438804,104206
"PERU",1992,592346,634776,821155,102644
"PERU",1992,646274,719889,2267713,114531
"UNITED STATES",1993,719374,576360,775623,86180
"UNITED STATES",1993,818048,316119,1879725,68106
"CANADA",1992,520684,435190,3037959,67510
"ARGENTINA",1992,520684,44243,1823600,71234
"PERU",1992,404575,33022,4445618,57301
"ARGENTINA",1993,528436,601035,2935296,56160
"ARGENTINA",1992,288547,485042,2456631,61621
"UNITED STATES",1993,693527,387670,5821369,105459
"BRAZIL",1993,193144,135709,1880786,104682
"CANADA",1993,838228,771873,6036783,116690
"UNITED STATES",1993,838228,68721,4224300,101383
"CANADA",1993,838228,578059,2276334,68221
"PERU",1993,520606,135101,3936586,68166
"ARGENTINA",1993,520606,449731,1406754,100842
"PERU",1992,165794,557491,5442872,92908
"BRAZIL",1993,335062,132748,6935982,106844
"UNITED STATES",1993,598154,73336,365303,78559
"BRAZIL",1993,598154,549563,1741543,96752
"PERU",1993,498526,790070,1962787,69602
"CANADA",1992,615194,197611,7688745,102516
"BRAZIL",1992,153106,375714,8161032,107382
"BRAZIL",1993,671354,451078,4062689,61743
"BRAZIL",1993,671354,610522,283633,85949
"CANADA",1993,489796,733644,5801175,100656
"PERU",1992,69556,71703,3737930,100482
"UNITED STATES",1993,680149,51533,1028779,89071
"UNITED STATES",1992,103378,347452,539798,89966
"ARGENTINA",1993,799054,746962,5369869,120535
"BRAZIL",1993,799054,497861,6992956,111530
"ARGENTINA",1993,420923,446583,3524106,91773
"CANADA",1993,420923,214242,3739247,69373
"ARGENTINA",1993,845893,370178,2181783,74889
"PERU",1993,564107,684147,4405673,67866
"ARGENTINA",1992,169981,110073,1949526,64984
"UNITED STATES",1992,194110,361598,3823672,99574
"ARGENTINA",1992,887024,430102,2373784,61924
"PERU",1992,808828,584775,6133455,111585
"UNITED STATES",1992,814345,684928,3024279,114773
"UNITED STATES",1992,340516,214536,2863326,87031
"BRAZIL",1993,842657,374328,3096300,84138
"BRAZIL",1993,44498,595169,2070661,75848
"PERU",1992,334327,339100,1165289,68345
"PERU",1992,334327,674406,376841,82822
"ARGENTINA",1992,224798,276020,2440224,59760
"BRAZIL",1992,738001,559204,2137300,75790
"BRAZIL",1993,291059,187152,2428734,74349
"CANADA",1993,291059,417153,410929,64207
"BRAZIL",1993,152830,440337,120067,76638
"UNITED STATES",1993,899557,283943,3884690,115615
"UNITED STATES",1993,899557,737719,7729392,105400
"UNITED STATES",1993,899557,768044,1227659,66720
"UNITED STATES",1992,618227,57026,2504734,58981
"CANADA",1992,35366,614642,7169745,93396
"BRAZIL",1993,303713,123056,3884580,64743
"BRAZIL",1993,303713,136455,2663729,89487
"BRAZIL",1993,847297,508499,7386603,90448
"BRAZIL",1993,496772,244955,7607359,113996
"UNITED STATES",1993,496772,261344,5756505,78319
"PERU",1993,256036,668808,4397505,106606
"PERU",1993,256036,7786,5701263,101626
"UNITED STATES",1992,363373,141658,4021371,101979
"ARGENTINA",1993,713296,159336,6697584,83719
"CANADA",1993,713296,352270,4046115,79335
"CANADA",1993,43346,122359,3635713,82881
"ARGENTINA",1993,43346,473298,1286525,76276
"BRAZIL",1993,43346,484955,8555091,116395
"UNITED STATES",1992,760054,282631,1781436,96817
"CANADA",1993,124486,351374,3668876,85521
"CANADA",1993,124486,249139,979308,65287
"CANADA",1993,124486,65685,2581663,99040
"BRAZIL",1993,124486,628757,3762527,101143
"ARGENTINA",1993,215062,528086,1361381,66843
"BRAZIL",1993,215062,718513,2851615,91888
"CANADA",1993,215062,36126,630899,63727
"BRAZIL",1992,523681,719089,2063189,66483
"UNITED STATES",1992,523681,648943,2724350,113514
"CANADA",1992,523681,371181,2699678,75130
"BRAZIL",1992,523681,24608,6767961,91956
"UNITED STATES",1992,374248,707118,5400384,67504
"UNITED STATES",1992,374248,528615,6804462,98615
"ARGENTINA",1992,177253,435689,3151840,97479
"ARGENTINA",1993,341824,361815,1745424,112608
"UNITED STATES",1993,860179,376875,2359798,117111
"UNITED STATES",1992,260254,289712,3063060,102102
"PERU",1992,260254,373043,4720806,66961
"BRAZIL",1992,736372,468086,1821415,63243
"CANADA",1993,395105,683732,5600044,102942
"BRAZIL",1992,396110,166145,3796923,72668
"CANADA",1992,396110,708480,3817874,89307
"BRAZIL",1993,138241,321273,3406492,77655
"UNITED STATES",1992,520558,402506,259160,84508
"ARGENTINA",1993,830903,232323,5289876,75318
"BRAZIL",1992,156073,768729,6284724,107861
"BRAZIL",1992,156073,19384,2877863,78202
"CANADA",1992,489139,474742,4163046,103003
"UNITED STATES",1992,531568,478658,1636630,98197
"PERU",1992,383377,352344,406332,83779
"CANADA",1992,383377,244110,2169337,63246
"ARGENTINA",1992,209680,589463,5751790,93146
"UNITED STATES",1992,209680,691423,280049,84863
"PERU",1993,311260,540652,4019996,101557
"UNITED STATES",1993,311260,490182,5233694,70329
"CANADA",1993,70624,189677,4284174,106000
"ARGENTINA",1993,70624,720932,7956114,117174
"CANADA",1993,173420,530787,6616646,109065
"UNITED STATES",1992,832429,109193,3616187,72131
"UNITED STATES",1992,832429,132282,2322332,78856
"ARGENTINA",1993,557930,714670,4292462,101078
"UNITED STATES",1993,13474,108519,1047871,91650
"BRAZIL",1993,429518,209346,4722551,75319
"CANADA",1992,897905,543938,2211811,118914
"ARGENTINA",1993,645586,358513,6647445,94290
"UNITED STATES",1992,886480,227235,1163382,69733
"PERU",1993,391703,74375,3764742,80962
"ARGENTINA",1993,391703,656411,2215155,82042
"CANADA",1992,868492,407962,5385427,112196
"UNITED STATES",1993,538723,345096,3360480,68464
"UNITED STATES",1993,538723,17811,5186430,103728
"ARGENTINA",1993,583912,113789,2202997,108166
"PERU",1993,583912,262544,3916978,90391
"BRAZIL",1992,557005,693445,6202423,86304
"UNITED STATES",1993,27772,750980,7762290,121857
"PERU",1993,476459,414984,4272660,113937
"PERU",1993,476459,677802,6166903,106786
"UNITED STATES",1992,575311,395670,3940953,105939
"ARGENTINA",1992,489130,249642,1575713,95497
"CANADA",1993,878183,257884,5074351,110512
"BRAZIL",1993,878183,647310,3190976,75436
"PERU",1993,200327,396058,106171,69242
"PERU",1993,200327,271364,5768712,80121
"PERU",1993,491758,455256,4791625,72673
"CANADA",1992,234229,124696,8087243,103241
"ARGENTINA",1992,234229,554502,739328,93388
"UNITED STATES",1992,837778,53480,2042709,86008
"CANADA",1993,832106,187273,5865484,81616
"PERU",1992,677654,771994,6204077,123957
"UNITED STATES",1992,677654,682712,3541881,101680
"CANADA",1992,852688,674134,3654513,66486
"BRAZIL",1992,645302,607687,4796707,95679
"BRAZIL",1993,809284,247150,2321548,65828
"CANADA",1993,809284,665166,2314291,67867
"CANADA",1992,5171,173127,540054,72007
"BRAZIL",1992,5171,85078,4479776,63784
"PERU",1992,455129,598454,4818742,93145
"BRAZIL",1993,733799,772900,4734888,118372
"PERU",1993,733799,402422,1456840,79464
"UNITED STATES",1992,773620,595029,1861344,67440
"CANADA",1993,233020,741403,5214175,86662
"ARGENTINA",1993,233020,400175,2225560,64509
"BRAZIL",1993,306134,589422,2267100,90684
"PERU",1993,306134,6453,4662913,81567
"ARGENTINA",1993,306134,439994,5215917,116038
"UNITED STATES",1993,306134,572392,3953799,87862
"PERU",1993,306134,539735,5446584,106482
"UNITED STATES",1993,432118,74307,5660783,76878
"CANADA",1993,432118,641948,6463492,113394
"UNITED STATES",1993,389720,770400,4464043,88222
"ARGENTINA",1992,697523,411683,5683368,95679
"PERU",1993,631012,642994,5640427,116217
"PERU",1992,734992,681123,5299632,66245
"UNITED STATES",1992,734992,586554,6398067,98431
"ARGENTINA",1993,499028,422179,1703479,66069
"PERU",1992,293048,78443,2160588,85286
"BRAZIL",1992,815639,221757,6088789,100724
"CANADA",1992,511058,92640,4545269,97958
"CANADA",1992,511058,307732,4749435,104383
"ARGENTINA",1992,88792,527458,6286339,89125
"BRAZIL",1992,154025,319830,8168805,110989
"PERU",1992,154025,178424,4191751,90145
"BRAZIL",1992,320527,638547,3951456,89130
"BRAZIL",1993,215362,641487,2468361,85707
"CANADA",1993,215362,665029,2894498,59639
"CANADA",1993,665251,81393,3287540,82463
"BRAZIL",1992,151186,579116,2418862,71705
"ARGENTINA",1992,151186,756367,267586,85399
"CANADA",1992,694138,491538,3201264,91770
"PERU",1993,814426,644668,322526,96757
"ARGENTINA",1993,826540,793985,2081028,124737
"CANADA",1993,826540,503483,2541846,89187
"PERU",1993,131173,20712,4707102,97962
"UNITED STATES",1993,131173,99756,3441270,105345
"BRAZIL",1992,16576,50321,5858242,76279
"BRAZIL",1992,16576,144317,3327041,81678
"ARGENTINA",1993,459469,505705,636372,102640
"BRAZIL",1993,459469,247625,7397557,94356
"CANADA",1993,880376,45196,4987000,68471
"BRAZIL",1992,886018,640962,4186446,114175
"BRAZIL",1992,886018,474623,4797592,95856
"UNITED STATES",1992,689162,364858,8398965,115370
"ARGENTINA",1992,689162,74571,4641346,92734
"BRAZIL",1992,633469,48799,4019917,104867
"UNITED STATES",1992,587716,281186,4737543,70030
"ARGENTINA",1992,223055,615076,4614282,59462
"BRAZIL",1992,223055,771510,1239880,94888
"UNITED STATES",1992,376736,597124,1868283,73266
"UNITED STATES",1992,543511,791332,5251977,85398
"BRAZIL",1992,543511,770596,5734632,99993
"CANADA",1993,123508,170940,4940879,120656
"PERU",1992,724768,439961,6121026,114056
"ARGENTINA",1992,544666,10283,4610833,71596
"PERU",1992,544666,105893,1900788,113933
"CANADA",1993,207856,711443,3526944,87264
"BRAZIL",1993,207856,6390,3609149,77783
"BRAZIL",1993,207856,135608,1222838,98616
"PERU",1992,653356,340632,2341668,100357
"PERU",1992,653356,150314,4440829,81858
"CANADA",1993,608335,728680,3854714,102519
"BRAZIL",1993,608335,483119,3345945,66125
"ARGENTINA",1993,260945,117884,6435961,114112
"UNITED STATES",1993,52577,556574,6484697,97833
"ARGENTINA",1993,846478,592902,8097217,119692
"CANADA",1993,349876,56919,6550677,112554
"UNITED STATES",1993,349876,90085,1285795,64504
"CANADA",1993,349876,458286,1300251,74655
"UNITED STATES",1993,660482,5162,4706175,64029
"ARGENTINA",1993,446786,798891,2145069,119391
"UNITED STATES",1993,446786,555166,4542640,73268
"CANADA",1993,2066,233602,5196436,92135
"CANADA",1992,600826,285120,1083007,66306
"UNITED STATES",1992,600826,161088,4664115,68944
"BRAZIL",1993,183362,198978,10177153,124618
"ARGENTINA",1993,560363,60210,2001059,70212
"UNITED STATES",1992,575048,790650,696248,104437
"ARGENTINA",1993,616321,638346,4908632,77058
"PERU",1992,732436,207496,4263772,84208
"CANADA",1992,732436,783429,4174196,90743
"UNITED STATES",1992,190063,345006,4791463,63059
"BRAZIL",1992,252971,615694,5360167,96579
"ARGENTINA",1992,252971,481209,5255834,71410
"BRAZIL",1992,802909,292624,1862334,96996
"CANADA",1992,765283,26212,2731704,68292
"CANADA",1993,306466,89544,1568811,92012
"BRAZIL",1992,759583,559514,4934464,94409
"CANADA",1992,752363,739982,4403807,121317
"CANADA",1992,40960,59343,3190733,78140
"BRAZIL",1992,745738,541196,2093291,74230
"CANADA",1992,582256,459149,3229061,66487
"BRAZIL",1992,29065,661561,4430562,91351
"PERU",1992,99877,103365,2079907,82101
"ARGENTINA",1993,718972,619258,3425710,70633
"UNITED STATES",1992,185170,321420,2260130,86484
"UNITED STATES",1992,738079,597492,314715,95368
"UNITED STATES",1992,738079,445437,514256,82944
"ARGENTINA",1992,405832,130592,6717522,97355
"PERU",1992,405832,528543,3620782,94291
"UNITED STATES",1992,686002,552215,5121981,76031
"BRAZIL",1992,686002,260834,8442833,107689
"BRAZIL",1993,621754,459828,5985554,107268
"UNITED STATES",1992,635791,684803,1072662,107266
"PERU",1992,635791,681248,5007801,73752
"BRAZIL",1993,475108,51729,4840473,100843
"UNITED STATES",1993,475108,483798,5188514,106906
"BRAZIL",1992,499042,573130,1118892,72186
"BRAZIL",1992,499042,592459,5915602,93085
"CANADA",1992,499042,650534,440896,89070
"CANADA",1992,675067,609428,2942258,80243
"CANADA",1993,419482,733663,4988092,101797
"CANADA",1993,249694,572917,4875230,119393
"ARGENTINA",1992,40906,568307,4524671,82516
"CANADA",1992,40906,335498,2254215,92008
"PERU",1993,891841,477539,1953264,90990
"ARGENTINA",1992,460441,77010,2845549,59220
"PERU",1993,47176,209957,7557373,112016
"BRAZIL",1992,830738,675509,6555419,89068
"ARGENTINA",1992,830738,315152,4435132,70028
"UNITED STATES",1992,837319,712816,6876212,109726
"PERU",1993,597181,232599,5777119,91894
"BRAZIL",1993,2767,459099,2750982,63484
"BRAZIL",1993,134407,425726,1982040,99102
"CANADA",1992,325162,585378,2396967,87801
"UNITED STATES",1993,597928,356938,3128034,119695
"ARGENTINA",1993,597928,307565,4929944,94353
"CANADA",1993,481295,65335,3822970,78019
"CANADA",1993,481295,481651,3755049,97957
"UNITED STATES",1993,811147,378571,3629032,98973
"ARGENTINA",1993,811147,237885,8396139,109372
"ARGENTINA",1993,811147,105885,3021626,113452
"CANADA",1992,629753,192651,8020790,104619
"CANADA",1993,686885,344591,4048060,98134
"CANADA",1993,686885,675307,2077277,76936
"UNITED STATES",1993,164434,12193,4350027,66311
"BRAZIL",1992,589888,508918,3404814,115613
"UNITED STATES",1993,745942,9726,5381518,98143
"UNITED STATES",1993,24932,48078,3053584,61564
"UNITED STATES",1993,608467,561724,3392830,107142
"UNITED STATES",1992,396767,519095,4257975,66844
"ARGENTINA",1992,391771,708211,4020855,73150
"BRAZIL",1992,709861,187000,1460928,65220
"BRAZIL",1992,439121,315395,655826,84622
"ARGENTINA",1992,439121,32188,3763804,67210
"PERU",1993,245455,442205,2588038,68830
"ARGENTINA",1993,245455,131849,7448126,112850
"PERU",1993,245455,781622,4436148,102215
"BRAZIL",1993,245455,92884,4551434,112612
"UNITED STATES",1992,640366,293156,1226132,68948
"ARGENTINA",1992,640366,183513,150071,95790
"PERU",1993,223706,34462,2513628,83787
"ARGENTINA",1993,778580,237917,4219897,111294
"ARGENTINA",1993,778580,353268,4708935,79275
"UNITED STATES",1992,451904,132837,7236242,112189
"CANADA",1992,451904,215113,3425629,61686
"PERU",1992,451904,151931,6246229,118975
"ARGENTINA",1993,110089,341566,3616987,96453
"ARGENTINA",1993,110089,127637,164798,99877
"BRAZIL",1993,566578,274800,7187899,106487
"CANADA",1993,17167,480213,2480642,71591
"CANADA",1992,677122,612809,4648779,103306
"PERU",1993,429334,450811,2695538,105707
"BRAZIL",1993,359374,423202,3418296,67510
"UNITED STATES",1992,86560,568393,1665961,87682
"ARGENTINA",1992,831115,610442,5723399,81144
"UNITED STATES",1992,544778,177025,2479545,66121
"BRAZIL",1992,38365,689187,1176150,70569
"CANADA",1992,710162,724761,2182162,107143
"ARGENTINA",1992,576049,13382,3418507,77722
"BRAZIL",1992,413941,490676,7166595,99999
"ARGENTINA",1992,204706,251655,4093718,96398
"UNITED STATES",1992,204706,530671,1225188,102099
"BRAZIL",1993,506516,375723,5288207,107922
"CANADA",1993,730474,701653,1042410,99277
"ARGENTINA",1992,353980,404175,2356863,64749
"CANADA",1992,95323,552196,5616765,74890
"PERU",1992,865630,185305,4004064,83418
"CANADA",1993,129847,433095,3022525,61684
"BRAZIL",1993,803299,773486,1497072,93567
"UNITED STATES",1993,803299,772978,4973529,123056
"ARGENTINA",1993,637498,723939,7066440,117774
"UNITED STATES",1993,35861,334153,1151525,71228
"UNITED STATES",1992,306608,531949,2549444,118855
"CANADA",1992,306608,460074,2171505,62043
"CANADA",1992,357445,111904,6102141,114954
"CANADA",1992,511501,136084,219535,67204
"ARGENTINA",1992,370438,428717,1303386,98741
"PERU",1993,636703,157530,6929568,95251
"CANADA",1993,636703,401691,1404734,95560
"CANADA",1993,648427,23100,2481017,61386
"PERU",1993,564862,217290,2332464,72436
"CANADA",1993,241763,624772,1628870,101804
"CANADA",1993,241763,535883,2141447,115131
"CANADA",1993,17713,565585,4002608,99033
"UNITED STATES",1993,436927,743346,1512958,83358
"ARGENTINA",1992,275335,106207,798285,72792
"CANADA",1993,330643,642497,3454704,86367
"BRAZIL",1993,330643,36098,3710314,62045
"ARGENTINA",1993,40348,349311,742723,81618
"BRAZIL",1992,416503,249708,2133447,99461
"CANADA",1992,608212,450626,4572140,94596
"UNITED STATES",1992,608212,270505,4576969,88529
"ARGENTINA",1993,473939,672029,1981960,60059
"UNITED STATES",1993,473939,643778,3443480,103304
"CANADA",1992,872761,190819,4743968,114588
"PERU",1992,425854,518721,313146,104382
"CANADA",1993,177926,444889,7163057,110031
"BRAZIL",1993,177926,447443,2157931,83425
"CANADA",1993,823823,709560,4972271,94171
"BRAZIL",1993,802421,56409,3575982,81924
"CANADA",1993,372076,474026,2058000,60000
"BRAZIL",1993,28234,504374,261886,82701
"BRAZIL",1992,581629,48427,2668314,82525
"BRAZIL",1992,676147,159547,3801073,96392
"UNITED STATES",1993,36143,762097,3449362,69543
"BRAZIL",1992,76318,653301,1843776,75256
"UNITED STATES",1992,76318,413286,5020102,71955
"PERU",1993,281848,294169,1151518,69789
"CANADA",1993,57833,570054,4602902,67441
"BRAZIL",1993,57833,568581,7132697,98973
"UNITED STATES",1993,674116,677960,6395169,116275
"PERU",1993,674116,63561,1195255,91473
"CANADA",1993,632476,381227,4971198,78492
"CANADA",1992,312247,699676,5791011,100538
"BRAZIL",1992,810032,708769,5290524,106663
"ARGENTINA",1992,810032,264616,5366137,94836
"BRAZIL",1992,784603,258311,1501581,76158
"CANADA",1992,784603,23184,3321540,66430
"ARGENTINA",1992,69364,438271,440167,72555
"ARGENTINA",1993,399796,132567,7602708,95973
"UNITED STATES",1993,399796,237488,4657010,85528
