"s_nation","d_yearmonthnum","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
"EGYPT",199201,162578,243207,3381558,69011
"IRAQ",199209,107566,115989,6415936,120298
"IRAQ",199212,30325,360352,5033579,84740
"JORDAN",199207,263188,13625,3384964,92317
"SAUDI ARABIA",199205,174730,500716,5836746,103001
"JORDAN",199203,128983,336696,4924276,103960
"IRAN",199204,131588,64754,510468,103125
"IRAN",199212,148627,112063,3299359,64503
"JORDAN",199210,4874,216273,706420,71355
"SAUDI ARABIA",199204,108904,268482,4975112,87028
"JORDAN",199211,92765,207699,642672,96400
"IRAN",199211,290473,335991,1390508,121618
"SAUDI ARABIA",199211,290473,213223,890788,68172
"IRAN",199211,178483,269663,4799991,97959
"SAUDI ARABIA",199208,172028,27554,3407565,88893
"IRAN",199212,142690,24205,4855560,67752
"JORDAN",199210,270170,45653,633065,95919
"SAUDI ARABIA",199212,268195,556192,247137,74890
"EGYPT",199202,288997,12255,4118058,70035
"SAUDI ARABIA",199208,115996,92612,1906276,96276
"JORDAN",199209,149575,240142,4220307,64927
"IRAN",199204,25400,414211,5124115,67511
"EGYPT",199208,251833,334649,4619880,101017
"SAUDI ARABIA",199209,136655,26816,2439934,104568
"EGYPT",199209,136655,90659,5443845,98979
"IRAN",199212,193054,19477,5115269,83788
"EGYPT",199202,172148,3664,7524768,94059
"IRAQ",199207,94003,330991,8207216,121318
"SAUDI ARABIA",199211,215354,445489,4498466,86067
"EGYPT",199212,280993,333682,7983012,102940
"JORDAN",199212,219881,113416,4902876,85764
"SAUDI ARABIA",199204,142828,480877,8546110,111471
"EGYPT",199207,249332,276595,7238697,94294
"IRAQ",199209,212444,96344,4113503,80420
"IRAN",199201,94973,310989,4507932,119998
"JORDAN",199210,247975,461251,1080096,72733
"IRAQ",199202,286151,211279,5713248,71415
"IRAQ",199201,206668,432285,5725991,73035
"EGYPT",199212,85756,425301,5220273,73576
"IRAN",199210,215168,126081,4014272,66424
"IRAQ",199209,218912,486157,4458207,68587
"JORDAN",199209,218912,290934,7892172,115495
"EGYPT",199212,208282,152343,4420437,83720
"IRAQ",199212,122779,252519,1748142,88290
"IRAQ",199212,122779,563041,1190133,66241
"SAUDI ARABIA",199205,51238,420977,3606105,113877
"JORDAN",199203,282020,531392,3945581,85402
"IRAN",199204,108850,123844,1109496,112070
"IRAN",199207,70102,520072,1819355,65523
"EGYPT",199207,70102,221208,2571165,67751
"IRAQ",199210,227125,470000,1152336,58198
"IRAN",199208,129295,337821,6922208,111528
"SAUDI ARABIA",199208,129295,453752,1350938,102343
"SAUDI ARABIA",199205,99814,413262,2938100,70514
"EGYPT",199211,64762,74393,541486,82043
"EGYPT",199201,14287,56061,2890484,61023
"IRAQ",199209,226201,433353,2143025,77179
"SAUDI ARABIA",199208,98000,395609,5625147,102275
"SAUDI ARABIA",199208,98000,17570,2945388,89254
"EGYPT",199211,248683,523656,8314168,100777
"JORDAN",199206,273215,97216,1334531,72792
"IRAQ",199212,270679,303484,4373161,89248
"EGYPT",199211,98020,338973,5577153,120717
"IRAN",199208,11290,365086,2051206,69064
"SAUDI ARABIA",199204,248002,256968,3849900,115497
"IRAQ",199205,52153,202480,5668127,82948
"EGYPT",199208,283585,593897,4292315,119452
"IRAN",199205,148946,381257,3409835,80294
"SAUDI ARABIA",199202,273535,179988,10236501,124078
"SAUDI ARABIA",199209,266174,468172,3463775,68409
"JORDAN",199212,211151,437781,4934559,103125
"EGYPT",199204,51628,230939,5738784,112195
"EGYPT",199204,284912,590424,151440,90864
"JORDAN",199209,76076,284864,2196433,110931
"SAUDI ARABIA",199209,299368,457305,4248834,75736
"IRAN",199202,210187,294371,4055119,81921
"SAUDI ARABIA",199212,81592,240215,5032051,69312
"EGYPT",199212,81592,67307,4163138,76458
"SAUDI ARABIA",199212,262756,586523,7170322,96570
"SAUDI ARABIA",199211,32543,31138,4704172,64147
"SAUDI ARABIA",199211,32543,548679,7957555,103659
"EGYPT",199206,3646,7109,1727370,60966
"IRAN",199208,152687,552596,7670796,98914
"EGYPT",199208,94708,27676,2986033,96220
"JORDAN",199203,282442,141731,8686377,106363
"SAUDI ARABIA",199203,282442,500151,5128284,69067
"IRAN",199204,65956,313185,119817,71890
"IRAN",199201,10303,121433,1852943,87265
"SAUDI ARABIA",199209,215333,384890,4344736,118492
"EGYPT",199201,138827,451008,2658292,57538
"SAUDI ARABIA",199210,176393,584705,531534,107380
"JORDAN",199210,3782,378209,3027470,77231
"EGYPT",199202,132632,334480,7196761,90868
"JORDAN",199206,233204,437646,6017756,95017
"EGYPT",199210,167699,248423,1612778,82284
"EGYPT",199201,19853,111382,5434182,83602
"SAUDI ARABIA",199202,218255,289751,6440738,104444
"SAUDI ARABIA",199204,249673,555702,2958175,105460
"IRAQ",199211,285685,339604,8053591,98615
"IRAN",199202,49213,349404,1453390,87203
"SAUDI ARABIA",199206,174211,504566,5597404,94232
"EGYPT",199203,69596,362779,184176,110505
"IRAN",199207,206548,56415,6788479,82284
"IRAQ",199206,261718,464219,2087147,70991
"EGYPT",199206,261718,54849,4772960,108230
"IRAQ",199209,70237,513423,3878280,86184
"IRAQ",199201,190696,111811,7473521,109368
"IRAN",199205,295663,428810,1564911,104327
"JORDAN",199212,185894,396744,5772529,110443
"SAUDI ARABIA",199206,105788,109700,8463015,102582
"IRAQ",199204,217489,211874,3750306,107151
"SAUDI ARABIA",199207,220190,581485,921078,93987
"IRAQ",199204,69439,385064,796291,68943
"IRAN",199204,113503,74789,864252,105826
"EGYPT",199211,215512,208309,4260515,73037
"EGYPT",199211,215512,32582,4898151,90874
"SAUDI ARABIA",199204,138355,253803,8432592,105407
"IRAN",199211,158944,14697,1263564,96701
"IRAQ",199206,167716,497352,5937052,80959
"SAUDI ARABIA",199205,92074,565914,8232382,118793
"EGYPT",199202,235207,151688,340977,104380
"SAUDI ARABIA",199205,248971,362450,5596028,90746
"IRAN",199203,194165,504650,1489167,99277
"EGYPT",199207,259934,151575,644121,97594
"IRAN",199201,219287,227796,8532711,103426
"IRAQ",199210,263552,117205,5928892,73332
"EGYPT",199205,10915,445465,279267,84626
"IRAQ",199207,129634,220303,363317,73397
"EGYPT",199212,1639,359292,1337767,81076
"EGYPT",199212,89236,214480,4373057,83668
"IRAN",199204,62434,189313,4442518,84138
"EGYPT",199202,289540,493926,4181542,115194
"SAUDI ARABIA",199211,217498,199173,5984287,76330
"SAUDI ARABIA",199210,62461,598058,4418346,69361
"SAUDI ARABIA",199208,81775,373017,1495480,65400
"IRAQ",199204,190822,400873,3687834,106431
"SAUDI ARABIA",199209,128189,388770,368034,111525
"IRAQ",199210,253597,157845,6216578,114170
"IRAQ",199207,140197,481150,4877432,67867
"JORDAN",199209,232834,80010,588065,59400
"IRAN",199209,232834,118659,1006590,100659
"EGYPT",199206,72268,374620,3985722,101676
"JORDAN",199212,253885,421422,2238104,80604
"IRAQ",199204,125405,254128,324633,64926
"IRAQ",199210,193519,85830,2336973,108949
"SAUDI ARABIA",199210,193519,96209,2266981,72312
"JORDAN",199201,134495,204322,4169454,73578
"SAUDI ARABIA",199210,84244,460744,7016627,102283
"EGYPT",199210,84244,532070,218205,66123
"IRAN",199209,209500,22840,4837232,105770
"IRAN",199210,976,408371,3039735,76761
"SAUDI ARABIA",199209,11644,128527,762204,93331
"EGYPT",199212,3901,241405,4265363,80783
"IRAQ",199211,299284,74748,861370,103364
"EGYPT",199204,47080,79904,2825850,113034
"IRAN",199208,151568,221437,4526255,81505
"IRAQ",199212,202682,236819,7995913,105348
"JORDAN",199201,258107,153806,7917168,111588
"IRAN",199204,138355,354536,6770843,95431
"JORDAN",199204,188360,416822,4941669,104328
"EGYPT",199204,191473,372380,6614092,87142
"IRAN",199212,183482,589298,4078573,83236
"SAUDI ARABIA",199201,43849,278722,2500043,102042
"JORDAN",199204,258767,175668,1046196,104619
"IRAQ",199207,235963,185441,6282827,91586
"SAUDI ARABIA",199207,191417,131727,172354,105523
"JORDAN",199210,106924,399041,3798579,68401
"EGYPT",199207,133399,491328,646457,79158
"JORDAN",199208,114271,76074,4013367,63004
"IRAN",199208,169351,341951,9964700,119576
"IRAN",199203,250292,61108,3207300,64146
"IRAN",199209,297037,557066,5062664,67382
"IRAN",199205,276184,342394,1436380,86182
"JORDAN",199204,181546,440759,4038558,101983
"SAUDI ARABIA",199202,181144,280327,2717897,78438
"IRAQ",199204,255718,93228,2538916,73273
"IRAN",199211,83917,238620,3896525,93516
"SAUDI ARABIA",199208,200836,407319,6131450,73577
"JORDAN",199212,132872,24840,349438,105890
"SAUDI ARABIA",199212,132872,381750,1632080,109904
"JORDAN",199211,85588,276316,4861632,77538
"SAUDI ARABIA",199212,115009,511660,7188052,100298
"SAUDI ARABIA",199204,251803,577279,3356718,81375
"JORDAN",199212,1846,286060,2692532,62763
"IRAQ",199203,102886,443737,3129482,100842
"EGYPT",199207,89494,14405,517204,79164
"IRAQ",199203,56902,509140,5574381,68947
"JORDAN",199204,129739,86281,5837091,76036
"IRAN",199208,74678,591215,1920099,78371
"IRAN",199212,125416,22344,752205,75980
"SAUDI ARABIA",199203,263809,538938,2324846,118614
"JORDAN",199204,202546,212199,5335886,66670
"JORDAN",199205,64655,456854,6095253,108649
"JORDAN",199203,119758,547680,4104920,103659
"JORDAN",199208,52795,198172,2667357,76210
"SAUDI ARABIA",199203,224794,589231,2112336,79212
"SAUDI ARABIA",199203,224794,428693,3050361,97300
"EGYPT",199209,292387,278825,721524,108228
"IRAQ",199209,104668,153190,2859337,74591
"IRAN",199208,89056,428577,2065614,90333
"JORDAN",199205,147998,121250,2117902,76275
"IRAQ",199202,246076,498926,1131841,115494
"IRAN",199203,30881,12834,2910218,104809
"IRAN",199211,131590,18902,8833185,109254
"JORDAN",199208,41038,377650,4275909,103658
"IRAN",199201,24169,436390,519937,79582
"IRAQ",199201,197542,36789,690312,103546
"IRAQ",199206,97399,128228,4145526,75373
"IRAQ",199207,31291,182848,7454973,115850
"IRAQ",199210,17023,564498,4021797,93748
"JORDAN",199206,15479,261426,554964,83244
"JORDAN",199208,280775,451871,8020540,109371
"IRAQ",199208,280775,442189,2217073,67869
"JORDAN",199207,102194,213924,4366874,110274
"SAUDI ARABIA",199202,289516,24124,1848883,62887
"EGYPT",199207,145951,432972,8774199,114297
"EGYPT",199202,66182,368299,1488967,82036
"JORDAN",199209,29146,21824,1368722,104749
"IRAN",199204,80434,546113,4819496,69545
"JORDAN",199201,95818,468173,684690,68469
"IRAN",199211,276317,442872,1633365,108891
"IRAN",199204,20095,251094,1985652,62704
"IRAN",199201,260362,575366,4851550,86480
"SAUDI ARABIA",199201,230701,342295,2808288,80236
"IRAQ",199210,277660,434247,2362440,70873
"SAUDI ARABIA",199201,240989,28203,2771440,67872
"EGYPT",199206,197089,432860,8342084,107570
"IRAQ",199204,226207,421956,2760557,112675
"SAUDI ARABIA",199209,285889,477485,2579779,87747
"JORDAN",199207,87637,381607,2701744,101315
"JORDAN",199210,269636,59666,2926188,97539
"IRAN",199210,269636,160573,1120629,98014
"EGYPT",199210,295192,367612,5819814,100776
"IRAQ",199211,207553,350082,3622624,67924
"SAUDI ARABIA",199208,5918,239001,837531,56399
"JORDAN",199201,80434,96347,2552346,80600
"JORDAN",199208,61661,148274,2332484,79336
"IRAQ",199207,281851,63742,2899758,102344
"JORDAN",199208,93200,201248,4279732,68953
"EGYPT",199201,122996,135328,5128809,81799
"JORDAN",199201,251509,4911,7730328,108954
"EGYPT",199203,50050,179716,5511033,107742
"IRAN",199211,153124,54149,1081077,66188
"IRAQ",199206,134747,380622,2669692,102156
"SAUDI ARABIA",199202,130744,357545,160253,96151
"IRAQ",199201,100939,124254,3883323,76695
"IRAQ",199208,115123,370660,3634365,103839
"SAUDI ARABIA",199203,127081,428099,1912404,61624
"IRAQ",199211,298738,71721,4401072,101563
"SAUDI ARABIA",199202,165169,246486,2667259,85948
"EGYPT",199209,138457,422843,2422705,105949
"SAUDI ARABIA",199210,283393,56177,4599537,67990
"SAUDI ARABIA",199210,283393,337468,5514463,90327
"JORDAN",199210,283393,22329,4292027,75079
"IRAQ",199211,142408,134695,8475481,103781
"EGYPT",199203,36796,260744,3712901,102283
"SAUDI ARABIA",199203,195736,365073,5018844,68283
"EGYPT",199207,30523,40604,3632899,92676
"IRAQ",199208,194213,9868,1584073,106671
"EGYPT",199211,269741,352405,2713660,87443
"JORDAN",199203,67213,471789,3660620,105645
"EGYPT",199210,25831,550819,1121874,112187
"EGYPT",199202,42913,522855,751132,112669
"JORDAN",199208,110068,572666,2555800,104318
"EGYPT",199206,179257,13300,121330,72798
"IRAN",199204,232148,423523,3260411,86790
"IRAQ",199203,257996,382328,4654023,84618
"IRAQ",199210,165271,128257,4369850,77115
"SAUDI ARABIA",199202,93077,291968,4462806,117597
"SAUDI ARABIA",199212,114547,366496,1249984,93748
"EGYPT",199207,137401,512516,1210564,91709
"IRAQ",199205,228179,524778,6536771,108165
"IRAN",199205,228179,546441,1189936,89245
"JORDAN",199208,13225,25812,8258073,104268
"IRAQ",199211,99475,271773,8378337,104685
"JORDAN",199209,93659,3995,8272000,113939
"IRAQ",199206,229097,287945,574080,115975
"JORDAN",199208,57328,197727,2167767,109483
"IRAQ",199209,185755,182255,3839244,80235
"EGYPT",199212,61123,293078,3673735,64263
"JORDAN",199206,103489,396917,402780,120834
"EGYPT",199205,38206,447906,2753011,111232
"EGYPT",199204,255511,339406,2549667,86723
"SAUDI ARABIA",199207,156511,12094,4728623,60365
"IRAN",199207,575,353872,6547924,115551
"IRAQ",199206,270911,276364,2786587,80421
"IRAQ",199208,137548,335984,1999770,121198
"SAUDI ARABIA",199204,149989,395017,980784,66720
"JORDAN",199203,139198,480847,731128,109669
"EGYPT",199207,151663,79473,5751781,87148
"EGYPT",199207,151663,90928,2686488,115135
"JORDAN",199209,142987,298163,1625610,69669
"EGYPT",199209,141626,588391,4784282,88762
"JORDAN",199205,151132,138970,10044850,120538
"IRAQ",199210,280786,449503,4357440,87148
"SAUDI ARABIA",199210,230144,358058,5245388,66962
"EGYPT",199201,164437,445840,3675217,107149
"IRAN",199207,173890,466261,368172,73634
"IRAN",199206,199501,63267,3737529,73815
"EGYPT",199206,214147,403391,768855,77662
"JORDAN",199203,178346,62425,4350949,83245
"SAUDI ARABIA",199209,58066,220041,1601075,57661
"IRAQ",199210,129941,272031,2106342,60181
"IRAN",199205,71110,536639,7707806,100536
"IRAN",199207,215279,102551,5998256,93213
"EGYPT",199207,215279,367615,3533460,100956
"EGYPT",199205,51082,280184,582085,69850
"IRAQ",199210,136414,253368,3237307,79281
"SAUDI ARABIA",199204,92537,297483,5276395,88828
"JORDAN",199212,73973,475173,3038004,68889
"IRAQ",199211,38647,230720,6309013,99042
"IRAQ",199211,38647,578575,3110327,99213
"SAUDI ARABIA",199210,148639,368103,1721502,70265
"EGYPT",199206,61660,330911,6796650,116514
"IRAQ",199203,167308,511841,2905221,111169
"IRAN",199203,284233,443646,2025175,95377
"SAUDI ARABIA",199209,22507,495458,5523034,87205
"IRAN",199209,22507,54038,198406,59521
"SAUDI ARABIA",199209,159067,224756,499179,100844
"IRAN",199209,159067,462716,4196725,100721
"IRAN",199209,94634,331617,1938753,98916
"IRAN",199207,9049,254043,3948238,59821
"SAUDI ARABIA",199202,2737,59464,6832608,85407
"SAUDI ARABIA",199209,163498,298923,2882865,115314
"EGYPT",199201,76988,156663,2042956,103179
"IRAN",199208,84706,566207,1782452,76390
"IRAQ",199207,144730,342038,2352283,64801
"IRAQ",199207,144730,16908,3974632,109494
"SAUDI ARABIA",199209,281686,340952,8370348,119576
"IRAQ",199206,73813,113789,4416811,108166
"JORDAN",199201,46213,575876,8309025,117111
"SAUDI ARABIA",199208,50873,39881,2549232,109252
"IRAN",199209,159073,506853,8927184,111589
"IRAN",199202,122306,165149,2736671,72848
"IRAQ",199211,126772,121261,4316087,76935
"EGYPT",199208,143281,394154,3180260,74888
"IRAN",199206,270031,420276,2723861,71775
"IRAN",199210,173293,205759,3131375,99884
"SAUDI ARABIA",199203,91709,583899,6543471,118972
"IRAQ",199203,252181,552090,3805377,68524
"IRAN",199204,168718,366868,2490151,116091
"EGYPT",199201,265538,21082,3833771,60184
"IRAN",199209,103496,207332,743592,74359
"IRAN",199204,282859,257000,2679572,57419
"IRAN",199207,240377,80658,6390735,98319
"SAUDI ARABIA",199201,66667,247292,3222128,74356
"SAUDI ARABIA",199209,259774,181436,300451,91045
"EGYPT",199205,109645,396788,8769834,113086
"JORDAN",199210,164525,169320,2338225,83359
"IRAQ",199203,241066,382637,7566328,103177
"JORDAN",199203,233812,279319,1156785,77898
"SAUDI ARABIA",199205,76759,435178,3784710,66789
"EGYPT",199212,36977,424289,5284960,72795
"SAUDI ARABIA",199206,205520,235575,7477272,90633
"EGYPT",199203,37834,15910,3615301,109554
"JORDAN",199203,37834,553426,1627340,88764
"JORDAN",199203,37834,224565,2773542,89373
"SAUDI ARABIA",199206,9598,183189,6109008,76330
"IRAQ",199205,195785,277856,3594326,110030
"JORDAN",199201,127603,394739,1815382,110023
"IRAQ",199201,273092,542580,1947072,97353
"IRAQ",199210,18154,159506,5216246,93930
"EGYPT",199207,281644,174206,5504860,76812
"EGYPT",199206,228419,399196,1942770,77710
"IRAQ",199203,61909,541113,3958528,69245
"SAUDI ARABIA",199204,280415,524092,1562498,66964
"JORDAN",199201,207089,169702,7292317,106302
"EGYPT",199210,103880,575046,3884334,67261
"SAUDI ARABIA",199212,13840,441160,3453175,66068
"JORDAN",199201,142742,201586,1020473,89254
"EGYPT",199211,282568,173029,1527399,66121
"IRAN",199211,282568,455005,3857199,57598
"IRAN",199203,270722,292607,3958985,95975
"EGYPT",199210,288808,158265,4631410,79395
"EGYPT",199210,288808,187994,2652455,124919
"JORDAN",199203,49799,328505,3907332,92009
"SAUDI ARABIA",199211,14215,275350,129883,79520
"SAUDI ARABIA",199205,19711,285906,5431616,113513
"EGYPT",199203,276565,92195,3141304,71231
"JORDAN",199205,240431,126442,5815022,88106
"JORDAN",199206,205867,261048,1878813,60541
"EGYPT",199206,98669,86366,3445813,81141
"IRAQ",199206,98669,272092,5107584,63844
"IRAN",199205,66758,549816,7942668,111947
"SAUDI ARABIA",199212,223732,477099,2769804,64564
"SAUDI ARABIA",199207,183025,382590,496756,100354
"IRAQ",199202,132391,573954,8432132,121675
"IRAQ",199211,123101,437379,3999071,78981
"EGYPT",199203,224785,27243,1853660,70214
"IRAN",199203,224785,70425,5802156,83725
"IRAQ",199212,113875,262998,768704,117658
"IRAQ",199210,242435,195542,4493409,98252
"IRAQ",199203,56705,293020,4613247,60780
"IRAQ",199201,147803,105495,3601176,90029
"EGYPT",199201,147803,467184,2621191,69069
"JORDAN",199210,229612,83857,6133712,110451
"JORDAN",199210,162524,260777,516114,104265
"EGYPT",199208,224978,126611,4814573,98256
"IRAN",199208,224978,108900,8126187,114534
"EGYPT",199211,247108,307350,5293626,81440
"IRAQ",199212,264205,283983,8674337,118018
"JORDAN",199212,92180,377225,510466,78132
"JORDAN",199210,179690,377179,870518,75369
"SAUDI ARABIA",199204,117673,343785,6989558,109726
"JORDAN",199205,246880,531111,2014646,68525
"IRAQ",199205,293234,80300,4893306,76818
"IRAN",199206,7198,447601,929148,92914
"IRAQ",199210,145820,507675,1514385,100959
"IRAQ",199204,115630,477890,7026926,112072
"SAUDI ARABIA",199205,6049,375418,1194720,89604
"SAUDI ARABIA",199205,123508,489558,2940307,92851
"EGYPT",199204,4421,97428,2540098,85525
"SAUDI ARABIA",199202,65503,592429,5121032,91284
"EGYPT",199201,14692,369504,2360235,94409
"IRAN",199206,49501,186883,7215670,118192
"JORDAN",199206,49501,53866,2342159,109191
"IRAQ",199212,98564,89244,1342998,73994
"IRAN",199208,68410,120121,2146446,68467
"EGYPT",199209,121244,68866,4220178,110091
"JORDAN",199209,121244,22740,6354992,99764
"JORDAN",199202,17605,227840,8142624,106069
"EGYPT",199204,257039,494319,130015,78797
"JORDAN",199210,222124,522194,2383693,72970
"EGYPT",199211,9157,188236,4195160,79453
"IRAQ",199211,9157,322041,4889938,63781
"IRAQ",199206,294769,173579,3762901,99154
"JORDAN",199204,151246,497931,5670995,115734
"IRAN",199211,114187,276392,3620733,82102
"JORDAN",199206,63590,507003,890802,60598
"IRAQ",199203,277435,20835,5850425,105349
"IRAQ",199203,277435,112662,164116,100479
"IRAN",199209,160016,282644,6535799,97597
"EGYPT",199203,170531,179398,1625129,88643
"EGYPT",199202,36580,485486,6056529,88287
"SAUDI ARABIA",199207,290728,64323,4505620,77239
"SAUDI ARABIA",199212,213197,432939,926595,112314
"SAUDI ARABIA",199208,234686,325431,873852,87385
"EGYPT",199202,172144,400910,7171124,108653
"SAUDI ARABIA",199209,59075,383000,3032372,64979
"IRAQ",199209,59075,557347,4816817,84259
"JORDAN",199207,85646,584887,1171284,118311
"IRAN",199205,132736,252773,3106368,103545
"IRAQ",199201,80176,378314,5708430,83538
"IRAN",199212,235819,458902,1094197,111652
"EGYPT",199211,252316,122965,8182443,119277
"IRAN",199210,163472,361347,1104130,84499
"JORDAN",199206,57308,116574,1102265,95434
"IRAQ",199204,93200,127520,3943080,92851
"SAUDI ARABIA",199204,93200,86152,2230774,68289
"SAUDI ARABIA",199201,261391,556284,1206234,80415
"IRAQ",199205,280823,194061,2973124,69303
"EGYPT",199205,280823,445483,857076,85707
"IRAQ",199207,102595,559175,4813185,74049
"EGYPT",199201,218203,408766,4476580,100484
"SAUDI ARABIA",199201,110356,33672,4405958,96340
"SAUDI ARABIA",199212,58804,147213,1512252,75612
"IRAN",199207,52546,318694,2181954,102760
"JORDAN",199207,191218,264720,4787945,101082
"JORDAN",199208,44899,70825,4669132,107749
"SAUDI ARABIA",199210,50269,106295,3864831,78077
"IRAN",199203,280543,354956,4826256,120656
"JORDAN",199208,231526,556064,221767,67202
"JORDAN",199208,231526,353800,9083571,111227
"JORDAN",199212,24511,170112,4728440,70926
"IRAN",199201,3172,527666,8383518,101618
"JORDAN",199212,199498,156712,7179193,106122
"EGYPT",199207,265579,418816,2232674,104087
"EGYPT",199204,134720,205960,4851470,111957
"SAUDI ARABIA",199202,210106,599478,6467545,94647
"EGYPT",199212,226972,437174,220007,66669
"IRAQ",199202,275929,291682,6793426,100420
"JORDAN",199208,64753,175597,6690360,100355
"JORDAN",199207,95192,335593,5804259,97714
"IRAQ",199205,197188,134227,3620962,75673
"JORDAN",199205,197188,363812,3714084,112548
"JORDAN",199203,275482,558285,6055416,80595
"EGYPT",199209,86731,184190,1911285,76451
"IRAQ",199206,223859,32357,1148810,77361
"JORDAN",199206,39637,167147,4687794,72848
"IRAQ",199206,39637,483211,2507799,71651
"IRAN",199202,158014,124296,914960,79217
"SAUDI ARABIA",199201,221737,475800,5916898,106546
"JORDAN",199211,66412,107838,1808913,110749
"IRAN",199210,173509,33762,7810670,101745
"SAUDI ARABIA",199211,229222,203300,360987,72197
"EGYPT",199211,74495,160170,1205566,73810
"IRAN",199211,87352,109515,905558,91470
"JORDAN",199211,87352,446386,130571,79941
"EGYPT",199211,280006,14171,4015129,65110
"EGYPT",199201,291790,52796,2098548,104927
"JORDAN",199207,222404,454060,3513648,60842
"IRAN",199202,74327,296685,2830250,100900
"SAUDI ARABIA",199212,124622,403034,2319099,56220
"EGYPT",199212,124622,379099,5183552,70684
"EGYPT",199203,6371,210311,1831950,73278
"JORDAN",199203,6371,290850,7937702,110450
