"s_nation","d_yearmonthnum","lo_partkey","lo_revenue","lo_supplycost"
"SAUDI ARABIA",199205,70722,4231800,101563
"SAUDI ARABIA",199207,119689,5525871,102520
"SAUDI ARABIA",199210,220476,4147486,83787
"IRAQ",199206,116964,594288,118857
"IRAN",199208,257570,7026776,91653
"EGYPT",199202,532198,5358620,73810
"IRAQ",199202,438645,2508454,95017
"IRAN",199202,385502,1746239,95249
"IRAQ",199211,468084,2886852,63123
"EGYPT",199209,527599,4303904,97594
"SAUDI ARABIA",199209,2404,5173344,78384
"JORDAN",199201,99607,4612548,96396
"EGYPT",199204,26770,339354,101806
"IRAN",199207,179343,2675421,85340
"SAUDI ARABIA",199207,190961,1231176,123117
"SAUDI ARABIA",199208,51345,1143371,77780
"IRAQ",199210,161844,5849022,114350
"EGYPT",199210,377906,8641824,119033
"SAUDI ARABIA",199206,350128,461819,70686
"EGYPT",199209,564246,4879259,78613
"IRAN",199209,313670,166682,101019
"IRAN",199208,2985,4440528,113278
"EGYPT",199204,15822,8167754,104269
"IRAN",199201,581487,6148363,94107
"EGYPT",199210,383939,2775446,121375
"EGYPT",199205,349955,1964841,120296
"SAUDI ARABIA",199203,312814,180853,109608
"SAUDI ARABIA",199211,371955,9230684,121616
"IRAN",199204,93821,544446,108889
"IRAN",199204,289570,5502127,93573
"JORDAN",199201,46963,8130699,114597
"EGYPT",199206,438494,3649933,85948
"IRAN",199212,589194,4876046,76990
"IRAN",199203,598601,4879494,101974
"IRAN",199202,427432,4844937,81564
"JORDAN",199206,69823,7632034,107569
"EGYPT",199210,274930,1904920,114295
"IRAN",199202,134167,1545892,72069
"JORDAN",199204,357317,4122900,82458
"SAUDI ARABIA",199205,553942,197596,119755
"JORDAN",199206,304253,502896,75434
"EGYPT",199209,242071,3039180,60783
"IRAN",199203,166155,2296983,73269
"SAUDI ARABIA",199210,108248,4924460,75374
"IRAQ",199204,594521,3358624,96930
"IRAQ",199209,494508,4859020,90148
"IRAN",199203,135329,1364320,81859
"SAUDI ARABIA",199202,8,269676,54480
"IRAN",199204,317465,3261390,88947
"IRAQ",199206,18398,6450311,78983
"IRAN",199201,143566,1419631,96573
"SAUDI ARABIA",199212,425106,4899692,61864
"IRAQ",199212,319150,2199152,70148
"IRAN",199206,400316,1946064,72977
"IRAN",199209,224833,3867204,105469
"JORDAN",199201,395669,5470415,105879
"SAUDI ARABIA",199202,375679,8081963,105279
"JORDAN",199206,7412,4963620,79164
"SAUDI ARABIA",199205,540468,2240033,90506
"EGYPT",199208,492890,4243988,112972
"IRAN",199201,238078,3657816,60963
"SAUDI ARABIA",199203,234545,4833624,88771
"EGYPT",199202,405315,3050725,73217
"IRAN",199211,552234,4456717,77172
"EGYPT",199201,339763,7932100,108165
"IRAN",199212,344715,1034703,105582
"EGYPT",199202,395813,8503704,114528
"IRAQ",199212,459640,950174,95977
"EGYPT",199209,436357,3329031,77599
"IRAN",199204,111940,573870,117116
"IRAQ",199201,67284,500512,75076
"EGYPT",199206,417903,2704006,109252
"IRAN",199211,524065,1078149,65342
"IRAN",199207,401693,7016548,95680
"EGYPT",199212,92442,284019,86066
"JORDAN",199201,93728,5795309,103303
"JORDAN",199201,180358,6904080,86301
"EGYPT",199205,582638,8430989,103236
"EGYPT",199203,431274,1193197,72315
"IRAQ",199211,45484,1286532,85768
"JORDAN",199210,271074,1758835,62703
"IRAN",199212,524600,796044,97474
"JORDAN",199206,403259,1265668,69733
"IRAN",199204,224916,2164898,110454
"SAUDI ARABIA",199201,504692,2687525,101800
"IRAQ",199202,97686,3833739,101020
"SAUDI ARABIA",199203,187993,6034871,124859
"SAUDI ARABIA",199212,12807,1203860,103188
"IRAN",199203,559864,942681,115430
"IRAN",199212,399662,4756455,105699
"JORDAN",199203,201550,2730346,87092
"IRAN",199210,501685,1335834,101199
"IRAQ",199204,182506,157261,95310
"SAUDI ARABIA",199205,60597,2621423,93455
"IRAQ",199207,336214,5125820,75012
"SAUDI ARABIA",199207,251647,6330574,95917
"EGYPT",199205,482442,4415702,85465
"IRAQ",199211,325749,1932680,106483
"IRAN",199203,184015,5062040,65940
"IRAQ",199206,106705,6038877,102702
"JORDAN",199208,542582,6686688,97473
"IRAN",199203,272447,3794136,85165
"SAUDI ARABIA",199202,268009,4352490,58619
"IRAQ",199206,308518,3968900,91590
"IRAQ",199205,542481,4675498,91407
"IRAN",199201,565376,3852728,86481
"SAUDI ARABIA",199201,101381,5283456,82942
"IRAN",199201,497494,1033588,89488
"EGYPT",199201,379661,689297,104439
"JORDAN",199201,367314,1093989,82878
"JORDAN",199205,194240,533696,80054
"IRAQ",199207,351815,8213920,112008
"IRAN",199207,465605,3612334,94234
"EGYPT",199202,203367,5407879,76221
"SAUDI ARABIA",199211,245780,2050214,103546
"JORDAN",199211,544241,2544735,77113
"JORDAN",199211,157631,1337394,101317
"IRAQ",199207,275260,4157851,74115
"SAUDI ARABIA",199206,286688,4595294,100480
"JORDAN",199206,361208,746283,76151
"IRAN",199204,142732,5446646,106483
"EGYPT",199212,63908,561570,112314
"EGYPT",199204,151052,1747231,66183
"EGYPT",199210,233416,3643380,80964
"SAUDI ARABIA",199206,201601,150259,90155
"IRAQ",199210,27186,1432662,66790
"EGYPT",199210,480075,3446848,63303
"IRAN",199210,10132,722196,62527
"JORDAN",199209,11385,4620298,77782
"IRAQ",199208,94372,956459,81982
"IRAN",199211,957,7060210,111477
"JORDAN",199202,132202,1604460,74052
"SAUDI ARABIA",199203,143406,1721887,86964
"IRAQ",199210,187121,3196685,72487
"IRAQ",199205,40086,2844293,61564
"SAUDI ARABIA",199205,143205,3460010,74892
"JORDAN",199210,386027,4517707,66780
"IRAQ",199206,453514,2934980,88049
"SAUDI ARABIA",199205,450061,1415456,60662
"JORDAN",199203,270947,958965,115075
"IRAN",199212,447438,2194489,83124
"IRAN",199212,351175,1103544,73569
"IRAN",199210,86309,3238250,77718
"IRAN",199208,214321,856069,74118
"SAUDI ARABIA",199208,277881,7468939,111532
"EGYPT",199201,430339,2284758,76158
"EGYPT",199209,145779,361304,109486
"IRAQ",199209,556393,4161141,86962
"EGYPT",199210,490072,1699280,63723
"SAUDI ARABIA",199207,404830,1020068,104088
"SAUDI ARABIA",199207,504356,1466435,81619
"IRAQ",199207,500914,4316162,114893
"SAUDI ARABIA",199207,66854,6309245,109251
"EGYPT",199210,387926,7975083,120834
"JORDAN",199212,486724,7208889,102642
"IRAQ",199210,41067,1097777,60483
"EGYPT",199210,198310,6692289,84498
"JORDAN",199209,73166,1708740,68349
"JORDAN",199207,74731,8023753,102343
"IRAN",199211,358636,4575474,101677
"JORDAN",199211,530996,5675516,121618
"SAUDI ARABIA",199205,510540,6907566,93031
"EGYPT",199205,29198,1436040,67631
"JORDAN",199204,120629,3919497,98977
"IRAQ",199211,519215,370257,74051
"IRAQ",199204,595965,10098606,123656
"JORDAN",199201,246349,1036264,77719
"IRAQ",199204,383281,1871778,81856
"IRAQ",199208,418797,7134171,102946
"JORDAN",199204,18768,6241012,101205
"JORDAN",199211,193923,8269372,121015
"IRAQ",199211,79026,2487424,60301
"JORDAN",199207,418874,7350685,107571
"SAUDI ARABIA",199208,442349,4985786,77479
"EGYPT",199210,333504,1537490,92249
"JORDAN",199203,547601,3100978,98914
"IRAQ",199203,22943,3694561,111956
"IRAN",199202,149724,4079556,106423
"IRAQ",199202,5167,1501024,64329
"JORDAN",199202,231565,1319957,89793
"JORDAN",199207,465172,1783051,68229
"IRAQ",199202,428098,4672722,61564
"JORDAN",199209,519724,6277320,104622
"IRAN",199209,239599,5880452,92314
"EGYPT",199201,423031,373971,57240
"IRAN",199207,502551,4660590,93211
"JORDAN",199205,221773,7639978,101685
"EGYPT",199210,443414,3897066,81443
"EGYPT",199211,138888,1156128,115612
"JORDAN",199202,424804,7606632,103726
"IRAN",199210,275691,333336,100000
"SAUDI ARABIA",199204,511022,2024680,61980
"EGYPT",199210,115796,8430258,108707
"EGYPT",199208,338886,9431863,115492
"IRAQ",199202,416023,650727,56340
"EGYPT",199212,92264,1741176,75375
"EGYPT",199204,431926,1114740,111474
"SAUDI ARABIA",199204,219291,958541,72616
"SAUDI ARABIA",199208,543360,6601311,84200
"JORDAN",199207,380940,6602378,121255
"SAUDI ARABIA",199208,488584,6538704,94353
"SAUDI ARABIA",199204,252167,4277391,67149
"EGYPT",199211,564379,4041380,86601
"JORDAN",199211,107053,2098899,63603
"JORDAN",199207,267889,4913278,111412
"SAUDI ARABIA",199211,105560,6509598,93933
"IRAN",199204,103563,3446432,93993
"IRAN",199212,440184,4229089,67449
"EGYPT",199207,502506,3104451,90508
"IRAQ",199206,582042,5507698,67441
"IRAN",199208,515700,6284535,102940
"JORDAN",199210,510385,828843,83721
"EGYPT",199210,437589,4338483,91593
"IRAN",199205,128213,2606541,74472
"IRAN",199208,198020,4427359,67081
"SAUDI ARABIA",199212,488167,1501682,69308
"IRAN",199212,87236,5812788,73393
"IRAQ",199212,67471,6760809,86308
"JORDAN",199205,30340,4192122,76220
"SAUDI ARABIA",199212,228934,1825661,111775
"SAUDI ARABIA",199209,551605,328002,99394
"IRAQ",199206,581004,2169960,65098
"IRAQ",199208,107801,2686068,108528
"JORDAN",199209,33997,955840,115859
"SAUDI ARABIA",199202,101384,2078070,83122
"IRAN",199202,350116,3656889,69966
"EGYPT",199212,26925,8250303,111115
"EGYPT",199211,217620,3767144,92256
"IRAQ",199206,204774,658073,100725
"EGYPT",199208,351182,3746370,73990
"IRAQ",199208,112094,3318270,66365
"IRAQ",199205,343387,2002518,85822
"IRAN",199202,151971,9912553,121378
"IRAN",199211,63817,8638709,106848
"JORDAN",199211,416588,1327021,90273
"EGYPT",199206,484092,2152140,64564
"IRAQ",199211,56445,2774851,84086
"EGYPT",199207,458426,2192889,83064
"EGYPT",199208,341467,4629433,90507
"JORDAN",199201,71989,2523781,117658
"EGYPT",199207,506074,2566198,64803
"SAUDI ARABIA",199202,139352,964205,83481
"JORDAN",199203,111221,966060,73933
"JORDAN",199210,48331,3008984,76759
"EGYPT",199206,362219,1130018,76872
"IRAN",199210,293110,2757750,66186
"SAUDI ARABIA",199204,181219,257441,78012
"EGYPT",199202,344971,5531794,120957
"JORDAN",199211,134114,225029,68886
"SAUDI ARABIA",199205,9516,3245886,85530
"IRAQ",199212,428828,521769,105408
"JORDAN",199205,402732,4165241,98082
"IRAQ",199211,22549,1748189,88292
"IRAQ",199211,266623,6387052,95376
"JORDAN",199201,283487,6764162,88228
"IRAQ",199211,26263,5827374,71355
"IRAQ",199203,415427,1993464,80544
"IRAN",199209,444829,526818,106428
"EGYPT",199201,189074,1163070,69784
"SAUDI ARABIA",199210,480761,6656930,104504
"EGYPT",199211,15194,4502202,66551
"IRAN",199211,66325,6456600,77479
"JORDAN",199203,69141,2719843,66608
"SAUDI ARABIA",199209,411130,1145221,62466
"SAUDI ARABIA",199202,267798,4672253,105946
"IRAQ",199205,413330,1616303,74598
"IRAQ",199204,107085,4432752,65524
"SAUDI ARABIA",199204,377145,1796531,73327
"IRAN",199201,314296,5448144,78616
"IRAN",199203,131205,4326700,74172
"SAUDI ARABIA",199202,113169,3073616,70929
"IRAN",199207,173181,1843644,75250
"JORDAN",199204,447458,6261190,84325
"SAUDI ARABIA",199204,560285,922848,80715
"IRAN",199209,215682,3994175,95860
"JORDAN",199212,555525,3407558,94830
"IRAN",199202,34153,4687790,65229
"JORDAN",199203,373981,8748007,123298
"IRAN",199206,294708,5108070,102161
"IRAN",199208,101271,748094,76336
"IRAQ",199212,560327,1903375,83238
"SAUDI ARABIA",199209,6171,4158953,64630
"JORDAN",199201,187892,4355758,118793
"EGYPT",199203,559619,3860757,100715
"IRAN",199201,421182,655277,66189
"IRAQ",199201,156383,5325706,86362
"IRAN",199205,257249,2985419,72373
"EGYPT",199201,526291,521638,79036
"IRAN",199205,264048,3506683,60721
"IRAQ",199205,252608,4741072,93635
"SAUDI ARABIA",199205,333436,6336139,88165
"SAUDI ARABIA",199202,454519,583502,88409
"IRAQ",199201,446801,7267269,104866
"IRAN",199201,185019,2097619,66240
"IRAN",199207,341600,3775657,98495
"EGYPT",199204,66709,2955934,100542
"EGYPT",199203,204937,5470502,110515
"IRAN",199212,541211,876533,75131
"IRAQ",199204,581717,3417511,107921
"EGYPT",199202,557163,2869769,73208
"SAUDI ARABIA",199202,330315,3228720,80718
"SAUDI ARABIA",199208,582038,4928044,67200
"SAUDI ARABIA",199201,201400,1952085,78083
"JORDAN",199207,10316,1942475,73578
"IRAQ",199205,215669,1397661,95079
"SAUDI ARABIA",199204,532907,7371544,116392
"EGYPT",199209,17952,3665102,112197
"IRAN",199212,234494,5656780,85708
"EGYPT",199209,379083,115044,69724
"IRAN",199205,63121,2337362,65047
"IRAQ",199201,99646,1974768,98738
"EGYPT",199203,363535,3481576,95911
"SAUDI ARABIA",199205,525470,3077636,89727
"IRAQ",199201,209127,913849,62166
"IRAN",199204,495132,5191468,67626
"SAUDI ARABIA",199202,219318,4971471,74238
"EGYPT",199206,163599,3421610,99755
"SAUDI ARABIA",199208,186342,5427692,85700
"EGYPT",199210,492407,5317644,83962
"IRAQ",199212,516518,1994837,92069
"IRAQ",199212,51962,2870940,114837
"SAUDI ARABIA",199209,534836,9260509,112248
"SAUDI ARABIA",199209,259643,2221245,96157
"IRAQ",199207,340136,5645376,70567
"EGYPT",199203,12397,259259,78563
"IRAN",199203,156012,3977269,64080
"JORDAN",199203,83279,2102941,75736
"EGYPT",199209,245965,7261610,114657
"SAUDI ARABIA",199210,403517,6534254,85229
"EGYPT",199210,102979,3107728,118918
"JORDAN",199207,498894,7382193,113572
"IRAN",199212,260441,3363432,84085
"SAUDI ARABIA",199208,52735,1670852,101263
"IRAQ",199209,278075,1754397,63183
"SAUDI ARABIA",199210,225114,305495,62346
"SAUDI ARABIA",199210,425066,392451,59462
"IRAQ",199212,20920,5649783,110455
"IRAN",199209,389662,2574925,105099
"JORDAN",199205,228876,1624374,108291
"JORDAN",199206,279526,1505510,90330
"EGYPT",199211,323829,7337127,111168
"SAUDI ARABIA",199207,586203,252679,77350
"IRAN",199212,308656,1812792,99878
"JORDAN",199209,164392,6408116,87383
"EGYPT",199209,524027,2677948,63060
"SAUDI ARABIA",199212,13385,1558056,77902
"IRAQ",199209,369625,3985722,101676
"IRAN",199209,472546,3037040,91111
"SAUDI ARABIA",199211,534057,962288,65461
"IRAN",199211,2108,808080,60606
"JORDAN",199203,293157,2163413,69008
"IRAN",199206,392300,5012244,83537
"EGYPT",199201,409861,876565,106250
"EGYPT",199208,226033,4177491,57541
"SAUDI ARABIA",199212,95199,2223581,71651
"SAUDI ARABIA",199208,308851,7180842,111590
"SAUDI ARABIA",199209,188279,4375264,82036
"IRAQ",199204,234875,8062926,108591
"IRAN",199204,162889,1366316,117112
"IRAN",199209,552750,3244914,108163
"SAUDI ARABIA",199201,444972,8817970,115017
"SAUDI ARABIA",199212,506978,8932275,119097
"SAUDI ARABIA",199212,96373,4338164,82162
"IRAN",199212,390422,5390229,90744
"EGYPT",199207,232701,2287166,98021
"SAUDI ARABIA",199205,259650,7726272,96578
"JORDAN",199211,318542,2652901,93631
"IRAQ",199203,549552,2722601,96091
"IRAQ",199203,410242,230444,69133
"EGYPT",199212,30573,2504947,90214
"JORDAN",199206,297705,1001181,102161
"EGYPT",199206,310155,1048626,69908
"IRAQ",199207,517413,143039,85823
"IRAQ",199212,353714,2078815,106062
"JORDAN",199201,173503,3277543,94590
"SAUDI ARABIA",199203,400530,3719326,85830
"SAUDI ARABIA",199203,298668,4166625,99999
"SAUDI ARABIA",199205,453273,6131250,73575
"JORDAN",199203,98125,1871117,67387
"IRAN",199208,560962,3766714,121376
"IRAQ",199208,283762,513250,104745
"SAUDI ARABIA",199211,561596,2599069,99454
"EGYPT",199207,162101,5699190,69786
"SAUDI ARABIA",199210,3752,7947600,99345
"IRAQ",199203,318985,3406749,120238
"EGYPT",199202,196084,1062072,70804
"IRAN",199205,246625,3388391,94296
"IRAN",199203,262876,1456377,110331
"IRAN",199202,280468,1864155,86907
"EGYPT",199203,212633,3400364,92737
"EGYPT",199207,486632,1281939,97116
"SAUDI ARABIA",199209,95253,733971,74895
"JORDAN",199204,365823,3399858,113328
"EGYPT",199206,423697,4171604,97240
"SAUDI ARABIA",199204,388543,2078569,97891
"IRAN",199210,594062,3699328,69362
"SAUDI ARABIA",199209,452535,1041257,89250
"EGYPT",199207,66493,5400113,87569
"IRAQ",199204,62917,6886110,112794
"IRAN",199207,469518,7288701,89249
"IRAN",199207,145997,4449632,122579
"JORDAN",199201,473179,4378170,69129
"SAUDI ARABIA",199209,320932,781168,117175
"IRAQ",199202,406674,3286171,94839
"EGYPT",199201,37096,911185,61985
"IRAQ",199210,61387,533958,80902
"JORDAN",199210,590880,3476597,118251
"EGYPT",199212,193073,4271314,69964
"IRAQ",199212,265328,5043909,77598
"JORDAN",199206,59149,1551396,66488
"JORDAN",199206,454112,3905087,63965
"EGYPT",199207,65060,1406382,61503
"JORDAN",199207,172836,9448708,114529
"EGYPT",199203,194844,8637532,116330
"IRAQ",199203,542430,3789983,88344
"JORDAN",199209,258461,4968075,85167
"JORDAN",199206,361438,6828358,89965
"IRAN",199204,284799,2648913,107026
"IRAN",199212,364419,5088062,89004
"JORDAN",199202,161482,458413,92608
"IRAN",199203,386335,4548224,85279
"IRAQ",199203,36117,1263732,63186
"IRAQ",199209,83764,4967133,104865
"IRAN",199202,377336,3324128,84799
"IRAQ",199202,249532,3407496,88891
"EGYPT",199202,298074,4727784,64323
"EGYPT",199202,324285,6022642,78556
"EGYPT",199202,121661,6829916,100959
"EGYPT",199210,4375,4559674,76762
"IRAQ",199203,255446,6729666,84085
"IRAQ",199209,133241,2166208,76454
"SAUDI ARABIA",199202,540412,4211931,87143
"IRAN",199212,543824,2013488,112068
"IRAQ",199201,75748,675706,103424
"IRAQ",199209,459333,646155,77538
"JORDAN",199205,357495,2483968,93148
"JORDAN",199201,383087,2925175,70204
"IRAN",199204,324953,6461929,118676
"JORDAN",199209,454107,2495660,63664
"EGYPT",199208,368183,4781971,75070
"JORDAN",199204,588963,1206540,123116
"SAUDI ARABIA",199204,490884,5695824,112491
"IRAQ",199201,130974,4168332,120298
"JORDAN",199203,532815,7945497,110867
"SAUDI ARABIA",199208,167552,5713772,97173
"JORDAN",199201,285757,8197848,104564
"IRAQ",199212,425271,4454835,71775
"SAUDI ARABIA",199209,511557,1254824,94111
"IRAN",199202,268579,909965,92853
"IRAN",199202,347500,2578118,92849
"IRAN",199210,180715,897855,107742
"IRAN",199204,295666,162841,99699
"IRAQ",199210,551497,3793751,92908
"EGYPT",199212,216945,1824691,111715
"EGYPT",199205,41671,7095748,96760
"EGYPT",199204,426329,3321523,75318
"IRAN",199201,268706,1507221,100481
"JORDAN",199209,307441,4445231,86905
"SAUDI ARABIA",199209,76759,2041242,104145
"IRAN",199206,216563,4833689,88773
"IRAN",199205,426638,6970337,93876
"EGYPT",199212,3796,1332635,101987
"IRAN",199209,45014,854477,57540
"EGYPT",199201,444873,8543895,109071
"EGYPT",199208,458747,6311164,102343
"SAUDI ARABIA",199211,500689,4470840,101379
"JORDAN",199211,79146,675084,67508
"SAUDI ARABIA",199209,365787,4817202,111166
"IRAQ",199212,343920,3305260,117834
"SAUDI ARABIA",199208,132763,5866747,107745
"EGYPT",199201,467802,5256246,106186
"EGYPT",199206,182634,2186986,102997
"JORDAN",199201,485130,546403,66906
"IRAN",199201,338217,5094856,75312
"IRAQ",199209,469197,3381893,69970
"EGYPT",199203,64307,6167076,76278
"IRAQ",199212,103081,5099512,65044
"IRAN",199211,378512,5884850,95430
"EGYPT",199202,532533,1380779,93930
"JORDAN",199205,185168,992502,75189
"JORDAN",199202,182259,5257700,80475
"SAUDI ARABIA",199202,288468,6776861,87387
"JORDAN",199206,271136,332136,66427
"SAUDI ARABIA",199205,260500,4626832,87629
"JORDAN",199201,585313,5033844,83897
"JORDAN",199201,270218,931548,71292
"EGYPT",199211,409703,483804,96760
"EGYPT",199203,585214,3507813,77951
"EGYPT",199206,133953,6425796,119217
"JORDAN",199212,217640,1831772,93457
"IRAN",199212,568378,6236661,86781
"JORDAN",199205,484997,5438525,118918
"SAUDI ARABIA",199202,427174,1982070,66069
"IRAQ",199207,257936,2272704,113635
"IRAQ",199207,184224,4186304,78493
"IRAQ",199206,123647,6548908,100238
"IRAQ",199202,569328,4890550,83838
"IRAN",199206,449748,7809512,101863
"IRAN",199203,346645,8373568,101497
"IRAN",199212,418338,1354302,75378
"EGYPT",199206,369413,1320818,88944
"IRAQ",199207,367666,2231207,104019
