"d_yearmonthnum","lo_custkey","lo_partkey","lo_revenue","lo_suppkey","lo_supplycost"
199210,142903,506874,6330941,2188,112851
199212,200452,359801,4011863,5124,111647
199211,41164,56695,4694102,416,99101
199201,271528,396953,3214305,17980,122996
199201,271528,181216,513695,1380,77832
199206,260749,278840,1960698,16664,109129
199206,260749,453453,3307923,5783,84385
199206,260749,579488,1843332,499,94047
199210,41020,219649,5226675,11182,94117
199210,41020,9909,7821270,6086,109134
199210,41020,337307,5511589,3139,80657
199209,204880,455252,4587474,2121,72433
199210,95960,76714,3550491,1935,101442
199210,95960,532157,5826737,6587,71347
199206,239222,249354,2193521,3337,78200
199206,239222,9031,2671565,1216,56401
199206,239222,574546,1782572,15583,97231
199207,123604,288263,1251250,4262,75075
199207,123604,5875,352612,14075,106852
199208,120329,130440,5293584,3024,88226
199208,120329,44776,2237001,17118,103246
199204,252272,227474,6104759,17522,84087
199204,252272,552276,5259870,19652,79695
199204,252272,92596,2700603,17319,95315
199204,96742,428781,3761472,18382,102585
199204,96742,514575,476865,11372,95373
199204,96742,108624,808146,14432,97957
199205,204511,6085,1748265,18465,59464
199211,168157,525913,7173893,16344,116333
199211,168157,416850,4547820,8395,106009
199211,168157,228528,4369530,10622,87390
199210,5893,38832,3470826,1955,106249
199204,113767,16683,5859627,8167,95980
199204,113767,12751,3788358,16004,99825
199203,176110,23855,6339821,261,106731
199211,255235,564080,4690646,13232,68643
199208,184960,201002,1251544,19674,54179
199208,184960,385249,3170130,14225,80053
199207,68446,180700,3315663,16032,106842
199211,65792,517144,4368133,12396,69667
199211,65792,329170,2758068,12327,71949
199211,65792,357339,547357,16145,83779
199207,40573,531231,2874052,6528,75732
199201,298777,1550,6970343,17809,87093
199205,197293,323156,4786129,8878,70748
199208,237760,115202,5129280,19160,73032
199204,73759,84472,4282021,18095,87388
199202,222952,61653,6804135,18341,96879
199201,60139,182396,4244457,5747,88703
199201,60139,527940,5978540,13006,118075
199202,141233,193967,4488770,19896,123657
199202,141233,39335,1892380,9510,76459
199207,46567,361556,1585189,17418,97052
199207,46567,455172,4508600,16757,67629
199207,46567,67651,4694085,11173,97119
199209,221191,593173,6330750,2500,75969
199209,221191,447791,3825294,13443,104326
199207,106133,508063,4198476,19839,64262
199211,142372,545966,6035820,13257,120716
199207,263092,137116,2397315,3373,69186
199211,195028,343841,1292993,10762,113089
199211,195028,149252,4895302,3382,78075
199201,216949,440303,3481184,13885,74596
199201,216949,357324,4602524,14330,82878
199201,216949,438784,8103863,8023,103365
199201,216949,30063,2261197,6343,59583
199201,280579,572867,1330730,6841,116390
199203,182203,57211,1752315,14166,70092
199203,182203,331848,5895146,1126,112789
199207,176917,328679,3179662,15911,102459
199207,176917,503405,5915196,9576,84502
199205,45521,296736,6282842,12022,103963
199210,256009,341727,5659872,3113,106122
199208,166271,525315,1313484,10970,80417
199209,223586,409804,3526959,18605,102826
199209,223586,527352,965531,5033,82759
199209,223586,596185,4946558,7282,76869
199211,51511,190749,728537,4602,110384
199212,152140,397337,5593848,13056,86059
199211,152348,580731,2663213,13630,108702
199203,271930,402975,1673253,13372,112677
199203,104434,64602,3722241,14627,93996
199212,271745,509906,5172876,11049,114952
199212,271745,177140,4503418,17105,73028
199205,49951,370669,852428,19655,104379
199201,13552,237227,1629894,16887,69852
199201,13552,436901,6368254,6444,110272
199205,87452,19770,7617483,3214,101386
199210,80953,599867,4626007,13278,118010
199210,80953,155989,400816,10211,122698
199206,274459,58671,3748241,17691,97780
199206,274459,487062,1869389,7797,62942
199209,1046,249509,4764886,8604,87509
199201,122131,311645,6068235,6201,99397
199203,80320,299323,2115696,9958,79338
199203,80320,248648,1738730,5980,95797
199203,80320,16575,2805643,13163,89494
199212,151778,369045,2183498,5318,66841
199204,26741,80952,6630018,15646,115977
199204,26741,344681,7420381,9803,103540
199204,26741,40064,2409744,17882,60243
199204,26741,154266,5822346,15158,79215
199211,251452,296277,1909890,13551,76395
199211,279476,274264,4732591,165,74295
199202,266635,262250,1333464,16533,72734
199202,266635,592727,534991,775,109182
199202,266635,225306,4754010,1133,73877
199203,259859,203534,3306296,17763,86251
199211,46835,231618,4958720,11474,92976
199205,284800,574481,2591396,7225,93327
199205,284800,479236,952724,18607,72912
199201,50629,402311,121329,7408,72797
199201,50629,238170,877662,840,66489
199201,50629,476866,6501539,18850,110570
199201,50629,472067,5091296,6441,62342
199201,50629,229245,4882448,8157,70453
199204,218414,585890,4742088,5451,118552
199204,25534,211910,8838036,16769,109314
199204,25534,568150,2865041,16197,73087
199204,25534,496239,4842023,7708,74112
199209,120493,461710,5957903,6926,100301
199203,65830,354018,3361792,8732,64320
199203,65830,379671,7548845,17500,105039
199203,65830,117661,7976992,10498,100719
199203,65830,522674,1847651,16081,101799
199204,294407,498261,863838,14141,75554
199204,294407,67869,6061638,3528,110211
199204,294407,62033,3781114,9006,59701
199206,163996,589067,1030031,7425,69362
199201,87010,192924,5534428,7291,121015
199201,87010,68818,5306825,13373,107208
199203,166819,52636,635452,4717,95317
199203,166819,83748,7966004,18021,103904
199205,9439,239609,2168026,1122,92915
199205,9439,533965,3330234,7547,119936
199210,85261,123696,2359414,11655,103181
199210,85261,549531,2942909,18479,94830
199203,183052,372550,7788192,4035,97352
199207,299666,70103,2443448,15673,64386
199206,82339,332634,1484958,13202,99997
199205,63983,323393,140221,4535,84982
199205,63983,458945,942440,4024,114235
199208,161131,94655,6695929,19837,98979
199208,161131,263571,2886507,11119,92073
199202,74318,468067,5123448,887,62102
199211,189223,550868,2256555,1260,115130
199211,189223,432314,616913,11860,74777
199205,284518,173537,2576848,8362,96631
199201,101900,387608,3730298,7555,101735
199210,8633,48057,1005050,7735,60303
199204,24638,348216,4171860,6058,75852
199203,195398,206454,6121980,6604,81626
199203,242455,143377,142037,11385,85222
199208,34679,17950,1464472,12816,112077
199205,244541,32166,2905731,4128,65889
199204,94186,533955,389830,19204,119335
199204,94186,569342,1411320,8437,84679
199204,94186,154726,7503954,13163,106843
199212,107411,354410,3157246,18843,87864
199204,97516,171597,5005770,7619,100115
199204,97516,9298,4587702,7390,72437
199211,29884,185733,4546825,4992,109123
199212,73286,204168,5043393,19979,64329
199201,215969,93841,3416472,365,110090
199203,112930,150162,3326167,1079,72729
199203,112930,349696,6843065,6788,104740
199207,211678,566918,8646180,13928,119093
199203,206806,130461,7161990,1675,89487
199203,206806,64670,2751149,18601,98080
199210,49820,591485,936417,5565,94587
199210,49820,506649,2317868,16987,99337
199205,72109,10834,3627501,18213,104689
199202,263821,193295,3023695,9229,83297
199202,263821,293341,6538217,17237,80059
199202,263821,576721,5873085,9870,107862
199202,263821,538471,4632502,2256,90567
199209,6568,420041,856268,18973,57661
199211,298849,371952,7614062,8457,121436
199202,10009,402855,7309057,18380,105469
199208,189448,366961,5272670,11508,121677
199208,189448,97695,2488254,10179,101561
199208,189448,240191,4988503,13440,67870
199207,201562,141781,535897,16842,109366
199206,264046,18549,3307835,12765,88052
199206,264046,319695,6049391,10291,102880
199202,208426,6131,2642607,13156,62227
199202,208426,430970,6653325,18299,114057
199202,208426,37574,1925740,3644,90694
199204,112741,151606,1299558,8563,99456
199204,112741,436034,3937270,17409,58200
199209,276214,555937,8007512,397,119574
199209,276214,417564,7259546,17753,88892
199209,276214,392930,606876,19217,121375
199204,183430,427371,4370246,19338,77901
199204,183430,211867,2789236,16971,106731
199201,271181,29284,840803,19262,72796
199205,253102,112000,4462920,9095,60720
199204,79667,113442,6275857,6617,87326
199204,170597,38107,2403730,12760,62706
199203,123485,112460,1731612,5980,88347
199202,190291,523457,1465625,6890,88825
199208,214777,394303,5671600,2807,83837
199202,238903,220478,1258614,5081,83907
199202,238903,557784,6077808,3117,110505
199212,171790,238944,1118460,11419,112975
199204,287441,18668,6911490,8365,95199
199204,287441,552928,6988615,6239,118854
199204,287441,259349,3497166,11223,78499
199204,287441,465052,3254496,3792,61021
199211,209317,372967,7472336,15627,122397
199211,209317,289705,2711504,5712,101681
199205,226412,541921,3497887,5117,117774
199205,226412,53582,6536964,19072,92134
199209,20575,69140,1195652,15493,66548
199205,151753,197445,604636,5394,92546
199205,79334,34840,8785458,14173,106490
199205,79334,539374,2544030,11806,84801
199205,254332,275567,152712,12440,92553
199205,254332,45581,5037714,15765,91594
199210,257365,163955,3997521,16690,121137
199210,257365,374930,3207872,5028,120295
199212,32332,575687,4582916,7398,105759
199207,90493,158541,2508078,19394,95972
199208,251173,144152,5023830,14231,71769
199208,251173,555370,7126750,8883,85521
199201,131395,565975,6400419,10432,122457
199201,131395,591076,914967,11023,70023
199201,131395,598602,6166303,2799,102034
199209,78308,124148,3945423,16419,70328
199209,78308,351756,3011694,8006,108464
199209,78308,162764,904246,15016,109605
199207,14465,11769,3459004,14643,100845
199207,14465,174166,1458428,10104,74409
199207,14465,397083,1888112,11610,70804
199208,36970,89126,1226632,1969,66907
199212,255076,359497,4468654,12933,93388
199210,57869,592969,9594206,18198,123716
199201,120496,400860,4930352,19965,105650
199201,120496,458888,1846860,19810,110811
199204,264871,310663,2651061,8809,100419
199204,264871,27029,4497118,6402,57361
199203,217162,458232,5773708,2163,71412
199206,36044,41692,1293882,14167,98021
199211,33934,566685,7532138,12916,105099
199209,115408,520846,5359640,18777,112009
199209,66442,382283,5136145,11201,81916
199209,66442,139494,3833725,19440,92009
199212,69869,246549,5832567,14221,89731
199212,69869,480539,6837795,8638,91170
199202,75119,17410,5575122,18176,79644
199201,46637,167576,1771768,1079,98614
199201,46637,87255,2981400,1843,74535
199210,262453,383231,131422,11862,78853
199210,262453,555031,322544,15943,65160
199204,259678,328727,1042891,4759,105342
199203,54499,54265,1911799,17252,73155
199203,54499,15147,420607,2786,63728
199203,54499,166376,5336769,13740,86542
199212,84526,165993,1816029,3139,123539
199212,63260,250709,985855,18176,99581
199204,10585,471754,1183850,9826,103543
199207,204214,16575,2067316,10755,89494
199209,131995,413456,2875803,13222,82165
199204,201355,12844,1756840,14174,105410
199204,201355,455823,7495863,1008,106728
199204,201355,230247,3807161,9406,70633
199202,95209,424337,499478,9247,75678
199202,95209,534146,1888192,11361,70807
199202,95209,177222,5729560,17929,77953
199208,44677,496093,1524698,16781,65344
199208,44677,314114,3835540,12724,67686
199209,233297,310452,3296339,5613,87746
199209,233297,155604,5808600,5373,99576
199203,252889,424171,433679,11944,65709
199203,252889,415231,3667872,7522,68772
199203,252889,523515,5277020,17034,92309
199209,17971,45401,3166732,6731,80784
199205,27356,279456,3694822,4292,86126
199210,172807,11357,3853247,173,76101
199212,213016,592942,8662654,7653,122095
199203,138937,320491,5985460,18391,90688
199203,214123,272636,6529388,4330,96517
199208,107596,283827,2330512,517,108648
199208,107596,24642,6979381,8307,93998
199208,107596,384872,383544,17204,117411
199208,107596,210502,1553739,9301,84749
199212,47012,180947,9235238,15155,121676
199212,47012,109865,4687150,13957,112491
199208,89389,241206,3035464,3801,68831
199208,89389,342758,3421406,10979,108044
199208,89389,123571,5899909,19146,95674
199208,89389,353183,2472340,6618,74170
199210,237718,140874,7772457,7360,114892
199208,298438,186151,727444,12721,74229
199205,29690,545262,2690299,4068,78434
199201,204152,557895,8420775,10050,117172
199201,102388,332997,9134910,10254,121798
199208,284881,160695,7126345,2028,105341
199206,219106,454401,271076,3416,81322
199206,219106,305376,1353732,18848,82881
199203,117808,396643,6478382,9303,104377
199203,117808,235138,2231016,990,64387
199203,117808,357966,4608534,10377,121437
199203,117808,129300,658003,17477,79758
199203,117808,539893,1913541,3257,115972
199207,36109,117756,8343720,4466,106425
199210,82472,532298,3292418,8185,79816
199210,82472,197934,9159940,13938,121915
199206,132995,499753,2453822,5201,105163
199206,132995,539550,6609265,10789,95371
199203,182443,437441,2343314,9241,82705
199203,182443,262569,1050643,11886,91893
199208,13399,474601,5829646,5863,94534
199202,36709,576923,9407529,7362,119994
199202,36709,439165,5193874,2169,66248
199205,24148,59949,5917714,19407,114536
199211,277030,383048,4184811,15946,67861
199211,277030,568828,9013593,17254,113808
199210,174109,247393,6042433,10123,80422
199210,174109,522391,1385102,15823,84802
199210,174109,16355,4322590,11799,76281
199207,107861,412003,4124729,6756,54898
199208,132655,540231,4983143,3941,76272
199204,33601,498064,1593060,6812,63722
199207,56177,372451,1206564,2206,91406
199207,56177,582047,4425758,1962,67741
199201,66841,322495,1213984,2794,91048
199202,172522,166356,3698110,4160,85341
199209,93796,341032,4935892,9949,64381
199202,122959,247721,6442889,763,100122
199201,223414,481073,5113196,8178,63243
199207,8272,567740,1431714,6755,108463
199201,190984,385992,5701977,7352,124678
199205,189850,36973,1909970,14175,114598
199205,189850,241561,1177999,5943,90153
199201,149024,197360,721393,17987,87441
199202,265246,291022,694924,17303,60780
199210,169667,489850,3278577,5309,110389
199212,15644,565807,9084855,13193,112366
199212,15644,12926,546159,14883,110335
199202,125609,370355,3245499,19902,85520
199202,125609,144343,4894535,5458,83240
199202,178054,75747,7090797,331,103364
199202,178054,468160,884461,19738,67688
199202,178054,561937,1958931,569,119934
199212,159403,438458,977501,211,83785
199201,79229,568766,3669480,17605,110084
199201,79229,43867,2330576,5813,108651
199206,250459,569898,8572041,1411,118072
199210,20356,548010,523705,9536,63479
199210,134342,248249,5162455,19442,71833
199210,134342,234235,2406254,1298,70153
199210,134342,547211,1006552,6657,75491
199204,20068,499942,9228003,12177,116515
199202,8590,331212,1969228,17072,74592
199202,8590,479898,6692728,16950,112672
199202,48844,539353,4366346,8017,83539
199207,225106,248744,2513704,7828,101563
199209,61208,194652,1711717,17722,104799
199209,61208,315889,5786995,1826,114292
199203,140399,376233,3273050,19155,78553
199207,2084,348389,6620526,3610,86242
199207,2084,492682,7703436,18802,100479
199203,30098,284677,7477470,4328,99699
199203,30098,78486,1435190,18396,87868
199201,237301,496181,5537360,13144,70629
199202,61325,531141,1972677,18254,70327
199202,61325,418455,6191422,1335,82405
199212,263065,366904,7219370,8814,118253
199204,167365,121661,4164583,8542,100959
199204,167365,108265,381978,12696,76395
199204,167365,407426,1584079,17148,80004
199202,64591,441274,2916600,14473,72915
199202,64591,484832,4136876,17423,109008
199202,64591,559458,7060601,4064,91045
199206,131855,208655,6129468,15759,93818
199206,131855,579604,164990,14561,101014
199202,73672,162480,2872097,14711,92548
199202,73672,590230,5045842,13014,79212
199201,162578,204787,5921195,5121,101506
199201,162578,243207,3381558,3408,69011
199201,162578,371903,9096343,13961,118493
199209,128188,483804,8849511,4672,107266
199202,39640,478112,218018,15593,65405
199202,39640,113640,7694386,19695,99218
199204,268142,366593,6970236,13139,99574
199204,268142,84221,3661458,9970,72313
199204,268142,147823,6783593,5901,112249
199209,10604,141256,1271305,12712,77835
199209,10604,37119,4967941,18159,63366
199209,153319,324511,4864464,4216,92130
199209,107566,115989,6415936,8031,120298
199209,107566,15383,5323358,16764,77902
199209,107566,409563,3975858,17583,88352
199212,30325,360352,5033579,413,84740
199211,221237,412997,2864955,9219,114598
199201,81589,67173,5586833,10202,68410
199208,240784,90108,3513920,18406,65886
199205,133522,70021,1275442,9429,59461
199205,65150,308443,3271523,17094,87085
199207,263188,325367,4229959,12256,83541
199207,263188,13625,3384964,14573,92317
199210,31975,449529,3767218,8926,88710
199210,31975,143576,3967946,5143,97174
199204,236629,222922,8678456,12210,110694
199212,195020,377482,4054622,19867,93568
199204,299552,376922,2938397,19038,119934
199211,61417,250677,2871192,18028,97659
199211,61417,161204,3843677,4068,75912
199205,250888,234691,2575077,6948,97540
199209,107398,233649,2532208,7771,94957
199209,107398,328951,3528253,3908,118796
199206,85789,330442,2478099,1036,88345
199212,58063,10552,5212528,5614,87753
199208,35077,192319,1936317,14775,84678
199208,35077,104962,6815516,6645,118017
199205,174730,500716,5836746,2978,103001
199204,77435,531397,2239684,13247,85702
199205,273091,43785,518634,8749,103726
199208,551,111479,5312035,4770,89428
199208,551,210373,5030771,13699,77001
199203,128983,336696,4924276,6023,103960
199203,128983,491284,4999019,8312,76515
199203,128983,401179,2160300,13974,64809
199209,48350,478339,3688468,6875,79038
199209,48350,40103,3407807,3486,62586
199209,48350,204619,7167014,14287,91416
199209,48350,416473,6669360,8899,83367
199208,232897,495933,5155976,1527,115734
199208,232897,191544,6215052,12315,98132
199210,54704,411629,2868597,9252,92436
199210,54704,445472,420982,14960,85047
199210,54704,241753,5033377,6678,101684
199204,131588,64754,510468,17776,103125
199212,148627,112063,3299359,8670,64503
199210,4874,216273,706420,2238,71355
199210,108065,44645,4563856,3485,95378
199202,295762,95575,3847896,14790,94234
199204,179912,549690,521901,16877,104380
199204,179912,426348,1623483,5889,76459
199204,179912,531401,3828751,13834,85942
199204,179912,323229,4462876,10584,75132
199209,89683,67609,3277751,9681,94596
199206,30541,576782,364316,4475,111525
199204,108904,268482,4975112,6684,87028
199204,108904,364533,7358177,3522,95851
199204,108904,94574,2666569,2431,94114
199205,35479,93493,4414875,7753,89189
199211,92765,503624,2073562,1254,97656
199211,92765,207699,642672,4537,96400
199211,92765,405590,7178736,1,89734
199211,42301,468336,2939914,14176,78258
199211,42301,523075,2367395,3340,65883
199211,290473,335991,1390508,10445,121618
199211,290473,213223,890788,762,68172
199209,212300,51677,5804579,19360,97720
199210,63551,331258,4383416,19833,77354
199211,178483,269663,4799991,12391,97959
199211,178483,599149,2246616,14684,74887
199210,177572,572669,1034534,3053,104498
199210,177572,95312,5098509,6388,78438
199208,172028,27554,3407565,8669,88893
199208,172028,499419,4774300,14985,85103
199212,142690,24205,4855560,3492,67752
199212,142690,642,2313960,428,92558
199212,142690,349028,5066255,2981,64620
199212,142690,511514,457647,14559,91529
199209,292274,35640,2339825,10814,94538
199210,270170,45653,633065,16864,95919
199210,270170,474102,2582592,1418,64564
199212,268195,556192,247137,2322,74890
199212,268195,518772,5850380,19145,107445
199212,268195,384575,4480812,8103,99573
199212,165937,59291,4876131,18128,75017
199212,165937,571000,3568505,353,64258
199212,165937,388365,5981988,1271,87201
199212,165937,435338,4711247,16616,76398
199202,288997,12255,4118058,10484,70035
199208,115996,357127,1894576,9635,71046
199208,115996,92612,1906276,7371,96276
199209,149575,227777,8353324,5297,102285
199209,149575,240142,4220307,17691,64927
199209,149575,461595,7471536,17784,93394
199209,149575,153053,3284968,18708,66363
199204,25400,414211,5124115,2802,67511
199207,79126,312767,6229125,14254,106785
199207,79126,64487,5689801,11265,87088
199208,251833,578901,2522367,8102,118792
199208,251833,334649,4619880,8976,101017
199209,136655,26816,2439934,6561,104568
199209,136655,90659,5443845,14373,98979
199209,136655,318607,7563870,15304,97535
199201,19553,90276,3165675,2534,75976
199203,178117,265748,5598755,15470,102823
199207,284722,487040,3321382,4573,61621
199207,284722,469470,4702683,6981,86367
199202,171790,407048,1323657,9980,57301
199202,171790,54416,4566206,8864,82224
199207,264400,479154,4150655,7707,67987
199204,222847,366152,5725258,2586,73088
199204,222847,379877,9492727,2853,117411
199204,222847,579125,4455170,1587,72246
199212,193054,19477,5115269,7039,83788
199210,127412,429530,3003671,12650,87570
199201,170545,359460,2531403,5310,91167
199202,172148,3664,7524768,17089,94059
199208,146785,47624,1257296,8511,94297
199207,94003,330991,8207216,5806,121318
199207,94003,91719,7959933,1734,102642
199211,215354,313539,4036552,6978,93151
199211,215354,445489,4498466,8702,86067
199208,240500,361805,6653239,16527,112007
199208,240500,449978,8970751,19146,115677
199212,299197,331012,2581425,2830,62580
199212,299197,110068,3697745,2871,64683
199212,280993,333682,7983012,4553,102940
199212,280993,583907,9755312,7150,119452
199212,101711,529986,2594540,5678,120957
199212,101711,418001,2911328,1160,55138
199208,54032,44394,1836271,7136,80303
199201,95191,598700,3701683,9623,107920
199212,219881,113416,4902876,8838,85764
199212,219881,580221,4163840,16406,78072
199212,219881,364035,215407,1198,65941
199202,160000,241496,5265489,1444,86248
199202,160000,556412,2158533,12370,88103
199210,54971,275496,4326151,251,88288
199209,137429,218241,3180927,6015,69553
199204,142828,511286,5137149,5126,77835
199204,142828,480877,8546110,5720,111471
199204,142828,99472,6621615,12409,88288
199207,224794,580438,303682,13636,91104
199206,177625,270533,6314784,5875,90211
199202,148414,466486,1138728,15491,87147
199204,200638,539120,4316488,2759,69546
199204,200638,18197,5136565,237,66911
199207,249332,47140,968641,1629,65228
199207,249332,276595,7238697,7326,94294
199204,171319,172254,1050390,16362,79575
199204,171319,400303,4050240,10989,72196
199206,38438,123090,1745325,18247,66785
199211,129361,396328,6486307,17058,85458
199211,129361,467312,3510371,9640,76757
199210,72334,182904,1752445,4153,119214
199210,72334,251079,4690893,9640,61803
199210,72334,242723,7495695,17237,99942
199212,213758,446974,1694277,10628,115257
199209,212444,454679,5391045,3984,98019
199209,212444,187486,3582813,12208,94408
199209,212444,461693,4378256,13247,99280
199209,212444,183680,1555565,5647,105820
199209,212444,96344,4113503,14136,80420
199212,142735,331717,1904334,15997,104922
199203,79234,161784,7674753,19188,110746
199208,83518,142284,3413844,6295,79576
199212,49234,381246,3381782,13466,79633
199204,290812,268923,2039478,14941,113514
199201,94973,310989,4507932,5917,119998
199210,247975,461251,1080096,626,72733
199205,9695,93586,4222217,14045,94774
199205,9695,107276,2389448,14071,76996
199205,9695,579987,1823058,3940,124017
199203,259258,266344,5448352,7082,78619
199209,45718,553682,7636904,17319,104139
199201,182705,165189,6022572,7803,75250
199201,182705,123892,2628601,13320,114953
199202,286151,211279,5713248,19699,71415
199202,286151,11242,339052,16077,69194
199202,286151,315036,1441999,10242,63061
199202,286151,249247,3908083,7264,71773
199203,239218,27496,697510,10474,85409
199207,156869,117909,5973390,8159,115614
199207,156869,496146,452279,17712,68527
199201,206668,432285,5725991,15278,73035
199212,220018,75609,3571688,11491,95076
199207,280345,557914,7887560,404,118313
199212,85756,425301,5220273,13742,73576
199212,85756,232372,2478284,17526,78261
199203,129436,455585,1811698,10731,92433
199210,215168,126081,4014272,14022,66424
199209,218912,486157,4458207,7433,68587
199209,218912,290934,7892172,7158,115495
199211,136360,282266,748950,15899,74895
199212,208282,152343,4420437,5683,83720
199208,92810,371857,7829161,658,115730
199207,9443,260650,6537587,11078,96638
199207,9443,133601,5884560,19036,98076
199212,122779,252519,1748142,18998,88290
199212,122779,272849,4999101,17561,109309
199212,122779,563041,1190133,17247,66241
199212,122779,432399,1826639,7338,79882
199212,122779,115913,7256559,15815,115734
199202,128341,121344,270337,7017,81920
199202,128341,332640,5245367,4599,100357
199202,128341,476621,7189200,3784,95856
199204,12358,547388,1136805,7429,86121
199204,12358,140968,2756293,6260,120537
199201,71599,45720,3664584,11257,99943
199201,71599,405593,6893422,376,89914
199203,111016,139796,6296759,7001,110147
199203,111016,582364,5929994,13061,86780
199212,168479,89475,1025129,1684,87868
199212,168479,206049,2292072,13880,57301
199212,168479,397228,4285729,18513,79512
199205,51238,420977,3606105,7601,113877
199203,282020,325703,2738244,835,103721
199203,282020,531392,3945581,4196,85402
199203,282020,412674,7457255,9014,95199
199201,253232,73453,570580,14402,85587
199201,253232,310939,6756472,19706,116995
199212,20374,76227,5895778,15643,72193
199212,20374,501016,2237378,17263,61019
199210,218503,339016,1757630,4892,63300
199204,33881,544853,6642405,13543,113869
199204,33881,154780,1078850,12629,110086
199207,84073,522044,1671519,19120,63961
199206,230135,368774,2189198,384,110565
199206,230135,568501,7690452,13160,94168
199202,192613,94564,6109555,8044,93513
199202,192613,210190,4851793,7482,66010
199204,108850,123844,1109496,7259,112070
199207,70102,520072,1819355,18512,65523
199207,70102,221208,2571165,6115,67751
199204,222124,330272,1804932,17145,78135
199204,222124,277153,1882813,5495,67808
199208,234562,44995,1901190,17936,116399
199210,227125,470000,1152336,5312,58198
199208,129295,337821,6922208,16917,111528
199208,129295,453752,1350938,13737,102343
199208,129295,196513,5576952,1388,96570
199201,140074,451541,6289479,16701,89551
199205,99814,413262,2938100,15634,70514
199205,99814,10276,2016659,19477,71176
199212,2177,311085,1863319,14202,65764
199211,64762,179527,6769875,16948,96391
199211,64762,497291,5229087,17912,77296
199211,64762,74393,541486,7498,82043
199205,82907,497152,2927983,2137,68947
199201,14287,56061,2890484,18600,61023
199201,14287,214558,1914302,15366,88352
199209,226201,433353,2143025,8303,77179
199209,226201,351628,6584071,15306,100776
199209,226201,464016,288117,4488,58799
199208,98000,395609,5625147,12706,102275
199208,98000,17570,2945388,8180,89254
199208,98000,106406,6851552,735,84744
199211,207782,496453,6957264,11278,86965
199202,159740,390023,5565050,17082,66780
199211,189602,412442,3352189,3364,81265
199204,23005,249935,8312497,13423,113095
199204,23005,240078,4886688,15707,61083
199212,54463,365989,2034420,10196,123298
199212,54463,8917,5061422,18453,109554
199212,54463,465629,5581100,10142,95676
199212,99253,162870,6958332,11317,115972
