"s_city","d_year","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
"UNITED ST4",1993,263416,142978,1400532,121258
"UNITED ST1",1993,263416,21644,2301490,93938
"UNITED ST7",1992,213346,414764,2568472,100724
"UNITED ST7",1993,287068,111685,7336444,101800
"UNITED ST2",1992,34205,524014,1195764,62279
"UNITED ST2",1992,224827,198487,3262917,95128
"UNITED ST7",1993,31405,532635,5738246,100056
"UNITED ST8",1992,66020,588438,5833939,91584
"UNITED ST3",1993,247582,561065,4323993,67562
"UNITED ST4",1992,94273,183637,5419984,103237
"UNITED ST0",1992,200491,261247,3557029,72493
"UNITED ST3",1992,74125,553893,4006658,116812
"UNITED ST6",1993,178690,37144,4540788,64868
"UNITED ST4",1992,228431,406558,799633,87871
"UNITED ST2",1992,228431,206266,4642110,70335
"UNITED ST0",1992,273434,75095,3010163,64205
"UNITED ST0",1993,28448,74492,6478952,87989
"UNITED ST1",1992,137890,59020,1472446,58741
"UNITED ST1",1992,203686,213928,7791279,110514
"UNITED ST4",1992,22349,37588,573618,91534
"UNITED ST7",1993,116606,565044,1158925,66541
"UNITED ST5",1993,184082,537951,8681679,119335
"UNITED ST4",1993,208016,230356,120915,77180
"UNITED ST8",1993,176653,437217,4773729,69251
"UNITED ST6",1992,230614,228860,4980158,107331
"UNITED ST4",1993,216440,329226,3695338,75312
"UNITED ST8",1993,216440,90845,2974060,110150
"UNITED ST4",1993,212887,109294,1660391,78197
"UNITED ST1",1992,170740,74524,6461618,89911
"UNITED ST6",1992,170740,164814,9114107,112728
"UNITED ST3",1993,290921,467960,6705375,115676
"UNITED ST4",1993,134725,73023,2744035,59761
"UNITED ST6",1993,212830,485474,6932387,87567
"UNITED ST0",1993,212830,179640,6909513,103178
"UNITED ST0",1993,233674,599306,3920731,84316
"UNITED ST4",1993,232159,16752,465581,100125
"UNITED ST4",1992,15109,123929,9374016,117175
"UNITED ST0",1993,271015,501807,5788096,108526
"UNITED ST0",1993,271391,120634,5327908,99277
"UNITED ST3",1993,140743,220489,5581501,84568
"UNITED ST6",1992,24239,497145,4862004,68527
"UNITED ST2",1993,220160,145320,1884141,81919
"UNITED ST2",1992,13192,180375,267788,87322
"UNITED ST4",1992,21835,459442,2102130,84085
"UNITED ST4",1992,187571,14057,4198820,58263
"UNITED ST1",1993,36566,515912,1773658,115673
"UNITED ST1",1993,6286,406286,1344869,71535
"UNITED ST3",1992,259741,126851,5355628,112671
"UNITED ST4",1993,20078,453676,6130743,97779
"UNITED ST7",1992,39982,318488,1247357,90388
"UNITED ST2",1993,31387,113870,8861724,113032
"UNITED ST7",1992,92335,113151,428407,69849
"UNITED ST6",1992,61684,313955,4725456,118136
"UNITED ST6",1993,259978,261428,2560682,83364
"UNITED ST0",1993,181138,473087,1336735,63603
"UNITED ST5",1992,271036,365374,2256916,86361
"UNITED ST5",1992,205373,441976,2470319,115077
"UNITED ST0",1993,251086,186420,2603093,90385
"UNITED ST0",1992,66964,492091,2680598,64984
"UNITED ST5",1993,189187,421092,2625877,60784
"UNITED ST6",1993,104776,479548,421595,91651
"UNITED ST0",1992,248495,422799,2754832,103306
"UNITED ST3",1992,57760,521108,216783,67744
"UNITED ST0",1993,227284,224066,3516657,59403
"UNITED ST3",1992,10384,163664,1112613,103659
"UNITED ST4",1993,64640,111508,2598345,91170
"UNITED ST1",1993,165811,12440,1230720,81146
"UNITED ST2",1993,112090,276256,4850096,73934
"UNITED ST8",1993,34052,318184,2986190,72130
"UNITED ST1",1993,201331,88849,2843138,110270
"UNITED ST8",1993,135142,11115,1828528,61566
"UNITED ST0",1993,68509,442482,388877,85467
"UNITED ST7",1993,267070,482573,5459980,93333
"UNITED ST4",1992,135214,189750,2176424,110385
"UNITED ST7",1992,228473,595140,899167,74107
"UNITED ST8",1993,135814,186125,2467051,72667
"UNITED ST6",1993,135814,258486,3680509,86668
"UNITED ST5",1993,152686,69610,7430485,94776
"UNITED ST9",1992,246265,239809,6405817,104927
"UNITED ST1",1992,157490,47582,1789608,91774
"UNITED ST3",1992,109645,443867,3748438,108650
"UNITED ST0",1993,37907,197816,5012268,114828
"UNITED ST8",1992,43841,92363,243964,81321
"UNITED ST0",1993,151955,380147,5291384,73627
"UNITED ST5",1992,56852,349249,4673628,77893
"UNITED ST3",1992,180650,287400,2530599,83243
"UNITED ST1",1992,283472,282051,2789208,61982
"UNITED ST0",1993,227249,357122,5044232,70746
"UNITED ST9",1993,49096,375757,1180284,109964
"UNITED ST5",1993,54991,132026,3904093,63481
"UNITED ST0",1992,262669,107671,7327394,100720
"UNITED ST1",1993,203788,511042,391723,63181
"UNITED ST7",1992,185575,516183,1895871,71949
"UNITED ST3",1993,159619,370539,630931,96571
"UNITED ST3",1992,246514,377397,1605599,88462
"UNITED ST5",1992,246514,405172,4006998,64629
"UNITED ST2",1992,16990,358621,2494220,100776
"UNITED ST8",1992,284221,136539,4340585,94531
"UNITED ST0",1992,272092,183648,5097948,103898
"UNITED ST0",1993,169285,168355,5978070,85401
"UNITED ST4",1993,58036,414435,2635397,80964
"UNITED ST6",1993,131968,392830,3980237,115369
"UNITED ST5",1993,141796,847,1186783,104870
"UNITED ST2",1993,138542,6067,633462,58383
"UNITED ST0",1993,283021,122093,2536829,66905
"UNITED ST9",1992,140648,147342,6603533,83360
"UNITED ST9",1993,27953,539204,4702949,74590
"UNITED ST3",1993,89279,312118,5315990,67806
"UNITED ST1",1992,97952,525896,5350486,115312
"UNITED ST5",1992,97952,118360,1337009,82701
"UNITED ST4",1992,14572,299910,8434118,114594
"UNITED ST9",1992,100627,268912,3133579,112854
"UNITED ST0",1992,32287,278295,117141,76396
"UNITED ST3",1993,29905,380636,4679506,102997
"UNITED ST3",1993,29905,139264,5994996,78195
"UNITED ST0",1993,95311,408854,5813813,105769
"UNITED ST9",1992,135967,263980,8222993,116638
"UNITED ST7",1992,177739,159295,650059,81257
"UNITED ST4",1992,177739,368512,1869731,94830
"UNITED ST8",1993,196378,449020,440895,58140
"UNITED ST6",1993,216809,515215,2220492,73811
"UNITED ST0",1993,42059,190985,8000826,124558
"UNITED ST7",1993,187924,526022,1792080,62880
"UNITED ST6",1993,228193,442813,1320354,105347
"UNITED ST5",1993,246712,585046,5211740,67861
"UNITED ST6",1992,86503,557483,152505,92427
"UNITED ST6",1992,82793,303285,3059641,77296
"UNITED ST8",1993,45818,524884,572658,114531
"UNITED ST1",1993,227872,205711,5503246,97002
"UNITED ST6",1993,192257,486854,169356,110449
"UNITED ST2",1993,192257,183021,4570642,66241
"UNITED ST5",1993,75877,271182,2594632,69190
"UNITED ST8",1992,72224,67825,7422274,107569
"UNITED ST5",1993,1729,174883,7365544,117472
"UNITED ST1",1993,13646,340585,2662683,97534
"UNITED ST6",1993,251015,12992,7107517,114299
"UNITED ST8",1993,258772,94486,5793118,88828
"UNITED ST0",1992,151969,341796,8915070,110266
"UNITED ST2",1992,233065,61124,842053,65107
"UNITED ST3",1992,186413,204644,4559166,92917
"UNITED ST0",1992,205804,557449,4623202,90385
"UNITED ST2",1992,53354,177144,5739358,73268
"UNITED ST2",1993,24253,142358,3654913,84021
"UNITED ST9",1993,103354,317076,3963435,65583
"UNITED ST0",1993,243325,117149,1567292,69968
"UNITED ST5",1993,292105,226092,3752642,61084
"UNITED ST5",1992,119516,460424,5050291,83064
"UNITED ST1",1993,116162,60978,8550857,116338
"UNITED ST6",1992,258662,96226,3438104,73333
"UNITED ST6",1992,283240,500631,4731669,97896
"UNITED ST1",1992,269794,298481,3092092,88768
"UNITED ST5",1993,298954,121890,2018955,114713
"UNITED ST0",1993,209584,324169,1030881,71589
"UNITED ST5",1992,169063,393061,223885,69243
"UNITED ST6",1993,84358,22178,2722920,66010
"UNITED ST7",1993,60332,491693,7277774,101080
"UNITED ST2",1992,132175,226529,1426399,87330
"UNITED ST8",1992,123142,202057,2563513,57542
"UNITED ST8",1993,232585,142919,7186476,117714
"UNITED ST1",1992,41444,572037,928241,66540
"UNITED ST2",1992,41444,425035,1710737,57600
"UNITED ST9",1992,85687,493146,3731757,68347
"UNITED ST2",1993,276862,482714,4306199,101801
"UNITED ST9",1993,163957,367656,5770746,103418
"UNITED ST9",1993,17066,539223,2518089,75732
"UNITED ST4",1993,15332,374977,4108023,123117
"UNITED ST6",1993,227638,543054,3475391,65821
"UNITED ST9",1993,49333,567295,3471063,81736
"UNITED ST6",1992,128647,141887,7256446,115732
"UNITED ST2",1992,10586,379006,488245,65099
"UNITED ST5",1993,299431,426051,293109,58621
"UNITED ST1",1993,73579,27664,6570372,95499
"UNITED ST4",1992,113209,92109,2937734,66066
"UNITED ST0",1993,67417,572007,941949,64738
"UNITED ST0",1992,49940,139529,7372044,94111
"UNITED ST0",1992,241178,565850,3065328,114949
"UNITED ST9",1992,292930,230893,4194924,109432
"UNITED ST5",1992,149950,180725,2600236,108343
"UNITED ST8",1993,110851,22663,4566700,95139
"UNITED ST6",1992,256969,392980,6840801,124378
"UNITED ST5",1993,118237,94438,3258778,85945
"UNITED ST1",1992,93289,417533,3681394,87030
"UNITED ST3",1992,299183,265454,4471236,85166
"UNITED ST8",1992,299183,50727,3276587,100663
"UNITED ST5",1992,106870,521137,1572713,69486
"UNITED ST8",1992,226822,133028,4456284,63661
"UNITED ST0",1992,226822,197405,1117785,90144
"UNITED ST7",1992,229693,269717,8099533,101202
"UNITED ST6",1992,20860,360052,3723109,66722
"UNITED ST4",1993,163849,23455,261905,82707
"UNITED ST9",1992,273064,225940,886316,111955
"UNITED ST0",1992,41722,509743,5100415,105163
"UNITED ST9",1992,53053,42536,1512536,88711
"UNITED ST4",1993,38993,283770,7102728,105225
"UNITED ST8",1992,242573,592196,3555349,77290
"UNITED ST2",1992,231622,15314,3132281,73758
"UNITED ST0",1993,136603,167578,2468355,98734
"UNITED ST4",1992,207496,496993,3581946,119398
"UNITED ST9",1993,76732,595358,5611307,87199
"UNITED ST3",1993,298055,560454,2158062,90865
"UNITED ST4",1993,298055,147313,3183125,81618
"UNITED ST2",1993,298055,245758,3722671,102224
"UNITED ST5",1993,163594,241291,5668488,73936
"UNITED ST9",1992,25453,361742,4112504,108223
"UNITED ST7",1993,110944,549860,8976248,114590
"UNITED ST9",1993,118768,175350,1411096,85521
"UNITED ST3",1992,192035,302653,7311306,99338
"UNITED ST0",1992,120433,347579,2093382,97593
"UNITED ST6",1992,290839,519385,6066835,84261
"UNITED ST5",1993,50869,365585,1440947,99034
"UNITED ST6",1993,259718,309266,1020200,76515
"UNITED ST7",1992,209645,346377,6832128,85401
"UNITED ST1",1992,211943,275955,9268512,115856
"UNITED ST9",1992,2566,466661,5859504,97658
"UNITED ST0",1992,50872,136194,442868,73811
"UNITED ST2",1993,279508,529996,8667099,121558
"UNITED ST0",1992,34787,331948,8925524,118795
"UNITED ST6",1992,253105,217821,7438629,104328
"UNITED ST0",1992,267463,88177,106030,69910
"UNITED ST6",1993,32114,73004,937920,58620
"UNITED ST8",1993,236212,1519,6676397,85230
"UNITED ST6",1992,22673,554451,4666833,90325
"UNITED ST2",1993,168514,193870,4061283,117832
"UNITED ST1",1992,74453,192748,5820419,110444
"UNITED ST6",1993,144322,202391,380253,77602
"UNITED ST1",1992,64522,551486,7006205,92247
"UNITED ST4",1992,13150,114809,5289020,109428
"UNITED ST3",1992,13150,199912,4164653,120714
"UNITED ST4",1993,39049,462194,4129839,69370
"UNITED ST7",1993,39049,163487,3572305,93028
"UNITED ST0",1993,212633,201874,1797170,106551
"UNITED ST1",1993,28549,370503,1331172,94409
"UNITED ST8",1992,230567,463696,4716782,99580
"UNITED ST4",1992,142582,195413,1902105,90504
"UNITED ST5",1992,142582,499601,5704467,96034
"UNITED ST0",1993,67541,210262,1920145,70335
"UNITED ST6",1993,67541,232106,2055418,62285
"UNITED ST5",1993,169108,119293,5427631,78737
"UNITED ST3",1992,268237,409753,1421634,99763
"UNITED ST2",1993,168233,111540,760254,93092
"UNITED ST5",1992,285554,253028,376707,58860
"UNITED ST1",1993,152498,507597,7390649,96274
"UNITED ST0",1992,244207,590867,5564181,117470
"UNITED ST0",1993,203977,1514,5792266,84930
"UNITED ST6",1993,178222,213129,3036708,62526
"UNITED ST4",1992,280666,230202,2163615,67931
"UNITED ST6",1993,196021,79108,4696272,65226
"UNITED ST2",1993,28255,394003,2813779,65819
"UNITED ST1",1992,98842,123076,4000614,65944
"UNITED ST3",1993,132691,157319,3604555,82578
"UNITED ST1",1992,84691,427816,7219290,104627
"UNITED ST4",1993,188360,435301,1912525,74176
"UNITED ST5",1992,171334,154791,6866338,110747
"UNITED ST7",1992,40657,58152,4786966,66609
"UNITED ST0",1993,35513,120223,745932,74593
"UNITED ST3",1993,84656,489213,833117,72131
"UNITED ST9",1993,84656,24479,2338181,84208
"UNITED ST8",1993,213754,259598,7027800,93454
"UNITED ST5",1993,6310,207628,4097007,92136
"UNITED ST0",1993,6310,289290,1755172,76756
"UNITED ST8",1992,146773,67094,623920,63665
"UNITED ST1",1992,210386,520607,7265517,97654
"UNITED ST6",1992,117095,544346,4860558,83419
"UNITED ST9",1993,105251,182420,5589002,90145
"UNITED ST0",1993,26632,63097,1084472,63605
"UNITED ST6",1993,284929,374730,2829800,108283
"UNITED ST9",1993,15647,588437,6066555,91524
"UNITED ST8",1993,255338,363779,1186737,110565
"UNITED ST6",1993,56329,6411,4805911,79044
"UNITED ST8",1992,254906,539808,504443,110866
"UNITED ST2",1992,187979,569754,5369061,109423
"UNITED ST6",1993,292043,325591,2887211,96994
"UNITED ST7",1992,202531,349039,1077139,65281
"UNITED ST7",1992,158107,52275,110454,73636
"UNITED ST0",1992,92023,187419,5061537,90384
"UNITED ST6",1992,52486,493102,4142687,65704
"UNITED ST0",1992,104015,176941,8221087,121076
"UNITED ST8",1992,287395,215780,5646914,101746
"UNITED ST0",1992,278123,407315,3740207,73337
"UNITED ST7",1992,180979,496118,1403753,66845
"UNITED ST0",1993,281870,49682,791364,97900
"UNITED ST7",1993,136048,493265,2199403,75494
"UNITED ST4",1993,252935,299075,515548,64443
"UNITED ST1",1993,257902,118320,871246,80299
"UNITED ST6",1993,254246,517979,7450620,119817
"UNITED ST1",1993,4051,110245,5535608,75314
"UNITED ST5",1993,4051,559549,945809,96511
"UNITED ST7",1992,127522,507626,4002320,98016
"UNITED ST5",1992,46480,559580,5702389,98373
"UNITED ST0",1993,28876,466774,8017894,104445
"UNITED ST8",1992,65113,75291,1530944,75977
"UNITED ST3",1992,67192,415922,6111017,110274
"UNITED ST6",1992,224215,79251,4415367,73815
"UNITED ST5",1993,61199,554943,968991,119875
"UNITED ST8",1993,37912,112595,2893662,96455
"UNITED ST1",1992,105640,415293,3078671,72496
"UNITED ST1",1992,82621,373709,6560299,106961
"UNITED ST0",1992,82621,151755,6484425,108405
"UNITED ST7",1992,75718,169837,3546703,114409
"UNITED ST2",1993,280141,599751,8252405,111043
"UNITED ST6",1992,297115,424267,4288464,71474
"UNITED ST1",1992,227366,51987,2704877,116338
"UNITED ST0",1992,71830,297583,2080030,94834
"UNITED ST5",1992,45527,387177,2912624,75849
"UNITED ST8",1992,153595,308716,6898800,103482
"UNITED ST8",1993,232624,388058,3481669,68762
"UNITED ST1",1993,232624,390092,4564010,70924
"UNITED ST3",1993,81751,551213,2020175,75851
"UNITED ST7",1993,93322,592683,6861150,106539
"UNITED ST7",1993,147781,168161,3528918,73749
"UNITED ST8",1992,156571,348945,4145380,119635
"UNITED ST1",1992,270391,479201,4618044,70810
"UNITED ST5",1992,254057,210424,2535379,80064
"UNITED ST7",1993,48232,213702,1534905,96941
"UNITED ST7",1992,266071,162638,833308,102037
"UNITED ST0",1992,234347,322414,1867320,86184
"UNITED ST9",1992,112226,314518,2605250,91950
"UNITED ST7",1993,103087,312785,5109262,107866
"UNITED ST5",1992,207331,366675,2960822,104499
"UNITED ST8",1993,125476,226413,5850499,80364
"UNITED ST8",1992,182399,185168,5594106,75189
"UNITED ST7",1992,264742,445006,760784,57058
"UNITED ST9",1993,225857,99349,5706174,80900
"UNITED ST4",1993,211360,172621,6757543,101617
"UNITED ST4",1993,38534,55963,6908256,115137
"UNITED ST6",1992,22991,124491,3546246,90929
"UNITED ST2",1993,218402,306822,2922438,109728
"UNITED ST5",1992,114457,481275,5967187,75375
"UNITED ST5",1993,42070,512755,169702,106063
"UNITED ST8",1993,161903,461994,2464522,117358
"UNITED ST2",1993,179305,410253,1587808,69793
"UNITED ST4",1992,27613,46463,4834447,84567
"UNITED ST2",1993,122591,441431,391136,82344
"UNITED ST9",1993,211819,458775,4036170,104025
"UNITED ST8",1992,229100,82066,3389426,62883
"UNITED ST8",1992,106933,519285,894722,78255
"UNITED ST0",1992,183892,588165,4849651,75188
"UNITED ST8",1992,57323,582505,2333595,95248
"UNITED ST5",1992,33181,288264,4008452,75135
"UNITED ST4",1993,166042,291052,3963552,62582
"UNITED ST5",1993,216340,200446,5041033,80785
"UNITED ST2",1993,216340,510801,4438861,108706
"UNITED ST5",1993,60241,367296,2404825,81796
"UNITED ST6",1993,179509,130735,8392514,105943
"UNITED ST7",1993,293062,513088,1068028,66063
"UNITED ST7",1993,293062,485042,2990682,61621
"UNITED ST8",1993,74674,267320,1776487,77238
"UNITED ST3",1993,74674,45984,3300265,115798
"UNITED ST8",1993,172444,396436,2451872,91945
"UNITED ST8",1992,179,157797,2932422,111287
"UNITED ST2",1993,83716,531462,4587847,89606
"UNITED ST8",1992,44380,190284,1679370,82456
"UNITED ST0",1992,272962,43586,4154339,91774
"UNITED ST0",1992,252865,337106,3827065,68585
"UNITED ST4",1992,263443,521308,5921942,79756
"UNITED ST4",1993,205855,365603,7138228,100115
"UNITED ST3",1993,205855,79726,6549964,102343
"UNITED ST7",1993,196930,59541,2256812,90032
"UNITED ST2",1993,216901,371168,5358084,74349
"UNITED ST4",1993,216124,42357,6303146,77961
"UNITED ST2",1992,293335,596096,3755020,71524
"UNITED ST1",1992,111220,410659,3672934,94177
"UNITED ST1",1993,246478,217004,2707710,55259
"UNITED ST4",1992,268958,353639,4983073,101557
"UNITED ST5",1992,235445,214743,1312922,99463
"UNITED ST2",1992,239035,12381,931233,77602
"UNITED ST9",1992,239035,471666,3177021,98258
"UNITED ST3",1992,239035,361350,256863,84680
"UNITED ST3",1992,169033,471523,1884564,89670
"UNITED ST7",1992,53299,156080,3162846,68164
"UNITED ST7",1992,278668,327794,7520307,109306
"UNITED ST5",1993,249689,244697,5709763,98500
"UNITED ST5",1993,48799,148059,1534371,66423
"UNITED ST5",1992,227497,162115,823977,70626
"UNITED ST7",1992,179227,55856,6430255,108711
"UNITED ST1",1993,97118,261743,2618465,102283
"UNITED ST2",1993,38801,116420,6751174,86185
"UNITED ST1",1993,149942,510405,3295004,84922
"UNITED ST3",1992,177488,464999,6076523,117838
"UNITED ST9",1993,40061,110,91920,60606
"UNITED ST1",1992,97180,573111,2159780,71045
"UNITED ST2",1992,158293,260813,2421237,106428
"UNITED ST4",1992,111308,335168,1943087,72189
"UNITED ST6",1992,251791,236116,1988469,63126
"UNITED ST4",1993,171581,104597,2511293,96095
"UNITED ST8",1993,179782,249921,6465864,112254
"UNITED ST0",1993,179782,112059,886829,64263
"UNITED ST0",1992,258218,127636,2166046,99817
"UNITED ST1",1993,283207,179903,3807168,118974
"UNITED ST4",1993,283207,217815,1791715,103968
"UNITED ST7",1993,243523,465541,1132903,90391
"UNITED ST1",1992,46727,578821,8005757,113988
"UNITED ST6",1993,196261,533314,1347290,80837
"UNITED ST3",1993,168280,598201,5495531,77950
"UNITED ST5",1992,235630,77491,6975327,88109
"UNITED ST8",1992,137600,445120,4899460,63906
"UNITED ST5",1992,238202,294394,1032954,83302
"UNITED ST5",1992,139721,483286,1205797,76155
"UNITED ST4",1992,226345,100835,7765560,110149
"UNITED ST4",1993,253036,597296,5598158,83596
"UNITED ST6",1993,244312,373131,5057304,72247
"UNITED ST1",1992,9730,482126,3102680,66486
"UNITED ST1",1993,290065,264088,1988412,63124
"UNITED ST1",1992,158419,23986,3019678,114598
"UNITED ST1",1992,188339,180338,5310227,85099
"UNITED ST0",1992,173617,415126,3195135,62466
"UNITED ST0",1993,63626,321062,5090335,64983
"UNITED ST5",1992,180451,210342,1152143,75139
"UNITED ST4",1993,108394,487555,4164831,92551
"UNITED ST3",1993,140434,52357,1944384,78561
"UNITED ST4",1993,162442,67455,3271635,85347
"UNITED ST1",1993,40778,463411,6184755,82463
"UNITED ST0",1993,186154,550332,1156993,82938
"UNITED ST2",1992,219722,98450,5979201,86907
"UNITED ST5",1992,208801,155614,1863284,100176
"UNITED ST1",1992,42487,112881,2624917,113632
"UNITED ST9",1992,233360,160039,2670642,65941
"UNITED ST6",1992,27029,398748,5301961,110803
"UNITED ST7",1992,180698,311369,1442465,82821
"UNITED ST1",1992,180698,282954,546217,116216
"UNITED ST7",1993,279350,586186,493598,76329
"UNITED ST0",1992,211556,414311,4411044,73517
"UNITED ST0",1992,143518,341785,6554450,109606
"UNITED ST4",1992,155158,50796,5310241,104807
"UNITED ST8",1992,19933,77351,132835,79701
"UNITED ST2",1992,130057,321782,3391087,108226
"UNITED ST6",1993,86462,273588,4697202,93694
"UNITED ST5",1993,97012,19906,3834390,109554
"UNITED ST3",1992,106105,139746,6078658,107144
"UNITED ST1",1993,291095,15215,3535296,67812
"UNITED ST7",1992,142483,240357,259468,77840
"UNITED ST1",1993,240169,162603,5363232,99936
"UNITED ST9",1993,230338,7077,1446582,59044
"UNITED ST6",1993,105448,220352,2431441,76340
"UNITED ST8",1993,285373,250411,1279716,81684
"UNITED ST2",1993,266146,336340,5859036,82579
"UNITED ST1",1992,111427,192111,2739481,72186
"UNITED ST5",1992,127295,562097,112429,69544
"UNITED ST1",1992,175690,73085,4562440,63484
"UNITED ST4",1992,74683,49140,5118958,65348
"UNITED ST2",1992,284380,434833,4553878,106068
"UNITED ST0",1992,192311,166618,4275540,101076
"UNITED ST4",1993,74830,582512,5041777,95669
"UNITED ST3",1992,163879,145154,2158470,71949
"UNITED ST0",1993,68290,380917,6792860,119874
"UNITED ST6",1993,68290,70638,6881719,96517
"UNITED ST4",1993,172744,552851,4146541,114229
"UNITED ST2",1992,139070,264083,4527530,62824
"UNITED ST5",1992,212174,461914,7766184,112553
"UNITED ST0",1992,77039,247472,5703390,85167
"UNITED ST2",1993,43703,538136,3254632,70446
