"s_city","d_year","lo_partkey","lo_revenue","lo_supplycost"
"UNITED ST4",1993,291052,3963552,62582
"UNITED ST5",1993,200446,5041033,80785
"UNITED ST2",1993,510801,4438861,108706
"UNITED ST8",1993,267320,1776487,77238
"UNITED ST3",1993,45984,3300265,115798
"UNITED ST0",1992,337106,3827065,68585
"UNITED ST2",1993,371168,5358084,74349
"UNITED ST5",1993,148059,1534371,66423
"UNITED ST2",1993,116420,6751174,86185
"UNITED ST4",1992,335168,1943087,72189
"UNITED ST1",1992,578821,8005757,113988
"UNITED ST6",1993,373131,5057304,72247
"UNITED ST1",1993,264088,1988412,63124
"UNITED ST0",1993,321062,5090335,64983
"UNITED ST4",1993,67455,3271635,85347
"UNITED ST7",1993,586186,493598,76329
"UNITED ST8",1992,77351,132835,79701
"UNITED ST7",1992,240357,259468,77840
"UNITED ST9",1993,7077,1446582,59044
"UNITED ST4",1993,582512,5041777,95669
"UNITED ST2",1992,264083,4527530,62824
"UNITED ST2",1993,159367,4558646,85581
"UNITED ST9",1992,583983,3885884,124017
"UNITED ST7",1993,30941,748776,112316
"UNITED ST5",1993,273278,840846,75075
"UNITED ST0",1993,1242,1792600,68594
"UNITED ST3",1993,343240,2243086,76993
"UNITED ST9",1993,376771,6701825,110865
"UNITED ST7",1993,125965,5495049,119457
"UNITED ST1",1992,78635,1452267,96817
"UNITED ST1",1993,245900,8683066,110753
"UNITED ST9",1992,327921,2198370,116934
"UNITED ST2",1993,270742,3654965,102763
"UNITED ST1",1993,500532,3861925,91950
"UNITED ST0",1993,504176,1233256,70809
"UNITED ST8",1993,412091,802456,60184
"UNITED ST4",1993,95341,6220662,80180
"UNITED ST0",1993,551074,3527031,67503
"UNITED ST8",1993,57876,5061481,110032
"UNITED ST9",1993,34043,1485100,58622
"UNITED ST9",1992,260341,1561596,78079
"UNITED ST7",1993,551065,4134928,66962
"UNITED ST4",1992,428272,5521150,72015
"UNITED ST8",1992,538744,1426176,106963
"UNITED ST9",1993,125722,838905,104863
"UNITED ST3",1992,397379,6655430,88581
"UNITED ST6",1993,249880,6034911,109792
"UNITED ST3",1992,227822,4881969,104988
"UNITED ST0",1993,65861,3297482,109611
"UNITED ST2",1992,351930,5898193,118915
"UNITED ST0",1992,509851,3429509,111649
"UNITED ST7",1993,121167,2541474,71289
"UNITED ST3",1992,565170,778144,74109
"UNITED ST1",1992,592563,2085980,99332
"UNITED ST1",1993,274109,2101194,64985
"UNITED ST1",1992,165397,549858,87743
"UNITED ST9",1993,142581,5464970,97414
"UNITED ST5",1993,594117,4196426,72665
"UNITED ST1",1993,43615,3109426,93516
"UNITED ST5",1993,322074,3363808,65763
"UNITED ST8",1992,186,4470716,65170
"UNITED ST9",1993,282687,2220661,100180
"UNITED ST3",1993,325833,3420228,111529
"UNITED ST9",1992,282592,1332094,94474
"UNITED ST3",1993,517353,509762,82219
"UNITED ST0",1993,306472,5026764,88707
"UNITED ST4",1992,593823,6321606,115008
"UNITED ST0",1992,404284,5473125,71295
"UNITED ST2",1993,316062,2587320,64683
"UNITED ST0",1992,439225,3317970,69852
"UNITED ST7",1993,443889,1741217,109971
"UNITED ST4",1992,488014,1474929,60119
"UNITED ST6",1993,346837,1062474,113029
"UNITED ST0",1993,8344,4132722,75140
"UNITED ST0",1992,499132,4786857,67866
"UNITED ST4",1992,344298,2397312,80536
"UNITED ST6",1992,264896,5018793,111652
"UNITED ST2",1993,513730,6486601,104622
"UNITED ST0",1993,256603,6877791,93575
"UNITED ST0",1993,565988,1158433,123237
"UNITED ST0",1993,411388,748431,77961
"UNITED ST6",1993,36938,5699787,112495
"UNITED ST5",1992,353453,3427151,90386
"UNITED ST9",1992,410567,1146571,88652
"UNITED ST7",1993,29238,5602704,70033
"UNITED ST7",1993,369299,3448065,82096
"UNITED ST5",1993,456137,4153818,65586
"UNITED ST2",1993,172943,5846226,120956
"UNITED ST9",1993,489037,703842,61560
"UNITED ST1",1993,60471,5651443,85888
"UNITED ST1",1992,430951,2822895,112915
"UNITED ST7",1993,72065,518530,62223
"UNITED ST6",1993,363341,4679227,84259
"UNITED ST7",1992,1737,2590832,98323
"UNITED ST3",1992,431665,6370593,95798
"UNITED ST4",1992,160948,7557632,120536
"UNITED ST0",1992,300142,2215732,68527
"UNITED ST0",1992,219487,2278481,84388
"UNITED ST2",1993,72997,6524606,118199
"UNITED ST9",1992,80540,547394,91232
"UNITED ST4",1992,7371,4205837,76702
"UNITED ST2",1992,401543,4680244,86671
"UNITED ST0",1992,451383,1569207,80061
"UNITED ST6",1993,420977,1059056,113877
"UNITED ST7",1993,181523,4234328,96271
"UNITED ST1",1993,66482,275211,86908
"UNITED ST7",1992,421948,2932034,112195
"UNITED ST3",1993,95290,4737578,77117
"UNITED ST8",1992,567918,8142149,119153
"UNITED ST6",1992,516500,6205436,90988
"UNITED ST7",1993,423146,2138240,64147
"UNITED ST1",1992,10497,1701655,84449
"UNITED ST4",1992,162510,150960,94350
"UNITED ST0",1993,163939,7002243,120175
"UNITED ST4",1992,51195,3113052,68771
"UNITED ST7",1993,376229,2871462,78312
"UNITED ST6",1993,52791,627764,104627
"UNITED ST4",1993,588283,2764460,82275
"UNITED ST4",1993,471454,5318279,85525
"UNITED ST4",1992,1277,3322721,70696
"UNITED ST0",1993,315203,1754193,73091
"UNITED ST9",1992,151274,1494904,79516
"UNITED ST6",1993,238784,2508353,103366
"UNITED ST2",1993,433214,1307796,68831
"UNITED ST0",1993,189782,1914830,112306
"UNITED ST7",1992,454462,2473104,84986
"UNITED ST7",1993,303766,5574712,106185
"UNITED ST2",1992,340445,2513347,89125
"UNITED ST4",1992,227504,6046613,85889
"UNITED ST5",1992,31972,3598503,114238
"UNITED ST4",1993,192641,2470437,104018
"UNITED ST4",1993,304296,4323431,78016
"UNITED ST5",1993,516402,3948769,85102
"UNITED ST1",1993,525041,2660785,63961
"UNITED ST4",1993,450561,3079006,90692
"UNITED ST2",1993,111767,7572181,106725
"UNITED ST2",1992,563713,7995105,106601
"UNITED ST7",1992,43083,2797094,61564
"UNITED ST9",1993,488784,4946000,106365
"UNITED ST6",1993,89110,404472,65946
"UNITED ST8",1992,340014,3356990,63240
"UNITED ST9",1992,527429,3539052,87384
"UNITED ST7",1993,516286,4774085,78135
"UNITED ST6",1992,350062,2615541,66723
"UNITED ST0",1992,461168,308255,67748
"UNITED ST8",1992,440638,781411,94716
"UNITED ST9",1993,528354,2167493,82939
"UNITED ST2",1993,192692,3690738,107081
"UNITED ST6",1993,94982,2087690,118618
"UNITED ST2",1992,185378,4981311,87802
"UNITED ST1",1992,405318,348637,73397
"UNITED ST6",1993,434061,1791072,59702
"UNITED ST4",1992,174627,5222271,102097
"UNITED ST2",1992,75542,6841070,91052
"UNITED ST5",1993,511982,7497289,119637
"UNITED ST6",1992,108484,4835635,89548
"UNITED ST6",1993,338722,7002343,105642
"UNITED ST5",1992,161008,2612636,64140
"UNITED ST2",1993,317664,4796065,100899
"UNITED ST2",1993,464334,118146,77898
"UNITED ST3",1992,396849,180962,116749
"UNITED ST2",1993,491928,570210,115194
"UNITED ST6",1993,428015,1506898,56579
"UNITED ST3",1992,538688,4399529,103599
"UNITED ST8",1993,276465,3282181,86487
"UNITED ST8",1992,512254,2074084,75973
"UNITED ST9",1993,502067,2234293,64142
"UNITED ST8",1993,90554,5458439,92673
"UNITED ST0",1992,51656,7798710,96459
"UNITED ST2",1992,10363,2223286,76401
"UNITED ST1",1993,324410,6885120,86064
"UNITED ST8",1993,287100,4950607,65225
"UNITED ST9",1993,301594,4395822,95734
"UNITED ST6",1992,479292,4678273,76276
"UNITED ST7",1992,293525,2997538,91110
"UNITED ST8",1992,15392,125509,78443
"UNITED ST3",1992,260753,6393963,102824
"UNITED ST7",1992,193207,3531343,78012
"UNITED ST5",1993,349204,2619167,75191
"UNITED ST5",1993,235794,7804767,103786
"UNITED ST8",1992,117644,611483,99698
"UNITED ST1",1992,143450,3440908,89607
"UNITED ST2",1992,281018,1579419,59940
"UNITED ST8",1993,342274,6256183,78975
"UNITED ST1",1993,533235,4519900,76092
"UNITED ST7",1993,498039,4484031,62220
"UNITED ST4",1992,427938,1697978,111954
"UNITED ST0",1992,215483,4796752,83908
"UNITED ST9",1993,404589,1642916,89613
"UNITED ST2",1992,237003,93999,56399
"UNITED ST7",1993,472495,3375181,88048
"UNITED ST2",1993,68268,4598887,74175
"UNITED ST1",1992,258129,3013468,65226
"UNITED ST4",1993,195573,5339424,100114
"UNITED ST6",1993,371254,3738502,79514
"UNITED ST6",1993,388825,6889716,114828
"UNITED ST3",1992,125112,105751,68226
"UNITED ST2",1992,374807,8219658,112907
"UNITED ST6",1993,536517,3573027,93209
"UNITED ST9",1993,327972,2495950,119997
"UNITED ST7",1992,597520,582300,97050
"UNITED ST5",1992,531909,2235893,116452
"UNITED ST8",1993,388589,7549065,100654
"UNITED ST7",1993,228078,2288786,60363
"UNITED ST1",1993,173688,1569656,105700
"UNITED ST0",1992,574345,4360151,85159
"UNITED ST7",1993,490968,2703337,117536
"UNITED ST3",1993,596291,5920868,83236
"UNITED ST7",1992,36462,5638590,83907
"UNITED ST0",1992,103790,7261261,107627
"UNITED ST5",1993,2463,256706,81927
"UNITED ST1",1993,530870,6010487,114051
"UNITED ST3",1993,486338,1807683,79458
"UNITED ST3",1992,239968,3945640,114477
"UNITED ST2",1992,372545,5020813,97051
"UNITED ST0",1992,105560,5776916,93933
"UNITED ST3",1992,109596,1194558,96335
"UNITED ST7",1992,266094,398590,63604
"UNITED ST1",1993,126898,3547572,115493
"UNITED ST5",1993,154661,4563655,102939
"UNITED ST8",1992,338061,652835,65943
"UNITED ST3",1993,268406,5503057,82463
"UNITED ST4",1992,517474,135721,89487
"UNITED ST4",1993,473493,142247,87988
"UNITED ST7",1992,43311,2264029,75258
"UNITED ST4",1992,486571,6308077,93453
"UNITED ST3",1993,151281,5143933,79936
"UNITED ST9",1992,156595,7219099,99095
"UNITED ST5",1992,278981,8067236,117598
"UNITED ST8",1993,362115,1631460,70626
"UNITED ST5",1992,63912,6059189,112554
"UNITED ST3",1992,448019,3090500,58019
"UNITED ST8",1993,429724,826850,99222
"UNITED ST6",1993,509165,4968960,70448
"UNITED ST9",1993,242313,3735772,75318
"UNITED ST7",1993,452347,5363592,77959
"UNITED ST5",1993,246380,6239244,79582
"UNITED ST3",1993,286039,652937,61501
"UNITED ST7",1993,44797,8273502,104507
"UNITED ST3",1993,371959,5830828,121856
"UNITED ST2",1993,238423,4447726,81684
"UNITED ST3",1993,543107,3533045,69004
"UNITED ST9",1993,284022,3983799,60360
"UNITED ST6",1993,306506,2365534,90749
"UNITED ST5",1993,593245,3345550,80293
"UNITED ST5",1992,20257,541535,70635
"UNITED ST7",1992,258876,6422010,110091
"UNITED ST9",1992,576749,7894413,109543
"UNITED ST7",1993,349175,3878138,73449
"UNITED ST6",1993,517890,5914397,114472
"UNITED ST6",1992,238166,1153836,66249
"UNITED ST5",1993,58706,3752233,99882
"UNITED ST8",1993,532291,3705156,79396
"UNITED ST4",1993,386976,9283320,123777
"UNITED ST8",1992,48940,7102414,113336
"UNITED ST8",1993,213974,3779695,113277
"UNITED ST4",1993,317571,2001585,95313
"UNITED ST1",1992,197768,8496671,111945
"UNITED ST3",1993,467211,4010558,70691
"UNITED ST4",1993,495592,3730789,95254
"UNITED ST7",1992,50268,793087,73095
"UNITED ST6",1993,354033,929402,65221
"UNITED ST0",1992,430623,4190059,93216
"UNITED ST7",1992,488614,3141076,96155
"UNITED ST9",1992,498435,421422,86004
"UNITED ST6",1992,361340,902456,84079
"UNITED ST0",1993,426933,9113559,111594
"UNITED ST5",1993,29329,2319083,75499
"UNITED ST0",1992,187417,1715027,90264
"UNITED ST2",1992,440002,2622472,56518
"UNITED ST4",1992,145359,4044528,84261
"UNITED ST4",1992,592887,728588,118791
"UNITED ST9",1993,481397,6154422,82702
"UNITED ST6",1992,213337,2160552,75019
"UNITED ST6",1993,237289,465982,73576
"UNITED ST4",1992,281507,571580,89309
"UNITED ST7",1993,77004,2854710,58860
"UNITED ST6",1993,120811,5854464,109908
"UNITED ST3",1992,494864,3925870,111530
"UNITED ST8",1992,505317,5585352,79337
"UNITED ST5",1993,564072,5289448,68163
"UNITED ST0",1993,457503,3148794,87628
"UNITED ST4",1993,249563,3618019,90753
"UNITED ST2",1992,150793,4203841,110627
"UNITED ST5",1992,437279,1992217,72975
"UNITED ST5",1993,320056,511119,64562
"UNITED ST5",1992,83316,1157685,77958
"UNITED ST7",1993,66435,1210835,84085
"UNITED ST3",1992,79092,3568871,64265
"UNITED ST3",1993,454680,3432786,98079
"UNITED ST3",1993,44220,3284264,69853
"UNITED ST6",1993,251972,2251033,115437
"UNITED ST9",1993,434130,2873097,63846
"UNITED ST1",1993,549274,4454059,79395
"UNITED ST1",1992,147525,584977,94351
"UNITED ST9",1992,326292,2999087,79096
"UNITED ST1",1992,359841,7823816,114049
"UNITED ST0",1992,442301,5848389,74596
"UNITED ST4",1992,386126,5185406,72726
"UNITED ST0",1992,171220,712753,77473
"UNITED ST3",1993,366685,6416367,105100
"UNITED ST5",1993,417291,1135773,72496
"UNITED ST0",1992,248311,4813044,75558
"UNITED ST3",1993,22011,1612241,55980
"UNITED ST3",1993,586167,1515046,75188
"UNITED ST5",1992,67318,5380307,77118
"UNITED ST2",1992,400627,3111721,91656
"UNITED ST2",1993,582663,7548147,104738
"UNITED ST7",1993,595430,887788,91524
"UNITED ST9",1993,549985,2014610,122097
"UNITED ST7",1992,469766,3402050,104144
"UNITED ST6",1993,136386,3763617,85342
"UNITED ST5",1993,523960,3213982,119036
"UNITED ST7",1992,295566,843237,93693
"UNITED ST9",1993,487987,4724104,118497
"UNITED ST0",1993,388861,7674609,116991
"UNITED ST8",1992,442115,1847793,63425
"UNITED ST6",1993,412675,5334504,95259
"UNITED ST0",1992,156892,6706130,116933
"UNITED ST6",1992,353904,890839,117473
"UNITED ST4",1992,161654,1914665,102939
"UNITED ST6",1993,566835,4598576,114108
"UNITED ST1",1993,395058,3009434,69182
"UNITED ST1",1992,553678,3740364,103899
"UNITED ST2",1993,31540,691623,88292
"UNITED ST3",1993,360145,3974518,72307
"UNITED ST5",1993,537698,5783252,104140
"UNITED ST7",1993,56451,4737476,84447
"UNITED ST8",1992,343573,2677023,96993
"UNITED ST1",1993,362192,2189798,75250
"UNITED ST3",1993,162026,4350991,65281
"UNITED ST4",1992,104732,2716245,104203
"UNITED ST6",1993,416009,2521495,55498
"UNITED ST3",1993,76797,7588273,106427
"UNITED ST0",1993,330623,5172492,99216
"UNITED ST4",1993,576790,8422866,112006
"UNITED ST4",1993,206851,3445366,105470
"UNITED ST8",1993,333864,1503097,113871
"UNITED ST0",1992,295318,4899922,78798
"UNITED ST5",1992,66991,2290848,117479
"UNITED ST0",1993,293827,8193645,109248
"UNITED ST7",1992,165339,4571094,84259
"UNITED ST8",1993,95360,504193,81321
"UNITED ST3",1993,485381,4495324,81981
"UNITED ST7",1993,118481,4508936,89968
"UNITED ST3",1993,179434,6192955,90805
"UNITED ST3",1992,177105,1969378,70926
"UNITED ST4",1992,273537,4037619,90631
"UNITED ST2",1993,175179,4221536,75250
"UNITED ST6",1993,26518,1063159,86670
"UNITED ST9",1993,378606,980431,101075
"UNITED ST6",1993,526656,3230649,100957
"UNITED ST0",1993,388851,3575125,116390
"UNITED ST3",1992,71718,6228271,101382
"UNITED ST9",1992,540614,6624978,99275
"UNITED ST1",1992,444146,2747102,65407
"UNITED ST5",1993,273405,1791907,82703
"UNITED ST1",1993,303284,3733083,77236
"UNITED ST9",1993,283579,5512711,93753
"UNITED ST1",1993,346134,5088677,70807
"UNITED ST0",1993,107350,6181371,81441
"UNITED ST4",1993,553975,6865966,121737
"UNITED ST8",1993,368930,4781416,119935
"UNITED ST4",1993,9175,917207,65050
"UNITED ST0",1993,94422,4487218,84985
"UNITED ST3",1992,497191,2305049,71290
"UNITED ST1",1993,375709,1659761,107081
"UNITED ST5",1993,241695,6896969,98200
"UNITED ST7",1993,139516,6649805,93330
"UNITED ST7",1993,522525,294025,92850
"UNITED ST4",1992,382756,5766288,110324
"UNITED ST4",1992,72737,7471520,102583
"UNITED ST5",1992,395814,945351,114588
"UNITED ST1",1992,237265,2945512,72135
"UNITED ST4",1992,455178,3023244,67989
"UNITED ST8",1992,172002,2221032,64440
"UNITED ST1",1992,103108,4246624,66666
"UNITED ST4",1993,28501,6444186,85770
"UNITED ST9",1993,473870,2743648,110631
"UNITED ST2",1992,143099,3864832,68525
"UNITED ST2",1993,110020,2544149,61801
"UNITED ST7",1992,330078,2892036,66483
"UNITED ST3",1993,260558,2798669,91112
"UNITED ST5",1992,544769,3101495,108824
"UNITED ST4",1992,519270,3306926,77355
"UNITED ST9",1993,585947,6375237,121975
"UNITED ST9",1993,548131,3697688,70746
"UNITED ST5",1993,17719,641590,98202
"UNITED ST3",1993,365852,7096008,115070
"UNITED ST5",1992,555529,2947170,95070
"UNITED ST8",1993,185211,477005,77772
"UNITED ST8",1993,187434,4089603,91285
"UNITED ST1",1992,306799,3022875,108346
"UNITED ST7",1992,422628,2769371,93036
"UNITED ST0",1993,303832,3917639,110149
"UNITED ST6",1993,488070,97340,63483
"UNITED ST5",1993,302608,2142084,96635
"UNITED ST7",1993,238385,1685973,79402
"UNITED ST6",1992,393433,5421843,91585
"UNITED ST2",1992,399842,6641058,116509
"UNITED ST2",1993,365660,854196,103539
"UNITED ST0",1993,133972,9227462,120358
"UNITED ST6",1993,592373,278416,87921
"UNITED ST7",1993,196911,2216732,120474
"UNITED ST4",1993,281509,1770702,89429
"UNITED ST2",1993,240823,4310751,105828
"UNITED ST5",1993,192776,8607554,112126
"UNITED ST8",1993,427780,7698582,102465
"UNITED ST0",1993,495358,5665039,81199
"UNITED ST1",1992,440440,1893936,82825
"UNITED ST8",1992,295090,1715511,65104
"UNITED ST8",1992,292065,2029536,63423
"UNITED ST5",1992,103329,4439290,79939
"UNITED ST8",1992,204367,4049249,76281
"UNITED ST9",1992,327588,6649686,96934
"UNITED ST4",1992,403277,5262734,70815
"UNITED ST4",1993,251138,5118864,65347
"UNITED ST8",1992,436835,2303353,106308
"UNITED ST9",1992,210491,399421,84088
"UNITED ST2",1993,17469,2239132,83187
"UNITED ST2",1993,77236,3930865,72793
"UNITED ST6",1992,477931,3436038,114534
"UNITED ST4",1992,49719,2149298,100122
"UNITED ST3",1993,223946,2636601,112195
"UNITED ST6",1992,105589,3788722,95674
"UNITED ST5",1993,320630,4412107,99037
"UNITED ST7",1993,41014,2750428,57300
"UNITED ST7",1993,377156,3662425,73988
"UNITED ST9",1993,344991,5332231,122158
"UNITED ST3",1993,440560,5101836,90032
"UNITED ST8",1992,292338,1806574,79819
"UNITED ST6",1993,472814,1751054,107207
"UNITED ST8",1992,298120,1051023,67086
"UNITED ST5",1992,557348,5947314,84319
"UNITED ST2",1992,397369,290337,87981
"UNITED ST5",1992,269975,2532337,116697
"UNITED ST0",1993,88139,4639267,67627
"UNITED ST6",1992,137350,2497230,83241
"UNITED ST9",1992,61358,2041034,79161
"UNITED ST4",1993,337444,4124301,88885
"UNITED ST1",1993,497301,4024668,77896
"UNITED ST7",1992,47506,5720976,87210
"UNITED ST2",1992,308710,3918636,103122
"UNITED ST0",1992,271958,7903104,115796
"UNITED ST2",1993,441997,1745073,116338
"UNITED ST9",1993,90311,2813432,78078
"UNITED ST4",1992,357631,1122932,101317
"UNITED ST9",1993,225372,1219518,77841
"UNITED ST7",1993,109768,6117272,106665
"UNITED ST6",1992,119268,4477090,77235
"UNITED ST8",1992,565004,962082,64138
"UNITED ST5",1992,418418,6222231,80183
"UNITED ST8",1992,350841,1853993,113509
"UNITED ST9",1993,457857,5985309,108889
"UNITED ST4",1992,464131,876088,65706
"UNITED ST1",1993,87418,4722177,84324
"UNITED ST9",1993,70750,6048436,103245
"UNITED ST9",1992,60084,2606023,62644
"UNITED ST4",1993,65573,301559,92314
"UNITED ST5",1992,139140,448073,70748
"UNITED ST2",1992,219842,4328816,105709
"UNITED ST0",1993,37601,761607,92316
"UNITED ST4",1993,347698,698272,104740
"UNITED ST5",1993,76382,2968060,81502
"UNITED ST5",1993,414187,5014682,66069
"UNITED ST7",1992,128706,3989810,104082
"UNITED ST8",1993,480354,5099809,80059
"UNITED ST4",1992,454171,4554607,67509
"UNITED ST9",1993,543722,5244129,105942
"UNITED ST5",1992,116275,1472047,77476
"UNITED ST7",1993,582603,4839300,101134
"UNITED ST3",1992,36203,2099545,68352
"UNITED ST8",1992,529324,4677004,81198
"UNITED ST4",1992,58962,8039217,115257
"UNITED ST5",1992,114098,889672,66725
"UNITED ST8",1992,597155,1367325,75127
"UNITED ST3",1992,14056,4513642,58203
"UNITED ST8",1992,463376,4532360,80361
"UNITED ST6",1993,443844,5486819,107269
"UNITED ST4",1993,502669,6579575,100298
"UNITED ST4",1993,424662,7463554,95198
"UNITED ST8",1992,488223,557152,72672
"UNITED ST0",1992,205462,1072080,82047
"UNITED ST0",1992,508935,8862285,116634
"UNITED ST4",1992,175683,5015755,105520
"UNITED ST0",1993,459277,959330,74175
"UNITED ST6",1993,16724,6702341,98443
"UNITED ST6",1992,528562,5826148,95432
"UNITED ST5",1992,540108,1549908,68884
"UNITED ST8",1992,271099,3531264,64204
"UNITED ST3",1992,229740,2704962,100183
"UNITED ST1",1992,13741,5386178,99284
"UNITED ST8",1993,355898,7424744,117232
"UNITED ST0",1992,445110,4557988,63305
"UNITED ST0",1992,101727,2178187,103723
"UNITED ST3",1993,152380,3063860,85942
"UNITED ST3",1993,247142,3848985,65347
"UNITED ST5",1992,583609,5754772,101554
"UNITED ST9",1993,105420,3114542,85525
"UNITED ST8",1993,322689,5253115,102700
"UNITED ST6",1992,549648,6875361,101857
"UNITED ST3",1993,302518,6779909,91230
"UNITED ST0",1993,339991,7827396,121858
"UNITED ST1",1993,288260,112342,74895
"UNITED ST3",1992,71242,5071343,72794
"UNITED ST0",1993,477709,6240716,101200
"UNITED ST5",1992,404446,3043846,81025
"UNITED ST5",1992,455340,3264206,77719
"UNITED ST4",1993,185731,7930026,109003
"UNITED ST4",1992,581280,2695294,81675
"UNITED ST3",1992,434834,1213403,106128
"UNITED ST7",1993,385430,3999193,90925
"UNITED ST3",1992,560001,4678921,63658
"UNITED ST5",1993,506988,574548,119697
"UNITED ST9",1993,381340,1023357,85279
"UNITED ST9",1992,428531,542937,87570
"UNITED ST4",1992,41950,3670383,113517
"UNITED ST8",1992,170043,771336,66782
"UNITED ST1",1993,567753,3852664,109243
"UNITED ST8",1992,224268,4190758,71535
"UNITED ST7",1992,173507,766542,94830
"UNITED ST7",1992,211435,1252170,80785
"UNITED ST2",1992,240227,1519707,70032
"UNITED ST1",1992,537871,3264133,114531
"UNITED ST4",1992,594608,5669591,102154
"UNITED ST6",1993,219909,8251951,109733
"UNITED ST8",1992,547608,2890642,99334
"UNITED ST1",1992,296814,5501210,108648
"UNITED ST7",1993,286622,6001723,96516
"UNITED ST2",1993,2729,4242472,97903
"UNITED ST1",1992,169960,397872,121797
"UNITED ST1",1993,172197,1523028,76151
"UNITED ST6",1993,299576,2930541,94533
"UNITED ST5",1992,321054,4644172,64502
"UNITED ST4",1993,7398,6332446,78323
"UNITED ST9",1993,287767,5222136,105285
"UNITED ST5",1993,583878,3135036,117711
"UNITED ST7",1992,451437,4648396,83304
"UNITED ST4",1993,577348,142532,85519
"UNITED ST6",1993,228549,3803162,88651
"UNITED ST6",1992,180996,3867355,124619
"UNITED ST5",1992,390716,3566425,108402
"UNITED ST4",1992,516387,4518819,84201
"UNITED ST8",1993,440143,2787950,64987
"UNITED ST7",1993,61106,845143,64026
"UNITED ST7",1992,329753,4542421,106964
"UNITED ST4",1993,257049,3021108,60361
"UNITED ST9",1992,288147,4481493,68107
"UNITED ST7",1992,47791,2385619,104327
"UNITED ST3",1993,156328,2104166,83059
"UNITED ST7",1993,526258,122001,77053
