"c_nation","d_year","lo_partkey","lo_revenue","lo_supplycost"
"BRAZIL",1993,294448,3756087,86545
"BRAZIL",1993,581261,5207891,80534
"BRAZIL",1993,38471,2706182,84568
"BRAZIL",1993,380950,8209059,121856
"BRAZIL",1993,22979,5711615,114118
"ARGENTINA",1993,349257,2884177,78374
"UNITED STATES",1994,49301,3919690,75018
"ARGENTINA",1992,398952,8121722,123056
"ARGENTINA",1992,543093,4187554,68164
"BRAZIL",1997,106006,4141104,60720
"ARGENTINA",1994,48992,8482126,116459
"ARGENTINA",1992,499742,3483440,104503
"CANADA",1997,246504,6544610,87029
"UNITED STATES",1992,538661,3870080,101978
"UNITED STATES",1992,465577,2443399,92553
"UNITED STATES",1992,385026,2555323,66660
"ARGENTINA",1996,470218,437253,71291
"ARGENTINA",1996,353758,3000241,108704
"ARGENTINA",1996,202926,1664308,109734
"ARGENTINA",1996,161475,1788451,92188
"UNITED STATES",1997,261483,5633433,86668
"UNITED STATES",1997,519721,5686866,104442
"CANADA",1992,71098,4021916,64145
"CANADA",1992,330788,4736077,109126
"PERU",1992,342364,4479224,84381
"ARGENTINA",1995,17052,2790864,58143
"ARGENTINA",1995,44076,1199602,61204
"ARGENTINA",1995,334499,5768951,92008
"CANADA",1995,266800,6809208,106007
"CANADA",1995,303177,5211586,70809
"UNITED STATES",1993,76466,6997373,86547
"UNITED STATES",1993,119873,3373094,113572
"ARGENTINA",1992,132422,1588226,87265
"ARGENTINA",1994,187946,7694395,122036
"CANADA",1997,389080,4601459,70144
"BRAZIL",1996,120165,1149605,71109
"CANADA",1997,146513,888920,93570
"CANADA",1996,342492,4519043,92068
"ARGENTINA",1994,416992,1420273,114538
"ARGENTINA",1994,237192,3432707,67750
"CANADA",1995,310794,6334777,108286
"PERU",1992,194336,693710,85819
"CANADA",1994,401285,960870,71175
"CANADA",1994,94511,1540136,90330
"ARGENTINA",1996,469847,4496629,109009
"ARGENTINA",1996,99282,4817612,76876
"ARGENTINA",1996,344482,5893700,91588
"ARGENTINA",1996,297452,7102256,86966
"BRAZIL",1994,535448,4984291,89005
"BRAZIL",1997,280273,691799,75195
"BRAZIL",1997,542741,4594862,107023
"BRAZIL",1992,9591,1228983,90035
"BRAZIL",1997,339252,1561109,77474
"CANADA",1995,13036,3245682,56941
"CANADA",1997,354688,1725243,104560
"PERU",1992,566573,4116910,98373
"CANADA",1997,251542,1630934,89611
"CANADA",1997,125809,4220040,110088
"ARGENTINA",1997,159672,3026959,103900
"BRAZIL",1994,313255,2683595,76094
"BRAZIL",1994,525778,692640,108225
"CANADA",1993,102434,2222157,86185
"CANADA",1993,203587,6376658,89434
"CANADA",1993,523859,7787384,112969
"BRAZIL",1993,222925,7905358,110874
"BRAZIL",1993,576774,7799060,111045
"BRAZIL",1993,274767,1654662,104505
"BRAZIL",1995,233180,2755095,66790
"BRAZIL",1995,135402,5421872,86244
"UNITED STATES",1992,437895,3377979,109972
"PERU",1998,306796,2911489,108166
"UNITED STATES",1993,396035,4168939,67861
"ARGENTINA",1993,490278,1353222,76095
"PERU",1992,418216,5217274,68051
"CANADA",1997,350670,7200962,103239
"CANADA",1997,506438,5183987,86664
"ARGENTINA",1997,71729,6000140,102043
"BRAZIL",1994,267384,3378425,81082
"CANADA",1993,83211,3076284,71652
"CANADA",1993,524161,5518011,71108
"CANADA",1996,318921,6564655,116394
"CANADA",1996,288538,3443829,91591
"BRAZIL",1996,186749,4185487,110144
"ARGENTINA",1996,464371,6342912,80121
"ARGENTINA",1992,251003,1972851,57239
"ARGENTINA",1996,436762,4540732,101924
"CANADA",1996,436701,6337821,98260
"CANADA",1996,79092,2226796,64265
"CANADA",1996,288109,5101468,65825
"CANADA",1992,490020,2278560,60600
"CANADA",1992,157024,994538,64861
"ARGENTINA",1998,482329,2439018,78678
"ARGENTINA",1998,238249,4805907,71233
"CANADA",1993,413040,2315838,57181
"CANADA",1993,484791,3672292,106546
"UNITED STATES",1994,89119,1854976,66486
"UNITED STATES",1994,215519,5663406,86070
"UNITED STATES",1994,371066,4632341,68223
"UNITED STATES",1994,403137,3894171,62406
"ARGENTINA",1995,349716,1677415,105942
"ARGENTINA",1995,63371,5337480,80062
"PERU",1994,297034,1501165,61861
"PERU",1994,238187,2779169,67510
"BRAZIL",1995,248748,3987315,101803
"BRAZIL",1995,440988,4158837,115737
"PERU",1997,566665,4052037,103898
"ARGENTINA",1992,117689,952327,102400
"ARGENTINA",1992,383930,183266,120835
"CANADA",1994,134040,4059871,64442
"PERU",1994,369528,4605621,95850
"PERU",1994,247412,4757900,81564
"PERU",1994,594561,7946592,99332
"PERU",1994,121168,4266706,71349
"UNITED STATES",1994,308958,7867760,118016
"BRAZIL",1992,270861,511086,109911
"BRAZIL",1992,122310,5883480,79938
"CANADA",1993,59680,2862881,98380
"UNITED STATES",1995,473936,748684,114594
"PERU",1994,268552,7070511,91232
"PERU",1994,594541,752339,98131
"PERU",1993,283479,2152741,87747
"PERU",1993,425405,6518862,79822
"PERU",1995,8345,5264028,75200
"PERU",1996,593295,5680800,83296
"PERU",1997,376376,133617,87141
"ARGENTINA",1997,6986,1298584,113578
"ARGENTINA",1997,397310,270201,84438
"UNITED STATES",1995,36143,1115830,64748
"PERU",1995,457071,2518722,61683
"PERU",1995,431828,2815680,105588
"PERU",1992,545236,1130027,76872
"CANADA",1993,559742,5405160,108103
"CANADA",1993,513740,1813346,105223
"CANADA",1993,331466,1647195,89847
"CANADA",1993,546380,389396,85581
"CANADA",1993,38465,6464336,84207
"CANADA",1996,547094,2772800,68464
"PERU",1996,23961,3087564,113097
"BRAZIL",1997,39029,3872080,58081
"BRAZIL",1997,23571,2950281,89674
"BRAZIL",1997,145048,4197273,65582
"BRAZIL",1997,216141,2693567,63427
"BRAZIL",1996,12932,4652913,110695
"BRAZIL",1995,88796,6782202,107087
"UNITED STATES",1996,21564,5948182,89133
"BRAZIL",1992,195133,558799,73687
"BRAZIL",1995,539109,1253703,68884
"BRAZIL",1995,204639,293287,92617
"PERU",1998,174311,3948133,83118
"CANADA",1994,577512,3217127,95369
"CANADA",1994,124186,435664,72610
"CANADA",1998,389440,2615325,91765
"CANADA",1998,504150,447802,69247
"CANADA",1998,336517,2120527,93210
"BRAZIL",1997,456360,2653741,78980
"UNITED STATES",1995,43484,4546523,85648
"UNITED STATES",1995,435157,298151,65527
"UNITED STATES",1995,153495,5918328,92909
"UNITED STATES",1995,377463,4778475,92427
"UNITED STATES",1996,126183,3627540,72550
"UNITED STATES",1996,572810,8048927,112967
"UNITED STATES",1996,210484,5505367,83668
"PERU",1992,218177,4277694,65709
"PERU",1992,289394,3795994,83002
"BRAZIL",1996,341018,4193640,63540
"ARGENTINA",1996,352703,790060,105341
"ARGENTINA",1996,473250,4299653,73393
"ARGENTINA",1996,210725,6624625,98142
"ARGENTINA",1996,444756,6275693,102043
"BRAZIL",1993,415211,109240,67571
"ARGENTINA",1994,144498,4318972,92549
"ARGENTINA",1994,405946,1796362,111115
"BRAZIL",1997,251214,1864320,69912
"BRAZIL",1997,181473,4626102,93268
"BRAZIL",1994,275269,2807028,74655
"UNITED STATES",1992,505638,3707984,98616
"UNITED STATES",1995,42259,2378475,72075
"UNITED STATES",1995,524631,2463547,99336
"BRAZIL",1995,162915,727870,118674
"PERU",1995,154498,2235585,93149
"PERU",1995,569375,990824,86661
"CANADA",1993,577817,5881428,113687
"CANADA",1993,368683,2231627,105100
"ARGENTINA",1996,495666,4306970,99698
"BRAZIL",1995,182298,6901450,82817
"BRAZIL",1995,280160,4104540,68409
"BRAZIL",1995,438543,2785257,88891
"BRAZIL",1995,180795,7229294,112547
"ARGENTINA",1993,108048,3326526,63362
"PERU",1997,371652,5176090,103418
"PERU",1997,348113,3995345,69666
"CANADA",1995,154196,2587893,75011
"CANADA",1995,160251,6231060,78675
"PERU",1998,273742,6176628,102943
"PERU",1998,569807,8203405,112606
"CANADA",1992,254850,7147166,108290
"UNITED STATES",1998,247432,878690,82765
"ARGENTINA",1997,316793,4814014,108586
"ARGENTINA",1997,109353,4046179,81741
"CANADA",1992,526838,6618210,111888
"BRAZIL",1993,259219,5094536,70692
"UNITED STATES",1995,160407,4745571,88044
"CANADA",1992,23025,345079,56881
"BRAZIL",1995,141203,3508644,74652
"CANADA",1996,519430,3774263,86964
"CANADA",1998,341954,1995940,119756
"BRAZIL",1994,303404,6020814,84443
"BRAZIL",1994,21637,5673413,93517
"CANADA",1995,122306,644225,79698
"ARGENTINA",1995,122947,7793082,118196
"CANADA",1996,589823,4590720,114768
"CANADA",1996,88517,5180459,90330
"PERU",1995,301969,8613051,118257
"BRAZIL",1993,53704,7401630,99462
"PERU",1993,124142,3969540,69968
"PERU",1996,526276,829533,78135
"PERU",1996,403657,5899181,93637
"CANADA",1993,157096,3985079,69185
"CANADA",1993,219349,497185,76099
"BRAZIL",1997,65544,1825033,90572
"ARGENTINA",1995,506593,5643282,95974
"CANADA",1993,495141,5169346,68167
"CANADA",1993,421834,2236901,105348
"PERU",1997,38931,5048811,112195
"BRAZIL",1993,50344,2213321,77660
"CANADA",1997,348761,7803642,108585
"ARGENTINA",1994,580740,3932755,109243
"ARGENTINA",1994,551557,6305437,96511
"ARGENTINA",1994,173597,5437770,100235
"UNITED STATES",1993,463948,3995912,114715
"UNITED STATES",1993,573258,3714131,79873
"UNITED STATES",1994,527685,5795641,102759
"ARGENTINA",1996,11467,1485979,82707
"ARGENTINA",1996,115503,4099950,91110
"BRAZIL",1996,186641,3973572,103658
"UNITED STATES",1996,60765,3851896,103545
"UNITED STATES",1996,70150,917402,67209
"UNITED STATES",1996,468064,1684289,61922
"UNITED STATES",1995,282551,4250972,92012
"UNITED STATES",1995,469625,2870280,95676
"CANADA",1995,288909,2854426,113873
"BRAZIL",1993,497705,3235092,102160
"CANADA",1992,290106,4791009,65765
"UNITED STATES",1992,102869,2263078,112311
"BRAZIL",1994,384233,2868905,79033
"BRAZIL",1994,3254,2187202,69435
"PERU",1994,582387,719986,88161
"PERU",1994,597366,921904,87800
"ARGENTINA",1996,182747,8169789,109784
"ARGENTINA",1996,22682,3880116,96280
"ARGENTINA",1996,214186,1584244,66010
"BRAZIL",1997,452513,6471603,87929
"UNITED STATES",1996,149084,5552092,67984
"UNITED STATES",1996,39724,3027970,99823
"UNITED STATES",1996,91322,246904,78799
"PERU",1997,284082,1654540,63964
"CANADA",1996,499907,7551244,114412
"UNITED STATES",1995,545236,5893566,76872
"ARGENTINA",1993,461252,3122854,72793
"ARGENTINA",1997,595894,1719247,119392
"ARGENTINA",1997,575612,614282,101255
"ARGENTINA",1997,458209,224098,70030
"PERU",1996,289011,2850000,60000
"PERU",1996,400132,4367889,61926
"ARGENTINA",1996,149375,2096672,85462
"BRAZIL",1998,38659,6441724,95859
"PERU",1996,6230,215883,68173
"PERU",1996,71741,643990,102764
"BRAZIL",1998,19187,1351751,66370
"ARGENTINA",1994,308485,4913516,89608
"BRAZIL",1992,331390,3621676,85282
"BRAZIL",1992,235246,2499482,70873
"BRAZIL",1992,32629,6536941,93697
"PERU",1993,94992,4113069,119219
"PERU",1993,520819,1287853,110387
"ARGENTINA",1992,313494,6589195,90448
"ARGENTINA",1992,276929,5260311,114354
"ARGENTINA",1994,549724,1011009,106422
"PERU",1996,293046,2148714,62341
"PERU",1996,414735,4526804,98982
"UNITED STATES",1997,521979,3573696,120057
"CANADA",1992,256858,1168756,108890
"CANADA",1992,597474,286003,94287
"CANADA",1998,346680,2788572,103600
"UNITED STATES",1992,227196,1880203,67390
"UNITED STATES",1994,17851,2773556,106131
"UNITED STATES",1994,309551,2176953,93632
"PERU",1995,161951,2103532,120777
"PERU",1995,390435,4933208,91525
"PERU",1995,428267,579691,71714
"PERU",1997,44787,4329450,103906
"CANADA",1998,202024,3022496,55560
"UNITED STATES",1997,62073,4378346,62104
"UNITED STATES",1997,511880,1685647,113511
"UNITED STATES",1997,2491,794289,83609
"BRAZIL",1995,453595,2824591,92914
"CANADA",1996,123014,1140711,62220
"ARGENTINA",1994,582990,3418327,124378
"ARGENTINA",1997,251718,7608822,100182
"ARGENTINA",1997,18902,7391033,109254
"PERU",1996,510659,6381325,100177
"ARGENTINA",1994,581440,282984,91285
"ARGENTINA",1994,510132,322075,68526
"ARGENTINA",1992,154204,1602946,75492
"ARGENTINA",1997,42337,3450353,76759
"ARGENTINA",1995,586632,7501732,103116
"ARGENTINA",1995,593946,7596662,122395
"ARGENTINA",1995,236077,455877,60783
"ARGENTINA",1995,232700,3188643,97961
"ARGENTINA",1995,188290,5052811,82697
"PERU",1996,435776,4575507,102705
"BRAZIL",1996,454084,2980270,62283
"PERU",1997,410188,645718,65889
"PERU",1997,485175,3263501,69609
"ARGENTINA",1994,64550,2791315,90873
"CANADA",1994,204813,7669977,103068
"CANADA",1994,262244,1031326,72373
"UNITED STATES",1993,153105,3224150,69486
"UNITED STATES",1993,431328,5666850,75558
"ARGENTINA",1995,558225,1478246,76992
"PERU",1996,22886,2083829,108532
"PERU",1995,417959,2601424,112615
"BRAZIL",1997,95857,6603557,111171
"PERU",1995,320061,830246,64863
"CANADA",1993,546427,5755100,88404
"ARGENTINA",1994,364840,685738,114289
"ARGENTINA",1994,458175,322947,67989
"ARGENTINA",1994,136806,4284510,110568
"ARGENTINA",1994,85870,8351415,111352
"ARGENTINA",1994,210881,5735775,107512
"BRAZIL",1994,434173,1577688,66429
"BRAZIL",1998,138360,4760017,83901
"CANADA",1997,581268,3723902,80954
"BRAZIL",1994,142979,6769555,121318
"BRAZIL",1994,468786,4255293,105285
"ARGENTINA",1995,108606,4604839,96876
"UNITED STATES",1994,12446,5558736,81506
"UNITED STATES",1997,204856,2317265,105650
"UNITED STATES",1997,212753,6746247,99944
"BRAZIL",1997,343761,2375051,108285
"CANADA",1998,41716,1387503,99462
"CANADA",1998,485102,3196015,65224
"BRAZIL",1993,317381,3662331,83902
"BRAZIL",1993,312073,3569847,65103
"UNITED STATES",1993,393129,1173225,73326
"PERU",1996,234460,5756289,83667
"UNITED STATES",1995,480234,4403939,72852
"ARGENTINA",1996,585724,2305557,108582
"ARGENTINA",1996,524090,733058,66844
"UNITED STATES",1996,335679,1140248,102879
"ARGENTINA",1992,13524,3475923,86251
"ARGENTINA",1992,495641,7777218,98197
"PERU",1994,543640,5552578,101017
"PERU",1994,59071,611861,61804
"PERU",1996,448911,7244271,111593
"ARGENTINA",1996,533913,381590,116813
"PERU",1998,85226,599553,72673
"PERU",1998,192882,4443480,118492
"PERU",1998,289322,3574631,78678
"UNITED STATES",1992,275736,7394630,102703
"UNITED STATES",1992,466346,918624,78739
"BRAZIL",1996,274254,3205706,73694
"BRAZIL",1997,507152,2550086,69547
"ARGENTINA",1992,274239,4775233,72793
"UNITED STATES",1993,91000,1617312,59460
"UNITED STATES",1993,23859,8044219,106971
"UNITED STATES",1994,318647,7508660,99937
"CANADA",1995,154437,2578682,89485
"ARGENTINA",1996,216014,3749760,55800
"ARGENTINA",1996,29120,386076,62947
"CANADA",1996,339247,4545536,77173
"CANADA",1996,513684,5904461,101859
"BRAZIL",1997,469216,2488899,71111
"BRAZIL",1996,106931,7674202,116275
"PERU",1996,144929,1914702,118435
"ARGENTINA",1993,363857,8367179,115250
"BRAZIL",1998,356403,2035849,87563
"PERU",1997,587044,3745938,67861
"PERU",1997,88386,1022538,82462
"ARGENTINA",1997,180641,5736504,103298
"ARGENTINA",1997,26340,3070874,75980
"BRAZIL",1994,228900,1481400,109733
"ARGENTINA",1997,586906,7102624,119572
"ARGENTINA",1997,357519,1926483,94590
"UNITED STATES",1992,500944,6223744,116695
"PERU",1995,18902,165701,109254
"ARGENTINA",1996,287823,8606779,108648
"CANADA",1994,440554,5649323,89671
"BRAZIL",1993,542115,4443225,69425
"BRAZIL",1993,313788,4324248,108106
"ARGENTINA",1998,326910,5287737,116214
"ARGENTINA",1998,147834,6678614,112909
"ARGENTINA",1998,39522,1575518,87691
"CANADA",1995,472495,5208051,88048
"CANADA",1995,482063,3511334,62702
"CANADA",1995,170419,1820059,89364
"CANADA",1993,107408,5781909,84924
"UNITED STATES",1992,313090,1826700,66184
"PERU",1992,436806,1282686,104566
"PERU",1993,65967,7237002,115977
"ARGENTINA",1993,50884,3583520,110092
"ARGENTINA",1993,202689,869051,95500
"ARGENTINA",1993,382471,292050,93207
"CANADA",1997,40336,2136576,76579
"CANADA",1997,345123,3440083,70086
"BRAZIL",1995,513343,3552202,81379
"BRAZIL",1995,42406,133491,80904
"CANADA",1992,252883,7093801,110152
"BRAZIL",1993,528589,6056144,97053
"UNITED STATES",1997,416580,1406766,89793
"ARGENTINA",1996,170147,4919679,73028
"ARGENTINA",1993,437139,3549010,64566
"PERU",1995,16818,5898354,104088
"CANADA",1992,30646,5038941,94598
"CANADA",1992,64864,4711143,109731
"UNITED STATES",1995,41130,2888837,64267
"ARGENTINA",1995,80323,234597,78199
"CANADA",1992,263365,2523865,79701
"ARGENTINA",1996,362733,8188483,107743
"ARGENTINA",1996,416942,6258983,111535
"ARGENTINA",1996,488688,1287674,100599
"CANADA",1992,599101,2850190,72004
"CANADA",1992,354319,3000660,82398
"CANADA",1993,123219,1550278,74532
"BRAZIL",1992,310397,2320769,84442
"BRAZIL",1992,49949,7109631,113936
"ARGENTINA",1994,305853,3513207,111530
"CANADA",1993,581958,8996091,122395
"ARGENTINA",1994,20762,2968388,100965
"ARGENTINA",1994,95607,5913594,96156
"ARGENTINA",1992,549239,4292315,77292
"UNITED STATES",1997,384873,1879545,117471
"UNITED STATES",1997,558010,4919161,64079
"ARGENTINA",1995,310647,4028040,99457
"UNITED STATES",1992,493938,2812860,115914
"UNITED STATES",1992,103819,3536251,109368
"CANADA",1995,278178,679822,69369
"UNITED STATES",1995,569679,2544285,104919
"BRAZIL",1992,72865,7823770,110271
"CANADA",1994,13150,1626619,63789
"CANADA",1994,199305,3617476,84258
"ARGENTINA",1996,23537,6800227,87631
"ARGENTINA",1994,407917,536517,109493
"ARGENTINA",1994,507695,3468338,102160
"ARGENTINA",1994,237051,663962,59282
"ARGENTINA",1994,105476,6127359,88888
"UNITED STATES",1996,138211,2728274,74952
"UNITED STATES",1994,403503,6412142,84388
"CANADA",1995,7401,4258842,78504
"ARGENTINA",1994,440096,3854180,62164
"CANADA",1992,371570,152665,98493
"BRAZIL",1997,126686,3899772,102760
"BRAZIL",1997,548562,5875249,96632
"ARGENTINA",1996,74272,5503528,74776
"UNITED STATES",1998,320570,1208825,95433
"ARGENTINA",1995,67993,7589031,117659
"UNITED STATES",1995,161109,2152984,70206
"UNITED STATES",1998,270165,222489,68109
"UNITED STATES",1998,580747,5654965,109663
"PERU",1993,217535,3631300,87151
"PERU",1993,295151,5171383,68768
"PERU",1996,593982,6423020,124557
"PERU",1992,92533,2695611,91531
"BRAZIL",1998,309595,5314368,96274
"CANADA",1994,322194,4334465,72970
"BRAZIL",1994,366938,388954,120295
"BRAZIL",1996,417333,5053753,75018
"PERU",1993,117717,4943923,104082
"PERU",1993,253583,3000921,92194
"PERU",1995,546775,2710764,109305
"PERU",1995,35363,642688,77901
"PERU",1992,589417,1156907,90383
"PERU",1992,502772,843006,106485
"PERU",1992,442465,4738850,84446
"ARGENTINA",1995,400275,437193,70515
"ARGENTINA",1995,185507,3955770,95550
"ARGENTINA",1995,215516,2319030,85890
"CANADA",1996,557692,8146463,104980
"ARGENTINA",1992,179267,4935389,80775
"ARGENTINA",1995,262585,6691692,92854
"ARGENTINA",1997,452643,7419633,95737
"CANADA",1996,348108,2497154,69365
"CANADA",1996,45262,4225410,72435
"CANADA",1996,505962,9064331,118076
"ARGENTINA",1997,555534,7324462,95370
"CANADA",1994,29383,4238987,78742
"CANADA",1997,586187,3210909,76389
"CANADA",1997,29708,5568180,98262
"PERU",1998,432546,1720997,88711
"UNITED STATES",1995,115174,2001373,71350
"PERU",1994,538590,6512651,97714
"PERU",1994,474651,7646963,97537
"CANADA",1993,276227,1771125,72192
"ARGENTINA",1992,120116,2698261,68166
"CANADA",1994,347612,4938969,99576
"CANADA",1994,100951,757356,117117
"CANADA",1994,370793,3010004,111826
"CANADA",1994,309424,4304530,86004
"PERU",1997,59729,5130331,101323
"ARGENTINA",1997,555486,6797838,92487
"BRAZIL",1997,303633,4566169,98197
"UNITED STATES",1996,141687,670727,103720
"UNITED STATES",1996,255316,2082389,76278
"UNITED STATES",1996,23434,268771,81445
"UNITED STATES",1996,254074,2991654,61683
"PERU",1993,427357,1109661,77059
"ARGENTINA",1997,199823,8047001,115369
"ARGENTINA",1997,144747,6684981,107504
"BRAZIL",1995,312422,4016348,86064
"ARGENTINA",1997,574477,601962,93087
"BRAZIL",1993,370340,3803660,84619
"BRAZIL",1993,195969,6950655,123897
"ARGENTINA",1997,347224,1619521,76272
"BRAZIL",1993,392345,6215014,86239
"BRAZIL",1993,547042,4802578,65341
"ARGENTINA",1992,366636,6435903,102157
"PERU",1997,332218,5400864,75012
"PERU",1997,355697,7887060,105160
"ARGENTINA",1998,411378,6003213,77361
"BRAZIL",1997,85263,3145615,74895
"ARGENTINA",1994,1963,6243886,111897
"ARGENTINA",1994,221020,368875,56460
