"d_year","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
1997,49250,184473,6074133,93448
1998,30331,41232,5226739,70393
1998,30331,577494,4200539,94288
1992,39782,310884,5627763,113692
1992,39782,105632,589546,98257
1993,205739,341411,1931692,87144
1993,205739,281761,6490001,104565
1993,205739,62547,5555107,90572
1997,41002,306513,3965895,91170
1994,17731,554247,5504160,78073
1997,88574,470631,1825835,96096
1992,155360,40023,1155624,57781
1996,226174,202522,6017130,85470
1994,123416,451797,3821062,104926
1994,41983,277232,5804256,72553
1997,281998,334553,4400660,95252
1993,50554,122209,4373222,73872
1996,182668,124018,2578974,62520
1992,15721,543831,6411850,112488
1993,46241,479762,1295854,104504
1993,170407,380114,680637,71646
1994,223513,67362,2605545,79761
1997,269887,272566,2238590,92313
1997,269887,419558,3153049,88651
1998,24619,30293,5504805,73397
1998,24619,297049,4870315,62761
1998,24619,494278,3587745,76335
1996,227164,507818,8763792,109547
1996,227164,370735,7128982,108343
1996,227164,528139,5266000,70026
1996,116024,400512,2923854,84749
1996,116024,152232,584324,77053
1993,115132,191170,3714145,75670
1998,277256,595959,10069157,123295
1998,20537,243072,4102872,60903
1998,20537,495965,7557462,117656
1994,244157,471524,5006934,89730
1994,244157,555461,1201020,90986
1994,144667,320668,4633655,101319
1998,94603,24362,3628821,77181
1994,262051,397116,112818,72786
1994,262051,513132,336662,68706
1995,273877,99200,661958,71952
1995,273877,447556,6218600,90211
1993,281369,53631,4658812,95077
1995,11063,400993,375006,113638
1995,11063,537463,3646069,90026
1998,115456,153029,4579108,64921
1995,58231,482449,2897194,85885
1993,218738,356537,7652083,95611
1996,144773,400632,1618436,91956
1996,144773,453611,287884,93875
1996,144773,451456,5123045,84445
1992,12514,564706,5489108,106240
1996,7993,515705,5540589,103240
1996,7993,320241,605390,75673
1994,215383,596166,1749326,75728
1996,129410,104335,5362677,80359
1995,217279,568724,695567,107562
1996,197764,158096,106176,69245
1993,242152,361787,5888332,110926
1992,180233,189771,8205995,111646
1992,180233,203762,6896205,99945
1992,180233,172697,2689928,106181
1996,174626,586018,3378209,66239
1996,174626,286990,7376112,118618
1996,272806,369726,2909050,107742
1996,141394,504313,2898038,79037
1993,107401,378663,4730321,104499
1993,107401,573428,6155740,90084
1995,256894,151252,2997475,78195
1993,17335,40658,6394600,95919
1996,23522,140262,4427684,78135
1996,23522,535891,1949992,115612
1992,229756,274477,3410931,87087
1992,229756,373324,3930633,83838
1997,180020,121976,3758181,119878
1993,85807,311625,5999812,98196
1998,24998,408216,2090993,67451
1996,139744,103139,1370556,68527
1996,139744,466442,4485817,84505
1992,241915,526776,4624053,108165
1992,241915,523407,394784,85822
1992,242623,158133,1095839,71467
1992,242623,546621,3168440,100056
1995,194341,540717,1919397,105461
1995,194341,225274,3453868,71955
1995,194341,179157,899917,74169
1993,281423,526350,3105000,82579
1993,281423,548910,570036,117533
1992,56872,482168,523313,69008
1992,56872,183274,3189584,81436
1997,167230,543922,5913427,117954
1995,221890,188180,2100106,76090
1998,3508,375478,5345455,93207
1994,131671,419413,126577,79943
1994,131671,25508,1434933,86010
1994,131671,131254,1673395,77115
1996,144865,249069,1832490,61083
1992,222079,161196,3858316,75431
1992,222079,217502,809109,85169
1997,31102,537496,2930461,92008
1994,99949,58383,663983,80482
1994,99949,444124,304408,64086
1997,239314,580729,6601785,108582
1997,239314,105150,3548620,69309
1997,239314,590739,3997916,109782
1996,24031,240117,3805560,63426
1996,261424,138566,7154733,96273
1995,52417,280851,3909146,109910
1995,166888,395234,6122387,79753
1992,238018,122817,5175385,110388
1995,114673,516636,3718372,99156
1993,76355,131760,7450138,107505
1996,183422,240196,739653,68170
1993,270997,213985,8036441,113938
1993,270997,43026,4457492,58141
1997,35525,556129,3235323,71106
1997,35525,54788,6969377,104566
1993,57962,407885,2334303,107571
1994,250109,474884,8037710,111531
1997,98419,109255,3868605,75855
1998,202528,543366,4016619,84560
1998,202528,344255,1314830,77954
1993,85189,537902,4060168,116392
1993,85189,1352,2797477,75201
1993,85189,481375,1041676,81381
1995,155342,344885,2605324,115792
1995,155342,229704,316935,98021
1994,51559,317684,6233217,102100
1994,51559,504029,3408900,61980
1992,120250,410883,4520527,107631
1992,120250,82831,3232245,108829
1992,51353,142986,9154757,121738
1997,280871,229726,2001753,99342
1997,90233,510605,4404071,96934
1996,10436,395390,139625,89122
1997,186973,233805,5854505,104327
1997,186973,299604,3888705,96215
1996,242612,389885,4315090,118492
1994,72385,88407,3488500,83724
1996,50650,66645,3908227,96698
1996,50650,492522,6170073,90870
1996,50650,517169,747268,71168
1996,150577,352967,8532268,121197
1992,245749,190542,2791643,97952
1992,245749,249743,2654200,101563
1992,277057,168062,1661188,67803
1992,133171,518484,540885,90147
1992,272906,242084,4288972,61564
1996,22288,400369,2010634,76160
1996,22288,590546,307665,98191
1996,22288,96278,5869287,76456
1996,22288,529140,1262649,70147
1994,172772,213984,1920745,113878
1998,78758,41589,4652963,91834
1995,251080,346854,3712340,114050
1995,251080,571128,3489381,71946
1997,93379,327672,7908517,101979
1997,97642,331776,5488359,108465
1997,97642,346782,5793543,109726
1996,137083,262385,3907373,80842
1996,137083,444558,601012,90151
1996,137083,472733,3104392,102342
1997,62903,429487,3192700,84987
1996,110083,198054,211977,69123
1997,64804,245891,2909617,110212
1997,64804,123543,5595680,93992
1993,148090,311456,5212346,88046
1995,124222,92634,4554564,97597
1997,40609,558420,5362156,88704
1993,282422,12973,377194,113158
1994,290447,591302,696640,83596
1994,290447,239276,2875305,72915
1994,238153,518978,4151659,119817
1994,238153,310914,1926824,115494
1994,259369,522767,8161214,107384
1994,207260,349791,728948,110446
1994,207260,580946,8342802,121615
1994,118663,275436,5335167,84685
1996,266827,168178,3053116,74770
1996,266827,261156,2805138,67028
1998,44564,476055,1237236,61861
1998,182597,391437,2787838,91705
1997,201307,592911,3464725,120233
1992,234745,278092,1393244,64204
1996,28447,535973,5846044,120537
1993,190810,341162,1617033,72189
1993,212260,24311,5109242,74118
1996,297982,233788,2427695,103306
1998,280480,599387,706021,89181
1993,57823,478608,3455571,95194
1998,118454,400578,1650061,88713
1995,42328,200809,6799834,102587
1995,42328,585396,2417595,88882
1992,116923,525731,843220,105402
1992,116923,187202,1678538,77352
1996,94316,525979,6496038,120297
1992,252341,576788,1074101,111885
1992,252341,467591,7032267,93514
1997,254143,102089,2268355,65464
1996,267509,357335,5758635,83539
1996,267509,312785,683152,107866
1996,267509,367358,3668825,85520
1994,227794,258459,5596053,85046
1994,227794,509786,8095286,107745
1994,227794,563502,5861157,93928
1994,227794,365949,9091364,120895
1995,225466,311873,8858842,113091
1995,225466,33044,649731,58622
1995,225466,192279,3609182,82276
1997,225550,444188,5381156,67929
1997,225550,267285,1177133,75136
1994,266266,249790,5123652,104386
1994,266266,19343,3874121,75740
1994,266266,494253,4070958,74833
1994,266266,504289,4825153,77595
1994,251842,512648,4430534,99637
1997,4169,455984,8935455,116397
1997,4169,518555,3510545,94411
1997,4169,341011,677488,63120
1995,140419,555995,590679,123058
1997,133183,76109,1169737,65106
1997,133183,92375,2641758,82042
1998,236638,494202,820579,71770
1998,236638,482377,4844723,81561
1997,74399,365184,1349103,74950
1997,74399,234993,3470364,115678
1997,74399,324681,162038,102340
1997,74399,305693,6590878,101920
1994,12325,119200,2916326,73152
1994,12325,52089,3857201,62464
1997,120518,444802,7161798,104806
1996,139817,212015,341136,55620
1998,298801,88416,3932348,84264
1994,245743,556872,8429074,115731
1995,100033,276440,1236543,84985
1996,48946,367748,5846650,108943
1992,26230,125635,2871229,99637
1992,26230,140820,7000404,111649
1993,60416,467602,2310421,94174
1995,206809,124724,5597652,104923
1995,206809,149628,2523140,100657
1994,32905,141865,4341920,114411
1996,110674,233187,2341155,67210
1994,27068,77578,2940027,93334
1994,27068,474295,3109711,76156
1998,127468,165566,7439913,97893
1992,24046,456243,1352720,71953
1992,24046,72164,222687,68169
1992,24046,383310,1440672,83598
1993,205120,313180,1987821,71590
1993,205120,23131,4796291,63247
1996,136411,250853,4242631,108230
1998,54631,47042,2225340,59342
1998,54631,433978,5873510,114717
1997,165452,93095,2262139,65285
1996,47962,420260,346990,70814
1993,274993,299785,5713048,107086
1993,274993,284554,5151031,92312
1996,281432,480401,5138733,82882
1997,80959,555162,3735402,73028
1996,163421,132821,7372642,111229
1996,163421,319177,2723656,71769
1994,2890,240645,7303411,95137
1997,258890,266661,7894102,97659
1996,258211,175605,773076,100836
1995,251603,41175,2785960,66970
1992,251426,508034,1354613,62520
1996,212738,65176,4313622,68470
1997,109690,567952,7903986,121195
1993,57742,406641,4263693,92857
1993,57742,500366,6360312,81980
1994,130957,420524,2218752,86670
1994,130957,142634,3981996,100597
1996,168352,523636,6472479,99576
1996,161842,443479,3456553,85347
1996,161842,346472,4007215,91107
1992,274945,539730,1029971,106182
1993,14200,352944,4600926,119815
1993,14200,425827,6327608,105168
1993,14200,63067,3280741,61803
1993,117667,136046,787725,64922
1997,172504,139737,5232469,106603
1997,110854,120276,6092469,77776
1997,220225,548747,3070681,107743
1998,276476,591647,7837698,104317
1992,71059,311512,3465962,91410
1992,122335,275016,1522176,59460
1997,247069,214754,951181,100124
1996,232012,470169,1822624,68348
1997,19349,372232,516471,78253
1997,19349,503185,2138688,71289
1997,19349,16227,2823753,68593
1998,268502,390397,4472551,89242
1998,268502,544859,1696312,114229
1995,99055,69249,2801952,73094
1993,290104,97187,1416279,71050
1994,155546,58621,7278888,94777
1994,155546,443293,4895629,74176
1994,155546,454862,6213592,109010
1994,275362,411704,156720,96940
1998,105371,100678,5593328,100720
1994,66395,389420,2662599,90564
1992,185005,455923,1860111,112734
1992,185005,96476,4056654,88348
1992,169618,60390,5585213,81023
1996,151288,224413,4022899,80244
1997,177007,179711,1531057,107442
1997,177007,597641,970149,104317
1997,258187,81787,6303931,106126
1993,294319,482967,1793944,116996
1995,6859,183877,6017910,117652
1997,79084,349678,8209840,103659
1992,144790,298136,928844,68047
1992,144790,425801,6561764,103606
1992,181384,200719,4399105,97182
1997,272312,554872,4942370,115611
1997,272312,543771,5231924,108885
1994,73916,147014,4045631,63660
1995,297628,77461,4933917,86307
1995,297628,482388,1233324,82221
1997,14491,243150,3043301,65588
1997,93511,111594,6213633,96335
1992,236635,365512,2817415,94650
1992,1154,275260,5227578,74115
1992,29494,267934,8573855,114115
1992,29494,158255,1008576,78795
1994,81863,144041,2246032,65102
1996,222265,3456,1714266,81567
1992,249010,440201,2282360,68470
1992,249010,596311,278643,84437
1994,199543,85388,1915865,82402
1998,12964,444895,6491061,110392
1997,52792,396819,8345224,114948
1996,168235,71132,2206260,66187
1992,24646,164711,639255,106542
1996,211163,34897,2154302,109913
1997,72218,355617,1987048,100356
1997,72218,484673,6252655,99459
1995,254749,491914,5546139,114353
1996,293722,74522,4354873,89791
1994,63752,116113,1117818,67746
1994,253267,299544,598889,92611
1994,253267,421532,1203506,87210
1994,244849,556434,2360809,89424
1995,290521,325311,1178616,80178
1995,290521,301329,4387362,79818
1995,241801,503046,98607,62941
1995,241801,447709,2675538,99400
1993,126205,141659,499991,102039
1993,96500,368421,6106581,89364
1996,19576,461074,2710795,62103
1996,19576,259119,1667820,64686
1996,19576,210943,6423867,111235
1995,204493,299459,5403520,87506
1995,204493,113392,1437713,84323
1995,204493,36669,4091221,96339
1993,87538,526502,4218604,91708
1992,33991,223463,970515,83187
1992,33991,327285,2493313,78736
1992,33991,462582,1987848,92673
1992,62152,75676,3646887,99100
1998,270010,307649,472139,99397
1998,270010,502663,1265886,99938
1998,238648,252265,457686,73035
1998,238648,210668,1970155,94719
1993,254834,580893,4403703,118432
1995,180562,238743,3195287,100903
1997,198274,539658,3992825,101857
1994,77809,235001,1008997,56159
1994,180130,441492,3956377,86008
1995,129289,278209,1201436,71231
1995,129289,159224,3695673,76993
1994,48460,347472,4521912,91167
1994,48460,159389,3403693,86902
1992,34234,476809,7553849,107146
1992,34234,464965,897422,115796
1992,239323,90219,5228624,72552
1997,175357,487206,1794542,71590
1992,298063,358272,2906618,79815
1992,71194,343760,4069260,108225
1992,71194,165154,3277075,73149
1992,71194,126987,5993604,120838
1996,143269,59467,3280858,85587
1997,93973,101209,1872179,72612
1997,8785,540239,4520728,76752
1996,138484,595986,2998022,124917
1995,80174,543135,4985761,70686
1998,183145,556023,883701,64740
1998,183145,439318,3902628,75437
1993,207430,443525,881100,88110
1994,293206,124957,4613979,118917
1995,17668,287207,2636771,71651
1995,17668,474655,6006816,97777
1995,243475,393538,978912,97891
1995,243475,385152,227633,74228
1996,69737,443450,5706095,83605
1996,69737,458229,3201878,71232
1993,155198,514409,1518746,85402
1993,155198,445572,5109590,91053
1992,20992,115144,319922,69548
1998,271687,389724,681954,108822
1997,270829,499139,3380186,68286
1997,270829,12215,2077448,67632
1997,212914,519288,3608037,78435
1992,28517,592777,9255262,112185
1996,168928,416413,4254048,79763
1994,245431,555532,317502,95250
1997,95000,310051,690737,63662
1992,62488,151368,914067,85161
1992,62488,25971,6775976,113818
1992,36578,195198,2706646,77591
1995,53497,211873,8567328,107091
1995,53497,537788,5039097,109545
1998,297088,575316,6544628,83477
1998,297088,333957,7221139,119456
1998,297088,132700,2094834,103962
1998,239869,147285,969899,79936
1994,170906,498198,4571761,71770
1998,116809,174240,2200037,78854
1992,282424,271554,5491944,91532
1992,282424,122793,1917474,108947
1997,98656,21495,1694122,84989
1997,279298,489767,6714260,105404
1997,279298,318595,1073030,96814
1997,156320,150314,529352,81858
1997,156320,212500,2079185,84749
1994,25429,408017,2991417,55499
1992,157168,212441,4628730,81205
1997,297242,332398,2317215,85822
1998,154888,164737,7669964,108103
1994,75530,514656,3297823,100237
1994,75530,215522,2788769,86250
1994,75530,219118,788196,62226
1995,125806,175367,1207255,86541
1994,50479,368168,370845,74169
1992,217582,458531,7079641,89370
1992,217582,126364,4051509,83421
1998,197540,550474,3365985,91467
1998,177493,346952,3006405,119936
1996,43810,513638,5560970,99096
1995,95189,561581,4434912,98553
1992,72376,274247,5861904,73273
1992,72376,61651,1799717,96759
1992,72376,555675,169603,103839
1996,152051,479382,5810284,81681
1996,118952,415395,6486331,78622
1998,17036,132120,1271940,69127
1998,17036,535773,1030987,108525
1997,190366,268013,1915893,58860
1997,190366,29152,875731,64869
1998,276298,14557,1094833,88293
1998,276298,443029,1574640,58320
1998,276298,585077,4415790,69723
1993,13985,516029,2445300,62700
1997,135101,492372,2607272,81861
1993,239915,336779,495702,108945
1993,239915,440672,3522027,96759
1993,149689,568204,1781052,76330
1998,18751,263279,730448,74535
1998,18751,524114,1638849,68285
1998,18751,173956,5474775,121797
1993,65314,98486,3107016,89068
1992,28844,576232,3852678,78492
1998,266072,538579,4707070,97053
1998,266072,434361,2800525,77720
1997,56755,339695,6869332,104080
1996,150478,120253,2605069,76395
1996,263732,111122,3727964,67987
1995,212702,427954,1083991,112915
1994,239786,473287,3984942,75615
1995,179425,50464,4712980,84867
1992,269278,12746,4433812,99524
1992,269278,207879,7880052,107211
1992,269278,10850,5986890,105651
