"s_nation","lo_custkey","lo_orderdate","lo_revenue"
"JAPAN",458,19930920,2143899
"CHINA",458,19930920,4172645
"INDIA",15520,19941219,1924470
"VIETNAM",15520,19941219,3854417
"INDONESIA",22603,19920303,5820511
"VIETNAM",22603,19920303,1149555
"CHINA",22603,19920303,1847507
"VIETNAM",6590,19960322,4138980
"VIETNAM",12022,19950125,5115474
"INDONESIA",661,19970126,3291344
"INDONESIA",25396,19940217,251940
"INDONESIA",20513,19980407,1658286
"JAPAN",22057,19941117,2048056
"INDONESIA",8026,19930927,2732107
"INDIA",10918,19940206,221379
"INDONESIA",23254,19961001,5466468
"JAPAN",23254,19961001,2044358
"JAPAN",23254,19961001,2439340
"INDONESIA",18029,19951031,905222
"INDONESIA",18029,19951031,2382746
"CHINA",7831,19920222,108100
"INDIA",14615,19970531,8623076
"JAPAN",20680,19960601,4877756
"VIETNAM",29929,19950821,488876
"INDIA",29929,19950821,2975911
"CHINA",19154,19950720,527862
"CHINA",9476,19950305,632580
"INDIA",9476,19950305,5400193
"CHINA",19753,19980525,5509077
"INDONESIA",19753,19980525,4124870
"INDONESIA",8806,19970526,8976424
"VIETNAM",8806,19970526,3417255
"VIETNAM",14278,19930508,2323495
"INDIA",6071,19921008,2738486
"INDIA",25012,19960326,5251718
"CHINA",10849,19970103,7960648
"CHINA",10849,19970103,3825610
"INDIA",10849,19970103,1849191
"VIETNAM",10174,19960311,3907315
"INDONESIA",10174,19960311,286558
"CHINA",12605,19950520,5693958
"CHINA",12605,19950520,1321747
"JAPAN",12115,19950501,3082588
"VIETNAM",28366,19930829,1349854
"INDIA",8782,19980421,2067978
"CHINA",1844,19970407,4061913
"INDIA",28877,19980208,2506544
"JAPAN",28877,19980208,1566591
"JAPAN",28877,19980208,5161488
"JAPAN",28877,19980208,9507319
"VIETNAM",12592,19971031,569352
"JAPAN",18677,19930217,6539920
"VIETNAM",19642,19960622,7123589
"JAPAN",21985,19920713,3902231
"INDONESIA",21985,19920713,5013230
"CHINA",4705,19950802,4158364
"INDIA",17923,19950530,1711319
"CHINA",5905,19970513,580406
"INDIA",18517,19970110,6262356
"VIETNAM",9425,19970319,130977
"CHINA",9425,19970319,6956742
"JAPAN",9425,19970319,2028661
"CHINA",5194,19960228,2853732
"INDONESIA",5194,19960228,5460362
"CHINA",10133,19950802,7950303
"JAPAN",10133,19950802,3475232
"JAPAN",21100,19930127,152413
"VIETNAM",16286,19921021,158675
"INDONESIA",26659,19921201,2526510
"VIETNAM",19028,19930123,4791732
"CHINA",26561,19930830,2169032
"CHINA",26561,19930830,2456622
"INDIA",26561,19930830,6473673
"INDIA",11555,19950325,3282328
"INDONESIA",11555,19950325,6055611
"JAPAN",22846,19941203,6498323
"JAPAN",10084,19941122,3775957
"CHINA",10084,19941122,5845833
"JAPAN",2341,19970731,145099
"JAPAN",2341,19970731,5376208
"INDONESIA",2341,19970731,6587340
"VIETNAM",7586,19961213,1574912
"CHINA",7586,19961213,3060927
"INDIA",7586,19961213,3658616
"INDIA",24776,19931124,5570604
"INDONESIA",24776,19931124,158449
"INDONESIA",26129,19930227,3006807
"INDIA",26129,19930227,2178468
"JAPAN",29474,19950909,3770479
"CHINA",23230,19941120,6027597
"JAPAN",23230,19941120,3486208
"JAPAN",6307,19980703,5075606
"VIETNAM",6307,19980703,802840
"JAPAN",26228,19930102,7099487
"INDIA",12736,19930923,3111617
"CHINA",9271,19980621,3287040
"VIETNAM",62,19980531,1917172
"CHINA",19411,19960820,6997697
"VIETNAM",19411,19960820,6390637
"VIETNAM",19411,19960820,6372458
"INDONESIA",15998,19930602,449883
"JAPAN",19300,19930417,940500
"JAPAN",26368,19930926,2779770
"VIETNAM",11188,19980714,6858354
"INDONESIA",27337,19950105,5926860
"INDONESIA",27337,19950105,5579570
"VIETNAM",28705,19931124,1096750
"INDIA",8551,19940523,3935964
"INDIA",3268,19980129,3684144
"INDONESIA",20701,19920609,1960747
"INDIA",20701,19920609,2316737
"VIETNAM",26924,19970112,3106784
"CHINA",6437,19930620,909849
"INDONESIA",2885,19951115,2336377
"JAPAN",2885,19951115,1205984
"INDIA",2885,19951115,4007874
"INDIA",2885,19951115,577748
"VIETNAM",331,19930309,1667061
"VIETNAM",331,19930309,1735235
"VIETNAM",331,19930309,5332832
"CHINA",9787,19950320,3095329
"INDIA",10715,19930603,5708340
"INDONESIA",10715,19930603,4348200
"JAPAN",21697,19980408,1805898
"JAPAN",21697,19980408,2372321
"VIETNAM",21697,19980408,1440660
"JAPAN",2251,19980721,3685568
"INDONESIA",2176,19950707,94275
"INDONESIA",13126,19950302,3279929
"CHINA",16534,19921002,5572009
"JAPAN",16534,19921002,1079534
"INDONESIA",26191,19941217,5666112
"INDIA",26191,19941217,3521510
"CHINA",9835,19970924,1374431
"INDIA",9835,19970924,817029
"CHINA",6925,19940921,186557
"VIETNAM",11014,19950604,7639103
"INDONESIA",11014,19950604,4087463
"INDIA",7055,19940506,454390
"INDIA",7055,19940506,2408436
"INDIA",15037,19950520,6138371
"CHINA",2662,19980430,2098905
"JAPAN",21958,19920621,1581550
"INDIA",10756,19971111,3967119
"CHINA",14183,19971229,6124654
"INDONESIA",6340,19941126,3873239
"INDIA",12034,19930905,365301
"VIETNAM",697,19971223,5542283
"CHINA",697,19971223,4655756
"JAPAN",20536,19950505,4834080
"JAPAN",20536,19950505,2571447
"INDONESIA",14218,19970604,3726680
"INDIA",25591,19920603,2824291
"JAPAN",13687,19940101,1207106
"CHINA",13687,19940101,3992085
"VIETNAM",13687,19940101,3919604
"VIETNAM",718,19940901,2020342
"VIETNAM",718,19940901,774840
"INDIA",15163,19920220,1260677
"JAPAN",10591,19930426,2327575
"JAPAN",25343,19940227,2470943
"INDONESIA",25343,19940227,1150857
"INDONESIA",25343,19940227,1556214
"JAPAN",27928,19930221,1171405
"VIETNAM",27928,19930221,3718814
"JAPAN",20536,19980515,4890535
"INDIA",29377,19920521,693229
"JAPAN",9602,19960504,4849123
"INDIA",3421,19971115,3831722
"VIETNAM",16556,19960827,4212828
"JAPAN",28747,19971224,1260932
"CHINA",28658,19950822,6587635
"INDIA",28658,19950822,5056136
"CHINA",5602,19970113,1882820
"JAPAN",5602,19970113,7081514
"VIETNAM",23906,19970110,4557302
"INDIA",14276,19960803,1029961
"INDONESIA",15892,19980730,1489780
"JAPAN",15892,19980730,4064413
"INDONESIA",15892,19980730,2422130
"JAPAN",15892,19980730,7116597
"JAPAN",15892,19980730,108216
"INDONESIA",4825,19941027,3909103
"CHINA",11485,19950919,6137120
"INDONESIA",23911,19960418,3340975
"CHINA",23911,19960418,4755579
"VIETNAM",7024,19920215,6772260
"VIETNAM",7024,19920215,500090
"INDIA",29932,19971006,472588
"JAPAN",29932,19971006,6618927
"CHINA",29932,19971006,3717198
"CHINA",29932,19971006,1478109
"VIETNAM",26332,19961019,2797709
"INDONESIA",19342,19980114,1515456
"VIETNAM",13666,19920918,4019416
"CHINA",14690,19920824,4374042
"INDONESIA",11765,19960815,3301072
"CHINA",26729,19921120,5330786
"CHINA",3943,19960411,6923378
"INDONESIA",24400,19921207,1485194
"CHINA",1648,19940620,5343147
"JAPAN",9698,19960829,3512520
"INDIA",2665,19920419,6747313
"JAPAN",1801,19960525,3677839
"INDONESIA",9406,19920102,5878416
"VIETNAM",9406,19920102,3829815
"VIETNAM",7547,19971030,154005
"INDIA",29980,19970804,1172348
"CHINA",29980,19970804,4265047
"JAPAN",19105,19930111,2902653
"INDONESIA",19105,19930111,1397402
"JAPAN",19105,19930111,4292069
"JAPAN",19105,19930111,1074798
"JAPAN",12220,19941211,3859584
"JAPAN",23266,19960830,133933
"CHINA",23266,19960830,6370472
"JAPAN",26795,19960107,119814
"JAPAN",2069,19920601,449954
"INDONESIA",21712,19930514,5598948
"CHINA",21712,19930514,6847812
"INDONESIA",3454,19940705,3912270
"CHINA",3454,19940705,3534532
"INDIA",22201,19940519,1442603
"INDONESIA",28466,19940513,2016729
"CHINA",3181,19931203,6360185
"VIETNAM",3181,19931203,3983482
"INDIA",3181,19931203,6679490
"VIETNAM",3181,19931203,833824
"INDIA",6230,19960927,1770874
"JAPAN",3469,19980418,6977408
"INDONESIA",3469,19980418,4907498
"JAPAN",10141,19930824,4803750
"INDONESIA",3944,19980424,413529
"VIETNAM",3944,19980424,2982628
"INDONESIA",3907,19960309,2362108
"INDONESIA",3907,19960309,2069383
"VIETNAM",12832,19980525,2329878
"CHINA",27248,19960707,747114
"JAPAN",27248,19960707,5502087
"JAPAN",26450,19930817,2375316
"INDONESIA",26450,19930817,7522738
"JAPAN",26450,19930817,6236979
"CHINA",26450,19930817,795512
"CHINA",22421,19970412,1820690
"INDONESIA",22421,19970412,3163069
"INDONESIA",18883,19941221,3670215
"CHINA",15254,19950816,4135622
"INDIA",19556,19950810,368069
"CHINA",24365,19970306,839188
"INDIA",26650,19941206,5943355
"CHINA",26650,19941206,2288304
"VIETNAM",18001,19921015,582143
"INDONESIA",29971,19961006,2675892
"JAPAN",18445,19970317,6890304
"INDIA",13795,19950109,4802803
"VIETNAM",946,19971112,2849686
"INDONESIA",15098,19970824,6004576
"INDONESIA",15098,19970824,1175428
"INDONESIA",15098,19970824,3669888
"VIETNAM",7027,19920821,698111
"VIETNAM",7027,19920821,8623500
"JAPAN",29204,19920921,4504978
"CHINA",20242,19980410,740564
"INDONESIA",18623,19970126,833846
"JAPAN",21503,19920215,2372171
"CHINA",5785,19950618,4693257
"INDIA",5785,19950618,5934309
"VIETNAM",2825,19920805,4599747
"VIETNAM",10055,19970220,6701564
"VIETNAM",10055,19970220,1496908
"INDIA",20717,19980402,2673380
"INDONESIA",29596,19921228,672281
"CHINA",29596,19921228,1822003
"CHINA",29596,19921228,1292767
"INDONESIA",26680,19961212,6396973
"CHINA",28924,19950913,4567797
"INDONESIA",28924,19950913,4251424
"JAPAN",28924,19950913,8845159
"CHINA",18514,19930303,3623700
"INDONESIA",18514,19930303,3163286
"INDIA",10478,19940827,7024594
"CHINA",10478,19940827,2522526
"JAPAN",230,19930731,103885
"CHINA",22432,19930717,2053724
"INDIA",22432,19930717,5054959
"INDONESIA",10585,19970417,2209697
"INDONESIA",13172,19970108,6933577
"CHINA",2842,19951014,1542180
"INDONESIA",13772,19960910,7121173
"CHINA",746,19970213,320679
"CHINA",15727,19970617,8703460
"INDONESIA",15727,19970617,4189151
"JAPAN",14542,19950208,8359081
"INDIA",27773,19970813,4535917
"INDIA",12787,19960303,1426030
"INDIA",914,19971010,2958146
"INDONESIA",914,19971010,2481661
"VIETNAM",6850,19960727,1669486
"INDONESIA",6850,19960727,690150
"INDIA",685,19980108,1614970
"VIETNAM",685,19980108,3600396
"INDIA",15142,19961007,3211980
"INDONESIA",7900,19970423,606151
"INDONESIA",16696,19931230,6436750
"CHINA",25672,19920519,189486
"CHINA",25672,19920519,3785371
"INDONESIA",13063,19950507,6989332
"INDIA",26680,19930128,4813754
"VIETNAM",24661,19980724,1915767
"INDONESIA",29170,19931129,6376811
"CHINA",29170,19931129,4209725
"VIETNAM",29170,19931129,8019149
"INDONESIA",29483,19960512,5840542
"INDIA",1273,19940611,655638
"INDONESIA",20975,19931224,2982099
"JAPAN",20975,19931224,6433952
"INDONESIA",20975,19931224,2158592
"JAPAN",15322,19940820,5929823
"INDIA",4903,19950314,125164
"JAPAN",4903,19950314,6481431
"INDONESIA",9421,19931109,5513085
"INDONESIA",3524,19920712,678668
"CHINA",27904,19970928,4771100
"VIETNAM",27904,19970928,461453
"INDONESIA",27904,19970928,2488754
"VIETNAM",27904,19970928,6135318
"VIETNAM",9638,19940505,7371000
"VIETNAM",29293,19931205,6075717
"CHINA",16264,19920416,1711989
"JAPAN",21014,19960622,581560
"INDONESIA",6278,19940418,4962222
"JAPAN",14110,19931202,1024107
"CHINA",14110,19931202,821959
"INDONESIA",20866,19920320,2927040
"CHINA",26401,19930113,2539080
"VIETNAM",26401,19930113,5073624
"INDIA",26401,19930113,6202302
"JAPAN",11959,19970411,6451794
"JAPAN",13690,19940103,682697
"JAPAN",13690,19940103,3841002
"CHINA",14617,19930923,6265764
"CHINA",23819,19931031,1297768
"INDONESIA",23819,19931031,608578
"CHINA",1886,19961218,4132698
"CHINA",1886,19961218,1212948
"VIETNAM",12181,19941215,1986560
"CHINA",4670,19940326,3175200
"VIETNAM",24880,19971030,6570214
"JAPAN",24880,19971030,551917
"JAPAN",17224,19940118,1294693
"CHINA",14936,19960907,1013030
"JAPAN",14936,19960907,2476509
"JAPAN",3340,19920305,4300918
"CHINA",3340,19920305,3786756
"INDONESIA",11180,19970531,3850180
"JAPAN",11180,19970531,4726895
"VIETNAM",25151,19920920,1118258
"INDONESIA",25151,19920920,1200157
"INDIA",8474,19970113,7700046
"VIETNAM",1162,19940902,312751
"VIETNAM",21479,19951006,1311330
"CHINA",23230,19940316,7533080
"JAPAN",3706,19920907,5846441
"VIETNAM",3518,19950405,253859
"JAPAN",3518,19950405,2488955
"CHINA",14491,19930621,4649960
"INDONESIA",12364,19920315,5617958
"VIETNAM",12364,19920315,2153057
"CHINA",3353,19931115,1825397
"INDIA",5452,19940602,2818004
"VIETNAM",5452,19940602,3945189
"CHINA",28117,19950207,3896532
"CHINA",28117,19950207,5661851
"CHINA",8018,19920608,3894173
"INDIA",8018,19920608,2313844
"CHINA",19370,19930904,2721577
"CHINA",18892,19930618,7456930
"INDONESIA",15994,19930317,5064633
"INDIA",9748,19931121,5112855
"CHINA",28066,19941019,3554686
"JAPAN",15709,19950116,7336232
"JAPAN",15709,19950116,4235592
"INDONESIA",20821,19980523,4470532
"CHINA",20821,19980523,524338
"VIETNAM",4442,19940826,216010
"JAPAN",26629,19961009,3480948
"INDONESIA",26629,19961009,500947
"INDIA",26629,19961009,1490567
"INDONESIA",26926,19940329,4058521
"JAPAN",26926,19940329,1228170
"CHINA",26686,19921003,1681517
"CHINA",23504,19920914,6985024
"INDONESIA",23504,19920914,1745518
"INDONESIA",23504,19920914,5705212
"INDONESIA",23504,19920914,4360633
"VIETNAM",19751,19920906,635421
"INDIA",16336,19940603,1351164
"INDONESIA",11581,19961111,8671196
"JAPAN",20681,19921110,3737377
"CHINA",26986,19970120,6098013
"JAPAN",1595,19961212,1597212
"JAPAN",1595,19961212,4597025
"VIETNAM",8197,19960907,662684
"CHINA",14989,19960914,3030909
"JAPAN",14989,19960914,4846849
"CHINA",14806,19950913,731819
"INDIA",4505,19940405,1122117
"JAPAN",22403,19960622,4506243
"VIETNAM",13519,19950501,1816327
"INDIA",17812,19920710,6074946
"VIETNAM",17812,19920710,949391
"JAPAN",18394,19940630,3783129
"INDONESIA",18394,19940630,2180557
"INDIA",22813,19980505,4143623
"VIETNAM",20257,19930511,6240305
"INDIA",20257,19930511,7373262
"INDONESIA",16285,19970720,1530287
"JAPAN",25351,19930109,304607
"INDIA",11293,19930428,4265655
"CHINA",11293,19930428,2143708
"VIETNAM",27641,19930413,5205991
"INDIA",27641,19930413,4476108
"JAPAN",26851,19961214,5596393
"INDIA",26851,19961214,2045318
"INDIA",29665,19921022,3080656
"VIETNAM",8278,19960429,3815110
"INDIA",8278,19960429,7053840
"JAPAN",17741,19950102,733335
"JAPAN",28108,19980425,4116925
"CHINA",8395,19930126,615891
"INDONESIA",8395,19930126,3505624
"JAPAN",8395,19930126,1263333
"JAPAN",5342,19950726,6104221
"VIETNAM",5342,19950726,2607031
"INDONESIA",20809,19930629,3042057
"CHINA",20809,19930629,806784
"INDIA",19901,19950904,4587657
"CHINA",14321,19950502,7192258
"JAPAN",28028,19970618,7999654
"INDIA",27874,19970915,2804089
"VIETNAM",21671,19931215,3485974
"JAPAN",12893,19960112,1511745
"VIETNAM",7286,19960609,1332192
"INDIA",7286,19960609,167500
"INDIA",14206,19950821,5154003
"INDIA",14206,19950821,3848775
"CHINA",2567,19930820,2992527
"JAPAN",21925,19961224,6279054
"INDIA",28073,19940117,286937
"VIETNAM",28073,19940117,5486713
"INDONESIA",3728,19980107,1589988
"INDONESIA",3728,19980107,3390310
"INDIA",5813,19971121,1930891
"INDIA",5248,19940312,5082424
"CHINA",5248,19940312,757210
"VIETNAM",970,19961120,1075576
"JAPAN",7280,19980725,3280697
"CHINA",13144,19960906,6333788
"INDIA",14257,19961223,2536541
"INDIA",1327,19961028,1519352
"JAPAN",1327,19961028,4046867
"VIETNAM",10706,19980619,1030480
"CHINA",10706,19980619,4935195
"INDONESIA",10706,19980619,1261553
"INDONESIA",16873,19930421,3749626
"INDONESIA",2509,19930715,3085961
"JAPAN",10796,19970315,5375754
"INDONESIA",6472,19950624,5286651
"INDIA",6472,19950624,7698594
"INDIA",3595,19940306,2251712
"VIETNAM",3595,19940306,3631421
"JAPAN",24580,19961126,4618259
"INDIA",11248,19970419,3188275
"VIETNAM",17675,19980312,6428372
"CHINA",26824,19940109,4592399
"VIETNAM",9382,19920827,2544196
"JAPAN",19174,19931108,5409547
"CHINA",26576,19920815,3797647
"CHINA",26576,19920815,1935752
"INDIA",13283,19970525,3237658
"INDONESIA",1309,19930620,6482712
"INDIA",10999,19941120,1828359
"VIETNAM",25415,19940321,1318910
"VIETNAM",8671,19960506,3577470
"JAPAN",18709,19951011,7406497
"CHINA",15044,19960717,7405336
"CHINA",15044,19960717,7662600
"VIETNAM",15044,19960717,4661204
"INDONESIA",15044,19960717,2679810
"JAPAN",24026,19930525,528759
"INDONESIA",26155,19920905,5708063
"JAPAN",11425,19971114,4715195
"INDIA",11425,19971114,5538185
"VIETNAM",12226,19931119,5247346
"INDONESIA",12226,19931119,832873
"JAPAN",11062,19980228,4501214
"VIETNAM",17096,19921010,134796
"CHINA",20116,19930305,1022886
"CHINA",18251,19930904,4592280
"INDONESIA",18251,19930904,151300
"CHINA",14740,19951214,4972674
"INDIA",22391,19960305,3913440
"JAPAN",29657,19961107,1756558
"INDIA",29657,19961107,4797200
"CHINA",27407,19950908,5538200
"VIETNAM",27407,19950908,5207178
"VIETNAM",29686,19920324,4108853
"CHINA",11047,19931022,9234853
"CHINA",27440,19980406,1067578
"INDONESIA",27440,19980406,3883060
"JAPAN",27440,19980406,3946674
"INDONESIA",7004,19930924,564528
"INDIA",15305,19930504,2046098
"CHINA",16411,19931218,4443033
"VIETNAM",16411,19931218,3643868
"JAPAN",16411,19931218,883608
"JAPAN",14777,19970104,3717103
"JAPAN",14777,19970104,4482664
"INDONESIA",19469,19920124,6441633
"INDONESIA",20261,19920409,7217979
"CHINA",18700,19960331,9282706
"VIETNAM",18700,19960331,1763055
"JAPAN",18700,19960331,3490314
"INDONESIA",18700,19960331,5302078
"VIETNAM",1172,19920430,1913548
"INDIA",12344,19971202,282725
"CHINA",23818,19960314,6333839
"CHINA",5995,19930608,6006846
"INDONESIA",5995,19930608,4878270
"INDONESIA",15454,19960127,7558054
"INDIA",6928,19940409,3491014
"INDONESIA",27365,19940914,132942
"INDONESIA",11614,19931119,6560188
"INDONESIA",11614,19931119,4879174
"CHINA",11614,19931119,369858
"INDONESIA",3079,19931130,3713198
"INDIA",3079,19931130,6690435
"VIETNAM",3079,19931130,2346557
"VIETNAM",23311,19940418,5204280
"VIETNAM",15100,19950720,2238687
"INDONESIA",8236,19980712,139642
"VIETNAM",23144,19931125,5163901
"JAPAN",29203,19950721,5969730
"VIETNAM",29203,19950721,3788144
"INDONESIA",15752,19920322,2490773
"CHINA",4972,19940819,3348892
"JAPAN",4972,19940819,5402033
"CHINA",24139,19941010,7288362
"INDIA",24139,19941010,1167008
"JAPAN",7903,19940419,3619071
"JAPAN",9632,19941212,1283092
"CHINA",9632,19941212,1070322
"CHINA",23306,19930809,765932
"CHINA",15604,19950909,3030516
"INDONESIA",19828,19961002,8124297
"VIETNAM",19828,19961002,7739620
"CHINA",19828,19961002,564622
"JAPAN",17825,19930116,745570
"CHINA",1574,19920315,7094014
"CHINA",19708,19920510,99206
"INDONESIA",24019,19950822,5689725
"VIETNAM",24158,19950123,3008949
"CHINA",24158,19950123,3686418
"CHINA",18275,19971012,5816322
"VIETNAM",1205,19920919,843781
"INDONESIA",21487,19941113,7134550
"INDONESIA",21487,19941113,9017657
"JAPAN",21487,19970526,2627401
"JAPAN",8441,19970712,695025
"INDONESIA",8441,19970712,2269648
"JAPAN",21403,19930303,609032
"VIETNAM",18499,19940331,1655256
"VIETNAM",1471,19951227,2928429
"JAPAN",18146,19971209,4803760
"INDONESIA",10510,19931210,5574122
"INDONESIA",10510,19931210,6304094
"JAPAN",2707,19970924,324610
"JAPAN",2707,19970924,1978408
"CHINA",5632,19960103,7040878
"CHINA",5632,19960103,3219436
"JAPAN",5632,19960103,1230574
"INDIA",5632,19960103,5163156
"CHINA",27248,19940412,5751569
"VIETNAM",26897,19970706,8614562
"JAPAN",14725,19960206,475818
"JAPAN",5606,19931210,4299996
"INDIA",8750,19950503,415862
"VIETNAM",749,19960914,2585611
"VIETNAM",9478,19980729,1132083
"INDONESIA",16862,19950319,1361995
"VIETNAM",7862,19951108,1149523
"INDIA",10880,19970228,7805635
"INDONESIA",10880,19970228,6393842
"INDONESIA",6269,19930505,4473473
"INDONESIA",22135,19930412,4851792
"INDONESIA",22135,19930412,6057881
"VIETNAM",22516,19970603,1643710
"JAPAN",22516,19970603,1159245
"VIETNAM",3976,19941121,5298951
"INDIA",8668,19920425,4499069
"INDONESIA",9959,19950927,6456624
"INDIA",9959,19950927,5066678
"INDONESIA",6275,19951130,7133131
"INDIA",27046,19940108,3103953
"VIETNAM",27046,19940108,1004968
"JAPAN",25015,19940507,6932725
"CHINA",25015,19940507,207419
"VIETNAM",19705,19970912,5263158
"VIETNAM",13768,19930916,3048368
"JAPAN",27295,19961113,994236
"VIETNAM",5065,19970821,4021890
"VIETNAM",24416,19930724,8027530
"JAPAN",24416,19930724,2793047
"INDIA",24416,19930724,5638495
"JAPAN",24416,19930724,1663137
"JAPAN",17459,19941217,3328967
"JAPAN",26548,19950825,3444348
"CHINA",4591,19940810,4064079
"CHINA",4591,19940810,316066
"VIETNAM",4591,19940810,4820595
"INDONESIA",5023,19951110,952644
"JAPAN",5023,19951110,8670990
"JAPAN",1448,19920628,1810340
"JAPAN",9292,19930406,4335832
"INDONESIA",17644,19920603,4094680
"INDONESIA",29240,19960810,4210390
"VIETNAM",8764,19940715,2033118
"CHINA",2431,19960207,1816551
"INDIA",19031,19930702,4495518
"VIETNAM",17336,19921224,3632337
"JAPAN",25168,19971105,3487179
"CHINA",1756,19921226,1652328
"INDIA",29243,19920411,1293286
"INDIA",29243,19920411,2619365
"INDIA",27932,19941024,3388352
"INDONESIA",2779,19960405,1609415
"INDIA",8953,19951115,1000365
"JAPAN",8953,19951115,4518672
"VIETNAM",28090,19961106,3419164
"JAPAN",6845,19980112,4605536
"CHINA",18472,19961102,4356250
"JAPAN",709,19950317,7044397
"CHINA",22381,19970107,4241302
"INDIA",3344,19960301,5240320
"VIETNAM",3344,19960301,3406590
"INDONESIA",3344,19960301,5497717
"JAPAN",3344,19960301,1775806
"VIETNAM",7564,19970528,2491414
"JAPAN",7564,19970528,3214199
"INDONESIA",7564,19970528,5195288
"JAPAN",1291,19921119,8205005
"INDONESIA",28465,19941105,3863922
"INDIA",20600,19980123,4133001
"VIETNAM",10225,19950923,3036673
"INDONESIA",8942,19970621,2024960
"INDIA",8942,19970621,891670
"JAPAN",16376,19941109,1339286
"JAPAN",14735,19951028,1341652
"INDIA",19447,19950704,2394200
"INDONESIA",19447,19950704,7577208
"VIETNAM",19447,19950704,6785273
"INDIA",29683,19960505,1414365
"INDIA",29803,19940521,2770414
"INDIA",29803,19940521,2633601
"VIETNAM",25910,19940623,184967
"JAPAN",25910,19940623,4945744
"JAPAN",24383,19950228,3005334
"CHINA",22990,19960331,6510496
"INDIA",22990,19960331,5742213
"CHINA",22990,19960331,4511960
"INDIA",10412,19961016,956804
"INDONESIA",538,19970529,4720252
"INDONESIA",29044,19970106,2007056
"JAPAN",29044,19970106,4528102
"INDIA",8954,19930601,4315824
"INDONESIA",4819,19950427,3972441
"JAPAN",4819,19950427,7318360
"VIETNAM",4819,19950427,1475400
"INDONESIA",18886,19941222,1700972
"JAPAN",18886,19941222,1034588
"INDONESIA",23737,19940728,3330876
"INDONESIA",16126,19951003,5860952
"CHINA",16126,19951003,6141766
"INDIA",19705,19930131,3500942
"JAPAN",26555,19970517,702840
"CHINA",29539,19950108,169123
"INDIA",21409,19930729,4687814
"VIETNAM",16504,19980624,3632614
"VIETNAM",20365,19941124,6503135
"CHINA",9439,19930404,4419932
"INDONESIA",6115,19960226,2495908
"INDIA",24992,19970804,5549731
"VIETNAM",1348,19921026,6143329
"VIETNAM",5089,19940926,7324202
"INDONESIA",29974,19980407,449738
"INDIA",11146,19950316,1770765
