"d_year","s_nation","lo_custkey","lo_revenue"
1992,"INDIA",6071,2738486
1996,"INDIA",25012,5251718
1997,"CHINA",10849,7960648
1997,"CHINA",10849,3825610
1997,"INDIA",10849,1849191
1996,"VIETNAM",10174,3907315
1996,"INDONESIA",10174,286558
1995,"CHINA",12605,5693958
1995,"CHINA",12605,1321747
1995,"JAPAN",12115,3082588
1993,"VIETNAM",28366,1349854
1997,"CHINA",1844,4061913
1997,"VIETNAM",12592,569352
1993,"JAPAN",18677,6539920
1996,"VIETNAM",19642,7123589
1992,"JAPAN",21985,3902231
1992,"INDONESIA",21985,5013230
1995,"CHINA",4705,4158364
1995,"INDIA",17923,1711319
1997,"CHINA",5905,580406
1997,"INDIA",18517,6262356
1997,"VIETNAM",9425,130977
1997,"CHINA",9425,6956742
1997,"JAPAN",9425,2028661
1996,"CHINA",5194,2853732
1996,"INDONESIA",5194,5460362
1995,"CHINA",10133,7950303
1995,"JAPAN",10133,3475232
1993,"JAPAN",21100,152413
1992,"VIETNAM",16286,158675
1992,"INDONESIA",26659,2526510
1993,"VIETNAM",19028,4791732
1993,"CHINA",26561,2169032
1993,"CHINA",26561,2456622
1993,"INDIA",26561,6473673
1995,"INDIA",11555,3282328
1995,"INDONESIA",11555,6055611
1994,"JAPAN",22846,6498323
1994,"JAPAN",10084,3775957
1994,"CHINA",10084,5845833
1997,"JAPAN",2341,145099
1997,"JAPAN",2341,5376208
1997,"INDONESIA",2341,6587340
1996,"VIETNAM",7586,1574912
1996,"CHINA",7586,3060927
1996,"INDIA",7586,3658616
1993,"INDIA",24776,5570604
1993,"INDONESIA",24776,158449
1993,"INDONESIA",26129,3006807
1993,"INDIA",26129,2178468
1995,"JAPAN",29474,3770479
1994,"CHINA",23230,6027597
1994,"JAPAN",23230,3486208
1993,"JAPAN",26228,7099487
1993,"INDIA",12736,3111617
1996,"CHINA",19411,6997697
1996,"VIETNAM",19411,6390637
1996,"VIETNAM",19411,6372458
1993,"INDONESIA",15998,449883
1993,"JAPAN",19300,940500
1993,"JAPAN",26368,2779770
1995,"INDONESIA",27337,5926860
1995,"INDONESIA",27337,5579570
1993,"VIETNAM",28705,1096750
1994,"INDIA",8551,3935964
1992,"INDONESIA",20701,1960747
1992,"INDIA",20701,2316737
1997,"VIETNAM",26924,3106784
1993,"CHINA",6437,909849
1995,"INDONESIA",2885,2336377
1995,"JAPAN",2885,1205984
1995,"INDIA",2885,4007874
1995,"INDIA",2885,577748
1993,"VIETNAM",331,1667061
1993,"VIETNAM",331,1735235
1993,"VIETNAM",331,5332832
1995,"CHINA",9787,3095329
1993,"INDIA",10715,5708340
1993,"INDONESIA",10715,4348200
1995,"INDONESIA",2176,94275
1995,"INDONESIA",13126,3279929
1992,"CHINA",16534,5572009
1992,"JAPAN",16534,1079534
1994,"INDONESIA",26191,5666112
1994,"INDIA",26191,3521510
1997,"CHINA",9835,1374431
1997,"INDIA",9835,817029
1994,"CHINA",6925,186557
1995,"VIETNAM",11014,7639103
1995,"INDONESIA",11014,4087463
1994,"INDIA",7055,454390
1994,"INDIA",7055,2408436
1995,"INDIA",15037,6138371
1992,"JAPAN",21958,1581550
1997,"INDIA",10756,3967119
1997,"CHINA",14183,6124654
1994,"INDONESIA",6340,3873239
1993,"INDIA",12034,365301
1997,"VIETNAM",697,5542283
1997,"CHINA",697,4655756
1995,"JAPAN",20536,4834080
1995,"JAPAN",20536,2571447
1997,"INDONESIA",14218,3726680
1992,"INDIA",25591,2824291
1994,"JAPAN",13687,1207106
1994,"CHINA",13687,3992085
1994,"VIETNAM",13687,3919604
1994,"VIETNAM",718,2020342
1994,"VIETNAM",718,774840
1992,"INDIA",15163,1260677
1993,"JAPAN",10591,2327575
1994,"JAPAN",25343,2470943
1994,"INDONESIA",25343,1150857
1994,"INDONESIA",25343,1556214
1993,"JAPAN",27928,1171405
1993,"VIETNAM",27928,3718814
1992,"INDIA",29377,693229
1996,"JAPAN",9602,4849123
1997,"INDIA",3421,3831722
1996,"VIETNAM",16556,4212828
1997,"JAPAN",28747,1260932
1995,"CHINA",28658,6587635
1995,"INDIA",28658,5056136
1997,"CHINA",5602,1882820
1997,"JAPAN",5602,7081514
1997,"VIETNAM",23906,4557302
1996,"INDIA",14276,1029961
1994,"INDONESIA",4825,3909103
1995,"CHINA",11485,6137120
1996,"INDONESIA",23911,3340975
1996,"CHINA",23911,4755579
1992,"VIETNAM",7024,6772260
1992,"VIETNAM",7024,500090
1997,"INDIA",29932,472588
1997,"JAPAN",29932,6618927
1997,"CHINA",29932,3717198
1997,"CHINA",29932,1478109
1996,"VIETNAM",26332,2797709
1992,"VIETNAM",13666,4019416
1992,"CHINA",14690,4374042
1996,"INDONESIA",11765,3301072
1992,"CHINA",26729,5330786
1996,"CHINA",3943,6923378
1992,"INDONESIA",24400,1485194
1994,"CHINA",1648,5343147
1996,"JAPAN",9698,3512520
1992,"INDIA",2665,6747313
1996,"JAPAN",1801,3677839
1992,"INDONESIA",9406,5878416
1992,"VIETNAM",9406,3829815
1997,"VIETNAM",7547,154005
1997,"INDIA",29980,1172348
1997,"CHINA",29980,4265047
1993,"JAPAN",19105,2902653
1993,"INDONESIA",19105,1397402
1993,"JAPAN",19105,4292069
1993,"JAPAN",19105,1074798
1994,"JAPAN",12220,3859584
1996,"JAPAN",23266,133933
1996,"CHINA",23266,6370472
1996,"JAPAN",26795,119814
1992,"JAPAN",2069,449954
1993,"INDONESIA",21712,5598948
1993,"CHINA",21712,6847812
1994,"INDONESIA",3454,3912270
1994,"CHINA",3454,3534532
1994,"INDIA",22201,1442603
1994,"INDONESIA",28466,2016729
1993,"CHINA",3181,6360185
1993,"VIETNAM",3181,3983482
1993,"INDIA",3181,6679490
1993,"VIETNAM",3181,833824
1996,"INDIA",6230,1770874
1993,"JAPAN",10141,4803750
1996,"INDONESIA",3907,2362108
1996,"INDONESIA",3907,2069383
1996,"CHINA",27248,747114
1996,"JAPAN",27248,5502087
1993,"JAPAN",26450,2375316
1993,"INDONESIA",26450,7522738
1993,"JAPAN",26450,6236979
1993,"CHINA",26450,795512
1997,"CHINA",22421,1820690
1997,"INDONESIA",22421,3163069
1994,"INDONESIA",18883,3670215
1995,"CHINA",15254,4135622
1995,"INDIA",19556,368069
1997,"CHINA",24365,839188
1994,"INDIA",26650,5943355
1994,"CHINA",26650,2288304
1992,"VIETNAM",18001,582143
1996,"INDONESIA",29971,2675892
1997,"JAPAN",18445,6890304
1995,"INDIA",13795,4802803
1997,"VIETNAM",946,2849686
1997,"INDONESIA",15098,6004576
1997,"INDONESIA",15098,1175428
1997,"INDONESIA",15098,3669888
1992,"VIETNAM",7027,698111
1992,"VIETNAM",7027,8623500
1992,"JAPAN",29204,4504978
1997,"INDONESIA",18623,833846
1992,"JAPAN",21503,2372171
1995,"CHINA",5785,4693257
1995,"INDIA",5785,5934309
1992,"VIETNAM",2825,4599747
1997,"VIETNAM",10055,6701564
1997,"VIETNAM",10055,1496908
1992,"INDONESIA",29596,672281
1992,"CHINA",29596,1822003
1992,"CHINA",29596,1292767
1996,"INDONESIA",26680,6396973
1995,"CHINA",28924,4567797
1995,"INDONESIA",28924,4251424
1995,"JAPAN",28924,8845159
1993,"CHINA",18514,3623700
1993,"INDONESIA",18514,3163286
1994,"INDIA",10478,7024594
1994,"CHINA",10478,2522526
1993,"JAPAN",230,103885
1993,"CHINA",22432,2053724
1993,"INDIA",22432,5054959
1997,"INDONESIA",10585,2209697
1997,"INDONESIA",13172,6933577
1995,"CHINA",2842,1542180
1996,"INDONESIA",13772,7121173
1997,"CHINA",746,320679
1997,"CHINA",15727,8703460
1997,"INDONESIA",15727,4189151
1995,"JAPAN",14542,8359081
1997,"INDIA",27773,4535917
1996,"INDIA",12787,1426030
1997,"INDIA",914,2958146
1997,"INDONESIA",914,2481661
1996,"VIETNAM",6850,1669486
1996,"INDONESIA",6850,690150
1996,"INDIA",15142,3211980
1997,"INDONESIA",7900,606151
1993,"INDONESIA",16696,6436750
1992,"CHINA",25672,189486
1992,"CHINA",25672,3785371
1995,"INDONESIA",13063,6989332
1993,"INDIA",26680,4813754
1993,"INDONESIA",29170,6376811
1993,"CHINA",29170,4209725
1993,"VIETNAM",29170,8019149
1996,"INDONESIA",29483,5840542
1994,"INDIA",1273,655638
1993,"INDONESIA",20975,2982099
1993,"JAPAN",20975,6433952
1993,"INDONESIA",20975,2158592
1994,"JAPAN",15322,5929823
1995,"INDIA",4903,125164
1995,"JAPAN",4903,6481431
1993,"INDONESIA",9421,5513085
1992,"INDONESIA",3524,678668
1997,"CHINA",27904,4771100
1997,"VIETNAM",27904,461453
1997,"INDONESIA",27904,2488754
1997,"VIETNAM",27904,6135318
1994,"VIETNAM",9638,7371000
1993,"VIETNAM",29293,6075717
1992,"CHINA",16264,1711989
1996,"JAPAN",21014,581560
1994,"INDONESIA",6278,4962222
1993,"JAPAN",14110,1024107
1993,"CHINA",14110,821959
1992,"INDONESIA",20866,2927040
1993,"CHINA",26401,2539080
1993,"VIETNAM",26401,5073624
1993,"INDIA",26401,6202302
1997,"JAPAN",11959,6451794
1994,"JAPAN",13690,682697
1994,"JAPAN",13690,3841002
1993,"CHINA",14617,6265764
1993,"CHINA",23819,1297768
1993,"INDONESIA",23819,608578
1996,"CHINA",1886,4132698
1996,"CHINA",1886,1212948
1994,"VIETNAM",12181,1986560
1994,"CHINA",4670,3175200
1997,"VIETNAM",24880,6570214
1997,"JAPAN",24880,551917
1994,"JAPAN",17224,1294693
1996,"CHINA",14936,1013030
1996,"JAPAN",14936,2476509
1992,"JAPAN",3340,4300918
1992,"CHINA",3340,3786756
1997,"INDONESIA",11180,3850180
1997,"JAPAN",11180,4726895
1992,"VIETNAM",25151,1118258
1992,"INDONESIA",25151,1200157
1997,"INDIA",8474,7700046
1994,"VIETNAM",1162,312751
1995,"VIETNAM",21479,1311330
1994,"CHINA",23230,7533080
1992,"JAPAN",3706,5846441
1995,"VIETNAM",3518,253859
1995,"JAPAN",3518,2488955
1993,"CHINA",14491,4649960
1992,"INDONESIA",12364,5617958
1992,"VIETNAM",12364,2153057
1993,"CHINA",3353,1825397
1994,"INDIA",5452,2818004
1994,"VIETNAM",5452,3945189
1995,"CHINA",28117,3896532
1995,"CHINA",28117,5661851
1992,"CHINA",8018,3894173
1992,"INDIA",8018,2313844
1993,"CHINA",19370,2721577
1993,"CHINA",18892,7456930
1993,"INDONESIA",15994,5064633
1993,"INDIA",9748,5112855
1994,"CHINA",28066,3554686
1995,"JAPAN",15709,7336232
1995,"JAPAN",15709,4235592
1994,"VIETNAM",4442,216010
1996,"JAPAN",26629,3480948
1996,"INDONESIA",26629,500947
1996,"INDIA",26629,1490567
1994,"INDONESIA",26926,4058521
1994,"JAPAN",26926,1228170
1992,"CHINA",26686,1681517
1992,"CHINA",23504,6985024
1992,"INDONESIA",23504,1745518
1992,"INDONESIA",23504,5705212
1992,"INDONESIA",23504,4360633
1992,"VIETNAM",19751,635421
1994,"INDIA",16336,1351164
1996,"INDONESIA",11581,8671196
1992,"JAPAN",20681,3737377
1997,"CHINA",26986,6098013
1996,"JAPAN",1595,1597212
1996,"JAPAN",1595,4597025
1996,"VIETNAM",8197,662684
1996,"CHINA",14989,3030909
1996,"JAPAN",14989,4846849
1995,"CHINA",14806,731819
1994,"INDIA",4505,1122117
1996,"JAPAN",22403,4506243
1995,"VIETNAM",13519,1816327
1992,"INDIA",17812,6074946
1992,"VIETNAM",17812,949391
1994,"JAPAN",18394,3783129
1994,"INDONESIA",18394,2180557
1993,"VIETNAM",20257,6240305
1993,"INDIA",20257,7373262
1997,"INDONESIA",16285,1530287
1993,"JAPAN",25351,304607
1993,"INDIA",11293,4265655
1993,"CHINA",11293,2143708
1993,"VIETNAM",27641,5205991
1993,"INDIA",27641,4476108
1996,"JAPAN",26851,5596393
1996,"INDIA",26851,2045318
1992,"INDIA",29665,3080656
1996,"VIETNAM",8278,3815110
1996,"INDIA",8278,7053840
1995,"JAPAN",17741,733335
1993,"CHINA",8395,615891
1993,"INDONESIA",8395,3505624
1993,"JAPAN",8395,1263333
1995,"JAPAN",5342,6104221
1995,"VIETNAM",5342,2607031
1993,"INDONESIA",20809,3042057
1993,"CHINA",20809,806784
1995,"INDIA",19901,4587657
1995,"CHINA",14321,7192258
1997,"JAPAN",28028,7999654
1997,"INDIA",27874,2804089
1993,"VIETNAM",21671,3485974
1996,"JAPAN",12893,1511745
1996,"VIETNAM",7286,1332192
1996,"INDIA",7286,167500
1995,"INDIA",14206,5154003
1995,"INDIA",14206,3848775
1993,"CHINA",2567,2992527
1996,"JAPAN",21925,6279054
1994,"INDIA",28073,286937
1994,"VIETNAM",28073,5486713
1997,"INDIA",5813,1930891
1994,"INDIA",5248,5082424
1994,"CHINA",5248,757210
1996,"VIETNAM",970,1075576
1996,"CHINA",13144,6333788
1996,"INDIA",14257,2536541
1996,"INDIA",1327,1519352
1996,"JAPAN",1327,4046867
1993,"INDONESIA",16873,3749626
1993,"INDONESIA",2509,3085961
1997,"JAPAN",10796,5375754
1995,"INDONESIA",6472,5286651
1995,"INDIA",6472,7698594
1994,"INDIA",3595,2251712
1994,"VIETNAM",3595,3631421
1996,"JAPAN",24580,4618259
1997,"INDIA",11248,3188275
1994,"CHINA",26824,4592399
1992,"VIETNAM",9382,2544196
1993,"JAPAN",19174,5409547
1992,"CHINA",26576,3797647
1992,"CHINA",26576,1935752
1997,"INDIA",13283,3237658
1993,"INDONESIA",1309,6482712
1994,"INDIA",10999,1828359
1994,"VIETNAM",25415,1318910
1996,"VIETNAM",8671,3577470
1995,"JAPAN",18709,7406497
1996,"CHINA",15044,7405336
1996,"CHINA",15044,7662600
1996,"VIETNAM",15044,4661204
1996,"INDONESIA",15044,2679810
1993,"JAPAN",24026,528759
1992,"INDONESIA",26155,5708063
1997,"JAPAN",11425,4715195
1997,"INDIA",11425,5538185
1993,"VIETNAM",12226,5247346
1993,"INDONESIA",12226,832873
1992,"VIETNAM",17096,134796
1993,"CHINA",20116,1022886
1993,"CHINA",18251,4592280
1993,"INDONESIA",18251,151300
1995,"CHINA",14740,4972674
1996,"INDIA",22391,3913440
1996,"JAPAN",29657,1756558
1996,"INDIA",29657,4797200
1995,"CHINA",27407,5538200
1995,"VIETNAM",27407,5207178
1992,"VIETNAM",29686,4108853
1993,"CHINA",11047,9234853
1993,"INDONESIA",7004,564528
1993,"INDIA",15305,2046098
1993,"CHINA",16411,4443033
1993,"VIETNAM",16411,3643868
1993,"JAPAN",16411,883608
1997,"JAPAN",14777,3717103
1997,"JAPAN",14777,4482664
1992,"INDONESIA",19469,6441633
1992,"INDONESIA",20261,7217979
1996,"CHINA",18700,9282706
1996,"VIETNAM",18700,1763055
1996,"JAPAN",18700,3490314
1996,"INDONESIA",18700,5302078
1992,"VIETNAM",1172,1913548
1997,"INDIA",12344,282725
1996,"CHINA",23818,6333839
1993,"CHINA",5995,6006846
1993,"INDONESIA",5995,4878270
1996,"INDONESIA",15454,7558054
1994,"INDIA",6928,3491014
1994,"INDONESIA",27365,132942
1993,"INDONESIA",11614,6560188
1993,"INDONESIA",11614,4879174
1993,"CHINA",11614,369858
1993,"INDONESIA",3079,3713198
1993,"INDIA",3079,6690435
1993,"VIETNAM",3079,2346557
1994,"VIETNAM",23311,5204280
1995,"VIETNAM",15100,2238687
1993,"VIETNAM",23144,5163901
1995,"JAPAN",29203,5969730
1995,"VIETNAM",29203,3788144
1992,"INDONESIA",15752,2490773
1994,"CHINA",4972,3348892
1994,"JAPAN",4972,5402033
1994,"CHINA",24139,7288362
1994,"INDIA",24139,1167008
1994,"JAPAN",7903,3619071
1994,"JAPAN",9632,1283092
1994,"CHINA",9632,1070322
1993,"CHINA",23306,765932
1995,"CHINA",15604,3030516
1996,"INDONESIA",19828,8124297
1996,"VIETNAM",19828,7739620
1996,"CHINA",19828,564622
1993,"JAPAN",17825,745570
1992,"CHINA",1574,7094014
1992,"CHINA",19708,99206
1995,"INDONESIA",24019,5689725
1995,"VIETNAM",24158,3008949
1995,"CHINA",24158,3686418
1997,"CHINA",18275,5816322
1992,"VIETNAM",1205,843781
1994,"INDONESIA",21487,7134550
1994,"INDONESIA",21487,9017657
1997,"JAPAN",21487,2627401
1997,"JAPAN",8441,695025
1997,"INDONESIA",8441,2269648
1993,"JAPAN",21403,609032
1994,"VIETNAM",18499,1655256
1995,"VIETNAM",1471,2928429
1997,"JAPAN",18146,4803760
1993,"INDONESIA",10510,5574122
1993,"INDONESIA",10510,6304094
1997,"JAPAN",2707,324610
1997,"JAPAN",2707,1978408
1996,"CHINA",5632,7040878
1996,"CHINA",5632,3219436
1996,"JAPAN",5632,1230574
1996,"INDIA",5632,5163156
1994,"CHINA",27248,5751569
1997,"VIETNAM",26897,8614562
1996,"JAPAN",14725,475818
1993,"JAPAN",5606,4299996
1995,"INDIA",8750,415862
1996,"VIETNAM",749,2585611
1995,"INDONESIA",16862,1361995
1995,"VIETNAM",7862,1149523
1997,"INDIA",10880,7805635
1997,"INDONESIA",10880,6393842
1993,"INDONESIA",6269,4473473
1993,"INDONESIA",22135,4851792
1993,"INDONESIA",22135,6057881
1997,"VIETNAM",22516,1643710
1997,"JAPAN",22516,1159245
1994,"VIETNAM",3976,5298951
1992,"INDIA",8668,4499069
1995,"INDONESIA",9959,6456624
1995,"INDIA",9959,5066678
1995,"INDONESIA",6275,7133131
1994,"INDIA",27046,3103953
1994,"VIETNAM",27046,1004968
1994,"JAPAN",25015,6932725
1994,"CHINA",25015,207419
1997,"VIETNAM",19705,5263158
1993,"VIETNAM",13768,3048368
1996,"JAPAN",27295,994236
1997,"VIETNAM",5065,4021890
1993,"VIETNAM",24416,8027530
1993,"JAPAN",24416,2793047
1993,"INDIA",24416,5638495
1993,"JAPAN",24416,1663137
1994,"JAPAN",17459,3328967
1995,"JAPAN",26548,3444348
1994,"CHINA",4591,4064079
1994,"CHINA",4591,316066
1994,"VIETNAM",4591,4820595
1995,"INDONESIA",5023,952644
1995,"JAPAN",5023,8670990
1992,"JAPAN",1448,1810340
1993,"JAPAN",9292,4335832
1992,"INDONESIA",17644,4094680
1996,"INDONESIA",29240,4210390
1994,"VIETNAM",8764,2033118
1996,"CHINA",2431,1816551
1993,"INDIA",19031,4495518
1992,"VIETNAM",17336,3632337
1997,"JAPAN",25168,3487179
1992,"CHINA",1756,1652328
1992,"INDIA",29243,1293286
1992,"INDIA",29243,2619365
1994,"INDIA",27932,3388352
1996,"INDONESIA",2779,1609415
1995,"INDIA",8953,1000365
1995,"JAPAN",8953,4518672
1996,"VIETNAM",28090,3419164
1996,"CHINA",18472,4356250
1995,"JAPAN",709,7044397
1997,"CHINA",22381,4241302
1996,"INDIA",3344,5240320
1996,"VIETNAM",3344,3406590
1996,"INDONESIA",3344,5497717
1996,"JAPAN",3344,1775806
1997,"VIETNAM",7564,2491414
1997,"JAPAN",7564,3214199
1997,"INDONESIA",7564,5195288
1992,"JAPAN",1291,8205005
1994,"INDONESIA",28465,3863922
1995,"VIETNAM",10225,3036673
1997,"INDONESIA",8942,2024960
1997,"INDIA",8942,891670
1994,"JAPAN",16376,1339286
1995,"JAPAN",14735,1341652
1995,"INDIA",19447,2394200
1995,"INDONESIA",19447,7577208
1995,"VIETNAM",19447,6785273
1996,"INDIA",29683,1414365
1994,"INDIA",29803,2770414
1994,"INDIA",29803,2633601
1994,"VIETNAM",25910,184967
1994,"JAPAN",25910,4945744
1995,"JAPAN",24383,3005334
1996,"CHINA",22990,6510496
1996,"INDIA",22990,5742213
1996,"CHINA",22990,4511960
1996,"INDIA",10412,956804
1997,"INDONESIA",538,4720252
1997,"INDONESIA",29044,2007056
1997,"JAPAN",29044,4528102
1993,"INDIA",8954,4315824
1995,"INDONESIA",4819,3972441
1995,"JAPAN",4819,7318360
1995,"VIETNAM",4819,1475400
1994,"INDONESIA",18886,1700972
1994,"JAPAN",18886,1034588
1994,"INDONESIA",23737,3330876
1995,"INDONESIA",16126,5860952
1995,"CHINA",16126,6141766
1993,"INDIA",19705,3500942
1997,"JAPAN",26555,702840
1995,"CHINA",29539,169123
1993,"INDIA",21409,4687814
1994,"VIETNAM",20365,6503135
1993,"CHINA",9439,4419932
1996,"INDONESIA",6115,2495908
1997,"INDIA",24992,5549731
1992,"VIETNAM",1348,6143329
1994,"VIETNAM",5089,7324202
1995,"INDIA",11146,1770765
1995,"INDONESIA",11146,3122016
1995,"INDIA",11146,2799726
1994,"JAPAN",18145,3641251
1996,"JAPAN",9100,1680924
1996,"VIETNAM",9100,2533498
1996,"JAPAN",5282,4051680
1996,"VIETNAM",5282,447688
1996,"VIETNAM",5282,3206558
1996,"VIETNAM",5282,6556841
1994,"VIETNAM",27586,1482510
1993,"INDONESIA",23984,267607
1993,"INDONESIA",23984,1471618
1996,"JAPAN",15472,1753566
1995,"INDONESIA",23713,2738485
1995,"JAPAN",23713,5168385
1995,"INDIA",23713,5930978
1994,"CHINA",6103,5624090
1995,"JAPAN",29755,6312741
1993,"CHINA",26878,2765329
1993,"CHINA",26878,7642847
1996,"INDONESIA",7879,2948708
1996,"CHINA",7879,5509504
1997,"VIETNAM",1960,3805427
1996,"CHINA",29774,4067848
1996,"VIETNAM",29774,4100892
1997,"JAPAN",8786,2624912
1993,"INDONESIA",28126,3954557
1993,"INDIA",28126,2251956
1995,"INDONESIA",18014,6714235
1996,"INDONESIA",574,5504923
1996,"CHINA",574,1951025
1996,"INDIA",574,7228842
1996,"VIETNAM",574,4721652
1993,"VIETNAM",24952,5321280
1993,"CHINA",24952,5498361
1994,"INDIA",7744,4140927
1994,"CHINA",7744,5897960
1994,"VIETNAM",7660,6284934
1994,"CHINA",7660,2653901
1992,"VIETNAM",1108,1328998
1992,"VIETNAM",1108,3110964
1992,"CHINA",10316,4200395
1997,"CHINA",6329,2730194
1997,"INDIA",6329,2614703
1993,"JAPAN",4547,5212108
1992,"INDONESIA",3151,4152458
1993,"INDIA",8428,1720283
1993,"CHINA",8428,3174039
1992,"JAPAN",12761,2814695
1996,"JAPAN",12871,3205936
1997,"VIETNAM",8293,2612520
1996,"JAPAN",6082,6715249
1997,"CHINA",23584,4446204
1997,"CHINA",23584,1805190
1994,"VIETNAM",14608,3702550
1994,"CHINA",14608,533487
1995,"INDIA",7502,935722
1995,"INDONESIA",7502,6053835
1995,"INDIA",7502,867327
1995,"JAPAN",19294,4732294
1992,"JAPAN",16867,1599137
1992,"INDONESIA",16867,6962831
1994,"INDIA",5437,1303127
1994,"CHINA",5437,3298459
1993,"VIETNAM",21080,3379747
1993,"VIETNAM",21080,5187125
1993,"CHINA",21080,8632987
1996,"INDONESIA",8188,2758091
1996,"VIETNAM",27677,2480654
1996,"CHINA",12982,4616357
1994,"INDIA",15539,4551500
1994,"JAPAN",15539,5495805
1996,"INDIA",29464,5702832
1992,"INDIA",19903,6883070
1995,"CHINA",23221,2358445
1995,"JAPAN",23221,1860480
1994,"CHINA",11534,6678426
1992,"JAPAN",5368,3524735
1994,"INDONESIA",15659,885132
1996,"INDIA",26602,3556551
1996,"VIETNAM",26602,5660346
1993,"JAPAN",3266,6178826
1997,"INDONESIA",17302,1779135
1997,"VIETNAM",29638,3175740
1993,"INDONESIA",4189,1123220
1992,"CHINA",13190,3843739
1992,"INDONESIA",13190,895125
1996,"CHINA",12571,942168
1996,"VIETNAM",6271,2653845
1996,"JAPAN",29869,7556054
1997,"VIETNAM",10235,3792896
1997,"INDONESIA",10235,5403616
1992,"JAPAN",15004,2134832
1994,"CHINA",24499,264183
1992,"VIETNAM",20348,3127316
1992,"INDIA",20348,4195267
1992,"CHINA",20348,4350643
1995,"INDONESIA",23500,3754626
1992,"INDONESIA",13915,6909027
1997,"INDONESIA",22817,3094468
1993,"VIETNAM",13652,6655588
1993,"VIETNAM",13652,1574000
1996,"INDONESIA",27862,4175270
1996,"JAPAN",27862,3499049
1995,"VIETNAM",6842,1862241
1997,"JAPAN",9353,1917298
1997,"JAPAN",5603,4379668
1997,"CHINA",5603,1692302
1997,"INDONESIA",5603,1020834
1997,"CHINA",5603,4287139
