"lo_custkey","lo_orderdate","lo_partkey","lo_revenue","lo_supplycost"
22087,19920210,74023,2679989,59821
22087,19920210,101209,3474484,72612
22087,19920210,50938,4216091,113335
18604,19940412,118636,5187265,99277
16400,19960824,47066,190455,60783
16400,19960824,169672,4120791,104500
8807,19960601,47333,481404,76819
8807,19960601,113270,6099382,76996
6832,19970301,1200,1449179,66072
6832,19970301,158981,3225208,122398
18038,19950909,40224,2561284,69853
614,19980215,87334,3006025,79279
16868,19951021,75732,5840436,102463
28618,19940722,145950,3291321,119757
28976,19961231,37279,5430645,72976
4750,19980312,55804,4909842,105588
5140,19951111,98595,2473251,95615
25688,19950420,115226,2730684,74473
28207,19940214,104545,5299426,92972
8356,19930313,77071,2978614,62884
4484,19980729,6254,2116296,69615
4484,19980729,96694,3408431,101441
4484,19980729,133902,8188857,116154
17662,19951214,197714,724684,108702
4802,19960602,6989,2942560,113758
862,19920424,76574,5706097,93034
862,19920424,78177,3056579,69310
10834,19930620,141063,3864210,66243
3296,19940130,1451,2190969,81147
29731,19971020,87816,5200384,108228
9581,19930219,102691,5921140,101621
22547,19970902,181365,6032767,86781
2216,19951015,188846,8911873,116090
25795,19950308,21425,6135635,80785
15781,19920909,116528,898910,92671
24019,19920501,51,1966771,57063
6472,19930715,82183,3768192,69910
6472,19930715,47489,1809964,86188
6472,19930715,133375,3839216,84502
13711,19930424,170226,3375356,77773
24751,19970106,147366,4197679,84801
24751,19970106,127498,2128058,91529
24113,19940510,154279,1941241,79996
14669,19961013,111701,3091423,102762
1015,19931121,85226,4229580,72673
1015,19931121,178975,1495290,123238
19552,19920311,199491,7243091,95429
2188,19940423,105667,3612945,100359
2188,19940423,142279,5773949,79276
17329,19930120,83765,3252693,104925
1610,19960205,188712,3684252,108042
21866,19930523,29695,3288372,97481
22663,19970522,113797,6756057,108647
22663,19970522,46012,3103952,57480
14803,19970722,11936,6157302,110875
27373,19971118,134185,609590,73150
27373,19971118,91745,333454,104204
27373,19971118,54721,7373168,100543
27373,19971118,79775,6775166,105286
23476,19930531,3728,313290,97903
227,19930113,139628,1600915,100057
17242,19930822,198023,1772332,67261
22457,19940310,149036,927700,65101
28114,19930818,20480,1711386,84028
23414,19950701,137269,4543172,78375
19846,19931004,37331,1061592,76099
13544,19980312,67777,3384853,104686
13544,19980312,176458,2430568,92067
15325,19961101,97095,2162338,65525
13258,19970527,170683,7819659,105220
13258,19970527,68038,4684075,60361
28526,19970107,85979,5006743,117898
28526,19970107,33259,1298360,71535
26044,19920506,24128,3424650,63127
20642,19970531,196940,8496076,122216
1435,19940103,157843,3889118,114050
1435,19940103,45455,2394769,84027
29962,19961202,183876,5115260,117592
29962,19961202,150904,5878384,117294
2980,19920217,97488,1834567,89128
2980,19920217,185402,1082827,89244
22105,19931209,79763,7617603,104565
26089,19920524,159136,5270523,71707
26230,19960825,188272,1305859,81616
26737,19920329,61644,3652831,96338
15059,19920809,28080,2531288,60484
16471,19940808,76666,5289365,98559
5419,19980522,74893,3995416,112073
26936,19941122,161480,3551569,92488
26936,19941122,179892,7680511,118313
21196,19920212,198309,5615127,84438
21196,19920212,167148,601494,72908
26995,19970615,198074,2900873,70324
16816,19950806,172017,3380287,65340
16816,19950806,30291,2992160,73277
22492,19980414,50105,2135522,63306
28078,19920619,109029,1281954,62281
10414,19920103,103264,4360641,76035
17993,19960308,160504,1703740,93870
28775,19941214,172727,5355966,107983
9244,19950120,96259,492058,75315
19928,19970812,89951,4693217,116457
19928,19970812,94905,1573117,113994
27314,19941010,33931,6279219,111895
27314,19941010,52449,3481176,84086
8299,19921211,62515,4580281,88650
1600,19940313,74990,6906939,117899
1600,19940313,66138,432818,66247
15022,19951205,145732,3999892,106663
25738,19960927,5117,837108,61326
22153,19940402,115572,1444688,95254
22153,19940402,2128,917836,61807
7327,19950702,68689,5609589,99460
7327,19950702,49156,311652,66309
7171,19971104,177374,689400,87082
19063,19940117,79415,5431226,83664
8726,19930916,154411,1948995,87924
8726,19930916,149200,3872520,74952
4348,19980611,2092,3479315,59645
21358,19920122,165081,4731018,68764
26159,19980601,37578,1567099,90934
18157,19960107,81189,2583757,70210
3574,19930307,8064,365494,58323
12710,19960706,95278,947312,76396
2137,19970220,73762,5207280,104145
24200,19971126,74124,412893,65887
18737,19960328,56525,4644565,88891
19108,19971004,21249,2808576,70214
19108,19971004,129299,3910485,79697
8122,19940424,7368,3711297,76521
22090,19950311,119211,4369705,73812
22090,19950311,171470,1543011,92488
22090,19950311,44966,3026960,114657
18070,19930612,58863,5574891,109311
446,19941002,167326,5162250,83599
9580,19980226,185852,7935495,116271
9580,19980226,98668,6966638,99999
10351,19961002,99877,8915132,112612
27454,19930701,79738,1896373,103063
27454,19930701,147279,3939021,79576
4807,19940508,169393,6457914,87743
28861,19980318,26057,3145760,58983
28861,19980318,2006,1067808,54480
11017,19930129,108343,381077,81080
11017,19930129,105766,1594584,106305
2527,19940413,68197,3565481,69911
2527,19940413,69805,6501092,106488
13217,19961109,158699,5230885,105461
1544,19931130,20292,3920545,72737
1544,19931130,30896,1753814,109613
19450,19940625,152846,5415491,113930
18628,19960813,89557,2850291,92793
3043,19950930,56385,3890002,80482
29030,19941003,149645,1315040,101678
29030,19941003,69103,4322707,64326
4586,19920212,125429,698121,87265
1124,19950908,136691,2384212,103661
18205,19980515,79063,1469304,62523
18205,19980515,45067,3506787,60723
18205,19980515,30238,2102814,70093
18205,19980515,8993,7349289,114119
15040,19940323,41422,6020862,81805
16424,19970927,151688,7424954,104380
16424,19970927,128802,7249968,109848
3517,19960716,190739,4519433,109783
6889,19970130,20642,1909546,93758
6889,19970130,193888,7451868,118912
3973,19971016,67308,5338405,76518
3973,19971016,96876,5225307,112372
13987,19950226,184672,5391220,105400
13987,19950226,174620,4880505,101677
13987,19950226,183334,4174036,85039
4250,19940401,99357,5615289,81381
17917,19961207,101687,3174718,101320
5293,19960326,82833,3922192,108949
26329,19950428,60149,2129548,66548
14881,19921207,23323,4499215,74779
14881,19921207,196279,4834074,82516
5260,19950611,147894,4229436,116513
5260,19950611,105618,3084859,97416
21256,19920702,152185,5404002,74230
17872,19970824,61557,3826746,91113
10702,19920809,30150,2186223,64809
22927,19961126,25390,374886,78923
28262,19960826,86448,139140,86066
28262,19960826,192783,3314503,112546
28262,19960826,144528,1287893,94351
5644,19920809,99369,5610276,82101
5644,19920809,82930,6494397,114775
26981,19980423,169783,6670008,111166
13207,19980527,66080,856739,62764
19690,19970816,11535,2245014,86791
5944,19920822,22921,3040624,110635
6352,19960710,28154,1674086,64929
6352,19960710,45928,7791759,112435
29242,19970511,160767,3799913,109665
12782,19971201,152944,195700,119816
15179,19930217,160993,2218309,123239
15179,19930217,141659,4333256,102039
29860,19970515,27691,961501,97121
1684,19920310,45038,3503518,58981
23245,19940124,116819,8459412,110148
23245,19940124,131689,2880418,103240
656,19960415,23575,4413288,89914
656,19960415,185904,2895304,119394
656,19960415,76830,2890928,108409
6811,19960314,157353,2961735,84621
22109,19950902,4624,5640607,91717
1474,19980711,175429,2874946,90265
7594,19950920,143897,3953592,116453
2308,19950123,137895,2489562,115973
27272,19920918,111002,1999662,60780
27272,19920918,2412,1623296,78864
27272,19920918,137048,3229079,65102
7327,19930802,146237,1120259,76993
25433,19950323,34957,936515,113517
4156,19930710,169161,5550481,73809
4156,19930710,39884,2708461,109432
7013,19930401,79581,145133,93634
16585,19970826,15941,7097224,111416
16585,19970826,155024,4423982,64741
1963,19921118,146970,9197383,121018
8908,19950109,183953,8712035,122217
11990,19950210,190167,3660849,75429
11990,19950210,179289,2672250,82096
770,19920525,140315,4075417,81318
770,19920525,143514,2126001,93450
5759,19931015,118862,5304025,112851
5759,19931015,108043,2150427,63062
5759,19931015,69503,2191080,88350
5759,19931015,134920,8722853,117295
9548,19960604,70451,5623256,85287
9548,19960604,69111,540055,64806
20383,19930814,174132,4719586,72367
29423,19971219,165594,3153221,99575
29423,19971219,112494,5947622,90389
2080,19960112,66639,7320067,96337
24160,19930908,45772,6721634,103066
7078,19970322,122367,6252120,83361
7078,19970322,24042,1835476,57962
18386,19980211,111980,2593557,119518
7600,19920918,187919,8035667,120414
24559,19930801,101653,4924238,99279
24673,19970212,18947,6381514,111956
16522,19951206,26328,5110099,75259
4909,19931019,19858,2453433,106671
3571,19930115,153447,2484728,90026
25819,19941003,58445,666634,84206
18563,19950508,10112,3906504,61326
29395,19920510,57621,1060832,94717
28873,19920403,68401,1762417,82164
13627,19940729,111177,1058659,71290
13627,19940729,5051,2555521,57363
14351,19980413,20239,3557676,69553
25619,19960831,140579,621914,97174
4637,19940505,126585,2030590,96694
15307,19950411,135379,3704235,84862
5494,19950519,106647,2106737,99218
14836,19940625,194332,5224646,85579
17200,19960324,4353,701601,75441
17200,19960324,146276,4795873,79336
17200,19960324,52052,3020182,60243
29599,19931008,24110,4915124,62046
3835,19931214,174940,3223904,120896
3835,19931214,11656,589436,94059
11116,19961008,146597,5933359,98615
11116,19961008,32124,2534688,63367
2131,19940611,14495,563796,84569
6409,19960208,82065,3392474,62823
26674,19940830,111445,6137438,87386
26674,19940830,52235,2393455,71233
26674,19940830,104015,2075723,61140
27374,19920408,157852,366691,114591
8176,19960220,107966,3375471,118437
11272,19970703,131686,5331678,103060
8476,19980416,182095,4873152,70625
8476,19980416,59215,4109735,70452
9824,19961223,42501,4157280,86610
9824,19961223,64681,6368781,98740
11600,19940122,185221,5768267,78373
21943,19930119,168817,7946803,113148
24610,19980520,1632,1953844,92017
11740,19920824,167339,2784533,84379
3166,19920530,68849,6118849,109070
16318,19940829,90747,1265074,104264
6383,19931116,96472,5107338,88108
6383,19931116,115363,3666437,82701
23887,19941011,41240,687481,70874
28949,19921005,152485,5574902,92248
28945,19980607,128147,334914,70508
19712,19951110,153342,2492077,83720
19712,19951110,124442,2067680,87986
7231,19950411,49766,2800120,102945
7231,19950411,145229,3594574,76453
12211,19980128,107512,1732241,91170
16804,19951009,6774,5965052,100846
16804,19951009,35908,7181990,110634
16804,19951009,140017,941795,63420
20581,19950825,156830,1418896,113209
20581,19950825,36630,6448249,93997
26995,19921027,16125,1532528,62467
22066,19920731,167003,4526100,64200
16700,19960221,28619,4333308,92856
16700,19960221,7721,6430186,97723
7279,19920327,81746,3887415,103664
7279,19920327,92627,3501618,97177
8584,19931205,18706,3736810,97482
8584,19931205,118712,822087,103842
26899,19930130,32355,2201368,77241
16145,19920510,131523,5698870,93271
9626,19940530,34546,5888107,88832
568,19930101,172303,6670205,82518
7697,19970709,141989,6166055,121858
18520,19950430,142768,4210017,108645
18520,19950430,141124,1733698,69907
26644,19950817,162370,952526,85942
23702,19970324,60239,2849370,71953
998,19940330,177083,3948912,69604
998,19940330,130983,5328991,120838
998,19940330,24719,4556364,98622
27724,19930807,161626,3437681,101257
26170,19960927,16926,7003096,110575
7252,19940813,166275,804762,80476
27913,19971104,52693,7109380,98741
6724,19940618,85385,4612699,82222
6724,19940618,84038,735861,61321
15268,19940714,27445,624460,82346
15268,19940714,34439,2452945,82405
22966,19960213,44303,1589060,74838
5047,19920508,24844,7896101,106130
19894,19931204,127788,4051005,108946
22387,19970502,106605,3959701,96696
25214,19920821,152463,2700549,90927
16702,19970325,54778,2339239,103966
25841,19920803,22788,1693672,102646
20998,19940404,160637,4125240,101857
20998,19940404,12420,3033920,79945
6148,19971116,196024,2822450,67201
6148,19971116,161727,4829544,107323
6148,19971116,137043,3147236,64802
27955,19930623,21151,3768607,64329
18415,19970403,164381,2173851,86722
34,19930318,20659,1848190,94779
25,19970902,36268,4172760,72255
3634,19951005,67503,4705600,88230
3634,19951005,82491,1819760,88409
1106,19940611,76703,4399134,100782
10828,19951012,90019,2905948,60540
10828,19951012,141689,5732012,103840
16288,19920728,100418,399991,85104
589,19930902,35330,1503212,75919
21898,19950814,174251,2341716,79515
21898,19950814,33474,4895180,84448
26755,19951009,35217,1378043,69132
3166,19930416,80276,1017578,75376
13489,19920320,137181,1096362,73090
3268,19960220,107999,8565833,120419
23452,19960427,104583,5580343,95254
8353,19930413,147920,4860762,118075
6224,19950802,129372,5414893,84082
6224,19950802,145062,322154,66423
14125,19950902,145745,1432592,107444
6760,19960528,96386,6231769,82942
6760,19960528,21221,2261595,68533
27472,19980526,17279,5337756,71776
8353,19941029,382,4385739,76942
29000,19921129,42840,2406834,106970
21323,19980114,189603,3649245,101556
12850,19920119,104455,2043230,87567
12850,19920119,184088,1542457,70324
9796,19950602,149320,1369320,82159
9796,19950602,52230,107582,70933
905,19930722,71413,2282892,83064
21736,19960303,57788,2789756,104746
4192,19931104,51076,3762157,61624
8080,19931122,185971,3784824,123418
8080,19931122,1322,5343461,73399
6155,19951130,118550,3646878,94113
6155,19951130,62538,6029129,90031
6155,19951130,66375,4944289,80482
26674,19970121,126585,7107067,96694
26674,19970121,4295,3684218,71957
26674,19970121,176182,1373932,75490
26695,19920724,105894,3887174,113993
18830,19960720,8988,6108275,113818
19280,19980216,150738,715492,107323
19280,19980216,41952,8723533,113637
22538,19950222,2193,4161722,65711
17698,19961103,96473,4546540,88168
14971,19970101,166018,4097557,65040
18670,19930901,62734,7648858,101803
24793,19950109,155259,2602215,78855
24793,19950109,37505,129825,86550
19321,19961206,153727,178072,106843
19321,19961206,81664,1263866,98739
19321,19961206,123864,3398148,113271
13919,19940914,13399,3742936,78743
20374,19950607,107827,4587050,110089
7015,19960119,172415,2061550,89244
29344,19950705,151339,6006225,83419
29344,19950705,146372,5489091,85102
20254,19940319,103476,1578594,88768
14533,19941102,86470,4289304,87388
14533,19941102,101211,2647466,72732
14533,19941102,45121,1843321,63967
14533,19941102,166268,4788659,80055
25748,19951218,51891,1677029,110573
18122,19951118,797,4061113,101867
14851,19950619,40385,3536113,79522
6571,19970324,28971,1037383,113998
6571,19970324,132771,995681,108226
14347,19931024,49238,2374460,71233
8179,19940215,188523,580147,96691
8179,19940215,162039,500968,66061
13216,19940616,107508,3946362,90930
13216,19940616,185688,3628949,106420
29582,19980726,149457,6412957,90387
19810,19970729,27501,4699765,85710
24803,19941225,167850,8116341,115071
7915,19970508,89829,4861705,109129
23953,19950516,38707,2932637,98742
9571,19920730,159858,3966113,115071
17191,19960417,166922,7796566,119335
3919,19930921,118678,2595905,101800
29296,19930502,45573,3750867,91114
29296,19930502,10737,5167281,98863
29296,19930502,49846,6335723,107750
29296,19930502,194141,5204879,74108
1462,19951003,174328,2198837,84139
1357,19970731,51411,1907374,81744
6305,19960812,164637,5445216,102097
27347,19950921,147722,1911297,106183
27347,19950921,175825,4139985,114049
27347,19950921,81069,4888029,63003
6904,19950423,138822,8038742,111649
6904,19950423,177479,2487239,93388
9941,19961112,9350,2838574,75561
3322,19940620,17961,3720340,112737
3322,19940620,54900,3171879,111294
3322,19940620,94769,3809721,105825
1049,19950831,136118,210048,69246
4258,19920216,138390,1285551,85703
26110,19921030,145177,711302,73330
15977,19980605,131744,4155231,106544
15977,19980605,7756,3520495,99825
15977,19980605,151006,3314752,63420
19208,19970808,92561,1506953,93213
28396,19960326,31317,5808386,74898
28396,19960326,141767,4561692,108525
25009,19930628,195920,8624105,120955
25009,19930628,49314,5169464,75798
26611,19980428,48196,430215,68651
26611,19980428,20713,4162693,98022
26611,19980428,117550,5135293,94053
25535,19980622,50111,3743596,63666
25535,19980622,5697,3279103,96161
24644,19920827,16606,1476922,91356
27169,19970714,85417,3330723,84144
27169,19970714,192770,3794462,111766
4385,19960813,111207,1169472,73092
5323,19920502,34557,2953269,89493
21443,19950222,166547,1016530,96812
18157,19971002,155416,1153585,88284
18715,19931214,87607,870651,95676
22967,19950821,29966,1535727,113757
22967,19950821,6018,1117128,55440
3449,19961226,32327,837447,75559
5845,19920523,197781,4148346,112726
5845,19920523,88624,6893950,96757
7144,19930612,5749,1310554,99284
9602,19940812,191895,1967021,119213
24802,19931209,193477,461718,94228
16097,19930730,61345,5771410,78380
16097,19930730,27034,1136898,57661
16097,19930730,153430,2937191,89005
1151,19960513,19095,2920579,60845
1151,19960513,113634,3425422,98857
1151,19960513,46451,6162754,83847
24745,19951011,184162,6045122,74769
24745,19951011,9833,2269164,104569
908,19940812,42254,1184287,71775
5144,19930301,3758,5832742,99705
19285,19950104,159948,6417376,120476
19285,19950104,45863,3869151,108531
13306,19980719,164717,5965165,106902
29938,19970129,19421,5971571,80425
11458,19940601,120432,3381257,87145
11458,19940601,61311,5210109,76338
8450,19940618,193016,2581775,66540
27490,19920917,51768,4478255,103185
27335,19940205,67066,3729346,61983
18782,19920504,199594,7245178,101615
18782,19920504,102543,5461938,92732
18782,19920504,135644,305694,100778
3449,19970228,166074,4487315,68404
3449,19970228,197939,5788955,122215
6833,19920211,126958,3080642,119097
26419,19920621,45533,5559272,88711
19886,19921226,5300,3702681,72318
8554,19980614,98435,6330026,86005
19129,19940106,94724,2784326,103123
20527,19920512,56608,6547851,93876
28417,19951115,96419,1064388,84924
25964,19940918,22231,3164463,69193
25964,19940918,30838,5985720,106129
25964,19940918,78791,1545026,106187
27463,19960817,137782,1184676,109186
11011,19930925,40254,3704563,71655
1891,19960116,83870,8453647,111232
1177,19920707,141729,2606499,106243
1334,19941008,54722,3621715,100603
1334,19941008,158194,3304529,75131
7201,19950503,88446,2921954,86066
10106,19980316,193868,6603620,117711
17413,19950523,189660,5374955,104979
16462,19950611,149798,3647537,110867
22057,19930320,138408,5471731,86784
22057,19930320,10102,1554585,60726
12124,19940626,195692,5920829,107261
5164,19950705,47850,3435691,107871
5164,19950705,67736,7680414,102223
5164,19950705,92329,713512,79279
11560,19931120,131395,3708614,85583
7747,19970313,77761,7278449,104325
7747,19970313,76744,3923287,103244
6827,19940513,196429,6246594,91525
6827,19940513,173267,5671980,80415
6827,19940513,83273,3938406,75376
4895,19920814,150736,4020142,107203
8722,19951107,106177,3934040,70990
12556,19960520,119494,6052446,90809
12556,19960520,178846,6467462,115490
13159,19960109,60653,4840950,96819
506,19980429,75211,2208723,71172
506,19980429,84482,5939244,87988
6907,19940110,33678,5133168,96700
15148,19951116,161216,5698911,76632
6098,19980225,82980,5720123,117778
6472,19950605,66051,567513,61023
24524,19930310,33792,1035474,103547
979,19930116,195116,359699,72666
979,19930116,163472,7001743,92128
12593,19930613,18041,1221816,57542
21802,19941005,156288,1043161,80656
19183,19960522,84133,3720042,67027
871,19931225,49458,3201948,84447
23852,19950530,4548,3587773,87152
8875,19941025,163844,887145,114470
4517,19930213,66623,6784498,95377
4517,19930213,129388,4028193,85042
4517,19930213,19489,6690280,84508
4517,19930213,136946,9133421,118976
14789,19940523,177713,6913931,107442
14789,19940523,20908,181061,109734
23636,19980613,63141,3312420,66248
16085,19960806,9578,5087489,89254
24851,19950814,96515,556235,90690
24851,19950814,112914,2948172,115614
24851,19950814,135788,7632519,109426
26135,19921022,115356,548540,82281
14026,19961017,103464,2245213,88047
18170,19980522,135696,2914434,103901
22670,19941009,160489,6486123,92968
18763,19940424,102195,1743108,71831
18763,19940424,175352,4911511,85641
9620,19960102,48607,4225009,93336
12496,19930614,171784,6346767,111346
12496,19930614,45057,951947,60123
11909,19960907,67093,1494726,63605
9319,19980604,57688,4221169,98740
29713,19920516,36653,915638,95379
29713,19920516,24192,3214627,66971
16972,19930610,129308,5347862,80238
16972,19930610,21056,2813904,58623
16972,19930610,82958,6793325,116457
11339,19960820,179875,2322385,117292
11339,19960820,187694,4762457,106901
124,19940202,161415,3007447,88584
28439,19961121,131027,1491808,63481
28439,19961121,170450,5315493,91227
28439,19961121,110012,2044020,61320
13567,19980511,165224,5377336,77353
13567,19980511,24949,8725064,112436
6209,19950614,120537,7401382,93451
2017,19960309,18004,1226260,55320
28664,19960910,37111,4005876,62886
14887,19920326,51634,6710386,95137
12391,19950816,45272,4188626,73036
12290,19931110,4303,2610182,72438
27664,19931025,102144,2090559,68768
27664,19931025,123796,1412157,109187
27664,19931025,30831,6390157,105709
23797,19940705,96675,2948825,100300
21332,19971001,150564,1614560,96873
25754,19931206,191986,4683766,124678
5677,19951015,182088,2316758,70204
5677,19951015,58981,4714151,116398
15919,19940405,50061,3991664,60663
15919,19940405,166884,5148372,117052
11629,19921007,52961,3253732,114837
11629,19921007,101355,4896423,81381
26465,19980410,83470,135172,87208
16022,19970729,183159,4086673,74529
12611,19951003,55479,5112451,86068
2107,19920404,97168,3539756,69909
4150,19970323,198145,4385797,74588
4150,19970323,112999,7170732,120719
4150,19970323,161455,750642,90987
3793,19970109,34542,3647053,88592
29746,19950722,197333,3823272,85819
1661,19940201,166101,2801040,70026
14116,19970720,186837,8672625,115429
11282,19950201,56613,7063245,94176
11282,19950201,83707,8284430,101442
11282,19950201,57351,243353,78501
29827,19960325,24087,3479126,60664
1340,19960223,100945,6551979,116756
5674,19960113,104456,4766908,87627
5674,19960113,90235,2020404,73513
16693,19920214,118458,3800382,88587
10375,19960604,192577,4173925,100174
15053,19941115,38902,4307706,110454
7960,19930617,421,5153538,79285
21388,19960628,32177,2874968,66550
2443,19940714,134118,3732836,69126
16081,19960101,39260,5523791,71955
15559,19930112,36724,7413454,99643
15559,19930112,20129,1783504,62947
2978,19980722,136534,1572100,94231
26140,19951028,55231,3736624,71173
2102,19970128,15921,8640871,110215
10483,19920307,26203,3048840,67752
20638,19920301,50889,1210641,110392
20638,19920301,88023,1273885,60661
19459,19970124,75775,7453027,105046
2482,19930905,173145,2129308,73088
2297,19940422,147258,1187777,78315
27617,19930826,161845,177336,114410
13063,19940707,176829,6536962,114349
919,19940919,199579,1963926,100714
9841,19930922,39657,7279127,95799
22504,19931118,65315,1152279,76818
22504,19931118,135470,876183,90328
28930,19931213,86409,837240,83724
11200,19951203,185288,3032202,82396
28346,19980102,113364,1308492,82641
25007,19930919,160292,2385439,81137
24875,19970819,89064,2729531,63183
24875,19970819,87130,4397023,67027
24875,19970819,187985,6426238,124378
19799,19951225,31252,3411309,70995
23002,19970726,157142,3172924,71948
9838,19970219,159440,4322885,89966
29689,19960212,83882,2059931,111952
11231,19961215,6608,3170057,90876
28303,19960910,199551,6338112,99033
28303,19960910,52723,1233329,100543
610,19930412,70482,3241935,87148
17065,19940108,14033,1619421,56821
17065,19940108,146615,6350673,99696
17537,19970730,135434,4278980,88165
1774,19931106,47585,5241423,91954
1774,19931106,112955,4534156,118077
20020,19930828,198798,2441168,113807
20638,19941207,3841,7872718,104690
20638,19941207,147302,1395176,80958
19090,19920711,166555,6265669,97293
19090,19920711,99123,1649516,67327
12175,19951203,136559,6723647,95733
12175,19951203,138790,1203343,109727
22183,19970330,175413,3572184,89304
23860,19940507,128474,2331833,90148
