"d_year","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
1996,28895,77479,5493804,87388
1996,28895,14735,7055895,98983
1998,18668,131729,4646540,105643
1998,18668,153740,6855674,107624
1992,18260,9156,1343154,63909
1992,18157,188302,6473236,83418
1996,16492,140308,4294335,80898
1992,1907,44528,6219924,88351
1996,24353,96491,6711554,89249
1996,24353,91001,2777600,59520
1997,5032,112311,2911282,79398
1992,4538,179782,2006998,111706
1992,4538,187807,2940729,113688
1998,19555,123087,399628,66604
1997,23653,173177,2700367,75010
1997,23653,170128,2789223,71887
1997,23653,20925,3654921,110755
1993,14641,143503,4361130,92790
1993,14641,59030,2848406,59341
1997,6602,49117,2110897,63966
1997,18295,55202,3407954,69432
1998,6227,1456,5932056,81447
1998,6227,199537,2382787,98191
1994,5017,131325,3420639,81379
1997,28372,197998,3546415,125759
1997,21079,7976,5906245,113038
1996,20707,99652,2304051,99099
1998,10946,151462,4694752,90807
1993,7273,10327,5512260,74239
1998,15016,107979,7550486,119218
1998,15016,168177,2484114,74710
1996,6001,6319,5883938,73518
1996,19624,178323,3643432,84079
1992,27328,85988,2514850,118438
1992,27328,163153,111885,72969
1992,27328,96685,4313509,100900
1995,16747,194466,2075411,93627
1995,16747,188154,1485611,74529
1995,7351,133007,773760,62400
1997,11008,160127,747885,71227
1997,11008,189053,4008595,68523
1997,11008,197476,467320,94408
1996,25175,122548,6860118,94232
1997,9943,11616,2199758,91656
1992,8494,98090,3168518,65285
1992,8494,192886,8311296,118732
1992,8494,34325,5387370,75559
1992,8494,95960,3872800,117357
1995,22942,47648,1970615,95738
1992,22087,74023,2679989,59821
1992,22087,101209,3474484,72612
1992,22087,50938,4216091,113335
1994,18604,118636,5187265,99277
1996,16400,47066,190455,60783
1996,16400,169672,4120791,104500
1996,8807,47333,481404,76819
1996,8807,113270,6099382,76996
1997,6832,1200,1449179,66072
1997,6832,158981,3225208,122398
1995,18038,40224,2561284,69853
1998,614,87334,3006025,79279
1995,16868,75732,5840436,102463
1994,28618,145950,3291321,119757
1996,28976,37279,5430645,72976
1998,4750,55804,4909842,105588
1995,5140,98595,2473251,95615
1995,25688,115226,2730684,74473
1994,28207,104545,5299426,92972
1993,8356,77071,2978614,62884
1998,4484,6254,2116296,69615
1998,4484,96694,3408431,101441
1998,4484,133902,8188857,116154
1995,17662,197714,724684,108702
1996,4802,6989,2942560,113758
1992,862,76574,5706097,93034
1992,862,78177,3056579,69310
1993,10834,141063,3864210,66243
1994,3296,1451,2190969,81147
1997,29731,87816,5200384,108228
1993,9581,102691,5921140,101621
1997,22547,181365,6032767,86781
1995,2216,188846,8911873,116090
1995,25795,21425,6135635,80785
1992,15781,116528,898910,92671
1992,24019,51,1966771,57063
1993,6472,82183,3768192,69910
1993,6472,47489,1809964,86188
1993,6472,133375,3839216,84502
1993,13711,170226,3375356,77773
1997,24751,147366,4197679,84801
1997,24751,127498,2128058,91529
1994,24113,154279,1941241,79996
1996,14669,111701,3091423,102762
1993,1015,85226,4229580,72673
1993,1015,178975,1495290,123238
1992,19552,199491,7243091,95429
1994,2188,105667,3612945,100359
1994,2188,142279,5773949,79276
1993,17329,83765,3252693,104925
1996,1610,188712,3684252,108042
1993,21866,29695,3288372,97481
1997,22663,113797,6756057,108647
1997,22663,46012,3103952,57480
1997,14803,11936,6157302,110875
1997,27373,134185,609590,73150
1997,27373,91745,333454,104204
1997,27373,54721,7373168,100543
1997,27373,79775,6775166,105286
1993,23476,3728,313290,97903
1993,227,139628,1600915,100057
1993,17242,198023,1772332,67261
1994,22457,149036,927700,65101
1993,28114,20480,1711386,84028
1995,23414,137269,4543172,78375
1993,19846,37331,1061592,76099
1998,13544,67777,3384853,104686
1998,13544,176458,2430568,92067
1996,15325,97095,2162338,65525
1997,13258,170683,7819659,105220
1997,13258,68038,4684075,60361
1997,28526,85979,5006743,117898
1997,28526,33259,1298360,71535
1992,26044,24128,3424650,63127
1997,20642,196940,8496076,122216
1994,1435,157843,3889118,114050
1994,1435,45455,2394769,84027
1996,29962,183876,5115260,117592
1996,29962,150904,5878384,117294
1992,2980,97488,1834567,89128
1992,2980,185402,1082827,89244
1993,22105,79763,7617603,104565
1992,26089,159136,5270523,71707
1996,26230,188272,1305859,81616
1992,26737,61644,3652831,96338
1992,15059,28080,2531288,60484
1994,16471,76666,5289365,98559
1998,5419,74893,3995416,112073
1994,26936,161480,3551569,92488
1994,26936,179892,7680511,118313
1992,21196,198309,5615127,84438
1992,21196,167148,601494,72908
1997,26995,198074,2900873,70324
1995,16816,172017,3380287,65340
1995,16816,30291,2992160,73277
1998,22492,50105,2135522,63306
1992,28078,109029,1281954,62281
1992,10414,103264,4360641,76035
1996,17993,160504,1703740,93870
1994,28775,172727,5355966,107983
1995,9244,96259,492058,75315
1997,19928,89951,4693217,116457
1997,19928,94905,1573117,113994
1994,27314,33931,6279219,111895
1994,27314,52449,3481176,84086
1992,8299,62515,4580281,88650
1994,1600,74990,6906939,117899
1994,1600,66138,432818,66247
1995,15022,145732,3999892,106663
1996,25738,5117,837108,61326
1994,22153,115572,1444688,95254
1994,22153,2128,917836,61807
1995,7327,68689,5609589,99460
1995,7327,49156,311652,66309
1997,7171,177374,689400,87082
1994,19063,79415,5431226,83664
1993,8726,154411,1948995,87924
1993,8726,149200,3872520,74952
1998,4348,2092,3479315,59645
1992,21358,165081,4731018,68764
1998,26159,37578,1567099,90934
1996,18157,81189,2583757,70210
1993,3574,8064,365494,58323
1996,12710,95278,947312,76396
1997,2137,73762,5207280,104145
1997,24200,74124,412893,65887
1996,18737,56525,4644565,88891
1997,19108,21249,2808576,70214
1997,19108,129299,3910485,79697
1994,8122,7368,3711297,76521
1995,22090,119211,4369705,73812
1995,22090,171470,1543011,92488
1995,22090,44966,3026960,114657
1993,18070,58863,5574891,109311
1994,446,167326,5162250,83599
1998,9580,185852,7935495,116271
1998,9580,98668,6966638,99999
1996,10351,99877,8915132,112612
1993,27454,79738,1896373,103063
1993,27454,147279,3939021,79576
1994,4807,169393,6457914,87743
1998,28861,26057,3145760,58983
1998,28861,2006,1067808,54480
1993,11017,108343,381077,81080
1993,11017,105766,1594584,106305
1994,2527,68197,3565481,69911
1994,2527,69805,6501092,106488
1996,13217,158699,5230885,105461
1993,1544,20292,3920545,72737
1993,1544,30896,1753814,109613
1994,19450,152846,5415491,113930
1996,18628,89557,2850291,92793
1995,3043,56385,3890002,80482
1994,29030,149645,1315040,101678
1994,29030,69103,4322707,64326
1992,4586,125429,698121,87265
1995,1124,136691,2384212,103661
1998,18205,79063,1469304,62523
1998,18205,45067,3506787,60723
1998,18205,30238,2102814,70093
1998,18205,8993,7349289,114119
1994,15040,41422,6020862,81805
1997,16424,151688,7424954,104380
1997,16424,128802,7249968,109848
1996,3517,190739,4519433,109783
1997,6889,20642,1909546,93758
1997,6889,193888,7451868,118912
1997,3973,67308,5338405,76518
1997,3973,96876,5225307,112372
1995,13987,184672,5391220,105400
1995,13987,174620,4880505,101677
1995,13987,183334,4174036,85039
1994,4250,99357,5615289,81381
1996,17917,101687,3174718,101320
1996,5293,82833,3922192,108949
1995,26329,60149,2129548,66548
1992,14881,23323,4499215,74779
1992,14881,196279,4834074,82516
1995,5260,147894,4229436,116513
1995,5260,105618,3084859,97416
1992,21256,152185,5404002,74230
1997,17872,61557,3826746,91113
1992,10702,30150,2186223,64809
1996,22927,25390,374886,78923
1996,28262,86448,139140,86066
1996,28262,192783,3314503,112546
1996,28262,144528,1287893,94351
1992,5644,99369,5610276,82101
1992,5644,82930,6494397,114775
1998,26981,169783,6670008,111166
1998,13207,66080,856739,62764
1997,19690,11535,2245014,86791
1992,5944,22921,3040624,110635
1996,6352,28154,1674086,64929
1996,6352,45928,7791759,112435
1997,29242,160767,3799913,109665
1997,12782,152944,195700,119816
1993,15179,160993,2218309,123239
1993,15179,141659,4333256,102039
1997,29860,27691,961501,97121
1992,1684,45038,3503518,58981
1994,23245,116819,8459412,110148
1994,23245,131689,2880418,103240
1996,656,23575,4413288,89914
1996,656,185904,2895304,119394
1996,656,76830,2890928,108409
1996,6811,157353,2961735,84621
1995,22109,4624,5640607,91717
1998,1474,175429,2874946,90265
1995,7594,143897,3953592,116453
1995,2308,137895,2489562,115973
1992,27272,111002,1999662,60780
1992,27272,2412,1623296,78864
1992,27272,137048,3229079,65102
1993,7327,146237,1120259,76993
1995,25433,34957,936515,113517
1993,4156,169161,5550481,73809
1993,4156,39884,2708461,109432
1993,7013,79581,145133,93634
1997,16585,15941,7097224,111416
1997,16585,155024,4423982,64741
1992,1963,146970,9197383,121018
1995,8908,183953,8712035,122217
1995,11990,190167,3660849,75429
1995,11990,179289,2672250,82096
1992,770,140315,4075417,81318
1992,770,143514,2126001,93450
1993,5759,118862,5304025,112851
1993,5759,108043,2150427,63062
1993,5759,69503,2191080,88350
1993,5759,134920,8722853,117295
1996,9548,70451,5623256,85287
1996,9548,69111,540055,64806
1993,20383,174132,4719586,72367
1997,29423,165594,3153221,99575
1997,29423,112494,5947622,90389
1996,2080,66639,7320067,96337
1993,24160,45772,6721634,103066
1997,7078,122367,6252120,83361
1997,7078,24042,1835476,57962
1998,18386,111980,2593557,119518
1992,7600,187919,8035667,120414
1993,24559,101653,4924238,99279
1997,24673,18947,6381514,111956
1995,16522,26328,5110099,75259
1993,4909,19858,2453433,106671
1993,3571,153447,2484728,90026
1994,25819,58445,666634,84206
1995,18563,10112,3906504,61326
1992,29395,57621,1060832,94717
1992,28873,68401,1762417,82164
1994,13627,111177,1058659,71290
1994,13627,5051,2555521,57363
1998,14351,20239,3557676,69553
1996,25619,140579,621914,97174
1994,4637,126585,2030590,96694
1995,15307,135379,3704235,84862
1995,5494,106647,2106737,99218
1994,14836,194332,5224646,85579
1996,17200,4353,701601,75441
1996,17200,146276,4795873,79336
1996,17200,52052,3020182,60243
1993,29599,24110,4915124,62046
1993,3835,174940,3223904,120896
1993,3835,11656,589436,94059
1996,11116,146597,5933359,98615
1996,11116,32124,2534688,63367
1994,2131,14495,563796,84569
1996,6409,82065,3392474,62823
1994,26674,111445,6137438,87386
1994,26674,52235,2393455,71233
1994,26674,104015,2075723,61140
1992,27374,157852,366691,114591
1996,8176,107966,3375471,118437
1997,11272,131686,5331678,103060
1998,8476,182095,4873152,70625
1998,8476,59215,4109735,70452
1996,9824,42501,4157280,86610
1996,9824,64681,6368781,98740
1994,11600,185221,5768267,78373
1993,21943,168817,7946803,113148
1998,24610,1632,1953844,92017
1992,11740,167339,2784533,84379
1992,3166,68849,6118849,109070
1994,16318,90747,1265074,104264
1993,6383,96472,5107338,88108
1993,6383,115363,3666437,82701
1994,23887,41240,687481,70874
1992,28949,152485,5574902,92248
1998,28945,128147,334914,70508
1995,19712,153342,2492077,83720
1995,19712,124442,2067680,87986
1995,7231,49766,2800120,102945
1995,7231,145229,3594574,76453
1998,12211,107512,1732241,91170
1995,16804,6774,5965052,100846
1995,16804,35908,7181990,110634
1995,16804,140017,941795,63420
1995,20581,156830,1418896,113209
1995,20581,36630,6448249,93997
1992,26995,16125,1532528,62467
1992,22066,167003,4526100,64200
1996,16700,28619,4333308,92856
1996,16700,7721,6430186,97723
1992,7279,81746,3887415,103664
1992,7279,92627,3501618,97177
1993,8584,18706,3736810,97482
1993,8584,118712,822087,103842
1993,26899,32355,2201368,77241
1992,16145,131523,5698870,93271
1994,9626,34546,5888107,88832
1993,568,172303,6670205,82518
1997,7697,141989,6166055,121858
1995,18520,142768,4210017,108645
1995,18520,141124,1733698,69907
1995,26644,162370,952526,85942
1997,23702,60239,2849370,71953
1994,998,177083,3948912,69604
1994,998,130983,5328991,120838
1994,998,24719,4556364,98622
1993,27724,161626,3437681,101257
1996,26170,16926,7003096,110575
1994,7252,166275,804762,80476
1997,27913,52693,7109380,98741
1994,6724,85385,4612699,82222
1994,6724,84038,735861,61321
1994,15268,27445,624460,82346
1994,15268,34439,2452945,82405
1996,22966,44303,1589060,74838
1992,5047,24844,7896101,106130
1993,19894,127788,4051005,108946
1997,22387,106605,3959701,96696
1992,25214,152463,2700549,90927
1997,16702,54778,2339239,103966
1992,25841,22788,1693672,102646
1994,20998,160637,4125240,101857
1994,20998,12420,3033920,79945
1997,6148,196024,2822450,67201
1997,6148,161727,4829544,107323
1997,6148,137043,3147236,64802
1993,27955,21151,3768607,64329
1997,18415,164381,2173851,86722
1993,34,20659,1848190,94779
1997,25,36268,4172760,72255
1995,3634,67503,4705600,88230
1995,3634,82491,1819760,88409
1994,1106,76703,4399134,100782
1995,10828,90019,2905948,60540
1995,10828,141689,5732012,103840
1992,16288,100418,399991,85104
1993,589,35330,1503212,75919
1995,21898,174251,2341716,79515
1995,21898,33474,4895180,84448
1995,26755,35217,1378043,69132
1993,3166,80276,1017578,75376
1992,13489,137181,1096362,73090
1996,3268,107999,8565833,120419
1996,23452,104583,5580343,95254
1993,8353,147920,4860762,118075
1995,6224,129372,5414893,84082
1995,6224,145062,322154,66423
1995,14125,145745,1432592,107444
1996,6760,96386,6231769,82942
1996,6760,21221,2261595,68533
1998,27472,17279,5337756,71776
1994,8353,382,4385739,76942
1992,29000,42840,2406834,106970
1998,21323,189603,3649245,101556
1992,12850,104455,2043230,87567
1992,12850,184088,1542457,70324
1995,9796,149320,1369320,82159
1995,9796,52230,107582,70933
1993,905,71413,2282892,83064
1996,21736,57788,2789756,104746
1993,4192,51076,3762157,61624
1993,8080,185971,3784824,123418
1993,8080,1322,5343461,73399
1995,6155,118550,3646878,94113
1995,6155,62538,6029129,90031
1995,6155,66375,4944289,80482
1997,26674,126585,7107067,96694
1997,26674,4295,3684218,71957
1997,26674,176182,1373932,75490
1992,26695,105894,3887174,113993
1996,18830,8988,6108275,113818
1998,19280,150738,715492,107323
1998,19280,41952,8723533,113637
1995,22538,2193,4161722,65711
1996,17698,96473,4546540,88168
1997,14971,166018,4097557,65040
1993,18670,62734,7648858,101803
1995,24793,155259,2602215,78855
1995,24793,37505,129825,86550
1996,19321,153727,178072,106843
1996,19321,81664,1263866,98739
1996,19321,123864,3398148,113271
1994,13919,13399,3742936,78743
1995,20374,107827,4587050,110089
1996,7015,172415,2061550,89244
1995,29344,151339,6006225,83419
1995,29344,146372,5489091,85102
1994,20254,103476,1578594,88768
1994,14533,86470,4289304,87388
1994,14533,101211,2647466,72732
1994,14533,45121,1843321,63967
1994,14533,166268,4788659,80055
1995,25748,51891,1677029,110573
1995,18122,797,4061113,101867
1995,14851,40385,3536113,79522
1997,6571,28971,1037383,113998
1997,6571,132771,995681,108226
1993,14347,49238,2374460,71233
1994,8179,188523,580147,96691
1994,8179,162039,500968,66061
1994,13216,107508,3946362,90930
1994,13216,185688,3628949,106420
1998,29582,149457,6412957,90387
1997,19810,27501,4699765,85710
1994,24803,167850,8116341,115071
1997,7915,89829,4861705,109129
1995,23953,38707,2932637,98742
1992,9571,159858,3966113,115071
1996,17191,166922,7796566,119335
1993,3919,118678,2595905,101800
1993,29296,45573,3750867,91114
1993,29296,10737,5167281,98863
1993,29296,49846,6335723,107750
1993,29296,194141,5204879,74108
1995,1462,174328,2198837,84139
1997,1357,51411,1907374,81744
1996,6305,164637,5445216,102097
1995,27347,147722,1911297,106183
1995,27347,175825,4139985,114049
1995,27347,81069,4888029,63003
1995,6904,138822,8038742,111649
1995,6904,177479,2487239,93388
1996,9941,9350,2838574,75561
1994,3322,17961,3720340,112737
1994,3322,54900,3171879,111294
1994,3322,94769,3809721,105825
1995,1049,136118,210048,69246
1992,4258,138390,1285551,85703
1992,26110,145177,711302,73330
1998,15977,131744,4155231,106544
1998,15977,7756,3520495,99825
1998,15977,151006,3314752,63420
1997,19208,92561,1506953,93213
1996,28396,31317,5808386,74898
1996,28396,141767,4561692,108525
1993,25009,195920,8624105,120955
1993,25009,49314,5169464,75798
1998,26611,48196,430215,68651
1998,26611,20713,4162693,98022
1998,26611,117550,5135293,94053
1998,25535,50111,3743596,63666
1998,25535,5697,3279103,96161
1992,24644,16606,1476922,91356
1997,27169,85417,3330723,84144
1997,27169,192770,3794462,111766
1996,4385,111207,1169472,73092
1992,5323,34557,2953269,89493
1995,21443,166547,1016530,96812
1997,18157,155416,1153585,88284
1993,18715,87607,870651,95676
1995,22967,29966,1535727,113757
1995,22967,6018,1117128,55440
1996,3449,32327,837447,75559
1992,5845,197781,4148346,112726
1992,5845,88624,6893950,96757
1993,7144,5749,1310554,99284
1994,9602,191895,1967021,119213
1993,24802,193477,461718,94228
1993,16097,61345,5771410,78380
1993,16097,27034,1136898,57661
1993,16097,153430,2937191,89005
1996,1151,19095,2920579,60845
1996,1151,113634,3425422,98857
1996,1151,46451,6162754,83847
1995,24745,184162,6045122,74769
1995,24745,9833,2269164,104569
1994,908,42254,1184287,71775
1993,5144,3758,5832742,99705
1995,19285,159948,6417376,120476
1995,19285,45863,3869151,108531
1998,13306,164717,5965165,106902
1997,29938,19421,5971571,80425
1994,11458,120432,3381257,87145
1994,11458,61311,5210109,76338
1994,8450,193016,2581775,66540
1992,27490,51768,4478255,103185
1994,27335,67066,3729346,61983
1992,18782,199594,7245178,101615
1992,18782,102543,5461938,92732
1992,18782,135644,305694,100778
1997,3449,166074,4487315,68404
1997,3449,197939,5788955,122215
1992,6833,126958,3080642,119097
1992,26419,45533,5559272,88711
1992,19886,5300,3702681,72318
1998,8554,98435,6330026,86005
1994,19129,94724,2784326,103123
1992,20527,56608,6547851,93876
1995,28417,96419,1064388,84924
1994,25964,22231,3164463,69193
1994,25964,30838,5985720,106129
1994,25964,78791,1545026,106187
1996,27463,137782,1184676,109186
1993,11011,40254,3704563,71655
1996,1891,83870,8453647,111232
1992,1177,141729,2606499,106243
1994,1334,54722,3621715,100603
1994,1334,158194,3304529,75131
1995,7201,88446,2921954,86066
1998,10106,193868,6603620,117711
1995,17413,189660,5374955,104979
1995,16462,149798,3647537,110867
1993,22057,138408,5471731,86784
1993,22057,10102,1554585,60726
1994,12124,195692,5920829,107261
1995,5164,47850,3435691,107871
1995,5164,67736,7680414,102223
1995,5164,92329,713512,79279
1993,11560,131395,3708614,85583
1997,7747,77761,7278449,104325
1997,7747,76744,3923287,103244
1994,6827,196429,6246594,91525
1994,6827,173267,5671980,80415
1994,6827,83273,3938406,75376
1992,4895,150736,4020142,107203
1995,8722,106177,3934040,70990
1996,12556,119494,6052446,90809
1996,12556,178846,6467462,115490
1996,13159,60653,4840950,96819
1998,506,75211,2208723,71172
1998,506,84482,5939244,87988
1994,6907,33678,5133168,96700
1995,15148,161216,5698911,76632
1998,6098,82980,5720123,117778
1995,6472,66051,567513,61023
1993,24524,33792,1035474,103547
1993,979,195116,359699,72666
1993,979,163472,7001743,92128
1993,12593,18041,1221816,57542
1994,21802,156288,1043161,80656
1996,19183,84133,3720042,67027
1993,871,49458,3201948,84447
1995,23852,4548,3587773,87152
1994,8875,163844,887145,114470
1993,4517,66623,6784498,95377
1993,4517,129388,4028193,85042
1993,4517,19489,6690280,84508
1993,4517,136946,9133421,118976
1994,14789,177713,6913931,107442
1994,14789,20908,181061,109734
1998,23636,63141,3312420,66248
1996,16085,9578,5087489,89254
1995,24851,96515,556235,90690
1995,24851,112914,2948172,115614
1995,24851,135788,7632519,109426
1992,26135,115356,548540,82281
1996,14026,103464,2245213,88047
1998,18170,135696,2914434,103901
1994,22670,160489,6486123,92968
1994,18763,102195,1743108,71831
1994,18763,175352,4911511,85641
1996,9620,48607,4225009,93336
1993,12496,171784,6346767,111346
1993,12496,45057,951947,60123
1996,11909,67093,1494726,63605
1998,9319,57688,4221169,98740
1992,29713,36653,915638,95379
1992,29713,24192,3214627,66971
1993,16972,129308,5347862,80238
1993,16972,21056,2813904,58623
1993,16972,82958,6793325,116457
1996,11339,179875,2322385,117292
1996,11339,187694,4762457,106901
1994,124,161415,3007447,88584
1996,28439,131027,1491808,63481
1996,28439,170450,5315493,91227
1996,28439,110012,2044020,61320
1998,13567,165224,5377336,77353
1998,13567,24949,8725064,112436
1995,6209,120537,7401382,93451
1996,2017,18004,1226260,55320
1996,28664,37111,4005876,62886
1992,14887,51634,6710386,95137
1995,12391,45272,4188626,73036
1993,12290,4303,2610182,72438
1993,27664,102144,2090559,68768
1993,27664,123796,1412157,109187
1993,27664,30831,6390157,105709
1994,23797,96675,2948825,100300
1997,21332,150564,1614560,96873
1993,25754,191986,4683766,124678
1995,5677,182088,2316758,70204
1995,5677,58981,4714151,116398
1994,15919,50061,3991664,60663
1994,15919,166884,5148372,117052
1992,11629,52961,3253732,114837
1992,11629,101355,4896423,81381
1998,26465,83470,135172,87208
1997,16022,183159,4086673,74529
1995,12611,55479,5112451,86068
1992,2107,97168,3539756,69909
1997,4150,198145,4385797,74588
1997,4150,112999,7170732,120719
1997,4150,161455,750642,90987
1997,3793,34542,3647053,88592
1995,29746,197333,3823272,85819
1994,1661,166101,2801040,70026
1997,14116,186837,8672625,115429
1995,11282,56613,7063245,94176
1995,11282,83707,8284430,101442
1995,11282,57351,243353,78501
1996,29827,24087,3479126,60664
1996,1340,100945,6551979,116756
1996,5674,104456,4766908,87627
1996,5674,90235,2020404,73513
1992,16693,118458,3800382,88587
1996,10375,192577,4173925,100174
1994,15053,38902,4307706,110454
1993,7960,421,5153538,79285
1996,21388,32177,2874968,66550
1994,2443,134118,3732836,69126
1996,16081,39260,5523791,71955
1993,15559,36724,7413454,99643
1993,15559,20129,1783504,62947
1998,2978,136534,1572100,94231
1995,26140,55231,3736624,71173
1997,2102,15921,8640871,110215
1992,10483,26203,3048840,67752
1992,20638,50889,1210641,110392
1992,20638,88023,1273885,60661
1997,19459,75775,7453027,105046
1993,2482,173145,2129308,73088
1994,2297,147258,1187777,78315
1993,27617,161845,177336,114410
1994,13063,176829,6536962,114349
1994,919,199579,1963926,100714
1993,9841,39657,7279127,95799
1993,22504,65315,1152279,76818
1993,22504,135470,876183,90328
1993,28930,86409,837240,83724
1995,11200,185288,3032202,82396
1998,28346,113364,1308492,82641
1993,25007,160292,2385439,81137
1997,24875,89064,2729531,63183
1997,24875,87130,4397023,67027
1997,24875,187985,6426238,124378
1995,19799,31252,3411309,70995
1997,23002,157142,3172924,71948
1997,9838,159440,4322885,89966
1996,29689,83882,2059931,111952
1996,11231,6608,3170057,90876
1996,28303,199551,6338112,99033
1996,28303,52723,1233329,100543
1993,610,70482,3241935,87148
1994,17065,14033,1619421,56821
1994,17065,146615,6350673,99696
1997,17537,135434,4278980,88165
1993,1774,47585,5241423,91954
1993,1774,112955,4534156,118077
1993,20020,198798,2441168,113807
1994,20638,3841,7872718,104690
1994,20638,147302,1395176,80958
1992,19090,166555,6265669,97293
1992,19090,99123,1649516,67327
1995,12175,136559,6723647,95733
1995,12175,138790,1203343,109727
1997,22183,175413,3572184,89304
1994,23860,128474,2331833,90148
1994,23860,93468,3551347,87687
1995,17218,181815,1248100,113808
1995,29825,102911,3563700,114834
1995,29825,97176,821219,70390
1997,26617,92135,2333159,67627
1995,24655,91421,2209024,84745
1995,4153,113238,1629101,75073
1995,4153,186503,1573605,95370
1995,27415,93439,5285666,85945
1992,27220,154731,2014303,107143
1992,109,37320,4136582,75439
1993,18757,150386,4705580,86182
1992,22450,162812,8436645,112488
1994,25849,22223,4776712,68713
1998,17761,145549,2296137,95672
1998,17761,78836,5513453,108889
1996,25564,186236,4795728,79333
1996,25564,65232,568684,71833
1998,3175,144087,2913662,67864
1998,3175,106247,3804836,75194
1998,3175,77336,2600393,78799
1992,2605,25256,4713187,70875
1993,8335,28041,2821844,58142
1996,5155,57217,3200896,70452
1996,7792,91135,4707223,67567
1993,18172,68166,2909120,68049
1998,13657,100672,6623773,100360
1998,833,57009,533232,57960
1995,20692,187761,4891818,110925
1998,13673,173429,5390682,90145
1998,13673,17262,2516540,70755
1996,61,33826,5444883,105589
1996,61,108272,5645990,76816
1995,17428,193757,5567056,111045
1994,3854,112216,3383718,73692
1996,28934,124578,2211546,96154
1992,7555,83593,2932457,94595
1997,3979,150061,4729782,66663
1997,13388,26544,5620403,88232
1992,26896,42083,502289,61504
1992,26896,72326,3365245,77899
1996,14201,85605,5089920,95436
1996,14201,168869,3100576,116271
1993,17830,77696,331390,100421
1992,3754,98642,5076140,98438
1992,9748,198017,1672515,66900
1998,27406,143690,4680963,104021
1998,27406,70144,3676662,66848
1993,21284,144492,5795640,92189
1994,29050,63459,3925962,85347
1996,11923,44321,4638663,75919
1996,11923,94564,3871463,93513
