"c_nation","d_year","lo_partkey","lo_revenue","lo_supplycost"
"PERU",1994,7368,3711297,76521
"UNITED STATES",1994,167326,5162250,83599
"PERU",1993,79738,1896373,103063
"PERU",1993,147279,3939021,79576
"ARGENTINA",1998,26057,3145760,58983
"ARGENTINA",1998,2006,1067808,54480
"ARGENTINA",1994,152846,5415491,113930
"UNITED STATES",1995,56385,3890002,80482
"CANADA",1992,125429,698121,87265
"ARGENTINA",1995,136691,2384212,103661
"CANADA",1998,79063,1469304,62523
"CANADA",1998,45067,3506787,60723
"CANADA",1998,30238,2102814,70093
"CANADA",1998,8993,7349289,114119
"CANADA",1995,184672,5391220,105400
"CANADA",1995,174620,4880505,101677
"CANADA",1995,183334,4174036,85039
"BRAZIL",1995,60149,2129548,66548
"UNITED STATES",1992,22921,3040624,110635
"BRAZIL",1997,160767,3799913,109665
"ARGENTINA",1997,152944,195700,119816
"UNITED STATES",1993,160993,2218309,123239
"UNITED STATES",1993,141659,4333256,102039
"BRAZIL",1996,157353,2961735,84621
"CANADA",1995,143897,3953592,116453
"BRAZIL",1992,111002,1999662,60780
"BRAZIL",1992,2412,1623296,78864
"BRAZIL",1992,137048,3229079,65102
"BRAZIL",1992,146970,9197383,121018
"BRAZIL",1996,70451,5623256,85287
"BRAZIL",1996,69111,540055,64806
"BRAZIL",1992,187919,8035667,120414
"UNITED STATES",1993,101653,4924238,99279
"PERU",1993,153447,2484728,90026
"ARGENTINA",1995,10112,3906504,61326
"UNITED STATES",1994,111177,1058659,71290
"UNITED STATES",1994,5051,2555521,57363
"CANADA",1996,146597,5933359,98615
"CANADA",1996,32124,2534688,63367
"PERU",1996,82065,3392474,62823
"UNITED STATES",1998,182095,4873152,70625
"UNITED STATES",1998,59215,4109735,70452
"CANADA",1994,185221,5768267,78373
"ARGENTINA",1994,90747,1265074,104264
"ARGENTINA",1992,152485,5574902,92248
"CANADA",1992,81746,3887415,103664
"CANADA",1992,92627,3501618,97177
"ARGENTINA",1997,141989,6166055,121858
"ARGENTINA",1995,162370,952526,85942
"PERU",1994,177083,3948912,69604
"PERU",1994,130983,5328991,120838
"PERU",1994,24719,4556364,98622
"PERU",1992,24844,7896101,106130
"ARGENTINA",1992,137181,1096362,73090
"CANADA",1992,104455,2043230,87567
"CANADA",1992,184088,1542457,70324
"CANADA",1993,71413,2282892,83064
"UNITED STATES",1993,51076,3762157,61624
"UNITED STATES",1992,105894,3887174,113993
"UNITED STATES",1997,166018,4097557,65040
"BRAZIL",1993,62734,7648858,101803
"PERU",1996,153727,178072,106843
"PERU",1996,81664,1263866,98739
"PERU",1996,123864,3398148,113271
"CANADA",1996,172415,2061550,89244
"ARGENTINA",1995,151339,6006225,83419
"ARGENTINA",1995,146372,5489091,85102
"PERU",1995,51891,1677029,110573
"ARGENTINA",1995,797,4061113,101867
"BRAZIL",1995,40385,3536113,79522
"CANADA",1994,188523,580147,96691
"CANADA",1994,162039,500968,66061
"UNITED STATES",1997,27501,4699765,85710
"PERU",1992,159858,3966113,115071
"CANADA",1996,166922,7796566,119335
"PERU",1995,174328,2198837,84139
"ARGENTINA",1995,147722,1911297,106183
"ARGENTINA",1995,175825,4139985,114049
"ARGENTINA",1995,81069,4888029,63003
"ARGENTINA",1996,111207,1169472,73092
"ARGENTINA",1993,87607,870651,95676
"PERU",1993,61345,5771410,78380
"PERU",1993,27034,1136898,57661
"PERU",1993,153430,2937191,89005
"UNITED STATES",1994,193016,2581775,66540
"UNITED STATES",1998,98435,6330026,86005
"CANADA",1993,40254,3704563,71655
"PERU",1993,138408,5471731,86784
"PERU",1993,10102,1554585,60726
"ARGENTINA",1997,77761,7278449,104325
"ARGENTINA",1997,76744,3923287,103244
"UNITED STATES",1995,106177,3934040,70990
"CANADA",1998,82980,5720123,117778
"UNITED STATES",1992,36653,915638,95379
"UNITED STATES",1992,24192,3214627,66971
"BRAZIL",1995,120537,7401382,93451
"CANADA",1996,37111,4005876,62886
"ARGENTINA",1993,4303,2610182,72438
"PERU",1992,97168,3539756,69909
"UNITED STATES",1997,186837,8672625,115429
"BRAZIL",1996,39260,5523791,71955
"PERU",1997,15921,8640871,110215
"UNITED STATES",1993,173145,2129308,73088
"PERU",1994,147258,1187777,78315
"BRAZIL",1993,65315,1152279,76818
"BRAZIL",1993,135470,876183,90328
"ARGENTINA",1993,86409,837240,83724
"UNITED STATES",1993,160292,2385439,81137
"ARGENTINA",1997,89064,2729531,63183
"ARGENTINA",1997,87130,4397023,67027
"ARGENTINA",1997,187985,6426238,124378
"PERU",1993,198798,2441168,113807
"PERU",1992,166555,6265669,97293
"PERU",1992,99123,1649516,67327
"CANADA",1997,175413,3572184,89304
"ARGENTINA",1997,92135,2333159,67627
"UNITED STATES",1992,162812,8436645,112488
"UNITED STATES",1996,186236,4795728,79333
"UNITED STATES",1996,65232,568684,71833
"ARGENTINA",1998,144087,2913662,67864
"ARGENTINA",1998,106247,3804836,75194
"ARGENTINA",1998,77336,2600393,78799
"UNITED STATES",1992,25256,4713187,70875
"ARGENTINA",1995,187761,4891818,110925
"PERU",1996,33826,5444883,105589
"PERU",1996,108272,5645990,76816
"CANADA",1992,83593,2932457,94595
"ARGENTINA",1996,85605,5089920,95436
"ARGENTINA",1996,168869,3100576,116271
"ARGENTINA",1993,77696,331390,100421
"CANADA",1996,42733,5526557,100543
"PERU",1993,151986,6776283,122278
"PERU",1993,17768,6704267,101145
"UNITED STATES",1993,83632,2126169,96937
"UNITED STATES",1993,188643,8145634,103898
"ARGENTINA",1996,153202,5219121,75312
"ARGENTINA",1996,52740,5949981,101564
"PERU",1996,114974,4574631,119338
"PERU",1996,156312,2241291,82098
"ARGENTINA",1995,162487,4295158,92968
"ARGENTINA",1995,49737,4297788,101203
"CANADA",1992,42555,4979353,89853
"CANADA",1992,20363,5021787,77001
"CANADA",1992,24194,1811467,67091
"UNITED STATES",1992,113152,3921894,69909
"CANADA",1996,189070,1780331,69544
"CANADA",1996,115463,694876,88707
"BRAZIL",1997,157773,2563078,109846
"ARGENTINA",1996,62595,2943845,93455
"CANADA",1997,121609,2850288,97836
"CANADA",1997,157592,7423155,98975
"CANADA",1997,37749,7013464,101204
"CANADA",1998,92014,382283,60360
"BRAZIL",1992,128080,3368563,66484
"BRAZIL",1992,32866,174489,107931
"BRAZIL",1992,176100,5057230,70566
"CANADA",1997,144680,1255567,103480
"BRAZIL",1992,33354,1936174,77241
"BRAZIL",1992,124022,3933035,62761
"BRAZIL",1992,30427,2261461,81445
"BRAZIL",1998,51140,3413085,65468
"BRAZIL",1998,36969,1629595,114357
"BRAZIL",1996,28088,3957631,60964
"BRAZIL",1996,37542,3107034,88772
"BRAZIL",1996,155674,3523337,103780
"PERU",1996,93554,1050786,92853
"BRAZIL",1994,35616,5869740,93096
"UNITED STATES",1995,87814,8389227,108108
"UNITED STATES",1995,144687,5042652,103900
"BRAZIL",1992,22360,1410596,76941
"BRAZIL",1992,123890,5873728,114833
"CANADA",1992,178945,1821546,121436
"ARGENTINA",1997,17507,6410250,85470
"CANADA",1995,162327,2556348,83359
"BRAZIL",1996,28382,1761150,78622
"BRAZIL",1996,14591,1287279,90335
"BRAZIL",1996,27398,4174978,79523
"ARGENTINA",1994,52941,3712122,113636
"ARGENTINA",1995,126863,7994107,113391
"ARGENTINA",1995,177578,5787872,99334
"BRAZIL",1995,80899,3421399,112793
"CANADA",1993,88406,5835564,83664
"UNITED STATES",1992,166186,2208845,75130
"UNITED STATES",1992,98381,4767137,82762
"UNITED STATES",1992,77878,2728128,111352
"UNITED STATES",1992,89615,4980709,96276
"UNITED STATES",1992,86994,8557876,118859
"UNITED STATES",1994,86367,4064140,81201
"CANADA",1993,83714,5561697,101862
"CANADA",1993,12531,5375705,86611
"PERU",1997,166774,2177630,110446
"CANADA",1992,167173,3690745,74410
"CANADA",1992,73475,1390531,86908
"BRAZIL",1994,134043,1417384,64622
"ARGENTINA",1997,71487,6930696,87508
"ARGENTINA",1997,20992,7215798,114779
"ARGENTINA",1997,175862,3350559,116271
"UNITED STATES",1995,39253,3964231,71535
"PERU",1998,198656,958038,105279
"BRAZIL",1994,62388,777818,81022
"PERU",1994,79281,3711524,75616
"BRAZIL",1993,50490,4688794,86429
"BRAZIL",1993,174679,166598,105220
"CANADA",1994,42449,4054656,83486
"ARGENTINA",1992,123975,1727110,119938
"PERU",1992,194969,3170242,123837
"ARGENTINA",1992,144556,4062195,96033
"ARGENTINA",1994,35761,3705723,101805
"CANADA",1992,75777,652030,105166
"CANADA",1992,167245,716483,78734
"CANADA",1994,37344,1230086,76880
"UNITED STATES",1994,47329,765792,76579
"ARGENTINA",1994,47049,1945266,59762
"ARGENTINA",1994,145662,7377091,102459
"ARGENTINA",1994,128011,1855671,62340
"CANADA",1996,77724,4621871,102103
"ARGENTINA",1996,130054,4227795,65043
"ARGENTINA",1996,135121,4328513,69367
"CANADA",1993,129001,1835460,61800
"CANADA",1993,163128,2818189,71467
"UNITED STATES",1997,178795,3310986,112427
"UNITED STATES",1997,191670,1146847,105700
"BRAZIL",1995,171086,416548,69424
"BRAZIL",1995,59936,1486409,113755
"CANADA",1996,119725,6804408,104683
"CANADA",1996,169404,6440231,88404
"PERU",1993,40801,2534319,104508
"BRAZIL",1995,115899,7822325,114893
"BRAZIL",1995,79379,3061765,81502
"ARGENTINA",1994,78115,629631,65586
"ARGENTINA",1994,107236,3446233,74593
"CANADA",1996,99891,1565656,113453
"UNITED STATES",1998,858,1920664,105531
"PERU",1992,180971,7136751,123118
"BRAZIL",1993,106517,5621751,91410
"BRAZIL",1994,117915,1090161,115974
"BRAZIL",1994,136486,2338529,91348
"CANADA",1996,121048,933271,64142
"UNITED STATES",1997,41514,1816476,87330
"CANADA",1994,164256,5228190,79215
"BRAZIL",1994,57135,2771825,65527
"UNITED STATES",1995,79158,413922,68229
"UNITED STATES",1995,192076,1611936,70084
"ARGENTINA",1994,7241,3559544,68894
"PERU",1997,129415,5159432,86664
"PERU",1994,135576,3373016,96694
"PERU",1994,17556,5481606,88413
"BRAZIL",1994,177194,1086867,76271
"BRAZIL",1994,87041,4420572,61682
"PERU",1996,82244,4149596,73574
"PERU",1996,91364,5536645,81321
"BRAZIL",1997,121016,689611,62220
"ARGENTINA",1993,28736,7591168,99883
"CANADA",1997,170517,5278470,95250
"UNITED STATES",1993,49833,1326425,106969
"CANADA",1997,96222,467796,73093
"BRAZIL",1996,172346,141834,85100
"UNITED STATES",1996,138712,7563067,105042
"CANADA",1992,1211,2046466,66732
"BRAZIL",1995,9473,2469091,82948
"BRAZIL",1995,4596,6752655,90035
"ARGENTINA",1998,86002,2667600,59280
"CANADA",1994,193658,4904620,105099
"BRAZIL",1998,112387,4799873,83962
"UNITED STATES",1998,4384,644190,77302
"CANADA",1997,21367,4029990,77301
"ARGENTINA",1996,184846,544496,115850
"ARGENTINA",1996,76056,291038,61923
"PERU",1992,140959,2819929,119997
"BRAZIL",1992,41691,320007,97961
"ARGENTINA",1995,70,576221,58204
"BRAZIL",1994,43005,2047680,56880
"PERU",1997,197800,3425529,113868
"PERU",1995,118238,1635611,75373
"ARGENTINA",1996,5121,675186,61567
"ARGENTINA",1996,64952,8729790,115017
"ARGENTINA",1996,43736,2494399,100783
"ARGENTINA",1994,25391,3159336,78983
"UNITED STATES",1993,119979,7993881,119938
"UNITED STATES",1993,134793,1995946,109667
"UNITED STATES",1996,32232,2597397,69853
"UNITED STATES",1996,14809,7058961,103428
"ARGENTINA",1994,165632,7574825,101857
"BRAZIL",1995,42184,4459672,67570
"CANADA",1993,63721,2806743,101083
"PERU",1997,45808,6138300,105228
"PERU",1997,86260,4143814,74775
"PERU",1997,117821,4324904,110329
"CANADA",1993,118923,6023835,116515
"CANADA",1993,126735,4488888,105703
"PERU",1994,145506,6781606,93090
"PERU",1994,29923,2216092,111175
"PERU",1993,160826,7788792,113209
"BRAZIL",1996,34880,7647904,108892
"BRAZIL",1996,11675,2335578,95200
"PERU",1994,555,967940,87333
"PERU",1994,188020,1662030,66481
"PERU",1994,42116,2888640,63486
"CANADA",1994,4672,4252278,94600
"BRAZIL",1994,129868,1859902,113871
"UNITED STATES",1995,148368,5982704,84981
"BRAZIL",1998,125467,1289485,89547
"BRAZIL",1998,70603,771064,94416
"BRAZIL",1998,7914,3115466,109314
"PERU",1993,180051,2687374,67863
"PERU",1993,112871,3074475,113032
"CANADA",1993,129037,4195894,63961
"UNITED STATES",1997,86156,4183695,68529
"UNITED STATES",1997,108469,3087891,88647
"UNITED STATES",1997,123175,4843003,71890
"CANADA",1995,98990,934825,119339
"CANADA",1994,19457,784576,82587
"CANADA",1994,125209,4807209,74052
"ARGENTINA",1996,144850,2000961,113691
"ARGENTINA",1993,174968,4359676,122577
"ARGENTINA",1993,100840,2623197,110450
"CANADA",1998,8578,2527169,89194
"UNITED STATES",1998,19719,2335161,98322
"UNITED STATES",1998,6755,7575918,99705
"UNITED STATES",1998,127612,5666492,98376
"PERU",1997,167775,8222439,110566
"BRAZIL",1992,37493,5922228,85829
"BRAZIL",1992,127346,4218900,82400
"PERU",1998,173176,1454033,74950
"PERU",1998,166625,3085514,101497
"BRAZIL",1995,4960,3189081,111897
"UNITED STATES",1993,176505,5010192,94890
"UNITED STATES",1993,109677,7843015,101200
"UNITED STATES",1993,88463,3338358,87087
"BRAZIL",1997,180103,2135495,70986
"BRAZIL",1997,181566,4474772,98853
"UNITED STATES",1996,161878,7237654,116392
"BRAZIL",1995,42733,3272700,100543
"BRAZIL",1995,45761,471065,102405
"CANADA",1995,13396,4766179,78563
"UNITED STATES",1993,10119,203763,61746
"UNITED STATES",1993,176360,5630531,86181
"UNITED STATES",1993,68882,2461670,111052
"BRAZIL",1995,93366,2854656,81561
"ARGENTINA",1997,29570,3898882,89974
"UNITED STATES",1997,19828,7477173,104869
"UNITED STATES",1997,135947,1804475,118976
"UNITED STATES",1997,115282,2006892,77836
"ARGENTINA",1995,33969,7646093,114177
"ARGENTINA",1995,57153,430738,66609
"ARGENTINA",1995,159307,393494,81978
"ARGENTINA",1992,54665,6996931,97179
"UNITED STATES",1993,20122,2370823,62527
"UNITED STATES",1993,188171,1813204,75550
"UNITED STATES",1993,184895,768197,118793
"BRAZIL",1997,118094,1534684,66725
"UNITED STATES",1998,107356,2576731,81801
"UNITED STATES",1998,63043,2716308,60362
"CANADA",1994,87916,186583,114234
"PERU",1992,115722,2371987,104263
"PERU",1992,131308,787508,80358
"UNITED STATES",1998,66589,2134255,93334
"ARGENTINA",1998,192523,1777072,96931
"CANADA",1993,117729,2880341,104803
"CANADA",1993,57896,6447829,111233
"CANADA",1993,148317,6224448,81918
"CANADA",1993,147197,1119771,74651
"CANADA",1996,9368,5947388,76641
"PERU",1995,117591,5654193,96515
"ARGENTINA",1992,61990,749564,117119
"ARGENTINA",1992,86478,3914528,87868
"PERU",1997,34695,5280195,97781
"PERU",1997,106658,612591,99879
"CANADA",1997,167647,5701178,102878
"ARGENTINA",1995,136146,5056012,70928
"ARGENTINA",1995,191455,4793995,92787
"ARGENTINA",1993,193269,5206557,81735
"ARGENTINA",1993,71722,5145521,101623
"BRAZIL",1995,192386,1159049,88702
"PERU",1993,48486,5410858,86068
"BRAZIL",1994,4782,1762685,101206
"BRAZIL",1994,157042,5055584,65942
"CANADA",1992,94190,1447080,71051
"PERU",1992,99354,6293077,81201
"UNITED STATES",1992,77060,3923197,62223
"UNITED STATES",1992,106076,2588311,64924
"UNITED STATES",1998,125260,2961239,77115
"UNITED STATES",1998,64351,1483714,78921
"UNITED STATES",1998,102145,5334201,68828
"CANADA",1994,103828,8792736,109909
"PERU",1995,120472,585048,89548
"PERU",1995,1791,4570533,101567
"CANADA",1994,48816,2850168,105888
"ARGENTINA",1996,41298,122689,74357
"ARGENTINA",1996,92053,300974,62703
"CANADA",1997,136319,4608054,81318
"CANADA",1998,50584,4962831,92074
"PERU",1993,154426,6809932,88825
"CANADA",1995,31992,5090877,115439
"CANADA",1995,82403,3906828,83124
"CANADA",1994,165848,568410,114830
"PERU",1992,107565,2091504,94353
"ARGENTINA",1993,9413,6281447,79344
"CANADA",1995,47385,3554789,79942
"CANADA",1995,192819,7654887,114708
"UNITED STATES",1994,156386,1918365,86542
"UNITED STATES",1993,48816,7018649,105888
"UNITED STATES",1995,28,3158980,55681
"UNITED STATES",1995,68207,930758,70512
"UNITED STATES",1995,142946,9944700,119336
"BRAZIL",1993,1381,1885098,76942
"BRAZIL",1993,114030,991828,62641
"CANADA",1993,131341,5360360,82340
"CANADA",1993,42589,4548792,91894
"PERU",1993,97047,4658506,62642
"PERU",1993,58488,567020,86788
"CANADA",1997,54371,2862799,79522
"CANADA",1997,11654,6841890,93939
"ARGENTINA",1995,151474,7322256,91528
"UNITED STATES",1994,36092,705269,61685
"BRAZIL",1998,150125,3351442,70507
"UNITED STATES",1995,11338,5809384,74959
"UNITED STATES",1995,138234,1571204,76333
"ARGENTINA",1996,19363,5190993,76941
"ARGENTINA",1996,19963,2398891,112977
"ARGENTINA",1996,59011,706167,58200
"UNITED STATES",1997,163268,3860654,79875
"ARGENTINA",1998,139876,758684,114952
"BRAZIL",1998,166028,2334638,65641
"UNITED STATES",1993,176727,8484698,108223
"PERU",1995,77342,905067,79160
"BRAZIL",1992,185028,3708582,66781
"BRAZIL",1992,612,7336158,90756
"PERU",1996,171377,5422697,86902
"ARGENTINA",1994,59804,8032345,105828
"CANADA",1994,108105,3673230,66786
"CANADA",1994,166599,1978720,99935
"ARGENTINA",1995,111702,3902094,102822
"ARGENTINA",1995,162899,4186673,117713
"ARGENTINA",1995,33145,2837664,64688
"ARGENTINA",1995,111535,3557019,92791
"PERU",1998,185997,8615246,124979
"CANADA",1995,98807,5601591,108348
"ARGENTINA",1995,53837,1595629,107449
"PERU",1997,196324,2783827,85219
"BRAZIL",1996,128906,4256780,116094
"PERU",1997,87734,7444760,103303
"UNITED STATES",1993,66371,6553113,80242
"BRAZIL",1995,79194,4255160,70391
"BRAZIL",1995,199094,4373867,71585
"BRAZIL",1995,16351,4843811,76041
"BRAZIL",1992,118282,4969670,78016
"BRAZIL",1994,159850,3437730,114591
"BRAZIL",1994,14651,1202419,93939
"UNITED STATES",1997,52002,2472768,57240
"ARGENTINA",1992,102481,3337830,89008
"ARGENTINA",1992,145924,3943779,118195
"ARGENTINA",1996,173674,3121338,104860
"UNITED STATES",1997,97495,1943221,89549
"BRAZIL",1994,27844,2921764,106310
"PERU",1994,77707,7682232,101082
"PERU",1994,9023,1491232,55921
"BRAZIL",1996,52737,3193589,101383
"ARGENTINA",1995,110248,2778193,75494
"ARGENTINA",1996,11154,575181,63909
"ARGENTINA",1994,102665,7429425,100059
"ARGENTINA",1994,85208,3340960,71592
"BRAZIL",1996,65160,3456491,67509
"CANADA",1992,77774,4463509,105106
"ARGENTINA",1997,181119,2268207,72006
"ARGENTINA",1997,55491,781104,86789
"ARGENTINA",1997,135054,3267150,65343
"PERU",1997,81279,1222461,75616
"CANADA",1992,151719,5800845,106242
"ARGENTINA",1993,33983,7326697,115018
"UNITED STATES",1995,123435,1143409,87505
"PERU",1994,25333,5614668,75499
"PERU",1994,80708,5126893,101322
"CANADA",1994,199043,4214127,68522
"CANADA",1993,164019,2573231,64980
"ARGENTINA",1997,71055,3734822,61563
"UNITED STATES",1993,151178,3457655,73750
"UNITED STATES",1993,28056,2837016,59043
"CANADA",1995,144842,4905784,113210
"ARGENTINA",1997,141298,1478576,80357
"PERU",1993,65188,3503360,69190
"PERU",1993,120024,2605873,62641
"BRAZIL",1997,42711,4795759,99222
"BRAZIL",1994,62720,4900080,100963
"PERU",1997,120656,2263477,100599
"PERU",1998,151698,4503702,104981
"PERU",1996,37247,1641356,71054
"PERU",1995,8258,5038200,69975
"ARGENTINA",1998,14223,5458656,68233
"UNITED STATES",1997,173667,8181102,104439
"ARGENTINA",1995,166264,3064919,79815
"ARGENTINA",1995,198185,1688664,76990
"ARGENTINA",1994,135035,3072056,64201
"PERU",1993,30090,4039556,61205
"UNITED STATES",1997,64362,257313,79581
"CANADA",1994,133155,3724850,71289
"BRAZIL",1996,138671,5785523,102580
"UNITED STATES",1994,123081,2594588,66244
"UNITED STATES",1994,12475,6312988,83248
"UNITED STATES",1994,64139,2184197,66187
"UNITED STATES",1995,104209,5648659,72792
"ARGENTINA",1995,26116,3472310,62526
"BRAZIL",1993,144535,3869848,94771
"UNITED STATES",1993,82653,4553649,98139
"PERU",1993,87991,7068952,118739
"BRAZIL",1996,50369,5456872,79161
"BRAZIL",1996,147720,1930350,106063
"BRAZIL",1996,120391,3582107,84683
"UNITED STATES",1995,588,2505280,89314
"PERU",1994,42013,1976870,57300
"PERU",1994,108597,2045521,96335
"UNITED STATES",1993,199102,2282090,72066
"BRAZIL",1997,125629,4606462,99277
"BRAZIL",1997,93694,8100912,101261
"ARGENTINA",1996,150165,2262627,72909
"ARGENTINA",1997,105151,3763268,69369
"ARGENTINA",1997,57978,5761446,116158
"CANADA",1993,152891,7773616,116633
"BRAZIL",1994,41526,6750592,88051
"UNITED STATES",1995,62280,4024987,74536
"ARGENTINA",1994,151108,3193320,69546
"ARGENTINA",1994,57937,1980201,113695
"PERU",1996,114185,352558,71950
"PERU",1992,116003,2567880,61140
"PERU",1998,72938,2155529,114655
"PERU",1998,90968,7071845,117537
"PERU",1998,61220,785511,70873
"PERU",1998,118061,3035395,64743
"PERU",1998,47679,6069105,97600
"BRAZIL",1995,149276,5844440,79516
"UNITED STATES",1993,178456,1141630,92067
"CANADA",1992,30926,1537529,111415
"CANADA",1992,147451,2847055,89907
"UNITED STATES",1993,56320,3961697,76579
"PERU",1996,82381,3435717,81802
"CANADA",1993,99046,1057580,62702
"ARGENTINA",1997,83924,188884,114475
"BRAZIL",1994,90361,3175696,81081
"PERU",1998,120581,3843792,96094
"CANADA",1992,96595,5347742,95495
"CANADA",1992,120140,1102133,69608
"CANADA",1992,184392,6451824,88583
"PERU",1993,122951,5724455,118437
"PERU",1993,82271,4053075,75196
"BRAZIL",1998,30168,1779019,65889
"BRAZIL",1992,37520,5194601,87451
"BRAZIL",1992,103132,1223670,68107
"CANADA",1997,179379,5573890,87502
"UNITED STATES",1997,154585,1803538,98374
"ARGENTINA",1994,27907,7431345,110094
"ARGENTINA",1994,186268,4265919,81255
"ARGENTINA",1994,103284,2250165,77236
"PERU",1996,176589,1740531,99934
"BRAZIL",1994,106200,2305048,72372
"BRAZIL",1994,190038,4090236,67681
"BRAZIL",1994,166141,3442763,72428
"PERU",1995,132449,4936158,88886
"ARGENTINA",1997,108558,3720556,93993
"UNITED STATES",1992,80017,2467599,59820
"BRAZIL",1993,13214,3571001,67632
"ARGENTINA",1994,162923,1445749,119155
"ARGENTINA",1994,38639,6580294,94657
"ARGENTINA",1996,60849,2407087,108590
"ARGENTINA",1996,79216,5109522,71712
"CANADA",1992,55881,1636660,110212
"UNITED STATES",1996,56611,5977296,94056
"UNITED STATES",1993,119050,2065404,64143
"CANADA",1998,156224,2661577,76813
"ARGENTINA",1997,37467,561784,84267
"ARGENTINA",1997,95030,1845054,61501
"BRAZIL",1998,74411,1329993,83124
"ARGENTINA",1996,172760,1649484,109965
"CANADA",1994,90857,3159823,110871
"ARGENTINA",1992,118298,829262,78977
"CANADA",1994,32247,1804237,70754
"PERU",1992,120746,5367356,106004
"CANADA",1995,163923,377514,119215
"CANADA",1995,142319,3544851,81678
"UNITED STATES",1997,105962,1363796,118077
"ARGENTINA",1996,192997,3009585,125399
"ARGENTINA",1993,184146,1007484,73808
"BRAZIL",1996,142092,2476852,68045
"BRAZIL",1996,139384,5764689,85402
"BRAZIL",1992,8009,3735858,55020
"BRAZIL",1995,52281,241722,73996
"ARGENTINA",1997,155283,1704968,80296
"ARGENTINA",1997,52854,8065778,108411
"PERU",1993,84641,6276596,97538
"PERU",1993,107170,3729274,70630
"UNITED STATES",1996,197104,3603300,72066
"UNITED STATES",1996,125155,987785,70809
"BRAZIL",1992,54884,1287216,110332
"BRAZIL",1992,34762,2524778,101805
"BRAZIL",1993,49300,2700986,74958
"PERU",1992,29939,4616257,112135
"ARGENTINA",1992,170850,4064518,115251
"ARGENTINA",1994,59669,1563513,97719
"UNITED STATES",1997,98424,1971474,85345
"BRAZIL",1996,105730,7585140,104143
"BRAZIL",1996,188902,2484643,119454
"BRAZIL",1996,72894,3369736,112013
"BRAZIL",1998,20096,3942429,60965
"ARGENTINA",1998,14176,5123799,65410
"ARGENTINA",1998,41031,1959612,58321
"CANADA",1997,103561,7436353,93873
"CANADA",1997,149518,291556,94050
"CANADA",1997,3223,2432635,67573
"CANADA",1997,43420,736246,81805
"CANADA",1997,143920,7541452,117835
"UNITED STATES",1996,55916,9172359,112314
"UNITED STATES",1996,44488,4876161,85948
"UNITED STATES",1995,8530,1309062,86311
"PERU",1992,144403,4125090,86844
"PERU",1992,149065,409974,66843
"PERU",1993,99195,3625560,71651
"UNITED STATES",1995,109609,2062096,97116
"UNITED STATES",1995,173128,3805148,72067
"ARGENTINA",1992,32025,93787,57421
"ARGENTINA",1992,42502,5662440,86670
"BRAZIL",1998,90673,3868032,99820
"UNITED STATES",1996,124148,341092,70328
"BRAZIL",1997,25393,1115357,79103
"BRAZIL",1997,117283,4681008,78016
"UNITED STATES",1998,53014,2726968,58020
