"d_year","lo_custkey","lo_revenue","lo_suppkey"
1992,20111,5832854,357
1992,7169,3757837,840
1992,7169,1436413,733
1992,7169,4795949,1187
1992,7169,6597864,1018
1992,7169,2288504,1718
1992,18148,3058392,1461
1992,18148,2916480,321
1992,18148,3802055,1339
1992,18148,5504672,1807
1992,18148,2767431,1504
1992,18148,104796,1670
1992,18148,5567611,397
1992,17626,7799470,1346
1992,17626,6025956,319
1992,17626,5377462,246
1992,17626,7371344,1934
1992,17626,3508232,1058
1992,17626,1594603,1535
1992,17626,3111888,1944
1992,22885,8285220,1460
1992,22885,6543303,227
1992,22885,5165549,1095
1992,22885,4561564,1604
1992,26129,8723863,1332
1992,26129,7086266,675
1992,26129,4696106,1357
1992,18625,8414936,715
1992,14746,3798288,196
1992,14746,1256202,1918
1992,14746,1720096,246
1992,14746,3704681,1544
1992,14746,1849261,301
1992,14746,4663169,1044
1992,20024,2582922,1594
1992,20024,4661202,69
1992,20024,1864930,66
1992,20024,5967120,1631
1992,20024,5477250,1607
1992,20024,6342893,1202
1992,20024,5390955,644
1992,16342,4612735,54
1992,16342,6651848,244
1992,16342,4052129,758
1992,16342,5752895,1946
1992,16342,2829713,966
1992,16342,4347231,234
1992,6991,5581866,342
1992,6991,3062239,1573
1992,6991,5229650,1675
1992,6991,2017067,391
1992,28564,4921610,130
1992,28564,1240057,397
1992,28564,4811807,514
1992,28564,1207475,1818
1992,8627,4785765,730
1992,8627,2660338,930
1992,1018,7521846,560
1992,1018,5397135,513
1992,1018,7283864,1722
1992,1018,5670727,1493
1992,1018,741657,1834
1992,1018,6921338,144
1992,28801,2179944,1929
1992,28801,3448550,164
1992,28801,4076753,409
1992,28801,2660878,1711
1992,28801,6783968,1117
1992,11758,1292747,1260
1992,24592,5731932,1296
1992,24592,5834456,590
1992,24592,2919910,358
1992,24592,2748924,1868
1992,4945,4937079,129
1992,4945,3435121,76
1992,4945,2031597,409
1992,4945,7319639,671
1992,4945,958507,873
1992,16603,3212924,1328
1992,16603,6338828,46
1992,16603,6139960,1897
1992,16603,10244900,215
1992,16603,5131735,962
1992,16603,7229294,1768
1992,12559,671704,1386
1992,8965,1668528,1683
1992,8965,6680510,964
1992,8965,5237317,554
1992,8965,590795,1569
1992,8965,4521790,34
1992,8965,3565269,1399
1992,8965,4189760,1440
1992,21139,1930233,61
1992,19093,3620269,311
1992,19093,3659660,1737
1992,19093,2480991,1136
1992,19093,608265,824
1992,19093,5501115,1211
1992,3508,3016622,335
1992,3508,9060172,5
1992,3508,1982719,1601
1992,3508,759667,1595
1992,3508,5835413,1332
1992,3508,5696796,1736
1992,3508,6564189,325
1992,25576,3123474,1056
1992,25576,1359876,1970
1992,25576,2934073,174
1992,22693,1191322,953
1992,22693,6112606,1793
1992,22693,5131073,287
1992,1468,6618830,1310
1992,1468,1926237,1382
1992,1468,2098839,1780
1992,7561,4249389,771
1992,7561,8444025,1729
1992,7561,510492,1967
1992,7561,615018,563
1992,7561,677508,390
1992,7561,1478521,733
1992,29386,1096741,1948
1992,29386,2556801,1163
1992,29386,6538945,162
1992,29386,4065074,990
1992,29386,96828,1267
1992,29386,250670,227
1992,29386,7402432,1455
1992,859,554195,1085
1992,859,2156439,587
1992,859,7431788,860
1992,859,218386,706
1992,19258,5882115,1332
1992,19258,2934662,1266
1992,13684,1856711,1005
1992,13684,6971242,1174
1992,13684,3832515,1980
1992,16138,8311808,1958
1992,16138,3967173,1660
1992,16138,8297007,1872
1992,16138,7237002,1954
1992,359,7981382,95
1992,359,5491313,816
1992,359,189825,472
1992,19687,4403182,906
1992,19687,2333870,935
1992,19687,3608973,672
1992,19687,405146,1984
1992,12590,4593547,2
1992,12590,5684486,269
1992,12590,503130,580
1992,12590,4252567,589
1992,17303,5791126,282
1992,17303,4198945,331
1992,17303,213454,56
1992,20089,3601428,511
1992,20089,1507136,1915
1992,4108,808109,1587
1992,4108,5510904,1572
1992,4108,6866606,553
1992,4108,1165179,1324
1992,4108,5244048,521
1992,4108,3977278,409
1992,29759,952452,110
1992,29759,8626086,836
1992,29759,952935,1561
1992,29759,3785230,526
1992,29759,1216906,1821
1992,29759,7265970,686
1992,29759,5250881,182
1992,3670,3628339,136
1992,3670,202171,1942
1992,3670,6786633,1812
1992,3670,7310863,1092
1992,3670,6867828,1875
1992,1225,5156915,1910
1992,1225,2128773,608
1992,20915,2216901,901
1992,23221,4090956,305
1992,23221,996495,356
1992,23221,4096200,1700
1992,23221,4746105,1960
1992,23221,1085011,1686
1992,20149,1846700,194
1992,20149,3828683,1933
1992,20149,5952137,1328
1992,20149,1029993,11
1992,20149,8292108,1669
1992,20149,5060616,397
1992,27361,4543063,745
1992,27361,3887007,1019
1992,27361,3288186,688
1992,23338,3361758,1837
1992,9092,4640366,940
1992,9092,3341487,1959
1992,9092,4086585,272
1992,9092,4166793,1173
1992,9092,8997554,370
1992,9092,5974784,781
1992,9092,4269114,639
1992,26836,1505018,252
1992,26836,7357134,1968
1992,26836,152312,412
1992,26836,3489581,1115
1992,26836,3680603,1981
1992,26836,2806071,1073
1992,4351,7877463,280
1992,4351,4533983,37
1992,4351,2549942,464
1992,4351,605975,1150
1992,4351,3589128,1149
1992,4351,4579486,763
1992,8167,2840275,1736
1992,8167,3544050,770
1992,8167,3336035,498
1992,8167,3759352,1348
1992,8167,5221072,1589
1992,8167,5902221,1932
1992,8167,8097971,1782
1992,18229,3704466,789
1992,18229,1260858,1526
1992,18229,3381943,559
1992,18229,765655,950
1992,15635,2270964,474
1992,15635,6959160,166
1992,15635,2294279,1269
1992,12020,892449,94
1992,12020,5528360,1212
1992,12020,442526,1799
1992,12020,3269232,1288
1992,12020,1481415,778
1992,28861,4863657,151
1992,12025,2354058,1798
1992,12025,5352677,197
1992,12025,4166285,1333
1992,20710,3180038,1411
1992,20710,2206806,164
1992,20710,308774,413
1992,20710,3703470,637
1992,20710,4482510,1054
1992,27019,6991280,733
1992,27019,2509025,513
1992,7969,562696,339
1992,7969,3889072,1604
1992,7969,3005224,913
1992,7969,2819267,1861
1992,7969,6281994,1217
1992,7969,3171549,1839
1992,29933,4399286,196
1992,9974,2768535,1813
1992,9974,2352946,363
1992,9974,5188560,686
1992,9974,2413647,1844
1992,9974,519190,976
1992,17044,2913566,1115
1992,17044,2728561,1945
1992,17044,7659042,1682
1992,17044,2621074,103
1992,17044,2339979,1093
1992,812,545433,102
1992,812,6126759,771
1992,812,5289532,373
1992,812,1207839,1067
1992,812,5891104,1423
1992,812,2842248,1992
1992,812,394996,1632
1992,23708,3756834,1354
1992,23708,8316246,496
1992,23708,5884560,1249
1992,23708,7707700,1915
1992,23708,376844,251
1992,23708,3500284,908
1992,23708,596055,1204
1992,29557,3976579,353
1992,2191,145393,1962
1992,2191,3724741,962
1992,10822,5441645,1161
1992,10822,5346719,445
1992,10822,3014602,1356
1992,10822,6562178,146
1992,10822,6822473,1447
1992,19798,734926,1602
1992,19798,3553313,1999
1992,19798,1736567,621
1992,19798,3261878,82
1992,19798,7503926,1445
1992,19798,741266,1608
1992,19798,672858,794
1992,27202,3738196,303
1992,27202,6444108,1294
1992,1546,2740678,1562
1992,1546,3709827,666
1992,1546,343286,1520
1992,1546,5144255,1672
1992,1546,2656325,78
1992,1546,3696711,439
1992,1546,2504163,198
1992,24037,3685144,1291
1992,24037,871486,583
1992,24037,3324304,592
1992,24037,516951,1391
1992,24037,943318,973
1992,24037,703179,1975
1992,7747,3800218,1957
1992,7747,4808653,549
1992,7747,3483655,1348
1992,7747,2205518,577
1992,7747,1357274,460
1992,7747,5296300,1922
1992,7747,4412172,991
1992,23054,6126825,289
1992,20455,5203088,1497
1992,20455,290072,960
1992,20455,1286413,1334
1992,20455,2511709,1256
1992,20455,3461327,170
1992,20455,493154,1808
1992,20455,5653473,866
1992,21941,4179817,761
1992,21941,7607159,1263
1992,21941,3545800,1086
1992,21941,6406686,197
1992,21941,818736,709
1992,21941,6763403,453
1992,18872,2137389,10
1992,5113,5168850,530
1992,25996,8803886,1042
1992,25996,6062425,252
1992,25996,4658986,896
1992,25996,1907800,1339
1992,19222,649781,1049
1992,19222,3585617,388
1992,19222,1935882,1361
1992,19222,2517452,516
1992,19222,3780433,844
1992,19222,97762,959
1992,21467,6561625,1378
1992,21467,7839711,1632
1992,21467,1534719,38
1992,12691,3728389,1965
1992,12691,1012171,1778
1992,12691,5680110,1477
1992,12691,1024274,1311
1992,12691,1191612,1308
1992,13564,3401637,1530
1992,13564,3542437,206
1992,13564,1700992,811
1992,26923,2393905,1815
1992,20114,3219478,1330
1992,20114,6815070,471
1992,20114,6777852,623
1992,20114,8838954,1989
1992,20114,4980850,1011
1992,14695,4445599,1060
1992,14695,1127659,560
1992,14695,5206659,53
1992,14695,3614028,1230
1992,14695,5316511,643
1992,25757,2283890,777
1992,25757,5956164,1378
1992,25757,4923853,1323
1992,5047,1306998,1746
1992,5047,467360,601
1992,5047,7277925,370
1992,5047,5417022,48
1992,10600,4164116,269
1992,10600,2460841,448
1992,15178,4876121,935
1992,15178,5800669,1484
1992,15178,4691630,75
1992,15178,3025163,1398
1992,15178,2462012,1441
1992,15178,4077918,1452
1992,11698,1993590,1893
1992,11698,2224992,1945
1992,11698,3234727,256
1992,11698,6270763,1779
1992,11698,121275,880
1992,11698,4675642,1634
1992,21241,2815530,1505
1992,13384,181358,1002
1992,13384,1387230,884
1992,13384,811821,1659
1992,13384,3219797,1378
1992,13384,5304830,1581
1992,13384,2208398,627
1992,13384,7563434,1074
1992,29776,981173,776
1992,29776,4484188,152
1992,29776,2265940,1641
1992,29776,347410,1066
1992,9829,3003066,1603
1992,9829,5151677,1499
1992,9829,810268,1819
1992,9829,4136732,934
1992,9829,5683041,148
1992,9829,2579117,1136
1992,676,6727240,1366
1992,676,444766,1314
1992,676,3366663,468
1992,676,4517978,1339
1992,676,2472356,1900
1992,7466,6885001,1128
1992,7466,1419414,1386
1992,7466,5006734,906
1992,7466,1424188,395
1992,7466,1989773,10
1992,7466,1966431,37
1992,25327,138030,1936
1992,25327,3729492,151
1992,25327,9750804,952
1992,25327,1568269,1034
1992,25327,6126921,764
1992,25327,1604215,185
1992,25327,3582062,608
1992,24847,4905709,1993
1992,24847,2087440,97
1992,24847,4585320,1168
1992,24847,4113150,899
1992,24847,1522536,223
1992,22495,2551047,1450
1992,27652,4451088,66
1992,27652,5009768,1138
1992,27652,2439012,650
1992,27652,1770388,134
1992,27652,2758874,389
1992,19510,794167,349
1992,19510,698184,1544
1992,14302,1775060,92
1992,14302,151115,1855
1992,14302,1279691,580
1992,14302,4496194,1611
1992,6940,2342074,24
1992,6940,4834454,492
1992,6940,4419874,783
1992,13060,2756699,607
1992,13060,2600171,406
1992,13060,355307,326
1992,13060,6655881,783
1992,14233,3322479,294
1992,15541,4340736,146
1992,15541,7408041,209
1992,15541,2477018,1062
1992,15541,1375154,1978
1992,10030,2527465,506
1992,10030,2166851,357
1992,28372,3022980,1696
1992,28372,4669630,843
1992,28372,1382684,920
1992,12284,3350272,1463
1992,9259,5491763,374
1992,9259,664685,1093
1992,9259,4524428,1393
1992,9259,6103822,110
1992,9259,488801,1458
1992,9259,932649,1617
1992,9259,2608248,1915
1992,25934,3590499,878
1992,25934,3526059,868
1992,25934,2853739,1613
1992,25934,1811463,1514
1992,25294,3479679,575
1992,25294,1536070,344
1992,25294,2331193,472
1992,18239,188844,1974
1992,18239,3891020,740
1992,18239,3194064,1533
1992,18239,2509920,519
1992,18239,786308,788
1992,27391,6371543,1842
1992,8213,3323522,1107
1992,6451,396454,1668
1992,6451,3422244,1678
1992,6451,4994159,1420
1992,6451,4818210,1610
1992,6451,4932472,1663
1992,6451,4919271,83
1992,16280,5004195,1222
1992,16280,4012002,1451
1992,16280,4700850,1889
1992,27986,3226381,62
1992,27986,2636737,1585
1992,27986,5107811,565
1992,18671,1814558,1655
1992,18671,7093954,58
1992,18671,7438290,1509
1992,18671,565404,674
1992,18671,4512537,764
1992,18671,2504935,141
1992,18671,3541482,1531
1992,5605,2693980,43
1992,5605,2023357,900
1992,15746,2525025,1099
1992,7073,939896,327
1992,7073,3493641,998
1992,7073,6619407,765
1992,7073,2605282,1100
1992,7073,1964195,1283
1992,7073,4805065,1214
1992,21884,4253099,1774
1992,21884,6866574,1366
1992,21884,4216894,920
1992,21884,6060210,1930
1992,21884,2773628,812
1992,21884,4153126,178
1992,21884,4471746,382
1992,29404,5024230,652
1992,29404,2246661,1918
1992,29404,3710900,1040
1992,29404,1087142,1793
1992,29404,3973034,1933
1992,29404,1232361,25
1992,1660,5060321,701
1992,1660,4323828,1634
1992,1660,2624588,192
1992,6562,1456170,1145
1992,6562,4586182,474
1992,6562,7225771,1943
1992,6562,3682390,160
1992,6562,7776650,1668
1992,6562,2295405,1806
1992,5615,1091665,307
1992,5615,114878,534
1992,5615,2723391,1582
1992,5615,4849823,1328
1992,27772,2978044,1746
1992,27772,5379286,197
1992,27772,546021,1299
1992,27772,3897506,1841
1992,27772,4979069,517
1992,27772,4750996,1951
1992,27772,7335561,354
1992,15623,4190065,1314
1992,15623,5391708,1398
1992,24143,154163,1095
1992,24143,1457631,1132
1992,24143,3783356,1191
1992,24143,6599340,483
1992,16450,5543371,1174
1992,16450,1376609,1750
1992,16450,6202147,1470
1992,18667,9059198,1732
1992,18667,3649846,1647
1992,23264,6150019,1246
1992,23264,202870,794
1992,5558,2972481,1841
1992,5558,4073794,260
1992,5558,2868611,317
1992,5558,3820050,1840
1992,5558,6571559,1000
1992,5558,455840,1843
1992,5558,4938964,1742
1992,29978,280820,313
1992,29978,896526,1081
1992,29978,2431641,1876
1992,29978,2362194,624
1992,3911,193418,825
1992,3911,3085770,1025
1992,3911,6141385,531
1992,3911,7661397,959
1992,3911,996240,1218
1992,3911,2426642,1622
1992,3911,2810937,1496
1992,7831,8237685,1709
1992,7831,1589267,502
1992,7831,3193673,857
1992,22685,7731182,688
1992,22685,4542991,1594
1992,22685,2913156,1846
1992,22685,3739425,1398
1992,22685,6619198,301
1992,22685,6367003,1657
1992,14984,6002528,969
1992,11644,1305843,622
1992,11644,4276777,1068
1992,24674,1118829,774
1992,24674,937919,320
1992,24674,3574627,214
1992,24674,6089475,968
1992,24674,1120692,110
1992,24674,1807335,583
1992,24674,4913984,1116
1992,28642,9039916,1143
1992,28642,4814812,1987
1992,28642,5595911,1995
1992,28642,6059653,864
1992,12101,3026803,876
1992,12101,6229108,1167
1992,12101,635838,810
1992,12101,4028497,119
1992,12101,1275624,1469
1992,12101,3125441,764
1992,18955,5558640,1985
1992,18955,3802844,980
1992,18955,3322733,1884
1992,18955,4141486,132
1992,21052,6257876,1429
1992,21052,6449341,1900
1992,21052,2369850,411
1992,21052,2778758,40
1992,21052,5425718,1007
1992,21052,4718909,563
1992,21052,1804153,1170
1992,14365,1031020,142
1992,14365,490667,160
1992,14365,107933,502
1992,14365,3372101,1344
1992,14365,2884724,577
1992,14365,2101665,1415
1992,14365,1315369,1541
1992,6010,3574716,403
1992,6010,4159673,1066
1992,6010,1757046,1000
1992,6010,3720850,194
1992,6010,2802592,1551
1992,6010,2919377,423
1992,22981,7778124,584
1992,22981,176502,1911
1992,22981,6687679,516
1992,22981,1230406,24
1992,22981,523025,1697
1992,22981,884805,58
1992,7169,2605685,1530
1992,7169,4479561,917
1992,7169,4087353,883
1992,25906,5655828,1141
1992,25906,3523416,333
1992,25906,6423228,1180
1992,25906,5626128,1477
1992,2335,6079517,757
1992,2335,6476762,1990
1992,14630,4989735,74
1992,14630,2192723,971
1992,14630,6211517,894
1992,14630,313815,1354
1992,14630,3059967,1514
1992,14630,1078007,1653
1992,11764,5989953,1394
1992,11764,1314463,1525
1992,11764,2194865,9
1992,15808,4384471,1904
1992,15808,122785,495
1992,15808,2521409,448
1992,15808,6459116,1625
1992,15808,4694023,291
1992,15808,2362269,1580
1992,19765,4926475,742
1992,19765,5343831,1749
1992,19765,5258433,1063
1992,19765,8560286,1312
1992,17467,855534,114
1992,17467,6619011,458
1992,19721,5835049,1729
1992,19721,994032,1180
1992,19721,4343466,410
1992,19721,4211253,118
1992,19721,2396070,1421
1992,19721,2910174,1617
1992,12712,3025347,303
1992,12712,696513,557
1992,12712,3222096,117
1992,4501,2733069,984
1992,4501,4157986,1425
1992,4501,3588518,159
1992,4501,4433367,411
1992,16831,2887888,1481
1992,16642,5769502,197
1992,16642,2322868,756
1992,16642,3294634,1775
1992,16642,1426367,1795
1992,16642,5031024,1004
1992,16642,3732269,1114
1992,29951,6853402,1930
1992,29951,4911157,683
1992,29951,2458172,1348
1992,29951,1022395,1537
1992,29951,2656749,188
1992,29951,3757885,1794
1992,28390,959201,657
1992,27136,5105681,1980
1992,11833,7170240,1091
1992,7562,5962506,1405
1992,7562,5086214,1346
1992,7562,940852,1888
1992,7562,2449987,628
1992,7562,2879971,1420
1992,25774,3657712,434
1992,25774,434241,206
1992,25774,7524289,1462
1992,25774,6306410,438
1992,25774,5351710,926
1992,25774,706746,1825
1992,21548,1976268,211
1992,21548,4068561,493
1992,21548,7667071,271
1992,21548,3345228,1461
1992,29954,2252914,761
1992,29954,2140614,1041
1992,19045,2105754,1884
1992,19045,7720928,591
1992,19045,179135,42
1992,19045,5279737,1406
1992,19045,5465062,1243
1992,3205,1147227,958
1992,3205,4799916,1461
1992,3205,1205793,1519
1992,3205,6678863,656
1992,19231,1648308,720
1992,19231,3745618,1245
1992,19231,353926,1509
1992,19231,2291153,933
1992,20726,3710292,563
1992,20726,3287552,1823
1992,20726,4613432,1426
1992,20203,804639,366
1992,20203,3341695,1191
1992,20203,2378680,669
1992,20203,297532,1608
1992,20203,6266942,1881
1992,10337,4232692,1399
1992,10337,4268232,831
1992,10337,4665091,1628
1992,10337,4796464,1840
1992,10337,7699666,62
1992,4951,4281066,1800
1992,4951,3844694,733
1992,24200,1721857,57
1992,24200,366070,395
1992,24200,3307200,1281
1992,24200,2156673,1701
1992,24200,7628799,1714
1992,24200,3664728,835
1992,24200,4884243,784
1992,6574,1203247,1429
1992,6574,3221418,1088
1992,6574,4201937,779
1992,6574,3946096,958
1992,6574,6322964,676
1992,29314,2979982,396
1992,29314,3187682,1327
1992,29314,3961150,1263
1992,818,4383561,208
1992,818,7406780,382
1992,818,7565574,1731
1992,20731,124132,520
1992,20731,9101872,1882
1992,23773,3962141,1876
1992,23773,2506218,1244
1992,23773,3864495,1569
1992,23773,2295931,1324
1992,23773,6670909,227
1992,23773,3534932,1935
1992,5503,4715160,984
1992,5503,5744187,1451
1992,5503,7045032,446
1992,7243,3470805,1802
1992,7243,3183963,1269
1992,7243,5149391,124
1992,7243,2289880,1546
1992,7243,2202850,1431
1992,17626,5330322,987
1992,17626,6858518,1554
1992,17626,7459933,1274
1992,5339,5793811,871
1992,5339,7032825,400
1992,5339,2256282,1419
1992,5339,6436816,58
1992,5339,1749221,1045
1992,688,644288,372
1992,688,7662515,1253
1992,688,3130540,1081
1992,21529,363613,1688
1992,21529,2629932,1473
1992,21529,2264223,1742
1992,21529,4554063,584
1992,21529,2958991,433
1992,10787,1469396,39
1992,2825,6901715,988
1992,2825,1556299,904
1992,2825,7597644,221
1992,2825,2526715,473
1992,2825,8147706,725
1992,2825,4356692,402
1992,1450,551139,1698
1992,1450,2909902,312
1992,1450,3307765,50
1992,1450,471375,850
1992,14365,1409049,808
1992,14365,3756891,1065
1992,14365,3039564,1218
1992,11765,3940068,863
1992,11765,1215905,1986
1992,11765,2235600,672
1992,11765,7341756,1064
1992,23368,7234744,1161
1992,23368,4502410,1693
1992,23368,3151440,1931
1992,23368,721604,1539
1992,23368,5550919,406
1992,23368,359179,1309
1992,18388,6570707,1862
1992,18388,725864,225
1992,18388,1604460,838
1992,18388,4195943,505
1992,18388,4718570,227
1992,18388,5624586,1136
1992,27982,1122221,625
1992,27982,4425668,34
1992,27982,3464640,1346
1992,27982,1635920,1437
1992,7321,5517439,910
1992,7321,8571610,693
1992,7321,1030722,734
1992,22366,2212548,1535
1992,22366,6531358,1446
1992,23503,9201857,1934
1992,23503,4373241,1143
1992,23503,4645878,39
1992,23503,3460345,1919
1992,23503,380608,874
1992,23503,5958920,1430
1992,23503,7947315,1738
1992,9773,4255472,1433
1992,9773,506385,1885
1992,9773,3530761,394
1992,9773,8904444,970
1992,28126,852832,590
1992,28126,112335,837
1992,28126,5196367,875
1992,28126,3187126,1999
1992,28126,5270461,982
1992,28126,7756570,12
1992,28126,7748852,258
1992,22346,6932590,794
1992,22346,2034167,1931
1992,22346,450249,1562
1992,22346,6489111,905
1992,22346,4306098,785
1992,22346,6423556,1375
1992,9889,6175999,58
1992,9889,3189340,25
1992,9889,4605084,1889
1992,9889,4352084,1279
1992,9889,191377,381
1992,29035,5701062,893
1992,29035,1036075,899
1992,29035,241817,1546
1992,13184,3077952,1476
1992,13184,609887,303
1992,13184,806016,1963
1992,13184,1830737,1650
1992,8936,190068,469
1992,18859,5102086,922
1992,18859,2870374,1166
1992,18859,2199449,1339
1992,18859,2830330,587
1992,18859,627513,469
1992,18859,101612,1439
1992,27850,754914,1540
1992,27850,3474429,600
1992,27850,1154070,1011
1992,27850,1215533,648
1992,27850,5821168,1261
1992,27850,2179277,912
1992,27850,3064574,832
1992,19004,708732,439
1992,19004,803931,1263
1992,19004,4749740,650
1992,7913,2991394,1947
1992,7913,1393177,808
1992,7913,9248513,1139
1992,7913,2146244,25
1992,1174,4865033,1901
1992,12688,589696,1199
1992,12688,2373075,999
1992,12688,7025718,932
1992,12688,1045920,630
1992,12688,3180795,691
1992,12688,7617481,352
1992,12688,6737385,215
1992,12371,3316856,427
1992,12371,789368,1029
1992,12371,2222541,442
1992,12371,372737,5
1992,12371,507210,109
1992,12371,3757653,480
1992,15847,4079645,1404
1992,24016,8056540,1572
1992,24016,3362256,894
1992,24016,2309531,1766
1992,22432,2932179,893
1992,22432,5214689,1192
1992,22432,4489576,1452
1992,22432,1437842,1539
1992,22432,4997679,687
1992,22432,7293432,1946
1992,23243,495974,675
1992,23243,5250870,390
1992,23243,885047,1466
1992,23243,3304779,1229
1992,23243,5302089,920
1992,23243,2225454,270
1992,23243,979266,414
1992,16615,746950,1822
1992,16615,3356307,1982
1992,16615,5299707,792
1992,16615,4696685,905
1992,16615,7397470,1944
1992,16615,2349087,109
1992,16615,1808597,1655
1992,6160,9078149,1711
1992,6160,2952322,381
1992,6160,4302849,21
1992,23758,2078832,582
1992,23758,2745225,1605
1992,23758,8711425,1938
1992,5170,3527342,1806
1992,5170,4633873,1213
1992,5170,3762964,331
1992,5170,3697710,922
1992,5170,1999299,927
1992,5170,1511870,1246
1992,5822,439068,1975
1992,5822,3738116,609
1992,5822,2905765,1305
1992,5822,3575863,284
1992,5822,6885024,630
1992,5822,188284,52
1992,4591,1176921,597
1992,4591,2985505,441
1992,2269,5953389,76
1992,2269,5201284,1935
1992,2269,5973642,1605
1992,7318,3572698,727
1992,7318,867842,1799
1992,7318,7393131,1014
1992,7318,3379592,1805
1992,7318,4258962,223
1992,7318,166084,1280
1992,28906,3786582,782
1992,28906,5386128,1563
1992,28906,2496723,1199
1992,28906,3884426,666
1992,28906,7171765,1733
1992,28906,1336830,1538
1992,754,987815,901
1992,754,2369058,336
1992,754,3951856,1141
1992,754,4751322,1525
1992,754,6608616,458
1992,24218,2100087,1840
1992,24218,1670508,122
1992,27979,1649671,359
1992,27979,2426064,888
1992,27979,5528370,201
1992,27979,1079015,1333
1992,27979,3134799,141
1992,1057,1668899,1527
1992,1057,5047239,1530
1992,1057,1364500,1217
1992,1057,2820624,1303
1992,1057,1067901,485
1992,1057,1397672,815
1992,8833,2885857,1321
1992,8833,2256850,1400
1992,8833,6251493,956
1992,8833,700993,1227
1992,8833,5403902,847
1992,27962,1939625,327
1992,27962,1728402,1313
1992,27962,3943525,1123
1992,18581,4013562,1662
1992,18581,1244914,1271
1992,18581,3167556,904
1992,18581,1841125,624
1992,21782,3668652,1
1992,21782,4578995,1111
1992,21782,970375,1536
1992,21782,3157859,1505
1992,21782,6159868,216
1992,21782,2132769,1592
1992,21782,4381117,1057
1992,7712,4048091,675
1992,7712,1081233,1110
1992,7712,597416,1605
1992,7712,6773299,762
1992,7712,2373546,1090
1992,7712,3295638,887
1992,23144,2516930,1794
1992,7165,1305930,865
1992,7165,1957502,1418
1992,7165,5133505,1558
1992,7165,2667459,1542
1992,7165,3984395,536
1992,21100,4997084,647
1992,21100,2084514,479
1992,21100,5321461,1831
1992,21100,4947896,1385
1992,1475,4580475,561
1992,1475,4868292,786
1992,24209,4015032,1083
1992,24209,4277263,1520
1992,24209,1183424,874
1992,14008,1452901,574
1992,14008,2072364,1861
1992,14008,6587852,1754
1992,14008,1458060,1455
1992,14008,8694471,914
1992,14008,379628,1524
1992,3770,4549730,10
1992,3770,2060869,317
1992,3770,6255800,741
1992,3770,7205565,1966
1992,3770,4792550,878
1992,3770,2191826,298
1992,20383,4677977,1974
1992,20383,4652505,588
1992,20383,4704063,191
1992,20269,5942096,698
1992,19129,2074625,1113
1992,19129,718907,1479
1992,19129,3850367,256
1992,19129,5167300,1830
1992,19129,5905438,1055
1992,19129,2414520,685
1992,3250,3338640,504
