"s_nation","d_year","lo_custkey","lo_revenue"
"VIETNAM",1992,484159,4976245
"JAPAN",1992,484159,1642039
"JAPAN",1995,521101,3777774
"CHINA",1993,807907,1287346
"INDONESIA",1995,186754,3563804
"CHINA",1995,186754,3920895
"INDIA",1995,186754,479307
"JAPAN",1995,186754,2994885
"INDIA",1992,41314,1014235
"VIETNAM",1992,41314,4287810
"VIETNAM",1994,446086,786532
"JAPAN",1994,446086,1760650
"INDONESIA",1994,446086,6562472
"VIETNAM",1994,446086,928381
"INDONESIA",1995,366101,1786721
"INDIA",1995,669416,6689956
"JAPAN",1994,872422,3019180
"INDIA",1997,878192,1012129
"INDONESIA",1997,59008,744836
"CHINA",1996,785804,2488161
"VIETNAM",1993,400585,5193027
"INDIA",1995,607613,879259
"CHINA",1993,739751,2829789
"INDONESIA",1994,382828,2633309
"JAPAN",1995,703733,151951
"VIETNAM",1997,738661,171145
"VIETNAM",1994,16285,4666368
"INDIA",1996,87187,4876272
"VIETNAM",1995,274192,5206030
"INDIA",1997,749312,3761290
"INDONESIA",1997,749312,6075348
"INDONESIA",1995,729895,1555754
"CHINA",1995,729895,1146163
"VIETNAM",1995,784991,2172998
"INDONESIA",1995,784991,7192801
"JAPAN",1997,475264,3029855
"INDONESIA",1992,269239,8917265
"INDIA",1994,783073,7100111
"VIETNAM",1993,690275,305738
"JAPAN",1993,690275,3999009
"CHINA",1995,441115,1299024
"JAPAN",1995,441115,6308938
"CHINA",1992,492844,2136639
"JAPAN",1993,806497,3026500
"JAPAN",1995,792412,8209317
"INDONESIA",1994,757499,3357313
"JAPAN",1994,22069,610493
"CHINA",1997,117997,1927351
"JAPAN",1996,460234,6343258
"INDONESIA",1996,524455,2404254
"JAPAN",1996,524455,2006347
"INDIA",1997,801040,5213223
"JAPAN",1997,801040,4712298
"VIETNAM",1997,801040,4900680
"VIETNAM",1995,848249,5208049
"CHINA",1992,512567,2920291
"CHINA",1994,259813,859170
"INDIA",1995,651266,2675164
"INDIA",1995,651266,1721145
"JAPAN",1995,651266,368962
"CHINA",1994,14192,4867049
"JAPAN",1995,19352,2943841
"INDIA",1997,400000,5599325
"CHINA",1993,431479,3177440
"VIETNAM",1994,217552,4206600
"JAPAN",1994,217552,4403782
"INDONESIA",1995,574907,5026415
"INDONESIA",1996,746204,5817201
"INDIA",1993,329165,967060
"INDIA",1993,329165,7376571
"JAPAN",1993,329165,4596604
"CHINA",1996,796705,3047547
"INDIA",1997,54154,174145
"JAPAN",1996,229240,2333297
"JAPAN",1996,229240,4532828
"VIETNAM",1997,641222,5081699
"INDONESIA",1997,641222,5421265
"INDONESIA",1997,641222,6329095
"VIETNAM",1992,402970,4849796
"VIETNAM",1994,191951,1924272
"VIETNAM",1994,191951,2360042
"INDIA",1997,510743,4946867
"VIETNAM",1992,538258,7890462
"INDONESIA",1997,593992,2661503
"JAPAN",1996,154705,5115615
"INDONESIA",1995,896074,337045
"JAPAN",1997,158096,2503295
"INDONESIA",1997,158096,4137413
"INDIA",1997,311636,3362512
"CHINA",1997,311636,5795039
"VIETNAM",1995,549736,6299731
"INDIA",1996,11002,1715806
"CHINA",1996,11002,2451386
"JAPAN",1997,383056,5569922
"INDIA",1992,307552,2627497
"VIETNAM",1996,301993,1100100
"INDIA",1993,884092,6636019
"JAPAN",1993,884092,4587268
"JAPAN",1992,755005,4075380
"VIETNAM",1995,682171,7078873
"CHINA",1992,146704,1580380
"CHINA",1995,534802,888863
"INDIA",1997,103373,944799
"JAPAN",1997,380216,2299276
"VIETNAM",1996,289900,3617486
"JAPAN",1996,289900,3143125
"JAPAN",1996,624940,6135027
"INDONESIA",1996,338839,4704742
"JAPAN",1995,540673,2140617
"INDIA",1997,27631,3805095
"INDONESIA",1992,666752,8671739
"JAPAN",1993,185666,1941208
"JAPAN",1996,187420,6550915
"INDONESIA",1996,212242,5938357
"JAPAN",1995,287320,2291873
"INDIA",1993,833068,833310
"INDONESIA",1993,833068,5146364
"INDIA",1997,603847,2215948
"INDONESIA",1992,430832,205115
"INDIA",1996,283867,174899
"INDONESIA",1993,71086,4494551
"JAPAN",1992,434980,2264732
"INDONESIA",1992,434980,6641489
"JAPAN",1996,250039,1682625
"JAPAN",1997,313792,4377065
"JAPAN",1996,774229,5224315
"INDIA",1995,257410,564421
"JAPAN",1996,868852,5428222
"INDONESIA",1997,290591,3232445
"INDONESIA",1995,366787,3701105
"INDONESIA",1996,485317,4023443
"INDIA",1996,485317,7788289
"JAPAN",1997,894364,2067788
"CHINA",1997,894364,2966000
"INDONESIA",1997,659230,3420775
"VIETNAM",1996,664364,7632142
"JAPAN",1994,21406,5847689
"JAPAN",1992,695251,3510025
"INDONESIA",1992,695251,4843312
"JAPAN",1996,358480,3514160
"JAPAN",1997,348020,2868368
"VIETNAM",1995,71554,1006633
"VIETNAM",1997,187840,4532427
"INDIA",1994,713194,345412
"VIETNAM",1997,733174,2368129
"VIETNAM",1994,527060,1079915
"CHINA",1994,527060,5788125
"CHINA",1995,457163,4038086
"VIETNAM",1995,457163,3618690
"INDONESIA",1992,159391,4186022
"INDIA",1992,159391,7809721
"INDIA",1992,248995,2444338
"INDIA",1992,248995,5578556
"VIETNAM",1994,506530,5084866
"VIETNAM",1994,506530,2113296
"INDONESIA",1994,506530,2484702
"INDONESIA",1996,147553,2566368
"JAPAN",1992,884197,4452594
"VIETNAM",1993,767753,7681712
"INDIA",1993,767753,2064240
"CHINA",1993,767753,6441234
"INDIA",1996,786715,2237388
"INDONESIA",1997,737534,2941869
"VIETNAM",1992,17611,278092
"VIETNAM",1992,40129,6320811
"JAPAN",1995,328757,3430855
"CHINA",1997,182305,5235804
"CHINA",1995,367096,4384147
"INDONESIA",1997,420275,5653614
"VIETNAM",1997,420275,1339580
"INDONESIA",1997,420275,7601573
"CHINA",1995,341356,110001
"CHINA",1993,557677,6659811
"INDIA",1993,271183,411106
"JAPAN",1995,619655,583881
"VIETNAM",1994,638731,599049
"INDONESIA",1994,638731,8340816
"JAPAN",1994,638731,1865667
"VIETNAM",1993,444913,3820242
"INDONESIA",1993,444913,2897240
"INDONESIA",1995,422090,4272790
"JAPAN",1993,401722,4011999
"VIETNAM",1997,17983,4716902
"CHINA",1997,17983,328966
"CHINA",1992,775777,5063376
"CHINA",1993,177310,2170339
"INDIA",1997,147001,5372861
"VIETNAM",1996,124568,1984256
"CHINA",1992,198814,5235030
"INDONESIA",1994,845842,5145217
"JAPAN",1994,563548,445375
"VIETNAM",1994,563548,3060018
"JAPAN",1993,150916,4302415
"INDONESIA",1993,150916,1788300
"JAPAN",1993,150916,6138099
"INDONESIA",1992,221404,6471432
"INDONESIA",1993,504532,3313229
"VIETNAM",1993,504532,230814
"VIETNAM",1993,504532,2021518
"INDIA",1997,692047,5615454
"INDONESIA",1997,692047,5869568
"INDIA",1997,714044,2068307
"INDONESIA",1993,323950,6405888
"INDIA",1995,203956,5065770
"INDIA",1995,203956,6703752
"INDIA",1995,721330,2188094
"INDIA",1994,371396,3826962
"VIETNAM",1994,371396,8386117
"JAPAN",1994,693799,2276877
"VIETNAM",1995,263260,3015859
"INDONESIA",1995,408263,5477664
"JAPAN",1995,408263,441672
"INDIA",1995,736181,5791046
"INDIA",1993,865294,2197690
"VIETNAM",1995,455890,4213305
"CHINA",1995,455890,1800057
"INDIA",1993,58675,3521623
"INDIA",1995,684475,4286955
"VIETNAM",1995,684475,6987527
"CHINA",1992,352411,1771602
"JAPAN",1997,352621,4182425
"INDONESIA",1997,352621,3169184
"CHINA",1997,352621,751616
"JAPAN",1996,97460,573246
"JAPAN",1995,899429,2041237
"JAPAN",1995,605083,4757167
"INDIA",1995,605083,4574444
"INDIA",1994,371401,9209300
"INDIA",1993,626350,2756368
"INDIA",1994,230347,1518682
"INDONESIA",1994,230347,3463797
"JAPAN",1996,670586,2373846
"VIETNAM",1995,504028,1984830
"VIETNAM",1994,484072,175668
"INDONESIA",1994,278861,6096290
"INDONESIA",1994,278861,3772853
"JAPAN",1996,725431,2187060
"INDIA",1994,501310,3403786
"INDIA",1995,681487,991771
"INDIA",1995,323981,1606680
"VIETNAM",1995,421831,3288384
"INDIA",1992,799723,3229391
"INDONESIA",1992,316012,284250
"CHINA",1992,316012,7294406
"CHINA",1992,316012,5569433
"CHINA",1995,730810,487699
"JAPAN",1994,408116,3543700
"INDIA",1995,877558,2652195
"INDIA",1993,816805,1109952
"JAPAN",1993,816805,124314
"INDONESIA",1993,816805,6382632
"INDONESIA",1993,816805,5337731
"VIETNAM",1996,131947,1111228
"INDONESIA",1995,30431,2171788
"INDONESIA",1995,30431,3175706
"CHINA",1995,30431,4646460
"INDIA",1995,30431,514995
"CHINA",1997,642274,2761544
"INDIA",1997,642274,406456
"INDONESIA",1995,84752,7111841
"VIETNAM",1996,613193,4156539
"VIETNAM",1996,613193,1069658
"CHINA",1996,26392,4441310
"VIETNAM",1995,757328,1813724
"INDIA",1995,609584,5648393
"INDIA",1995,609584,4690788
"INDONESIA",1995,609584,6101997
"VIETNAM",1997,570622,6499144
"INDIA",1997,35572,3391950
"VIETNAM",1997,35572,3970875
"CHINA",1992,229175,5026890
"CHINA",1994,600800,5485326
"JAPAN",1995,544375,689393
"CHINA",1994,417308,6027437
"VIETNAM",1995,893719,2859300
"VIETNAM",1994,277843,4744468
"INDONESIA",1995,482255,2270978
"INDONESIA",1993,119000,3490086
"INDONESIA",1994,242029,1568352
"INDONESIA",1994,647795,582604
"VIETNAM",1995,177529,595521
"INDONESIA",1992,420931,137935
"INDIA",1997,823093,6524916
"JAPAN",1993,399980,5681097
"INDONESIA",1993,399980,2908253
"INDONESIA",1996,349213,2650221
"CHINA",1994,305338,4295664
"INDONESIA",1994,887173,5809100
"JAPAN",1994,887173,7571761
"INDIA",1994,887173,4852825
"VIETNAM",1995,64622,4518734
"JAPAN",1993,100867,3735508
"VIETNAM",1993,100867,4835032
"JAPAN",1992,552007,2341906
"INDONESIA",1994,38335,111221
"INDONESIA",1997,782963,8413332
"JAPAN",1994,352933,6063679
"INDONESIA",1996,733063,5098480
"CHINA",1993,48725,3093444
"VIETNAM",1992,812113,5388741
"INDIA",1992,812113,1127284
"CHINA",1996,412093,1020514
"INDIA",1995,154228,576080
"INDIA",1996,101198,2929293
"JAPAN",1996,101198,6776361
"INDONESIA",1997,726739,1212890
"INDIA",1995,802016,2916537
"INDIA",1995,293005,3378429
"CHINA",1997,615637,7160623
"VIETNAM",1992,578792,2221832
"INDIA",1995,116959,4343502
"JAPAN",1996,845839,8537372
"INDIA",1994,821380,2179495
"VIETNAM",1994,821380,5718529
"INDIA",1997,712114,5639304
"CHINA",1997,712114,3490918
"INDIA",1994,290506,6938496
"JAPAN",1994,290506,1944375
"INDIA",1996,510811,5590738
"INDIA",1995,284767,5048901
"CHINA",1995,618040,4640025
"JAPAN",1994,476584,5900286
"INDIA",1995,58421,1506275
"INDONESIA",1993,410914,4154760
"INDONESIA",1993,410914,3696125
"VIETNAM",1993,410914,4404444
"INDONESIA",1994,528106,1786358
"VIETNAM",1992,72353,2060109
"INDIA",1992,72353,3835312
"VIETNAM",1996,823010,4633108
"CHINA",1994,317905,5259840
"CHINA",1992,557200,3351378
"INDONESIA",1992,557200,3866016
"CHINA",1994,574225,3419721
"CHINA",1994,757093,461571
"CHINA",1994,757093,5702560
"JAPAN",1994,249541,7682711
"INDIA",1997,55196,1506275
"INDIA",1996,670741,5311117
"INDONESIA",1995,640801,6134415
"CHINA",1995,530950,4113949
"INDIA",1995,152441,6243387
"JAPAN",1995,152441,4047024
"JAPAN",1995,689002,7198910
"VIETNAM",1994,638410,4859597
"VIETNAM",1993,45604,1744913
"INDONESIA",1994,891196,8018469
"CHINA",1996,802396,704580
"INDONESIA",1996,802396,2828334
"INDIA",1995,305410,3078344
"JAPAN",1995,305410,658276
"VIETNAM",1995,305410,5188941
"INDIA",1996,199177,532734
"INDONESIA",1996,199177,8458700
"JAPAN",1993,737320,351277
"JAPAN",1997,35252,4552359
"JAPAN",1997,35252,3063600
"INDONESIA",1997,35252,155632
"INDIA",1995,268135,3797000
"CHINA",1995,370792,4178956
"JAPAN",1995,370792,1194811
"INDONESIA",1994,432190,8681918
"INDONESIA",1994,432190,2465667
"INDONESIA",1996,787759,6033574
"INDIA",1996,787759,7523203
"VIETNAM",1996,787759,6989650
"INDONESIA",1994,588127,5023492
"VIETNAM",1996,842458,3450898
"JAPAN",1996,842458,3825697
"INDONESIA",1996,842458,4249453
"INDONESIA",1994,389917,1841349
"INDONESIA",1995,80569,7977760
"INDIA",1994,37358,9037395
"INDONESIA",1997,665171,4672435
"CHINA",1997,665171,3237429
"VIETNAM",1994,283421,3075042
"INDIA",1994,646348,2888050
"INDONESIA",1993,157261,3190073
"INDONESIA",1993,157261,4220161
"VIETNAM",1993,157261,2719402
"CHINA",1996,899695,2230488
"JAPAN",1993,264958,2619792
"INDIA",1993,264958,8887571
"JAPAN",1993,834368,2733073
"JAPAN",1995,307078,5026730
"INDONESIA",1995,307078,5145777
"INDIA",1995,307078,3171258
"CHINA",1995,307078,166118
"JAPAN",1992,454388,2609858
"JAPAN",1992,454388,1124864
"VIETNAM",1997,387253,6001275
"INDONESIA",1996,645395,7526860
"INDONESIA",1996,353479,7115080
"INDIA",1995,6764,2081498
"INDIA",1992,266695,3161560
"INDONESIA",1992,266695,4141551
"CHINA",1992,266695,7318030
"INDIA",1993,466369,629775
"JAPAN",1992,122641,4567631
"INDONESIA",1995,214592,1546337
"JAPAN",1992,338359,184332
"INDONESIA",1992,338359,830645
"CHINA",1996,760675,6736366
"CHINA",1996,154837,5699236
"CHINA",1996,807226,3583700
"INDONESIA",1992,432806,3327316
"VIETNAM",1995,836341,1722956
"INDIA",1995,836341,3176658
"CHINA",1995,159475,4451990
"INDONESIA",1997,88663,4652254
"INDONESIA",1997,88663,7747275
"VIETNAM",1996,856879,1443739
"CHINA",1992,873454,1058816
"INDIA",1992,873454,467586
"VIETNAM",1992,873454,1108661
"CHINA",1996,851981,3798216
"CHINA",1993,876670,2943662
"INDONESIA",1992,287600,3901536
"INDONESIA",1992,287600,2897507
"INDONESIA",1992,287600,1184420
"INDONESIA",1992,145711,1673550
"VIETNAM",1996,609794,8020415
"VIETNAM",1996,609794,4687142
"VIETNAM",1996,609794,3385567
"VIETNAM",1993,872134,1109381
"INDIA",1993,872134,5105711
"JAPAN",1993,872134,5469694
"VIETNAM",1997,510293,8588814
"INDONESIA",1997,510293,545217
"JAPAN",1995,828908,3952172
"VIETNAM",1995,828908,4600673
"INDIA",1996,185135,2873878
"JAPAN",1996,185135,2696542
"INDIA",1995,583322,1672598
"JAPAN",1993,186814,133632
"JAPAN",1993,186814,1066381
"INDONESIA",1993,479620,1849236
"JAPAN",1994,569500,6764091
"CHINA",1994,569500,3404065
"INDIA",1994,56882,2959370
"INDONESIA",1997,205148,6558216
"INDONESIA",1996,484942,1801319
"VIETNAM",1997,895238,4542240
"INDIA",1993,60295,1939085
"INDIA",1993,869227,2325023
"INDIA",1993,869227,1802730
"INDONESIA",1993,280222,6064567
"JAPAN",1993,280222,9039471
"INDONESIA",1993,280222,4073007
"INDIA",1992,874009,3041104
"INDIA",1994,561548,6226596
"CHINA",1994,561548,2018801
"VIETNAM",1994,153641,9026865
"INDONESIA",1994,682006,2115067
"INDONESIA",1994,682006,3669364
"INDIA",1994,682006,2864736
"CHINA",1993,72734,4402807
"CHINA",1993,225865,4542508
"CHINA",1994,871792,2787142
"CHINA",1994,871792,454352
"INDIA",1994,196816,4977719
"INDIA",1994,196816,5274564
"CHINA",1994,196816,4738324
"VIETNAM",1994,377177,7778564
"JAPAN",1994,377177,4729732
"CHINA",1995,305756,7503474
"VIETNAM",1992,729751,3374903
"INDONESIA",1992,729751,2855204
"INDIA",1992,542452,3275266
"INDONESIA",1992,542452,1307532
"INDIA",1997,576370,4301062
"INDIA",1997,576370,3251315
"INDIA",1993,517768,1295168
"INDONESIA",1993,517768,2732726
"CHINA",1996,2068,3131192
"INDONESIA",1992,541034,4255416
"INDONESIA",1996,692716,6959827
"VIETNAM",1993,696115,4752929
"JAPAN",1993,696115,6252414
"JAPAN",1993,696115,1483178
"VIETNAM",1997,475358,2889600
"CHINA",1997,475358,6219759
"VIETNAM",1994,29423,4462344
"INDONESIA",1994,402080,5287950
"VIETNAM",1994,402080,5001077
"CHINA",1997,721267,2791533
"CHINA",1994,227156,2267951
"CHINA",1994,227156,3140424
"CHINA",1993,856622,4859250
"INDIA",1993,856622,3113482
"JAPAN",1993,509263,5268909
"INDONESIA",1995,171856,4333509
"JAPAN",1996,649678,6204108
"INDONESIA",1995,365860,2976155
"INDONESIA",1995,365860,996843
"INDIA",1992,198523,3066542
"INDIA",1996,255481,5534396
"JAPAN",1993,845284,3685605
"INDONESIA",1993,845284,1006271
"INDIA",1993,845284,2702774
"CHINA",1995,225710,4475512
"INDONESIA",1997,892004,364491
"INDIA",1994,93335,931896
"VIETNAM",1994,93335,3511899
"VIETNAM",1995,782195,2583332
"VIETNAM",1995,782195,588050
"VIETNAM",1996,64717,1938611
"INDIA",1996,64717,2197496
"INDONESIA",1994,366526,5386941
"CHINA",1995,580490,3604276
"INDIA",1993,829639,3673554
"CHINA",1995,447796,2571797
"CHINA",1995,447796,407207
"CHINA",1995,447796,2635321
"INDIA",1994,283792,2366238
"CHINA",1994,283792,4597952
"CHINA",1994,283792,965721
"JAPAN",1997,592054,2302723
"INDIA",1995,14450,632194
"VIETNAM",1996,748127,1613865
"INDONESIA",1996,252676,590713
"JAPAN",1996,518806,3682710
"VIETNAM",1993,323896,2559870
"INDONESIA",1995,870779,1686496
"INDONESIA",1995,870779,1629229
"INDIA",1995,870779,4536571
"CHINA",1997,23908,1435949
"INDIA",1995,325481,4795718
"VIETNAM",1993,146689,8442769
"INDONESIA",1996,294709,7991564
"INDIA",1996,294709,2082930
"CHINA",1994,773506,5860350
"INDIA",1992,711290,3934340
"JAPAN",1995,840295,4276342
"JAPAN",1995,840295,2685838
"INDIA",1992,879520,1845226
"JAPAN",1992,341854,4782822
"INDIA",1994,477025,228318
"JAPAN",1994,477025,5070422
"INDIA",1994,477025,4590609
"JAPAN",1994,612592,5871185
"INDONESIA",1994,612592,106642
"JAPAN",1992,700597,2395673
"VIETNAM",1993,222494,1049722
"INDONESIA",1995,82555,1912393
"INDIA",1992,61004,621211
"INDONESIA",1994,182080,1393724
"INDONESIA",1994,182080,5597501
"INDONESIA",1993,750292,4380638
"INDIA",1997,246397,5841872
"INDONESIA",1995,258734,7324837
"INDONESIA",1993,274570,5549531
"INDONESIA",1993,274570,728384
"JAPAN",1996,141142,1033143
"INDIA",1996,141142,2106515
"INDONESIA",1995,46010,7183395
"JAPAN",1993,178637,1866784
"VIETNAM",1995,843137,5345676
"VIETNAM",1995,843137,782460
"INDONESIA",1993,647581,4514291
"JAPAN",1993,647581,174069
"VIETNAM",1993,172033,4226740
"INDONESIA",1993,172033,933883
"CHINA",1997,544354,2920855
"VIETNAM",1992,899669,4147482
"INDONESIA",1992,899669,217664
"INDIA",1995,726802,2121317
"VIETNAM",1995,726802,2276547
"VIETNAM",1995,726802,6344546
"INDIA",1995,156077,3676025
"JAPAN",1995,156077,3710394
"INDONESIA",1995,156077,7361768
"INDIA",1992,579850,5707522
"CHINA",1993,324829,2361127
"JAPAN",1997,884162,407644
"INDONESIA",1997,884162,7003272
"INDONESIA",1997,205022,8753718
"JAPAN",1997,205022,3042552
"JAPAN",1995,856015,2634122
"CHINA",1995,856015,276938
"INDONESIA",1994,591685,5663327
"VIETNAM",1996,337886,8383807
"INDIA",1996,337886,4418955
"VIETNAM",1994,733622,1553211
"VIETNAM",1994,495085,2520671
"INDONESIA",1994,180310,651625
"CHINA",1994,180310,7917037
"INDONESIA",1992,57202,1683195
"VIETNAM",1993,723076,3298503
"INDIA",1994,594790,8327614
"INDIA",1993,331505,1748587
"CHINA",1993,331505,7419799
"VIETNAM",1996,602941,2497491
"JAPAN",1996,602941,890163
"JAPAN",1996,602941,2473600
"INDIA",1996,672974,2617746
"VIETNAM",1996,672974,4088736
"VIETNAM",1993,362362,2330706
"INDIA",1997,586087,5685940
"CHINA",1996,824962,721640
"INDIA",1992,853265,1064946
"INDONESIA",1994,214576,4383030
"INDONESIA",1994,214576,576571
"INDIA",1997,68698,8210685
"JAPAN",1996,782902,1026634
"INDONESIA",1996,782902,2765141
"CHINA",1996,225935,2014537
"INDONESIA",1992,440059,1080286
"INDONESIA",1992,727420,2555369
"INDIA",1996,128752,1797939
"VIETNAM",1995,307972,5483678
"JAPAN",1994,12457,1192884
"INDIA",1995,474124,3819896
"INDIA",1995,474124,3493988
"JAPAN",1994,109190,4061977
"INDONESIA",1994,109190,6064419
"VIETNAM",1997,47714,7293240
"CHINA",1997,47714,6307770
"JAPAN",1997,47714,1181371
"CHINA",1997,26264,3012138
"JAPAN",1997,26264,1532594
"CHINA",1996,412936,114582
"JAPAN",1992,281785,339881
"CHINA",1995,537193,3004080
"VIETNAM",1995,537193,6272037
"VIETNAM",1992,800054,1769344
"INDIA",1997,502592,3146369
"JAPAN",1997,502592,3971019
"INDONESIA",1997,502592,2197063
"JAPAN",1993,643765,2223141
"JAPAN",1993,643765,5985630
"JAPAN",1995,847190,7725468
"INDIA",1996,614455,7127879
"INDONESIA",1994,569986,4594644
"INDIA",1994,569986,538481
"CHINA",1995,608722,1075953
"INDIA",1993,476755,8416896
"CHINA",1993,476755,4249298
"JAPAN",1993,476755,2705412
"INDONESIA",1994,404977,5012636
"INDONESIA",1994,404977,3176387
"JAPAN",1993,849628,5010599
"INDIA",1997,657829,8588851
"INDIA",1993,507686,6949698
"VIETNAM",1993,507686,908343
"CHINA",1993,507686,2001040
"JAPAN",1993,416401,5650239
"INDIA",1993,808120,4072002
"VIETNAM",1995,152114,2307866
"INDIA",1992,568562,4525056
"VIETNAM",1995,512879,1886905
"INDONESIA",1997,653560,803932
"INDIA",1997,356041,1344226
"INDONESIA",1997,356041,3682237
"INDIA",1994,768382,2219881
"VIETNAM",1993,82672,1258652
"JAPAN",1996,744823,4855303
"INDIA",1997,819019,2002275
"JAPAN",1996,622339,7827099
"INDIA",1997,718180,2828512
"JAPAN",1996,543250,5365377
"VIETNAM",1992,812113,7401635
"INDIA",1992,681172,566067
"JAPAN",1994,775903,3644044
"INDONESIA",1995,542740,4746287
"VIETNAM",1994,302204,3053160
"VIETNAM",1995,474853,128902
"INDIA",1993,47585,8771832
"CHINA",1993,552568,1047376
