"s_city","d_year","lo_custkey","lo_revenue"
"UNITED ST6",1992,820702,1042583
"UNITED ST4",1992,141988,3365419
"UNITED ST5",1992,437236,106034
"UNITED ST8",1994,838534,2366724
"UNITED ST6",1992,207830,2571393
"UNITED ST9",1992,552613,3825318
"UNITED ST9",1995,794512,4704501
"UNITED ST1",1992,676304,3162037
"UNITED ST4",1996,325364,4601190
"UNITED ST1",1997,850372,1500038
"UNITED ST6",1992,321970,1814750
"UNITED ST7",1995,230290,7117248
"UNITED ST6",1994,160546,3475766
"UNITED ST5",1993,548131,2502768
"UNITED ST1",1993,792577,10068406
"UNITED ST1",1995,174226,7075933
"UNITED ST0",1993,435055,2060171
"UNITED ST3",1995,177604,1952074
"UNITED ST6",1995,208337,3332669
"UNITED ST2",1993,514472,6737089
"UNITED ST2",1993,473681,1200014
"UNITED ST0",1993,473681,7095791
"UNITED ST8",1995,5953,749253
"UNITED ST5",1996,737878,6669858
"UNITED ST9",1992,613267,7522274
"UNITED ST8",1992,613267,982648
"UNITED ST1",1994,810959,5848365
"UNITED ST2",1993,771344,952271
"UNITED ST5",1995,449494,1550060
"UNITED ST8",1992,39049,4105700
"UNITED ST8",1997,173953,5907087
"UNITED ST7",1995,493096,3280611
"UNITED ST7",1993,264664,3283481
"UNITED ST5",1995,663280,4616199
"UNITED ST3",1992,139261,1024264
"UNITED ST6",1992,139261,5279552
"UNITED ST4",1994,715612,5441509
"UNITED ST9",1996,284698,3154024
"UNITED ST1",1996,284698,2547129
"UNITED ST2",1993,280396,7207568
"UNITED ST6",1993,623437,3279319
"UNITED ST0",1996,9289,2556140
"UNITED ST6",1995,402619,5508651
"UNITED ST8",1995,514405,5993733
"UNITED ST4",1994,270329,2573100
"UNITED ST6",1993,331064,4855915
"UNITED ST6",1996,3860,5743933
"UNITED ST1",1996,58646,7501974
"UNITED ST2",1994,489452,2943970
"UNITED ST7",1993,215762,2570048
"UNITED ST3",1997,793201,1777020
"UNITED ST9",1993,670702,6431525
"UNITED ST9",1994,878612,286202
"UNITED ST6",1994,663935,6483085
"UNITED ST2",1994,203197,6083367
"UNITED ST8",1997,868207,484142
"UNITED ST5",1994,221683,6549610
"UNITED ST3",1993,268024,5246377
"UNITED ST8",1995,473038,482661
"UNITED ST8",1994,350141,7391209
"UNITED ST8",1994,604951,3458498
"UNITED ST8",1994,426574,5230827
"UNITED ST0",1993,625586,630752
"UNITED ST7",1995,421235,383433
"UNITED ST4",1994,763423,2887069
"UNITED ST3",1994,520093,5416056
"UNITED ST4",1995,8350,1621660
"UNITED ST1",1992,390709,3157824
"UNITED ST1",1996,189559,4917680
"UNITED ST5",1993,666271,5438939
"UNITED ST1",1997,183604,529219
"UNITED ST9",1993,860032,3581904
"UNITED ST4",1997,547585,5056380
"UNITED ST4",1997,236008,1255617
"UNITED ST1",1996,861007,503063
"UNITED ST3",1996,861007,2201888
"UNITED ST6",1994,864722,1404192
"UNITED ST5",1994,864722,2271141
"UNITED ST4",1993,573637,953485
"UNITED ST5",1995,184771,4033302
"UNITED ST6",1994,132847,2136096
"UNITED ST2",1994,132847,5769320
"UNITED ST6",1992,284800,176979
"UNITED ST4",1992,284800,4697599
"UNITED ST7",1995,423242,2550639
"UNITED ST0",1996,303145,3351005
"UNITED ST6",1995,742463,3377290
"UNITED ST5",1995,742463,3689930
"UNITED ST3",1996,673636,4638109
"UNITED ST4",1996,36251,5263570
"UNITED ST4",1997,335339,5024455
"UNITED ST8",1996,871105,531562
"UNITED ST7",1993,329431,5066382
"UNITED ST5",1994,254477,896693
"UNITED ST6",1995,293963,1658724
"UNITED ST0",1993,535633,2379527
"UNITED ST3",1995,807653,7250834
"UNITED ST9",1997,408919,2113057
"UNITED ST0",1995,489886,2611429
"UNITED ST2",1994,606242,1873207
"UNITED ST5",1996,206662,4993421
"UNITED ST7",1992,312061,4175300
"UNITED ST5",1996,759565,3238162
"UNITED ST4",1993,28834,2764209
"UNITED ST1",1996,686785,8161982
"UNITED ST8",1995,293681,963504
"UNITED ST9",1993,672983,593121
"UNITED ST6",1994,247897,5857929
"UNITED ST3",1996,816322,5156800
"UNITED ST0",1993,23467,3166689
"UNITED ST2",1994,91273,4597910
"UNITED ST7",1997,790531,9008615
"UNITED ST3",1993,98740,1492071
"UNITED ST4",1993,437935,8054692
"UNITED ST8",1993,437935,4777396
"UNITED ST5",1997,831392,2185029
"UNITED ST3",1997,695347,1030799
"UNITED ST3",1996,170951,4223972
"UNITED ST9",1992,725987,6748196
"UNITED ST2",1997,1979,5447778
"UNITED ST3",1996,776542,623220
"UNITED ST7",1992,74374,5055822
"UNITED ST2",1996,820609,1736775
"UNITED ST0",1997,367502,645230
"UNITED ST1",1997,91502,8985216
"UNITED ST4",1993,170351,1694205
"UNITED ST7",1996,739969,518936
"UNITED ST4",1997,787693,7505845
"UNITED ST6",1994,437968,5373030
"UNITED ST2",1995,880360,722746
"UNITED ST6",1993,693086,2835270
"UNITED ST6",1997,822616,5880362
"UNITED ST6",1997,788659,2551309
"UNITED ST5",1997,788659,1326531
"UNITED ST8",1995,238987,3978636
"UNITED ST4",1997,78913,7643222
"UNITED ST3",1993,31816,310141
"UNITED ST8",1997,468178,3333715
"UNITED ST0",1992,836126,2152054
"UNITED ST3",1996,771365,835279
"UNITED ST2",1993,819730,5711475
"UNITED ST2",1992,702902,461504
"UNITED ST6",1992,702902,4376310
"UNITED ST0",1995,259309,5422609
"UNITED ST1",1994,404198,7739599
"UNITED ST8",1995,521510,1474336
"UNITED ST3",1994,814198,4503192
"UNITED ST5",1994,814198,5441310
"UNITED ST0",1994,622804,2014564
"UNITED ST8",1994,453607,5659892
"UNITED ST6",1993,557236,3966440
"UNITED ST4",1995,619816,6186407
"UNITED ST0",1994,390223,7775295
"UNITED ST3",1994,517264,5573357
"UNITED ST7",1994,628564,5537522
"UNITED ST3",1995,644369,2614857
"UNITED ST0",1995,255980,2574278
"UNITED ST3",1993,171526,6277309
"UNITED ST1",1994,189452,5087934
"UNITED ST0",1994,818512,6722645
"UNITED ST1",1996,215474,947298
"UNITED ST0",1996,158285,3107970
"UNITED ST8",1996,269530,7809191
"UNITED ST8",1995,827755,3537412
"UNITED ST4",1995,446896,5715230
"UNITED ST8",1994,451807,5216531
"UNITED ST8",1995,781672,3327914
"UNITED ST1",1995,781672,1007085
"UNITED ST5",1992,200197,6151879
"UNITED ST0",1997,567103,451145
"UNITED ST1",1995,533183,5438632
"UNITED ST8",1996,391649,1030380
"UNITED ST7",1994,326626,3511347
"UNITED ST9",1992,726355,4443537
"UNITED ST7",1995,91888,119434
"UNITED ST4",1997,235966,5209798
"UNITED ST4",1997,823186,3484166
"UNITED ST2",1996,774586,1613387
"UNITED ST3",1993,353494,4766764
"UNITED ST4",1997,447190,1430128
"UNITED ST8",1992,791401,4614180
"UNITED ST8",1995,692854,5927328
"UNITED ST8",1993,484976,4247921
"UNITED ST2",1997,265837,5487804
"UNITED ST0",1995,321529,5923071
"UNITED ST5",1996,467557,1644624
"UNITED ST8",1996,467557,820670
"UNITED ST3",1997,319573,3063015
"UNITED ST1",1993,781771,4481228
"UNITED ST2",1997,120875,3627130
"UNITED ST4",1995,646384,7940842
"UNITED ST8",1995,806227,3786474
"UNITED ST1",1993,778756,2074504
"UNITED ST9",1997,428248,161560
"UNITED ST9",1994,8096,3456951
"UNITED ST6",1994,332828,7024406
"UNITED ST6",1997,287812,3985329
"UNITED ST5",1993,680629,3714804
"UNITED ST4",1996,330713,1143736
"UNITED ST5",1996,818440,3846144
"UNITED ST9",1993,501688,8644343
"UNITED ST0",1993,7555,7275424
"UNITED ST8",1993,7555,7907803
"UNITED ST5",1995,216061,5254697
"UNITED ST5",1992,198731,3848149
"UNITED ST5",1997,244903,934403
"UNITED ST8",1997,396260,4585911
"UNITED ST4",1992,142646,6706700
"UNITED ST3",1992,354218,2008540
"UNITED ST4",1993,111547,6690750
"UNITED ST3",1996,39625,2405823
"UNITED ST5",1992,484891,1910446
"UNITED ST9",1994,200842,5311376
"UNITED ST0",1996,286486,1969690
"UNITED ST4",1996,286486,3798821
"UNITED ST3",1993,115454,1726965
"UNITED ST7",1993,236450,2965697
"UNITED ST6",1994,139259,1732297
"UNITED ST2",1997,291947,4848208
"UNITED ST3",1994,362164,5185136
"UNITED ST4",1992,163429,2567539
"UNITED ST8",1994,176444,5779512
"UNITED ST5",1995,885076,2224756
"UNITED ST0",1994,308740,3597639
"UNITED ST2",1992,471559,5243328
"UNITED ST8",1992,471559,6474040
"UNITED ST6",1997,591289,826680
"UNITED ST1",1993,514084,1106762
"UNITED ST6",1992,183589,6696573
"UNITED ST9",1992,183589,358851
"UNITED ST7",1995,86855,2086454
"UNITED ST1",1994,521576,5301878
"UNITED ST0",1993,746089,4985713
"UNITED ST1",1994,743845,3343657
"UNITED ST1",1995,127999,3267580
"UNITED ST0",1993,809461,2768286
"UNITED ST1",1997,198292,5778380
"UNITED ST0",1996,453220,7141670
"UNITED ST5",1992,68803,6238801
"UNITED ST1",1997,753527,3585672
"UNITED ST7",1993,624665,4369875
"UNITED ST2",1993,814921,3664728
"UNITED ST5",1995,790430,1571902
"UNITED ST5",1997,296671,2906187
"UNITED ST0",1992,868480,5370008
"UNITED ST3",1996,397174,3482899
"UNITED ST0",1996,397174,4752554
"UNITED ST5",1993,375166,2793881
"UNITED ST5",1995,762346,1916751
"UNITED ST9",1997,208784,8990520
"UNITED ST9",1994,88219,4107296
"UNITED ST2",1996,352772,3687177
"UNITED ST9",1995,18646,381709
"UNITED ST3",1997,354574,2846916
"UNITED ST8",1992,313858,5588608
"UNITED ST6",1992,313858,4027321
"UNITED ST0",1992,364618,809381
"UNITED ST5",1997,543079,4243187
"UNITED ST3",1997,543079,7675978
"UNITED ST1",1995,475907,1421986
"UNITED ST4",1996,306052,8936620
"UNITED ST4",1994,142448,3425792
"UNITED ST7",1996,870763,4266211
"UNITED ST7",1995,485293,1954193
"UNITED ST9",1995,511291,3948721
"UNITED ST6",1993,44882,2263805
"UNITED ST3",1993,44882,2076028
"UNITED ST5",1997,91276,1889875
"UNITED ST5",1992,452099,5636422
"UNITED ST6",1992,112648,610567
"UNITED ST0",1993,529387,4248800
"UNITED ST4",1995,301993,4077328
"UNITED ST7",1995,694609,2314293
"UNITED ST9",1995,694609,1917108
"UNITED ST0",1995,288299,3217001
"UNITED ST1",1996,23416,5242950
"UNITED ST2",1997,27922,1042932
"UNITED ST3",1996,524248,5620592
"UNITED ST3",1995,14819,410525
"UNITED ST5",1992,295898,4528231
"UNITED ST5",1992,540011,6388579
"UNITED ST4",1992,766247,294932
"UNITED ST2",1995,208400,1423535
"UNITED ST6",1993,872518,5721722
"UNITED ST5",1993,872518,3803096
"UNITED ST1",1994,567820,733187
"UNITED ST5",1992,112675,1129513
"UNITED ST7",1997,866677,2814275
"UNITED ST0",1994,497056,1477924
"UNITED ST3",1996,848042,3184728
"UNITED ST0",1992,334462,2751170
"UNITED ST9",1995,197350,3923920
"UNITED ST8",1996,834536,6443690
"UNITED ST5",1996,541349,5707729
"UNITED ST7",1993,352621,3094826
"UNITED ST2",1992,778760,595602
"UNITED ST8",1992,778760,1695706
"UNITED ST0",1992,778760,729805
"UNITED ST8",1994,98500,3851176
"UNITED ST7",1992,872935,2533919
"UNITED ST7",1994,546506,123178
"UNITED ST6",1997,246307,5522888
"UNITED ST6",1995,59030,5907694
"UNITED ST0",1994,591310,5823188
"UNITED ST2",1996,86465,5532207
"UNITED ST7",1993,293380,6497240
"UNITED ST8",1996,92269,5926107
"UNITED ST7",1994,96797,5975614
"UNITED ST4",1994,377899,4514400
"UNITED ST9",1997,68948,3436058
"UNITED ST8",1997,852944,4582538
"UNITED ST4",1997,878002,5472517
"UNITED ST7",1997,878002,187095
"UNITED ST1",1996,315613,6096664
"UNITED ST6",1992,442961,6172373
"UNITED ST2",1994,254875,4805307
"UNITED ST7",1992,685232,5959136
"UNITED ST3",1993,545978,1929979
"UNITED ST4",1997,898555,7867342
"UNITED ST6",1997,577708,3602047
"UNITED ST7",1992,498913,479259
"UNITED ST4",1992,311365,4521725
"UNITED ST1",1995,813115,532521
"UNITED ST1",1993,60914,4033073
"UNITED ST4",1993,60914,5499004
"UNITED ST0",1994,90616,2567217
"UNITED ST5",1993,679256,3827014
"UNITED ST9",1993,793525,3716480
"UNITED ST2",1996,587764,1043322
"UNITED ST6",1996,115948,6727920
"UNITED ST0",1996,115948,3767691
"UNITED ST9",1994,552163,2279142
"UNITED ST2",1992,539135,1663649
"UNITED ST8",1995,470332,629428
"UNITED ST1",1997,38749,3456655
"UNITED ST4",1992,538952,6548987
"UNITED ST3",1997,549067,4304430
"UNITED ST3",1993,280574,5961959
"UNITED ST1",1996,103288,1656486
"UNITED ST9",1997,477901,3360831
"UNITED ST7",1994,647041,4322206
"UNITED ST8",1993,206176,3190301
"UNITED ST2",1996,250873,5108909
"UNITED ST0",1994,811481,7395914
"UNITED ST2",1994,811481,1957264
"UNITED ST3",1995,141083,4182480
"UNITED ST3",1995,36809,2443509
"UNITED ST2",1994,8101,1478502
"UNITED ST0",1996,148114,6404025
"UNITED ST0",1993,91805,4226213
"UNITED ST9",1994,689365,3098088
"UNITED ST5",1997,439594,5512286
"UNITED ST0",1992,233542,2902297
"UNITED ST1",1995,212039,1324387
"UNITED ST1",1992,877096,7110716
"UNITED ST9",1992,234079,1647024
"UNITED ST0",1993,745385,4925067
"UNITED ST5",1994,164689,7227698
"UNITED ST9",1996,892621,1348764
"UNITED ST0",1995,253573,1294137
"UNITED ST6",1993,146065,2232795
"UNITED ST8",1993,560075,110561
"UNITED ST3",1997,378559,2678184
"UNITED ST2",1996,650269,2578734
"UNITED ST1",1994,403321,128094
"UNITED ST5",1996,183515,4780375
"UNITED ST6",1996,183515,2767932
"UNITED ST0",1995,598274,5563064
"UNITED ST3",1995,702628,2713635
"UNITED ST4",1995,702628,798562
"UNITED ST3",1996,601921,1541344
"UNITED ST6",1993,396829,4131769
"UNITED ST4",1996,499307,3167370
"UNITED ST7",1994,129524,7408766
"UNITED ST5",1997,3524,5555896
"UNITED ST8",1997,860887,2806648
"UNITED ST0",1997,860887,4976081
"UNITED ST6",1996,827224,218277
"UNITED ST6",1997,245933,3248229
"UNITED ST2",1996,564899,3474550
"UNITED ST7",1996,817571,2051848
"UNITED ST9",1993,134420,3535222
"UNITED ST6",1993,134420,5466407
"UNITED ST2",1993,722941,939721
"UNITED ST5",1993,500074,408475
"UNITED ST5",1993,428992,280972
"UNITED ST1",1997,452680,5825638
"UNITED ST2",1995,323509,1848821
"UNITED ST1",1995,171367,7712304
"UNITED ST1",1993,409475,6646773
"UNITED ST1",1993,639098,1282919
"UNITED ST4",1995,273917,1330244
"UNITED ST7",1995,273917,1963213
"UNITED ST4",1993,603175,7265118
"UNITED ST5",1996,655561,298094
"UNITED ST8",1996,523345,6657649
"UNITED ST6",1995,294991,1326808
"UNITED ST0",1994,687557,5848815
"UNITED ST4",1994,99779,410438
"UNITED ST0",1993,303457,4120746
"UNITED ST8",1995,261016,4115115
"UNITED ST7",1997,25484,6440664
"UNITED ST4",1993,854080,1694226
"UNITED ST7",1997,783688,4582195
"UNITED ST8",1993,559235,7354932
"UNITED ST4",1996,29212,1118667
"UNITED ST4",1994,284513,4047021
"UNITED ST5",1992,842357,4840431
"UNITED ST9",1994,564286,1786909
"UNITED ST1",1995,637331,6352993
"UNITED ST9",1994,892328,921616
"UNITED ST6",1994,416809,1384396
"UNITED ST3",1995,598291,3243532
"UNITED ST5",1996,92633,1288690
"UNITED ST9",1995,766234,1477993
"UNITED ST7",1997,887587,1136521
"UNITED ST7",1996,309952,628778
"UNITED ST5",1996,782689,403395
"UNITED ST2",1995,289420,5878308
"UNITED ST2",1994,186310,3129062
"UNITED ST1",1994,6949,5178054
"UNITED ST4",1997,303727,4027325
"UNITED ST3",1996,823273,546646
"UNITED ST7",1992,721654,3415270
"UNITED ST4",1997,294634,3300059
"UNITED ST4",1993,476839,1797561
"UNITED ST0",1994,469603,911485
"UNITED ST6",1997,802076,2295442
"UNITED ST1",1992,622063,4176121
"UNITED ST9",1995,602612,2043178
"UNITED ST6",1993,44779,8847833
"UNITED ST7",1995,288208,4860191
"UNITED ST8",1995,288208,899825
"UNITED ST0",1995,358240,2973964
"UNITED ST8",1994,778690,1208169
"UNITED ST0",1994,47170,2010476
"UNITED ST0",1993,856412,5548427
"UNITED ST7",1993,867271,4681116
"UNITED ST4",1993,182638,612884
"UNITED ST5",1995,23680,3741318
"UNITED ST6",1994,174470,4324942
"UNITED ST2",1992,458407,5350898
"UNITED ST4",1993,427243,5386485
"UNITED ST1",1994,600566,2357854
"UNITED ST3",1992,781702,5171493
"UNITED ST1",1997,167662,2065672
"UNITED ST5",1997,167662,524289
"UNITED ST3",1992,658186,2272890
"UNITED ST7",1993,410761,5638123
"UNITED ST6",1994,354823,4697997
"UNITED ST6",1993,794215,3577195
"UNITED ST5",1996,464842,4335716
"UNITED ST7",1995,751054,8168584
"UNITED ST5",1996,466999,1795605
"UNITED ST6",1997,823424,5654838
"UNITED ST6",1992,261943,2834191
"UNITED ST1",1993,560348,6273269
"UNITED ST2",1994,626347,3869947
"UNITED ST4",1996,197335,6146562
"UNITED ST7",1996,570649,5529757
"UNITED ST5",1997,383434,4903317
"UNITED ST2",1992,507728,3132445
"UNITED ST3",1992,606980,1179979
"UNITED ST5",1996,373268,1253194
"UNITED ST2",1997,501733,3835907
"UNITED ST1",1992,550477,2717458
"UNITED ST0",1993,511031,1920628
"UNITED ST0",1996,670772,1714473
"UNITED ST8",1993,90403,5032484
"UNITED ST4",1992,398554,2001623
"UNITED ST8",1996,152293,1473426
"UNITED ST7",1993,701665,5536670
"UNITED ST2",1992,757327,5493537
