"s_nation","d_yearmonthnum","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
"IRAQ",199205,63784,429426,1219860,81324
"IRAQ",199208,404647,404963,9152906,112076
"EGYPT",199201,832957,185485,1554775,94228
"IRAQ",199206,58879,406915,3968076,109313
"IRAQ",199209,83282,608778,6746960,101204
"EGYPT",199209,83282,522251,1638647,76393
"IRAQ",199209,188257,55667,963860,97359
"SAUDI ARABIA",199209,188257,551437,6102481,89304
"SAUDI ARABIA",199211,532640,401623,6723486,91476
"IRAQ",199203,168893,300596,2394870,95794
"JORDAN",199203,168893,512207,603494,73150
"IRAQ",199212,359074,477169,1031526,68768
"SAUDI ARABIA",199212,359074,425347,4786467,76339
"SAUDI ARABIA",199211,132119,2584,2207571,89194
"EGYPT",199210,254678,462114,1936962,64565
"EGYPT",199201,361504,729873,565143,114170
"SAUDI ARABIA",199201,266068,505647,8180469,99157
"SAUDI ARABIA",199211,788890,64845,5498293,108590
"SAUDI ARABIA",199212,766207,202574,3362127,88593
"IRAQ",199211,365942,506196,5712711,72130
"IRAN",199211,365942,373901,6714626,118493
"JORDAN",199208,171775,501410,4191828,84683
"EGYPT",199202,306073,392952,1226964,122696
"SAUDI ARABIA",199203,356605,188326,5515848,84859
"IRAN",199211,824758,592142,1466134,74047
"EGYPT",199212,38234,76798,3338379,106487
"JORDAN",199205,425582,336060,2411310,65763
"SAUDI ARABIA",199210,244228,554793,2378079,110866
"JORDAN",199210,244228,386714,5646995,108042
"JORDAN",199209,366634,182110,3776604,71526
"EGYPT",199203,309044,448408,2924355,81382
"JORDAN",199206,705845,83323,2432367,78379
"SAUDI ARABIA",199206,705845,463990,1340423,117238
"IRAN",199206,717278,706454,2044588,87625
"IRAN",199208,191731,492740,5660796,103963
"IRAN",199210,855824,30500,3364536,85830
"JORDAN",199208,677228,389221,4280456,78612
"JORDAN",199201,747295,627927,6492115,111293
"SAUDI ARABIA",199205,235655,487951,1900151,116335
"SAUDI ARABIA",199210,188057,747613,6974436,99634
"SAUDI ARABIA",199201,110728,124174,2490995,71890
"IRAN",199201,110728,582201,2694678,76990
"EGYPT",199208,513025,10389,385915,77962
"SAUDI ARABIA",199207,771163,431715,4075557,98801
"EGYPT",199205,234106,124787,2331760,108706
"IRAQ",199205,234106,732271,4342395,78194
"SAUDI ARABIA",199203,106786,98724,2363571,103363
"JORDAN",199207,735307,303118,3515769,67266
"EGYPT",199204,345901,105490,6155436,89729
"EGYPT",199211,149470,353932,4281643,119155
"SAUDI ARABIA",199203,823483,221711,960027,97962
"IRAQ",199211,334417,150971,6405600,121318
"EGYPT",199202,587564,136147,1639832,70988
"SAUDI ARABIA",199211,26848,330348,1215687,82699
"IRAN",199207,787843,480860,1804023,110450
"IRAN",199203,290182,84296,640145,76817
"IRAN",199206,871504,221069,2178110,59403
"SAUDI ARABIA",199209,762542,562101,5585110,69784
"EGYPT",199201,428251,554214,1521828,76091
"IRAN",199202,405667,415657,2044419,94357
"JORDAN",199209,728141,456151,1549982,66427
"IRAQ",199201,875053,533014,923445,62819
"SAUDI ARABIA",199208,326096,643949,8620312,113574
"EGYPT",199204,766178,628911,1287916,110392
"IRAQ",199203,558412,173676,2274571,104980
"IRAQ",199202,281837,136834,1296485,112249
"SAUDI ARABIA",199201,584371,162642,2868909,102278
"IRAN",199201,513323,364965,1623960,121797
"SAUDI ARABIA",199212,109583,233336,1492720,76159
"JORDAN",199201,11809,691501,1023834,89548
"JORDAN",199204,200320,792917,200988,120592
"JORDAN",199212,325117,131847,4603158,112730
"JORDAN",199205,804454,523804,6762786,109666
"IRAQ",199203,684385,326710,2893342,104202
"IRAN",199208,349105,661682,325442,98619
"IRAQ",199207,764456,571596,817109,100054
"IRAN",199207,764456,448702,1650680,99040
"EGYPT",199208,227416,562898,7959171,117652
"SAUDI ARABIA",199212,446060,572923,8582370,119754
"IRAN",199206,297770,450025,1815450,58500
"EGYPT",199209,506782,550001,1560705,63058
"IRAN",199203,276184,636708,164467,98680
"SAUDI ARABIA",199210,171514,725660,6112094,101137
"EGYPT",199201,717005,786068,5193135,69241
"JORDAN",199202,643981,713088,4855630,66063
"SAUDI ARABIA",199208,212243,16654,4711950,94239
"IRAN",199206,718313,381679,174305,105639
"IRAN",199210,201686,606150,3032120,63367
"SAUDI ARABIA",199209,842347,58335,3969229,77599
"SAUDI ARABIA",199210,585575,179083,2531010,69724
"IRAN",199211,243500,335280,390635,78916
"IRAQ",199205,20458,184826,5617810,114649
"EGYPT",199206,879457,656572,5093095,91712
"SAUDI ARABIA",199210,809201,127116,4115196,68586
"IRAN",199210,809201,402109,1189030,60664
"IRAQ",199209,100414,44463,4319494,84447
"EGYPT",199203,94150,748086,336812,68043
"IRAN",199209,326590,40424,4322482,81865
"EGYPT",199209,326590,123009,2427264,61920
"EGYPT",199211,35071,680523,2062788,90209
"IRAN",199209,452614,464776,6440775,104445
"JORDAN",199211,488977,791602,5642975,101614
"JORDAN",199208,807754,14317,1970096,73878
"IRAQ",199207,242579,433578,888791,90693
"IRAN",199210,629200,231372,516130,78201
"JORDAN",199207,313231,783634,5839840,103056
"SAUDI ARABIA",199202,374777,377312,953059,83358
"IRAQ",199207,467500,85370,2146906,81322
"IRAN",199205,356776,573216,1675947,77351
"IRAQ",199204,123217,343910,1172340,117234
"SAUDI ARABIA",199207,252554,66655,1430295,97299
"JORDAN",199201,513181,698527,4530705,91529
"JORDAN",199208,642940,353539,4525941,95551
"IRAQ",199206,735079,592963,9066695,123356
"IRAQ",199209,409424,110325,261722,80119
"JORDAN",199212,476008,86175,1393404,69670
"JORDAN",199212,476008,340495,7373374,92128
"SAUDI ARABIA",199204,148702,191264,3117098,81315
"IRAN",199207,704623,4554,7146895,87513
"EGYPT",199202,473458,366720,2976658,107202
"SAUDI ARABIA",199202,473458,259166,3197676,67509
"IRAQ",199207,54394,311228,3803135,74352
"JORDAN",199201,494567,170592,7494955,99755
"EGYPT",199203,472477,637904,2735176,110512
"EGYPT",199207,348965,179483,1071861,93748
"IRAQ",199208,243094,474761,3645054,104144
"SAUDI ARABIA",199204,681866,30439,1898029,82165
"IRAQ",199211,433975,303353,6646066,81380
"IRAN",199204,300115,112034,1150633,62761
"IRAN",199203,706879,673661,5126199,98077
"SAUDI ARABIA",199204,493828,281061,5106045,62523
"IRAN",199204,822082,537498,3224487,92128
"IRAQ",199205,816650,604272,2190158,70574
"IRAN",199206,21173,153885,5950422,116332
"SAUDI ARABIA",199211,99514,403814,7042939,103067
"EGYPT",199207,448999,675885,6140805,111651
"IRAQ",199212,658976,151671,8103439,103360
"EGYPT",199207,379465,491325,651568,78978
"JORDAN",199207,709430,184069,2283058,69183
"SAUDI ARABIA",199207,709430,35059,4625314,59643
"IRAN",199211,784142,657380,2250760,80241
"IRAN",199205,57604,360736,5929176,107803
"IRAN",199205,57604,473322,1904091,77718
"JORDAN",199201,458554,211338,5070989,74959
"IRAN",199201,458554,755113,1387679,70084
"IRAQ",199209,270029,433561,2391264,89672
"IRAN",199202,445637,574238,1285965,78732
"IRAN",199212,589531,463503,2053072,87988
"IRAQ",199210,522686,5399,5869755,78263
"SAUDI ARABIA",199202,502661,194160,4718149,75249
"EGYPT",199212,14014,331611,7404840,98556
"JORDAN",199207,838679,408427,6276380,80124
"EGYPT",199205,725753,785627,8391691,102755
"IRAN",199204,12799,633882,711813,108951
"JORDAN",199206,594928,147586,4204834,98014
"SAUDI ARABIA",199205,403124,488392,3787735,82822
"IRAQ",199212,42605,561107,3663098,70084
"SAUDI ARABIA",199206,25579,96554,5470340,93033
"EGYPT",199211,764191,750260,1556553,78613
"SAUDI ARABIA",199205,654607,294524,901994,91110
"EGYPT",199202,554158,300501,1501490,90089
"SAUDI ARABIA",199211,338638,340177,3012471,73029
"EGYPT",199210,2414,340335,1225410,82519
"IRAQ",199210,2414,94043,311112,62222
"EGYPT",199208,261667,722915,2325456,116272
"JORDAN",199209,409465,421109,100947,61804
"IRAQ",199208,155771,168304,1358577,82338
"JORDAN",199204,447703,541614,7625647,99335
"SAUDI ARABIA",199205,221212,39055,4920547,59643
"SAUDI ARABIA",199208,256193,540984,4762705,121497
"IRAQ",199204,433933,128376,6606156,84262
"JORDAN",199211,118655,139267,6270048,78375
"IRAN",199205,411524,756870,6609061,115610
"SAUDI ARABIA",199209,257476,435624,2007205,93576
"EGYPT",199207,889139,281446,1271840,85645
"EGYPT",199211,366559,214312,2820490,73578
"IRAN",199212,368455,400309,237018,72556
"EGYPT",199208,718945,717366,4744821,82999
"EGYPT",199208,670981,239652,2495691,95498
"EGYPT",199208,670981,327665,5077950,101559
"IRAN",199206,628360,644060,1192787,60241
"EGYPT",199206,628360,3364,3675344,76041
"SAUDI ARABIA",199206,628360,182729,4793811,108703
"JORDAN",199202,834962,1509,5667389,84630
"IRAQ",199204,177070,538181,2747986,73149
"IRAQ",199210,293737,157523,464672,94831
"EGYPT",199210,293737,280946,1716894,115615
"IRAQ",199208,860434,166280,3465324,80776
"SAUDI ARABIA",199209,570443,315904,3010387,115193
"EGYPT",199204,627412,407133,5096539,62406
"SAUDI ARABIA",199206,657862,278998,3914420,118618
"SAUDI ARABIA",199212,375305,168473,7477670,92488
"IRAN",199207,743335,116203,1219200,73152
"EGYPT",199208,199261,615803,1890647,103126
"IRAQ",199205,284093,238984,3957472,115378
"JORDAN",199203,120611,735203,1238170,74290
"IRAQ",199207,195260,646465,5309799,84685
"IRAQ",199206,633887,545706,2277184,105100
"IRAN",199207,69136,789879,5512752,118130
"SAUDI ARABIA",199209,878807,69622,2705754,95497
"IRAQ",199201,462584,690803,717508,107626
"IRAQ",199211,425554,300373,6866800,82401
"IRAQ",199210,603190,605704,4940077,96580
"IRAQ",199212,595084,159241,650120,78014
"IRAN",199208,899738,750560,1116097,96631
"IRAQ",199211,667964,418233,1139697,69072
"SAUDI ARABIA",199211,667964,203392,3847278,77722
"IRAN",199206,70141,315395,967520,84622
"JORDAN",199212,740396,29829,8442336,105529
"SAUDI ARABIA",199212,854146,170228,3562315,77893
"IRAN",199207,319778,740109,568789,68944
"IRAQ",199210,606928,723213,1607034,74170
"EGYPT",199210,606928,439447,970494,83185
"IRAQ",199206,573329,627944,6671487,112314
"IRAQ",199210,670774,398063,5461579,69663
"JORDAN",199209,685822,343631,1492086,100477
"SAUDI ARABIA",199201,58069,781729,8872381,108641
"IRAQ",199204,342344,342005,732893,62819
"EGYPT",199201,239129,315562,5778565,94653
"IRAN",199212,803506,30312,5093471,74538
"EGYPT",199202,376021,686444,5149476,85824
"IRAN",199209,546590,153848,753128,114110
"JORDAN",199210,100726,752558,7972074,96631
"JORDAN",199209,662923,480129,760842,66546
"JORDAN",199212,517711,338134,5337834,70327
"IRAQ",199212,587821,564388,2469012,87141
"JORDAN",199212,587821,296490,2622150,89188
"SAUDI ARABIA",199203,156209,639214,1582162,69190
"EGYPT",199203,598576,219775,847380,101685
"IRAQ",199202,94070,406014,450795,55199
"EGYPT",199203,123907,1892,4843503,107633
"EGYPT",199201,737617,344476,3874132,91227
"IRAQ",199212,715445,602302,4602719,72256
"EGYPT",199207,457148,158132,4595091,71407
"JORDAN",199212,711724,228878,3040945,108411
"IRAN",199212,206530,273695,1962367,100120
"SAUDI ARABIA",199212,206530,790269,5844689,81553
"JORDAN",199209,560590,677741,6737343,103122
"IRAN",199209,560590,788597,6236572,101133
"EGYPT",199202,721943,733333,133897,81978
"EGYPT",199210,80762,595805,745105,114046
"SAUDI ARABIA",199212,857486,560282,5787825,80535
"JORDAN",199212,872960,719095,2620269,66843
"EGYPT",199207,781495,253587,4621710,92434
"JORDAN",199204,814507,438177,1003635,66909
"IRAQ",199201,344215,643756,8498600,101983
"EGYPT",199202,821530,616009,90647,55498
"JORDAN",199206,810409,757350,4876363,84439
"EGYPT",199202,263497,301795,7546476,107806
"IRAN",199205,648136,316976,7971840,119577
"JORDAN",199205,648136,265768,514923,104025
"EGYPT",199205,16780,220245,699138,69913
"IRAN",199204,139429,69258,5031725,73635
"JORDAN",199201,654856,568437,1192284,90324
"JORDAN",199211,19915,539655,3187599,101677
"JORDAN",199209,163777,785365,6236419,87019
"EGYPT",199209,860533,186399,2499911,89123
"SAUDI ARABIA",199209,174010,11718,5324262,97782
"JORDAN",199211,424528,277623,1882317,96036
"JORDAN",199211,424528,409557,1293479,87991
"SAUDI ARABIA",199204,372089,313464,7239505,88647
"IRAN",199208,294265,350720,1753002,106242
"SAUDI ARABIA",199209,705790,445826,1929490,106308
"EGYPT",199210,98888,113688,2358528,102100
"SAUDI ARABIA",199206,597235,92225,1550738,73033
"JORDAN",199203,405497,687526,2224830,90809
"JORDAN",199203,405497,44277,3908064,73276
"EGYPT",199210,816094,218089,2114847,60424
"IRAN",199207,649357,270239,604610,72553
"IRAQ",199202,544691,128616,6349839,98676
"IRAN",199207,647068,253857,4968944,108650
"EGYPT",199203,13984,112285,6226944,77836
"IRAQ",199212,506108,442857,6949143,107989
"EGYPT",199203,290989,660251,2757947,72673
"SAUDI ARABIA",199202,270806,674709,4377542,101020
"EGYPT",199204,863968,298027,4319392,61500
"IRAQ",199204,863968,129496,755117,91529
"JORDAN",199210,489365,676806,3176896,106966
"EGYPT",199212,618952,245066,3765150,60663
"JORDAN",199209,569200,52797,174979,104987
"EGYPT",199204,626611,589099,475228,71284
"SAUDI ARABIA",199201,334981,275250,3553196,73514
"EGYPT",199205,676438,51541,5970160,89552
"JORDAN",199207,96515,275642,4691127,97057
"EGYPT",199207,809699,69724,6097392,101623
"EGYPT",199204,422860,615860,4524814,106549
"EGYPT",199205,297052,478480,1895998,87507
"IRAQ",199201,334621,726359,543045,83119
"SAUDI ARABIA",199211,87130,279530,597769,90571
"EGYPT",199205,199543,477962,7106000,116396
"IRAN",199201,198541,67079,5021136,62764
"SAUDI ARABIA",199208,82097,135688,8532216,103420
"IRAN",199202,431557,588708,6162612,107800
"EGYPT",199203,254432,398748,7058202,110803
"IRAQ",199204,592502,344457,5945702,90086
"IRAN",199206,644038,566798,6830652,111886
"EGYPT",199203,720443,481529,3888027,90630
"IRAQ",199212,190303,76478,145447,87268
"SAUDI ARABIA",199206,435382,739057,4833448,65761
"IRAN",199208,220642,689380,939374,82161
"JORDAN",199205,87155,279105,3112422,65045
"IRAQ",199212,666091,232682,2373564,96880
"IRAQ",199202,585656,191022,2754724,66781
"JORDAN",199202,585656,640927,4438106,112073
"IRAQ",199202,91697,397364,1899755,87681
"EGYPT",199210,703934,86643,6681524,97778
"JORDAN",199212,563179,674870,5604623,110690
"SAUDI ARABIA",199210,505649,455327,2949290,76938
"EGYPT",199210,505649,593988,2856449,124917
"IRAN",199201,305866,640456,276491,83785
"IRAQ",199208,604370,427090,1794111,61024
"EGYPT",199206,879451,790340,700851,85818
"EGYPT",199204,360193,739895,967430,116091
"EGYPT",199209,284872,206566,3534120,88353
"EGYPT",199202,677291,687557,5096916,92671
"EGYPT",199211,139424,626214,1005638,68410
"IRAQ",199204,503431,720042,416307,63720
"IRAN",199204,805553,608988,5880545,113817
"SAUDI ARABIA",199210,272542,231585,3566972,90994
"SAUDI ARABIA",199208,431935,699907,7436793,114412
"JORDAN",199204,24164,574112,1394841,71165
"EGYPT",199204,24164,667309,1751042,76576
"SAUDI ARABIA",199210,408925,298898,929471,113812
"EGYPT",199212,192016,751151,1428118,72127
"SAUDI ARABIA",199210,873025,653186,3014190,68349
"IRAN",199204,544504,579083,3336274,69723
"IRAN",199211,372883,526181,603580,72429
"JORDAN",199212,670967,95330,1836907,79519
"EGYPT",199208,676508,188970,807116,123538
"JORDAN",199208,676508,11803,1028880,102888
"EGYPT",199201,355435,321755,8706026,106604
"IRAQ",199204,630355,42250,590163,71535
"IRAN",199204,630355,308760,7004250,106125
"JORDAN",199206,635876,733150,4174047,70987
"JORDAN",199206,269129,611091,3807828,60123
"IRAN",199208,293557,389679,7251506,106119
"IRAN",199206,514355,474059,809895,61981
"EGYPT",199203,318856,77417,2596391,83664
"IRAN",199203,132850,265269,5009820,74055
"IRAN",199208,489647,257324,2260230,76878
"SAUDI ARABIA",199204,720370,339921,7182813,117654
"IRAN",199207,646600,521841,7078716,111769
"IRAQ",199207,646600,173684,5800344,105460
"IRAN",199211,847219,482298,125466,76816
"IRAN",199204,598894,424839,4714664,105828
"IRAQ",199208,27536,757794,4999752,111105
"SAUDI ARABIA",199201,161341,210230,4515271,68413
"JORDAN",199209,784733,559067,4083021,67562
"EGYPT",199206,553958,593163,369305,75368
"IRAN",199202,273592,1464,2027708,81927
"EGYPT",199203,162566,431640,4774581,94297
"IRAN",199203,879713,361912,8124572,118434
"SAUDI ARABIA",199206,836506,747829,6756444,112607
"JORDAN",199204,175996,618349,5576164,76038
"EGYPT",199201,702505,490948,4940368,116335
"EGYPT",199210,77038,170279,3643029,80956
"JORDAN",199210,523759,3295,4313844,71897
"SAUDI ARABIA",199203,233534,615810,7004941,103546
"IRAQ",199204,341684,659911,366692,112252
"IRAN",199211,796180,262277,850132,74355
"SAUDI ARABIA",199208,353119,387622,2178043,102576
"JORDAN",199201,167062,253952,1867821,114356
"SAUDI ARABIA",199210,64847,375339,4480565,84859
"JORDAN",199210,282110,323301,3114730,79457
"JORDAN",199210,282110,296283,6205738,76756
"SAUDI ARABIA",199205,268459,413472,543096,83127
"SAUDI ARABIA",199207,680518,368505,5859676,94409
"EGYPT",199205,825307,336334,5290805,82219
"EGYPT",199205,825307,763647,2849876,102636
"IRAQ",199211,568039,72619,2495644,95496
"EGYPT",199206,15001,672338,259439,78618
"IRAN",199211,36214,372103,1266747,70505
"SAUDI ARABIA",199211,130987,368572,984336,98433
"SAUDI ARABIA",199204,580009,375407,5665694,88943
"IRAN",199204,440602,10796,1505388,102407
"IRAQ",199210,585937,385396,7332831,88882
"JORDAN",199210,261934,333817,8978230,111048
"IRAQ",199202,88999,220716,3764410,98202
"IRAN",199211,347189,535406,1008966,86482
"JORDAN",199211,125830,102061,208359,63783
"IRAN",199212,264793,255059,3776284,60842
"IRAQ",199203,895325,25679,4403214,96280
"JORDAN",199211,730996,63969,5740891,115977
"IRAN",199210,437041,495354,1190109,80959
"JORDAN",199211,458653,712016,1323010,61678
"SAUDI ARABIA",199210,807482,291992,4083030,119038
"SAUDI ARABIA",199211,848239,310812,4287225,109368
"IRAQ",199206,51728,697716,8225664,102820
"JORDAN",199212,624748,181966,5939084,122877
"IRAN",199209,413372,627146,5043617,64386
"IRAQ",199209,413372,569993,808684,123778
"SAUDI ARABIA",199202,426854,312629,6402279,98496
"JORDAN",199205,849430,794365,6645788,87559
"JORDAN",199201,538210,288150,338027,68288
"IRAQ",199203,411679,63644,5888785,96458
"EGYPT",199201,646315,750930,6988615,118854
"JORDAN",199208,490715,699077,1506456,64562
"SAUDI ARABIA",199203,482101,665983,3508110,116937
"IRAN",199208,708583,254184,5183226,68290
"SAUDI ARABIA",199205,791774,761705,692534,106000
"SAUDI ARABIA",199210,581038,500484,4898718,89067
"EGYPT",199207,882433,612764,1509057,100603
"IRAQ",199207,882433,694804,4808112,107926
"EGYPT",199205,491330,606170,538070,64568
"SAUDI ARABIA",199209,285626,553317,4933044,82217
"SAUDI ARABIA",199211,396292,247668,5331645,96939
"IRAN",199203,351473,210483,1811511,83608
"EGYPT",199209,887801,535517,307393,93149
"IRAQ",199202,219094,310405,6103161,84923
"SAUDI ARABIA",199203,138406,694489,593380,89007
"EGYPT",199212,66071,14039,4669847,57181
"JORDAN",199206,449344,388588,1825784,100594
"EGYPT",199201,376307,2856,4826284,105531
"SAUDI ARABIA",199205,639316,123758,3880651,106905
"IRAQ",199203,272971,559537,4741634,95790
"JORDAN",199207,415648,70532,4808096,90151
"IRAQ",199207,415648,542091,4711305,67984
"IRAQ",199212,365065,250255,5787562,72314
"IRAN",199212,65101,116046,2207981,63722
"IRAQ",199210,882335,223712,1943211,98142
"IRAN",199210,882335,411143,1159532,63247
"JORDAN",199211,593170,51797,7963989,104927
"JORDAN",199204,139774,13729,650517,98563
"EGYPT",199204,139774,480236,3337280,72972
"IRAN",199207,264859,362668,8395383,103839
"IRAN",199202,585973,290964,6193281,117297
"SAUDI ARABIA",199205,809785,450806,6087242,105406
"IRAN",199202,309337,683276,2392556,75554
"EGYPT",199210,337297,625339,2503314,75858
"SAUDI ARABIA",199205,876419,776340,6523523,84978
"EGYPT",199202,687076,288004,2722020,59519
"IRAQ",199203,330832,209273,1969645,70935
"IRAQ",199204,697015,657494,3304974,87087
"SAUDI ARABIA",199204,190510,154469,3921386,91407
"SAUDI ARABIA",199203,705475,74222,4737031,71773
"SAUDI ARABIA",199203,705475,235117,4536655,63126
"IRAQ",199206,458381,254124,1814459,64686
"EGYPT",199203,46544,272660,161632,97959
"JORDAN",199208,854278,304042,1778251,62761
"JORDAN",199205,145468,419076,3880695,59703
"SAUDI ARABIA",199206,59689,467843,181082,108649
"SAUDI ARABIA",199207,584920,281563,5097015,92673
"SAUDI ARABIA",199209,796132,154593,6198233,98855
"IRAN",199201,863900,151597,4733101,98915
"EGYPT",199205,568186,368976,8016243,122697
"JORDAN",199204,142181,384234,4521494,79093
"SAUDI ARABIA",199211,451795,355369,837517,85461
"IRAQ",199209,755494,519871,8886995,113451
"SAUDI ARABIA",199201,498745,215374,1531759,77361
"JORDAN",199209,243685,115427,2968500,86545
"IRAN",199207,256916,740358,3045540,83899
"SAUDI ARABIA",199208,675227,64632,2687128,95797
"IRAQ",199207,426232,148357,5902470,84321
"EGYPT",199207,426232,559093,2145154,69124
"SAUDI ARABIA",199209,387224,644373,131734,79040
"IRAN",199211,654410,83574,2336355,93454
"IRAQ",199212,515158,250610,7570470,93636
"EGYPT",199212,515158,213856,1214110,106190
"SAUDI ARABIA",199211,239122,225705,7191342,97841
"SAUDI ARABIA",199204,543049,224500,3276327,85469
"SAUDI ARABIA",199206,504440,210782,5416864,101566
"JORDAN",199210,726269,129401,6150720,85824
"SAUDI ARABIA",199203,866629,592563,5959944,99332
"EGYPT",199207,22855,495537,910310,91950
"EGYPT",199204,852541,501725,3215115,103602
"JORDAN",199204,345040,140622,3950385,99757
"SAUDI ARABIA",199206,880159,195976,6497697,124318
"EGYPT",199207,704672,631593,1045848,91473
"JORDAN",199207,311225,392957,4620564,122996
"EGYPT",199210,815350,678962,2717302,116455
"SAUDI ARABIA",199207,246211,652225,4037761,70631
"IRAN",199204,722486,445417,4632126,81743
"IRAN",199204,722486,83647,7990136,97838
"EGYPT",199212,20338,182008,4316400,65400
"JORDAN",199211,320542,159533,3468530,95551
"IRAQ",199211,320542,712959,386496,118315
"IRAN",199202,726655,726386,6073105,84741
"IRAQ",199211,829097,15545,2458088,87632
"IRAQ",199210,222778,130532,1837535,93751
"IRAQ",199207,217004,745978,4608511,121436
"EGYPT",199203,766012,328911,193990,116394
"IRAN",199208,527974,518313,5591418,79877
"IRAQ",199208,527974,547459,1640502,90385
"IRAN",199211,366410,748112,2436168,69604
"SAUDI ARABIA",199211,366410,708682,2705040,101439
"IRAN",199204,623863,100373,3768527,82402
"JORDAN",199212,798674,641846,1787810,107268
"EGYPT",199210,696029,32269,2001299,72075
"JORDAN",199210,696029,503431,143441,86064
"IRAN",199209,475552,636168,2164094,66247
"JORDAN",199208,380644,543859,4102501,114169
"JORDAN",199206,316915,507747,8773600,105283
"JORDAN",199211,194038,14048,2308896,57722
"IRAQ",199203,664459,257472,6303918,85767
"IRAQ",199205,658834,656686,1463601,98559
"IRAQ",199205,658834,118041,423616,63542
"IRAN",199203,312799,453911,4102758,111893
"SAUDI ARABIA",199204,893599,755205,3150425,75610
"IRAQ",199204,893599,714560,3585204,94471
"EGYPT",199209,401671,598199,4751533,77830
"SAUDI ARABIA",199203,877576,463772,2749428,104145
"IRAN",199208,692596,519442,1002534,87685
"JORDAN",199202,282160,508394,5414550,84142
"SAUDI ARABIA",199203,224330,724763,2860368,107263
"IRAQ",199202,206314,387872,6530253,117591
"SAUDI ARABIA",199206,35980,156526,5583130,94951
"IRAQ",199210,381410,792308,3156208,84016
"IRAQ",199212,634984,448429,1349852,82644
"EGYPT",199204,616268,607720,322282,97661
"EGYPT",199206,287437,708128,3711606,68165
"IRAQ",199203,343981,623844,6894459,106068
"IRAN",199209,804790,657963,950860,115255
"EGYPT",199207,898537,355208,3094815,75791
"IRAN",199209,3892,78235,4124982,72793
"IRAQ",199209,3892,480526,1033459,90390
"SAUDI ARABIA",199208,784310,645093,3596877,62283
"IRAN",199204,150556,730697,7867763,103659
"EGYPT",199207,210037,638175,2399929,66788
"EGYPT",199202,528770,548864,7685791,114770
"JORDAN",199210,381688,609031,3102000,56400
"IRAN",199206,646045,201338,6196600,74359
"SAUDI ARABIA",199211,220792,441825,7272148,106008
"SAUDI ARABIA",199206,403864,446478,1974287,85467
"IRAN",199208,556339,46466,4661118,84747
"IRAN",199209,292651,623896,6005538,109191
"IRAQ",199208,29807,311807,8733829,109127
"IRAQ",199210,285754,12958,4033768,112257
"SAUDI ARABIA",199212,404908,150606,7951680,99396
"EGYPT",199212,404908,297821,9094050,109128
"IRAQ",199207,548884,337373,5445399,84621
"SAUDI ARABIA",199210,27650,13660,4050600,94419
"SAUDI ARABIA",199212,242821,252248,3999166,72013
