"s_nation","d_yearmonthnum","lo_partkey","lo_revenue","lo_supplycost"
"JORDAN",199204,34420,6503924,81265
"EGYPT",199208,527893,6530958,115252
"IRAQ",199204,519502,596420,91288
"EGYPT",199211,621334,3321523,75318
"JORDAN",199211,507727,7806150,104082
"IRAN",199203,604772,6572820,100604
"EGYPT",199204,571458,1348957,91765
"JORDAN",199212,251773,683004,103485
"IRAQ",199203,408270,1982994,70695
"IRAQ",199212,463660,3182334,97418
"EGYPT",199201,141442,6823824,89006
"IRAN",199205,173044,2680896,67022
"IRAQ",199212,505354,407799,81559
"EGYPT",199208,230582,2994888,90754
"EGYPT",199210,461823,2855680,107088
"SAUDI ARABIA",199211,634943,5337020,112674
"JORDAN",199205,148275,3112331,79396
"SAUDI ARABIA",199203,361637,2996365,101917
"EGYPT",199212,363049,1890451,66721
"SAUDI ARABIA",199201,534619,3110402,99215
"SAUDI ARABIA",199206,609598,6417682,90453
"SAUDI ARABIA",199207,472093,3514731,63904
"EGYPT",199208,444610,5751983,93275
"SAUDI ARABIA",199202,60950,6115040,114657
"EGYPT",199203,475260,2223432,74114
"SAUDI ARABIA",199203,602419,2978390,79282
"EGYPT",199207,775552,7089477,97651
"EGYPT",199207,197460,3083770,93447
"IRAQ",199208,729738,2078815,106062
"EGYPT",199208,315722,2236432,104262
"SAUDI ARABIA",199202,783454,4670681,92245
"JORDAN",199209,762869,965915,115909
"JORDAN",199210,532736,6760009,106122
"SAUDI ARABIA",199204,233695,814340,97720
"SAUDI ARABIA",199202,406101,1381713,60424
"IRAN",199205,591556,3459813,98851
"EGYPT",199211,304615,5830560,97176
"EGYPT",199204,510615,3576298,97535
"EGYPT",199206,710086,1933432,65763
"SAUDI ARABIA",199207,23465,6248070,83307
"EGYPT",199208,23243,5657430,69974
"JORDAN",199207,492979,579753,118317
"SAUDI ARABIA",199207,619995,562998,114897
"EGYPT",199201,406343,4205211,74959
"JORDAN",199209,21196,3284538,67031
"IRAQ",199208,59601,4282286,93636
"JORDAN",199211,493195,4234637,71290
"SAUDI ARABIA",199202,32577,1643921,90574
"IRAN",199208,85350,3833789,80121
"IRAQ",199201,259682,2437879,98500
"IRAQ",199202,316450,1906372,87986
"JORDAN",199206,700852,5992019,111169
"IRAQ",199204,432348,5520739,76819
"IRAN",199211,38850,5008780,107331
"SAUDI ARABIA",199203,383015,2797704,65880
"JORDAN",199207,615296,3323697,72675
"IRAN",199205,65046,4203904,60662
"IRAN",199207,509538,4094711,92850
"JORDAN",199202,595014,443596,66539
"IRAQ",199206,58914,8428095,112374
"EGYPT",199211,61851,3988270,108771
"JORDAN",199205,100581,2214212,94894
"SAUDI ARABIA",199204,372008,423356,64799
"IRAN",199206,518337,5285709,81318
"EGYPT",199211,150810,9211009,111648
"IRAN",199209,644002,4214296,56758
"SAUDI ARABIA",199202,668251,3703990,73153
"EGYPT",199212,491548,4978807,92371
"IRAQ",199206,580573,2455521,99213
"SAUDI ARABIA",199207,375575,3268108,99033
"JORDAN",199212,469041,2599791,60601
"IRAN",199212,762323,5125573,83117
"EGYPT",199212,152083,3034068,68104
"JORDAN",199212,47421,670525,82105
"EGYPT",199203,717357,5986537,82459
"JORDAN",199207,624483,5379273,84447
"IRAQ",199212,98400,2097600,83904
"EGYPT",199207,433716,2309566,98981
"IRAN",199211,203371,6116928,76461
"JORDAN",199210,408704,3033451,96760
"IRAQ",199211,5830,7561275,104149
"JORDAN",199201,292623,3877464,96936
"EGYPT",199204,477261,5026016,74294
"JORDAN",199202,658146,662466,66246
"IRAQ",199203,313985,9103309,119938
"EGYPT",199203,359269,4865379,79695
"EGYPT",199211,428808,6705707,104206
"JORDAN",199209,173170,2436613,74590
"JORDAN",199211,355737,5446283,107563
"IRAN",199211,70672,6899214,98560
"SAUDI ARABIA",199205,580380,2719190,87621
"EGYPT",199211,530111,1016711,68465
"IRAQ",199212,395904,8819514,119993
"SAUDI ARABIA",199204,368435,5060511,90205
"JORDAN",199209,770257,3052606,79633
"IRAQ",199203,324642,326659,99997
"SAUDI ARABIA",199203,416376,2279705,77541
"JORDAN",199203,105214,1672756,73152
"IRAQ",199204,761400,868053,87682
"SAUDI ARABIA",199212,7285,3388459,71536
"JORDAN",199209,1632,2913897,92017
"IRAN",199209,570532,3966212,96150
"IRAN",199201,720528,5110017,92909
"SAUDI ARABIA",199212,338631,2148800,100177
"IRAQ",199210,464048,396711,60721
"EGYPT",199210,533877,6366952,114651
"EGYPT",199207,172015,5006768,65220
"JORDAN",199210,489815,1804790,108287
"JORDAN",199201,80441,5401472,85286
"JORDAN",199212,220486,1406470,84388
"IRAN",199203,436316,2355557,75137
"EGYPT",199211,665844,6987676,108588
"SAUDI ARABIA",199211,4173,3985529,64630
"IRAN",199211,733699,8150432,103959
"IRAN",199206,478141,3877750,67147
"IRAQ",199206,250713,7905902,99822
"IRAN",199211,639501,4278195,86428
"EGYPT",199203,439731,3508491,100242
"EGYPT",199210,565796,5585310,111706
"IRAN",199210,787128,5653813,72905
"SAUDI ARABIA",199205,545050,3577463,65701
"SAUDI ARABIA",199205,322325,396109,80838
"IRAN",199208,414376,3034903,77421
"EGYPT",199204,310348,6519984,81499
"EGYPT",199204,706877,6341005,113030
"IRAQ",199211,586751,6483511,110263
"IRAN",199211,372358,5186412,85820
"IRAQ",199205,603040,1478639,56580
"EGYPT",199203,306633,5246784,98377
"JORDAN",199204,623858,6236370,106909
"EGYPT",199205,764197,1730311,75669
"JORDAN",199211,415356,1245903,76279
"EGYPT",199201,775219,3331219,77650
"IRAQ",199210,793133,1348710,73566
"SAUDI ARABIA",199205,751014,4955351,63898
"EGYPT",199212,644007,950970,57058
"IRAQ",199212,617928,1628074,110753
"SAUDI ARABIA",199212,700521,2833014,91289
"EGYPT",199202,439955,2599843,113695
"SAUDI ARABIA",199202,70163,2887291,67989
"JORDAN",199202,299385,5756210,83062
"JORDAN",199212,610004,2060088,54838
"JORDAN",199202,789070,5507758,69542
"JORDAN",199207,101580,5949903,94894
"IRAQ",199201,7207,3529785,66852
"IRAQ",199203,133751,7870747,107085
"JORDAN",199204,754782,3306150,110205
"EGYPT",199202,612558,6114422,88231
"SAUDI ARABIA",199208,120462,6164068,88947
"IRAQ",199210,739635,6865860,100476
"IRAN",199207,279258,3674602,74234
"SAUDI ARABIA",199201,782544,3090369,97590
"JORDAN",199212,764579,5798409,98612
"JORDAN",199212,650949,6959370,113994
"SAUDI ARABIA",199210,170361,2692388,85881
"EGYPT",199207,542474,150128,90987
"IRAQ",199202,62271,366281,73996
"IRAQ",199203,510270,2176425,76815
"SAUDI ARABIA",199212,630339,4272463,76158
"IRAN",199210,529980,2166736,120597
"JORDAN",199210,709584,3435693,95613
"IRAQ",199207,601552,1282004,87211
"SAUDI ARABIA",199206,410594,7221936,90274
"IRAN",199206,491264,5272008,75314
"SAUDI ARABIA",199208,526163,1631500,71348
"EGYPT",199212,485829,4979811,108888
"EGYPT",199209,79989,393796,118138
"JORDAN",199202,621092,1604687,60783
"IRAN",199202,378712,5909310,107442
"EGYPT",199202,280660,2761213,98439
"SAUDI ARABIA",199205,486879,3657066,111951
"JORDAN",199201,754525,1393110,94769
"SAUDI ARABIA",199211,312464,2170381,88587
"SAUDI ARABIA",199204,667174,4696932,68468
"EGYPT",199208,421687,2049432,96519
"JORDAN",199201,283161,3203620,68649
"JORDAN",199208,195297,2481060,83537
"SAUDI ARABIA",199201,107408,280249,84924
"IRAN",199201,66405,1508540,82284
"JORDAN",199206,344084,2763771,67684
"IRAQ",199210,627375,4849914,78140
"SAUDI ARABIA",199201,540045,3038056,65101
"SAUDI ARABIA",199208,685836,4869671,109308
"IRAN",199208,438495,141913,86008
"IRAQ",199205,708067,1790999,64501
"EGYPT",199205,264580,2270517,92674
"IRAN",199206,211759,8022893,100244
"IRAQ",199206,620340,3581801,75618
"EGYPT",199205,494621,6966467,96936
"IRAQ",199209,300585,4598153,95134
"IRAN",199205,289544,2104003,92011
"SAUDI ARABIA",199209,388710,2314926,107922
"JORDAN",199208,407874,4098255,106911
"IRAQ",199211,503415,5389882,85103
"IRAQ",199201,516988,2357832,120297
"EGYPT",199205,165806,6603710,112308
"EGYPT",199205,375867,4379183,116571
"EGYPT",199205,293011,4919600,60240
"JORDAN",199203,188236,2913306,79453
"IRAQ",199207,454557,1629429,90691
"IRAQ",199207,596791,8683742,113266
"JORDAN",199207,80215,5442986,71712
"IRAN",199207,596822,8649950,115128
"IRAN",199203,40972,1339079,114778
"EGYPT",199211,200814,7716600,102888
"EGYPT",199202,511008,1098460,61138
"SAUDI ARABIA",199205,569968,3794644,122276
"EGYPT",199208,729048,4644067,64620
"IRAQ",199205,7747,163819,99284
"IRAN",199205,659437,3010638,83784
"EGYPT",199207,373939,6707049,120775
"IRAQ",199203,774434,5173812,90504
"JORDAN",199211,79925,952460,114295
"IRAN",199209,170653,5343315,103419
"JORDAN",199209,132205,1818684,74232
"SAUDI ARABIA",199211,328027,4445812,63300
"EGYPT",199204,13376,5559763,77362
"EGYPT",199211,290327,5938433,79038
"SAUDI ARABIA",199205,291655,1290965,98798
"IRAQ",199211,472390,6339107,81742
"IRAQ",199209,745577,5724321,97352
"EGYPT",199203,18106,3041577,61446
"IRAQ",199203,672050,3985878,61321
"SAUDI ARABIA",199205,644391,2776213,80121
"JORDAN",199202,450792,5402587,104566
"SAUDI ARABIA",199202,478363,6374047,80480
"SAUDI ARABIA",199205,739125,1711212,69845
"SAUDI ARABIA",199209,338537,1733072,94531
"JORDAN",199202,797059,5664498,69361
"JORDAN",199202,632891,1444497,109431
"EGYPT",199203,269878,8963968,110871
"IRAN",199201,271289,2593635,75616
"JORDAN",199202,349362,691561,84681
"JORDAN",199202,37821,6790804,105529
"JORDAN",199203,277917,3189116,113694
"EGYPT",199205,53954,7822595,114477
"IRAQ",199210,139655,8052976,101679
"IRAN",199206,200600,3601416,90035
"IRAQ",199203,300739,5796747,104383
"IRAN",199208,559104,1612028,69784
"JORDAN",199208,47303,5322527,75018
"IRAQ",199208,262147,2994651,66547
"SAUDI ARABIA",199208,290808,2849283,107927
"EGYPT",199211,640372,5272982,78740
"EGYPT",199208,78182,3596558,69610
"SAUDI ARABIA",199208,213579,6206064,89553
"IRAN",199201,263784,5481006,104866
"SAUDI ARABIA",199211,111477,4376101,89308
"IRAN",199212,92207,4392669,71952
"IRAQ",199206,685830,8363574,108948
"EGYPT",199212,32908,6811330,110454
"IRAQ",199201,697655,6154356,99157
"EGYPT",199204,383323,1531471,84378
"EGYPT",199204,597170,4222143,76029
"IRAN",199205,766659,3278678,103537
"EGYPT",199207,523032,1775581,63300
"IRAN",199201,549903,2538744,117172
"SAUDI ARABIA",199201,2143,1463196,62708
"JORDAN",199206,560821,7745488,112908
"IRAN",199211,180555,3846813,98133
"JORDAN",199203,365915,196109,118854
"SAUDI ARABIA",199206,40668,7724785,96519
"EGYPT",199202,60007,574398,58020
"IRAQ",199203,734139,2299276,70386
"IRAQ",199208,791865,6392963,117409
"JORDAN",199210,615077,2579304,59522
"IRAN",199212,290376,4372352,81981
"SAUDI ARABIA",199212,484083,746942,64023
"SAUDI ARABIA",199208,151944,2173578,119756
"IRAQ",199208,138718,1032945,105402
"IRAN",199208,419730,4850147,98982
"EGYPT",199204,237727,5873096,99882
"JORDAN",199209,283911,3221330,113694
"IRAN",199209,685838,8207100,109428
"JORDAN",199212,121888,8594460,114592
"JORDAN",199210,237182,332393,67150
"EGYPT",199211,116735,7532439,105103
"IRAN",199210,59013,384915,58320
"SAUDI ARABIA",199209,648368,2709007,78979
"IRAQ",199209,316565,7433285,94893
"EGYPT",199212,470319,5672876,77357
"JORDAN",199201,11882,4439853,107632
"EGYPT",199201,57614,4512092,94296
"IRAN",199204,176829,6289206,114349
"SAUDI ARABIA",199205,127614,5469844,98496
"JORDAN",199209,210527,4648907,86250
"IRAQ",199207,479994,5416573,118438
"IRAQ",199208,514903,2088571,115072
"SAUDI ARABIA",199205,770885,4889625,117351
"IRAN",199205,150384,983984,86062
"SAUDI ARABIA",199210,50962,2812051,114777
"JORDAN",199202,187495,4073329,94949
"JORDAN",199211,770115,5925400,71104
"IRAN",199205,90122,5174694,66727
"IRAQ",199212,147146,596570,71588
"SAUDI ARABIA",199209,447025,2818800,58320
"IRAQ",199211,205729,2883628,98082
"SAUDI ARABIA",199211,81712,7469261,101622
"SAUDI ARABIA",199202,528242,995852,76213
"EGYPT",199202,572036,3583304,66480
"IRAQ",199208,585623,7367483,102516
"IRAQ",199205,358130,1764358,71287
"SAUDI ARABIA",199202,435501,6033216,86188
"JORDAN",199202,556390,850465,86782
"EGYPT",199202,37339,875562,76579
"IRAN",199201,330867,5124195,113871
"IRAQ",199201,653652,5563473,96337
"IRAQ",199208,339566,7709851,96333
"SAUDI ARABIA",199208,526554,3911811,94831
"SAUDI ARABIA",199210,635823,1551252,105527
"EGYPT",199210,676131,3726498,66426
"SAUDI ARABIA",199210,128077,1312823,66304
"EGYPT",199201,518706,2759488,103480
"SAUDI ARABIA",199208,101522,1642354,91411
"IRAN",199204,11684,5316805,95740
"IRAN",199211,532120,921680,69126
"SAUDI ARABIA",199204,748803,181473,111106
"JORDAN",199201,105196,3329698,72071
"EGYPT",199212,150928,1357539,118735
"EGYPT",199212,405067,3753046,58322
"IRAQ",199204,166525,3023888,95491
"EGYPT",199204,372171,3356532,74589
"SAUDI ARABIA",199207,513,2261616,84810
"IRAN",199205,557418,3651590,88523
"IRAQ",199202,406253,1970691,69553
"IRAQ",199209,393951,7085717,122696
"IRAQ",199209,741709,1750670,105040
"IRAQ",199211,189759,4209603,110925
"IRAQ",199203,616103,4382001,61144
"IRAQ",199204,206758,6921988,99884
"SAUDI ARABIA",199206,607416,1037529,79402
"IRAQ",199208,747776,3931983,109424
"IRAQ",199203,79722,6738811,102103
"IRAQ",199210,647056,2306946,60181
"JORDAN",199203,183711,355352,107682
"IRAN",199203,593712,893816,108341
"IRAQ",199212,577650,7183485,103657
"JORDAN",199208,727264,5061621,77473
"SAUDI ARABIA",199209,124557,4270185,94893
"EGYPT",199202,348914,7886932,117774
"EGYPT",199202,181091,3750688,70325
"IRAN",199212,234295,3810768,73756
"SAUDI ARABIA",199202,316261,5236725,76635
"IRAQ",199211,107897,7920532,114293
"IRAQ",199203,643170,1983615,66788
"JORDAN",199203,136243,5884504,76754
"IRAN",199204,146411,4184224,87444
"IRAN",199208,410308,723658,73096
"EGYPT",199202,795254,3873610,80953
"IRAQ",199204,760406,3629265,87982
"SAUDI ARABIA",199209,41682,6683066,97420
"IRAN",199210,431866,8270064,107870
"SAUDI ARABIA",199202,771574,651633,98732
"IRAN",199202,586890,7907480,118612
"JORDAN",199202,645680,6340035,97539
"SAUDI ARABIA",199207,648846,2638370,107688
"IRAQ",199201,613367,2281548,76819
"IRAN",199203,487656,1932908,98617
"EGYPT",199205,405644,5268708,92977
"EGYPT",199203,341811,5373120,111168
"SAUDI ARABIA",199203,290420,2397697,84624
"IRAQ",199203,239873,3908526,108771
"SAUDI ARABIA",199209,115139,5429027,69247
"IRAQ",199209,288874,1676574,111771
"SAUDI ARABIA",199203,8573,1026728,88894
"IRAN",199208,616064,3492826,58801
"IRAN",199211,719912,8113896,115912
"SAUDI ARABIA",199202,375414,3357107,89364
"EGYPT",199208,308880,6544934,113332
"JORDAN",199208,273074,3245886,62823
"SAUDI ARABIA",199204,161633,7117446,101677
"IRAQ",199204,429094,4912782,61384
"EGYPT",199211,505610,6139242,96935
"SAUDI ARABIA",199203,714151,2511998,69907
"SAUDI ARABIA",199203,437853,3861029,107449
"EGYPT",199201,702816,7456998,109126
"SAUDI ARABIA",199210,609984,6750037,113637
"EGYPT",199207,95912,5477609,114474
"JORDAN",199205,407515,3763908,85349
"JORDAN",199203,455466,1114408,85286
"SAUDI ARABIA",199203,319587,1908605,96394
"JORDAN",199205,291157,5228629,68888
"SAUDI ARABIA",199211,303652,327816,99338
"IRAN",199212,457311,4692673,76097
